PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-31,18:02:04.61,1,1,"Coats, TJ",1000254687,Right,MIA_HUR,"Gonzalez, Willfred",10108272,Right,FGCU,Undefined,1,Top,0,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,92.30645,-2.89962,-3.017732,1857.035246,240.566715,2:00,5.55518,1.25136,6.3712,-22.89824,9.11004,14.49591,0.97307,-0.31983,85.35067,-7.173306,-0.393326,0.407195,,,,,,,,,,,,-8.35119,5.77855,-1.03992,50,5.33469,6.48699,-134.02596,-7.52617,-15.32729,26.51976,-21.56843,MIA_HUR,FGCU,UofMiami,D1,ACC,20260331-UofMiami-1,41282e00-2d4d-11f1-bc38-0dcb53d195f1,92.566,,,6.95578,,,,,,,25b11d0a-01f1-487d-ad5f-ba252b2260cf,2026-03-31,22:02:04.61,2026-03-31T18:02:04.6175232-04:00,2026-03-31T22:02:04.6175232Z,,v3,236,4964,944ad54fd4c443b893a985f602994ab4,"Alvarez, Alonzo",828345,Right,MIA_HUR,efc92dc9-ef65-448e-920c-1b72efee76bf,54.12876,-134.84044,13.25988,5.55567,-6.86375,-10.78421,-1.24638,6.95772,-7.66365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-31,18:02:15.49,1,2,"Coats, TJ",1000254687,Right,MIA_HUR,"Gonzalez, Willfred",10108272,Right,FGCU,Undefined,1,Top,0,1,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.85658,-0.361359,-1.673973,1870.739306,245.882082,2:15,5.54972,1.2369,6.04145,-25.46663,7.85355,15.42103,3.09279,0.97169,83.84008,-5.0981,1.102348,0.415456,,,,,,,,,,,,-8.34741,4.44091,-1.11453,50,5.50776,3.2131,-132.13898,-1.69633,-14.89636,25.7001,-24.24904,MIA_HUR,FGCU,UofMiami,D1,ACC,20260331-UofMiami-1,47aa7080-2d4d-11f1-bc38-0dcb53d195f1,90.72543,,,7.01649,,,,,,,25b11d0a-01f1-487d-ad5f-ba252b2260cf,2026-03-31,22:02:15.49,2026-03-31T18:02:15.4950656-04:00,2026-03-31T22:02:15.4950656Z,,v3,236,4964,944ad54fd4c443b893a985f602994ab4,"Alvarez, Alonzo",828345,Right,MIA_HUR,b7ae2a36-fc5e-437c-9eab-44aae707bdce,54.45774,-133.00315,12.85005,5.55109,-0.88095,-12.12452,-1.23099,3.71399,-7.44818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-31,18:02:30.63,1,3,"Coats, TJ",1000254687,Right,MIA_HUR,"Gonzalez, Willfred",10108272,Right,FGCU,Undefined,1,Top,0,2,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.73353,-2.588477,-3.837361,2215.727306,223.190673,1:30,5.68266,1.06031,6.54809,-18.32733,14.78859,12.91576,1.77477,-1.38755,83.27892,-6.075076,-1.496406,0.414181,,,,,,,,,,,,-7.78398,8.76957,-0.79978,50,5.49524,8.31915,-131.60298,-6.46509,-13.70255,26.94662,-16.7365,MIA_HUR,FGCU,UofMiami,D1,ACC,20260331-UofMiami-1,50af3f30-2d4d-11f1-bc38-0dcb53d195f1,91.00481,,,7.45462,,,,,,,25b11d0a-01f1-487d-ad5f-ba252b2260cf,2026-03-31,22:02:30.63,2026-03-31T18:02:30.6363392-04:00,2026-03-31T22:02:30.6363392Z,,v3,236,4964,944ad54fd4c443b893a985f602994ab4,"Alvarez, Alonzo",828345,Right,MIA_HUR,e615cc46-2b8b-43b3-ae09-468986c69004,53.9499,-132.40928,13.47331,5.68119,-5.9643,-8.36825,-1.05484,8.72916,-6.85127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-31,18:02:44.37,1,4,"Coats, TJ",1000254687,Right,MIA_HUR,"Gonzalez, Willfred",10108272,Right,FGCU,Undefined,1,Top,0,3,0,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,90.61879,-3.908181,-2.152866,2210.568222,204.986955,12:45,5.82853,0.97245,6.29936,-13.58749,20.18765,8.87441,1.08729,-0.27249,82.58525,-6.536054,-0.548914,0.418283,,,,,,,,,,,,-5.23355,11.97225,-0.81837,50,5.5342,4.5741,-131.30876,-9.30557,-9.09597,28.98121,-11.36607,MIA_HUR,FGCU,UofMiami,D1,ACC,20260331-UofMiami-1,58d8a200-2d4d-11f1-bc38-0dcb53d195f1,90.11238,,,8.03354,,,,,,,25b11d0a-01f1-487d-ad5f-ba252b2260cf,2026-03-31,22:02:44.37,2026-03-31T18:02:44.3714560-04:00,2026-03-31T22:02:44.3714560Z,,v3,236,4964,944ad54fd4c443b893a985f602994ab4,"Alvarez, Alonzo",828345,Right,MIA_HUR,d99e4ca0-1515-40bc-878a-5122cfcbcceb,54.19746,-132.23193,14.49061,5.82486,-8.94351,-5.68303,-0.96869,4.86385,-4.54799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-31,18:03:18.83,2,1,"Coats, TJ",1000254687,Right,MIA_HUR,"Embury, Jon",810993,Right,FGCU,Undefined,1,Top,0,0,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.02104,-0.828447,-2.231401,1962.236454,231.68712,1:45,5.62346,1.30461,6.34396,-20.91151,10.99882,12.85013,3.11755,0.32025,85.43756,-4.749767,0.093776,0.406572,,,,,,,,,,,,-7.20807,6.20075,-1.14817,50,5.55316,4.69971,-133.91337,-2.59161,-13.3083,24.37752,-20.7256,MIA_HUR,FGCU,UofMiami,D1,ACC,20260331-UofMiami-1,6d647d70-2d4d-11f1-bc38-0dcb53d195f1,92.70799,,,6.58348,,,,,,,25b11d0a-01f1-487d-ad5f-ba252b2260cf,2026-03-31,22:03:18.83,2026-03-31T18:03:18.8370944-04:00,2026-03-31T22:03:18.8370944Z,,v3,236,4964,944ad54fd4c443b893a985f602994ab4,"Alvarez, Alonzo",828345,Right,MIA_HUR,229ea3b6-bc57-4ee3-aa50-e1433bb1925b,54.1558,-134.66777,12.18876,5.62344,-1.95023,-10.3628,-1.29998,5.11156,-6.65415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-31,18:03:36.32,2,2,"Coats, TJ",1000254687,Right,MIA_HUR,"Embury, Jon",810993,Right,FGCU,Undefined,1,Top,0,0,1,Sweeper,Slider,InPlay,Undefined,FlyBall,Out,1,0,,81.53704,-0.614417,-1.72405,2395.402448,112.214036,9:45,5.51104,1.38114,6.07656,-38.76227,2.29425,-3.00288,1.71209,-0.46474,76.16204,-7.734364,-2.265293,0.461171,79.32235,46.797842,-33.851713,,88.09853,96.4851,-65.86807,244.14592,194.88865,-40.257255,5.317702,1.16658,1.60811,-1.24617,50,5.44243,3.67906,-118.67749,-2.48146,1.68977,19.38194,-29.8447,MIA_HUR,FGCU,UofMiami,D1,ACC,20260331-UofMiami-1,77d58650-2d4d-11f1-bc38-0dcb53d195f1,81.73196,103.60769,,5.375,,,,3.1182,2.00513,0.39337,25b11d0a-01f1-487d-ad5f-ba252b2260cf,2026-03-31,22:03:36.32,2026-03-31T18:03:36.3220480-04:00,2026-03-31T22:03:36.3220480Z,FlyBall,v3,236,4964,944ad54fd4c443b893a985f602994ab4,"Alvarez, Alonzo",828345,Right,MIA_HUR,eb133536-ae7d-4d7f-a8c9-223bd16f8238,54.42477,-119.39794,9.69097,5.51405,-1.3721,-14.92235,-1.38176,3.61625,0.84489,164.872525,3.121,66.07875,-16.47849,3.90929,-0.40323,-0.07414,0.03238,-0.00427,0.0002,2.00317,84.83665,-20.27569,1.50054,-0.25801,0.02461,0.0049,-0.00149,0.0001,0.39153,-44.32796,6.3894,-1.19778,0.05947,0.04048,-0.01172,0.0013,-5E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
7,2026-03-31,18:04:37.37,3,1,"Coats, TJ",1000254687,Right,MIA_HUR,"Gorostola, Javier",832042,Right,FGCU,Undefined,1,Top,1,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,77.60309,2.551793,-0.478383,2289.74545,9.180169,6:15,6.01382,0.9623,6.24563,-52.53377,-7.18469,-1.36492,3.99115,0.40734,71.82499,-7.137204,-0.725123,0.48468,,,,,,,,,,,,0.58425,-3.92339,-0.9261,50,6.17831,0.99053,-112.8752,3.43781,0.7604,18.8491,-37.28037,MIA_HUR,FGCU,UofMiami,D1,ACC,20260331-UofMiami-1,9c43b250-2d4d-11f1-bc38-0dcb53d195f1,77.76761,,,5.77809,,,,,,,25b11d0a-01f1-487d-ad5f-ba252b2260cf,2026-03-31,22:04:37.37,2026-03-31T18:04:37.3791744-04:00,2026-03-31T22:04:37.3791744Z,,v3,236,4964,944ad54fd4c443b893a985f602994ab4,"Alvarez, Alonzo",828345,Right,MIA_HUR,05c0bfe0-e0a3-4e19-afbb-09e96870c406,54.25542,-113.5836,9.42455,6.02278,4.83889,-18.64019,-0.96279,0.96196,0.3802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-31,18:04:54.25,3,2,"Coats, TJ",1000254687,Right,MIA_HUR,"Gorostola, Javier",832042,Right,FGCU,Undefined,1,Top,1,1,0,Sinker,Sinker,InPlay,Undefined,GroundBall,Out,2,0,,92.69431,-1.603606,-2.441234,2111.172768,232.069793,1:45,5.59564,1.26231,6.01431,-19.55198,12.52784,14.88843,2.47911,0.24026,85.53327,-5.265863,0.235874,0.40765,101.81017,-6.370053,7.034967,,,,,28.02041,27.12686,6.192126,0.184942,-8.32552,7.14544,-1.07914,50,5.45901,5.11891,-134.71193,-4.41468,-15.44637,26.62374,-18.91709,MIA_HUR,FGCU,UofMiami,D1,ACC,20260331-UofMiami-1,a643a9e0-2d4d-11f1-bc38-0dcb53d195f1,92.4628,2.79767,,7.16104,,,,0.97308,2.79767,-0.30075,25b11d0a-01f1-487d-ad5f-ba252b2260cf,2026-03-31,22:04:54.25,2026-03-31T18:04:54.2573568-04:00,2026-03-31T22:04:54.2573568Z,GroundBall,v3,236,4964,944ad54fd4c443b893a985f602994ab4,"Alvarez, Alonzo",828345,Right,MIA_HUR,2a3d0183-e56e-43ab-b9bf-4aa1a69f2057,54.48584,-135.59559,13.31187,5.59512,-3.7868,-9.45855,-1.25755,5.63158,-7.72319,180.411398,0.97318,147.27525,-10.34173,,,,,,,2.79691,-16.51248,7.53435,,,,,,,-0.30074,18.17489,-1.11689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
9,2026-03-31,18:08:03.04,1,1,"Rogers, Preston",10063475,Right,FGCU,"Ogden, Jake",804826,Right,MIA_HUR,Undefined,1,Bottom,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.41247,-1.06351,-1.606727,1960.870942,213.337605,1:00,5.64496,1.1077,5.94993,-18.76485,17.10198,10.45611,3.09437,0.48848,80.31039,-4.634676,0.271606,0.43104,,,,,,,,,,,,-5.79811,9.42729,-0.98553,50,5.54982,3.15325,-128.30556,-2.92723,-9.60661,28.05292,-16.55438,MIA_HUR,FGCU,UofMiami,D1,ACC,20260331-UofMiami-1,16d25c60-2d4e-11f1-bc38-0dcb53d195f1,87.44529,,,8.10208,,,,,,,25b11d0a-01f1-487d-ad5f-ba252b2260cf,2026-03-31,22:08:03.04,2026-03-31T18:08:03.0438912-04:00,2026-03-31T22:08:03.0438912Z,,v3,236,4964,944ad54fd4c443b893a985f602994ab4,"Embury, Jon",810993,Right,FGCU,b18f7026-b3d4-4e49-b074-232c504222e2,54.54525,-129.29553,14.02646,5.64281,-2.34304,-8.27719,-1.10279,3.49226,-4.8033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-31,18:08:19.30,1,2,"Rogers, Preston",10063475,Right,FGCU,"Ogden, Jake",804826,Right,MIA_HUR,Undefined,1,Bottom,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.6852,-3.19792,-3.231097,1955.474441,204.102045,12:45,5.57897,1.06955,6.20905,-18.60344,16.52202,6.90083,1.06947,-1.34061,81.50054,-6.711898,-1.987504,0.426562,,,,,,,,,,,,-4.41595,9.74406,-0.83021,50,5.32899,6.97675,-128.55135,-7.72132,-7.42053,25.6018,-15.80018,MIA_HUR,FGCU,UofMiami,D1,ACC,20260331-UofMiami-1,208397b0-2d4e-11f1-bc38-0dcb53d195f1,88.36331,,,7.18466,,,,,,,25b11d0a-01f1-487d-ad5f-ba252b2260cf,2026-03-31,22:08:19.30,2026-03-31T18:08:19.3058816-04:00,2026-03-31T22:08:19.3058816Z,,v3,236,4964,944ad54fd4c443b893a985f602994ab4,"Embury, Jon",810993,Right,FGCU,0491c469-972d-4d7c-87ab-047402ea1ff4,54.2876,-129.40243,12.8009,5.57694,-7.19607,-7.90009,-1.06624,7.22343,-3.71027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
