PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-31,18:33:16.98,1,1,"Valentin, Alex",806251,Left,SOU_GAM,"Collins, Cade",1000072111,Left,WOF_TER,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.9845,-2.176828,5.055963,2495.666223,136.880841,10:30,6.00984,-2.61416,5.2031,-14.09209,20.25588,-17.84115,2.77923,0.66654,83.27083,-4.869174,1.912126,0.421815,,,,,,,,,,,,10.30028,11.04819,2.15882,50,5.79742,-10.88497,-132.82057,-5.49965,18.30693,29.7928,-12.53782,SOU_GAM,WOF_TER,UofSouthCarolina,D1,SEC,20260331-UofSouthCarolina-1,9d0afd20-2d51-11f1-88f5-9f222aeff000,89.35776,,,8.71367,,,,,,,9b8a5062-cf69-4eef-8ddc-b94fae0f80e3,2026-03-31,22:33:16.98,2026-03-31T18:33:16.9827840-04:00,2026-03-31T22:33:16.9827840Z,,v3,471441,471512,82bc2f2eda744309814e202ed1ccae08,"LeCroy, Talmadge",701782,Right,SOU_GAM,e7dc21e6-459f-4242-9224-3ba2460d77be,55.29314,-134.00261,14.8964,6.00575,-5.00221,-6.26891,2.60509,-11.6113,9.15346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-31,18:33:32.08,1,2,"Valentin, Alex",806251,Left,SOU_GAM,"Collins, Cade",1000072111,Left,WOF_TER,Undefined,1,Top,0,0,1,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,94.19346,-3.276402,5.018897,2552.214254,130.670141,10:15,5.87326,-2.67079,4.87301,-15.46721,17.7869,-19.32131,1.4687,0.48043,85.26509,-6.183494,1.633108,0.415044,,,,,,,,,,,,10.96123,10.05894,2.19335,50,5.53729,-10.94443,-135.82477,-8.35655,20.35177,31.44211,-13.49753,SOU_GAM,WOF_TER,UofSouthCarolina,D1,SEC,20260331-UofSouthCarolina-1,a60b10e0-2d51-11f1-88f5-9f222aeff000,90.81556,,,8.92837,,,,,,,9b8a5062-cf69-4eef-8ddc-b94fae0f80e3,2026-03-31,22:33:32.08,2026-03-31T18:33:32.0837632-04:00,2026-03-31T22:33:32.0837632Z,,v3,471441,471512,82bc2f2eda744309814e202ed1ccae08,"LeCroy, Talmadge",701782,Right,SOU_GAM,4b9d81ca-1a7c-4263-8d28-339d2b8017ab,55.62398,-137.12049,15.72106,5.8702,-7.80033,-6.74877,2.66164,-11.78312,10.17588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-31,18:33:51.46,1,3,"Valentin, Alex",806251,Left,SOU_GAM,"Collins, Cade",1000072111,Left,WOF_TER,Undefined,1,Top,0,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.27055,-3.03416,5.163627,2567.769951,134.726718,10:30,5.8903,-2.67143,4.98796,-15.8115,17.79721,-16.81359,1.69331,0.81642,84.84444,-5.999377,2.212934,0.417251,,,,,,,,,,,,9.74067,9.98331,2.18713,50,5.58441,-11.32811,-134.58605,-7.71821,17.84612,29.51291,-13.88336,SOU_GAM,WOF_TER,UofSouthCarolina,D1,SEC,20260331-UofSouthCarolina-1,b1981110-2d51-11f1-88f5-9f222aeff000,90.33519,,,8.42611,,,,,,,9b8a5062-cf69-4eef-8ddc-b94fae0f80e3,2026-03-31,22:33:51.46,2026-03-31T18:33:51.4649088-04:00,2026-03-31T22:33:51.4649088Z,,v3,471441,471512,82bc2f2eda744309814e202ed1ccae08,"LeCroy, Talmadge",701782,Right,SOU_GAM,c7b49b9a-855c-4190-863f-a122f7d26366,55.50936,-135.78881,14.75645,5.88743,-7.15241,-6.94168,2.66361,-12.0554,8.92306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-31,18:34:08.54,1,4,"Valentin, Alex",806251,Left,SOU_GAM,"Collins, Cade",1000072111,Left,WOF_TER,Undefined,1,Top,0,2,1,Sinker,Sinker,InPlay,Undefined,LineDrive,Double,0,0,,93.51991,-1.897086,4.224036,2549.123811,131.448432,10:30,5.83359,-2.82069,4.92633,-16.69548,16.71662,-17.64564,2.6434,-0.29084,84.9332,-5.021174,1.123927,0.416029,72.01968,28.171971,-23.00391,4575.376287,96.71851,40.97972,-52.3978,233.72658,208.93098,-33.752769,3.396274,9.93107,9.12851,2.42417,50,5.63513,-9.11099,-135.21971,-5.10003,18.33144,30.31966,-15.32403,SOU_GAM,WOF_TER,UofSouthCarolina,D1,SEC,20260331-UofSouthCarolina-1,bbc692b0-2d51-11f1-88f5-9f222aeff000,90.60052,41.69861,,8.58671,,,,0.02295,2.56894,0.2636,9b8a5062-cf69-4eef-8ddc-b94fae0f80e3,2026-03-31,22:34:08.54,2026-03-31T18:34:08.5465600-04:00,2026-03-31T22:34:08.5465600Z,FlyBall,v3,471441,471512,82bc2f2eda744309814e202ed1ccae08,"LeCroy, Talmadge",701782,Right,SOU_GAM,2435138a-7df4-44df-b200-b4bfe3d67981,55.57162,-136.46329,15.15983,5.83143,-4.4715,-7.66201,2.81328,-9.86286,9.16572,134.181341,0.02256,85.72629,-15.74955,3.88011,-0.92475,0.24902,-0.06686,0.01172,-0.00085,2.56941,49.85145,-16.7491,0.45958,0.17086,-0.12367,0.04102,-0.00617,0.00032,0.2635,-36.38376,-1.90424,0.89482,-0.26645,0.05676,-0.00906,0.00091,-4E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2026-03-31,18:35:01.76,2,1,"Valentin, Alex",806251,Left,SOU_GAM,"Brini, Niko",808843,Left,WOF_TER,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,Popup,Out,1,0,,91.92295,-1.835329,4.002294,2433.867243,143.002966,10:45,6.03547,-2.77576,5.00418,-13.63198,21.41596,-15.10383,3.16216,-0.25024,82.09233,-4.46935,1.344987,0.426091,29.66239,33.338454,-21.838506,1645.502581,,,,58.73791,54.16955,-22.42292,1.664509,8.8506,11.61123,2.40388,50,5.84895,-8.54853,-132.69867,-4.67815,15.45596,33.85567,-11.89713,SOU_GAM,WOF_TER,UofSouthCarolina,D1,SEC,20260331-UofSouthCarolina-1,db7fc220-2d51-11f1-88f5-9f222aeff000,88.46095,12.3147,,9.83062,,,,2.38418,3.23815,0.26848,9b8a5062-cf69-4eef-8ddc-b94fae0f80e3,2026-03-31,22:35:01.76,2026-03-31T18:35:01.7660416-04:00,2026-03-31T22:35:01.7660416Z,GroundBall,v3,471441,471512,82bc2f2eda744309814e202ed1ccae08,"LeCroy, Talmadge",701782,Right,SOU_GAM,c2bc2de8-78e4-4328-9288-1544287f9ef4,55.49141,-134.09238,16.92784,6.03146,-4.18839,-5.94857,2.76889,-9.18479,7.72798,154.023037,2.38388,33.76915,-2.08086,2.19659,-5.2002,6.77268,-4.76174,1.68306,-0.23062,3.23813,23.90945,-16.02052,0.21744,0.80477,-1.61143,1.57003,-0.77122,0.14716,0.26811,-13.47453,-0.75642,3.63561,-9.67075,13.80731,-10.87224,4.40957,-0.71228,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2026-03-31,18:35:42.73,3,1,"Valentin, Alex",806251,Left,SOU_GAM,"Tribble, Logan",1000092072,Right,WOF_TER,Undefined,1,Top,1,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.25635,-2.52216,4.931689,1437.612216,102.876499,9:30,5.89548,-2.71651,5.25357,-37.06423,4.73705,-14.54359,0.4266,0.71687,76.181,-9.255562,2.359597,0.465336,,,,,,,,,,,,8.75949,3.49906,2.27468,50,5.6358,-9.76942,-120.27698,-6.64402,12.76891,24.39386,-27.07336,SOU_GAM,WOF_TER,UofSouthCarolina,D1,SEC,20260331-UofSouthCarolina-1,f403d9d0-2d51-11f1-88f5-9f222aeff000,81.00055,,,7.07535,,,,,,,9b8a5062-cf69-4eef-8ddc-b94fae0f80e3,2026-03-31,22:35:42.73,2026-03-31T18:35:42.7323904-04:00,2026-03-31T22:35:42.7323904Z,,v3,471441,471512,82bc2f2eda744309814e202ed1ccae08,"LeCroy, Talmadge",701782,Right,SOU_GAM,3dd62492-0f57-497c-93d1-3550cd018d7a,55.24537,-121.33615,12.19693,5.89876,-5.4685,-13.53668,2.7109,-10.32384,6.38446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-31,18:36:07.86,3,2,"Valentin, Alex",806251,Left,SOU_GAM,"Tribble, Logan",1000092072,Right,WOF_TER,Undefined,1,Top,1,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.11616,-1.91753,4.234295,2371.387682,141.185516,10:45,6.03302,-2.80139,4.89419,-16.87682,17.80434,-13.32953,2.80721,0.10027,83.23816,-5.086846,1.894866,0.423856,66.87627,33.874108,157.060506,2862.085887,-103.87364,30.99219,36.19749,164.6634,54.71307,163.386321,2.558938,7.87134,9.71957,2.39785,50,5.83136,-9.1982,-133.07545,-5.06644,13.99074,30.90744,-14.89825,SOU_GAM,WOF_TER,UofSouthCarolina,D1,SEC,20260331-UofSouthCarolina-1,02e53520-2d52-11f1-88f5-9f222aeff000,88.9275,33.53253,,8.878,,,,1.11128,2.8276,-0.10576,9b8a5062-cf69-4eef-8ddc-b94fae0f80e3,2026-03-31,22:36:07.86,2026-03-31T18:36:07.8615040-04:00,2026-03-31T22:36:07.8615040Z,FlyBall,v3,471441,471512,82bc2f2eda744309814e202ed1ccae08,"LeCroy, Talmadge",701782,Right,SOU_GAM,904ad3fd-3933-4d6f-bd6b-0b95b01feb55,55.60253,-134.37036,15.45372,6.03055,-4.44225,-7.44913,2.7955,-9.78436,6.99537,331.312625,1.11134,-75.0002,4.15777,0.32427,0.18035,-0.24973,0.15213,-0.0436,0.00469,2.82764,54.66756,-27.24708,3.05005,-0.52763,0.05328,0.01514,-0.00479,0.00031,-0.10581,31.74354,-5.96284,0.63176,-0.33875,0.24204,-0.13016,0.03634,-0.0039,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
8,2026-03-31,18:36:30.50,3,3,"Valentin, Alex",806251,Left,SOU_GAM,"Tribble, Logan",1000092072,Right,WOF_TER,Undefined,1,Top,1,1,1,ChangeUp,Changeup,InPlay,Undefined,FlyBall,Out,1,0,,82.26616,-1.375225,3.683572,1386.278997,102.209341,9:30,5.82571,-2.71003,5.33374,-39.08616,3.67347,-10.03127,1.27536,-0.08523,74.81337,-8.514528,1.903461,0.470639,88.9919,37.151722,-8.63038,4472.816079,108.96994,74.2045,-15.01615,321.04013,319.40434,-7.276575,5.16035,6.21796,2.66941,2.38469,50,5.67321,-7.25177,-119.04917,-4.23346,8.81933,25.34772,-28.38787,SOU_GAM,WOF_TER,UofSouthCarolina,D1,SEC,20260331-UofSouthCarolina-1,106811e0-2d52-11f1-88f5-9f222aeff000,80.08771,94.34548,,7.4528,,,,2.57115,1.50136,0.12548,9b8a5062-cf69-4eef-8ddc-b94fae0f80e3,2026-03-31,22:36:30.50,2026-03-31T18:36:30.5043968-04:00,2026-03-31T22:36:30.5043968Z,FlyBall,v3,471441,471512,82bc2f2eda744309814e202ed1ccae08,"LeCroy, Talmadge",701782,Right,SOU_GAM,592da2be-a8eb-4cd4-84d7-c6366c4994c6,55.16437,-120.14373,12.67386,5.82955,-3.00763,-14.19394,2.70605,-7.6326,4.40967,183.541211,2.57478,102.78033,-21.29818,5.37937,-0.92665,0.09709,-0.00523,0.00025,-2E-05,1.50104,78.82387,-18.05179,0.25168,0.37325,-0.18742,0.04773,-0.00613,0.00031,0.12481,-15.59717,4.12062,-1.10636,0.20636,-0.0249,0.00175,-9E-05,0,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
9,2026-03-31,18:37:15.78,4,1,"Valentin, Alex",806251,Left,SOU_GAM,"Timblin, Ben",831486,Right,WOF_TER,Undefined,1,Top,2,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.63691,-0.253877,5.819874,1309.144379,111.738522,9:45,5.82347,-3.0514,5.30095,-35.36073,7.67059,-15.07619,2.63718,1.17472,74.0957,-6.772126,3.162596,0.472132,,,,,,,,,,,,9.41256,4.42292,2.53204,50,5.77517,-11.48022,-119.08271,-1.76073,13.25756,26.94406,-25.94442,SOU_GAM,WOF_TER,UofSouthCarolina,D1,SEC,20260331-UofSouthCarolina-1,2babbec0-2d52-11f1-88f5-9f222aeff000,79.83449,,,8.54122,,,,,,,9b8a5062-cf69-4eef-8ddc-b94fae0f80e3,2026-03-31,22:37:15.78,2026-03-31T18:37:15.7821440-04:00,2026-03-31T22:37:15.7821440Z,,v3,471441,471512,82bc2f2eda744309814e202ed1ccae08,"LeCroy, Talmadge",701782,Right,SOU_GAM,f1af39e5-de8d-4d7d-bf14-e6eba48a370b,55.19296,-120.25195,13.47203,5.82715,-0.63488,-12.97221,3.04271,-12.05554,6.62878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-31,18:37:34.68,4,2,"Valentin, Alex",806251,Left,SOU_GAM,"Timblin, Ben",831486,Right,WOF_TER,Undefined,1,Top,2,1,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.33838,0.671558,3.365785,1263.165499,90.70146,9:00,5.87806,-2.8991,5.05769,-43.3705,1.66559,-12.52753,2.89828,-0.76537,73.1715,-7.216075,1.154852,0.483005,,,,,,,,,,,,7.17485,1.10602,2.58902,50,5.90779,-6.30628,-116.32079,-0.20822,9.77431,22.97998,-30.66732,SOU_GAM,WOF_TER,UofSouthCarolina,D1,SEC,20260331-UofSouthCarolina-1,36c73870-2d52-11f1-88f5-9f222aeff000,78.03736,,,7.16688,,,,,,,9b8a5062-cf69-4eef-8ddc-b94fae0f80e3,2026-03-31,22:37:34.68,2026-03-31T18:37:34.6843648-04:00,2026-03-31T22:37:34.6843648Z,,v3,471441,471512,82bc2f2eda744309814e202ed1ccae08,"LeCroy, Talmadge",701782,Right,SOU_GAM,3163e566-9f50-447b-81a2-de888b7b213c,55.43957,-117.3905,11.48999,5.88426,1.21932,-15.33366,2.89316,-6.76127,4.88716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
