PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-31,18:10:14.40,1,1,"Vandenbosch, Evan",1000360212,Left,WIN_EAG,"Amman, Jacob",1000239957,Right,COL_CHA,Undefined,1,Top,0,0,0,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.90769,-1.463054,2.74752,2160.068419,123.454207,10:00,6.04591,-1.06686,5.29501,-22.96671,13.71509,-18.74241,2.75652,-0.04717,80.21688,-5.750095,-0.577344,0.43591,72.70669,-45.182681,-71.927174,,,,,5.97125,3.47497,-46.797942,0.047944,10.32316,7.71556,0.83135,50,5.89647,-5.33537,-128.73264,-4.09394,17.07958,30.23156,-19.4087,WIN_EAG,COL_CHA,WinthropUniversity,D1,BSOU,20260331-WinthropUniversity-1,68e5b6a0-2d4e-11f1-a574-11a56876de24,86.46841,3.64462,,8.6908,,,,2.96429,3.64462,-0.90992,fee2ccc0-2d88-4bea-b8a6-a55121a3473d,2026-03-31,22:10:14.40,2026-03-31T18:10:14.4066560-04:00,2026-03-31T22:10:14.4066560Z,GroundBall,v3,471494,471501,,"Norton, Cade",10057502,Right,WIN_EAG,b0bef1df-bdbe-471e-b3ea-fbbf784750b3,55.20196,-129.94853,15.11578,6.04543,-3.31334,-9.70435,1.05975,-6.02229,8.53979,,2.9634,23.43291,,,,,,,,3.64751,-76.01826,,,,,,,,-0.90719,-71.80838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
2,2026-03-31,18:10:37.39,1,2,"Vandenbosch, Evan",1000360212,Left,WIN_EAG,"Amman, Jacob",1000239957,Right,COL_CHA,Undefined,1,Top,0,0,1,Curveball,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,76.50705,0.842497,2.323348,2451.51561,357.42758,6:00,5.9132,-0.92255,5.04102,-64.62803,-14.63536,0.73547,1.32297,1.33157,69.82649,-10.783538,2.453606,0.508891,,,,,,,,,,,,0.38799,-7.04115,0.70024,50,5.9416,-4.52742,-110.86078,-0.68305,0.47525,22.74008,-40.79832,WIN_EAG,COL_CHA,WinthropUniversity,D1,BSOU,20260331-WinthropUniversity-1,76b1f870-2d4e-11f1-a574-11a56876de24,74.06783,,,6.68056,,,,,,,fee2ccc0-2d88-4bea-b8a6-a55121a3473d,2026-03-31,22:10:37.39,2026-03-31T18:10:37.3915648-04:00,2026-03-31T22:10:37.3915648Z,,v3,471494,471501,,"Norton, Cade",10057502,Right,WIN_EAG,87a5ba02-4653-4867-be51-f70b8e86bad3,55.45904,-111.97496,11.37004,5.9261,1.31591,-20.39916,0.92264,-4.55071,0.23762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-31,18:10:58.18,1,3,"Vandenbosch, Evan",1000360212,Left,WIN_EAG,"Amman, Jacob",1000239957,Right,COL_CHA,Undefined,1,Top,0,0,2,Curveball,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.3971,-0.192864,2.258307,2353.130845,346.079933,5:30,5.94673,-0.99713,4.99072,-53.19397,-9.34158,2.66394,1.33166,1.35823,74.77328,-9.74847,2.729359,0.476615,,,,,,,,,,,,-0.65752,-4.18858,0.77739,50,5.88447,-4.76773,-118.03361,-2.41719,-0.92206,23.71841,-38.04782,WIN_EAG,COL_CHA,WinthropUniversity,D1,BSOU,20260331-WinthropUniversity-1,83133890-2d4e-11f1-a574-11a56876de24,79.08356,,,6.62382,,,,,,,fee2ccc0-2d88-4bea-b8a6-a55121a3473d,2026-03-31,22:10:58.18,2026-03-31T18:10:58.1891584-04:00,2026-03-31T22:10:58.1891584Z,,v3,471494,471501,,"Norton, Cade",10057502,Right,WIN_EAG,672d9cdb-9f05-4e0d-9b3e-a68107bff92d,55.50883,-119.13544,11.85921,5.95571,-0.64968,-19.02391,0.99787,-4.7249,-0.46103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-31,18:11:17.74,1,4,"Vandenbosch, Evan",1000360212,Left,WIN_EAG,"Amman, Jacob",1000239957,Right,COL_CHA,Undefined,1,Top,0,1,2,Fastball,Sinker,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,89.99652,-0.062676,1.834059,2153.7153,134.188916,10:30,5.98121,-1.10342,5.61331,-21.81324,13.99894,-12.92595,4.10492,-0.46824,79.99108,-4.204221,-0.472987,0.430712,,,,,,,,,,,,7.1089,7.49233,0.95491,50,5.9623,-3.56679,-130.22189,-0.85257,11.87304,34.31651,-19.66064,WIN_EAG,COL_CHA,WinthropUniversity,D1,BSOU,20260331-WinthropUniversity-1,8eada640-2d4e-11f1-a574-11a56876de24,87.51195,,,10.00545,,,,,,,fee2ccc0-2d88-4bea-b8a6-a55121a3473d,2026-03-31,22:11:17.74,2026-03-31T18:11:17.7440000-04:00,2026-03-31T22:11:17.7440000Z,,v3,471494,471501,,"Norton, Cade",10057502,Right,WIN_EAG,9a835df7-0c82-4f2a-8857-18098b9696ee,54.87719,-131.50086,17.15826,5.98042,-0.11982,-9.83032,1.09609,-4.0093,5.93652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.32859,2.949216,1.204685,1.744531,-1.53677,3.88073,0.49591,-5.05309,4.47755,3.57909,72.49442,2.61114,52.27698,-4.99338,48.83029,-2.55068,4.59001,26.54225,-15.92142,3.57521,29.16277,-0.71025,High,High,High,,,High,High,High
5,2026-03-31,18:11:50.66,2,1,"Vandenbosch, Evan",1000360212,Left,WIN_EAG,"Diaz, Nick",10119642,Right,COL_CHA,Undefined,1,Top,1,0,0,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,,90.14028,-0.971544,1.29149,2215.98046,142.895872,10:45,5.88158,-1.02689,5.68934,-20.87214,14.37938,-9.88465,3.23645,-0.64675,80.9675,-4.921084,-0.476128,0.427327,83.18342,18.238686,-8.781187,1475.013146,108.81162,27.22851,-16.12254,244.96872,243.70629,-8.378905,2.8412,5.48213,8.00863,0.92476,50,5.78722,-2.51307,-130.65293,-2.89256,9.2939,32.46122,-18.59692,WIN_EAG,COL_CHA,WinthropUniversity,D1,BSOU,20260331-WinthropUniversity-1,a2469630-2d4e-11f1-a574-11a56876de24,88.20515,28.15408,,9.17278,,,,1.78542,3.25649,0.62051,fee2ccc0-2d88-4bea-b8a6-a55121a3473d,2026-03-31,22:11:50.66,2026-03-31T18:11:50.6633216-04:00,2026-03-31T22:11:50.6633216Z,LineDrive,v3,471494,471501,,"Norton, Cade",10057502,Right,WIN_EAG,5cb9baed-16a8-4e3e-8272-ec6d0040d980,54.80612,-131.84162,16.23061,5.88068,-2.21156,-9.29846,1.02302,-2.8534,4.64695,175.51137,1.78543,114.51427,-17.17459,3.71354,-0.74809,0.14367,-0.02577,0.00367,-0.00026,3.25648,38.18413,-15.43288,0.65467,-0.03571,-0.00917,0.00589,-0.00101,6E-05,0.62051,-17.68947,2.10369,-0.10607,-0.03573,0.0176,-0.00485,0.00087,-7E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2026-03-31,18:12:30.84,3,1,"Vandenbosch, Evan",1000360212,Left,WIN_EAG,"Johnson, Dylan",805359,Right,COL_CHA,Undefined,1,Top,1,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,76.86638,3.767871,-1.663751,2480.036692,344.486844,5:30,5.9174,-0.94527,4.97201,-64.33488,-14.40568,4.5017,4.12159,-2.142,69.25976,-7.862625,-0.869785,0.508568,,,,,,,,,,,,-2.75193,-7.718,1.10214,50,6.22922,3.03919,-111.13533,4.95793,-3.38166,23.16278,-41.65812,WIN_EAG,COL_CHA,WinthropUniversity,D1,BSOU,20260331-WinthropUniversity-1,ba450320-2d4e-11f1-a574-11a56876de24,74.1149,,,7.60662,,,,,,,fee2ccc0-2d88-4bea-b8a6-a55121a3473d,2026-03-31,22:12:30.84,2026-03-31T18:12:30.8449280-04:00,2026-03-31T22:12:30.8449280Z,,v3,471494,471501,,"Norton, Cade",10057502,Right,WIN_EAG,6219b4b2-cebf-4c4a-b32b-a451791b616b,55.52651,-112.28125,11.58139,5.93296,7.01887,-20.82906,0.94764,3.20649,-1.69083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-31,18:12:52.08,3,2,"Vandenbosch, Evan",1000360212,Left,WIN_EAG,"Johnson, Dylan",805359,Right,COL_CHA,Undefined,1,Top,1,1,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,81.78259,0.651047,2.309945,1329.238801,113.507373,9:45,6.05828,-0.73733,5.71644,-34.04986,8.21434,-15.67202,3.82778,0.10958,74.44431,-5.667036,-0.492549,0.467905,,,,,,,,,,,,8.58859,4.42197,0.55375,50,6.09193,-4.15097,-118.6426,0.24537,12.18132,23.74514,-25.90232,WIN_EAG,COL_CHA,WinthropUniversity,D1,BSOU,20260331-WinthropUniversity-1,c6ea2a10-2d4e-11f1-a574-11a56876de24,80.55574,,,7.33828,,,,,,,fee2ccc0-2d88-4bea-b8a6-a55121a3473d,2026-03-31,22:12:52.08,2026-03-31T18:12:52.0838144-04:00,2026-03-31T22:12:52.0838144Z,,v3,471494,471501,,"Norton, Cade",10057502,Right,WIN_EAG,7e9482a0-66b8-4e88-a54b-619c5cbbec0a,54.77942,-119.59533,11.87257,6.06123,1.28466,-12.95116,0.73011,-4.63972,6.09066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-31,18:13:12.66,3,3,"Vandenbosch, Evan",1000360212,Left,WIN_EAG,"Johnson, Dylan",805359,Right,COL_CHA,Undefined,1,Top,1,2,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.59925,-1.188756,4.040556,2251.969131,120.277882,10:00,5.86334,-0.82587,5.88517,-23.67462,11.35438,-17.46111,2.7837,1.47722,81.60959,-5.619751,0.915048,0.425976,,,,,,,,,,,,10.05737,6.49744,0.50947,50,5.75365,-8.41979,-129.8263,-3.48017,17.11572,27.91181,-21.11665,WIN_EAG,COL_CHA,WinthropUniversity,D1,BSOU,20260331-WinthropUniversity-1,d3337560-2d4e-11f1-a574-11a56876de24,88.48483,,,7.98966,,,,,,,fee2ccc0-2d88-4bea-b8a6-a55121a3473d,2026-03-31,22:13:12.66,2026-03-31T18:13:12.6669312-04:00,2026-03-31T22:13:12.6669312Z,,v3,471494,471501,,"Norton, Cade",10057502,Right,WIN_EAG,6ba451b7-d8c9-4f32-8866-ac91ba58bdfc,54.61178,-130.81405,13.95591,5.86359,-2.73289,-10.55833,0.81814,-9.02549,8.55786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-31,18:13:35.16,3,4,"Vandenbosch, Evan",1000360212,Left,WIN_EAG,"Johnson, Dylan",805359,Right,COL_CHA,Undefined,1,Top,1,3,0,Fastball,Sinker,BallCalled,Walk,Undefined,Undefined,0,0,,89.85617,-2.521087,2.982706,2266.047751,128.92872,10:15,5.84307,-0.76707,5.68098,-22.1795,13.1693,-14.74918,1.64008,0.78663,81.40258,-6.673945,0.347834,0.427916,,,,,,,,,,,,8.41532,7.83583,0.52516,50,5.61671,-6.13053,-130.09544,-6.47381,14.26496,30.07637,-18.8914,WIN_EAG,COL_CHA,WinthropUniversity,D1,BSOU,20260331-WinthropUniversity-1,e09842d0-2d4e-11f1-a574-11a56876de24,88.08369,,,8.45359,,,,,,,fee2ccc0-2d88-4bea-b8a6-a55121a3473d,2026-03-31,22:13:35.16,2026-03-31T18:13:35.1624704-04:00,2026-03-31T22:13:35.1624704Z,,v3,471494,471501,,"Norton, Cade",10057502,Right,WIN_EAG,89747fe2-7d84-4960-a126-cb75413cac07,54.81506,-131.2039,15.03819,5.84247,-5.77758,-9.4457,0.76079,-6.65626,7.13248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-31,18:14:11.97,4,1,"Vandenbosch, Evan",1000360212,Left,WIN_EAG,"Lacoste, Alex",1000115348,Right,COL_CHA,Undefined,1,Top,1,0,0,Fastball,Sinker,InPlay,Undefined,GroundBall,Single,0,1,,89.56361,-1.164921,2.632977,2265.312408,124.235354,10:15,5.91004,-0.83134,5.36761,-22.76671,13.80284,-18.09513,2.91928,0.13117,79.62575,-5.455521,-0.581325,0.435242,106.05601,6.479818,-7.316238,1203.186049,,,,131.29619,127.80325,-6.624731,0.958894,10.05812,7.7587,0.6086,50,5.79002,-5.12482,-129.49592,-3.41377,16.58227,34.37118,-19.38273,WIN_EAG,COL_CHA,WinthropUniversity,D1,BSOU,20260331-WinthropUniversity-1,f680ef20-2d4e-11f1-a574-11a56876de24,86.60106,6.33763,,9.93786,,,,1.26834,3.03501,-0.17975,fee2ccc0-2d88-4bea-b8a6-a55121a3473d,2026-03-31,22:14:11.97,2026-03-31T18:14:11.9732224-04:00,2026-03-31T22:14:11.9732224Z,GroundBall,v3,471494,471501,,"Norton, Cade",10057502,Right,WIN_EAG,a1d797e9-60ca-4529-8165-b064086cc70e,55.12654,-130.84954,17.18559,5.90943,-2.65043,-9.69137,0.82328,-5.77787,8.29114,339.11874,1.38106,151.68188,-17.95525,,,,,,,3.14326,16.00002,-20.20981,,,,,,,-0.21305,-19.20243,3.8158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
