PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-27,19:04:26.62,1,1,"Pineau, Jack",802509,Right,CRE_BLU,"Ott, Brett",1000189973,Left,SAC_HOR,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.97662,-1.465818,-1.782971,2317.854953,234.402243,1:45,5.77808,2.0795,5.65867,-19.71111,15.24276,19.34505,2.76758,2.02834,81.08166,-5.217799,1.67418,0.425519,,,,,,,,,,,,-10.40359,8.63489,-1.94096,50,5.64195,3.214,-131.68789,-3.99842,-17.77497,35.0108,-17.42103,CRE_BLU,SAC_HOR,CharlesSchwabField,D1,BEAST,20260327-CharlesSchwabField-1,4dc646c0-2a31-11f1-9765-db476c236111,88.57989,,,9.89497,,,,,,,4f42c9e5-92bc-4a99-812b-1c2eed1008a1,2026-03-27,23:04:26.62,2026-03-27T19:04:26.6270720-04:00,2026-03-27T23:04:26.6270720Z,,v3,471278,471257,,"Capece, Connor",806487,Right,CRE_BLU,bd0b9326-b59e-47b2-9f5c-10d744022d56,54.83628,-132.96746,17.5054,5.77645,-3.36172,-8.71051,-2.0703,3.86364,-8.88748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-27,19:04:39.95,1,2,"Pineau, Jack",802509,Right,CRE_BLU,"Ott, Brett",1000189973,Left,SAC_HOR,Undefined,1,Top,0,1,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.7892,-1.840232,-2.873596,2347.112086,235.462182,1:45,5.72563,1.87788,5.64157,-19.44517,15.75918,20.8256,2.38579,0.93047,80.81262,-5.546998,0.84378,0.427041,,,,,,,,,,,,-11.54028,9.03351,-1.64715,50,5.55722,5.63681,-131.28568,-4.83633,-19.58544,34.94274,-16.84296,CRE_BLU,SAC_HOR,CharlesSchwabField,D1,BEAST,20260327-CharlesSchwabField-1,55bc8ba0-2a31-11f1-9765-db476c236111,88.26423,,,9.97658,,,,,,,4f42c9e5-92bc-4a99-812b-1c2eed1008a1,2026-03-27,23:04:39.95,2026-03-27T19:04:39.9564800-04:00,2026-03-27T23:04:39.9564800Z,,v3,471278,471257,,"Capece, Connor",806487,Right,CRE_BLU,1e403b88-2a4b-48e1-ac4f-d04e72b872cf,54.85359,-132.57121,17.47137,5.72375,-4.21668,-8.42148,-1.86778,6.35735,-9.79272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-27,19:04:53.59,1,3,"Pineau, Jack",802509,Right,CRE_BLU,"Ott, Brett",1000189973,Left,SAC_HOR,Undefined,1,Top,0,1,1,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,86.48305,-1.638781,-3.303021,2353.921205,193.848821,12:30,5.60686,2.04806,5.47355,-29.9673,8.09855,1.69929,1.57308,-0.90466,79.32585,-7.138807,-3.00095,0.444057,,,,,,,,,,,,-1.77122,4.91347,-1.75878,50,5.44236,7.15871,-125.31318,-4.65426,-2.81723,25.25944,-24.35892,CRE_BLU,SAC_HOR,CharlesSchwabField,D1,BEAST,20260327-CharlesSchwabField-1,5ddf37b0-2a31-11f1-9765-db476c236111,84.88191,,,7.1572,,,,,,,4f42c9e5-92bc-4a99-812b-1c2eed1008a1,2026-03-27,23:04:53.59,2026-03-27T19:04:53.5956480-04:00,2026-03-27T23:04:53.5956480Z,,v3,471278,471257,,"Capece, Connor",806487,Right,CRE_BLU,0cfa2016-9a19-41cd-b82f-2c4133251438,55.0239,-126.3218,12.62972,5.60878,-3.68161,-12.17946,-2.04687,7.2712,-1.40862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-27,19:05:09.17,1,4,"Pineau, Jack",802509,Right,CRE_BLU,"Ott, Brett",1000189973,Left,SAC_HOR,Undefined,1,Top,0,2,1,Sinker,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,86.59551,-1.963811,-3.855551,2384.43204,221.164062,1:15,5.65324,2.13779,5.59203,-28.8838,8.9765,6.78642,1.40775,-0.9021,79.36231,-7.282707,-2.647289,0.442857,,,,,,,,,,,,-4.4989,5.46918,-1.81104,50,5.4657,8.16106,-125.40062,-5.3099,-7.16376,25.35901,-23.46527,CRE_BLU,SAC_HOR,CharlesSchwabField,D1,BEAST,20260327-CharlesSchwabField-1,6726dbc0-2a31-11f1-9765-db476c236111,85.11201,,,7.23319,,,,,,,4f42c9e5-92bc-4a99-812b-1c2eed1008a1,2026-03-27,23:05:09.17,2026-03-27T19:05:09.1725312-04:00,2026-03-27T23:05:09.1725312Z,,v3,471278,471257,,"Capece, Connor",806487,Right,CRE_BLU,e9fb83c6-9763-4119-baf2-cf828670939a,54.90548,-126.38873,12.67951,5.65478,-4.39558,-11.73263,-2.13448,8.44019,-3.58188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-27,19:05:24.54,1,5,"Pineau, Jack",802509,Right,CRE_BLU,"Ott, Brett",1000189973,Left,SAC_HOR,Undefined,1,Top,0,3,1,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.95352,-2.821114,-3.843343,2408.344135,230.228604,1:45,5.71813,1.93685,5.66003,-17.7671,16.84544,18.7356,1.59871,-0.09125,82.20579,-6.190404,-0.502936,0.423436,,,,,,,,,,,,-10.66123,9.77272,-1.62327,50,5.4678,7.99136,-131.53081,-7.05089,-18.47212,30.75208,-15.24144,CRE_BLU,SAC_HOR,CharlesSchwabField,D1,BEAST,20260327-CharlesSchwabField-1,704e4da0-2a31-11f1-9765-db476c236111,89.01562,,,8.74773,,,,,,,4f42c9e5-92bc-4a99-812b-1c2eed1008a1,2026-03-27,23:05:24.54,2026-03-27T19:05:24.5494272-04:00,2026-03-27T23:05:24.5494272Z,,v3,471278,471257,,"Capece, Connor",806487,Right,CRE_BLU,6d00c7a4-eeb2-4229-8a10-0a9738e378bd,54.83728,-132.65695,15.37604,5.71578,-6.49275,-7.62072,-1.9283,8.66781,-9.23606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-27,19:05:40.21,1,6,"Pineau, Jack",802509,Right,CRE_BLU,"Ott, Brett",1000189973,Left,SAC_HOR,Undefined,1,Top,0,3,2,Fastball,Sinker,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,91.34701,-2.402991,-3.595143,2408.168986,230.836996,1:45,5.66564,2.01148,5.57422,-18.91127,15.51702,17.51741,1.83951,0.1089,82.47588,-5.972471,-0.475635,0.422308,,,,,,,,,,,,-9.91504,8.94363,-1.7131,50,5.44617,7.49154,-132.12878,-6.17296,-17.32068,31.25847,-16.5503,CRE_BLU,SAC_HOR,CharlesSchwabField,D1,BEAST,20260327-CharlesSchwabField-1,79a69380-2a31-11f1-9765-db476c236111,89.25346,,,8.87112,,,,,,,4f42c9e5-92bc-4a99-812b-1c2eed1008a1,2026-03-27,23:05:40.21,2026-03-27T19:05:40.2160000-04:00,2026-03-27T23:05:40.2160000Z,,v3,471278,471257,,"Capece, Connor",806487,Right,CRE_BLU,d5e76e45-363d-44e0-8c2c-4f8ca16db5e9,54.92205,-133.28813,15.62924,5.66374,-5.55912,-8.27515,-2.00287,8.13395,-8.66034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.11826,,1.760102,,-0.84992,1.5988,-0.0927,0.16878,6.1731,-2.09842,,,,0.28886,97.3635,-9.59827,6.17229,12.59801,-10.84728,-2.17356,-38.70367,5.41052,High,High,High,,,High,High,Low
7,2026-03-27,19:06:10.21,2,1,"Pineau, Jack",802509,Right,CRE_BLU,"Pimentel-Guerrero, Luis",1000372935,Left,SAC_HOR,Undefined,1,Top,1,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.95777,-1.639549,-2.559349,2041.591489,231.603306,1:45,5.69559,2.12111,5.82308,-22.51489,12.30737,14.0602,2.29315,0.91183,81.89596,-5.856961,-0.040231,0.424717,,,,,,,,,,,,-7.92162,7.11099,-1.92013,50,5.54817,5.22417,-130.46559,-4.48032,-13.58339,28.7651,-19.98067,CRE_BLU,SAC_HOR,CharlesSchwabField,D1,BEAST,20260327-CharlesSchwabField-1,8b8613a0-2a31-11f1-9765-db476c236111,88.74715,,,8.06181,,,,,,,4f42c9e5-92bc-4a99-812b-1c2eed1008a1,2026-03-27,23:06:10.21,2026-03-27T19:06:10.2126080-04:00,2026-03-27T23:06:10.2126080Z,,v3,471278,471257,,"Capece, Connor",806487,Right,CRE_BLU,b4562e22-49d5-4a8c-934c-3d28dda3c969,54.67489,-131.49227,14.38255,5.69536,-3.76718,-9.99033,-2.11524,5.70899,-6.7917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-27,19:06:25.39,2,2,"Pineau, Jack",802509,Right,CRE_BLU,"Pimentel-Guerrero, Luis",1000372935,Left,SAC_HOR,Undefined,1,Top,1,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.25045,-0.601505,-2.39199,1916.799966,272.059174,3:00,5.67543,2.12739,5.17207,-41.03305,0.7213,19.32907,1.68946,1.48587,75.89132,-8.066746,1.035527,0.465074,,,,,,,,,,,,-10.40138,0.92803,-1.92013,50,5.58802,4.21638,-120.68657,-2.78073,-15.21044,25.35177,-30.81693,CRE_BLU,SAC_HOR,CharlesSchwabField,D1,BEAST,20260327-CharlesSchwabField-1,9490aeb0-2a31-11f1-9765-db476c236111,81.04607,,,7.35913,,,,,,,4f42c9e5-92bc-4a99-812b-1c2eed1008a1,2026-03-27,23:06:25.39,2026-03-27T19:06:25.3962752-04:00,2026-03-27T23:06:25.3962752Z,,v3,471278,471257,,"Capece, Connor",806487,Right,CRE_BLU,3aad1e3c-ca6a-4f91-a2be-d5e2fcb4f0dc,55.32793,-121.80063,12.67589,5.68046,-1.42651,-15.40847,-2.12011,4.88479,-7.60522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-27,19:06:40.46,2,3,"Pineau, Jack",802509,Right,CRE_BLU,"Pimentel-Guerrero, Luis",1000372935,Left,SAC_HOR,Undefined,1,Top,1,1,1,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,84.30092,-1.99385,-3.501944,1895.544121,249.563434,2:15,5.71062,2.13504,5.16606,-32.0814,8.84371,19.8567,1.15639,0.48981,76.58683,-7.873766,0.012395,0.460433,69.16497,12.220303,17.418912,1300.84675,104.80109,8.1664,33.41739,149.80511,134.08519,18.146915,1.750626,-11.06595,5.41347,-1.82448,50,5.50007,6.61498,-121.98214,-5.4014,-16.50343,26.27671,-24.10056,CRE_BLU,SAC_HOR,CharlesSchwabField,D1,BEAST,20260327-CharlesSchwabField-1,9d92be40-2a31-11f1-9765-db476c236111,81.86308,10.04405,,7.7141,,,,2.06545,1.23516,-0.47429,4f42c9e5-92bc-4a99-812b-1c2eed1008a1,2026-03-27,23:06:40.46,2026-03-27T19:06:40.4630016-04:00,2026-03-27T23:06:40.4630016Z,GroundBall,v3,471278,471257,,"Capece, Connor",806487,Right,CRE_BLU,b44e0393-bcf5-4c23-86d4-7a3fb4347f59,55.33348,-123.12569,13.13836,5.71231,-4.35256,-12.05028,-2.12799,7.3332,-8.25171,195.180893,2.06545,94.59606,-10.62727,1.71948,-0.19208,-0.06001,0.04848,-0.01439,0.00171,1.23513,21.47561,-13.61273,0.92258,-0.60986,0.45994,-0.21414,0.05578,-0.00616,-0.4743,29.68017,-2.01244,0.41858,-0.22022,0.14459,-0.06643,0.01711,-0.00186,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2026-03-27,19:07:13.30,3,1,"Pineau, Jack",802509,Right,CRE_BLU,"Dessens, Erick",10148121,Left,SAC_HOR,Undefined,1,Top,2,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.69609,-1.442318,-2.277809,2249.789865,260.518066,2:45,5.67009,2.03178,5.70519,-30.2845,5.08851,23.06308,1.80117,1.83026,81.36394,-7.041902,1.85102,0.428063,,,,,,,,,,,,-12.49863,3.38394,-1.85565,50,5.53034,4.17689,-130.081,-4.36111,-21.14801,30.46854,-26.4483,CRE_BLU,SAC_HOR,CharlesSchwabField,D1,BEAST,20260327-CharlesSchwabField-1,b119acd0-2a31-11f1-9765-db476c236111,88.05355,,,8.33215,,,,,,,4f42c9e5-92bc-4a99-812b-1c2eed1008a1,2026-03-27,23:07:13.30,2026-03-27T19:07:13.3015552-04:00,2026-03-27T23:07:13.3015552Z,,v3,471278,471257,,"Capece, Connor",806487,Right,CRE_BLU,e0061369-82da-4687-8872-e1e11e708c5c,54.79468,-131.19924,15.23427,5.67259,-3.39041,-13.22415,-2.02319,4.95305,-10.574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
