PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-28,14:08:03.91,1,1,"Diaz, Chris",804164,Right,FGCU,"De La Cruz, Juan",813348,Right,STE_HAT,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.25718,-1.835582,-4.68464,2266.096576,214.967543,1:15,5.8552,2.21163,5.46504,-15.31603,19.65328,12.96576,2.85454,-1.10218,82.50582,-4.739729,-2.38773,0.425613,,,,,,,,,,,,-7.75205,10.70654,-1.80752,50,5.68286,10.11135,-130.59544,-4.66568,-13.43835,26.53243,-13.61405,FGCU,STE_HAT,SwansonStadium,D1,ASUN,20260328-SwansonStadium-1,10dac420-2ad1-11f1-90e4-db2d1abb4901,88.56033,,,7.75136,,,,,,,086e2759-3187-4b09-91c3-2752bdf2d05b,2026-03-28,18:08:03.91,2026-03-28T14:08:03.9102464-04:00,2026-03-28T18:08:03.9102464Z,,v3,4964,471456,,"Embury, Jon",810993,Right,FGCU,66920a59-9cf0-4895-a870-af287b150efe,55.03277,-131.61395,13.26621,5.85193,-4.14307,-6.80702,-2.20557,10.62721,-6.71917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-28,14:08:20.84,1,2,"Diaz, Chris",804164,Right,FGCU,"De La Cruz, Juan",813348,Right,STE_HAT,Undefined,1,Top,0,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,82.60281,1.157544,-2.599359,2165.3451,203.471433,12:45,5.67242,2.43982,5.2745,-37.27309,5.37229,1.66059,3.65483,0.13507,74.38476,-5.705493,-2.305219,0.47001,,,,,,,,,,,,-1.66417,2.79681,-2.20354,50,5.75142,5.35373,-119.52377,1.09393,-2.36956,26.41547,-28.19179,FGCU,STE_HAT,SwansonStadium,D1,ASUN,20260328-SwansonStadium-1,1b0219d0-2ad1-11f1-90e4-db2d1abb4901,80.19493,,,8.21806,,,,,,,086e2759-3187-4b09-91c3-2752bdf2d05b,2026-03-28,18:08:20.84,2026-03-28T14:08:20.8454144-04:00,2026-03-28T18:08:20.8454144Z,,v3,4964,471456,,"Embury, Jon",810993,Right,FGCU,216e1766-7aca-4574-9141-c964cb089416,55.21964,-120.67183,13.20773,5.67725,2.31919,-14.0959,-2.43846,5.45671,-1.18478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-28,14:08:38.02,1,3,"Diaz, Chris",804164,Right,FGCU,"De La Cruz, Juan",813348,Right,STE_HAT,Undefined,1,Top,0,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.17273,-4.512699,-3.668219,2288.29158,211.32868,1:00,5.82403,2.1643,5.58434,-12.69812,21.52623,12.4206,0.53428,-0.23089,83.46998,-6.940575,-1.4581,0.421055,,,,,,,,,,,,-7.29646,12.46997,-1.85715,50,5.42679,7.89777,-131.78596,-10.78019,-12.86365,27.36192,-10.18952,FGCU,STE_HAT,SwansonStadium,D1,ASUN,20260328-SwansonStadium-1,254cd600-2ad1-11f1-90e4-db2d1abb4901,89.51902,,,7.70275,,,,,,,086e2759-3187-4b09-91c3-2752bdf2d05b,2026-03-28,18:08:38.02,2026-03-28T14:08:38.0283904-04:00,2026-03-28T18:08:38.0283904Z,,v3,4964,471456,,"Embury, Jon",810993,Right,FGCU,00489736-f7cd-456d-9e97-84ed33c7f96f,54.91475,-132.80245,13.68096,5.82025,-10.40165,-5.09476,-2.15943,8.37566,-6.43182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-28,14:08:56.17,1,4,"Diaz, Chris",804164,Right,FGCU,"De La Cruz, Juan",813348,Right,STE_HAT,Undefined,1,Top,0,2,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.56484,-3.47138,-3.527728,2168.777199,215.739864,1:15,5.76059,2.14582,5.58862,-15.59765,19.77722,13.40552,1.20918,-0.03531,81.98002,-6.42452,-1.140884,0.428074,,,,,,,,,,,,-7.75319,11.30733,-1.85165,50,5.45179,7.40488,-129.63594,-8.34741,-13.2211,26.57526,-12.89228,FGCU,STE_HAT,SwansonStadium,D1,ASUN,20260328-SwansonStadium-1,30261690-2ad1-11f1-90e4-db2d1abb4901,88.05124,,,7.58482,,,,,,,086e2759-3187-4b09-91c3-2752bdf2d05b,2026-03-28,18:08:56.17,2026-03-28T14:08:56.1758720-04:00,2026-03-28T18:08:56.1758720Z,,v3,4964,471456,,"Embury, Jon",810993,Right,FGCU,3f57c87c-e453-4af8-9c34-a9d6813f4f3f,54.91015,-130.63864,13.28763,5.75757,-7.86098,-6.44614,-2.14045,7.90372,-6.61055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-28,14:09:16.05,1,5,"Diaz, Chris",804164,Right,FGCU,"De La Cruz, Juan",813348,Right,STE_HAT,Undefined,1,Top,0,2,2,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,92.0479,-2.307555,-2.701975,2295.531202,212.140142,1:00,5.81121,2.12561,5.58932,-13.18316,20.09702,11.97816,2.55435,0.59892,84.3863,-4.824964,-0.567227,0.415207,72.28085,-21.522732,-17.082723,,,,,7.4084,7.12433,-19.402551,0.063917,-6.81063,11.12213,-1.9017,50,5.60457,5.7683,-133.51911,-5.77773,-12.35229,27.48553,-12.00213,FGCU,STE_HAT,SwansonStadium,D1,ASUN,20260328-SwansonStadium-1,3bf61330-2ad1-11f1-90e4-db2d1abb4901,90.77998,2.49415,,7.6616,,,,0.94227,2.49415,-0.60328,086e2759-3187-4b09-91c3-2752bdf2d05b,2026-03-28,18:09:16.05,2026-03-28T14:09:16.0576000-04:00,2026-03-28T18:09:16.0576000Z,GroundBall,v3,4964,471456,,"Embury, Jon",810993,Right,FGCU,dfae1411-d71b-44ef-93af-220106d6bee9,54.91034,-134.52612,13.74277,5.8082,-5.33799,-6.00106,-2.12133,6.22087,-6.17614,180,0.93904,94.58249,,,,,,,,2.49548,-39.02198,,,,,,,,-0.60229,-29.06616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2026-03-28,14:09:50.74,2,1,"Diaz, Chris",804164,Right,FGCU,"Harley, Jack",832386,Left,STE_HAT,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,91.76054,-1.902936,-4.05431,2291.695582,223.354921,1:30,5.74448,2.42583,5.42684,-15.99733,17.63592,15.69918,2.62396,-0.0695,84.37811,-4.908583,-1.270095,0.417403,,,,,,,,,,,,-8.91874,9.66205,-2.07706,50,5.56441,8.70761,-132.97729,-4.95681,-16.12024,25.99881,-14.7103,FGCU,STE_HAT,SwansonStadium,D1,ASUN,20260328-SwansonStadium-1,50a99ae0-2ad1-11f1-90e4-db2d1abb4901,90.30223,,,7.38243,,,,,,,086e2759-3187-4b09-91c3-2752bdf2d05b,2026-03-28,18:09:50.74,2026-03-28T14:09:50.7468800-04:00,2026-03-28T18:09:50.7468800Z,,v3,4964,471456,,"Embury, Jon",810993,Right,FGCU,ca9b59e7-3f60-4297-8e5e-9d9334122c45,55.07288,-133.96544,12.9994,5.74218,-4.39772,-7.35515,-2.41966,9.3203,-8.06012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-28,14:10:08.41,2,2,"Diaz, Chris",804164,Right,FGCU,"Harley, Jack",832386,Left,STE_HAT,Undefined,1,Top,1,0,1,ChangeUp,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,,81.69647,1.16875,-0.908193,981.059005,191.110621,12:15,5.47337,2.60895,5.62514,-31.02076,11.29363,1.955,3.97919,1.92433,74.56403,-4.596361,-0.55918,0.468183,,,,,,,,,,,,-1.23886,5.80748,-2.53282,50,5.55324,1.80009,-118.57472,1.42311,-1.76263,22.811,-23.91123,FGCU,STE_HAT,SwansonStadium,D1,ASUN,20260328-SwansonStadium-1,5b1e4d40-2ad1-11f1-90e4-db2d1abb4901,80.50797,,,7.13245,,,,,,,086e2759-3187-4b09-91c3-2752bdf2d05b,2026-03-28,18:10:08.41,2026-03-28T14:10:08.4192256-04:00,2026-03-28T18:10:08.4192256Z,,v3,4964,471456,,"Embury, Jon",810993,Right,FGCU,21630e0a-1543-4106-a62c-eb994c1c88d7,54.87107,-119.50812,11.4055,5.47499,2.40154,-11.95562,-2.60796,1.87221,-0.88132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-28,14:10:23.76,2,3,"Diaz, Chris",804164,Right,FGCU,"Harley, Jack",832386,Left,STE_HAT,Undefined,1,Top,1,1,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.47009,-1.9612,-3.46511,2121.595724,203.236907,12:45,5.76031,2.20453,5.59652,-12.98973,21.54918,8.7843,2.84272,-0.30254,82.75943,-4.455461,-1.901791,0.422986,72.17998,29.30324,-157.974816,2252.164238,-104.06403,30.88533,-35.64567,190.63837,64.18616,-163.213116,2.488044,-5.4117,11.80072,-1.9132,50,5.58381,7.55711,-131.13544,-4.86553,-9.44988,27.00526,-11.56778,FGCU,STE_HAT,SwansonStadium,D1,ASUN,20260328-SwansonStadium-1,64541700-2ad1-11f1-90e4-db2d1abb4901,89.11042,31.39139,,7.71067,,,,1.55956,2.65474,0.40884,086e2759-3187-4b09-91c3-2752bdf2d05b,2026-03-28,18:10:23.76,2026-03-28T14:10:23.7636608-04:00,2026-03-28T18:10:23.7636608Z,FlyBall,v3,4964,471456,,"Embury, Jon",810993,Right,FGCU,21d4ecb0-d6e0-432f-a3e4-172845838444,54.90277,-132.14123,13.50263,5.757,-4.4347,-5.78389,-2.20121,7.90906,-4.72494,35.182243,1.55971,-85.58852,4.69394,-0.25905,0.32731,-0.24118,0.10079,-0.01933,0.0012,2.6548,51.80973,-25.97346,2.8036,-0.52593,0.10529,-0.03493,0.01096,-0.00138,0.40886,-34.62087,6.88871,-1.2178,0.29753,-0.11544,0.05046,-0.01197,0.00101,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
9,2026-03-28,14:10:45.14,2,4,"Diaz, Chris",804164,Right,FGCU,"Harley, Jack",832386,Left,STE_HAT,Undefined,1,Top,1,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.61679,-4.458479,-4.502062,2280.406359,209.067893,1:00,5.84286,2.07528,5.43489,-10.15993,23.50371,12.4041,0.79964,-1.11572,84.05026,-6.449303,-2.305569,0.417592,,,,,,,,,,,,-7.50028,13.42331,-1.68463,50,5.43953,9.92982,-133.58191,-10.68577,-13.49222,29.96595,-8.02689,FGCU,STE_HAT,SwansonStadium,D1,ASUN,20260328-SwansonStadium-1,711418f0-2ad1-11f1-90e4-db2d1abb4901,90.26145,,,8.56653,,,,,,,086e2759-3187-4b09-91c3-2752bdf2d05b,2026-03-28,18:10:45.14,2026-03-28T14:10:45.1420672-04:00,2026-03-28T18:10:45.1420672Z,,v3,4964,471456,,"Embury, Jon",810993,Right,FGCU,45eae228-e444-4fb7-a525-d8d277f15fd3,55.06163,-134.71258,14.98298,5.83701,-10.3829,-4.01345,-2.06891,10.43891,-6.74611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-28,14:11:00.23,2,5,"Diaz, Chris",804164,Right,FGCU,"Harley, Jack",832386,Left,STE_HAT,Undefined,1,Top,1,2,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.48753,-3.554966,-2.355306,2283.652277,211.530844,1:00,5.82779,2.18594,5.52699,-13.15863,20.23769,11.71697,1.4008,0.95926,84.14165,-6.073951,-0.268479,0.41593,,,,,,,,,,,,-6.59559,11.58619,-1.98917,50,5.50975,4.96779,-133.88584,-8.70762,-11.92002,30.07614,-11.23469,FGCU,STE_HAT,SwansonStadium,D1,ASUN,20260328-SwansonStadium-1,7a0c1660-2ad1-11f1-90e4-db2d1abb4901,90.62198,,,8.34588,,,,,,,086e2759-3187-4b09-91c3-2752bdf2d05b,2026-03-28,18:11:00.23,2026-03-28T14:11:00.2367488-04:00,2026-03-28T18:11:00.2367488Z,,v3,4964,471456,,"Embury, Jon",810993,Right,FGCU,88b99399-21f5-4fac-b63e-a4a7c7b75f76,54.97063,-134.99783,15.03807,5.82402,-8.29225,-5.61735,-2.18099,5.4085,-5.96001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
