PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-31,13:59:34.32,1,1,"Heskett, Kolby",10299570,Right,HUT_COM,"Fittro, Drake",10269912,Left,COW_COU,Undefined,1,Top,0,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.53515,-0.045597,-0.62113,1773.626812,207.804472,1:00,5.74622,1.05646,6.64282,-25.17958,11.11036,5.38729,3.60618,0.93682,79.8704,-4.774476,0.359883,0.433575,,,,,,,,,,,,-2.97654,6.1728,-1.01656,50,5.73261,1.16031,-124.65378,-0.80048,-4.78522,19.94785,-22.25035,HUT_COM,COW_COU,HDetterField,JUCO,NJCAA,20260331-HDetterField-1,c29a7340-2d33-11f1-9b97-61411314b4f7,86.93403,,,5.66475,,,,,,,ca27f389-2fb0-4236-84b1-49f7a1aadfd1,2026-03-31,18:59:34.32,2026-03-31T13:59:34.3219712-05:00,2026-03-31T18:59:34.3219712Z,,v3,643-147388,643-147312,,"Marian, Aidan",1000493464,Right,HUT_COM,63ac59d7-03cb-4daf-a269-c8316714da95,53.85711,-125.2695,9.97393,5.74672,-0.11369,-11.12517,-1.05466,1.30802,-2.39261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-31,13:59:48.64,1,2,"Heskett, Kolby",10299570,Right,HUT_COM,"Fittro, Drake",10269912,Left,COW_COU,Undefined,1,Top,0,1,0,Undefined,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.30933,-0.407795,-1.048977,1825.728819,209.521781,1:00,5.77422,1.06896,6.70053,-25.25419,10.69587,5.48512,3.29676,0.56681,79.792,-5.173612,-0.049062,0.43154,72.01071,29.396408,-155.04746,2859.987574,,,,,32.25184,,,-3.17484,6.07264,-1.0013,50,5.73695,2.10725,-125.67079,-1.59133,-5.12638,23.16038,-22.36861,HUT_COM,COW_COU,HDetterField,JUCO,NJCAA,20260331-HDetterField-1,ca19da70-2d33-11f1-9b97-61411314b4f7,87.34399,18.4041,,6.51733,,,,0.66989,2.91652,-0.32441,ca27f389-2fb0-4236-84b1-49f7a1aadfd1,2026-03-31,18:59:48.64,2026-03-31T13:59:48.6415360-05:00,2026-03-31T18:59:48.6415360Z,,v3,643-147388,643-147312,,"Marian, Aidan",1000493464,Right,HUT_COM,74ecd3a0-bade-4d7f-9ca0-5730b5083c03,53.79919,-126.36902,11.58019,5.77475,-0.91697,-11.1843,-1.06716,2.26179,-2.56319,50.085379,0.67151,-83.48839,4.99271,,,,,,,2.92503,51.53351,-26.20592,,,,,,,-0.33164,-38.5572,11.60338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
3,2026-03-31,14:00:05.45,1,3,"Heskett, Kolby",10299570,Right,HUT_COM,"Fittro, Drake",10269912,Left,COW_COU,Undefined,1,Top,0,1,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,78.98802,-1.611209,-1.182289,2321.852386,87.384734,9:00,5.79806,1.28342,6.08337,-42.61427,0.84386,-4.2165,0.75558,-0.16188,74.55461,-9.385456,-1.943674,0.474468,,,,,,,,,,,,1.94756,1.0752,-1.18986,50,5.65053,2.51894,-115.0332,-4.53502,2.66949,16.74683,-30.70028,HUT_COM,COW_COU,HDetterField,JUCO,NJCAA,20260331-HDetterField-1,d4644880-2d33-11f1-9b97-61411314b4f7,79.44146,,,4.43341,,,,,,,ca27f389-2fb0-4236-84b1-49f7a1aadfd1,2026-03-31,19:00:05.45,2026-03-31T14:00:05.4595072-05:00,2026-03-31T19:00:05.4595072Z,,v3,643-147388,643-147312,,"Marian, Aidan",1000493464,Right,HUT_COM,088a0df5-495b-4046-af4d-0c5c5a93e64a,54.41892,-115.67473,8.37342,5.80173,-3.35897,-15.35014,-1.2844,2.41668,1.33475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-31,14:00:22.36,1,4,"Heskett, Kolby",10299570,Right,HUT_COM,"Fittro, Drake",10269912,Left,COW_COU,Undefined,1,Top,0,2,1,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.66287,-0.872349,-1.288756,1846.087515,216.900296,1:15,5.76338,1.24919,6.67731,-24.45383,11.17209,7.65174,2.92731,0.70772,80.30947,-5.481255,0.105601,0.42959,92.28805,25.364181,-52.654371,3996.974318,57.18237,43.83499,-93.969,347.54331,110.53084,-78.769631,3.773212,-4.37099,6.42646,-1.1659,50,5.69506,2.56652,-126.18433,-2.60009,-7.13226,22.78105,-21.68782,HUT_COM,COW_COU,HDetterField,JUCO,NJCAA,20260331-HDetterField-1,df2c4b00-2d33-11f1-9b97-61411314b4f7,87.74046,52.21208,,6.3534,,,,0.4353,3.14052,-0.90445,ca27f389-2fb0-4236-84b1-49f7a1aadfd1,2026-03-31,19:00:22.36,2026-03-31T14:00:22.3694336-05:00,2026-03-31T19:00:22.3694336Z,FlyBall,v3,643-147388,643-147312,,"Marian, Aidan",1000493464,Right,HUT_COM,ffc8307d-7bbf-4d0c-a9df-4d79ada1056e,53.82262,-126.87258,11.39053,5.76372,-1.94486,-10.84391,-1.24669,2.782,-3.56613,,0.43656,74.16211,-20.57886,2.67444,-0.45787,0.08719,-0.0514,0.01614,-0.00157,3.14061,57.98052,-19.07149,1.5094,-0.32005,0.09698,-0.03684,0.00909,-0.00081,-0.90628,-97.17379,7.91794,-1.73133,-0.45462,0.54975,-0.22334,0.03913,-0.0025,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
5,2026-03-31,14:00:41.67,1,5,"Heskett, Kolby",10299570,Right,HUT_COM,"Fittro, Drake",10269912,Left,COW_COU,Undefined,1,Top,0,2,2,Curveball,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,74.77191,-0.521634,-1.183739,2359.123233,42.872995,7:30,6.01422,0.82098,6.0303,-54.51688,-5.46067,-6.28118,0.98797,-0.79882,70.09213,-10.459849,-2.317713,0.504102,,,,,,,,,,,,2.96949,-2.3298,-0.72505,50,5.94353,2.45889,-108.84927,-2.60611,3.6029,17.08502,-35.0008,HUT_COM,COW_COU,HDetterField,JUCO,NJCAA,20260331-HDetterField-1,e9d49080-2d33-11f1-9b97-61411314b4f7,74.77145,,,4.67979,,,,,,,ca27f389-2fb0-4236-84b1-49f7a1aadfd1,2026-03-31,19:00:41.67,2026-03-31T14:00:41.6760000-05:00,2026-03-31T19:00:41.6760000Z,,v3,643-147388,643-147312,,"Marian, Aidan",1000493464,Right,HUT_COM,5309638f-eca9-4d17-ad5c-4619c2e8e28c,54.47235,-109.549,8.54251,6.02091,-1.17261,-17.5004,-0.82274,2.31134,1.80145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-31,14:07:16.47,2,1,"Heskett, Kolby",10299570,Right,HUT_COM,"Branam, Skyler",1000111692,Left,COW_COU,Undefined,1,Top,1,0,0,Curveball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HUT_COM,COW_COU,HDetterField,JUCO,NJCAA,20260331-HDetterField-1,71caaaa1-2d35-11f1-b7a4-5b5769611674,,,,,,,,,,,ca27f389-2fb0-4236-84b1-49f7a1aadfd1,2026-03-31,19:07:16.47,2026-03-31T14:07:16.4780000-05:00,2026-03-31T19:07:16.4780000Z,,v3,643-147388,643-147312,,"Marian, Aidan",1000493464,Right,HUT_COM,71caaaa0-2d35-11f1-b7a4-5b5769611674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-03-31,14:07:17.47,2,2,"Heskett, Kolby",10299570,Right,HUT_COM,"Branam, Skyler",1000111692,Left,COW_COU,Undefined,1,Top,1,0,1,ChangeUp,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HUT_COM,COW_COU,HDetterField,JUCO,NJCAA,20260331-HDetterField-1,82d352c1-2d35-11f1-b7a4-5b5769611674,,,,,,,,,,,ca27f389-2fb0-4236-84b1-49f7a1aadfd1,2026-03-31,19:07:17.47,2026-03-31T14:07:17.4780000-05:00,2026-03-31T19:07:17.4780000Z,,v3,643-147388,643-147312,,"Marian, Aidan",1000493464,Right,HUT_COM,82d352c0-2d35-11f1-b7a4-5b5769611674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-03-31,14:07:18.47,2,3,"Heskett, Kolby",10299570,Right,HUT_COM,"Branam, Skyler",1000111692,Left,COW_COU,Undefined,1,Top,1,0,2,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HUT_COM,COW_COU,HDetterField,JUCO,NJCAA,20260331-HDetterField-1,872a29c1-2d35-11f1-b7a4-5b5769611674,,,,,,,,,,,ca27f389-2fb0-4236-84b1-49f7a1aadfd1,2026-03-31,19:07:18.47,2026-03-31T14:07:18.4780000-05:00,2026-03-31T19:07:18.4780000Z,,v3,643-147388,643-147312,,"Marian, Aidan",1000493464,Right,HUT_COM,872a29c0-2d35-11f1-b7a4-5b5769611674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-03-31,14:07:19.47,2,4,"Heskett, Kolby",10299570,Right,HUT_COM,"Branam, Skyler",1000111692,Left,COW_COU,Undefined,1,Top,1,1,2,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HUT_COM,COW_COU,HDetterField,JUCO,NJCAA,20260331-HDetterField-1,75b62031-2d36-11f1-b7a4-5b5769611674,,,,,,,,,,,ca27f389-2fb0-4236-84b1-49f7a1aadfd1,2026-03-31,19:07:19.47,2026-03-31T14:07:19.4780000-05:00,2026-03-31T19:07:19.4780000Z,,v3,643-147388,643-147312,,"Marian, Aidan",1000493464,Right,HUT_COM,75b62030-2d36-11f1-b7a4-5b5769611674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-03-31,14:07:20.47,2,5,"Heskett, Kolby",10299570,Right,HUT_COM,"Branam, Skyler",1000111692,Left,COW_COU,Undefined,1,Top,1,2,2,Curveball,,InPlay,Undefined,GroundBall,Out,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HUT_COM,COW_COU,HDetterField,JUCO,NJCAA,20260331-HDetterField-1,78430ca0-2d36-11f1-b7a4-5b5769611674,,,,,,,,,,,ca27f389-2fb0-4236-84b1-49f7a1aadfd1,2026-03-31,19:07:20.47,2026-03-31T14:07:20.4780000-05:00,2026-03-31T19:07:20.4780000Z,,v3,643-147388,643-147312,,"Marian, Aidan",1000493464,Right,HUT_COM,7842e590-2d36-11f1-b7a4-5b5769611674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
