PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-31,13:04:00.73,1,1,"Spivey, Sully",1000248862,Right,ORA_COA,"Hogan, Ethan",10286265,Left,Gol_W,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.76727,-1.074521,-3.840833,2254.045238,264.704546,2:45,5.21861,3.57623,5.75986,-32.05206,3.27587,21.87993,1.54507,1.81915,81.299,-6.999889,0.072322,0.42779,,,,,,,,,,,,-12.2865,2.38823,-3.27076,50,5.1101,7.7625,-130.00765,-3.60447,-20.78209,30.23533,-28.13448,ORA_COA,Gol_W,JohnAltobelliPark,JUCO,NJCAA,20260331-JohnAltobelliPark-1,c2b956d0-2d3c-11f1-85a0-e11fe214a0e1,88.10971,,,8.46827,,,,,,,25a2b5a4-ae5a-4a99-b4d6-1676bd84263e,2026-03-31,20:04:00.73,2026-03-31T13:04:00.7316992-07:00,2026-03-31T20:04:00.7316992Z,,v3,,,,"Haruki, Jake",1000110924,Right,ORA_COA,4838e077-395a-41ec-9af9-e84c73d82256,54.73975,-131.10532,15.11766,5.22241,-2.58307,-14.06724,-3.56627,8.51698,-10.39105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-31,13:04:17.37,1,2,"Spivey, Sully",1000248862,Right,ORA_COA,"Hogan, Ethan",10286265,Left,Gol_W,Undefined,1,Top,0,1,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.57612,0.062784,-5.182627,2448.514735,226.87146,1:30,5.51332,3.37571,5.58666,-20.19914,15.04343,14.65595,3.88893,-0.25586,81.1593,-3.760078,-2.583527,0.427273,,,,,,,,,,,,-9.01367,7.93745,-2.93888,50,5.50593,11.18086,-130.76661,-0.51046,-15.35934,31.66615,-18.64859,ORA_COA,Gol_W,JohnAltobelliPark,JUCO,NJCAA,20260331-JohnAltobelliPark-1,ccabe0e0-2d3c-11f1-85a0-e11fe214a0e1,88.21632,,,9.41683,,,,,,,25a2b5a4-ae5a-4a99-b4d6-1676bd84263e,2026-03-31,20:04:17.37,2026-03-31T13:04:17.3799936-07:00,2026-03-31T20:04:17.3799936Z,,v3,,,,"Haruki, Jake",1000110924,Right,ORA_COA,6789cbcd-c28a-4903-b210-8b645133bd94,54.90883,-131.94996,15.83307,5.51198,0.18643,-9.3243,-3.36744,11.75483,-7.67967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-31,13:04:34.29,1,3,"Spivey, Sully",1000248862,Right,ORA_COA,"Hogan, Ethan",10286265,Left,Gol_W,Undefined,1,Top,0,2,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.82329,-1.140583,-3.784262,2411.224889,230.351766,1:45,5.48699,3.36601,5.74249,-20.53206,13.90469,15.33898,2.71153,1.11558,82.25632,-5.009001,-1.046023,0.42236,,,,,,,,,,,,-8.88894,7.75894,-3.06013,50,5.37951,8.01004,-131.52018,-3.29422,-15.44805,29.92569,-18.68984,ORA_COA,Gol_W,JohnAltobelliPark,JUCO,NJCAA,20260331-JohnAltobelliPark-1,d6cef0d0-2d3c-11f1-85a0-e11fe214a0e1,89.24249,,,8.56697,,,,,,,25a2b5a4-ae5a-4a99-b4d6-1676bd84263e,2026-03-31,20:04:34.29,2026-03-31T13:04:34.2967808-07:00,2026-03-31T20:04:34.2967808Z,,v3,,,,"Haruki, Jake",1000110924,Right,ORA_COA,7e835601-1fdb-49eb-adea-7829bbbe5952,54.75514,-132.59773,14.96284,5.48601,-2.62124,-9.34492,-3.35857,8.56629,-7.72402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-31,13:04:51.52,1,4,"Spivey, Sully",1000248862,Right,ORA_COA,"Hogan, Ethan",10286265,Left,Gol_W,Undefined,1,Top,0,2,1,TwoSeamFastBall,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.06349,-0.906395,-6.927238,2380.501707,259.255663,2:45,5.29083,3.36588,6.07884,-30.67935,4.89969,19.39706,1.88936,-1.45842,80.89457,-6.601479,-3.468472,0.429308,,,,,,,,,,,,-12.02965,3.14847,-2.83804,50,5.20401,14.81041,-128.49015,-3.07654,-20.00566,27.92866,-26.93807,ORA_COA,Gol_W,JohnAltobelliPark,JUCO,NJCAA,20260331-JohnAltobelliPark-1,e1038cf0-2d3c-11f1-85a0-e11fe214a0e1,87.79822,,,8.16892,,,,,,,25a2b5a4-ae5a-4a99-b4d6-1676bd84263e,2026-03-31,20:04:51.52,2026-03-31T13:04:51.5223552-07:00,2026-03-31T20:04:51.5223552Z,,v3,,,,"Haruki, Jake",1000110924,Right,ORA_COA,ac69a3eb-3a57-4994-b248-a3ee86c1ce09,54.42179,-129.4477,13.96433,5.29366,-2.15295,-13.46904,-3.35758,15.49632,-10.00283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-31,13:05:12.25,1,5,"Spivey, Sully",1000248862,Right,ORA_COA,"Hogan, Ethan",10286265,Left,Gol_W,Undefined,1,Top,0,3,1,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.32072,-1.518616,-4.140085,2359.020633,237.816846,2:00,5.48329,3.63782,5.73967,-21.50623,12.68887,18.22265,2.27302,1.2946,82.50155,-5.562381,-0.888113,0.420875,,,,,,,,,,,,-10.49048,7.27461,-3.3038,50,5.34359,8.74041,-132.13985,-4.2302,-18.34821,30.99191,-19.45048,ORA_COA,Gol_W,JohnAltobelliPark,JUCO,NJCAA,20260331-JohnAltobelliPark-1,ed5c8fb0-2d3c-11f1-85a0-e11fe214a0e1,89.55732,,,8.81918,,,,,,,25a2b5a4-ae5a-4a99-b4d6-1676bd84263e,2026-03-31,20:05:12.25,2026-03-31T13:05:12.2520064-07:00,2026-03-31T20:05:12.2520064Z,,v3,,,,"Haruki, Jake",1000110924,Right,ORA_COA,49548a1a-8c66-4c6a-a37f-bcd3e3facdf9,54.75818,-133.25115,15.49596,5.48277,-3.53275,-9.72524,-3.62901,9.39834,-9.1741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-31,13:05:29.51,1,6,"Spivey, Sully",1000248862,Right,ORA_COA,"Hogan, Ethan",10286265,Left,Gol_W,Undefined,1,Top,0,3,2,TwoSeamFastBall,Sinker,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,88.93058,-1.239031,-4.336631,2352.022318,254.977219,2:30,5.23017,3.4948,5.87083,-28.96683,6.94315,21.07946,1.6619,1.21558,80.41471,-6.631591,-0.563681,0.431299,,,,,,,,,,,,-12.05741,4.32992,-3.15514,50,5.11304,8.84477,-128.70593,-3.78563,-19.98306,29.69656,-24.99797,ORA_COA,Gol_W,JohnAltobelliPark,JUCO,NJCAA,20260331-JohnAltobelliPark-1,f7aa5920-2d3c-11f1-85a0-e11fe214a0e1,87.39273,,,8.51586,,,,,,,25a2b5a4-ae5a-4a99-b4d6-1676bd84263e,2026-03-31,20:05:29.51,2026-03-31T13:05:29.5160832-07:00,2026-03-31T20:05:29.5160832Z,,v3,,,,"Haruki, Jake",1000110924,Right,ORA_COA,99590cfc-6189-4f1f-ab2c-ffa2b2a5a7f1,54.62783,-129.76933,14.84828,5.23257,-2.89048,-12.49899,-3.48467,9.56034,-9.99153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-31,13:06:02.44,2,1,"Spivey, Sully",1000248862,Right,ORA_COA,"Fox, Matt",821922,Right,Gol_W,Undefined,1,Top,1,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.14251,-0.188476,-6.281356,2575.312328,329.530942,5:00,5.2224,3.50024,5.49853,-44.33136,0.02508,0.94969,1.35076,-2.31961,73.276,-8.279352,-6.113807,0.479347,,,,,,,,,,,,-2.59917,0.53933,-2.94956,50,5.1761,12.83039,-116.91321,-1.90484,-3.52606,26.12468,-31.44241,ORA_COA,Gol_W,JohnAltobelliPark,JUCO,NJCAA,20260331-JohnAltobelliPark-1,0b6fb040-2d3d-11f1-85a0-e11fe214a0e1,78.63294,,,7.86652,,,,,,,25a2b5a4-ae5a-4a99-b4d6-1676bd84263e,2026-03-31,20:06:02.44,2026-03-31T13:06:02.4464384-07:00,2026-03-31T20:06:02.4464384Z,,v3,,,,"Haruki, Jake",1000110924,Right,ORA_COA,0673303c-dfc7-4bea-b2aa-0b4960aaa88f,54.99929,-118.02503,13.06234,5.22869,-0.5667,-15.7212,-3.4988,12.98046,-1.76303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-31,13:06:19.07,2,2,"Spivey, Sully",1000248862,Right,ORA_COA,"Fox, Matt",821922,Right,Gol_W,Undefined,1,Top,1,1,0,TwoSeamFastBall,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,90.68715,-1.091002,-4.691675,2421.25915,264.227171,2:45,5.38518,3.56876,5.68166,-31.4101,3.51756,22.068,1.74713,1.02455,81.72289,-6.899487,-0.757554,0.42536,,,,,,,,,,,,-12.64902,2.53232,-3.18659,50,5.27353,9.76082,-131.11811,-3.66497,-21.67952,31.72539,-27.83383,ORA_COA,Gol_W,JohnAltobelliPark,JUCO,NJCAA,20260331-JohnAltobelliPark-1,15302dd0-2d3d-11f1-85a0-e11fe214a0e1,88.61311,,,8.96426,,,,,,,25a2b5a4-ae5a-4a99-b4d6-1676bd84263e,2026-03-31,20:06:19.07,2026-03-31T13:06:19.0727168-07:00,2026-03-31T20:06:19.0727168Z,,v3,,,,"Haruki, Jake",1000110924,Right,ORA_COA,df5a7c2b-bf22-4bd5-8295-d70e394fce58,54.81718,-132.27854,15.86269,5.38897,-2.64688,-13.91691,-3.55812,10.5538,-10.83976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-03-31,13:06:35.76,2,3,"Spivey, Sully",1000248862,Right,ORA_COA,"Fox, Matt",821922,Right,Gol_W,Undefined,1,Top,1,1,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,81.63836,-0.968721,-4.813279,2637.181816,168.103296,11:30,5.25048,3.56202,5.5342,-40.48998,2.45177,-0.22173,0.96752,-0.96623,74.80569,-8.350958,-4.852643,0.471641,,,,,,,,,,,,-1.2991,1.92543,-3.14309,50,5.13911,9.95276,-118.09057,-3.38329,-1.82516,23.55249,-29.46886,ORA_COA,Gol_W,JohnAltobelliPark,JUCO,NJCAA,20260331-JohnAltobelliPark-1,1f2ca2f0-2d3d-11f1-85a0-e11fe214a0e1,79.91769,,,6.83267,,,,,,,25a2b5a4-ae5a-4a99-b4d6-1676bd84263e,2026-03-31,20:06:35.76,2026-03-31T13:06:35.7677568-07:00,2026-03-31T20:06:35.7677568Z,,v3,,,,"Haruki, Jake",1000110924,Right,ORA_COA,3d8a4e48-8a26-4d64-81c5-b19292f0accd,54.96541,-119.07677,11.77625,5.25495,-2.14935,-14.73443,-3.56144,10.02918,-0.91258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-31,13:06:52.16,2,4,"Spivey, Sully",1000248862,Right,ORA_COA,"Fox, Matt",821922,Right,Gol_W,Undefined,1,Top,1,1,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,80.93659,0.143548,-3.782744,2482.774085,39.096785,7:15,5.12964,3.64314,5.58813,-45.58113,-1.70587,-2.63701,1.46555,-0.11406,73.48674,-8.196643,-4.252109,0.47674,,,,,,,,,,,,0.11764,-0.47413,-3.31612,50,5.11237,7.85123,-117.15734,-1.25823,0.16104,25.25009,-32.82307,ORA_COA,Gol_W,JohnAltobelliPark,JUCO,NJCAA,20260331-JohnAltobelliPark-1,28ecd260-2d3d-11f1-85a0-e11fe214a0e1,79.06294,,,7.44985,,,,,,,25a2b5a4-ae5a-4a99-b4d6-1676bd84263e,2026-03-31,20:06:52.16,2026-03-31T13:06:52.1600000-07:00,2026-03-31T20:06:52.1600000Z,,v3,,,,"Haruki, Jake",1000110924,Right,ORA_COA,d93e3552-3cfc-450f-a3df-c3389e780be7,54.91084,-118.211,12.62505,5.1363,0.11145,-16.41154,-3.64361,7.84451,0.08052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.98151,2.94801,1.9776,0.97041,2.24708,1.58445,0.05238,3.0975,5.76902,1.74981,67.54493,9.81774,-57.24043,3.14268,71.01366,-4.77178,5.8255,18.87327,-15.18555,1.6927,-65.99146,5.39953,High,High,High,,,High,High,High
