PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-31,15:35:29.55,1,1,"Yang, Bryan",1000072253,Right,BRO_BEA,"Wensley, Casey",1000323295,Left,BRY_BUL,Undefined,1,Top,0,0,0,Fastball,Changeup,InPlay,Undefined,LineDrive,Out,1,0,,86.72698,-1.407799,-3.460827,2064.727478,240.844487,2:00,5.54068,1.90065,6.27265,-26.45828,10.23867,16.24788,2.03542,0.0604,79.37434,-6.368644,-0.527599,0.436,100.54141,17.624601,-3.01698,2543.913999,109.24383,31.11248,-12.87145,312.75583,306.67137,-13.390642,3.511864,-9.45993,6.06307,-1.65242,50,5.42346,6.98975,-125.86697,-3.89967,-15.16096,25.77938,-22.45707,BRO_BEA,BRY_BUL,MurrayStadium,D1,IVY,20260331-MurrayStadium-1,c6d25e50-2d38-11f1-9493-9719d7a0f5d7,86.45058,38.54818,,7.35264,,,,1.52642,2.06746,-0.05507,cb979a58-143b-44e3-b08e-83d0eb22004a,2026-03-31,19:35:29.55,2026-03-31T15:35:29.5562240-04:00,2026-03-31T19:35:29.5562240Z,LineDrive,v3,471247,471248,20371,"Hanlon, Andrew",1000239417,Right,BRO_BEA,336ff740-2546-4401-96cd-b1486d158e4c,54.22823,-126.73001,12.88969,5.54143,-3.14785,-11.22853,-1.89492,7.49731,-7.58048,133.24208,1.52648,140.34169,-27.89081,6.20385,-1.22005,0.19317,-0.02241,0.00146,0,2.06731,44.65337,-13.66984,-0.40529,0.35238,-0.07238,0.00329,0.00189,-0.00027,-0.05501,-7.39932,-10.56202,4.27286,-1.27157,0.29662,-0.05186,0.00569,-0.00028,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
2,2026-03-31,15:36:07.83,2,1,"Yang, Bryan",1000072253,Right,BRO_BEA,"Garcia, Ellis",804570,Right,BRY_BUL,Undefined,1,Top,1,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.85191,-2.297093,-4.278829,2100.172428,233.880546,1:45,5.65503,1.74288,6.36986,-25.36942,12.11658,14.91028,1.42019,-0.9591,78.47321,-7.068664,-1.586221,0.440662,,,,,,,,,,,,-8.95827,7.34705,-1.4397,50,5.47676,8.73181,-124.38124,-5.73677,-14.00239,25.46807,-20.69009,BRO_BEA,BRY_BUL,MurrayStadium,D1,IVY,20260331-MurrayStadium-1,dda0d6c0-2d38-11f1-9493-9719d7a0f5d7,85.53586,,,7.3787,,,,,,,cb979a58-143b-44e3-b08e-83d0eb22004a,2026-03-31,19:36:07.83,2026-03-31T15:36:07.8303232-04:00,2026-03-31T19:36:07.8303232Z,,v3,471247,471248,20371,"Hanlon, Andrew",1000239417,Right,BRO_BEA,ef368b17-b8c3-44d6-97b2-226bbc1d049d,54.12911,-125.22386,12.73404,5.65524,-5.05223,-10.34505,-1.73626,9.19508,-7.00119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-03-31,15:36:24.81,2,2,"Yang, Bryan",1000072253,Right,BRO_BEA,"Garcia, Ellis",804570,Right,BRY_BUL,Undefined,1,Top,1,1,0,Fastball,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,85.37286,-0.500895,-2.733752,2033.379396,241.608472,2:00,5.68815,1.46122,6.38113,-29.09187,8.81477,13.94099,2.80249,0.10613,77.61955,-5.974822,-0.209902,0.443128,78.89348,-31.188389,-44.637398,,,,,6.23605,6.23605,-33.207246,0.047401,-8.12748,5.11859,-1.27046,50,5.6386,5.39492,-123.9489,-1.94424,-12.53703,26.7304,-24.27838,BRO_BEA,BRY_BUL,MurrayStadium,D1,IVY,20260331-MurrayStadium-1,e7b7ffd0-2d38-11f1-9493-9719d7a0f5d7,85.05994,2.84953,,7.75331,,,,1.86812,2.84953,-0.10787,cb979a58-143b-44e3-b08e-83d0eb22004a,2026-03-31,19:36:24.81,2026-03-31T15:36:24.8182784-04:00,2026-03-31T19:36:24.8182784Z,GroundBall,v3,471247,471248,20371,"Hanlon, Andrew",1000239417,Right,BRO_BEA,cc7af271-0aef-4cf6-9722-a945fec3a16f,54.11859,-124.83394,13.3652,5.68966,-1.14038,-12.13919,-1.45595,5.81002,-6.26851,,1.86638,70.66394,,,,,,,,2.85101,-60.11521,,,,,,,,-0.10615,-69.77514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
4,2026-03-31,15:36:55.34,3,1,"Yang, Bryan",1000072253,Right,BRO_BEA,"Kingsbury, Hunter",1000384695,Left,BRY_BUL,Undefined,1,Top,2,0,0,Fastball,Changeup,InPlay,Undefined,GroundBall,Single,0,0,,86.82555,-0.966747,-2.410771,2032.625231,244.376458,2:15,5.58949,1.99164,6.25109,-27.71364,8.93615,16.16076,2.38759,1.11378,79.33062,-6.15912,0.509439,0.435719,89.05072,-16.171173,-24.451352,,,,,9.30456,8.91517,-28.699525,0.06452,-9.08847,5.27185,-1.82015,50,5.50398,4.67774,-126.10741,-2.98439,-14.58866,26.41352,-23.71175,BRO_BEA,BRY_BUL,MurrayStadium,D1,IVY,20260331-MurrayStadium-1,f9ea33d0-2d38-11f1-9493-9719d7a0f5d7,86.50621,2.35159,,7.49493,,,,0.77934,2.35159,-1.11153,cb979a58-143b-44e3-b08e-83d0eb22004a,2026-03-31,19:36:55.34,2026-03-31T15:36:55.3448960-04:00,2026-03-31T19:36:55.3448960Z,GroundBall,v3,471247,471248,20371,"Hanlon, Andrew",1000239417,Right,BRO_BEA,41bbc4d0-4cca-4068-8df6-32bc6cdddd54,54.24895,-126.99424,13.20676,5.59082,-2.18826,-11.85588,-1.98543,5.16756,-7.29433,180,0.777,114.41572,,,,,,,,2.35234,-36.44727,,,,,,,,-1.11046,-52.02497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2026-03-31,15:37:30.30,4,1,"Yang, Bryan",1000072253,Right,BRO_BEA,"Saul, Charlie",1000092153,Right,BRY_BUL,Undefined,1,Top,2,0,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,75.61205,0.276861,-2.249311,2383.084841,81.162246,8:45,5.49134,1.92768,5.71538,-49.30609,1.09114,-5.37847,1.64061,-0.617,68.10856,-8.814499,-3.211584,0.510946,,,,,,,,,,,,1.93177,1.03827,-1.73613,50,5.48455,4.50224,-109.48902,-1.00078,2.28578,23.87686,-30.9455,BRO_BEA,BRY_BUL,MurrayStadium,D1,IVY,20260331-MurrayStadium-1,0ecae600-2d39-11f1-9493-9719d7a0f5d7,73.76997,,,7.50349,,,,,,,cb979a58-143b-44e3-b08e-83d0eb22004a,2026-03-31,19:37:30.30,2026-03-31T15:37:30.3008768-04:00,2026-03-31T19:37:30.3008768Z,,v3,471247,471248,20371,"Hanlon, Andrew",1000239417,Right,BRO_BEA,5c8de809-4332-41ab-aadd-8efcd925e993,54.78088,-110.5267,11.93843,5.49882,0.34409,-15.47275,-1.92963,4.4029,1.14289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-31,15:38:58.59,4,2,"Yang, Bryan",1000072253,Right,BRO_BEA,"Saul, Charlie",1000092153,Right,BRY_BUL,Undefined,1,Top,2,0,1,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,86.53344,-1.720924,-4.056619,2150.947406,244.464116,2:15,5.6906,1.63361,6.22332,-28.75797,8.70674,15.39658,1.70173,-0.83269,78.28273,-7.114446,-1.281865,0.440537,,,,,,,,,,,,-9.2726,5.45504,-1.3372,50,5.5474,8.27716,-125.30196,-4.66093,-14.5353,28.63233,-23.62296,BRO_BEA,BRY_BUL,MurrayStadium,D1,IVY,20260331-MurrayStadium-1,43675fb0-2d39-11f1-9493-9719d7a0f5d7,85.56017,,,8.25071,,,,,,,cb979a58-143b-44e3-b08e-83d0eb22004a,2026-03-31,19:38:58.59,2026-03-31T15:38:58.5939968-04:00,2026-03-31T19:38:58.5939968Z,,v3,471247,471248,20371,"Hanlon, Andrew",1000239417,Right,BRO_BEA,2a57e2e2-a9b0-476b-9234-1780aa208856,54.27518,-126.27509,14.31617,5.69217,-3.85805,-11.81148,-1.62691,8.77117,-7.26765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-31,15:39:25.89,4,3,"Yang, Bryan",1000072253,Right,BRO_BEA,"Saul, Charlie",1000092153,Right,BRY_BUL,Undefined,1,Top,2,0,2,Slider,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,74.22033,1.44614,-2.114592,2360.031351,79.6864,8:45,5.44464,1.83748,5.84324,-51.07664,0.60634,-6.84398,2.53342,-0.69892,67.20557,-7.988721,-3.341015,0.517422,64.52131,-39.948251,-66.356928,,,,,5.32588,4.31504,-26.249259,0.0463,2.82217,0.29362,-1.66109,50,5.53244,4.2124,-107.59033,1.20665,3.2467,21.89349,-31.83626,BRO_BEA,BRY_BUL,MurrayStadium,D1,IVY,20260331-MurrayStadium-1,53b199d0-2d39-11f1-9493-9719d7a0f5d7,72.84654,2.82704,,7.01477,,,,3.42304,2.82704,0.73648,cb979a58-143b-44e3-b08e-83d0eb22004a,2026-03-31,19:39:25.89,2026-03-31T15:39:25.8995712-04:00,2026-03-31T19:39:25.8995712Z,GroundBall,v3,471247,471248,20371,"Hanlon, Andrew",1000239417,Right,BRO_BEA,eb774609-4f48-4d13-a5c6-66f04d0d86d7,54.65616,-108.53367,10.94674,5.4509,2.57841,-15.91813,-1.83958,4.07251,1.62335,180,3.42198,29.23607,,,,,,,,2.82925,-61.05911,,,,,,,,0.7389,-66.78183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
8,2026-03-31,15:39:55.33,4,4,"Yang, Bryan",1000072253,Right,BRO_BEA,"Saul, Charlie",1000092153,Right,BRY_BUL,Undefined,1,Top,2,0,2,Slider,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,73.95421,0.173813,-2.609379,2347.28844,90.892906,9:00,5.5269,1.70631,6.02106,-49.49786,1.90693,-11.2091,1.56324,-1.64636,67.62619,-8.954041,-4.62419,0.516028,,,,,,,,,,,,4.95402,1.44441,-1.49583,50,5.51387,5.27575,-107.28657,-1.09876,5.70422,20.66002,-30.51089,BRO_BEA,BRY_BUL,MurrayStadium,D1,IVY,20260331-MurrayStadium-1,65403ad0-2d39-11f1-9493-9719d7a0f5d7,73.04341,,,6.32802,,,,,,,cb979a58-143b-44e3-b08e-83d0eb22004a,2026-03-31,19:39:55.33,2026-03-31T15:39:55.3310000-04:00,2026-03-31T19:39:55.3310000Z,,v3,471247,471248,20371,"Hanlon, Andrew",1000239417,Right,BRO_BEA,0ffafbd3-3ea0-4421-8fb1-af94c6dd1b39,54.47811,-108.14547,10.33001,5.53319,0.16968,-15.25545,-1.71023,5.03861,2.85211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.31477,2.126346,0.68992,1.436426,0.96022,1.49074,1.68335,-0.72311,6.00317,2.38511,127.28176,2.32842,2.21929,-0.49919,102.54946,-9.57463,6.06383,15.68021,-12.76168,2.33232,-2.38697,1.63295,High,High,High,,,High,High,High
9,2026-03-31,15:42:20.93,1,1,"Davis, Zach",1000384700,Right,BRY_BUL,"Luigs, Matt",10118709,Right,BRO_BEA,Undefined,1,Bottom,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.01902,-2.963261,-1.67473,2183.487955,232.866393,1:45,6.20288,1.53874,5.43676,-20.97395,14.42918,17.44469,1.67649,1.42374,81.87854,-6.870672,1.431445,0.428245,,,,,,,,,,,,-9.35245,8.52331,-1.40323,50,5.92617,3.0388,-130.4203,-7.47425,-15.97937,29.48201,-17.61132,BRO_BEA,BRY_BUL,MurrayStadium,D1,IVY,20260331-MurrayStadium-1,bbf57ed0-2d39-11f1-9493-9719d7a0f5d7,88.01606,,,8.14049,,,,,,,cb979a58-143b-44e3-b08e-83d0eb22004a,2026-03-31,19:42:20.93,2026-03-31T15:42:20.9375744-04:00,2026-03-31T19:42:20.9375744Z,,v3,471247,471248,20371,"Gaudreau, Jacob",1000119552,Right,BRY_BUL,f41454aa-ab36-43b1-973e-419c350d5294,55.0632,-131.55988,14.741,6.20192,-6.79351,-8.80566,-1.53262,3.65645,-7.98969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-03-31,15:42:37.39,1,2,"Davis, Zach",1000384700,Right,BRY_BUL,"Luigs, Matt",10118709,Right,BRO_BEA,Undefined,1,Bottom,0,1,0,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,91.12254,-2.569213,-3.34845,2183.742117,236.941032,2:00,6.05463,1.58532,5.68688,-21.68714,12.69934,17.6308,1.84697,-0.07,82.51712,-6.630702,-0.199783,0.422051,,,,,,,,,,,,-9.94737,7.59788,-1.31437,50,5.8246,6.92117,-131.88183,-6.65975,-17.3347,30.80632,-18.93363,BRO_BEA,BRY_BUL,MurrayStadium,D1,IVY,20260331-MurrayStadium-1,c5d08940-2d39-11f1-9493-9719d7a0f5d7,89.30772,,,8.60543,,,,,,,cb979a58-143b-44e3-b08e-83d0eb22004a,2026-03-31,19:42:37.39,2026-03-31T15:42:37.3926912-04:00,2026-03-31T19:42:37.3926912Z,,v3,471247,471248,20371,"Gaudreau, Jacob",1000119552,Right,BRY_BUL,10f4f190-c477-4ae5-909b-7cc4126d5937,54.8111,-133.00091,15.40316,6.05403,-5.97197,-9.46681,-1.57723,7.55087,-8.66735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
