PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-01,15:06:11.73,1,1,"Zaffiro, Trey",1000388352,Right,LAF_LEP,"Lordier, Ryan",1000218182,Right,MAN_JAS,Undefined,1,Top,0,0,0,Fastball,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,88.39576,-2.677878,-2.89145,2146.961217,164.075347,11:30,6.35764,1.75511,5.90656,-15.96371,20.21832,-5.41024,2.53661,-1.38201,80.2388,-5.730511,-3.860019,0.43293,,,,,,,,,,,,1.87476,11.52497,-1.51969,50,6.13304,6.69508,-127.99805,-6.42295,3.08161,28.68893,-13.23003,LAF_LEP,MAN_JAS,HiltonRahnField,D1,PAT,20260401-HiltonRahnField-1,d96a8a90-2dfd-11f1-8f32-f93d36fdbed2,87.06356,,,8.15697,,,,,,,15aca3b2-7c5f-4b07-808a-8fb042587324,2026-04-01,19:06:11.73,2026-04-01T15:06:11.7344768-04:00,2026-04-01T19:06:11.7344768Z,,v3,471333,471345,f8430f4cdd084562ade211a904f690f6,"Doubek, Brandon",1000117400,Right,LAF_LEP,0181183f-3e1e-4249-8513-a54c0279e9e4,54.59061,-129.02287,14.34447,6.35404,-5.95035,-6.61502,-1.75688,6.58499,1.54081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-01,15:06:27.08,1,2,"Zaffiro, Trey",1000388352,Right,LAF_LEP,"Lordier, Ryan",1000218182,Right,MAN_JAS,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.34661,-2.003215,-3.834949,2101.603424,179.873147,12:00,6.37601,1.91633,5.89177,-19.46682,16.43249,-0.0339,2.88884,-1.65261,80.97892,-5.661954,-3.841006,0.431236,,,,,,,,,,,,-1.03067,9.3043,-1.60687,50,6.20297,8.58203,-128.00656,-5.07731,-1.71314,25.98606,-16.70893,LAF_LEP,MAN_JAS,HiltonRahnField,D1,PAT,20260401-HiltonRahnField-1,e288ada0-2dfd-11f1-8f32-f93d36fdbed2,87.40569,,,7.36769,,,,,,,15aca3b2-7c5f-4b07-808a-8fb042587324,2026-04-01,19:06:27.08,2026-04-01T15:06:27.0802432-04:00,2026-04-01T19:06:27.0802432Z,,v3,471333,471345,f8430f4cdd084562ade211a904f690f6,"Doubek, Brandon",1000117400,Right,LAF_LEP,78122ce1-57fe-4a21-8d45-fd85b58df8b0,54.60715,-128.93844,12.99303,6.3743,-4.47811,-8.35447,-1.91573,8.64347,-0.85657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-01,15:06:44.32,1,3,"Zaffiro, Trey",1000388352,Right,LAF_LEP,"Lordier, Ryan",1000218182,Right,MAN_JAS,Undefined,1,Top,0,2,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.04084,-2.498348,-2.921492,2166.353144,201.531291,12:45,6.30635,1.94241,5.74067,-17.05658,18.46603,6.83555,2.55414,-0.21065,81.46957,-5.724077,-1.700321,0.428967,86.97324,59.768823,25.662146,,80.80285,138.39612,74.63834,188.02606,188.02606,47.317635,5.83993,-4.31221,10.45945,-1.70348,50,6.08782,6.2998,-129.08267,-6.15567,-7.27977,26.72847,-14.51663,LAF_LEP,MAN_JAS,HiltonRahnField,D1,PAT,20260401-HiltonRahnField-1,ecdb8020-2dfd-11f1-8f32-f93d36fdbed2,87.86792,138.44613,,7.57127,,,,1.46323,2.63953,0.21337,15aca3b2-7c5f-4b07-808a-8fb042587324,2026-04-01,19:06:44.32,2026-04-01T15:06:44.3205632-04:00,2026-04-01T19:06:44.3205632Z,Popup,v3,471333,471345,f8430f4cdd084562ade211a904f690f6,"Doubek, Brandon",1000117400,Right,LAF_LEP,4f2bc0a1-20cb-431c-8713-4195db9de0f6,54.75991,-130.06455,13.36424,6.30416,-5.6224,-7.25831,-1.93982,6.56722,-3.63988,201.774716,1.45487,57.94804,-21.27547,6.18139,-0.90674,-0.0912,0.06467,-0.00998,0.00052,2.61522,110.62868,-29.30977,4.84095,-1.60683,0.43618,-0.0696,0.00545,-0.00015,0.21299,27.85474,1.02134,-0.85793,-0.01028,0.12645,-0.04259,0.00584,-0.0003,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
4,2026-04-01,15:07:27.24,1,4,"Zaffiro, Trey",1000388352,Right,LAF_LEP,"Lordier, Ryan",1000218182,Right,MAN_JAS,Undefined,1,Top,0,2,1,Fastball,Four-Seam,HitByPitch,Undefined,Undefined,Undefined,0,0,,88.39525,-0.599533,-0.660692,2058.178176,192.007396,12:30,6.33131,1.97761,5.64149,-18.63588,17.04914,3.41146,4.21898,1.64553,81.57988,-4.094332,-0.051291,0.429946,,,,,,,,,,,,-1.91709,9.15008,-1.9238,50,6.26865,1.34095,-128.53746,-1.94374,-3.24118,24.0073,-16.7042,LAF_LEP,MAN_JAS,HiltonRahnField,D1,PAT,20260401-HiltonRahnField-1,066ee4f0-2dfe-11f1-8f32-f93d36fdbed2,87.66777,,,6.81537,,,,,,,15aca3b2-7c5f-4b07-808a-8fb042587324,2026-04-01,19:07:27.24,2026-04-01T15:07:27.2498176-04:00,2026-04-01T19:07:27.2498176Z,,v3,471333,471345,f8430f4cdd084562ade211a904f690f6,"Doubek, Brandon",1000117400,Right,LAF_LEP,b87d3f50-ae25-454b-a24b-a96e0ebb28ba,54.86072,-129.44212,12.00365,6.33003,-1.31428,-8.3521,-1.97663,1.46309,-1.62059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-01,15:07:58.79,2,1,"Zaffiro, Trey",1000388352,Right,LAF_LEP,"Sosa, Jeremy",1000426317,Right,MAN_JAS,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.51401,-0.404331,-1.646821,1952.133928,180.679338,12:00,6.36729,1.85406,5.82778,-19.51875,15.95347,0.17689,4.3647,0.33746,81.44887,-4.073743,-1.61513,0.428662,,,,,,,,,,,,-0.51059,8.57485,-1.71961,50,6.32266,3.69059,-128.62599,-1.51541,-0.86221,24.68763,-17.69394,LAF_LEP,MAN_JAS,HiltonRahnField,D1,PAT,20260401-HiltonRahnField-1,1934cd70-2dfe-11f1-8f32-f93d36fdbed2,87.93034,,,7.06514,,,,,,,15aca3b2-7c5f-4b07-808a-8fb042587324,2026-04-01,19:07:58.79,2026-04-01T15:07:58.7915264-04:00,2026-04-01T19:07:58.7915264Z,,v3,471333,471345,f8430f4cdd084562ade211a904f690f6,"Doubek, Brandon",1000117400,Right,LAF_LEP,7197f4f7-66eb-4a17-a21d-63e39a689421,54.67194,-129.51959,12.34381,6.36593,-0.87495,-8.84697,-1.85376,3.7218,-0.43111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-01,15:08:55.90,2,2,"Zaffiro, Trey",1000388352,Right,LAF_LEP,"Sosa, Jeremy",1000426317,Right,MAN_JAS,Undefined,1,Top,0,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.55064,-1.550479,-2.500328,2049.400844,197.70461,12:30,6.44432,1.72812,5.70482,-18.77324,17.16336,5.11162,3.43346,-0.17712,80.92542,-5.089624,-1.587328,0.431459,75.46776,49.938026,136.256395,4136.787138,,,,,42.46977,,,-3.30953,9.51839,-1.52168,50,6.3027,5.39314,-128.46277,-4.06482,-5.52867,26.69143,-16.27329,LAF_LEP,MAN_JAS,HiltonRahnField,D1,PAT,20260401-HiltonRahnField-1,3b4a6370-2dfe-11f1-8f32-f93d36fdbed2,87.36037,45.66048,,7.62522,,,,1.21632,3.4193,0.19778,15aca3b2-7c5f-4b07-808a-8fb042587324,2026-04-01,19:08:55.90,2026-04-01T15:08:55.9001600-04:00,2026-04-01T19:08:55.9001600Z,,v3,471333,471345,f8430f4cdd084562ade211a904f690f6,"Doubek, Brandon",1000117400,Right,LAF_LEP,96830e4b-ed1a-4c08-a7a5-78e012ac1e70,54.79521,-129.45526,13.34571,6.4426,-3.45972,-8.13665,-1.72604,5.59871,-2.76434,,1.21632,-51.46614,-2.32293,1.54757,-0.3114,-0.26414,0.68334,-0.65112,0.23887,3.4193,84.71326,-29.59403,3.67964,-0.70463,-0.18381,0.60094,-0.5694,0.20556,0.19778,49.25708,-7.27641,0.86216,-0.16307,0.08186,-0.13699,0.12791,-0.04774,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
7,2026-04-01,15:09:13.88,2,3,"Zaffiro, Trey",1000388352,Right,LAF_LEP,"Sosa, Jeremy",1000426317,Right,MAN_JAS,Undefined,1,Top,0,1,1,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,1,0,,79.00616,-0.838683,-1.169843,2335.378141,81.173373,8:45,6.36225,1.92336,5.01381,-45.49128,0.21846,-6.65304,1.77951,0.26466,73.68229,-9.014072,-2.346905,0.486604,,,,,,,,,,,,3.04158,0.65756,-1.80549,50,6.24463,2.61196,-114.80444,-3.31399,4.10811,18.86432,-31.28594,LAF_LEP,MAN_JAS,HiltonRahnField,D1,PAT,20260401-HiltonRahnField-1,46045c30-2dfe-11f1-8f32-f93d36fdbed2,77.46017,,,5.32387,,,,,,,15aca3b2-7c5f-4b07-808a-8fb042587324,2026-04-01,19:09:13.88,2026-04-01T15:09:13.8806784-04:00,2026-04-01T19:09:13.8806784Z,,v3,471333,471345,f8430f4cdd084562ade211a904f690f6,"Doubek, Brandon",1000117400,Right,LAF_LEP,4ae550ae-23c0-4d02-a880-a11ff8f2e6a7,55.48919,-115.70289,9.43216,6.36698,-1.82394,-15.64297,-1.92523,2.4163,2.05406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-01,15:09:29.87,2,4,"Zaffiro, Trey",1000388352,Right,LAF_LEP,"Sosa, Jeremy",1000426317,Right,MAN_JAS,Undefined,1,Top,1,1,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.0529,-1.87682,-3.793133,2059.424301,221.743625,1:30,6.32116,1.89187,5.8165,-20.0045,14.67371,12.09579,2.90456,-0.63224,82.28938,-5.634699,-1.631203,0.423838,78.56175,22.168036,142.707182,3914.648267,-93.08192,24.39018,58.61498,194.62688,59.95907,151.45691,2.297971,-7.22681,8.34851,-1.58808,50,6.15527,8.13135,-130.49153,-4.92533,-12.46387,27.3985,-17.77566,LAF_LEP,MAN_JAS,HiltonRahnField,D1,PAT,20260401-HiltonRahnField-1,4f82c7b0-2dfe-11f1-8f32-f93d36fdbed2,88.93131,24.5698,,7.76352,,,,-0.13395,2.66786,0.66098,15aca3b2-7c5f-4b07-808a-8fb042587324,2026-04-01,19:09:29.87,2026-04-01T15:09:29.8797056-04:00,2026-04-01T19:09:29.8797056Z,LineDrive,v3,471333,471345,f8430f4cdd084562ade211a904f690f6,"Doubek, Brandon",1000117400,Right,LAF_LEP,d37cca5d-f793-452a-a612-4adeabd2b083,54.68346,-131.4712,13.69925,6.32001,-4.28973,-8.88783,-1.8868,8.57701,-6.23194,,-0.13396,-84.88908,3.70788,1.06791,-0.63487,0.27817,-0.10037,0.02524,-0.00281,2.66785,43.47722,-24.09947,2.93828,-0.59311,0.14108,-0.0403,0.00997,-0.00117,0.66101,64.65086,-16.48616,4.03715,-0.84555,0.05835,0.03799,-0.01728,0.00249,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
9,2026-04-01,15:09:53.05,2,5,"Zaffiro, Trey",1000388352,Right,LAF_LEP,"Sosa, Jeremy",1000426317,Right,MAN_JAS,Undefined,1,Top,1,1,2,Slider,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,79.68243,0.809406,-1.642688,2392.380474,53.156684,7:45,6.33905,1.60874,5.06752,-50.34471,-4.90835,-8.43378,2.90721,-0.64338,73.24949,-8.282773,-3.134359,0.485147,81.5427,29.988413,43.776238,4314.765906,72.27961,51.13167,82.91948,283.08464,220.58561,58.04637,4.125575,3.74055,-2.27937,-1.44567,50,6.3757,3.663,-115.62501,-0.19956,5.05483,21.91731,-35.25426,LAF_LEP,MAN_JAS,HiltonRahnField,D1,PAT,20260401-HiltonRahnField-1,5d5cc520-2dfe-11f1-8f32-f93d36fdbed2,77.69285,57.79729,,6.43294,,,,0.75113,2.79869,0.69534,15aca3b2-7c5f-4b07-808a-8fb042587324,2026-04-01,19:09:53.05,2026-04-01T15:09:53.0519040-04:00,2026-04-01T19:09:53.0519040Z,FlyBall,v3,471333,471345,f8430f4cdd084562ade211a904f690f6,"Doubek, Brandon",1000117400,Right,LAF_LEP,24da1a90-d059-44f3-ad3e-0b70aa37c4b3,55.43472,-116.65064,10.95866,6.34644,1.45018,-17.62713,-1.61155,3.42645,2.52741,,0.7513,74.78815,-17.56019,3.75747,-0.82674,0.20208,-0.04827,0.00745,-0.00048,2.79893,59.771,-18.23504,1.34015,-0.12255,-0.05292,0.02912,-0.00513,0.00031,0.69467,71.68425,-5.33547,0.95242,-0.29068,0.10416,-0.02713,0.00402,-0.00025,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
10,2026-04-01,15:10:15.65,2,6,"Zaffiro, Trey",1000388352,Right,LAF_LEP,"Sosa, Jeremy",1000426317,Right,MAN_JAS,Undefined,1,Top,1,1,2,Fastball,Sinker,HitByPitch,Undefined,Undefined,Undefined,0,0,,89.82871,-0.661839,-1.543344,2169.083155,222.543403,1:30,6.3669,1.62712,5.53033,-20.9084,14.49552,12.18253,4.00558,1.19924,81.33815,-4.591695,0.628232,0.42825,,,,,,,,,,,,-6.62481,7.87772,-1.50139,50,6.29577,2.9646,-130.27449,-2.20488,-11.27784,29.77194,-18.76328,LAF_LEP,MAN_JAS,HiltonRahnField,D1,PAT,20260401-HiltonRahnField-1,6acd2b50-2dfe-11f1-8f32-f93d36fdbed2,88.0151,,,8.49055,,,,,,,15aca3b2-7c5f-4b07-808a-8fb042587324,2026-04-01,19:10:15.65,2026-04-01T15:10:15.6526080-04:00,2026-04-01T19:10:15.6526080Z,,v3,471333,471345,f8430f4cdd084562ade211a904f690f6,"Doubek, Brandon",1000117400,Right,LAF_LEP,c500d4f7-1f20-480a-be0f-29a5295448da,54.96834,-131.40501,14.88597,6.36597,-1.49238,-9.38164,-1.62209,3.39284,-5.63892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
