PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-02,18:06:32.97,1,1,"McGill, Callum",10120230,Right,MOR_EAG,"Grines, Terence",10030323,Right,UTM_SKY,Undefined,1,Top,0,0,0,Sinker,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.32593,-2.299467,-4.010761,2262.903914,213.544989,1:00,5.77877,1.96608,5.53828,-18.60198,16.34241,10.06867,2.07304,-0.94954,82.3632,-5.791738,-2.221579,0.425461,,,,,,,,,,,,-6.17819,9.23339,-1.62454,50,5.56669,8.70599,-130.70572,-5.86621,-10.67567,27.84207,-16.21914,MOR_EAG,UTM_SKY,AllenField,D1,OVC,20260402-AllenField-1,35e295f0-2ee0-11f1-86e9-3b52951c0856,88.5919,,,7.96273,,,,,,,83757204-6865-4dd0-a1a7-e23155d217ea,2026-04-02,22:06:32.97,2026-04-02T18:06:32.9707008-04:00,2026-04-02T22:06:32.9707008Z,,v3,471366,471460,bc6cdf0c76db4f95b03ea53d96dc4f0d,"Sheridan, Caden",10091036,Right,MOR_EAG,704a046c-50af-4d90-af2e-7b7cba5f249d,54.9566,-131.75731,13.92104,5.77669,-5.25362,-8.10957,-1.96098,9.10921,-5.33784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-02,18:06:47.72,1,2,"McGill, Callum",10120230,Right,MOR_EAG,"Grines, Terence",10030323,Right,UTM_SKY,Undefined,1,Top,0,1,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,87.81558,-1.737949,-4.576923,2168.247254,226.932093,1:30,5.70399,2.09565,5.61456,-24.226,12.98709,12.47056,2.05745,-1.14584,79.43766,-6.264032,-2.359465,0.439056,,,,,,,,,,,,-7.68406,7.49949,-1.7122,50,5.53981,9.61064,-126.92603,-4.66758,-12.40431,28.51149,-20.06769,MOR_EAG,UTM_SKY,AllenField,D1,OVC,20260402-AllenField-1,3ec00680-2ee0-11f1-86e9-3b52951c0856,85.84891,,,8.37792,,,,,,,83757204-6865-4dd0-a1a7-e23155d217ea,2026-04-02,22:06:47.72,2026-04-02T18:06:47.7230592-04:00,2026-04-02T22:06:47.7230592Z,,v3,471366,471460,bc6cdf0c76db4f95b03ea53d96dc4f0d,"Sheridan, Caden",10091036,Right,MOR_EAG,4446fbbd-f953-47cd-a9dc-33223b339c74,54.87957,-128.01744,14.25575,5.70378,-3.89939,-10.03385,-2.08918,10.08548,-6.20216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-02,18:07:03.34,1,3,"McGill, Callum",10120230,Right,MOR_EAG,"Grines, Terence",10030323,Right,UTM_SKY,Undefined,1,Top,0,2,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.37663,-0.890505,-1.38198,2153.590523,229.913938,1:45,5.78793,2.17002,5.56182,-24.6295,12.34957,12.99142,2.90324,1.96133,79.17851,-5.514836,0.93614,0.437673,,,,,,,,,,,,-6.96843,6.9465,-2.05925,50,5.69535,2.49714,-127.9779,-2.81902,-11.30906,31.69337,-20.90053,MOR_EAG,UTM_SKY,AllenField,D1,OVC,20260402-AllenField-1,4804eb70-2ee0-11f1-86e9-3b52951c0856,86.12012,,,9.19812,,,,,,,83757204-6865-4dd0-a1a7-e23155d217ea,2026-04-02,22:07:03.34,2026-04-02T18:07:03.3411072-04:00,2026-04-02T22:07:03.3411072Z,,v3,471366,471460,bc6cdf0c76db4f95b03ea53d96dc4f0d,"Sheridan, Caden",10091036,Right,MOR_EAG,cdffff4c-ceb2-4eb2-b8ca-0418469e661a,54.93012,-129.19306,15.84669,5.78807,-2.01766,-10.45026,-2.16331,2.93074,-5.65453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-02,18:07:21.16,1,4,"McGill, Callum",10120230,Right,MOR_EAG,"Grines, Terence",10030323,Right,UTM_SKY,Undefined,1,Top,0,3,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.60694,-1.571195,-3.32409,2182.295852,226.57176,1:30,5.8749,2.03148,5.57578,-21.02218,14.96517,14.35639,2.65276,0.11976,80.33105,-5.543633,-0.766927,0.431764,,,,,,,,,,,,-8.27201,8.46201,-1.75441,50,5.72611,6.86203,-129.57657,-4.24174,-13.79738,31.85955,-18.05976,MOR_EAG,UTM_SKY,AllenField,D1,OVC,20260402-AllenField-1,52b59560-2ee0-11f1-86e9-3b52951c0856,87.29872,,,9.27589,,,,,,,83757204-6865-4dd0-a1a7-e23155d217ea,2026-04-02,22:07:21.16,2026-04-02T18:07:21.1690496-04:00,2026-04-02T22:07:21.1690496Z,,v3,471366,471460,bc6cdf0c76db4f95b03ea53d96dc4f0d,"Sheridan, Caden",10091036,Right,MOR_EAG,869ce84f-bdc8-49ed-acb6-6f8c9e600cf0,54.91611,-130.77973,15.92977,5.87342,-3.55972,-9.02988,-2.02339,7.38308,-6.89869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-02,18:07:36.25,1,5,"McGill, Callum",10120230,Right,MOR_EAG,"Grines, Terence",10030323,Right,UTM_SKY,Undefined,1,Top,0,3,1,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.69999,-1.723695,-3.035524,2194.232588,235.293425,1:45,5.75644,2.06658,5.46459,-24.15867,11.49383,14.8104,2.12725,0.45715,81.39027,-6.21447,-0.400777,0.42975,119.01844,-46.81109,-114.142425,,,,,2.52404,1.87598,-67.048503,0.017029,-8.41351,6.67233,-1.80991,50,5.58831,6.23043,-129.92582,-4.76669,-14.25717,29.4206,-20.8674,MOR_EAG,UTM_SKY,AllenField,D1,OVC,20260402-AllenField-1,5b9e9eb0-2ee0-11f1-86e9-3b52951c0856,87.70777,2.16962,,8.30972,,,,1.81724,2.16962,-0.46575,83757204-6865-4dd0-a1a7-e23155d217ea,2026-04-02,22:07:36.25,2026-04-02T18:07:36.2521088-04:00,2026-04-02T22:07:36.2521088Z,GroundBall,v3,471366,471460,bc6cdf0c76db4f95b03ea53d96dc4f0d,"Sheridan, Caden",10091036,Right,MOR_EAG,fd4d988c-2d76-4d56-85fe-56b5e927e833,55.0321,-131.06034,14.7103,5.75661,-3.96199,-10.4337,-2.06077,6.78022,-7.12858,,1.81739,-48.91688,,,,,,,,2.17,-127.40977,,,,,,,,-0.46542,-109.13818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
6,2026-04-02,18:08:05.40,1,6,"McGill, Callum",10120230,Right,MOR_EAG,"Grines, Terence",10030323,Right,UTM_SKY,Undefined,1,Top,0,3,2,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,89.62358,-1.338838,-3.708473,2161.965609,220.503373,1:15,5.91294,1.96041,5.50434,-17.55607,18.45198,14.60375,3.19498,-0.29568,80.41046,-4.691103,-1.113348,0.431888,73.067,81.062814,70.542511,,,,,,36.75307,,,-8.56386,10.11851,-1.64642,50,5.78455,7.73797,-129.6077,-3.57183,-14.3166,31.43269,-15.25847,MOR_EAG,UTM_SKY,AllenField,D1,OVC,20260402-AllenField-1,6d03e5c0-2ee0-11f1-86e9-3b52951c0856,87.27365,87.91996,,9.21312,,,,0.72109,3.13758,0.30899,83757204-6865-4dd0-a1a7-e23155d217ea,2026-04-02,22:08:05.40,2026-04-02T18:08:05.4083072-04:00,2026-04-02T22:08:05.4083072Z,,v3,471366,471460,bc6cdf0c76db4f95b03ea53d96dc4f0d,"Sheridan, Caden",10091036,Right,MOR_EAG,6055a658-54a0-4023-bc81-9431d7e3ec17,54.98985,-130.81224,15.71635,5.91023,-2.9871,-7.62924,-1.95346,8.28661,-7.1583,,0.72109,5.54564,-11.59344,4.79455,-1.38902,0.36209,-0.08786,0.01729,-0.00194,3.13758,105.8637,-30.84598,3.9447,-0.59922,0.05819,0.0006,-0.00204,0.00034,0.30899,15.69742,-7.58864,2.67623,-0.71406,0.17609,-0.04099,0.00783,-0.00087,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Undefined,,,
7,2026-04-02,18:08:43.51,2,1,"McGill, Callum",10120230,Right,MOR_EAG,"Davis, Andrew",10150636,Right,UTM_SKY,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.66575,-1.398307,-4.955631,2214.720511,214.739108,1:15,5.94984,1.80675,5.78344,-17.57985,16.99729,10.95918,3.1788,-1.90196,82.1506,-4.738204,-3.004157,0.42322,,,,,,,,,,,,-6.98768,9.3954,-1.4037,50,5.82362,10.87042,-131.06915,-3.73986,-12.08119,29.28429,-15.93006,MOR_EAG,UTM_SKY,AllenField,D1,OVC,20260402-AllenField-1,83ad4a00-2ee0-11f1-86e9-3b52951c0856,89.06114,,,8.51514,,,,,,,83757204-6865-4dd0-a1a7-e23155d217ea,2026-04-02,22:08:43.51,2026-04-02T18:08:43.5170304-04:00,2026-04-02T22:08:43.5170304Z,,v3,471366,471460,bc6cdf0c76db4f95b03ea53d96dc4f0d,"Sheridan, Caden",10091036,Right,MOR_EAG,85eb4048-639a-4abf-881f-14ad0b96a6d3,54.71026,-132.11736,14.64215,5.94728,-3.16965,-7.96503,-1.80054,11.30285,-6.04059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-02,18:09:00.09,2,2,"McGill, Callum",10120230,Right,MOR_EAG,"Davis, Andrew",10150636,Right,UTM_SKY,Undefined,1,Top,1,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.44764,-2.469504,-3.671356,2100.913218,214.642142,1:15,5.77136,1.98724,5.62479,-18.89899,17.02489,10.84855,1.88594,-0.5392,80.65,-6.049063,-1.738989,0.431383,,,,,,,,,,,,-6.61099,9.76938,-1.681,50,5.54863,7.80637,-129.3141,-6.17348,-11.04202,30.3892,-15.85667,MOR_EAG,UTM_SKY,AllenField,D1,OVC,20260402-AllenField-1,8d994460-2ee0-11f1-86e9-3b52951c0856,87.37579,,,8.79764,,,,,,,83757204-6865-4dd0-a1a7-e23155d217ea,2026-04-02,22:09:00.09,2026-04-02T18:09:00.0923648-04:00,2026-04-02T22:09:00.0923648Z,,v3,471366,471460,bc6cdf0c76db4f95b03ea53d96dc4f0d,"Sheridan, Caden",10091036,Right,MOR_EAG,fc2da06f-01e0-4eb5-b647-493391d66107,54.86817,-130.45311,15.1946,5.76887,-5.57916,-7.92834,-1.98135,8.22024,-5.52101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-02,18:09:17.18,2,3,"McGill, Callum",10120230,Right,MOR_EAG,"Davis, Andrew",10150636,Right,UTM_SKY,Undefined,1,Top,1,1,1,Sinker,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,88.33161,-1.639465,-3.618415,2206.450614,242.533414,2:00,5.7079,2.14764,5.68042,-26.74088,9.48682,15.99536,1.94782,0.10323,80.77642,-6.593067,-0.763197,0.433203,,,,,,,,,,,,-9.11186,5.63516,-1.85267,50,5.55286,7.40346,-128.01412,-4.59461,-15.11303,26.54561,-22.82754,MOR_EAG,UTM_SKY,AllenField,D1,OVC,20260402-AllenField-1,97baf4c0-2ee0-11f1-86e9-3b52951c0856,87.00866,,,7.55519,,,,,,,83757204-6865-4dd0-a1a7-e23155d217ea,2026-04-02,22:09:17.18,2026-04-02T18:09:17.1827200-04:00,2026-04-02T22:09:17.1827200Z,,v3,471366,471460,bc6cdf0c76db4f95b03ea53d96dc4f0d,"Sheridan, Caden",10091036,Right,MOR_EAG,305cad4d-5fbf-41a6-9a95-e697006ada89,54.81649,-129.00903,13.27281,5.70904,-3.73906,-11.41377,-2.14076,7.96989,-7.55652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-02,18:09:37.16,2,4,"McGill, Callum",10120230,Right,MOR_EAG,"Davis, Andrew",10150636,Right,UTM_SKY,Undefined,1,Top,1,1,2,Slider,Slider,InPlay,Undefined,FlyBall,Out,1,0,,78.65915,1.095389,-0.89153,2203.33674,84.188536,8:45,5.63072,2.19302,4.93941,-46.91621,0.38559,-12.18721,2.75651,0.33479,71.47138,-7.422465,-3.04156,0.495006,85.24663,42.465816,-33.910783,3325.354888,90.38971,84.08431,-62.6872,314.91445,180.42312,-36.527227,5.273621,5.78217,0.26957,-2.09564,50,5.69829,2.27725,-113.99286,0.49937,7.51697,23.3009,-31.8236,MOR_EAG,UTM_SKY,AllenField,D1,OVC,20260402-AllenField-1,a3b0c8e0-2ee0-11f1-86e9-3b52951c0856,76.14546,101.72498,,7.18777,,,,1.62452,2.72923,-0.28388,83757204-6865-4dd0-a1a7-e23155d217ea,2026-04-02,22:09:37.16,2026-04-02T18:09:37.1699200-04:00,2026-04-02T22:09:37.1699200Z,FlyBall,v3,471366,471460,bc6cdf0c76db4f95b03ea53d96dc4f0d,"Sheridan, Caden",10091036,Right,MOR_EAG,45ba0e90-dc77-4a99-a332-2229ccb57130,55.55788,-115.12333,11.65045,5.63661,2.04332,-15.9118,-2.19727,1.91256,3.75848,168.290063,1.62715,76.49275,-13.0598,2.8765,-0.44511,0.04144,-0.00225,0.00022,-2E-05,2.72968,84.39666,-21.18504,1.8106,-0.1783,-0.04529,0.02121,-0.00314,0.00016,-0.28559,-51.42329,6.83251,-1.38366,0.1797,-0.00884,-0.00019,-9E-05,1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
