PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-02,18:05:31.17,1,1,"Price, Jackson",1000270621,Right,DIX_STE,"Harry, Sam",10150688,Right,SAC_HOR,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.28695,-2.656429,-2.99592,2162.874794,219.352786,1:15,6.18783,1.24919,5.25706,-22.44485,14.45871,10.85961,1.81627,-0.66334,80.68455,-6.810518,-1.071876,0.437226,,,,,,,,,,,,-6.26469,8.33914,-0.98271,50,5.92763,6.19856,-127.82352,-6.72599,-10.35443,26.59239,-18.39087,DIX_STE,SAC_HOR,BruceHurst,D1,WAC,20260402-BruceHurst-1,d48068d0-2ef0-11f1-921d-65998e55eccb,86.20822,,,7.6024,,,,,,,86a4c30e-0f00-4878-8e3c-6729dd54ea5c,2026-04-03,00:05:31.17,2026-04-02T18:05:31.1778304-06:00,2026-04-03T00:05:31.1778304Z,,v3,526275,471257,6c183b1c753b4c698abc42d011645335,"Johnsen, Ty",801633,Right,DIX_STE,4e93a18c-fbd4-4a9e-a27e-6dcc106bba7e,55.24212,-128.90948,13.29619,6.18697,-5.97496,-9.19543,-1.24448,6.6214,-5.17722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-02,18:05:44.81,1,2,"Price, Jackson",1000270621,Right,DIX_STE,"Harry, Sam",10150688,Right,SAC_HOR,Undefined,1,Top,0,0,1,Fastball,Sinker,InPlay,Undefined,FlyBall,Double,0,0,,87.73831,-2.038764,-2.301746,2038.621533,231.832791,1:45,6.13117,1.43132,5.35267,-24.68604,12.42422,14.28528,2.15946,0.46174,80.30592,-6.599546,0.236611,0.438448,77.98301,40.570237,24.616208,5196.688177,93.54847,75.23138,57.86775,234.0665,138.16837,38.440672,4.742054,-7.84493,7.16311,-1.23481,50,5.93011,4.48766,-127.21865,-5.40175,-12.85196,26.18838,-20.43908,DIX_STE,SAC_HOR,BruceHurst,D1,WAC,20260402-BruceHurst-1,dcaed4b0-2ef0-11f1-921d-65998e55eccb,85.96781,79.05361,,7.43239,,,,1.25563,2.22771,-0.45275,86a4c30e-0f00-4878-8e3c-6729dd54ea5c,2026-04-03,00:05:44.81,2026-04-02T18:05:44.8178688-06:00,2026-04-03T00:05:44.8178688Z,FlyBall,v3,526275,471257,6c183b1c753b4c698abc42d011645335,"Johnsen, Ty",801633,Right,DIX_STE,44ec0de7-4f57-4f89-9044-eb161bcecc27,55.14809,-128.27403,13.09419,6.1312,-4.57807,-10.21954,-1.4261,5.00558,-6.42598,211.41147,1.26288,78.8165,-20.61061,4.40805,-0.05466,-0.35447,0.11622,-0.01561,0.00078,2.22572,74.41899,-20.36835,1.16244,0.13241,-0.17097,0.06532,-0.01108,0.00069,-0.45365,36.20756,-0.13763,-0.86549,0.31598,-0.07472,0.01449,-0.00198,0.00012,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
3,2026-04-02,18:06:41.37,2,1,"Price, Jackson",1000270621,Right,DIX_STE,"Pimentel-Guerrero, Luis",1000372935,Left,SAC_HOR,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.89542,-0.478038,-1.74836,2095.559496,227.307508,1:30,6.13806,1.49271,5.43929,-24.15694,11.60536,11.418,3.67713,0.80653,81.67038,-4.949383,0.28337,0.430412,,,,,,,,,,,,-6.19422,6.29772,-1.34608,50,6.07919,3.43189,-129.09273,-1.93444,-10.5161,25.34865,-21.48228,DIX_STE,SAC_HOR,BruceHurst,D1,WAC,20260402-BruceHurst-1,fe5fb570-2ef0-11f1-921d-65998e55eccb,87.57295,,,7.22503,,,,,,,86a4c30e-0f00-4878-8e3c-6729dd54ea5c,2026-04-03,00:06:41.37,2026-04-02T18:06:41.3754368-06:00,2026-04-03T00:06:41.3754368Z,,v3,526275,471257,6c183b1c753b4c698abc42d011645335,"Johnsen, Ty",801633,Right,DIX_STE,2f5cd961-72ed-4cab-9ba2-b8568cd28617,55.06091,-130.08269,12.67433,6.13835,-1.09547,-10.74114,-1.48813,3.84258,-5.25805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-02,18:06:58.32,2,2,"Price, Jackson",1000270621,Right,DIX_STE,"Pimentel-Guerrero, Luis",1000372935,Left,SAC_HOR,Undefined,1,Top,0,1,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,87.53355,-1.427871,-1.047089,2006.506868,225.566784,1:30,6.07333,1.31034,5.35421,-24.50332,12.48493,11.60414,2.6917,1.29518,80.59058,-5.948088,1.015989,0.437727,,,,,,,,,,,,-6.09981,6.98142,-1.22471,50,5.92752,1.81294,-127.11078,-4.03382,-10.04371,24.49124,-20.67871,DIX_STE,SAC_HOR,BruceHurst,D1,WAC,20260402-BruceHurst-1,086fb290-2ef1-11f1-921d-65998e55eccb,86.10952,,,6.94296,,,,,,,86a4c30e-0f00-4878-8e3c-6729dd54ea5c,2026-04-03,00:06:58.32,2026-04-02T18:06:58.3259648-06:00,2026-04-03T00:06:58.3259648Z,,v3,526275,471257,6c183b1c753b4c698abc42d011645335,"Johnsen, Ty",801633,Right,DIX_STE,0162e439-cf77-4aca-b486-c1469f877816,55.14627,-128.09851,12.24562,6.07338,-3.19985,-10.33935,-1.30599,2.218,-5.02185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-02,18:07:16.74,2,3,"Price, Jackson",1000270621,Right,DIX_STE,"Pimentel-Guerrero, Luis",1000372935,Left,SAC_HOR,Undefined,1,Top,0,2,0,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,,87.8177,-1.260167,-2.59826,2206.016658,219.451896,1:15,6.13999,1.34712,5.48529,-24.62895,11.91264,8.91882,2.90716,-0.34225,80.9633,-5.808827,-1.011008,0.435076,99.53125,9.536381,21.437402,1033.066824,101.84261,7.45203,41.57008,154.46895,153.89032,22.591122,1.22359,-5.18607,6.66181,-1.12554,50,6.01272,5.40397,-127.48644,-3.66532,-8.60698,24.14012,-21.11785,DIX_STE,SAC_HOR,BruceHurst,D1,WAC,20260402-BruceHurst-1,136b9650-2ef1-11f1-921d-65998e55eccb,86.63413,9.21829,,6.8544,,,,1.27758,2.92381,0.32643,86a4c30e-0f00-4878-8e3c-6729dd54ea5c,2026-04-03,00:07:16.74,2026-04-02T18:07:16.7443968-06:00,2026-04-03T00:07:16.7443968Z,LineDrive,v3,526275,471257,6c183b1c753b4c698abc42d011645335,"Johnsen, Ty",801633,Right,DIX_STE,b3e47eb3-9c9b-4ed3-84ee-bbf952c1ac77,55.01618,-128.43276,12.07006,6.14017,-2.83747,-10.55893,-1.34399,5.74137,-4.30349,330.711611,1.27758,134.00195,-17.86585,2.90637,-0.67655,0.14692,-0.03242,0.00608,-0.00062,2.92381,24.18489,-24.64867,3.01192,-0.65389,0.15406,-0.03245,0.00606,-0.00066,0.32643,52.61573,-3.99825,0.47425,-0.13761,0.0276,-0.00627,0.00115,-0.00011,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2026-04-02,18:08:03.83,3,1,"Price, Jackson",1000270621,Right,DIX_STE,"Dessens, Erick",10148121,Left,SAC_HOR,Undefined,1,Top,0,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,76.65186,1.733445,0.037996,2506.847381,30.447871,7:00,6.00478,1.6741,5.31423,-51.65896,-3.24355,-2.75917,3.32736,1.47983,70.6077,-7.656371,-0.45242,0.500799,,,,,,,,,,,,1.39059,-1.6311,-1.67548,50,6.12439,0.03383,-111.31219,1.61331,1.75057,19.35014,-34.22743,DIX_STE,SAC_HOR,BruceHurst,D1,WAC,20260402-BruceHurst-1,2fb08690-2ef1-11f1-921d-65998e55eccb,75.26464,,,6.04416,,,,,,,86a4c30e-0f00-4878-8e3c-6729dd54ea5c,2026-04-03,00:08:03.83,2026-04-02T18:08:03.8326272-06:00,2026-04-03T00:08:03.8326272Z,,v3,526275,471257,6c183b1c753b4c698abc42d011645335,"Johnsen, Ty",801633,Right,DIX_STE,2e808f44-5300-4ea2-a303-7a0bddb1adb3,55.18757,-112.21035,9.67507,6.01263,3.20203,-17.11371,-1.67516,-0.04742,0.87529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-02,18:08:21.02,3,2,"Price, Jackson",1000270621,Right,DIX_STE,"Dessens, Erick",10148121,Left,SAC_HOR,Undefined,1,Top,0,1,0,Slider,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,81.11065,-0.311085,-1.137391,2439.65512,2.905134,6:00,5.74389,1.68163,5.23803,-48.47597,-4.16414,-0.29382,1.41177,0.58795,73.40093,-9.128373,-1.189616,0.479105,,,,,,,,,,,,-0.23532,-1.53063,-1.57677,50,5.67918,2.34541,-117.51676,-2.39152,-0.32251,26.40305,-34.27194,DIX_STE,SAC_HOR,BruceHurst,D1,WAC,20260402-BruceHurst-1,39d25e00-2ef1-11f1-921d-65998e55eccb,78.67253,,,7.70973,,,,,,,86a4c30e-0f00-4878-8e3c-6729dd54ea5c,2026-04-03,00:08:21.02,2026-04-02T18:08:21.0222592-06:00,2026-04-03T00:08:21.0222592Z,,v3,526275,471257,6c183b1c753b4c698abc42d011645335,"Johnsen, Ty",801633,Right,DIX_STE,f7bf1c7a-a090-46d1-bb3a-334342d6d5eb,55.2614,-118.69298,13.20153,5.75171,-0.86476,-17.13597,-1.68158,2.35978,-0.16126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-02,18:08:39.59,3,3,"Price, Jackson",1000270621,Right,DIX_STE,"Dessens, Erick",10148121,Left,SAC_HOR,Undefined,1,Top,0,1,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.17179,-1.413366,-1.155775,2133.736455,225.148771,1:30,6.16693,1.48488,5.33438,-23.13942,13.45792,12.38863,2.91203,1.43272,80.89108,-5.697048,1.04565,0.435408,,,,,,,,,,,,-6.51394,7.47481,-1.38968,50,6.02286,2.02768,-127.9822,-3.97105,-10.83909,25.60802,-19.73605,DIX_STE,SAC_HOR,BruceHurst,D1,WAC,20260402-BruceHurst-1,44db1300-2ef1-11f1-921d-65998e55eccb,86.56814,,,7.28071,,,,,,,86a4c30e-0f00-4878-8e3c-6729dd54ea5c,2026-04-03,00:08:39.59,2026-04-02T18:08:39.5987968-06:00,2026-04-03T00:08:39.5987968Z,,v3,526275,471257,6c183b1c753b4c698abc42d011645335,"Johnsen, Ty",801633,Right,DIX_STE,77e681bf-1670-4249-b2cc-bf014fde2945,55.16544,-129.01162,12.80401,6.16655,-3.17768,-9.86803,-1.47995,2.46341,-5.41955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-02,18:09:02.64,3,4,"Price, Jackson",1000270621,Right,DIX_STE,"Dessens, Erick",10148121,Left,SAC_HOR,Undefined,1,Top,0,2,1,Slider,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,78.77458,-0.296992,-2.222278,2367.423108,3.926875,6:15,5.76628,1.8193,5.41701,-50.92369,-4.07299,-0.40032,1.24421,-0.29692,71.18185,-9.58695,-2.293603,0.49264,,,,,,,,,,,,-0.5698,-1.55024,-1.62144,50,5.70419,4.44284,-114.08748,-2.31849,-0.73313,25.63918,-34.16868,DIX_STE,SAC_HOR,BruceHurst,D1,WAC,20260402-BruceHurst-1,528f38f0-2ef1-11f1-921d-65998e55eccb,76.51115,,,7.59273,,,,,,,86a4c30e-0f00-4878-8e3c-6729dd54ea5c,2026-04-03,00:09:02.64,2026-04-02T18:09:02.6412544-06:00,2026-04-03T00:09:02.6412544Z,,v3,526275,471257,6c183b1c753b4c698abc42d011645335,"Johnsen, Ty",801633,Right,DIX_STE,433e8b90-ef6e-493c-ad7f-714f40d7fe9c,55.08335,-115.22421,12.81959,5.77341,-0.8036,-17.08434,-1.81914,4.47534,-0.36656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-02,18:09:23.07,3,5,"Price, Jackson",1000270621,Right,DIX_STE,"Dessens, Erick",10148121,Left,SAC_HOR,Undefined,1,Top,0,2,2,Slider,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,82.77041,-0.498711,-0.91767,2578.03921,359.593952,6:00,5.77168,1.69559,5.22623,-47.77227,-5.19591,0.04787,1.32174,0.83678,74.88929,-9.179103,-0.909157,0.46963,,,,,,,,,,,,-0.33382,-2.02717,-1.61102,50,5.68984,1.919,-119.93107,-2.81133,-0.4763,27.59439,-35.06648,DIX_STE,SAC_HOR,BruceHurst,D1,WAC,20260402-BruceHurst-1,5eb91560-2ef1-11f1-921d-65998e55eccb,80.25988,,,7.88113,,,,,,,86a4c30e-0f00-4878-8e3c-6729dd54ea5c,2026-04-03,00:09:23.07,2026-04-02T18:09:23.0705664-06:00,2026-04-03T00:09:23.0705664Z,,v3,526275,471257,6c183b1c753b4c698abc42d011645335,"Johnsen, Ty",801633,Right,DIX_STE,82b5ce1f-4ec6-4c07-b1df-19c0d563e646,55.2737,-121.13839,13.7972,5.77928,-1.27708,-17.53324,-1.69544,1.93984,-0.23815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
