PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-02,18:05:32.88,1,1,"Nace, Breckin",10139818,Left,RAD_HIG,"Zenor, Henry",10101738,Left,USC_UPS,Undefined,1,Top,0,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.65019,-0.717285,5.066936,2349.965595,122.97987,10:00,5.37318,-2.4293,6.46827,-29.32525,8.30993,-10.88119,2.268,1.3298,78.04502,-6.223045,3.103446,0.441538,,,,,,,,,,,,7.12067,4.95075,2.07533,50,5.30959,-10.5775,-124.0173,-2.42371,11.0412,25.81753,-24.49751,RAD_HIG,USC_UPS,CarterMemorial,D1,BSOU,20260402-CarterMemorial-1,12111f20-2ee0-11f1-b98f-55d35af609d9,85.36617,,,7.60516,,,,,,,422412df-bd9e-4ae8-9358-9b42fe76b30e,2026-04-02,22:05:32.88,2026-04-02T18:05:32.8876032-04:00,2026-04-02T22:05:32.8876032Z,,v3,471417,471513,563287ef2fc8493dbcc2641cb6bbcee2,"Whitacre, Brady",1000133418,Right,RAD_HIG,c9ce07c3-decf-4edd-a29b-fca5bf8b63c2,54.03016,-124.85347,12.90876,5.37524,-1.63029,-12.24875,2.42371,-10.9351,5.5206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-02,18:05:48.89,1,2,"Nace, Breckin",10139818,Left,RAD_HIG,"Zenor, Henry",10101738,Left,USC_UPS,Undefined,1,Top,0,1,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,76.33684,0.568866,3.429629,2244.855259,267.550029,3:00,5.29967,-2.47982,6.28088,-46.30243,2.60169,15.15989,1.96642,1.94842,68.28125,-8.077911,6.160426,0.50332,,,,,,,,,,,,-6.46426,1.78784,2.22014,50,5.3206,-7.16975,-110.43295,-0.22401,-7.70881,25.94868,-30.042,RAD_HIG,USC_UPS,CarterMemorial,D1,BSOU,20260402-CarterMemorial-1,1b972bc0-2ee0-11f1-b98f-55d35af609d9,74.88763,,,8.05559,,,,,,,422412df-bd9e-4ae8-9358-9b42fe76b30e,2026-04-02,22:05:48.89,2026-04-02T18:05:48.8953856-04:00,2026-04-02T22:05:48.8953856Z,,v3,471417,471513,563287ef2fc8493dbcc2641cb6bbcee2,"Whitacre, Brady",1000133418,Right,RAD_HIG,1c1c04c8-4923-41f7-9132-53ac9ec23296,54.2136,-111.41863,12.97434,5.30744,0.91716,-15.021,2.48693,-6.87693,-3.85441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-02,18:06:07.57,1,3,"Nace, Breckin",10139818,Left,RAD_HIG,"Zenor, Henry",10101738,Left,USC_UPS,Undefined,1,Top,0,2,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.21466,0.364303,3.133313,2315.176107,115.465087,9:45,5.31045,-2.43635,6.40887,-31.86218,7.71827,-12.39253,2.99074,-0.58516,74.4564,-5.719571,0.890738,0.452805,,,,,,,,,,,,7.66859,4.40768,2.21661,50,5.32292,-6.22916,-123.12617,-0.15816,11.20693,35.35192,-25.73263,RAD_HIG,USC_UPS,CarterMemorial,D1,BSOU,20260402-CarterMemorial-1,26cd0b40-2ee0-11f1-b98f-55d35af609d9,83.24201,,,10.75826,,,,,,,422412df-bd9e-4ae8-9358-9b42fe76b30e,2026-04-02,22:06:07.57,2026-04-02T18:06:07.5770368-04:00,2026-04-02T22:06:07.5770368Z,,v3,471417,471513,563287ef2fc8493dbcc2641cb6bbcee2,"Whitacre, Brady",1000133418,Right,RAD_HIG,9e89f889-6315-4e17-bf66-21629ce5b897,54.08141,-124.2925,17.67596,5.31413,0.69081,-12.86632,2.42822,-6.59889,5.60346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-02,18:06:24.94,1,4,"Nace, Breckin",10139818,Left,RAD_HIG,"Zenor, Henry",10101738,Left,USC_UPS,Undefined,1,Top,0,2,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,75.9384,1.312249,0.360954,2242.62994,294.133874,3:45,5.32072,-2.5659,6.03492,-50.43511,-1.33886,7.03473,2.33318,-1.64542,68.51421,-8.044624,1.628522,0.504308,,,,,,,,,,,,-3.46347,-0.52894,2.53413,50,5.39678,-0.95231,-110.13428,1.00025,-4.16426,23.40561,-32.81003,RAD_HIG,USC_UPS,CarterMemorial,D1,BSOU,20260402-CarterMemorial-1,3111acf0-2ee0-11f1-b98f-55d35af609d9,74.74096,,,7.4242,,,,,,,422412df-bd9e-4ae8-9358-9b42fe76b30e,2026-04-02,22:06:24.94,2026-04-02T18:06:24.9427968-04:00,2026-04-02T22:06:24.9427968Z,,v3,471417,471513,563287ef2fc8493dbcc2641cb6bbcee2,"Whitacre, Brady",1000133418,Right,RAD_HIG,b39e1885-70e3-46f5-9ead-2e9aafbd42b2,54.4624,-111.07858,11.7028,5.32972,2.32397,-16.40501,2.56916,-0.7843,-2.08213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-02,18:06:45.06,1,5,"Nace, Breckin",10139818,Left,RAD_HIG,"Zenor, Henry",10101738,Left,USC_UPS,Undefined,1,Top,0,3,1,Fastball,Changeup,BallCalled,Walk,Undefined,Undefined,0,0,,85.7603,0.85017,3.589623,2369.421008,119.564524,10:00,5.28448,-2.43613,6.36776,-29.56332,9.28438,-13.39713,3.60478,-0.24507,75.42311,-4.793452,1.169829,0.448595,,,,,,,,,,,,8.24056,4.99496,2.18145,50,5.33298,-7.21401,-123.93169,0.97145,12.3176,33.73186,-24.70781,RAD_HIG,USC_UPS,CarterMemorial,D1,BSOU,20260402-CarterMemorial-1,3d078110-2ee0-11f1-b98f-55d35af609d9,84.02338,,,10.3372,,,,,,,422412df-bd9e-4ae8-9358-9b42fe76b30e,2026-04-02,22:06:45.06,2026-04-02T18:06:45.0600448-04:00,2026-04-02T22:06:45.0600448Z,,v3,471417,471513,563287ef2fc8493dbcc2641cb6bbcee2,"Whitacre, Brady",1000133418,Right,RAD_HIG,40afffbf-12db-40cc-9bc5-d0c2e0be71a7,54.12316,-125.0489,16.86593,5.28725,1.78978,-12.3539,2.42714,-7.62198,6.1588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-02,18:07:38.77,2,1,"Nace, Breckin",10139818,Left,RAD_HIG,"Heaghney, Maloy",1000274377,Right,USC_UPS,Undefined,1,Top,0,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.87819,-0.317335,2.436444,2302.227842,112.398408,9:45,5.3768,-2.24237,6.51625,-30.41226,6.90268,-13.65847,2.55099,-1.14353,77.97234,-6.045311,-0.04351,0.439656,,,,,,,,,,,,7.82414,4.12642,2.07748,50,5.34189,-4.77449,-124.68817,-1.59581,12.20007,27.30483,-25.73978,RAD_HIG,USC_UPS,CarterMemorial,D1,BSOU,20260402-CarterMemorial-1,5d15ae50-2ee0-11f1-b98f-55d35af609d9,85.73171,,,7.90585,,,,,,,422412df-bd9e-4ae8-9358-9b42fe76b30e,2026-04-02,22:07:38.77,2026-04-02T18:07:38.7743744-04:00,2026-04-02T22:07:38.7743744Z,,v3,471417,471513,563287ef2fc8493dbcc2641cb6bbcee2,"Whitacre, Brady",1000133418,Right,RAD_HIG,89e953c9-b6c4-4f83-bfe8-33361e7688a3,53.98158,-125.55704,13.65242,5.37963,-0.77674,-12.86989,2.23559,-5.16271,6.10003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-02,18:08:13.43,2,2,"Nace, Breckin",10139818,Left,RAD_HIG,"Heaghney, Maloy",1000274377,Right,USC_UPS,Undefined,1,Top,0,0,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,77.31602,0.061342,2.686372,2268.499631,277.292603,3:15,5.40702,-2.24715,6.16261,-47.57329,0.06969,13.97717,1.49931,1.40105,69.45417,-8.773579,5.204836,0.496788,,,,,,,,,,,,-6.31489,0.43661,2.03596,50,5.3875,-5.74255,-112.01799,-1.26403,-7.76348,26.34762,-31.63728,RAD_HIG,USC_UPS,CarterMemorial,D1,BSOU,20260402-CarterMemorial-1,71c0f8a0-2ee0-11f1-b98f-55d35af609d9,75.87232,,,7.86185,,,,,,,422412df-bd9e-4ae8-9358-9b42fe76b30e,2026-04-02,22:08:13.43,2026-04-02T18:08:13.4385152-04:00,2026-04-02T22:08:13.4385152Z,,v3,471417,471513,563287ef2fc8493dbcc2641cb6bbcee2,"Whitacre, Brady",1000133418,Right,RAD_HIG,bee0f4ef-daff-43c1-b73c-58b80905441b,54.33708,-113.03351,13.17381,5.41272,-0.04463,-15.81864,2.25153,-5.44332,-3.88174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-02,18:08:32.79,2,3,"Nace, Breckin",10139818,Left,RAD_HIG,"Heaghney, Maloy",1000274377,Right,USC_UPS,Undefined,1,Top,0,1,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,77.18571,0.342659,1.683953,2256.799765,281.080987,3:15,5.34975,-2.30037,6.03736,-47.48471,-0.19287,9.45914,1.71013,0.04762,70.14337,-8.438128,3.38732,0.494954,,,,,,,,,,,,-4.30819,0.30343,2.16399,50,5.35131,-3.63717,-111.99618,-0.76972,-5.38364,23.2721,-31.79486,RAD_HIG,USC_UPS,CarterMemorial,D1,BSOU,20260402-CarterMemorial-1,7d456d50-2ee0-11f1-b98f-55d35af609d9,76.15349,,,7.04235,,,,,,,422412df-bd9e-4ae8-9358-9b42fe76b30e,2026-04-02,22:08:32.79,2026-04-02T18:08:32.7942656-04:00,2026-04-02T22:08:32.7942656Z,,v3,471417,471513,563287ef2fc8493dbcc2641cb6bbcee2,"Whitacre, Brady",1000133418,Right,RAD_HIG,2d7c8e57-278d-451f-9ab1-f4286b194ebf,54.46155,-112.91945,11.63605,5.35683,0.49168,-15.89743,2.30405,-3.42359,-2.69182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-02,18:09:10.92,2,4,"Nace, Breckin",10139818,Left,RAD_HIG,"Heaghney, Maloy",1000274377,Right,USC_UPS,Undefined,1,Top,0,1,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,77.1345,-0.321342,1.539401,2223.176855,268.776179,3:00,5.31191,-2.32351,6.07114,-45.53762,2.10768,15.58312,1.21964,0.39994,69.71469,-8.763463,4.347617,0.4968,,,,,,,,,,,,-7.53835,1.67287,2.19595,50,5.26303,-3.56118,-111.87306,-1.97155,-9.31725,24.83584,-30.10639,RAD_HIG,USC_UPS,CarterMemorial,D1,BSOU,20260402-CarterMemorial-1,93fed720-2ee0-11f1-b98f-55d35af609d9,75.87049,,,7.4198,,,,,,,422412df-bd9e-4ae8-9358-9b42fe76b30e,2026-04-02,22:09:10.92,2026-04-02T18:09:10.9220000-04:00,2026-04-02T22:09:10.9220000Z,,v3,471417,471513,563287ef2fc8493dbcc2641cb6bbcee2,"Whitacre, Brady",1000133418,Right,RAD_HIG,53792dac-1442-429e-805b-7abb732a341a,54.42821,-112.85184,12.41792,5.31735,-0.78505,-15.0532,2.32906,-3.19399,-4.65862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.18092,,0.760678,,3.08158,1.47267,-0.27467,-2.12836,5.47725,0.93572,,,,-2.0344,102.39479,-8.45162,5.51864,11.30161,-13.36046,0.886,-6.65776,3.20291,High,High,High,,,High,High,Medium
10,2026-04-02,18:09:50.49,3,1,"Nace, Breckin",10139818,Left,RAD_HIG,"Sweeney, Johnny",1000223685,Left,USC_UPS,Undefined,1,Top,1,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,76.81265,-0.520723,3.882665,2257.231785,279.206003,3:15,5.28651,-2.40647,6.35808,-47.18109,0.19602,9.00075,0.87438,1.92255,69.99635,-9.256781,5.507628,0.4954,,,,,,,,,,,,-3.44173,0.7089,2.12071,50,5.22688,-7.85747,-111.32156,-2.34097,-4.24159,23.32177,-31.30042,RAD_HIG,USC_UPS,CarterMemorial,D1,BSOU,20260402-CarterMemorial-1,ab977d60-2ee0-11f1-b98f-55d35af609d9,76.08491,,,6.8163,,,,,,,422412df-bd9e-4ae8-9358-9b42fe76b30e,2026-04-02,22:09:50.49,2026-04-02T18:09:50.4951808-04:00,2026-04-02T22:09:50.4951808Z,,v3,471417,471513,563287ef2fc8493dbcc2641cb6bbcee2,"Whitacre, Brady",1000133418,Right,RAD_HIG,7c5fc931-f137-4bf9-a37c-cd07c95eeaf8,54.14228,-112.18601,11.66089,5.29215,-1.18078,-15.65021,2.40904,-7.70025,-2.12079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
