PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-02,18:07:32.46,1,1,"Nolan, Tanner",10029436,Left,APP_MOU,"Bottone, Evan",1000125439,Right,MAR_THU,Undefined,1,Top,0,0,0,Sinker,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.00193,0.588396,1.901537,1933.55628,121.259872,10:00,5.37045,-1.32112,6.02403,-28.95222,9.8728,-14.54339,3.50306,-0.7712,77.86161,-4.791444,-0.714283,0.448464,,,,,,,,,,,,7.92374,5.28237,1.17999,50,5.40061,-3.49338,-122.19895,0.34944,12.16117,20.69307,-24.06682,APP_MOU,MAR_THU,JimBettieSmith,D1,SBELT,20260402-JimBettieSmith-1,5933e040-2ee0-11f1-acfe-eb2ecad43a21,84.04791,,,6.14032,,,,,,,fa561a88-d10f-4725-ae16-a15d29b29622,2026-04-02,22:07:32.46,2026-04-02T18:07:32.4620000-04:00,2026-04-02T22:07:32.4620000Z,,v3,471230,471347,b6e14616674a4cb5b40b926a54b1494d,"Denton, Colton",10107048,Right,APP_MOU,f3ceccf0-e82f-40a1-b759-3cdb4142a6d7,54.47844,-122.95499,10.34654,5.37178,1.22874,-12.03341,1.31574,-3.93769,6.08058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-02,18:07:45.97,1,2,"Nolan, Tanner",10029436,Left,APP_MOU,"Bottone, Evan",1000125439,Right,MAR_THU,Undefined,1,Top,0,1,0,Sinker,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.47274,-1.827139,4.017245,2118.92236,125.083724,10:15,5.39012,-1.17196,5.88101,-26.15525,12.62501,-16.4291,1.50888,1.19592,78.38295,-6.672182,1.076288,0.448205,,,,,,,,,,,,9.41087,7.24028,0.85676,50,5.22681,-7.97151,-122.58917,-4.74512,14.53383,20.86082,-20.99244,APP_MOU,MAR_THU,JimBettieSmith,D1,SBELT,20260402-JimBettieSmith-1,613d8610-2ee0-11f1-acfe-eb2ecad43a21,84.09645,,,6.0898,,,,,,,fa561a88-d10f-4725-ae16-a15d29b29622,2026-04-02,22:07:45.97,2026-04-02T18:07:45.9770000-04:00,2026-04-02T22:07:45.9770000Z,,v3,471230,471347,b6e14616674a4cb5b40b926a54b1494d,"Denton, Colton",10107048,Right,APP_MOU,a67d77fe-476e-4065-88a6-01d340f58673,54.62251,-123.37327,10.43041,5.39034,-3.95608,-10.49622,1.16665,-8.5178,7.26692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-02,18:08:00.06,1,3,"Nolan, Tanner",10029436,Left,APP_MOU,"Bottone, Evan",1000125439,Right,MAR_THU,Undefined,1,Top,0,2,0,Sinker,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.32093,-0.602785,3.647514,2160.585307,119.777485,10:00,5.35588,-1.31551,5.7192,-27.76246,10.44268,-16.39454,2.47967,0.72065,79.02903,-5.729648,0.720433,0.444869,,,,,,,,,,,,9.22213,5.79162,1.02057,50,5.28807,-7.23166,-123.89016,-2.22998,14.54069,21.39423,-23.04232,APP_MOU,MAR_THU,JimBettieSmith,D1,SBELT,20260402-JimBettieSmith-1,69a689f0-2ee0-11f1-acfe-eb2ecad43a21,84.727,,,6.29191,,,,,,,fa561a88-d10f-4725-ae16-a15d29b29622,2026-04-02,22:08:00.06,2026-04-02T18:08:00.0650000-04:00,2026-04-02T22:08:00.0650000Z,,v3,471230,471347,b6e14616674a4cb5b40b926a54b1494d,"Denton, Colton",10107048,Right,APP_MOU,caa8dec6-4960-4aa3-94bf-a887942d196c,54.78383,-124.71353,10.69711,5.35683,-1.34318,-11.52116,1.30965,-7.79126,7.27034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-02,18:08:13.78,1,4,"Nolan, Tanner",10029436,Left,APP_MOU,"Bottone, Evan",1000125439,Right,MAR_THU,Undefined,1,Top,0,2,1,Sinker,Changeup,InPlay,Undefined,GroundBall,Single,0,0,,85.00144,-1.407301,3.010846,2163.594646,123.273701,10:00,5.35317,-1.39689,5.66364,-28.32002,10.33032,-14.05859,1.67878,0.24176,78.68386,-6.626108,0.500368,0.447454,101.4115,-7.479985,-4.082171,,,,,12.41218,11.99343,-5.063491,0.081237,7.91178,5.93418,1.15126,50,5.21594,-5.92299,-123.42945,-3.98438,12.34582,21.91889,-22.91415,APP_MOU,MAR_THU,JimBettieSmith,D1,SBELT,20260402-JimBettieSmith-1,71d59210-2ee0-11f1-acfe-eb2ecad43a21,84.23762,1.57429,,6.31758,,,,0.4039,1.57429,-0.24194,fa561a88-d10f-4725-ae16-a15d29b29622,2026-04-02,22:08:13.78,2026-04-02T18:08:13.7880000-04:00,2026-04-02T22:08:13.7880000Z,GroundBall,v3,471230,471347,b6e14616674a4cb5b40b926a54b1494d,"Denton, Colton",10107048,Right,APP_MOU,730c9753-b56b-4a59-82ff-58a67919f038,54.83915,-124.28582,10.95945,5.35412,-3.08912,-11.45708,1.3921,-6.40534,6.17291,180,0.40226,147.22199,,,,,,,,1.5745,-19.37899,,,,,,,,-0.24183,-10.50696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2026-04-02,18:09:00.93,2,1,"Nolan, Tanner",10029436,Left,APP_MOU,"Kamerer, Tyler",1000222330,Right,MAR_THU,Undefined,1,Top,0,0,0,Slider,Curveball,HitByPitch,Undefined,Undefined,Undefined,0,0,,70.39893,3.62785,2.615749,2628.441209,290.96001,3:45,5.32603,-1.32363,5.28893,-61.16602,-3.30945,13.1554,3.64368,2.23066,64.7521,-7.476414,4.942119,0.547454,,,,,,,,,,,,-5.94205,-2.28366,1.07482,50,5.61179,-5.11619,-101.9791,4.59607,-6.26015,16.70272,-34.57997,APP_MOU,MAR_THU,JimBettieSmith,D1,SBELT,20260402-JimBettieSmith-1,8df917a0-2ee0-11f1-acfe-eb2ecad43a21,68.85041,,,5.64683,,,,,,,fa561a88-d10f-4725-ae16-a15d29b29622,2026-04-02,22:09:00.93,2026-04-02T18:09:00.9370000-04:00,2026-04-02T22:09:00.9370000Z,,v3,471230,471347,b6e14616674a4cb5b40b926a54b1494d,"Denton, Colton",10107048,Right,APP_MOU,befba2ac-2bb1-4253-8443-2a991aee260d,55.21563,-102.82979,8.35136,5.33286,6.35728,-17.28999,1.32728,-4.79735,-3.13008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-02,18:09:34.54,3,1,"Nolan, Tanner",10029436,Left,APP_MOU,"Halter, Jackson",822961,Left,MAR_THU,Undefined,1,Top,0,0,0,Sinker,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.48942,-0.578798,3.380776,2147.692796,123.535896,10:00,5.50498,-1.22728,5.59951,-24.97226,13.00343,-17.71654,2.88262,0.45637,78.71011,-5.238744,0.223815,0.443531,,,,,,,,,,,,9.90595,7.12118,0.94892,50,5.43929,-6.64237,-125.3593,-2.09497,15.70926,26.15342,-20.88096,APP_MOU,MAR_THU,JimBettieSmith,D1,SBELT,20260402-JimBettieSmith-1,a1f695c0-2ee0-11f1-acfe-eb2ecad43a21,84.98256,,,7.77931,,,,,,,fa561a88-d10f-4725-ae16-a15d29b29622,2026-04-02,22:09:34.54,2026-04-02T18:09:34.5450000-04:00,2026-04-02T22:09:34.5450000Z,,v3,471230,471347,b6e14616674a4cb5b40b926a54b1494d,"Denton, Colton",10107048,Right,APP_MOU,504ae59b-68c1-481b-b3c5-8c61b87a9b13,54.90061,-126.37756,13.07671,5.50503,-1.28198,-10.44048,1.21944,-7.254,7.85463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-02,18:09:55.57,3,2,"Nolan, Tanner",10029436,Left,APP_MOU,"Halter, Jackson",822961,Left,MAR_THU,Undefined,1,Top,0,0,1,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.08327,0.194633,2.565779,2099.324147,173.844823,11:45,5.46101,-1.40485,6.12535,-27.05005,14.98387,-1.47756,3.38696,0.84553,74.3684,-4.888799,2.299908,0.466628,,,,,,,,,,,,1.45193,8.08158,1.20916,50,5.46176,-5.22101,-117.74528,-0.36287,2.0445,21.72042,-20.7941,APP_MOU,MAR_THU,JimBettieSmith,D1,SBELT,20260402-JimBettieSmith-1,ae83c7e0-2ee0-11f1-acfe-eb2ecad43a21,80.77612,,,6.71487,,,,,,,fa561a88-d10f-4725-ae16-a15d29b29622,2026-04-02,22:09:55.57,2026-04-02T18:09:55.5710000-04:00,2026-04-02T22:09:55.5710000Z,,v3,471230,471347,b6e14616674a4cb5b40b926a54b1494d,"Denton, Colton",10107048,Right,APP_MOU,8516d430-c0a2-46cb-b7f6-2eb8eec5faf3,54.37402,-118.54941,10.86021,5.46094,0.40696,-10.39705,1.40385,-5.2967,1.02225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-02,18:10:15.61,3,3,"Nolan, Tanner",10029436,Left,APP_MOU,"Halter, Jackson",822961,Left,MAR_THU,Undefined,1,Top,0,1,1,Sinker,Sinker,InPlay,Undefined,Bunt,Single,0,0,,84.63741,-0.321101,2.609198,2193.491211,135.225323,10:30,5.46239,-1.47266,5.81549,-25.78383,13.0867,-11.84308,3.01485,-0.03174,77.88904,-5.125408,0.488845,0.448726,25.11449,34.887992,-33.094958,2819.365328,,,,47.26014,46.26272,-32.027243,1.547407,6.79642,7.12024,1.26622,50,5.42067,-5.14177,-122.95617,-1.5038,10.47323,22.8704,-21.20177,APP_MOU,MAR_THU,JimBettieSmith,D1,SBELT,20260402-JimBettieSmith-1,ba6ccac0-2ee0-11f1-acfe-eb2ecad43a21,83.9987,10.47018,,6.74837,,,,3.92818,3.21665,0.03521,fa561a88-d10f-4725-ae16-a15d29b29622,2026-04-02,22:10:15.61,2026-04-02T18:10:15.6120000-04:00,2026-04-02T22:10:15.6120000Z,GroundBall,v3,471230,471347,b6e14616674a4cb5b40b926a54b1494d,"Denton, Colton",10107048,Right,APP_MOU,c2f77283-527f-4627-8aa2-28b35766529b,54.68747,-123.82499,11.4352,5.46249,-0.69837,-10.60089,1.46911,-5.53963,5.23661,167.145686,3.9282,25.31029,-1.62122,-0.02729,0.4403,-0.5412,0.37944,-0.09762,0.00308,3.21666,21.06683,-15.54713,0.27731,0.46555,-0.77327,0.66539,-0.28873,0.04785,0.0352,-16.49665,0.33097,0.05819,-0.47715,0.74553,-0.70734,0.34817,-0.06525,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2026-04-02,18:10:59.02,4,1,"Nolan, Tanner",10029436,Left,APP_MOU,"Havrilla, Aj",1000301840,Right,MAR_THU,Undefined,1,Top,0,0,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.45518,-1.857486,3.144787,2219.908403,132.963327,10:30,5.37655,-1.40616,5.6767,-21.93509,14.80127,-14.68064,1.81372,0.3052,80.3565,-5.948825,0.524072,0.436234,,,,,,,,,,,,8.26882,8.35012,1.15003,50,5.20586,-6.34531,-126.85442,-4.83166,13.549,24.5964,-18.49188,APP_MOU,MAR_THU,JimBettieSmith,D1,SBELT,20260402-JimBettieSmith-1,d4524730-2ee0-11f1-acfe-eb2ecad43a21,86.40417,,,7.09868,,,,,,,fa561a88-d10f-4725-ae16-a15d29b29622,2026-04-02,22:10:59.02,2026-04-02T18:10:59.0270000-04:00,2026-04-02T22:10:59.0270000Z,,v3,471230,471347,b6e14616674a4cb5b40b926a54b1494d,"Denton, Colton",10107048,Right,APP_MOU,395585df-5388-4075-b435-36d63ef98ef8,54.82442,-127.78642,12.2982,5.37566,-4.13097,-9.24594,1.4002,-6.85871,6.7745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-02,18:11:17.11,4,2,"Nolan, Tanner",10029436,Left,APP_MOU,"Havrilla, Aj",1000301840,Right,MAR_THU,Undefined,1,Top,0,0,1,Sinker,Four-Seam,HitByPitch,Undefined,Undefined,Undefined,0,1,,86.49481,-1.58913,4.412558,2172.400767,143.839201,10:45,5.45608,-1.32335,5.79624,-21.67155,15.7619,-10.68871,2.16715,1.89856,79.52836,-5.641971,2.505793,0.440353,,,,,,,,,,,,6.73032,8.83997,0.96665,50,5.31205,-9.25823,-125.37356,-4.16802,10.77215,24.02407,-18.02536,APP_MOU,MAR_THU,JimBettieSmith,D1,SBELT,20260402-JimBettieSmith-1,df158ec0-2ee0-11f1-acfe-eb2ecad43a21,85.5959,,,6.96646,,,,,,,fa561a88-d10f-4725-ae16-a15d29b29622,2026-04-02,22:11:17.11,2026-04-02T18:11:17.1160000-04:00,2026-04-02T22:11:17.1160000Z,,v3,471230,471347,b6e14616674a4cb5b40b926a54b1494d,"Denton, Colton",10107048,Right,APP_MOU,da6af2a4-b8a5-498d-8291-c97ef329cab3,54.70776,-126.27244,12.01204,5.45538,-3.49359,-9.01268,1.3206,-9.66128,5.38608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
