PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-02,15:03:41.14,1,1,"Holman, Shane",1000264871,Right,BUT_COL1,"Wall, Nolan",1000168995,Right,HIG_COM3,Undefined,1,Top,0,0,0,Undefined,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,71.45813,2.637851,-2.83921,2197.995763,27.201563,7:00,5.59116,2.93458,5.06161,-63.68602,-7.4067,-4.63996,2.77618,-0.13152,66.1711,-8.828956,-3.657819,0.539941,,,,,,,,,,,,1.56374,-3.87992,-2.66073,50,5.79121,5.31052,-103.61081,2.68616,1.70987,16.35754,-36.41654,BUT_COL1,HIG_COM3,McDonaldStadium,JUCO,NJCAA,20260402-McDonaldStadium-2,28cb8310-2ecf-11f1-ba3f-15970c2d6942,69.8085,,,5.28703,,,,,,,e3802dd8-f4e5-45e3-a45a-3e5bb8680350,2026-04-02,20:03:41.14,2026-04-02T15:03:41.1419136-05:00,2026-04-02T20:03:41.1419136Z,,v3,643-147268,643-147379,,"Gomez-Gordon, Kaden",1000450119,Right,BUT_COL1,32f601c1-cbc3-4883-aed5-e349562ded9b,55.43984,-104.46609,8.17877,5.60098,4.59027,-18.20827,-2.93606,5.22112,0.85493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-02,15:03:51.99,1,2,"Holman, Shane",1000264871,Right,BUT_COL1,"Wall, Nolan",1000168995,Right,HIG_COM3,Undefined,1,Top,0,0,1,Undefined,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,74.10322,1.50437,-3.772267,2394.894293,15.253912,6:30,5.55973,3.00928,4.90684,-64.28606,-11.00662,-3.47016,1.6286,-0.85233,68.08052,-10.022475,-4.382754,0.525353,,,,,,,,,,,,0.59976,-5.45481,-2.63704,50,5.65257,7.20777,-107.27547,0.58886,0.69418,19.72531,-38.48776,BUT_COL1,HIG_COM3,McDonaldStadium,JUCO,NJCAA,20260402-McDonaldStadium-2,2f3b27f0-2ecf-11f1-ba3f-15970c2d6942,71.74687,,,6.0227,,,,,,,e3802dd8-f4e5-45e3-a45a-3e5bb8680350,2026-04-02,20:03:51.99,2026-04-02T15:03:51.9947264-05:00,2026-04-02T20:03:51.9947264Z,,v3,643-147268,643-147379,,"Gomez-Gordon, Kaden",1000450119,Right,BUT_COL1,b0a18c36-89be-4fce-afa3-9eebe13289f6,55.5944,-108.29926,9.86266,5.57016,2.58646,-19.24388,-3.01021,7.17174,0.34709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-02,15:04:07.74,1,3,"Holman, Shane",1000264871,Right,BUT_COL1,"Wall, Nolan",1000168995,Right,HIG_COM3,Undefined,1,Top,0,0,2,Undefined,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,88.3583,-0.90593,-5.187579,2323.388095,222.918621,1:30,5.68027,3.07276,5.32991,-18.12178,18.92611,16.39871,3.31655,-0.44138,79.93377,-4.334267,-2.2926,0.43808,,,,,,,,,,,,-9.6806,10.09441,-2.6149,50,5.58552,10.83439,-127.63857,-2.59526,-15.87615,27.71389,-15.61923,BUT_COL1,HIG_COM3,McDonaldStadium,JUCO,NJCAA,20260402-McDonaldStadium-2,38901270-2ecf-11f1-ba3f-15970c2d6942,86.04014,,,8.42453,,,,,,,e3802dd8-f4e5-45e3-a45a-3e5bb8680350,2026-04-02,20:04:07.74,2026-04-02T15:04:07.7430000-05:00,2026-04-02T20:04:07.7430000Z,,v3,643-147268,643-147379,,"Gomez-Gordon, Kaden",1000450119,Right,BUT_COL1,060b3917-9ecf-4a38-a80e-aa74f768a647,55.16554,-128.75527,13.85695,5.67741,-1.9659,-7.80962,-3.06435,11.4741,-7.93807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.9287,2.566752,1.201664,1.365088,-1.56987,3.08403,0.55676,-4.91672,5.38676,4.49261,70.93805,7.78474,53.83522,-4.84105,60.85224,-3.91721,5.47446,22.60013,-15.32167,4.50956,38.07378,-1.42247,High,High,High,,,High,High,High
4,2026-04-02,15:04:29.99,2,1,"Holman, Shane",1000264871,Right,BUT_COL1,"Shields, Jake",10165616,Left,HIG_COM3,Undefined,1,Top,1,0,0,Undefined,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,72.80766,1.067682,-3.622068,2284.872689,18.008686,6:30,5.58482,3.06924,4.97698,-65.77996,-10.47382,-4.01256,1.11365,-0.6905,66.70843,-10.745378,-4.329615,0.535252,,,,,,,,,,,,0.85492,-5.0141,-2.7158,50,5.63392,6.82376,-105.3791,-0.26087,0.94953,19.9629,-37.74293,BUT_COL1,HIG_COM3,McDonaldStadium,JUCO,NJCAA,20260402-McDonaldStadium-2,45e37ac0-2ecf-11f1-ba3f-15970c2d6942,70.42005,,,6.09923,,,,,,,e3802dd8-f4e5-45e3-a45a-3e5bb8680350,2026-04-02,20:04:29.99,2026-04-02T15:04:29.9962368-05:00,2026-04-02T20:04:29.9962368Z,,v3,643-147268,643-147379,,"Gomez-Gordon, Kaden",1000450119,Right,BUT_COL1,f87cb350-0327-4ee9-9867-8d5f6215a6b8,55.52333,-106.42029,9.98145,5.59619,1.70766,-18.87147,-3.07041,6.77424,0.47476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-02,15:04:41.35,2,2,"Holman, Shane",1000264871,Right,BUT_COL1,"Shields, Jake",10165616,Left,HIG_COM3,Undefined,1,Top,1,1,0,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,87.9237,-2.745303,-3.152612,2257.230678,227.865444,1:30,5.67503,3.08007,5.13313,-21.19375,16.4606,16.72111,1.31772,1.50166,79.73824,-6.692486,-0.196891,0.441651,,,,,,,,,,,,-9.24178,9.40008,-2.79762,50,5.40126,6.23152,-127.15356,-6.83591,-15.00688,28.06044,-16.91012,BUT_COL1,HIG_COM3,McDonaldStadium,JUCO,NJCAA,20260402-McDonaldStadium-2,4ca36280-2ecf-11f1-ba3f-15970c2d6942,85.34447,,,8.18546,,,,,,,e3802dd8-f4e5-45e3-a45a-3e5bb8680350,2026-04-02,20:04:41.35,2026-04-02T15:04:41.3523456-05:00,2026-04-02T20:04:41.3523456Z,,v3,643-147268,643-147379,,"Gomez-Gordon, Kaden",1000450119,Right,BUT_COL1,8effe6be-ea92-42d8-a298-23b6baf87aa7,55.36282,-128.33158,14.03022,5.67334,-6.126,-8.45506,-3.07245,6.86153,-7.50344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-02,15:04:55.05,2,3,"Holman, Shane",1000264871,Right,BUT_COL1,"Shields, Jake",10165616,Left,HIG_COM3,Undefined,1,Top,1,2,0,Undefined,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,86.70779,-2.366645,-3.373977,2250.364959,223.62246,1:30,5.66341,3.08901,5.2046,-20.62344,18.10182,15.9093,1.71393,1.23803,78.35037,-6.236061,-0.559757,0.447887,,,,,,,,,,,,-8.92406,10.1506,-2.78883,50,5.42905,6.66356,-125.36015,-5.86339,-14.04428,27.95418,-16.19953,BUT_COL1,HIG_COM3,McDonaldStadium,JUCO,NJCAA,20260402-McDonaldStadium-2,54cc7730-2ecf-11f1-ba3f-15970c2d6942,84.15613,,,8.35742,,,,,,,e3802dd8-f4e5-45e3-a45a-3e5bb8680350,2026-04-02,20:04:55.05,2026-04-02T15:04:55.0501376-05:00,2026-04-02T20:04:55.0501376Z,,v3,643-147268,643-147379,,"Gomez-Gordon, Kaden",1000450119,Right,BUT_COL1,29cc1104-d463-4e0d-85a0-fa44e31af945,55.29007,-126.53429,13.97709,5.66103,-5.18297,-8.09977,-3.0811,7.25345,-7.02214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-02,15:05:08.07,2,4,"Holman, Shane",1000264871,Right,BUT_COL1,"Shields, Jake",10165616,Left,HIG_COM3,Undefined,1,Top,1,2,1,Undefined,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,76.41495,-0.297482,-3.563288,1820.068924,246.443393,2:15,5.43408,3.06411,5.25903,-40.57597,9.34099,17.16836,1.77272,1.14275,69.00392,-7.765,-0.521667,0.508505,,,,,,,,,,,,-9.68957,5.31453,-2.7505,50,5.3774,6.19533,-110.51645,-1.88761,-11.79163,22.64415,-25.70657,BUT_COL1,HIG_COM3,McDonaldStadium,JUCO,NJCAA,20260402-McDonaldStadium-2,5c962dd0-2ecf-11f1-ba3f-15970c2d6942,74.12399,,,7.41104,,,,,,,e3802dd8-f4e5-45e3-a45a-3e5bb8680350,2026-04-02,20:05:08.07,2026-04-02T15:05:08.0728576-05:00,2026-04-02T20:05:08.0728576Z,,v3,643-147268,643-147379,,"Gomez-Gordon, Kaden",1000450119,Right,BUT_COL1,943fe311-7cce-4cec-bd57-cff5617d9397,55.23581,-111.58408,11.32207,5.43782,-0.6756,-12.85328,-3.0557,6.75129,-5.89582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-02,15:05:20.42,2,5,"Holman, Shane",1000264871,Right,BUT_COL1,"Shields, Jake",10165616,Left,HIG_COM3,Undefined,1,Top,1,2,2,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,77.07455,-0.069756,-1.660899,1624.272825,228.626872,1:30,5.51401,3.13942,5.00325,-36.79364,12.12646,11.89367,2.382,2.56227,70.23102,-6.8147,0.439452,0.503402,,,,,,,,,,,,-6.34748,6.52343,-2.98989,50,5.47811,2.74907,-111.69474,-1.36614,-7.97584,21.12334,-23.97713,BUT_COL1,HIG_COM3,McDonaldStadium,JUCO,NJCAA,20260402-McDonaldStadium-2,63ee0fd0-2ecf-11f1-ba3f-15970c2d6942,74.87538,,,6.84352,,,,,,,e3802dd8-f4e5-45e3-a45a-3e5bb8680350,2026-04-02,20:05:20.42,2026-04-02T15:05:20.4280832-05:00,2026-04-02T20:05:20.4280832Z,,v3,643-147268,643-147379,,"Gomez-Gordon, Kaden",1000450119,Right,BUT_COL1,1fd6555d-40de-4d7a-ab5e-ef436037116f,55.49173,-112.72853,10.56167,5.51625,-0.19268,-11.98856,-3.13398,3.13942,-3.98792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-02,15:05:32.95,2,6,"Holman, Shane",1000264871,Right,BUT_COL1,"Shields, Jake",10165616,Left,HIG_COM3,Undefined,1,Top,1,3,2,Undefined,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,87.65472,-1.088456,-2.602444,2273.900628,217.537997,1:15,5.69905,3.06002,5.17033,-18.89804,19.18261,13.63497,3.09873,1.74553,78.61715,-4.672291,-0.190684,0.444144,,,,,,,,,,,,-7.56918,10.28115,-2.82814,50,5.58393,5.12134,-126.78296,-3.0101,-12.10851,30.07033,-15.72713,BUT_COL1,HIG_COM3,McDonaldStadium,JUCO,NJCAA,20260402-McDonaldStadium-2,6b62efb0-2ecf-11f1-ba3f-15970c2d6942,84.86539,,,9.03757,,,,,,,e3802dd8-f4e5-45e3-a45a-3e5bb8680350,2026-04-02,20:05:32.95,2026-04-02T15:05:32.9500000-05:00,2026-04-02T20:05:32.9500000Z,,v3,643-147268,643-147379,,"Gomez-Gordon, Kaden",1000450119,Right,BUT_COL1,9d65d519-bdf0-4533-a929-e9448552f30d,55.32231,-128.03908,15.03517,5.69595,-2.35314,-7.86357,-3.05264,5.62714,-6.05426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.02352,,,1.250293,,,,1.83294,5.34715,-1.20863,64.54153,5.69464,60.23461,1.94909,57.45742,-5.91242,5.43595,18.8489,-14.90662,-1.19621,51.71937,-2.0684,High,High,High,,,High,Medium,High
10,2026-04-02,15:05:55.79,3,1,"Holman, Shane",1000264871,Right,BUT_COL1,"Davila, Carson",10087960,Right,HIG_COM3,Undefined,1,Top,2,0,0,Undefined,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,73.74305,1.285563,-4.576633,2361.230872,0.73192,6:00,5.47927,3.1622,4.97149,-59.85617,-6.52197,-0.10378,1.70959,-1.17842,68.17915,-9.452353,-4.594868,0.525623,,,,,,,,,,,,-1.19378,-3.18292,-2.71912,50,5.55412,8.54835,-106.74158,0.36931,-1.38035,17.99183,-35.85443,BUT_COL1,HIG_COM3,McDonaldStadium,JUCO,NJCAA,20260402-McDonaldStadium-2,7905d790-2ecf-11f1-ba3f-15970c2d6942,71.71005,,,5.56391,,,,,,,e3802dd8-f4e5-45e3-a45a-3e5bb8680350,2026-04-02,20:05:55.79,2026-04-02T15:05:55.7909504-05:00,2026-04-02T20:05:55.7909504Z,,v3,643-147268,643-147379,,"Gomez-Gordon, Kaden",1000450119,Right,BUT_COL1,0de79f15-b663-4105-be92-857b34547331,55.52967,-107.6696,8.99591,5.48738,2.21868,-17.92722,-3.16188,8.61955,-0.69018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
