PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-02,16:06:28.95,1,1,"Figueroa, Abdriel",1000280836,Right,SOU_IND16,"Bloomer, Chase",827167,Right,SOU_COU,Undefined,1,Top,0,0,0,Fastball,,InPlay,Undefined,GroundBall,Single,0,0,,91.51789,-1.790944,-3.739355,2116.073438,,,5.38154,2.13786,6.17099,,,,2.52439,0.49572,83.0828,-4.575199,0.184787,0.415119,77.258,-16.175131,-4.536931,,,,,10.47564,10.47564,-6.516015,0.080367,-12.39453,10.62871,-1.86519,50,5.23813,7.76115,-132.68631,-4.53596,-21.97298,29.87184,-13.33153,SOU_IND16,SOU_COU,USIField,D1,OVC,20260402-USIField-1,707faec0-2ecf-11f1-8aae-db0aa8204caf,90.79917,2.54416,,8.43509,,,,1.66417,2.54416,-0.49496,eb7a2a92-f844-4dca-89c6-c8231d775d56,2026-04-02,20:06:28.95,2026-04-02T16:06:28.9589760-04:00,2026-04-02T20:06:28.9589760Z,GroundBall,v3,southernindiana,471448,11928dee94104c909b449fdc4972147c,"Saenz, Drue",1000138940,Right,SOU_IND16,c00a4217-e817-4a0b-af41-4eaabed27724,54.3337,-133.6584,14.93592,5.37868,-4.10213,-6.66576,-2.12939,8.47619,-10.98649,,1.66012,108.79841,,,,,,,,2.54534,-31.65685,,,,,,,,-0.49464,-8.63319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,Estimated,Estimated,,,
2,2026-04-02,16:07:08.45,2,1,"Figueroa, Abdriel",1000280836,Right,SOU_IND16,"Niedzwiedz, Ryan",834710,Left,SOU_COU,Undefined,1,Top,0,0,0,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,91.70122,0.047334,-3.316442,2134.327908,,,5.27499,2.44529,6.40461,,,,3.74992,0.33284,84.38328,-3.521025,-1.275499,0.409336,,,,,,,,,,,,-6.71193,7.33469,-2.2121,50,5.2695,7.26438,-133.24677,-0.44046,-12.17877,26.14858,-18.8653,SOU_IND16,SOU_COU,USIField,D1,OVC,20260402-USIField-1,880b0e90-2ecf-11f1-8aae-db0aa8204caf,92.08182,,,7.31794,,,,,,,eb7a2a92-f844-4dca-89c6-c8231d775d56,2026-04-02,20:07:08.45,2026-04-02T16:07:08.4570112-04:00,2026-04-02T20:07:08.4570112Z,,v3,southernindiana,471448,11928dee94104c909b449fdc4972147c,"Saenz, Drue",1000138940,Right,SOU_IND16,de7d76bb-c61f-475d-aaac-5038450f1adb,54.09964,-134.04888,13.07429,5.27413,0.13823,-9.43265,-2.44066,7.63796,-6.08938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
3,2026-04-02,16:07:31.02,2,2,"Figueroa, Abdriel",1000280836,Right,SOU_IND16,"Niedzwiedz, Ryan",834710,Left,SOU_COU,Undefined,1,Top,0,1,0,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,91.56141,-1.60085,-5.534701,2192.275596,,,5.06679,2.11273,6.61592,,,,1.69224,-1.73477,85.24636,-5.870236,-2.849681,0.407431,,,,,,,,,,,,-9.12941,5.48217,-1.74136,50,4.94768,12.32112,-132.8109,-4.41405,-16.63345,23.08982,-22.18574,SOU_IND16,SOU_COU,USIField,D1,OVC,20260402-USIField-1,95bb3ce0-2ecf-11f1-8aae-db0aa8204caf,92.51248,,,6.31505,,,,,,,eb7a2a92-f844-4dca-89c6-c8231d775d56,2026-04-02,20:07:31.02,2026-04-02T16:07:31.0209536-04:00,2026-04-02T20:07:31.0209536Z,,v3,southernindiana,471448,11928dee94104c909b449fdc4972147c,"Saenz, Drue",1000138940,Right,SOU_IND16,ce73d02d-b1d0-4010-8e8e-05d72bdbfc2e,53.89179,-133.48579,11.54491,5.06722,-3.76558,-11.09287,-2.1086,12.8073,-8.31673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
4,2026-04-02,16:08:12.25,2,3,"Figueroa, Abdriel",1000280836,Right,SOU_IND16,"Niedzwiedz, Ryan",834710,Left,SOU_COU,Undefined,1,Top,0,2,0,Fastball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.9731,-1.182378,-3.291719,2041.522127,,,5.32037,2.5073,6.10717,,,,2.64231,1.09239,82.50204,-4.795743,0.233182,0.41827,,,,,,,,,,,,-11.07556,8.31532,-2.26404,50,5.21934,6.75804,-131.93384,-3.29607,-19.37553,30.03156,-17.62722,SOU_IND16,SOU_COU,USIField,D1,OVC,20260402-USIField-1,ae0f1cd0-2ecf-11f1-8aae-db0aa8204caf,90.11507,,,8.47105,,,,,,,eb7a2a92-f844-4dca-89c6-c8231d775d56,2026-04-02,20:08:12.25,2026-04-02T16:08:12.2581504-04:00,2026-04-02T20:08:12.2581504Z,,v3,southernindiana,471448,11928dee94104c909b449fdc4972147c,"Saenz, Drue",1000138940,Right,SOU_IND16,092aa71b-70c1-4303-aa84-617d69c81195,54.39632,-132.93079,15.01578,5.31905,-2.7109,-8.81361,-2.49906,7.40124,-9.68776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
5,2026-04-02,16:08:35.21,2,4,"Figueroa, Abdriel",1000280836,Right,SOU_IND16,"Niedzwiedz, Ryan",834710,Left,SOU_COU,Undefined,1,Top,0,2,1,Slider,,InPlay,Undefined,FlyBall,Out,1,0,,77.85579,1.422398,-0.752574,2569.464091,,,5.28176,2.35698,5.94179,,,,3.02008,0.32293,71.2423,-6.527945,-3.631508,0.488871,89.18103,37.25015,-16.594952,,102.76156,78.78997,-39.24354,293.36922,270.68514,-27.052212,5.365523,8.05815,1.6013,-2.28767,50,5.37086,2.0631,-113.10285,1.50324,10.3871,21.56982,-30.10995,SOU_IND16,SOU_COU,USIField,D1,OVC,20260402-USIField-1,bbd4f600-2ecf-11f1-8aae-db0aa8204caf,77.10092,97.86033,,6.61349,,,,1.78428,3.0555,-0.25213,eb7a2a92-f844-4dca-89c6-c8231d775d56,2026-04-02,20:08:35.21,2026-04-02T16:08:35.2143872-04:00,2026-04-02T20:08:35.2143872Z,FlyBall,v3,southernindiana,471448,11928dee94104c909b449fdc4972147c,"Saenz, Drue",1000138940,Right,SOU_IND16,a4dafe67-a096-49f4-a3f9-6a5b0617be07,54.56344,-113.96983,10.78491,5.28611,2.71347,-15.05498,-2.3622,1.64561,5.19355,,1.78958,99.67098,-25.3626,6.21782,-0.97295,0.04197,0.01543,-0.00271,0.00013,3.05228,79.22611,-17.95995,0.38919,0.21035,-0.10434,0.02862,-0.00399,0.00021,-0.25182,-29.74438,0.14479,0.68662,-0.24897,0.04774,-0.00481,0.00019,0,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,High,Medium,,,
6,2026-04-02,16:09:31.95,3,1,"Figueroa, Abdriel",1000280836,Right,SOU_IND16,"Mitchell, Mackenzie",1000217847,Right,SOU_COU,Undefined,1,Top,1,0,0,Slider,,BallCalled,Undefined,Undefined,Undefined,0,0,,78.07527,0.252516,0.241596,2588.951447,,,5.30947,2.18471,5.94017,,,,1.66638,1.23232,70.51131,-8.360239,-2.299161,0.491372,,,,,,,,,,,,7.35008,0.41972,-2.19591,50,5.30355,0.04333,-113.27429,-0.93814,9.33727,24.98401,-31.64083,SOU_IND16,SOU_COU,USIField,D1,OVC,20260402-USIField-1,dd931d30-2ecf-11f1-8aae-db0aa8204caf,76.70863,,,7.56396,,,,,,,eb7a2a92-f844-4dca-89c6-c8231d775d56,2026-04-02,20:09:31.95,2026-04-02T16:09:31.9535104-04:00,2026-04-02T20:09:31.9535104Z,,v3,southernindiana,471448,11928dee94104c909b449fdc4972147c,"Saenz, Drue",1000138940,Right,SOU_IND16,fa3fcd21-9773-4982-9608-16b8d715558a,54.56295,-114.27627,12.49201,5.31573,0.33082,-15.82041,-2.19014,-0.33114,4.66864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
7,2026-04-02,16:09:53.77,3,2,"Figueroa, Abdriel",1000280836,Right,SOU_IND16,"Mitchell, Mackenzie",1000217847,Right,SOU_COU,Undefined,1,Top,1,1,0,Fastball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.81776,-2.493785,-3.445287,2193.959077,,,5.36084,2.36761,6.47806,,,,1.59652,0.27058,83.07199,-5.876721,-1.11843,0.412671,,,,,,,,,,,,-7.81241,9.10678,-2.13013,50,5.17694,7.49306,-133.05761,-6.28643,-13.83648,31.76883,-16.0451,SOU_IND16,SOU_COU,USIField,D1,OVC,20260402-USIField-1,eac5de20-2ecf-11f1-8aae-db0aa8204caf,91.3378,,,8.74578,,,,,,,eb7a2a92-f844-4dca-89c6-c8231d775d56,2026-04-02,20:09:53.77,2026-04-02T16:09:53.7720320-04:00,2026-04-02T20:09:53.7720320Z,,v3,southernindiana,471448,11928dee94104c909b449fdc4972147c,"Saenz, Drue",1000138940,Right,SOU_IND16,14846bce-de67-4e9d-a41f-979d2b87441b,54.02478,-134.01512,15.88442,5.35912,-5.80283,-8.02255,-2.36226,7.91009,-6.91824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
8,2026-04-02,16:10:17.05,3,3,"Figueroa, Abdriel",1000280836,Right,SOU_IND16,"Mitchell, Mackenzie",1000217847,Right,SOU_COU,Undefined,1,Top,1,1,1,Slider,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,78.53196,0.665099,-0.166228,2548.119041,,,5.40757,2.26761,5.90052,,,,2.12625,0.72465,71.8602,-7.948753,-3.161332,0.485517,,,,,,,,,,,,8.52268,-0.4485,-2.24449,50,5.43418,0.94428,-114.10137,-0.14804,11.14751,22.53199,-32.76068,SOU_IND16,SOU_COU,USIField,D1,OVC,20260402-USIField-1,f8728a00-2ecf-11f1-8aae-db0aa8204caf,77.63366,,,6.67177,,,,,,,eb7a2a92-f844-4dca-89c6-c8231d775d56,2026-04-02,20:10:17.05,2026-04-02T16:10:17.0527744-04:00,2026-04-02T20:10:17.0527744Z,,v3,southernindiana,471448,11928dee94104c909b449fdc4972147c,"Saenz, Drue",1000138940,Right,SOU_IND16,0822076b-8481-498b-9676-dde230ec11b0,54.60498,-115.00714,11.26599,5.41366,1.16891,-16.38034,-2.27344,0.49616,5.57375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
9,2026-04-02,16:10:36.22,3,4,"Figueroa, Abdriel",1000280836,Right,SOU_IND16,"Mitchell, Mackenzie",1000217847,Right,SOU_COU,Undefined,1,Top,1,1,2,Fastball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.98069,-2.592844,-4.240394,2224.062678,,,5.4165,2.26082,6.32778,,,,1.24272,0.06882,83.8935,-6.616662,-0.513947,0.411794,,,,,,,,,,,,-12.01481,7.00725,-1.96029,50,5.21632,9.04469,-133.2745,-6.70874,-21.53363,29.58536,-19.61522,SOU_IND16,SOU_COU,USIField,D1,OVC,20260402-USIField-1,03dcbff0-2ed0-11f1-8aae-db0aa8204caf,91.53228,,,8.08719,,,,,,,eb7a2a92-f844-4dca-89c6-c8231d775d56,2026-04-02,20:10:36.22,2026-04-02T16:10:36.2224640-04:00,2026-04-02T20:10:36.2224640Z,,v3,southernindiana,471448,11928dee94104c909b449fdc4972147c,"Saenz, Drue",1000138940,Right,SOU_IND16,2c4161e5-8685-4094-823d-4f11f18e1f1d,54.17759,-134.19867,14.79268,5.41631,-6.09601,-9.80761,-2.25333,9.71735,-10.76682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
10,2026-04-02,16:11:05.18,3,5,"Figueroa, Abdriel",1000280836,Right,SOU_IND16,"Mitchell, Mackenzie",1000217847,Right,SOU_COU,Undefined,1,Top,1,1,2,Slider,,BallCalled,Undefined,Undefined,Undefined,0,0,,78.26687,1.456614,-1.415557,2607.775172,,,5.41868,2.24386,6.13845,,,,3.34832,-0.01609,71.30902,-6.176863,-3.472181,0.485491,,,,,,,,,,,,5.45618,2.34169,-2.13011,50,5.50894,3.22236,-113.63155,1.6781,7.07572,22.40754,-29.1373,SOU_IND16,SOU_COU,USIField,D1,OVC,20260402-USIField-1,151ccbc0-2ed0-11f1-8aae-db0aa8204caf,77.63771,,,6.95785,,,,,,,eb7a2a92-f844-4dca-89c6-c8231d775d56,2026-04-02,20:11:05.18,2026-04-02T16:11:05.1892736-04:00,2026-04-02T20:11:05.1892736Z,,v3,southernindiana,471448,11928dee94104c909b449fdc4972147c,"Saenz, Drue",1000138940,Right,SOU_IND16,410fa0d1-990b-472d-b876-dcb8868cca0f,54.36437,-114.48895,11.20377,5.4234,2.793,-14.56865,-2.24823,2.95161,3.53786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
