PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-02,15:04:25.80,1,1,"Finn, Bobby",10063192,Left,VIL_WIL,"Crock, Logan",1000102488,Right,BUT_BUL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.22256,-0.754009,1.377765,2457.182896,150.821191,11:00,5.93073,-1.44284,6.0014,-19.08261,16.23328,-8.37371,3.64161,-0.86378,80.64025,-4.3943,-0.128006,0.427717,,,,,,,,,,,,4.68331,8.9141,1.33875,50,5.86091,-2.75025,-129.43533,-2.25937,7.85678,29.81808,-17.21959,VIL_WIL,BUT_BUL,Villanova,D1,BEAST,20260402-Villanova-1,c4c93900-2ec6-11f1-91ec-c95e5c260487,88.12475,,,8.58231,,,,,,,2177b45f-a51f-4f29-9bc6-c2c922d61264,2026-04-02,19:04:25.80,2026-04-02T15:04:25.8024448-04:00,2026-04-02T19:04:25.8024448Z,,v3,471478,471250,bd5ba41adc0740c89bde19db2053af60,"Gialluisi, Mark",806079,Right,VIL_WIL,bff9d7e6-58aa-4832-a9d3-e7217dcf5690,54.49448,-130.46662,14.90904,5.92876,-1.66381,-8.6098,1.43857,-3.02199,3.92839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-02,15:04:40.40,1,2,"Finn, Bobby",10063192,Left,VIL_WIL,"Crock, Logan",1000102488,Right,BUT_BUL,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.33016,-0.354295,1.230428,2413.283652,160.813913,11:15,6.08737,-1.28528,5.83966,-22.10249,15.19993,-4.81213,3.91613,-0.54254,78.50008,-4.548802,0.367708,0.439582,,,,,,,,,,,,2.83477,8.258,1.18774,50,6.04573,-2.51011,-126.58489,-1.45533,4.52153,29.93136,-19.00234,VIL_WIL,BUT_BUL,Villanova,D1,BEAST,20260402-Villanova-1,cd7dc4d0-2ec6-11f1-91ec-c95e5c260487,85.74611,,,8.83008,,,,,,,2177b45f-a51f-4f29-9bc6-c2c922d61264,2026-04-02,19:04:40.40,2026-04-02T15:04:40.4087296-04:00,2026-04-02T19:04:40.4087296Z,,v3,471478,471250,bd5ba41adc0740c89bde19db2053af60,"Gialluisi, Mark",806079,Right,VIL_WIL,7355c441-8eb8-46c0-8fc2-f67a15d82863,54.65512,-127.68086,14.96568,6.08628,-0.75954,-9.50117,1.28268,-2.67567,2.26076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-02,15:04:58.93,1,3,"Finn, Bobby",10063192,Left,VIL_WIL,"Crock, Logan",1000102488,Right,BUT_BUL,Undefined,1,Top,0,2,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.1613,-1.90247,0.82967,2425.349542,159.468298,11:15,6.01892,-1.29058,6.03008,-16.94525,18.56336,-6.46351,2.84412,-1.0608,80.29477,-5.164177,-0.333588,0.428882,,,,,,,,,,,,3.56421,10.51477,1.22904,50,5.86096,-1.59372,-129.25719,-4.7511,5.93313,30.97791,-14.67079,VIL_WIL,BUT_BUL,Villanova,D1,BEAST,20260402-Villanova-1,d88a9880-2ec6-11f1-91ec-c95e5c260487,87.88526,,,8.86653,,,,,,,2177b45f-a51f-4f29-9bc6-c2c922d61264,2026-04-02,19:04:58.93,2026-04-02T15:04:58.9355520-04:00,2026-04-02T19:04:58.9355520Z,,v3,471478,471250,bd5ba41adc0740c89bde19db2053af60,"Gialluisi, Mark",806079,Right,VIL_WIL,81b70bc6-e8da-4622-8722-09a57b09e1b0,54.46543,-130.32298,15.48895,6.01574,-4.24635,-7.3354,1.28739,-1.79785,2.96657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-02,15:05:14.19,1,4,"Finn, Bobby",10063192,Left,VIL_WIL,"Crock, Logan",1000102488,Right,BUT_BUL,Undefined,1,Top,0,3,0,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,88.31194,-2.258776,0.417293,2485.97674,161.09413,11:15,6.01631,-1.21909,5.99097,-17.79158,18.56135,-5.88831,2.43917,-1.32304,79.38865,-5.675681,-0.641829,0.433951,,,,,,,,,,,,3.12236,10.63481,1.18919,50,5.82833,-0.67636,-127.94811,-5.52918,5.08133,30.90102,-14.86702,VIL_WIL,BUT_BUL,Villanova,D1,BEAST,20260402-Villanova-1,e1a70de0-2ec6-11f1-91ec-c95e5c260487,86.85866,,,8.92329,,,,,,,2177b45f-a51f-4f29-9bc6-c2c922d61264,2026-04-02,19:05:14.19,2026-04-02T15:05:14.1923840-04:00,2026-04-02T19:05:14.1923840Z,,v3,471478,471250,bd5ba41adc0740c89bde19db2053af60,"Gialluisi, Mark",806079,Right,VIL_WIL,63e63249-bb6f-4581-b451-f9c79bd997e3,54.50317,-129.03109,15.45051,6.01298,-5.00814,-7.43351,1.21602,-0.85444,2.54066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-02,15:05:49.08,2,1,"Finn, Bobby",10063192,Left,VIL_WIL,"Rhoades, Matthew",10150928,Left,BUT_BUL,Undefined,1,Top,0,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,76.37444,1.996458,0.197701,2014.819478,319.536847,4:45,5.9001,-1.40688,5.41095,-64.32555,-14.44894,13.91808,2.41088,-0.06181,68.90894,-9.713575,2.679534,0.5083,,,,,,,,,,,,-6.87485,-7.32115,1.37943,50,6.03332,-0.93354,-110.66983,1.63957,-8.31164,24.38445,-41.02526,VIL_WIL,BUT_BUL,Villanova,D1,BEAST,20260402-Villanova-1,f6771e40-2ec6-11f1-91ec-c95e5c260487,74.15395,,,7.46551,,,,,,,2177b45f-a51f-4f29-9bc6-c2c922d61264,2026-04-02,19:05:49.08,2026-04-02T15:05:49.0848768-04:00,2026-04-02T19:05:49.0848768Z,,v3,471478,471250,bd5ba41adc0740c89bde19db2053af60,"Gialluisi, Mark",806079,Right,VIL_WIL,fd8a76e6-9489-4db6-8a58-3639ae388e20,55.09045,-111.78581,12.19222,5.91532,3.51713,-20.51263,1.41344,-0.55315,-4.15582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-02,15:06:12.40,2,2,"Finn, Bobby",10063192,Left,VIL_WIL,"Rhoades, Matthew",10150928,Left,BUT_BUL,Undefined,1,Top,0,0,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.49669,-1.586228,1.643806,2518.698441,154.244224,11:15,5.98139,-1.28583,5.88725,-17.72607,17.80525,-7.94733,3.03029,-0.42128,80.36251,-4.986998,0.217944,0.42902,,,,,,,,,,,,4.60815,10.01445,1.15781,50,5.84341,-3.37837,-129.68461,-4.10172,7.69834,31.9367,-15.44395,VIL_WIL,BUT_BUL,Villanova,D1,BEAST,20260402-Villanova-1,045adfb0-2ec7-11f1-91ec-c95e5c260487,87.85715,,,9.13418,,,,,,,2177b45f-a51f-4f29-9bc6-c2c922d61264,2026-04-02,19:06:12.40,2026-04-02T15:06:12.4077056-04:00,2026-04-02T19:06:12.4077056Z,,v3,471478,471250,bd5ba41adc0740c89bde19db2053af60,"Gialluisi, Mark",806079,Right,VIL_WIL,54ec1992-f672-4130-8579-428312afdeab,54.60941,-130.81482,15.96835,5.97889,-3.55517,-7.72198,1.28219,-3.6508,3.84917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-02,15:07:13.49,2,3,"Finn, Bobby",10063192,Left,VIL_WIL,"Rhoades, Matthew",10150928,Left,BUT_BUL,Undefined,1,Top,0,0,2,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,,88.9026,-1.697692,2.345004,2432.096305,160.151545,11:15,5.93067,-1.17314,6.11806,-24.11761,11.55146,-3.69599,2.34948,0.68815,80.12979,-6.248258,1.67922,0.429851,100.77484,3.363641,0.636809,898.639779,,,,88.30484,88.27528,-1.084901,0.648823,2.67799,6.90323,0.99525,50,5.78803,-5.12246,-128.83715,-4.56991,4.42158,31.18419,-20.77618,VIL_WIL,BUT_BUL,Villanova,D1,BEAST,20260402-Villanova-1,28beab70-2ec7-11f1-91ec-c95e5c260487,87.6873,3.25691,,8.77281,,,,0.72254,2.30792,-0.69865,2177b45f-a51f-4f29-9bc6-c2c922d61264,2026-04-02,19:07:13.49,2026-04-02T15:07:13.4941696-04:00,2026-04-02T19:07:13.4941696Z,GroundBall,v3,471478,471250,bd5ba41adc0740c89bde19db2053af60,"Gialluisi, Mark",806079,Right,VIL_WIL,9e656659-0fbf-449f-9ecd-549e51d0cb2e,54.37892,-129.89271,15.5921,5.93081,-3.86665,-10.38809,1.17117,-5.27213,2.21079,61.291376,0.76002,146.75754,-18.35149,,,,,,,2.33389,8.1303,-18.13231,,,,,,,-0.68294,1.31021,-4.40296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2026-04-02,15:07:52.03,3,1,"Finn, Bobby",10063192,Left,VIL_WIL,"Gilmore, Gavin",10149934,Right,BUT_BUL,Undefined,1,Top,0,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,75.17228,0.845481,-1.214869,1931.536111,305.196226,4:15,5.95863,-1.38443,5.33211,-61.50767,-10.09441,16.97359,1.62651,-1.11001,68.20614,-10.327549,1.810118,0.516071,,,,,,,,,,,,-8.89579,-4.76477,1.4816,50,5.99096,1.65253,-108.97748,-0.46767,-10.47345,22.89698,-37.78384,VIL_WIL,BUT_BUL,Villanova,D1,BEAST,20260402-Villanova-1,3fcaa210-2ec7-11f1-91ec-c95e5c260487,73.03738,,,6.96614,,,,,,,2177b45f-a51f-4f29-9bc6-c2c922d61264,2026-04-02,19:07:52.03,2026-04-02T15:07:52.0353792-04:00,2026-04-02T19:07:52.0353792Z,,v3,471478,471250,bd5ba41adc0740c89bde19db2053af60,"Gialluisi, Mark",806079,Right,VIL_WIL,013b6d8a-5a1a-4702-a082-3ace50e156f4,55.16942,-110.05826,11.44849,5.97095,1.31579,-18.89192,1.39193,2.1469,-5.23673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-02,15:08:15.49,3,2,"Finn, Bobby",10063192,Left,VIL_WIL,"Gilmore, Gavin",10149934,Right,BUT_BUL,Undefined,1,Top,0,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.89099,-2.101633,1.373502,2318.461254,163.812262,11:30,6.00918,-1.45153,5.94133,-19.85926,16.71473,-4.47154,2.40325,-0.5498,79.46773,-5.874407,0.57016,0.435269,71.59165,24.572001,148.560898,2833.765213,,,,,35.4209,,,2.72437,9.61595,1.34454,50,5.83052,-2.86784,-127.41829,-5.26004,4.4197,29.40784,-16.57419,VIL_WIL,BUT_BUL,Villanova,D1,BEAST,20260402-Villanova-1,4db58f70-2ec7-11f1-91ec-c95e5c260487,86.59573,14.98208,,8.42326,,,,0.69798,2.08969,0.60724,2177b45f-a51f-4f29-9bc6-c2c922d61264,2026-04-02,19:08:15.49,2026-04-02T15:08:15.4959872-04:00,2026-04-02T19:08:15.4959872Z,,v3,471478,471250,bd5ba41adc0740c89bde19db2053af60,"Gialluisi, Mark",806079,Right,VIL_WIL,07201576-67f6-4a21-99b9-55669a45187a,54.5559,-128.46548,14.70392,6.00731,-4.66985,-8.28709,1.44947,-3.02522,2.20985,,0.69595,-81.40659,8.67374,,,,,,,2.10458,43.15681,-27.03537,,,,,,,0.61625,49.50162,-11.39744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
10,2026-04-02,15:08:36.39,3,3,"Finn, Bobby",10063192,Left,VIL_WIL,"Gilmore, Gavin",10149934,Right,BUT_BUL,Undefined,1,Top,0,1,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.87665,1.281382,0.38217,2227.185701,119.446187,10:00,5.84846,-1.6173,5.44764,-33.49486,8.84949,-12.78241,4.25715,-2.32468,74.01377,-4.959187,-1.892946,0.468349,,,,,,,,,,,,6.48343,4.49559,1.59232,50,5.93928,-0.24418,-119.96172,1.55093,9.22071,28.40511,-25.78042,VIL_WIL,BUT_BUL,Villanova,D1,BEAST,20260402-Villanova-1,5a31f8b0-2ec7-11f1-91ec-c95e5c260487,80.47945,,,8.86288,,,,,,,2177b45f-a51f-4f29-9bc6-c2c922d61264,2026-04-02,19:08:36.39,2026-04-02T15:08:36.3990528-04:00,2026-04-02T19:08:36.3990528Z,,v3,471478,471250,bd5ba41adc0740c89bde19db2053af60,"Gialluisi, Mark",806079,Right,VIL_WIL,574534a1-05e8-4e2e-b0d1-bc3ed1619c60,55.04642,-121.15075,14.20256,5.85177,2.63009,-12.89021,1.61062,-0.63015,4.61035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
