PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-03,18:04:50.36,1,1,"Ross, Jack",1000218651,Right,CAL_ANT,"Howard, Tyler",10130459,Right,CAL_AGO,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.55209,-3.240027,-1.962737,2170.734299,190.480691,12:15,6.19309,0.53659,5.41891,-17.07528,20.38651,3.53138,1.73013,-1.00838,79.61694,-6.467378,-1.334886,0.44052,,,,,,,,,,,,-2.36591,11.61327,-0.36484,50,5.89363,4.18962,-126.75297,-7.69971,-3.82364,27.50507,-13.40534,CAL_ANT,CAL_AGO,AnteaterBallpark,D1,BW,20260403-AnteaterBallpark-1,48afaeb0-2fc2-11f1-9076-49dc96263607,85.56352,,,7.93514,,,,,,,daab43ed-c77e-4b68-8288-42df1ef83944,2026-04-04,01:04:50.36,2026-04-03T18:04:50.3624192-07:00,2026-04-04T01:04:50.3624192Z,,v3,3031,471260,471ae3298e1344ee9f736f69f631e35c,"Crandall, Zach",822638,Right,CAL_ANT,7789c076-361b-4cfb-b814-33c8b0ad4222,55.07751,-127.85003,13.75253,6.19008,-7.16503,-6.70267,-0.53499,4.34213,-1.91182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-03,18:05:02.28,1,2,"Ross, Jack",1000218651,Right,CAL_ANT,"Howard, Tyler",10130459,Right,CAL_AGO,Undefined,1,Top,0,0,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.77334,-2.066394,-1.817059,2136.224868,195.096811,12:30,6.2387,0.53643,5.28338,-17.30962,20.17371,5.08756,2.8539,-0.74655,79.51995,-5.344777,-0.914754,0.440647,87.76394,57.620479,64.724957,4985.669612,21.09816,130.82971,107.95741,229.40591,88.90337,85.551522,5.735834,-3.10898,11.12024,-0.37468,50,6.03822,3.8066,-127.1409,-5.13032,-5.04238,28.29563,-14.1385,CAL_ANT,CAL_AGO,AnteaterBallpark,D1,BW,20260403-AnteaterBallpark-1,4f7c67b0-2fc2-11f1-9076-49dc96263607,85.53891,134.9376,,8.25339,,,,0.597,2.83205,0.98768,daab43ed-c77e-4b68-8288-42df1ef83944,2026-04-04,01:05:02.28,2026-04-03T18:05:02.2879232-07:00,2026-04-04T01:05:02.2879232Z,FlyBall,v3,3031,471260,471ae3298e1344ee9f736f69f631e35c,"Crandall, Zach",822638,Right,CAL_ANT,21583260-f668-48c9-a033-7be0c68a146f,55.21274,-128.29576,14.14782,6.23584,-4.55326,-7.06925,-0.53425,4.0124,-2.52119,,0.62755,28.76053,-13.53916,0.114,2.95066,-1.55815,0.37535,-0.04388,0.00201,2.8186,108.90891,-28.63797,3.96964,-0.91697,0.14875,-0.00841,-0.00092,0.0001,0.9879,62.29803,-8.58694,1.21736,0.17472,-0.16444,0.04219,-0.00494,0.00022,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
3,2026-04-03,18:05:19.03,1,3,"Ross, Jack",1000218651,Right,CAL_ANT,"Howard, Tyler",10130459,Right,CAL_AGO,Undefined,1,Top,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.1611,-0.983,-2.724,2109.12592,195.824456,12:30,6.24941,0.4919,5.41623,-17.17068,20.10564,5.30485,3.89654,-1.61971,79.14229,-4.268414,-1.782059,0.439428,,,,,,,,,,,,-3.53981,10.79627,-0.25351,50,6.15061,5.82793,-127.56918,-2.69844,-5.73493,30.36839,-14.68264,CAL_ANT,CAL_AGO,AnteaterBallpark,D1,BW,20260403-AnteaterBallpark-1,5f3d74a0-2fc2-11f1-9076-49dc96263607,85.77614,,,9.0188,,,,,,,daab43ed-c77e-4b68-8288-42df1ef83944,2026-04-04,01:05:19.03,2026-04-03T18:05:19.0391296-07:00,2026-04-04T01:05:19.0391296Z,,v3,3031,471260,471ae3298e1344ee9f736f69f631e35c,"Crandall, Zach",822638,Right,CAL_ANT,dda4f715-e3da-4d92-a993-5ffa443f44c6,55.07685,-128.77207,15.18419,6.24597,-2.11686,-7.34132,-0.48885,6.05509,-2.86746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-03,18:05:30.65,1,4,"Ross, Jack",1000218651,Right,CAL_ANT,"Howard, Tyler",10130459,Right,CAL_AGO,Undefined,1,Top,0,1,2,Splitter,Splitter,InPlay,Undefined,FlyBall,Out,1,0,,77.94603,1.155673,-1.114067,1055.352089,289.4644,3:45,6.12427,0.79297,5.0918,-47.72593,1.01831,2.64484,3.2366,-0.03669,69.57777,-7.590162,-0.64599,0.502496,86.71613,21.690547,-24.201097,1788.95438,99.81482,36.61965,-46.22669,269.23469,266.05288,-27.087357,3.433827,-1.72536,0.59264,-0.6899,50,6.19639,2.08372,-112.73075,0.6212,-2.15451,26.1466,-31.43401,CAL_ANT,CAL_AGO,AnteaterBallpark,D1,BW,20260403-AnteaterBallpark-1,6071aee0-2fc2-11f1-9076-49dc96263607,75.01036,40.76608,,8.36826,,,,2.57655,3.43423,-0.00782,daab43ed-c77e-4b68-8288-42df1ef83944,2026-04-04,01:05:30.65,2026-04-03T18:05:30.6597888-07:00,2026-04-04T01:05:30.6597888Z,LineDrive,v3,3031,471260,471ae3298e1344ee9f736f69f631e35c,"Crandall, Zach",822638,Right,CAL_ANT,827c7c06-ff13-40f4-acf7-9910c2c8c85c,55.40295,-113.97701,13.0733,6.13107,2.11948,-15.71701,-0.79166,2.18641,-1.07725,163.01583,2.5767,107.78304,-20.55741,4.47685,-0.71994,0.04822,0.01156,-0.0034,0.00028,3.43401,47.01934,-15.98639,1.2003,-0.5482,0.2508,-0.07263,0.01166,-0.00078,-0.00783,-48.44601,6.46022,-1.34936,0.26906,-0.05273,0.00874,-0.0009,4E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2026-04-03,18:06:08.80,2,1,"Ross, Jack",1000218651,Right,CAL_ANT,"Mault, Kai",1000352952,Right,CAL_AGO,Undefined,1,Top,1,0,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,82.10246,-0.42465,0.430367,2340.750423,180.613212,12:00,6.18167,0.4284,5.15858,-34.61266,7.58571,0.06819,2.89756,0.83918,75.93249,-6.729965,0.442454,0.46754,,,,,,,,,,,,0.07398,4.24697,-0.46862,50,6.11545,-0.89883,-119.28445,-2.11525,0.10758,20.94716,-25.99805,CAL_ANT,CAL_AGO,AnteaterBallpark,D1,BW,20260403-AnteaterBallpark-1,77254c50-2fc2-11f1-9076-49dc96263607,80.61856,,,6.16996,,,,,,,daab43ed-c77e-4b68-8288-42df1ef83944,2026-04-04,01:06:08.80,2026-04-03T18:06:08.8098816-07:00,2026-04-04T01:06:08.8098816Z,,v3,3031,471260,471ae3298e1344ee9f736f69f631e35c,"Crandall, Zach",822638,Right,CAL_ANT,2fdec2ea-d159-447a-b211-68340aa89e5b,55.34029,-120.21858,10.47358,6.18393,-0.95588,-12.99903,-0.42843,-0.90363,0.05379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-03,18:06:23.63,2,2,"Ross, Jack",1000218651,Right,CAL_ANT,"Mault, Kai",1000352952,Right,CAL_AGO,Undefined,1,Top,1,1,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,87.64348,-2.330539,-1.431726,2183.66598,201.889177,12:45,6.14424,0.43194,5.35904,-20.32013,17.00666,6.32764,2.26351,-0.38365,79.83663,-6.130413,-0.307138,0.439726,93.78566,-0.711217,-12.098592,,,,,34.74397,24.83719,-11.212998,0.24246,-3.62091,9.6078,-0.30808,50,5.92074,2.89986,-127.04416,-5.84472,-5.8875,27.27465,-16.55199,CAL_ANT,CAL_AGO,AnteaterBallpark,D1,BW,20260403-AnteaterBallpark-1,802475b0-2fc2-11f1-9076-49dc96263607,85.71808,2.09485,,7.80685,,,,2.07162,2.09485,0.4852,daab43ed-c77e-4b68-8288-42df1ef83944,2026-04-04,01:06:23.63,2026-04-03T18:06:23.6317184-07:00,2026-04-04T01:06:23.6317184Z,GroundBall,v3,3031,471260,471ae3298e1344ee9f736f69f631e35c,"Crandall, Zach",822638,Right,CAL_ANT,22c00c82-b4a8-40a7-a2d1-5ee31cee4829,55.13842,-128.14256,13.63732,6.14269,-5.17814,-8.276,-0.42964,3.13696,-2.94375,26.781407,2.07092,134.52449,-10.31364,,,,,,,2.09626,-1.78409,-28.32397,,,,,,,0.48584,-28.86294,-4.16027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
7,2026-04-03,18:06:54.36,3,1,"Ross, Jack",1000218651,Right,CAL_ANT,"Wooldridge, Braydon",1000240508,Left,CAL_AGO,Undefined,1,Top,2,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.5018,-2.066042,-0.374152,2212.492871,201.321743,12:45,6.21163,0.82789,5.30998,-18.0893,19.68359,7.15225,2.76407,1.07272,79.05876,-5.491275,0.895997,0.442345,,,,,,,,,,,,-3.68355,10.88414,-0.79929,50,6.0117,0.5037,-126.74388,-5.13318,-5.91882,28.85029,-14.68508,CAL_ANT,CAL_AGO,AnteaterBallpark,D1,BW,20260403-AnteaterBallpark-1,97583fa0-2fc2-11f1-9076-49dc96263607,85.21042,,,8.44304,,,,,,,daab43ed-c77e-4b68-8288-42df1ef83944,2026-04-04,01:06:54.36,2026-04-03T18:06:54.3640064-07:00,2026-04-04T01:06:54.3640064Z,,v3,3031,471260,471ae3298e1344ee9f736f69f631e35c,"Crandall, Zach",822638,Right,CAL_ANT,97caf2f0-5e69-4533-8acd-f92951d18f90,55.18423,-127.9185,14.42514,6.20852,-4.53528,-7.34254,-0.82471,0.74469,-2.95941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-03,18:07:07.23,3,2,"Ross, Jack",1000218651,Right,CAL_ANT,"Wooldridge, Braydon",1000240508,Left,CAL_AGO,Undefined,1,Top,2,0,1,Cutter,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,83.0322,-1.414415,-1.803164,2357.887347,145.258793,10:45,6.06639,1.02512,5.26838,-33.24777,8.8156,-5.07536,1.96619,-1.09218,75.30595,-7.52292,-2.703725,0.466792,78.76586,21.620739,44.850898,2520.738891,72.82324,28.52963,82.44256,235.49898,219.95356,53.64901,2.809319,1.98847,5.26925,-0.85626,50,5.91282,3.99795,-120.27919,-4.12386,2.87122,26.45133,-24.56559,CAL_ANT,CAL_AGO,AnteaterBallpark,D1,BW,20260403-AnteaterBallpark-1,9a56d9a0-2fc2-11f1-9076-49dc96263607,80.74781,29.14297,,7.72625,,,,2.27878,2.07733,1.37918,daab43ed-c77e-4b68-8288-42df1ef83944,2026-04-04,01:07:07.23,2026-04-03T18:07:07.2353792-07:00,2026-04-04T01:07:07.2353792Z,LineDrive,v3,3031,471260,471ae3298e1344ee9f736f69f631e35c,"Crandall, Zach",822638,Right,CAL_ANT,e4e507d7-1953-4e91-939b-e2ce64ff91d6,55.22861,-121.4236,13.22567,6.06824,-3.06103,-12.2828,-1.02655,3.87373,1.43561,,2.27868,76.14283,-14.19621,2.91944,-0.90708,0.37246,-0.15094,0.03574,-0.00339,2.0774,42.5616,-18.19644,1.2418,-0.0044,-0.13702,0.07833,-0.01931,0.00177,1.37911,75.74536,-2.68048,-0.38086,0.07482,0.07436,-0.05651,0.01536,-0.00155,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2026-04-03,18:07:24.95,3,3,"Ross, Jack",1000218651,Right,CAL_ANT,"Wooldridge, Braydon",1000240508,Left,CAL_AGO,Undefined,1,Top,2,0,2,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,80.52665,-1.277514,0.494853,1514.767812,355.660281,5:45,6.05918,0.93343,5.03148,-54.16538,-8.86126,0.79701,0.33984,1.46674,73.2459,-11.026307,0.636302,0.48444,,,,,,,,,,,,-0.23264,-3.62319,-0.98139,50,5.8932,-1.04063,-116.66485,-4.60236,-0.31404,26.14073,-37.06535,CAL_ANT,CAL_AGO,AnteaterBallpark,D1,BW,20260403-AnteaterBallpark-1,a489ef20-2fc2-11f1-9076-49dc96263607,77.80615,,,7.28075,,,,,,,daab43ed-c77e-4b68-8288-42df1ef83944,2026-04-04,01:07:24.95,2026-04-03T18:07:24.9580032-07:00,2026-04-04T01:07:24.9580032Z,,v3,3031,471260,471ae3298e1344ee9f736f69f631e35c,"Crandall, Zach",822638,Right,CAL_ANT,9b960ee8-42e2-4ccc-bcc4-c3c1a6ba5899,55.46768,-117.88361,13.07037,6.06749,-2.87427,-18.53267,-0.93321,-1.02599,-0.15702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-03,18:07:42.96,3,4,"Ross, Jack",1000218651,Right,CAL_ANT,"Wooldridge, Braydon",1000240508,Left,CAL_AGO,Undefined,1,Top,2,1,2,Splitter,Changeup,InPlay,Undefined,LineDrive,Single,0,0,,79.37424,-1.192582,-1.522329,1763.402472,271.883846,3:00,6.05214,1.00946,5.02274,-45.10266,1.47142,6.88595,1.16767,0.14643,72.01421,-9.376769,-0.303344,0.491183,85.50669,12.334668,-6.357475,2441.684934,108.5936,14.41107,-17.53307,195.19595,195.19595,-11.356308,2.052561,-3.94268,1.55162,-0.86967,50,5.90176,2.77113,-114.93863,-3.99762,-5.18264,24.75621,-30.13445,CAL_ANT,CAL_AGO,AnteaterBallpark,D1,BW,20260403-AnteaterBallpark-1,b2637760-2fc2-11f1-9076-49dc96263607,76.73804,14.42116,,7.36003,,,,1.61355,1.22595,-0.15129,daab43ed-c77e-4b68-8288-42df1ef83944,2026-04-04,01:07:42.96,2026-04-03T18:07:42.9648896-07:00,2026-04-04T01:07:42.9648896Z,LineDrive,v3,3031,471260,471ae3298e1344ee9f736f69f631e35c,"Crandall, Zach",822638,Right,CAL_ANT,24a877cb-b19d-478e-a2c2-51124a96e55b,55.47448,-116.11177,12.37811,6.05736,-2.56962,-15.06722,-1.0068,3.01672,-2.59132,134.897835,1.61357,121.76103,-20.79924,4.5358,-1.0791,0.43077,-0.19779,0.05562,-0.00649,1.22592,26.79086,-13.72653,-0.06039,0.48551,-0.51984,0.31114,-0.09343,0.01121,-0.15127,-13.56675,-4.63666,1.75702,-0.74318,0.48518,-0.25932,0.07592,-0.00903,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
