PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-03,18:02:05.62,1,1,"Harrington, Carter",10151233,Right,COL_CHA,"Ponce, Willie",10105900,Left,HIG_PAN,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,94.11499,-1.776831,-4.110863,2491.509151,218.945395,1:15,5.72047,2.03774,6.37252,-11.80048,19.77741,15.03631,3.09743,-0.49829,84.51048,-4.115319,-1.397561,0.404448,74.44652,59.204372,164.850814,4888.385236,,,,,36.83214,,,-9.21414,11.23918,-1.74724,50,5.58626,9.16391,-136.27507,-4.50361,-17.03038,34.73225,-11.40081,COL_CHA,HIG_PAN,BallparkAtPatriotPoint,D1,CAA,20260403-BallparkAtPatriotPoint-1,c0c7d950-2fa8-11f1-b330-23a5fdec5dd8,93.19469,54.35651,,9.60451,,,,2.28602,3.30391,0.48411,e714d312-e5b0-4a1a-b04e-290e829d6ffe,2026-04-03,22:02:05.62,2026-04-03T18:02:05.6269824-04:00,2026-04-03T22:02:05.6269824Z,,v3,471501,471515,cfdd2ec28a774e88ae368b8e909914b3,"Johnson, Dylan",805359,Right,COL_CHA,5a2cbafe-2d73-479c-a063-6a199db0bba5,54.12798,-137.32313,17.36613,5.71697,-4.15959,-5.7004,-2.03152,9.67781,-8.51519,337.902826,2.28602,-53.95957,0.63287,0.46329,1.95841,-5.31596,7.26409,-5.30667,1.6204,3.30391,93.7922,-35.18178,5.2373,-0.20497,-2.07991,3.0758,-2.26334,0.69046,0.48411,14.60849,-7.51154,1.87814,2.02448,-6.00312,8.22506,-6.00485,1.8321,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
2,2026-04-03,18:02:25.63,1,2,"Harrington, Carter",10151233,Right,COL_CHA,"Ponce, Willie",10105900,Left,HIG_PAN,Undefined,1,Top,0,0,1,Fastball,Four-Seam,HitByPitch,Undefined,Undefined,Undefined,0,0,,94.29178,-1.611748,-5.463594,2606.81734,232.995917,1:45,5.64596,2.2047,6.32482,-17.42493,14.09005,17.18021,2.70235,-1.41072,84.9648,-4.951985,-2.374748,0.404045,,,,,,,,,,,,-10.71623,8.17508,-1.81257,50,5.5194,12.31897,-136.32402,-4.36334,-19.90007,33.66068,-16.99288,COL_CHA,HIG_PAN,BallparkAtPatriotPoint,D1,CAA,20260403-BallparkAtPatriotPoint-1,ccb71dc0-2fa8-11f1-b330-23a5fdec5dd8,93.28765,,,9.32698,,,,,,,e714d312-e5b0-4a1a-b04e-290e829d6ffe,2026-04-03,22:02:25.63,2026-04-03T18:02:25.6354816-04:00,2026-04-03T22:02:25.6354816Z,,v3,471501,471515,cfdd2ec28a774e88ae368b8e909914b3,"Johnson, Dylan",805359,Right,COL_CHA,26d18a57-7d7f-4d78-9b0c-aa874a5d0f09,54.17664,-137.35142,16.83034,5.64467,-3.84468,-8.49644,-2.19785,12.92637,-9.95004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-03,18:02:56.52,2,1,"Harrington, Carter",10151233,Right,COL_CHA,"Clark, Jack",1000414986,Right,HIG_PAN,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.1156,-1.233464,-4.405261,2587.605587,217.469028,1:15,5.75096,2.34619,6.12699,-14.95835,17.77458,12.65887,3.36063,-0.67926,83.23919,-4.143375,-2.133347,0.411779,,,,,,,,,,,,-7.94993,9.9052,-2.01468,50,5.64846,9.80342,-134.62795,-3.29976,-14.29107,34.82273,-14.36812,COL_CHA,HIG_PAN,BallparkAtPatriotPoint,D1,CAA,20260403-BallparkAtPatriotPoint-1,df1d3300-2fa8-11f1-b330-23a5fdec5dd8,91.53564,,,9.87641,,,,,,,e714d312-e5b0-4a1a-b04e-290e829d6ffe,2026-04-03,22:02:56.52,2026-04-03T18:02:56.5217792-04:00,2026-04-03T22:02:56.5217792Z,,v3,471501,471515,cfdd2ec28a774e88ae368b8e909914b3,"Johnson, Dylan",805359,Right,COL_CHA,ab58c5fb-f677-47e9-9ef7-ace2964121e1,54.3697,-135.75351,17.41137,5.74761,-2.83534,-7.18406,-2.33902,10.26534,-7.14554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-03,18:03:25.94,2,2,"Harrington, Carter",10151233,Right,COL_CHA,"Clark, Jack",1000414986,Right,HIG_PAN,Undefined,1,Top,0,1,0,Slider,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,80.07624,0.190587,-1.89487,2283.799913,53.488939,7:45,5.63646,2.37066,5.76864,-49.64566,-5.03217,-8.98953,1.67679,-0.14262,72.48741,-8.921592,-3.506091,0.480734,,,,,,,,,,,,3.94689,-2.18492,-2.20827,50,5.6223,4.18865,-116.09765,-1.26047,5.2715,26.0782,-35.09226,COL_CHA,HIG_PAN,BallparkAtPatriotPoint,D1,CAA,20260403-BallparkAtPatriotPoint-1,f0b5e620-2fa8-11f1-b330-23a5fdec5dd8,78.40608,,,7.58883,,,,,,,e714d312-e5b0-4a1a-b04e-290e829d6ffe,2026-04-03,22:03:25.94,2026-04-03T18:03:25.9416576-04:00,2026-04-03T22:03:25.9416576Z,,v3,471501,471515,cfdd2ec28a774e88ae368b8e909914b3,"Johnson, Dylan",805359,Right,COL_CHA,dcb034da-1a01-478d-94e6-541bf38532fe,54.73245,-117.15584,13.0391,5.64456,0.16349,-17.54613,-2.3739,3.97475,2.63575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-03,18:03:47.24,2,3,"Harrington, Carter",10151233,Right,COL_CHA,"Clark, Jack",1000414986,Right,HIG_PAN,Undefined,1,Top,0,1,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,80.94369,-0.028339,-1.859502,2279.805804,28.959455,7:00,5.5795,2.25083,5.85686,-51.68613,-8.3767,-5.47107,1.24598,0.06657,73.67295,-9.495184,-2.842676,0.473656,,,,,,,,,,,,2.20181,-3.88481,-2.09654,50,5.54699,4.02263,-117.4531,-1.78256,3.02339,25.77767,-37.50844,COL_CHA,HIG_PAN,BallparkAtPatriotPoint,D1,CAA,20260403-BallparkAtPatriotPoint-1,fd68c8b0-2fa8-11f1-b330-23a5fdec5dd8,79.57774,,,7.27075,,,,,,,e714d312-e5b0-4a1a-b04e-290e829d6ffe,2026-04-03,22:03:47.24,2026-04-03T18:03:47.2484352-04:00,2026-04-03T22:03:47.2484352Z,,v3,471501,471515,cfdd2ec28a774e88ae368b8e909914b3,"Johnson, Dylan",805359,Right,COL_CHA,ac3c1057-e493-49e8-a4c8-72f98a5452e5,54.64571,-118.46832,12.88884,5.5881,-0.30534,-18.75422,-2.25261,3.90356,1.5117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-03,18:04:08.62,2,4,"Harrington, Carter",10151233,Right,COL_CHA,"Clark, Jack",1000414986,Right,HIG_PAN,Undefined,1,Top,0,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.59994,-0.814135,-4.327518,2541.024759,229.361874,1:45,5.73089,2.02359,6.22844,-15.67969,16.54379,17.84143,3.67089,-0.49002,83.68175,-3.858397,-1.117218,0.408562,,,,,,,,,,,,-10.6013,9.15839,-1.70773,50,5.66198,9.45402,-135.42054,-2.35142,-19.29115,35.11032,-15.50853,COL_CHA,HIG_PAN,BallparkAtPatriotPoint,D1,CAA,20260403-BallparkAtPatriotPoint-1,0a2e48e0-2fa9-11f1-b330-23a5fdec5dd8,92.25642,,,9.91819,,,,,,,e714d312-e5b0-4a1a-b04e-290e829d6ffe,2026-04-03,22:04:08.62,2026-04-03T18:04:08.6241792-04:00,2026-04-03T22:04:08.6241792Z,,v3,471501,471515,cfdd2ec28a774e88ae368b8e909914b3,"Johnson, Dylan",805359,Right,COL_CHA,693ddb2a-d2e0-4f13-a2b2-3cbd9e1c36c7,54.26933,-136.52295,17.55516,5.72817,-1.86447,-7.75427,-2.01408,10.05973,-9.64558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-03,18:04:30.65,2,5,"Harrington, Carter",10151233,Right,COL_CHA,"Clark, Jack",1000414986,Right,HIG_PAN,Undefined,1,Top,0,3,1,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.27222,-1.806773,-4.106642,2500.902675,234.079294,1:45,5.56014,2.33742,6.10313,-19.53127,13.78938,17.2732,2.25672,-0.02764,82.68441,-5.533884,-1.003193,0.415459,76.27896,29.040068,153.481569,4069.534219,,,,,57.77981,,,-10.27796,8.07926,-2.02996,50,5.41067,8.83332,-133.47904,-4.81559,-18.16476,34.19133,-17.89517,COL_CHA,HIG_PAN,BallparkAtPatriotPoint,D1,CAA,20260403-BallparkAtPatriotPoint-1,173cb8f0-2fa9-11f1-b330-23a5fdec5dd8,90.72482,27.57361,,9.58781,,,,1.28586,2.13913,-0.08878,e714d312-e5b0-4a1a-b04e-290e829d6ffe,2026-04-03,22:04:30.65,2026-04-03T18:04:30.6572800-04:00,2026-04-03T22:04:30.6572800Z,,v3,471501,471515,cfdd2ec28a774e88ae368b8e909914b3,"Johnson, Dylan",805359,Right,COL_CHA,9537fe8c-a109-4702-a964-fd03469c4f03,54.39603,-134.60039,17.09567,5.55898,-4.22869,-8.94759,-2.32943,9.42906,-9.08238,290.915145,1.28586,-87.52008,8.00197,0.15611,-0.31281,0.14054,-0.04059,0.0107,-0.00175,2.13913,54.30679,-25.89924,3.22484,-0.65463,0.12287,-0.02132,0.00325,-0.00018,-0.08878,43.67106,-16.66831,4.31542,-1.07649,0.23361,-0.05042,0.00976,-0.00108,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
8,2026-04-03,18:04:59.84,2,6,"Harrington, Carter",10151233,Right,COL_CHA,"Clark, Jack",1000414986,Right,HIG_PAN,Undefined,1,Top,0,3,2,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,91.34598,0.00477,-2.965676,2454.404239,218.207819,1:15,5.74438,2.2384,6.64549,-15.44123,17.48639,12.85705,4.46198,0.5927,82.38661,-3.009726,-0.629331,0.413001,,,,,,,,,,,,-7.63339,9.50804,-2.04252,50,5.73793,6.34555,-132.55719,-0.35089,-13.41656,31.55639,-15.46252,COL_CHA,HIG_PAN,BallparkAtPatriotPoint,D1,CAA,20260403-BallparkAtPatriotPoint-1,28a5f7a0-2fa9-11f1-b330-23a5fdec5dd8,91.26468,,,8.95937,,,,,,,e714d312-e5b0-4a1a-b04e-290e829d6ffe,2026-04-03,22:04:59.84,2026-04-03T18:04:59.8463488-04:00,2026-04-03T22:04:59.8463488Z,,v3,471501,471515,cfdd2ec28a774e88ae368b8e909914b3,"Johnson, Dylan",805359,Right,COL_CHA,2a73d3ac-8b5f-4f48-9dd1-4f2863ff272e,53.85296,-133.47127,15.7782,5.7416,0.09701,-7.73126,-2.23196,6.73418,-6.70828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-03,18:05:33.23,3,1,"Harrington, Carter",10151233,Right,COL_CHA,"Johnson, Landen",833378,Left,HIG_PAN,Undefined,1,Top,0,0,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.59102,-0.534148,-4.450544,1773.732258,268.351576,3:00,5.58312,2.3145,6.25212,-36.15183,1.7452,17.37595,2.07635,-0.35024,78.14779,-7.246223,-1.318822,0.443072,,,,,,,,,,,,-10.29713,1.44209,-1.99135,50,5.52573,8.98234,-124.07351,-2.32123,-15.98227,25.82372,-29.93579,COL_CHA,HIG_PAN,BallparkAtPatriotPoint,D1,CAA,20260403-BallparkAtPatriotPoint-1,3c917460-2fa9-11f1-b330-23a5fdec5dd8,85.07071,,,7.44323,,,,,,,e714d312-e5b0-4a1a-b04e-290e829d6ffe,2026-04-03,22:05:33.23,2026-04-03T18:05:33.2386816-04:00,2026-04-03T22:05:33.2386816Z,,v3,471501,471515,cfdd2ec28a774e88ae368b8e909914b3,"Johnson, Dylan",805359,Right,COL_CHA,37fbee42-b69d-4303-8452-92bcb6794635,54.25032,-124.95501,12.91186,5.58753,-1.29937,-14.9679,-2.30727,9.52789,-7.99114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-03,18:05:50.06,3,2,"Harrington, Carter",10151233,Right,COL_CHA,"Johnson, Landen",833378,Left,HIG_PAN,Undefined,1,Top,0,0,1,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.81092,-0.42316,-3.347075,1761.870866,276.447223,3:15,5.51374,2.30848,6.50518,-36.52376,-0.26374,12.34623,2.08104,0.26182,79.64603,-7.219444,-1.106893,0.433397,,,,,,,,,,,,-7.39843,0.33961,-2.07923,50,5.46855,6.90755,-126.09353,-2.08362,-11.90243,25.82027,-31.62767,COL_CHA,HIG_PAN,BallparkAtPatriotPoint,D1,CAA,20260403-BallparkAtPatriotPoint-1,46975f60-2fa9-11f1-b330-23a5fdec5dd8,86.96985,,,7.16489,,,,,,,e714d312-e5b0-4a1a-b04e-290e829d6ffe,2026-04-03,22:05:50.06,2026-04-03T18:05:50.0694528-04:00,2026-04-03T22:05:50.0694528Z,,v3,471501,471515,cfdd2ec28a774e88ae368b8e909914b3,"Johnson, Dylan",805359,Right,COL_CHA,5fc829e6-b9e0-4af7-a434-1ed22d1e2870,53.9974,-126.90944,12.91013,5.5186,-1.08419,-15.81384,-2.30345,7.28366,-5.95122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
