PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-03,14:02:13.61,1,1,"Stammel, Max",832367,Left,VIR_CAV,"Dowd, Brayden",804053,Left,FLO_SEM,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.49155,-1.673429,6.140302,2369.430465,138.453165,10:30,5.28061,-2.58019,6.34129,-17.46654,16.74615,-13.75682,2.27513,1.94805,81.71664,-5.029929,3.672559,0.420984,,,,,,,,,,,,8.97985,9.55898,2.13796,50,5.14979,-13.47999,-130.64062,-4.30301,15.36502,30.072,-15.81808,VIR_CAV,FLO_SEM,DavenportField,D1,ACC,20260403-DavenportField-1,3e8f86c0-2f87-11f1-ad13-2363a728f671,89.53423,,,8.77491,,,,,,,745b4bef-0f38-431e-9516-8930aab4fabf,2026-04-03,18:02:13.61,2026-04-03T14:02:13.6146432-04:00,2026-04-03T18:02:13.6146432Z,,v3,471482,101,9d494e2c59eb474bafd4448996e03bcf,"Weatherspoon, Jake",1000310752,Right,VIR_CAV,b74b3721-cfa7-4275-a30d-8e57f9762df9,54.15413,-131.59337,15.036,5.27818,-3.80185,-7.90904,2.57275,-13.9668,7.68251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-03,14:02:29.65,1,2,"Stammel, Max",832367,Left,VIR_CAV,"Dowd, Brayden",804053,Left,FLO_SEM,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.64771,-2.21229,5.48117,2349.403547,138.997494,10:45,5.31633,-2.60953,6.37379,-18.22607,15.57375,-12.54572,1.75169,1.40342,82.44391,-5.689616,3.224479,0.418436,,,,,,,,,,,,8.08733,9.08693,2.2183,50,5.1473,-12.06189,-131.06438,-5.59017,14.01061,28.74506,-16.4317,VIR_CAV,FLO_SEM,DavenportField,D1,ACC,20260403-DavenportField-1,482c0190-2f87-11f1-ad13-2363a728f671,90.07944,,,8.2038,,,,,,,745b4bef-0f38-431e-9516-8930aab4fabf,2026-04-03,18:02:29.65,2026-04-03T14:02:29.6585216-04:00,2026-04-03T18:02:29.6585216Z,,v3,471482,101,9d494e2c59eb474bafd4448996e03bcf,"Weatherspoon, Jake",1000310752,Right,VIR_CAV,345ea8f4-42e6-49e4-b765-7bbe9e38efc3,54.12278,-131.96549,14.37253,5.31447,-5.07506,-8.21585,2.60331,-12.5011,7.00531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-03,14:02:46.67,1,3,"Stammel, Max",832367,Left,VIR_CAV,"Dowd, Brayden",804053,Left,FLO_SEM,Undefined,1,Top,0,2,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.79844,-2.57764,3.93296,2378.997534,145.185259,10:45,5.33029,-2.66546,5.957,-12.71146,20.856,-13.66662,1.87342,-0.15145,82.92685,-5.058766,1.485244,0.416995,84.13675,62.094682,-36.368655,,,,,,53.35809,,,8.23863,11.85186,2.36044,50,5.11806,-8.54134,-132.83877,-6.31351,14.56239,31.32163,-11.22494,VIR_CAV,FLO_SEM,DavenportField,D1,ACC,20260403-DavenportField-1,524dd900-2f87-11f1-ad13-2363a728f671,90.39063,100.00069,,8.87159,,,,1.93907,1.98878,0.15467,745b4bef-0f38-431e-9516-8930aab4fabf,2026-04-03,18:02:46.67,2026-04-03T14:02:46.6768384-04:00,2026-04-03T18:02:46.6768384Z,,v3,471482,101,9d494e2c59eb474bafd4448996e03bcf,"Weatherspoon, Jake",1000310752,Right,VIR_CAV,79d8a33b-1cda-48d7-b547-f30ac2585a2d,54.54006,-133.90498,15.66082,5.32648,-5.9314,-5.61247,2.65963,-9.03705,7.28119,165.726537,1.93908,46.50255,-18.02367,5.68669,-2.32088,2.76991,-2.76136,1.41805,-0.28924,1.98878,109.0522,-26.31478,2.66646,-0.06328,-0.84857,1.00781,-0.5395,0.11209,0.15467,-34.24618,5.12193,-1.09328,0.23938,-0.14979,0.12534,-0.06046,0.01191,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
4,2026-04-03,14:03:26.06,1,4,"Stammel, Max",832367,Left,VIR_CAV,"Dowd, Brayden",804053,Left,FLO_SEM,Undefined,1,Top,0,2,1,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Error,0,0,,81.46571,-0.300343,4.70876,2277.267232,106.217947,9:30,4.90857,-3.03032,5.81176,-35.18045,7.87237,-21.59615,1.69663,-0.44161,73.44435,-6.846462,0.85113,0.47225,90.74128,1.132899,40.472822,3920.900066,,,,50.60112,47.7839,40.059932,0.380873,12.60205,4.54677,2.65699,50,4.86308,-8.86467,-117.83657,-1.72809,17.43479,25.74299,-25.88365,VIR_CAV,FLO_SEM,DavenportField,D1,ACC,20260403-DavenportField-1,69bf2120-2f87-11f1-ad13-2363a728f671,79.81453,2.08473,,8.02136,,,,3.05466,2.00531,0.44618,745b4bef-0f38-431e-9516-8930aab4fabf,2026-04-03,18:03:26.06,2026-04-03T14:03:26.0680704-04:00,2026-04-03T18:03:26.0680704Z,GroundBall,v3,471482,101,9d494e2c59eb474bafd4448996e03bcf,"Weatherspoon, Jake",1000310752,Right,VIR_CAV,3ddfa7c4-4cb9-4d7e-a1dd-87f7c2ac66d0,54.68641,-118.85597,12.8715,4.91121,-0.70312,-12.94183,3.02169,-9.55508,8.7174,,3.06324,100.92011,-19.16764,,,,,,,2.01221,2.38928,-20.18982,,,,,,,0.44552,86.39219,-5.39837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2026-04-03,14:04:07.42,2,1,"Stammel, Max",832367,Left,VIR_CAV,"Sheffield, Noah",806563,Right,FLO_SEM,Undefined,1,Top,0,0,0,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,81.72905,0.823683,4.945607,2340.127651,103.402984,9:30,4.90162,-2.89419,6.07091,-35.30096,6.42937,-21.38863,2.72496,-0.0888,74.65376,-5.739008,1.111098,0.46494,,,,,,,,,,,,12.34166,3.49666,2.5215,50,4.94689,-9.42674,-118.39513,0.61874,17.53004,22.45653,-27.2074,VIR_CAV,FLO_SEM,DavenportField,D1,ACC,20260403-DavenportField-1,827608a0-2f87-11f1-ad13-2363a728f671,81.0694,,,7.0753,,,,,,,745b4bef-0f38-431e-9516-8930aab4fabf,2026-04-03,18:04:07.42,2026-04-03T14:04:07.4257920-04:00,2026-04-03T18:04:07.4257920Z,,v3,471482,101,9d494e2c59eb474bafd4448996e03bcf,"Weatherspoon, Jake",1000310752,Right,VIR_CAV,b7917228-51dd-4fc4-8160-7fd70b6d49b1,54.42837,-119.23212,11.22826,4.90493,1.63281,-13.6037,2.88502,-10.08011,8.76502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-03,14:04:25.56,2,2,"Stammel, Max",832367,Left,VIR_CAV,"Sheffield, Noah",806563,Right,FLO_SEM,Undefined,1,Top,0,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,81.5948,-1.291029,5.617735,2294.868414,105.4043,9:30,4.77711,-2.91782,5.95512,-35.87348,6.30847,-17.93769,0.58443,0.81381,74.79483,-7.914935,2.411531,0.467449,,,,,,,,,,,,10.87882,3.96232,2.48071,50,4.65374,-10.9462,-118.04233,-3.7903,15.34356,22.5515,-26.58558,VIR_CAV,FLO_SEM,DavenportField,D1,ACC,20260403-DavenportField-1,8d342010-2f87-11f1-ad13-2363a728f671,80.63427,,,6.79997,,,,,,,745b4bef-0f38-431e-9516-8930aab4fabf,2026-04-03,18:04:25.56,2026-04-03T14:04:25.5635456-04:00,2026-04-03T18:04:25.5635456Z,,v3,471482,101,9d494e2c59eb474bafd4448996e03bcf,"Weatherspoon, Jake",1000310752,Right,VIR_CAV,33fec42b-3d92-4642-8f16-3377b0b4f634,54.54535,-118.90753,11.27575,4.77959,-2.77033,-13.29279,2.91196,-11.53487,7.67178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-03,14:04:44.42,2,3,"Stammel, Max",832367,Left,VIR_CAV,"Sheffield, Noah",806563,Right,FLO_SEM,Undefined,1,Top,0,1,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.91895,-2.182071,5.047963,2418.626614,138.459399,10:30,5.272,-2.70351,6.12577,-17.34698,15.55056,-12.85993,1.80051,0.90321,84.18058,-5.469065,2.742794,0.412813,,,,,,,,,,,,8.02374,8.94201,2.3233,50,5.09536,-11.22033,-133.06963,-5.60856,14.43535,27.65868,-16.08663,VIR_CAV,FLO_SEM,DavenportField,D1,ACC,20260403-DavenportField-1,9872d930-2f87-11f1-ad13-2363a728f671,91.30636,,,7.73837,,,,,,,745b4bef-0f38-431e-9516-8930aab4fabf,2026-04-03,18:04:44.42,2026-04-03T14:04:44.4229120-04:00,2026-04-03T18:04:44.4229120Z,,v3,471482,101,9d494e2c59eb474bafd4448996e03bcf,"Weatherspoon, Jake",1000310752,Right,VIR_CAV,bfdaab57-0bc1-471a-89ef-d50a992873e6,54.37322,-133.97553,13.82934,5.27043,-5.08167,-8.04332,2.69854,-11.69312,7.21767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-03,14:05:15.66,2,4,"Stammel, Max",832367,Left,VIR_CAV,"Sheffield, Noah",806563,Right,FLO_SEM,Undefined,1,Top,0,2,1,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,79.57221,0.007906,4.88697,2263.921568,95.822401,9:15,4.84059,-3.01609,6.02037,-40.59664,3.90299,-23.04678,1.46489,-0.39922,72.26965,-7.520818,0.753456,0.48012,,,,,,,,,,,,13.28375,2.48492,2.64477,50,4.8194,-8.97724,-115.18989,-1.23529,17.68263,23.24773,-28.86628,VIR_CAV,FLO_SEM,DavenportField,D1,ACC,20260403-DavenportField-1,ab3fc690-2f87-11f1-ad13-2363a728f671,78.50631,,,7.30256,,,,,,,745b4bef-0f38-431e-9516-8930aab4fabf,2026-04-03,18:05:15.66,2026-04-03T14:05:15.6694528-04:00,2026-04-03T18:05:15.6694528Z,,v3,471482,101,9d494e2c59eb474bafd4448996e03bcf,"Weatherspoon, Jake",1000310752,Right,VIR_CAV,c3f9eef9-53ac-4a1d-a409-6d272d96b85c,54.47827,-116.09018,11.62387,4.84559,-0.11742,-14.43314,3.00569,-9.66202,8.84132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-03,14:05:33.02,2,5,"Stammel, Max",832367,Left,VIR_CAV,"Sheffield, Noah",806563,Right,FLO_SEM,Undefined,1,Top,0,2,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,92.47421,-0.290416,3.426011,2396.415607,138.598409,10:30,5.31485,-2.57188,6.14576,-15.74422,16.86123,-13.89883,3.73399,-0.56058,83.80664,-3.318863,0.925559,0.410976,,,,,,,,,,,,8.19048,9.11701,2.31783,50,5.28453,-7.43516,-134.11706,-1.12265,14.82056,30.7799,-15.67698,VIR_CAV,FLO_SEM,DavenportField,D1,ACC,20260403-DavenportField-1,b57af260-2f87-11f1-ad13-2363a728f671,91.71444,,,8.66757,,,,,,,745b4bef-0f38-431e-9516-8930aab4fabf,2026-04-03,18:05:33.02,2026-04-03T14:05:33.0256384-04:00,2026-04-03T18:05:33.0256384Z,,v3,471482,101,9d494e2c59eb474bafd4448996e03bcf,"Weatherspoon, Jake",1000310752,Right,VIR_CAV,20888102-6b67-4410-8f45-e707c8b285df,54.35145,-135.11203,15.38995,5.31263,-0.61588,-7.83849,2.56592,-7.91424,7.41028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-03,14:06:23.16,3,1,"Stammel, Max",832367,Left,VIR_CAV,"Carns, Hunter",807297,Right,FLO_SEM,Undefined,1,Top,1,0,0,Curveball,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,77.7957,-0.057348,2.242789,2338.840531,307.60153,4:15,5.26112,-2.76637,6.00403,-49.41164,-3.54595,6.37941,1.09031,-0.15573,71.96377,-9.111703,3.391094,0.487434,,,,,,,,,,,,-2.66701,-1.37724,2.58662,50,5.22967,-4.65701,-113.05071,-1.64803,-3.45545,20.38887,-33.95846,VIR_CAV,FLO_SEM,DavenportField,D1,ACC,20260403-DavenportField-1,d35e2950-2f87-11f1-ad13-2363a728f671,77.32837,,,5.83193,,,,,,,745b4bef-0f38-431e-9516-8930aab4fabf,2026-04-03,18:06:23.16,2026-04-03T14:06:23.1678464-04:00,2026-04-03T18:06:23.1678464Z,,v3,471482,101,9d494e2c59eb474bafd4448996e03bcf,"Weatherspoon, Jake",1000310752,Right,VIR_CAV,7a552b2b-ca36-4d64-855b-0c5cdc25d9af,54.4959,-113.85867,10.19444,5.26831,-0.30235,-16.97923,2.76845,-4.52008,-1.72772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
