PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-03,18:01:28.27,1,1,"Mahoney, Bobby",1000211107,Right,CAL_FUL,"Gibbs, David",1000450203,Left,CAL_HIG,Undefined,1,Top,0,0,0,Sinker,Sinker,InPlay,Undefined,GroundBall,Single,0,0,,93.49167,-1.783602,-3.853411,2129.930618,240.181234,2:00,5.82723,2.14515,6.15014,-21.96505,10.00056,15.54926,2.34452,-0.12495,84.91996,-5.915186,-1.055322,0.406924,94.01566,5.785079,23.068666,1944.406092,,,,134.50731,129.08774,25.537659,1.136034,-9.23288,6.02296,-1.8597,50,5.67995,8.4674,-135.49054,-4.94839,-17.03459,31.67196,-21.06176,CAL_FUL,CAL_HIG,GoodwinField,D1,BW,20260403-GoodwinField-1,8298aa00-2fc2-11f1-be2e-557632b67104,92.62778,5.93386,,8.57171,,,,1.19681,2.65482,0.19738,0deee624-a37a-46de-a044-bd05e8fef8fd,2026-04-04,01:01:28.27,2026-04-03T18:01:28.2713600-07:00,2026-04-04T01:01:28.2713600Z,GroundBall,v3,471254,471263,1370f2f1fd4b4220908907baf8a9d94f,"Lombardi, Niko",1000364956,Right,CAL_FUL,e7e808c9-574c-4426-83fc-4d9c8bfbf9e8,54.34993,-136.50358,15.83598,5.82745,-4.27472,-10.53088,-2.13925,9.01226,-8.5173,,1.19681,126.21709,-22.35139,4.8127,-1.07278,0.23886,-0.05304,0.01001,-0.00108,2.65482,13.89887,-15.07875,0.79006,-0.09964,0.01256,-5E-05,-0.00014,2E-05,0.19738,53.75459,-2.75058,0.16211,0.03856,-0.0216,0.00659,-0.00146,0.00017,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
2,2026-04-03,18:02:02.35,2,1,"Mahoney, Bobby",1000211107,Right,CAL_FUL,"Bonham, Lucas",1000275162,Right,CAL_HIG,Undefined,1,Top,0,0,0,Sinker,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,91.68377,-2.665161,-2.992557,2067.14044,238.603018,2:00,5.85477,2.27486,5.78959,-21.61824,12.25154,18.07828,1.56874,0.99493,82.93421,-6.72051,0.244122,0.418868,,,,,,,,,,,,-10.19938,7.44307,-2.0394,50,5.62208,6.14683,-132.75497,-6.91121,-17.9658,31.85919,-19.06337,CAL_FUL,CAL_HIG,GoodwinField,D1,BW,20260403-GoodwinField-1,96ed6fe0-2fc2-11f1-be2e-557632b67104,89.98634,,,8.74956,,,,,,,0deee624-a37a-46de-a044-bd05e8fef8fd,2026-04-04,01:02:02.35,2026-04-03T18:02:02.3596032-07:00,2026-04-04T01:02:02.3596032Z,,v3,471254,471263,1370f2f1fd4b4220908907baf8a9d94f,"Lombardi, Niko",1000364956,Right,CAL_FUL,ef62137c-ac36-4b02-b20a-3fc868f998d6,54.70965,-133.88044,15.9296,5.85433,-6.23777,-9.53169,-2.26776,6.7815,-8.9829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-03,18:02:21.04,2,2,"Mahoney, Bobby",1000211107,Right,CAL_FUL,"Bonham, Lucas",1000275162,Right,CAL_HIG,Undefined,1,Top,0,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,84.07209,-0.450682,-0.53474,2399.035461,105.428405,9:30,5.92367,2.15831,5.60875,-37.52581,2.72205,-4.94236,2.37582,1.24729,76.57714,-7.35154,-1.41836,0.456607,,,,,,,,,,,,2.32642,1.95496,-2.10941,50,5.86121,1.34648,-121.98914,-2.27308,3.47513,25.94978,-29.25381,CAL_FUL,CAL_HIG,GoodwinField,D1,BW,20260403-GoodwinField-1,a1ff4ca0-2fc2-11f1-be2e-557632b67104,82.54894,,,7.49495,,,,,,,0deee624-a37a-46de-a044-bd05e8fef8fd,2026-04-04,01:02:21.04,2026-04-03T18:02:21.0422272-07:00,2026-04-04T01:02:21.0422272Z,,v3,471254,471263,1370f2f1fd4b4220908907baf8a9d94f,"Lombardi, Niko",1000364956,Right,CAL_FUL,5549f53e-147d-4189-85da-76154903a9d9,54.88869,-123.02468,12.97489,5.92862,-1.10569,-14.6269,-2.16037,1.2078,1.73757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-03,18:03:24.01,2,3,"Mahoney, Bobby",1000211107,Right,CAL_FUL,"Bonham, Lucas",1000275162,Right,CAL_HIG,Undefined,1,Top,0,1,1,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.43126,-1.913019,-1.411016,2093.634647,230.52484,1:45,5.87489,2.20645,5.87216,-20.44033,13.28898,14.72863,2.39344,2.12296,82.99702,-5.761552,1.232635,0.417999,,,,,,,,,,,,-8.13166,7.74874,-2.10147,50,5.70833,2.65895,-132.6924,-5.09908,-14.34513,31.18939,-18.5044,CAL_FUL,CAL_HIG,GoodwinField,D1,BW,20260403-GoodwinField-1,c7804830-2fc2-11f1-be2e-557632b67104,90.17354,,,8.43424,,,,,,,0deee624-a37a-46de-a044-bd05e8fef8fd,2026-04-04,01:03:24.01,2026-04-03T18:03:24.0128000-07:00,2026-04-04T01:03:24.0128000Z,,v3,471254,471263,1370f2f1fd4b4220908907baf8a9d94f,"Lombardi, Niko",1000364956,Right,CAL_FUL,669223ab-0617-4e15-9e46-b2eb9ced9ee8,54.6294,-133.77611,15.59469,5.87434,-4.45612,-9.2522,-2.20252,3.15739,-7.17256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-03,18:03:41.94,2,4,"Mahoney, Bobby",1000211107,Right,CAL_FUL,"Bonham, Lucas",1000275162,Right,CAL_HIG,Undefined,1,Top,0,2,1,Slider,Slider,InPlay,Undefined,FlyBall,Double,0,1,,82.08614,-0.452886,-1.147247,2303.877105,101.070817,9:15,5.84271,2.23363,5.62532,-39.59297,2.58957,-6.01614,2.12059,0.66159,74.89209,-7.725962,-2.222945,0.467453,101.84465,17.612317,-24.813254,1377.506263,98.15585,31.35371,-49.65233,337.23287,328.0724,-30.100368,3.508369,2.71784,1.84036,-2.13186,50,5.77867,2.62479,-119.12789,-2.2786,3.8705,24.80651,-29.55316,CAL_FUL,CAL_HIG,GoodwinField,D1,BW,20260403-GoodwinField-1,d24df000-2fc2-11f1-be2e-557632b67104,80.63365,40.01575,,7.19405,,,,1.86508,2.43733,-0.98382,0deee624-a37a-46de-a044-bd05e8fef8fd,2026-04-04,01:03:41.94,2026-04-03T18:03:41.9478016-07:00,2026-04-04T01:03:41.9478016Z,LineDrive,v3,471254,471263,1370f2f1fd4b4220908907baf8a9d94f,"Lombardi, Niko",1000364956,Right,CAL_FUL,8f4e3aee-e666-409f-af88-2d1499337732,54.87414,-120.13856,12.40325,5.84698,-1.07454,-14.77658,-2.23558,2.4671,1.93525,,1.86501,129.22632,-25.4773,6.12053,-1.12839,0.11087,0.00835,-0.00407,0.00039,2.43737,45.19748,-13.59834,-0.11486,-0.0185,0.11734,-0.05434,0.01134,-0.00092,-0.98399,-59.74284,4.32539,-0.11725,-0.1081,0.02748,-0.00329,0.00025,-2E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Medium,,,
6,2026-04-03,18:04:31.15,3,1,"Mahoney, Bobby",1000211107,Right,CAL_FUL,"Byrd, Jaxon",1000250447,Left,CAL_HIG,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.48604,-2.529483,-3.178578,2122.743465,211.652464,1:00,5.91666,2.19033,6.08381,-15.3982,17.50505,10.06469,2.28821,0.08539,83.56991,-5.491415,-1.369189,0.412849,,,,,,,,,,,,-6.14835,10.13729,-1.94976,50,5.71273,6.99651,-133.92608,-6.35143,-11.03574,32.09112,-13.97847,CAL_FUL,CAL_HIG,GoodwinField,D1,BW,20260403-GoodwinField-1,efa0f4e0-2fc2-11f1-be2e-557632b67104,91.29843,,,8.91613,,,,,,,0deee624-a37a-46de-a044-bd05e8fef8fd,2026-04-04,01:04:31.15,2026-04-03T18:04:31.1522816-07:00,2026-04-04T01:04:31.1522816Z,,v3,471254,471263,1370f2f1fd4b4220908907baf8a9d94f,"Lombardi, Niko",1000364956,Right,CAL_FUL,e3d9283c-7a6b-471d-bc02-a69b7605aa04,54.41294,-134.97936,16.04556,5.91367,-5.89263,-6.98923,-2.18534,7.35872,-5.51787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-03,18:04:55.45,3,2,"Mahoney, Bobby",1000211107,Right,CAL_FUL,"Byrd, Jaxon",1000250447,Left,CAL_HIG,Undefined,1,Top,0,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.67158,-2.28696,-5.135829,2065.366704,250.226139,2:15,5.89879,2.28177,6.14152,-30.16872,9.14957,21.49619,1.26162,-0.68584,76.72621,-7.924788,-1.273705,0.451303,,,,,,,,,,,,-12.71387,5.85815,-1.90026,50,5.70828,10.16157,-122.40724,-5.83293,-19.05628,26.89485,-23.39352,CAL_FUL,CAL_HIG,GoodwinField,D1,BW,20260403-GoodwinField-1,fe227cf0-2fc2-11f1-be2e-557632b67104,83.51906,,,7.94537,,,,,,,0deee624-a37a-46de-a044-bd05e8fef8fd,2026-04-04,01:04:55.45,2026-04-03T18:04:55.4598912-07:00,2026-04-04T01:04:55.4598912Z,,v3,471254,471263,1370f2f1fd4b4220908907baf8a9d94f,"Lombardi, Niko",1000364956,Right,CAL_FUL,a35ed6e3-30ba-4b66-813d-8626dc31a4e4,54.35805,-123.36106,13.44743,5.90044,-5.00329,-11.69676,-2.27262,10.83739,-9.52814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-03,18:05:16.75,3,3,"Mahoney, Bobby",1000211107,Right,CAL_FUL,"Byrd, Jaxon",1000250447,Left,CAL_HIG,Undefined,1,Top,0,1,1,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.4077,-0.810014,-4.509557,1938.542136,244.073755,2:15,5.93225,2.23433,6.35031,-28.59191,9.53871,16.888,2.80162,-0.51794,77.42894,-6.192026,-1.462778,0.444435,,,,,,,,,,,,-10.11422,5.61548,-1.91369,50,5.86003,9.09781,-123.70682,-2.60209,-15.52588,26.84442,-23.55398,CAL_FUL,CAL_HIG,GoodwinField,D1,BW,20260403-GoodwinField-1,0ab5f0a0-2fc3-11f1-be2e-557632b67104,84.80981,,,7.97876,,,,,,,0deee624-a37a-46de-a044-bd05e8fef8fd,2026-04-04,01:05:16.75,2026-04-03T18:05:16.7548928-07:00,2026-04-04T01:05:16.7548928Z,,v3,471254,471263,1370f2f1fd4b4220908907baf8a9d94f,"Lombardi, Niko",1000364956,Right,CAL_FUL,ef1e3222-cadf-4d7b-b060-f197733fab63,54.1479,-124.60366,13.42221,5.93382,-1.81517,-11.77699,-2.2263,9.61651,-7.76294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-03,18:05:37.60,3,4,"Mahoney, Bobby",1000211107,Right,CAL_FUL,"Byrd, Jaxon",1000250447,Left,CAL_HIG,Undefined,1,Top,0,1,2,Slider,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,82.48514,-1.176461,-1.705135,2354.80102,76.346241,8:30,5.89884,2.03234,5.71484,-44.98384,-2.69701,-17.56249,1.05358,-1.02014,74.6155,-9.411835,-4.850957,0.46803,,,,,,,,,,,,8.3817,-0.54579,-1.87851,50,5.77269,4.2573,-119.53544,-3.98705,11.82032,28.4774,-32.94375,CAL_FUL,CAL_HIG,GoodwinField,D1,BW,20260403-GoodwinField-1,173d2f50-2fc3-11f1-be2e-557632b67104,80.5342,,,7.86964,,,,,,,0deee624-a37a-46de-a044-bd05e8fef8fd,2026-04-04,01:05:37.60,2026-04-03T18:05:37.6076800-07:00,2026-04-04T01:05:37.6076800Z,,v3,471254,471263,1370f2f1fd4b4220908907baf8a9d94f,"Lombardi, Niko",1000364956,Right,CAL_FUL,b9b66754-a1e2-47b6-9ac9-1b7cb5eb05f1,54.7846,-120.66991,14.2387,5.90538,-2.67465,-16.47188,-2.03873,3.7864,5.91016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-03,18:06:08.64,4,1,"Mahoney, Bobby",1000211107,Right,CAL_FUL,"Sanderson, Jarren",822618,Right,CAL_HIG,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.80234,0.066042,-2.486999,2122.326563,209.80837,1:00,5.87484,2.17462,5.90409,-17.12588,16.96178,9.06489,4.50905,0.61994,82.32618,-3.205065,-0.861974,0.420213,,,,,,,,,,,,-5.29654,8.95705,-1.97945,50,5.87021,5.31059,-131.68893,-0.34566,-9.25195,29.34302,-16.52792,CAL_FUL,CAL_HIG,GoodwinField,D1,BW,20260403-GoodwinField-1,29a2cf60-2fc3-11f1-be2e-557632b67104,89.69831,,,8.47616,,,,,,,0deee624-a37a-46de-a044-bd05e8fef8fd,2026-04-04,01:06:08.64,2026-04-03T18:06:08.6411264-07:00,2026-04-04T01:06:08.6411264Z,,v3,471254,471263,1370f2f1fd4b4220908907baf8a9d94f,"Lombardi, Niko",1000364956,Right,CAL_FUL,5757379e-9629-4736-91cb-e2fe47d68c58,54.59108,-132.70797,14.67151,5.87225,0.22833,-8.26396,-2.16946,5.6319,-4.62598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
