PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-03,17:36:33.88,1,1,"Felder, Ross",830332,Right,MIS_BEA,"Curtis, Jeric",702676,Right,SAM_BEA,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.33739,-0.827224,-0.59387,2227.715553,187.782457,12:15,6.07416,0.65048,6.60977,-18.02446,15.70017,2.01351,3.81434,0.2743,82.35918,-4.267414,-0.227505,0.41797,,,,,,,,,,,,-1.2063,8.77402,-0.61083,50,6.01004,1.27063,-130.01933,-2.35178,-2.08292,25.03853,-17.02386,MIS_BEA,SAM_BEA,Hammons,D1,CUSA,20260403-Hammons-2,920a6b00-2fad-11f1-82b6-39a3fc71df51,90.17979,,,6.97821,,,,,,,17055547-eede-4733-bbf2-f3841572464d,2026-04-03,22:36:33.88,2026-04-03T17:36:33.8819072-05:00,2026-04-03T22:36:33.8819072Z,,v3,471451,471430,7562,"Bergman, Carter",1000138588,Right,MIS_BEA,e5e36702-9625-4e56-9c3d-f7d1ebb4ba0d,53.888,-130.76593,12.51927,6.07259,-1.84416,-8.51193,-0.64964,1.33274,-1.04146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-03,17:36:46.78,1,2,"Felder, Ross",830332,Right,MIS_BEA,"Curtis, Jeric",702676,Right,SAM_BEA,Undefined,1,Top,0,1,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,76.04166,1.212599,-0.003884,2254.896402,26.938579,7:00,5.79569,1.01224,5.70366,-62.977,-14.26398,-8.0165,1.67762,0.34058,70.11726,-10.244455,-1.442693,0.502336,,,,,,,,,,,,4.07406,-7.13528,-1.00688,50,5.85818,0.30311,-110.53433,0.28253,5.01763,20.53218,-40.96185,MIS_BEA,SAM_BEA,Hammons,D1,CUSA,20260403-Hammons-2,99b37a40-2fad-11f1-82b6-39a3fc71df51,75.03438,,,5.9244,,,,,,,17055547-eede-4733-bbf2-f3841572464d,2026-04-03,22:36:46.78,2026-04-03T17:36:46.7803136-05:00,2026-04-03T22:36:46.7803136Z,,v3,471451,471430,7562,"Bergman, Carter",1000138588,Right,MIS_BEA,e4c88a6e-8a26-405f-9ac4-c778f5ab997e,54.7991,-111.42221,10.26609,5.80766,2.05387,-20.48093,-1.0153,0.08613,2.50882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-03,17:37:01.81,1,3,"Felder, Ross",830332,Right,MIS_BEA,"Curtis, Jeric",702676,Right,SAM_BEA,Undefined,1,Top,0,1,1,Curveball,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,78.58007,1.429314,-1.310103,2394.011291,26.000968,6:45,5.94187,0.64614,5.90644,-55.38094,-10.47213,-5.73201,2.65412,-1.0478,72.81612,-8.689256,-2.34078,0.482322,,,,,,,,,,,,2.59307,-5.33815,-0.53769,50,6.025,2.8248,-114.2866,1.05198,3.4471,20.05675,-39.27032,MIS_BEA,SAM_BEA,Hammons,D1,CUSA,20260403-Hammons-2,a2a97be0-2fad-11f1-82b6-39a3fc71df51,78.14788,,,5.76395,,,,,,,17055547-eede-4733-bbf2-f3841572464d,2026-04-03,22:37:01.81,2026-04-03T17:37:01.8160640-05:00,2026-04-03T22:37:01.8160640Z,,v3,471451,471430,7562,"Bergman, Carter",1000138588,Right,MIS_BEA,d1b28651-47ad-49ff-8f92-d196d503ff8b,54.59588,-115.09033,10.02837,5.95132,2.62565,-19.63516,-0.64812,2.68667,1.72355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-03,17:37:15.52,1,4,"Felder, Ross",830332,Right,MIS_BEA,"Curtis, Jeric",702676,Right,SAM_BEA,Undefined,1,Top,0,1,2,Curveball,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,79.52755,1.749787,-0.368777,2439.152112,25.066323,6:45,5.96115,0.63259,5.71622,-58.59074,-14.10536,-7.2376,2.70911,-0.31408,73.13892,-8.927537,-1.666381,0.480043,,,,,,,,,,,,3.55677,-7.18048,-0.59732,50,6.07154,1.02655,-115.57148,1.5129,4.79659,22.12441,-41.85746,MIS_BEA,SAM_BEA,Hammons,D1,CUSA,20260403-Hammons-2,aad353e0-2fad-11f1-82b6-39a3fc71df51,78.5189,,,6.38863,,,,,,,17055547-eede-4733-bbf2-f3841572464d,2026-04-03,22:37:15.52,2026-04-03T17:37:15.5260000-05:00,2026-04-03T22:37:15.5260000Z,,v3,471451,471430,7562,"Bergman, Carter",1000138588,Right,MIS_BEA,857e7a0e-9bf4-4739-8a77-5981e84efb49,54.78585,-116.48405,11.06221,5.97353,3.23942,-20.92873,-0.63559,0.8287,2.3983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.24381,2.333737,1.018112,1.315625,-1.42379,2.24732,0.39845,-5.50651,3.74033,4.92928,71.81275,5.99014,52.96442,-5.42628,64.81805,-4.6711,3.80606,21.0465,-14.76052,4.95749,39.05673,-1.96079,High,High,High,,,High,Medium,High
5,2026-04-03,17:37:43.56,2,1,"Felder, Ross",830332,Right,MIS_BEA,"Cotton, Caleb",702982,Left,SAM_BEA,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.77714,-0.847269,-1.613508,2279.026817,190.519218,12:15,6.08665,0.77876,6.63179,-21.01147,11.82146,2.01024,3.55962,-0.53136,83.29759,-4.834456,-1.247728,0.412407,,,,,,,,,,,,-1.48811,6.76398,-0.67034,50,6.02057,3.63972,-132.00912,-2.55059,-2.63359,27.33182,-20.20336,MIS_BEA,SAM_BEA,Hammons,D1,CUSA,20260403-Hammons-2,bb877360-2fad-11f1-82b6-39a3fc71df51,91.39616,,,7.47954,,,,,,,17055547-eede-4733-bbf2-f3841572464d,2026-04-03,22:37:43.56,2026-04-03T17:37:43.5600896-05:00,2026-04-03T22:37:43.5600896Z,,v3,471451,471430,7562,"Bergman, Carter",1000138588,Right,MIS_BEA,0df6e25a-542b-4183-a0fe-6a84e7e91767,53.8653,-132.807,13.66591,6.08642,-1.96081,-10.10168,-0.77771,3.7166,-1.3168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-03,17:37:55.43,2,2,"Felder, Ross",830332,Right,MIS_BEA,"Cotton, Caleb",702982,Left,SAM_BEA,Undefined,1,Top,1,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.06733,-2.366116,-1.934174,2354.816882,213.450316,1:00,5.96651,0.85844,6.61527,-24.30655,8.83638,5.22882,1.77151,-0.4779,83.58038,-6.915122,-0.982375,0.41435,,,,,,,,,,,,-3.23347,5.53114,-0.72904,50,5.7955,4.22743,-130.9872,-6.13987,-5.68425,24.60324,-22.45067,MIS_BEA,SAM_BEA,Hammons,D1,CUSA,20260403-Hammons-2,c28d3dc0-2fad-11f1-82b6-39a3fc71df51,90.96774,,,6.48694,,,,,,,17055547-eede-4733-bbf2-f3841572464d,2026-04-03,22:37:55.43,2026-04-03T17:37:55.4337280-05:00,2026-04-03T22:37:55.4337280Z,,v3,471451,471430,7562,"Bergman, Carter",1000138588,Right,MIS_BEA,eb7ba2fb-23ca-4699-898e-81ba8f141ff5,53.88431,-131.71477,12.30162,5.96725,-5.47596,-11.22534,-0.85654,4.39553,-2.84213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-03,17:38:19.94,2,3,"Felder, Ross",830332,Right,MIS_BEA,"Cotton, Caleb",702982,Left,SAM_BEA,Undefined,1,Top,1,1,1,ChangeUp,Splitter,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,81.99864,-1.033028,-2.16327,1096.210419,285.82193,3:30,5.57616,1.30374,5.91995,-41.15664,-0.10346,4.35945,1.18702,-0.34139,76.32542,-8.561904,-1.379364,0.461153,,,,,,,,,,,,-2.78784,0.51465,-1.13306,50,5.46964,4.34138,-119.2303,-3.49339,-4.05718,20.567,-31.42508,MIS_BEA,SAM_BEA,Hammons,D1,CUSA,20260403-Hammons-2,d12e34b0-2fad-11f1-82b6-39a3fc71df51,81.73525,,,5.67322,,,,,,,17055547-eede-4733-bbf2-f3841572464d,2026-04-03,22:38:19.94,2026-04-03T17:38:19.9407616-05:00,2026-04-03T22:38:19.9407616Z,,v3,471451,471430,7562,"Bergman, Carter",1000138588,Right,MIS_BEA,a8786df4-1888-404b-8525-0b3e0e37fa6e,54.58104,-120.01792,10.2835,5.58038,-2.28996,-15.71254,-1.30229,4.49675,-2.02859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-03,17:38:47.33,2,4,"Felder, Ross",830332,Right,MIS_BEA,"Cotton, Caleb",702982,Left,SAM_BEA,Undefined,1,Top,1,1,2,ChangeUp,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,,82.74429,-0.664327,-0.844002,1144.634191,256.257134,2:30,5.69976,1.3374,6.22166,-37.23931,2.46854,5.73555,1.98341,1.03654,77.05549,-7.536607,0.193521,0.453534,,,,,,,,,,,,-3.17803,1.79205,-1.27703,50,5.63153,1.56315,-120.45105,-2.55969,-4.73312,20.38206,-29.50508,MIS_BEA,SAM_BEA,Hammons,D1,CUSA,20260403-Hammons-2,e188e990-2fad-11f1-82b6-39a3fc71df51,83.10834,,,5.6888,,,,,,,17055547-eede-4733-bbf2-f3841572464d,2026-04-03,22:38:47.33,2026-04-03T17:38:47.3345024-05:00,2026-04-03T22:38:47.3345024Z,,v3,471451,471430,7562,"Bergman, Carter",1000138588,Right,MIS_BEA,46df357e-e188-4da7-883c-89f80522241f,54.27829,-121.17283,10.19103,5.70368,-1.51483,-14.75254,-1.33535,1.73076,-2.36656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-03,17:39:02.97,2,5,"Felder, Ross",830332,Right,MIS_BEA,"Cotton, Caleb",702982,Left,SAM_BEA,Undefined,1,Top,1,2,2,Curveball,Curveball,InPlay,Undefined,GroundBall,Single,0,0,,80.07865,1.468366,-0.169254,2425.662211,10.784517,6:15,5.90679,0.85886,5.80821,-59.25846,-15.78245,-3.24709,2.33436,0.43088,74.09756,-9.323438,-0.752854,0.474566,97.1466,-0.193738,-10.759668,1367.219945,,,,42.87861,41.6692,-12.23615,0.3116,1.61445,-8.08268,-0.84303,50,5.99172,0.46739,-116.48701,0.97205,2.22335,21.41507,-43.30512,MIS_BEA,SAM_BEA,Hammons,D1,CUSA,20260403-Hammons-2,eaddd410-2fad-11f1-82b6-39a3fc71df51,79.42512,2.16675,,5.98109,,,,0.15259,2.16675,-0.4207,17055547-eede-4733-bbf2-f3841572464d,2026-04-03,22:39:02.97,2026-04-03T17:39:02.9760512-05:00,2026-04-03T22:39:02.9760512Z,GroundBall,v3,471451,471430,7562,"Bergman, Carter",1000138588,Right,MIS_BEA,d4f19368-c9d4-49d2-a4f5-3a159889cb41,54.69538,-117.34704,10.70754,5.91776,2.71118,-21.65256,-0.86001,0.3781,1.11167,55.558388,0.15601,139.82965,-18.80331,,,,,,,2.17024,-0.63068,-20.36266,,,,,,,-0.41878,-26.68175,-3.67461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
10,2026-04-03,17:40:01.67,3,1,"Felder, Ross",830332,Right,MIS_BEA,"Alvord, Hunter",1000281386,Right,SAM_BEA,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.66777,-1.886465,-2.467715,2250.789547,214.810883,1:15,6.06097,0.75427,6.16507,-20.35922,13.25493,8.48516,2.61959,-0.81948,83.10054,-5.721681,-0.938019,0.417285,,,,,,,,,,,,-5.05583,7.69493,-0.57136,50,5.90738,5.32121,-131.63059,-4.96515,-8.88637,27.46994,-18.64901,MIS_BEA,SAM_BEA,Hammons,D1,CUSA,20260403-Hammons-2,0dd1e330-2fae-11f1-82b6-39a3fc71df51,90.32783,,,7.56723,,,,,,,17055547-eede-4733-bbf2-f3841572464d,2026-04-03,22:40:01.67,2026-04-03T17:40:01.6724992-05:00,2026-04-03T22:40:01.6724992Z,,v3,471451,471430,7562,"Bergman, Carter",1000138588,Right,MIS_BEA,5fdf6243-5cf7-49c5-96e7-d5975c94f33b,54.33257,-132.53167,13.73497,6.06021,-4.35342,-9.3245,-0.75069,5.6127,-4.44319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
