PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-03,12:06:25.62,1,1,"Paige, Griffen",1000108685,Left,WRI_RAI,"Nowak, Mark",10321509,Right,NOK_NOR,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.95674,-2.880738,2.142885,2179.86553,155.710416,11:15,6.23247,-0.83482,6.24726,-15.46922,19.53115,-8.2915,2.28229,0.45159,81.16764,-5.854102,0.645823,0.425802,,,,,,,,,,,,4.89292,11.28839,0.67915,50,6.00996,-4.49017,-129.03044,-6.89058,8.22701,27.51059,-13.19365,WRI_RAI,NOK_NOR,NischwitzField,D1,HORZ,20260403-NischwitzField-1,113bee30-2f77-11f1-aafb-a577db82790e,88.52102,,,7.78911,,,,,,,c5fa6e53-c6a0-487a-9b63-8ddf0e87809f,2026-04-03,16:06:25.62,2026-04-03T12:06:25.6274944-04:00,2026-04-03T16:06:25.6274944Z,,v3,471496,471393,997a062d401041baabb3b373797a04e4,"Butler, Zac",1000361232,Right,WRI_RAI,18ae9efb-1ece-4225-9450-f208cd97706d,54.25265,-129.93399,13.7553,6.22915,-6.45725,-6.59683,0.83107,-4.76037,4.1135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-03,12:06:39.10,1,2,"Paige, Griffen",1000108685,Left,WRI_RAI,"Nowak, Mark",10321509,Right,NOK_NOR,Undefined,1,Top,0,0,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,88.35102,-1.442799,2.566383,2207.330431,158.956412,11:15,6.19144,-0.70039,6.18248,-15.33269,20.008,-7.27528,3.57974,1.06486,80.91073,-4.389509,1.255449,0.427867,,,,,,,,,,,,4.43642,11.06012,0.50993,50,6.07426,-5.45334,-128.28203,-3.62526,7.41551,25.77105,-13.687,WRI_RAI,NOK_NOR,NischwitzField,D1,HORZ,20260403-NischwitzField-1,194bd590-2f77-11f1-aafb-a577db82790e,88.09382,,,7.4403,,,,,,,c5fa6e53-c6a0-487a-9b63-8ddf0e87809f,2026-04-03,16:06:39.10,2026-04-03T12:06:39.1064064-04:00,2026-04-03T16:06:39.1064064Z,,v3,471496,471393,997a062d401041baabb3b373797a04e4,"Butler, Zac",1000361232,Right,WRI_RAI,e4e6f287-05a0-4896-8a76-9606e5857c86,54.3178,-129.14653,12.88552,6.18817,-3.16612,-6.8435,0.69703,-5.7021,3.70776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-03,12:06:54.46,1,3,"Paige, Griffen",1000108685,Left,WRI_RAI,"Nowak, Mark",10321509,Right,NOK_NOR,Undefined,1,Top,0,0,2,Curveball,Curveball,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,73.37092,2.79916,-1.298697,2105.635762,321.411107,4:45,6.20166,-0.72952,5.61095,-69.93177,-17.2321,15.09013,2.9896,-0.68447,67.37747,-9.916923,1.40145,0.522487,,,,,,,,,,,,-7.95981,-8.90012,0.83092,50,6.39655,1.85685,-106.53149,2.93869,-9.08988,19.37614,-42.33774,WRI_RAI,NOK_NOR,NischwitzField,D1,HORZ,20260403-NischwitzField-1,227e43f0-2f77-11f1-aafb-a577db82790e,72.14047,,,5.99345,,,,,,,c5fa6e53-c6a0-487a-9b63-8ddf0e87809f,2026-04-03,16:06:54.46,2026-04-03T12:06:54.4688128-04:00,2026-04-03T16:06:54.4688128Z,,v3,471496,471393,997a062d401041baabb3b373797a04e4,"Butler, Zac",1000361232,Right,WRI_RAI,ad71ab60-0e6e-4f89-b50f-cdce1a1e0fbb,54.89688,-107.41845,9.68807,6.21767,4.87675,-21.16887,0.7364,2.27295,-4.54494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-03,12:07:23.28,2,1,"Paige, Griffen",1000108685,Left,WRI_RAI,"Paulick, Jake",1000093630,Right,NOK_NOR,Undefined,1,Top,1,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,72.68966,2.89833,-1.584373,2110.323537,322.638529,4:45,6.25751,-0.71147,5.4997,-69.44516,-15.71505,13.25721,3.18479,-1.08906,66.95584,-9.700846,0.78136,0.52757,,,,,,,,,,,,-7.0876,-8.13166,0.84103,50,6.46449,2.43011,-105.53242,3.09047,-7.97915,18.25044,-41.32858,WRI_RAI,NOK_NOR,NischwitzField,D1,HORZ,20260403-NischwitzField-1,33a45f20-2f77-11f1-aafb-a577db82790e,71.44535,,,5.73382,,,,,,,c5fa6e53-c6a0-487a-9b63-8ddf0e87809f,2026-04-03,16:07:23.28,2026-04-03T12:07:23.2849408-04:00,2026-04-03T16:07:23.2849408Z,,v3,471496,471393,997a062d401041baabb3b373797a04e4,"Butler, Zac",1000361232,Right,WRI_RAI,06afc462-973f-482c-bba3-a77d6719e969,55.008,-106.39496,9.12522,6.27227,5.04372,-20.66429,0.71727,2.80722,-3.98957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-03,12:07:36.34,2,2,"Paige, Griffen",1000108685,Left,WRI_RAI,"Paulick, Jake",1000093630,Right,NOK_NOR,Undefined,1,Top,1,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.30284,-3.336616,3.111244,2241.325304,160.804695,11:15,6.16362,-0.72108,6.40155,-13.7604,20.63426,-6.80705,1.94044,1.57569,81.94975,-5.992703,1.880542,0.422101,,,,,,,,,,,,4.39028,12.00402,0.50076,50,5.91713,-6.77271,-129.49861,-7.88816,7.48069,26.17892,-11.72019,WRI_RAI,NOK_NOR,NischwitzField,D1,HORZ,20260403-NischwitzField-1,3b731ed0-2f77-11f1-aafb-a577db82790e,89.29712,,,7.35309,,,,,,,c5fa6e53-c6a0-487a-9b63-8ddf0e87809f,2026-04-03,16:07:36.34,2026-04-03T12:07:36.3470848-04:00,2026-04-03T16:07:36.3470848Z,,v3,471496,471393,997a062d401041baabb3b373797a04e4,"Butler, Zac",1000361232,Right,WRI_RAI,9076f44a-2127-489b-a4ec-e9eb97e97e3a,54.10005,-130.32482,13.08946,6.16024,-7.51827,-5.8601,0.71824,-7.0088,3.74034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-03,12:07:49.63,2,3,"Paige, Griffen",1000108685,Left,WRI_RAI,"Paulick, Jake",1000093630,Right,NOK_NOR,Undefined,1,Top,1,2,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.40388,-2.776945,3.078783,2221.612089,158.554866,11:15,6.15273,-0.77302,6.14939,-15.87639,19.53812,-7.23792,2.25798,1.47146,81.09633,-5.808383,1.776145,0.428314,,,,,,,,,,,,4.56866,11.18973,0.54215,50,5.9326,-6.60467,-128.20825,-6.6505,7.62981,25.67476,-13.48688,WRI_RAI,NOK_NOR,NischwitzField,D1,HORZ,20260403-NischwitzField-1,4352ce70-2f77-11f1-aafb-a577db82790e,88.00192,,,7.30756,,,,,,,c5fa6e53-c6a0-487a-9b63-8ddf0e87809f,2026-04-03,16:07:49.63,2026-04-03T12:07:49.6339968-04:00,2026-04-03T16:07:49.6339968Z,,v3,471496,471393,997a062d401041baabb3b373797a04e4,"Butler, Zac",1000361232,Right,WRI_RAI,dec86622-659d-4f44-bbf3-4d8cfa64dabd,54.35188,-129.0768,12.83738,6.14986,-6.19425,-6.74344,0.76995,-6.86278,3.8149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-03,12:08:04.51,2,4,"Paige, Griffen",1000108685,Left,WRI_RAI,"Paulick, Jake",1000093630,Right,NOK_NOR,Undefined,1,Top,1,3,0,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,87.33094,-2.656516,2.840074,2121.716751,156.489428,11:15,6.23688,-0.6946,6.39802,-17.5682,18.3193,-7.48603,2.32492,1.29571,80.24256,-6.006324,1.485731,0.431165,,,,,,,,,,,,4.65748,10.61036,0.49385,50,6.0375,-5.99984,-126.74739,-6.34433,7.60855,24.88094,-14.84082,WRI_RAI,NOK_NOR,NischwitzField,D1,HORZ,20260403-NischwitzField-1,4c345db0-2f77-11f1-aafb-a577db82790e,87.42007,,,7.08838,,,,,,,c5fa6e53-c6a0-487a-9b63-8ddf0e87809f,2026-04-03,16:08:04.51,2026-04-03T12:08:04.5192704-04:00,2026-04-03T16:08:04.5192704Z,,v3,471496,471393,997a062d401041baabb3b373797a04e4,"Butler, Zac",1000361232,Right,WRI_RAI,db33f5d1-ea30-4e65-9c31-71ec7bebe040,54.10322,-127.55032,12.44047,6.23451,-5.8654,-7.42041,0.69143,-6.24537,3.80427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-03,12:08:40.11,3,1,"Paige, Griffen",1000108685,Left,WRI_RAI,"Williams, Josh",1000273647,Left,NOK_NOR,Undefined,1,Top,1,0,0,Cutter,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,82.56034,-2.215208,0.213352,2016.687303,182.146827,12:00,6.18332,-0.85383,5.92838,-28.24856,12.55264,0.42358,1.77277,-0.62056,76.08354,-7.458454,0.289522,0.459735,,,,,,,,,,,,-0.16106,7.42122,0.83653,50,5.99005,-0.46269,-119.92146,-5.50285,-0.23532,22.47433,-21.33127,WRI_RAI,NOK_NOR,NischwitzField,D1,HORZ,20260403-NischwitzField-1,616aa9f0-2f77-11f1-aafb-a577db82790e,81.98729,,,6.4768,,,,,,,c5fa6e53-c6a0-487a-9b63-8ddf0e87809f,2026-04-03,16:08:40.11,2026-04-03T12:08:40.1113088-04:00,2026-04-03T16:08:40.1113088Z,,v3,471496,471393,997a062d401041baabb3b373797a04e4,"Butler, Zac",1000361232,Right,WRI_RAI,50efe1ff-82f2-4568-be93-9dbfadda305f,54.57328,-120.7755,11.23716,6.18376,-4.69225,-10.66564,0.85394,-0.45375,-0.11766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-03,12:08:55.58,3,2,"Paige, Griffen",1000108685,Left,WRI_RAI,"Williams, Josh",1000273647,Left,NOK_NOR,Undefined,1,Top,1,1,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,79.89522,-0.106927,-0.053944,2029.503627,269.517746,3:00,6.19193,-0.66289,5.73849,-42.88975,1.62673,8.7843,2.51821,0.0189,72.60716,-8.009697,1.520915,0.480211,,,,,,,,,,,,-4.45701,1.36858,0.66208,50,6.15717,-0.23848,-115.92238,-1.6247,-5.9854,24.31902,-30.33614,WRI_RAI,NOK_NOR,NischwitzField,D1,HORZ,20260403-NischwitzField-1,6aa68e30-2f77-11f1-aafb-a577db82790e,78.49146,,,7.28806,,,,,,,c5fa6e53-c6a0-487a-9b63-8ddf0e87809f,2026-04-03,16:08:55.58,2026-04-03T12:08:55.5868160-04:00,2026-04-03T16:08:55.5868160Z,,v3,471496,471393,997a062d401041baabb3b373797a04e4,"Butler, Zac",1000361232,Right,WRI_RAI,e06107d4-9258-4322-a903-3c03a92b9e99,54.76088,-116.91688,12.15951,6.19824,-0.38413,-15.16807,0.66683,0.00629,-2.9927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-03,12:09:12.49,3,3,"Paige, Griffen",1000108685,Left,WRI_RAI,"Williams, Josh",1000273647,Left,NOK_NOR,Undefined,1,Top,1,1,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,86.67945,-1.686048,1.983792,2209.038053,169.991645,11:45,6.16052,-0.80884,6.37135,-14.40375,22.09304,-3.69512,3.4074,0.70937,79.28728,-4.483044,1.315297,0.434809,,,,,,,,,,,,2.46032,12.30556,0.66707,50,6.03143,-4.21641,-125.89761,-4.0289,3.95303,25.30427,-12.40263,WRI_RAI,NOK_NOR,NischwitzField,D1,HORZ,20260403-NischwitzField-1,74b5a0f0-2f77-11f1-aafb-a577db82790e,86.68731,,,7.39217,,,,,,,c5fa6e53-c6a0-487a-9b63-8ddf0e87809f,2026-04-03,16:09:12.49,2026-04-03T12:09:12.4943360-04:00,2026-04-03T16:09:12.4943360Z,,v3,471496,471393,997a062d401041baabb3b373797a04e4,"Butler, Zac",1000361232,Right,WRI_RAI,86e8d7c2-eafc-46bc-8ad6-e31da09a3935,54.12843,-126.72467,12.65214,6.15649,-3.62353,-6.20132,0.80699,-4.34561,1.97651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
