PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-03,14:03:01.76,1,1,"Moss, Weston",814320,Right,TEX_AGG,"Mancini, Mike",811760,Left,VAN_COM,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.2943,-2.760942,-1.161989,2439.369038,215.46924,1:15,5.71399,1.47362,6.47695,-15.75615,15.77143,10.49709,1.86315,1.28119,85.09524,-5.781221,0.743484,0.404126,,,,,,,,,,,,-5.78591,9.34823,-1.39588,50,5.51226,2.30844,-135.44474,-6.95617,-10.70774,30.62261,-14.87361,TEX_AGG,VAN_COM,Olsen,D1,SEC,20260403-Olsen-1,bd6556c0-2f8f-11f1-ace7-dbc2ec9bd517,93.26904,,,8.19906,,,,,,,d5261d24-0395-4221-a708-2af188f3d195,2026-04-03,19:03:01.76,2026-04-03T14:03:01.7634816-05:00,2026-04-03T19:03:01.7634816Z,,v3,3032,5046,,"Harrison, Connor",1000339305,Right,TEX_AGG,c642577a-ee01-458a-a322-b214141e6dd4,54.02126,-136.35088,15.3113,5.71158,-6.51605,-7.43681,-1.46888,2.62529,-5.35387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-03,14:03:19.67,1,2,"Moss, Weston",814320,Right,TEX_AGG,"Mancini, Mike",811760,Left,VAN_COM,Undefined,1,Top,0,1,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.42447,1.006206,-2.137608,2166.273023,263.957425,2:45,5.48026,1.59729,6.70472,-38.88167,3.31087,17.88273,3.16085,1.13216,73.12269,-6.311949,1.122022,0.467508,,,,,,,,,,,,-9.97997,1.93036,-1.46085,50,5.53265,3.72612,-116.85143,0.97204,-13.67052,23.92785,-29.52988,TEX_AGG,VAN_COM,Olsen,D1,SEC,20260403-Olsen-1,c82012d0-2f8f-11f1-ace7-dbc2ec9bd517,80.62413,,,7.30179,,,,,,,d5261d24-0395-4221-a708-2af188f3d195,2026-04-03,19:03:19.67,2026-04-03T14:03:19.6709376-05:00,2026-04-03T19:03:19.6709376Z,,v3,3032,5046,,"Harrison, Connor",1000339305,Right,TEX_AGG,98f86cc8-bf46-4bbf-b06b-0c9965b0d2ea,53.79437,-117.62584,11.96393,5.48572,1.92776,-14.76494,-1.5886,4.16856,-6.83526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-03,14:03:38.05,1,3,"Moss, Weston",814320,Right,TEX_AGG,"Mancini, Mike",811760,Left,VAN_COM,Undefined,1,Top,0,2,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,81.27002,0.912077,-1.838957,1980.89118,261.981617,2:45,5.45588,1.51901,6.3756,-37.91356,3.92524,17.8745,3.13609,1.31602,73.87149,-6.184779,1.399308,0.465544,,,,,,,,,,,,-9.77827,2.24189,-1.39358,50,5.50472,3.11997,-118.03579,0.75278,-13.67001,24.37119,-29.03991,TEX_AGG,VAN_COM,Olsen,D1,SEC,20260403-Olsen-1,d316c670-2f8f-11f1-ace7-dbc2ec9bd517,80.96422,,,7.39852,,,,,,,d5261d24-0395-4221-a708-2af188f3d195,2026-04-03,19:03:38.05,2026-04-03T14:03:38.0537856-05:00,2026-04-03T19:03:38.0537856Z,,v3,3032,5046,,"Harrison, Connor",1000339305,Right,TEX_AGG,97727e25-4747-4e0a-b851-747777fa729d,54.12335,-118.8841,12.1856,5.46093,1.7636,-14.51995,-1.51046,3.5958,-6.83501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-03,14:03:55.82,1,4,"Moss, Weston",814320,Right,TEX_AGG,"Mancini, Mike",811760,Left,VAN_COM,Undefined,1,Top,0,3,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.46704,-2.698712,-2.805349,2452.459136,222.937772,1:30,5.53226,1.40938,6.73986,-16.79505,14.28158,12.35213,1.66207,-0.12657,85.39997,-5.918375,-0.554728,0.401225,,,,,,,,,,,,-7.30311,8.61784,-1.2288,50,5.34761,6.15901,-135.67547,-6.84766,-13.5867,30.21766,-16.14148,TEX_AGG,VAN_COM,Olsen,D1,SEC,20260403-Olsen-1,dd9dc850-2f8f-11f1-ace7-dbc2ec9bd517,93.94335,,,8.06707,,,,,,,d5261d24-0395-4221-a708-2af188f3d195,2026-04-03,19:03:55.82,2026-04-03T14:03:55.8230016-05:00,2026-04-03T19:03:55.8230016Z,,v3,3032,5046,,"Harrison, Connor",1000339305,Right,TEX_AGG,eb85268e-7fea-4c62-8003-248246dcf35c,53.7598,-136.51029,15.10883,5.53063,-6.40173,-8.07074,-1.40414,6.53437,-6.79335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-03,14:04:14.53,1,5,"Moss, Weston",814320,Right,TEX_AGG,"Mancini, Mike",811760,Left,VAN_COM,Undefined,1,Top,0,3,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.72888,-1.782253,-2.096353,2440.136586,212.093563,1:00,5.59617,1.44231,6.65352,-15.29521,16.01843,9.47339,2.68882,0.3123,85.44174,-4.715235,-0.372475,0.402753,81.60818,62.932468,-72.703013,5101.08571,,,,,73.9461,,,-5.5628,9.20756,-1.30487,50,5.46966,4.57511,-134.87122,-4.60175,-10.32571,27.20679,-15.08286,TEX_AGG,VAN_COM,Olsen,D1,SEC,20260403-Olsen-1,e8c4dac0-2f8f-11f1-ace7-dbc2ec9bd517,93.58708,106.93837,,7.28714,,,,2.00049,2.73678,-0.31619,d5261d24-0395-4221-a708-2af188f3d195,2026-04-03,19:04:14.53,2026-04-03T14:04:14.5370624-05:00,2026-04-03T19:04:14.5370624Z,,v3,3032,5046,,"Harrison, Connor",1000339305,Right,TEX_AGG,aa95f78e-dc97-43c7-9d55-0685d132f5ca,53.84827,-135.64529,13.6034,5.59448,-4.17262,-7.54143,-1.43922,4.86888,-5.16285,,2.00046,16.19723,-8.21247,2.56026,-1.13516,0.73984,-0.2974,0.0386,0.004,2.73678,106.58268,-29.0174,3.83275,-0.89735,0.21661,-0.02404,-0.01452,0.00476,-0.31621,-51.99975,2.55113,0.02938,-0.35312,0.35815,-0.17256,0.03294,-0.00045,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Undefined,,,
6,2026-04-03,14:04:39.25,1,6,"Moss, Weston",814320,Right,TEX_AGG,"Mancini, Mike",811760,Left,VAN_COM,Undefined,1,Top,0,3,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.73843,-1.784292,-1.646184,2355.574392,226.217548,1:30,5.63893,1.46236,6.65675,-18.20997,13.65642,13.09426,2.48733,1.04662,84.00679,-5.28109,0.738499,0.406292,81.41853,49.314504,-46.523859,4326.832592,,,,,85.02773,,,-7.41918,8.08189,-1.35644,50,5.51139,3.35136,-134.69045,-4.69341,-13.4679,32.48508,-17.50312,TEX_AGG,VAN_COM,Olsen,D1,SEC,20260403-Olsen-1,f7836bd0-2f8f-11f1-ace7-dbc2ec9bd517,92.77191,80.84894,,8.73164,,,,0.41374,2.48807,-0.52355,d5261d24-0395-4221-a708-2af188f3d195,2026-04-03,19:04:39.25,2026-04-03T14:04:39.2574464-05:00,2026-04-03T19:04:39.2574464Z,,v3,3032,5046,,"Harrison, Connor",1000339305,Right,TEX_AGG,81f30e93-9504-4d28-8b79-24f2c4335943,53.8425,-135.61403,16.24254,5.63776,-4.19578,-8.75156,-1.45717,3.73426,-6.73395,,0.41374,53.56255,-13.51185,3.51177,-0.83969,0.22365,-0.08284,0.02867,-0.00501,2.48807,90.55129,-25.17949,2.78046,-0.54004,0.09041,-0.01101,-0.00062,0.00047,-0.52355,-56.49016,2.50429,0.07385,-0.1386,0.06777,-0.03449,0.01391,-0.00254,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
7,2026-04-03,14:05:03.30,1,7,"Moss, Weston",814320,Right,TEX_AGG,"Mancini, Mike",811760,Left,VAN_COM,Undefined,1,Top,0,3,2,Sinker,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,94.48524,-2.52946,-1.184967,2446.429713,228.904818,1:45,5.59626,1.24277,6.57292,-19.29001,10.97859,11.5776,1.66821,1.12125,87.22334,-6.166001,0.921326,0.395975,,,,,,,,,,,,-6.38327,6.70016,-1.16579,50,5.41407,2.37529,-137.39205,-6.65308,-12.29542,28.24126,-19.26826,TEX_AGG,VAN_COM,Olsen,D1,SEC,20260403-Olsen-1,05dad6a0-2f90-11f1-ace7-dbc2ec9bd517,95.189,,,7.26191,,,,,,,d5261d24-0395-4221-a708-2af188f3d195,2026-04-03,19:05:03.30,2026-04-03T14:05:03.3044480-05:00,2026-04-03T19:05:03.3044480Z,,v3,3032,5046,,"Harrison, Connor",1000339305,Right,TEX_AGG,db0be9d3-6a02-4a7b-b9f4-94a2cbc9eef0,53.92809,-138.19712,14.12063,5.5959,-6.1038,-9.63413,-1.23849,2.7258,-6.14771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-03,14:05:48.29,2,1,"Moss, Weston",814320,Right,TEX_AGG,"Barczi, Colin",807738,Right,VAN_COM,Undefined,1,Top,0,0,0,Sinker,Sinker,InPlay,Undefined,LineDrive,Single,0,0,,92.14321,-1.102221,-2.425159,2290.676143,233.776798,1:45,5.74543,1.71922,6.87181,-20.47576,11.11477,13.86056,3.03353,0.66266,84.53834,-5.003617,0.107911,0.404529,90.00421,13.232591,-8.929125,6965.453733,108.61262,19.50308,-17.41478,238.47463,238.47463,-9.078949,2.391951,-8.05768,6.50658,-1.56969,50,5.66782,5.16228,-134.02634,-3.14332,-14.68907,28.36336,-20.3126,TEX_AGG,VAN_COM,Olsen,D1,SEC,20260403-Olsen-1,20a1b260-2f90-11f1-ace7-dbc2ec9bd517,93.1761,19.87283,,7.60487,,,,1.17213,3.09744,-0.68409,d5261d24-0395-4221-a708-2af188f3d195,2026-04-03,19:05:48.29,2026-04-03T14:05:48.2937856-05:00,2026-04-03T19:05:48.2937856Z,LineDrive,v3,3032,5046,,"Harrison, Connor",1000339305,Right,TEX_AGG,d7a267d2-fdb5-425e-818d-9dc2762f2b10,53.62978,-134.7923,14.18168,5.7453,-2.59477,-10.1563,-1.71446,5.55897,-7.34453,183.40132,1.17213,126.94367,-18.51608,3.97028,-0.79308,0.15207,-0.02663,0.00349,-0.00023,3.09744,30.2169,-13.97285,0.30073,0.04307,-0.02346,0.00669,-0.00102,8E-05,-0.68409,-19.94491,3.30772,-0.94811,0.22794,-0.0499,0.00932,-0.00133,0.0001,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
9,2026-04-03,14:06:29.56,3,1,"Moss, Weston",814320,Right,TEX_AGG,"Johnston, Brodie",815428,Right,VAN_COM,Undefined,1,Top,0,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.7827,1.208332,-3.661978,1969.987323,255.257326,2:30,5.53297,1.85058,6.68158,-35.19191,6.67126,20.05044,3.70802,0.1672,73.415,-5.432443,-0.017059,0.46568,,,,,,,,,,,,-11.55075,3.61051,-1.61217,50,5.60026,6.78909,-117.22977,1.51779,-15.97049,23.49523,-27.18204,TEX_AGG,VAN_COM,Olsen,D1,SEC,20260403-Olsen-1,394d7650-2f90-11f1-ace7-dbc2ec9bd517,80.94065,,,7.3677,,,,,,,d5261d24-0395-4221-a708-2af188f3d195,2026-04-03,19:06:29.56,2026-04-03T14:06:29.5613440-05:00,2026-04-03T19:06:29.5613440Z,,v3,3032,5046,,"Harrison, Connor",1000339305,Right,TEX_AGG,d33fad99-8da9-4cf4-8d60-343ae6d2fb36,53.81796,-117.99248,11.74762,5.53667,2.40019,-13.59102,-1.84097,7.30753,-7.98524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-03,14:06:47.25,3,2,"Moss, Weston",814320,Right,TEX_AGG,"Johnston, Brodie",815428,Right,VAN_COM,Undefined,1,Top,0,1,0,Cutter,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,84.55389,-0.299184,-1.445255,2251.586086,100.168869,9:15,5.94102,1.42249,6.34342,-35.85246,2.13354,-6.05611,2.67779,-0.413,78.45377,-6.939069,-2.541998,0.443592,76.42932,41.932536,97.49395,5154.669453,,,,,25.85944,,,2.8098,1.50158,-1.31464,50,5.90229,3.32627,-123.05942,-1.75555,4.35101,22.17369,-29.84884,TEX_AGG,VAN_COM,Olsen,D1,SEC,20260403-Olsen-1,43d143e0-2f90-11f1-ace7-dbc2ec9bd517,84.97102,23.81768,,6.10012,,,,0.36302,2.52874,0.49564,d5261d24-0395-4221-a708-2af188f3d195,2026-04-03,19:06:47.25,2026-04-03T14:06:47.2529920-05:00,2026-04-03T19:06:47.2529920Z,,v3,3032,5046,,"Harrison, Connor",1000339305,Right,TEX_AGG,e14f7461-684d-4983-ac75-82beec84aecf,54.1588,-123.80652,11.08684,5.9445,-0.74986,-14.92442,-1.42424,3.17967,2.17551,,0.3668,-11.03693,-7.98358,,,,,,,2.53109,74.80933,-22.11661,,,,,,,0.4975,82.60146,-8.48731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
