PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-03,18:05:32.95,1,1,"Feld, Justin",10279370,Right,GON_BUL,"Patterson, Daniel",1000254753,Right,PEP_WAV,Undefined,1,Top,0,0,0,Cutter,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,88.17484,-0.564566,-1.854627,2272.192145,230.601572,1:45,5.13721,1.91952,5.74614,-32.15525,4.13252,3.58689,1.93169,0.49114,80.45688,-6.501355,-1.212401,0.433562,,,,,,,,,,,,-2.36323,2.63681,-1.76758,50,5.07077,3.98975,-127.96512,-2.4026,-3.89974,27.59067,-27.82286,GON_BUL,PEP_WAV,PattersonBaseballComplex,D1,WCC,20260403-PattersonBaseballComplex-1,618a98f0-2fc2-11f1-8f02-250463bc52c9,86.93662,,,7.71795,,,,,,,eb617612-8076-4c2c-bbf1-9975e8706314,2026-04-04,01:05:32.95,2026-04-03T18:05:32.9568256-07:00,2026-04-04T01:05:32.9568256Z,,v3,471307,471410,63f40621baa64e82b671c9fe85324b6b,"Schuerman, Rece",1000282568,Right,GON_BUL,e86932dc-6bbd-4d4d-97d5-25b2d004ae9a,54.75112,-128.98545,13.79533,5.14059,-1.37369,-13.91143,-1.91779,4.13397,-1.94987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-03,18:05:48.42,1,2,"Feld, Justin",10279370,Right,GON_BUL,"Patterson, Daniel",1000254753,Right,PEP_WAV,Undefined,1,Top,0,0,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,97.10987,-1.934326,-3.751581,2261.448354,221.204003,1:15,5.20144,1.80311,5.82499,-13.56221,16.31379,13.42044,2.26848,-0.57114,88.36808,-4.527787,-1.35274,0.393399,102.21175,-5.374057,32.487492,,,,,20.43282,19.76937,34.376815,0.137961,-7.92666,9.17611,-1.50421,50,5.03509,8.60375,-140.70111,-5.18282,-15.85173,32.64277,-13.82372,GON_BUL,PEP_WAV,PattersonBaseballComplex,D1,WCC,20260403-PattersonBaseballComplex-1,6abe18c0-2fc2-11f1-8f02-250463bc52c9,95.81234,2.14221,,8.74179,,,,-0.00625,2.14221,0.56399,eb617612-8076-4c2c-bbf1-9975e8706314,2026-04-04,01:05:48.42,2026-04-03T18:05:48.4208128-07:00,2026-04-04T01:05:48.4208128Z,GroundBall,v3,471307,471410,63f40621baa64e82b671c9fe85324b6b,"Schuerman, Rece",1000282568,Right,GON_BUL,4523698c-9042-41fb-8082-8065c8e6702f,54.67337,-141.78119,16.32138,5.19901,-4.72542,-6.91186,-1.79757,9.12825,-7.92587,260.029859,-0.00555,125.82819,-25.76941,,,,,,,2.14225,-14.04466,-10.75387,,,,,,,0.56398,80.16645,-4.55971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2026-04-03,18:06:19.34,2,1,"Feld, Justin",10279370,Right,GON_BUL,"Nunez, Julian",824679,Right,PEP_WAV,Undefined,1,Top,1,0,0,Fastball,Sinker,InPlay,Undefined,GroundBall,Single,0,0,,95.5302,-1.37693,-3.702325,2209.500373,225.321313,1:30,5.16217,2.00642,6.03679,-16.34753,14.2078,13.37052,2.522,-0.3123,87.09694,-4.481453,-1.302453,0.397846,97.75594,-1.169908,21.290792,3457.987512,,,,46.34444,45.14583,23.273676,0.336189,-7.95119,8.00386,-1.72451,50,5.04568,8.37707,-138.53438,-3.85349,-15.43351,31.29427,-16.63825,GON_BUL,PEP_WAV,PattersonBaseballComplex,D1,WCC,20260403-PattersonBaseballComplex-1,7d2ba810-2fc2-11f1-8f02-250463bc52c9,94.74128,2.47978,,8.43325,,,,0.52917,2.47978,0.32409,eb617612-8076-4c2c-bbf1-9975e8706314,2026-04-04,01:06:19.34,2026-04-03T18:06:19.3489920-07:00,2026-04-04T01:06:19.3489920Z,GroundBall,v3,471307,471410,63f40621baa64e82b671c9fe85324b6b,"Schuerman, Rece",1000282568,Right,GON_BUL,72d69968-0e20-4252-8491-f22245a53214,54.46226,-139.53874,15.64713,5.16079,-3.3195,-8.31912,-2.00132,8.8724,-7.71676,262.985425,0.53751,133.23111,-24.4472,,,,,,,2.4813,-2.98749,-13.08062,,,,,,,0.32002,52.21137,3.91678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2026-04-03,18:06:52.16,3,1,"Feld, Justin",10279370,Right,GON_BUL,"Dell'Amico, James",10140401,Right,PEP_WAV,Undefined,1,Top,1,0,0,Slider,Slider,InPlay,Undefined,GroundBall,Out,1,0,,84.23558,-0.035869,-1.341947,2550.876525,97.383223,9:15,5.06333,2.0313,5.62253,-37.17565,2.61725,-10.62772,1.93187,-0.10684,77.27224,-6.857229,-3.240343,0.454019,61.80783,-60.963166,-45.319188,,,,,3.69529,2.94472,-12.111669,0.026313,5.06973,1.65165,-1.90969,50,5.03613,3.29084,-122.34933,-1.35841,7.66671,24.6667,-29.67635,GON_BUL,PEP_WAV,PattersonBaseballComplex,D1,WCC,20260403-PattersonBaseballComplex-1,90c4bf10-2fc2-11f1-8f02-250463bc52c9,83.01949,2.09377,,6.96334,,,,2.79571,2.09377,0.05114,eb617612-8076-4c2c-bbf1-9975e8706314,2026-04-04,01:06:52.16,2026-04-03T18:06:52.1646080-07:00,2026-04-04T01:06:52.1646080Z,GroundBall,v3,471307,471410,63f40621baa64e82b671c9fe85324b6b,"Schuerman, Rece",1000282568,Right,GON_BUL,982a57d2-e774-4734-86eb-b68496dc0db3,54.87772,-123.3288,12.33335,5.06667,-0.18001,-14.83817,-2.03431,2.98641,3.83336,,2.79519,31.06197,,,,,,,,2.09511,-79.5732,,,,,,,,0.05167,-31.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
5,2026-04-03,18:07:30.35,4,1,"Feld, Justin",10279370,Right,GON_BUL,"Woodworth, Joshua",10125005,Right,PEP_WAV,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,96.39343,-1.903811,-4.24738,2289.26263,219.054394,1:15,5.27537,1.72252,6.03232,-13.50434,16.69753,12.71646,2.38153,-1.15816,87.46321,-4.503441,-1.96804,0.395538,,,,,,,,,,,,-7.76178,9.438,-1.39696,50,5.11887,9.78693,-139.57172,-5.04025,-15.23037,32.95246,-13.65454,GON_BUL,PEP_WAV,PattersonBaseballComplex,D1,WCC,20260403-PattersonBaseballComplex-1,a77db3b0-2fc2-11f1-8f02-250463bc52c9,95.29412,,,8.93023,,,,,,,eb617612-8076-4c2c-bbf1-9975e8706314,2026-04-04,01:07:30.35,2026-04-03T18:07:30.3520768-07:00,2026-04-04T01:07:30.3520768Z,,v3,471307,471410,63f40621baa64e82b671c9fe85324b6b,"Schuerman, Rece",1000282568,Right,GON_BUL,e50b5de7-1307-44b6-bcc4-236ade67b408,54.46492,-140.62192,16.47623,5.27257,-4.60508,-6.82727,-1.7166,10.27233,-7.61518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-03,18:07:50.07,4,2,"Feld, Justin",10279370,Right,GON_BUL,"Woodworth, Joshua",10125005,Right,PEP_WAV,Undefined,1,Top,2,1,0,Cutter,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.33888,0.326901,-2.592747,2319.28605,221.392151,1:30,5.32378,1.94631,5.79869,-31.36108,6.4265,4.57862,3.01472,-0.0853,78.67189,-5.489564,-1.773363,0.442431,110.11598,12.631609,-37.04699,2359.698868,84.2608,20.0159,-70.71149,269.86283,199.12084,-45.703767,2.22199,-3.11232,3.52461,-1.73599,50,5.33186,5.48689,-125.27772,-0.34089,-4.92173,26.47781,-26.60034,GON_BUL,PEP_WAV,PattersonBaseballComplex,D1,WCC,20260403-PattersonBaseballComplex-1,b33fcda0-2fc2-11f1-8f02-250463bc52c9,85.19385,21.22103,,7.66699,,,,2.6867,3.14623,0.19573,eb617612-8076-4c2c-bbf1-9975e8706314,2026-04-04,01:07:50.07,2026-04-03T18:07:50.0763648-07:00,2026-04-04T01:07:50.0763648Z,LineDrive,v3,471307,471410,63f40621baa64e82b671c9fe85324b6b,"Schuerman, Rece",1000282568,Right,GON_BUL,98e3799d-1868-4403-a9b1-623128470d16,54.70005,-126.26719,13.2389,5.32602,0.65315,-13.30017,-1.94448,5.67082,-2.46086,108.068705,2.68669,125.78431,-31.04475,8.4656,-2.04508,0.44262,-0.08218,0.0107,-0.00068,3.14623,35.31612,-17.70039,0.22944,0.30191,-0.1256,0.0305,-0.00427,0.00029,0.19572,-94.94467,3.00502,1.07281,-0.7107,0.25066,-0.06137,0.00964,-0.00073,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
7,2026-04-03,18:08:23.22,4,3,"Feld, Justin",10279370,Right,GON_BUL,"Woodworth, Joshua",10125005,Right,PEP_WAV,Undefined,1,Top,2,1,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,95.71785,0.449441,-2.058638,2321.262197,215.308513,1:15,5.27636,1.71544,5.89426,-15.0008,15.78477,10.43028,4.44385,0.6725,86.40887,-2.430198,-0.188162,0.399342,,,,,,,,,,,,-5.9487,8.23607,-1.55556,50,5.30402,4.50847,-138.84385,0.63358,-11.49339,34.05612,-16.26124,GON_BUL,PEP_WAV,PattersonBaseballComplex,D1,WCC,20260403-PattersonBaseballComplex-1,c70069d0-2fc2-11f1-8f02-250463bc52c9,94.38639,,,9.30898,,,,,,,eb617612-8076-4c2c-bbf1-9975e8706314,2026-04-04,01:08:23.22,2026-04-03T18:08:23.2277504-07:00,2026-04-04T01:08:23.2277504Z,,v3,471307,471410,63f40621baa64e82b671c9fe85324b6b,"Schuerman, Rece",1000282568,Right,GON_BUL,2bfc4e1c-173c-4884-9bfa-b88273f5d91b,54.60189,-139.96807,17.02806,5.27424,1.17038,-8.13062,-1.71066,4.88788,-5.7467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-03,18:08:45.21,4,4,"Feld, Justin",10279370,Right,GON_BUL,"Woodworth, Joshua",10125005,Right,PEP_WAV,Undefined,1,Top,2,1,2,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,95.40166,-1.121601,-2.110062,2182.879315,222.824944,1:30,5.41982,1.33534,5.98279,-15.66647,15.24052,13.12528,3.07385,0.47244,86.21947,-4.121089,0.248391,0.400129,,,,,,,,,,,,-7.35894,8.47595,-1.17574,50,5.32257,4.49931,-138.38148,-3.18811,-14.11596,33.98359,-15.91543,GON_BUL,PEP_WAV,PattersonBaseballComplex,D1,WCC,20260403-PattersonBaseballComplex-1,d4219e90-2fc2-11f1-8f02-250463bc52c9,94.20079,,,9.18219,,,,,,,eb617612-8076-4c2c-bbf1-9975e8706314,2026-04-04,01:08:45.21,2026-04-03T18:08:45.2125696-07:00,2026-04-04T01:08:45.2125696Z,,v3,471307,471410,63f40621baa64e82b671c9fe85324b6b,"Schuerman, Rece",1000282568,Right,GON_BUL,33637b86-2d94-4e4b-b1ef-ff266181ef37,54.51355,-139.48551,16.99179,5.41774,-2.67106,-7.95772,-1.32936,4.95789,-7.05798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-03,18:09:15.54,4,5,"Feld, Justin",10279370,Right,GON_BUL,"Woodworth, Joshua",10125005,Right,PEP_WAV,Undefined,1,Top,2,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,96.29797,0.607959,-2.388368,2219.660785,225.111778,1:30,5.44527,1.51193,5.89023,-16.55359,13.69536,12.76079,4.63081,0.35643,87.43558,-2.535948,-0.100676,0.395846,,,,,,,,,,,,-7.20095,7.1189,-1.32667,50,5.4848,5.23935,-139.75063,0.94362,-14.18472,32.65436,-18.15093,GON_BUL,PEP_WAV,PattersonBaseballComplex,D1,WCC,20260403-PattersonBaseballComplex-1,e62e4930-2fc2-11f1-8f02-250463bc52c9,95.21989,,,8.86239,,,,,,,eb617612-8076-4c2c-bbf1-9975e8706314,2026-04-04,01:09:15.54,2026-04-03T18:09:15.5427328-07:00,2026-04-04T01:09:15.5427328Z,,v3,471307,471410,63f40621baa64e82b671c9fe85324b6b,"Schuerman, Rece",1000282568,Right,GON_BUL,1b536763-b86e-40ef-9b2f-5776bd7251fb,54.6072,-140.82304,16.32718,5.44403,1.53971,-9.07547,-1.50639,5.7052,-7.09236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-03,18:09:37.58,4,6,"Feld, Justin",10279370,Right,GON_BUL,"Woodworth, Joshua",10125005,Right,PEP_WAV,Undefined,1,Top,2,2,2,Slider,Slider,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,83.82616,2.394233,-0.414206,2564.74535,69.070691,8:15,5.07717,1.78186,5.50049,-46.17538,-5.29855,-17.54548,3.46992,-0.06768,75.83546,-6.065342,-3.539633,0.460161,,,,,,,,,,,,8.67914,-2.98858,-1.73362,50,5.25552,1.62447,-121.52709,3.39664,12.79737,26.93715,-36.58069,GON_BUL,PEP_WAV,PattersonBaseballComplex,D1,WCC,20260403-PattersonBaseballComplex-1,f35ec030-2fc2-11f1-8f02-250463bc52c9,81.91139,,,7.99071,,,,,,,eb617612-8076-4c2c-bbf1-9975e8706314,2026-04-04,01:09:37.58,2026-04-03T18:09:37.5860000-07:00,2026-04-04T01:09:37.5860000Z,,v3,471307,471410,63f40621baa64e82b671c9fe85324b6b,"Schuerman, Rece",1000282568,Right,GON_BUL,3524f29e-741e-4d0c-b978-561ff222e81f,54.9984,-122.63001,13.46857,5.08578,4.8944,-18.29034,-1.7894,1.10049,6.39868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.59211,,,1.245557,,,,1.97868,6.04235,3.68104,73.2063,0.52706,-51.57686,2.01265,60.98887,-3.09842,6.08212,12.88205,-13.95377,3.63423,-49.14239,3.89794,High,High,High,,,High,High,High
