PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-03,14:00:59.25,1,1,"Sproles, Aiden",10140109,Right,TUS_PIO,"Aguilar, Alejandro",1000406023,Left,MAR_LIO,Undefined,1,Top,0,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.85342,0.953368,-2.075247,1803.131798,215.989162,1:15,5.34878,2.76168,6.32637,-27.90939,11.89572,7.78701,3.90162,1.49865,76.11417,-4.295038,-0.667579,0.454089,,,,,,,,,,,,-4.57662,6.31083,-2.6136,50,5.40505,4.07339,-120.42535,1.20961,-6.76076,22.08402,-22.85146,TUS_PIO,MAR_LIO,PioneerPark,D2,NCAASA,20260403-PioneerPark-1,124331c0-2f87-11f1-a389-3fc671adf92e,83.0068,,,6.73926,,,,,,,dd91a075-23b4-4e0f-b722-2cd9a8eef58c,2026-04-03,18:00:59.25,2026-04-03T14:00:59.2542720-04:00,2026-04-03T18:00:59.2542720Z,,v3,471724,643-145266,,"Gagen, Jack",10033463,Right,TUS_PIO,b9c4fc75-bd8c-4e4c-abf7-64e2858c71b9,54.17247,-121.1881,11.04201,5.34965,1.99886,-11.42573,-2.75832,4.30689,-3.38038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-03,14:01:13.22,1,2,"Sproles, Aiden",10140109,Right,TUS_PIO,"Aguilar, Alejandro",1000406023,Left,MAR_LIO,Undefined,1,Top,0,1,0,Fastball,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,83.17796,-0.326134,-3.4507,1844.021705,223.737914,1:30,5.35824,2.82995,6.23229,-27.67159,12.30973,10.55134,2.75084,0.52193,75.9942,-5.527537,-1.549081,0.455093,,,,,,,,,,,,-6.42788,6.86465,-2.57715,50,5.32012,6.87716,-120.68777,-1.48868,-9.46903,23.75398,-22.06156,TUS_PIO,MAR_LIO,PioneerPark,D2,NCAASA,20260403-PioneerPark-1,1a97c340-2f87-11f1-a389-3fc671adf92e,82.82361,,,7.18377,,,,,,,dd91a075-23b4-4e0f-b722-2cd9a8eef58c,2026-04-03,18:01:13.22,2026-04-03T14:01:13.2246528-04:00,2026-04-03T18:01:13.2246528Z,,v3,471724,643-145266,,"Gagen, Jack",10033463,Right,TUS_PIO,99a0f176-732e-42c6-b5c7-632de44c56d7,54.26627,-121.52456,11.87699,5.35887,-0.71151,-11.03078,-2.82529,7.21073,-4.73451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-03,14:01:28.06,1,3,"Sproles, Aiden",10140109,Right,TUS_PIO,"Aguilar, Alejandro",1000406023,Left,MAR_LIO,Undefined,1,Top,0,1,1,Fastball,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,85.4473,-1.390098,-4.200042,1982.003237,219.170732,1:15,5.32488,2.7043,5.94262,-22.12367,16.14631,12.16867,2.18805,-0.18463,78.24272,-5.550863,-2.021934,0.445246,71.52192,-34.445591,-4.881774,,,,,5.23149,5.23149,-1.241036,0.037668,-7.43091,9.03863,-2.37616,50,5.20137,8.61662,-123.84792,-3.67304,-11.56399,24.28107,-18.10816,TUS_PIO,MAR_LIO,PioneerPark,D2,NCAASA,20260403-PioneerPark-1,236b96e0-2f87-11f1-a389-3fc671adf92e,84.65524,2.24195,,7.20458,,,,1.97341,2.24195,0.16486,dd91a075-23b4-4e0f-b722-2cd9a8eef58c,2026-04-03,18:01:28.06,2026-04-03T14:01:28.0626176-04:00,2026-04-03T18:01:28.0626176Z,GroundBall,v3,471724,643-145266,,"Gagen, Jack",10033463,Right,TUS_PIO,b584e478-08f4-4091-8219-4c847b90ab4d,54.55779,-124.73829,12.14054,5.32388,-3.00902,-9.05408,-2.6999,9.04066,-5.782,,1.97178,86.4622,,,,,,,,2.24307,-59.51892,,,,,,,,0.165,-7.38472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
4,2026-04-03,14:02:00.03,2,1,"Sproles, Aiden",10140109,Right,TUS_PIO,"Potts, Carter",1000122626,Right,MAR_LIO,Undefined,1,Top,1,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.71143,-0.355382,-3.857727,2082.024189,216.224165,1:15,5.37481,2.90981,6.44627,-23.37911,13.88335,9.32126,3.09928,0.13667,78.46136,-4.782425,-2.172786,0.439347,,,,,,,,,,,,-5.91244,7.70827,-2.6398,50,5.3389,8.0352,-124.38314,-1.42019,-9.28012,24.50486,-20.07522,TUS_PIO,MAR_LIO,PioneerPark,D2,NCAASA,20260403-PioneerPark-1,367abd60-2f87-11f1-a389-3fc671adf92e,85.79205,,,7.25007,,,,,,,dd91a075-23b4-4e0f-b722-2cd9a8eef58c,2026-04-03,18:02:00.03,2026-04-03T14:02:00.0308224-04:00,2026-04-03T18:02:00.0308224Z,,v3,471724,643-145266,,"Gagen, Jack",10033463,Right,TUS_PIO,2027e2ef-d58e-4d88-abc9-a5dce8b22a37,54.05265,-125.17901,12.25243,5.37444,-0.76819,-10.03761,-2.90566,8.3366,-4.64006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-03,14:02:15.05,2,2,"Sproles, Aiden",10140109,Right,TUS_PIO,"Potts, Carter",1000122626,Right,MAR_LIO,Undefined,1,Top,1,0,1,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,86.46271,-0.216912,-4.009983,2044.487279,233.442867,1:45,5.31799,2.90144,6.21683,-25.93868,10.89922,13.1945,2.95577,0.29443,79.36637,-5.077867,-1.634946,0.436836,,,,,,,,,,,,-7.88185,6.05067,-2.60699,50,5.28867,8.27815,-125.46434,-1.2651,-12.62919,24.14039,-22.47897,TUS_PIO,MAR_LIO,PioneerPark,D2,NCAASA,20260403-PioneerPark-1,3f6fad90-2f87-11f1-a389-3fc671adf92e,86.28504,,,7.09634,,,,,,,dd91a075-23b4-4e0f-b722-2cd9a8eef58c,2026-04-03,18:02:15.05,2026-04-03T14:02:15.0556672-04:00,2026-04-03T18:02:15.0556672Z,,v3,471724,643-145266,,"Gagen, Jack",10033463,Right,TUS_PIO,01e011ed-4225-4d6f-9b5c-bf9697abf2e2,54.28313,-126.28577,12.0702,5.3187,-0.50021,-11.23949,-2.89598,8.70788,-6.3146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-03,14:02:27.25,2,3,"Sproles, Aiden",10140109,Right,TUS_PIO,"Potts, Carter",1000122626,Right,MAR_LIO,Undefined,1,Top,1,0,2,Fastball,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,86.65946,0.013607,-4.347873,2064.680906,232.736363,1:45,5.40932,2.70467,6.0579,-25.1897,11.78705,13.9956,3.32281,-0.16115,79.36339,-4.703995,-1.838128,0.437659,,,,,,,,,,,,-8.3228,6.41697,-2.37355,50,5.39684,8.98255,-125.63992,-0.75269,-13.35935,24.45387,-21.87385,TUS_PIO,MAR_LIO,PioneerPark,D2,NCAASA,20260403-PioneerPark-1,46b62a70-2f87-11f1-a389-3fc671adf92e,86.12285,,,7.29607,,,,,,,dd91a075-23b4-4e0f-b722-2cd9a8eef58c,2026-04-03,18:02:27.25,2026-04-03T14:02:27.2540000-04:00,2026-04-03T18:02:27.2540000Z,,v3,471724,643-145266,,"Gagen, Jack",10033463,Right,TUS_PIO,1964c1c5-8e31-447a-a624-bde0b06298bf,54.4412,-126.50138,12.22694,5.40978,0.01788,-10.93692,-2.69827,9.45317,-6.67968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.92245,2.673283,1.400627,1.272656,-0.56269,3.15641,0.22305,-2.38712,5.99379,0.08098,65.40071,10.97103,-59.39504,-2.31965,57.04058,-2.9933,6.1053,22.55537,-14.68913,-0.04756,-52.26798,4.39874,High,High,High,,,High,Medium,High
7,2026-04-03,14:03:03.78,3,1,"Sproles, Aiden",10140109,Right,TUS_PIO,"Rubiera, Mel",10034210,Left,MAR_LIO,Undefined,1,Top,2,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.68534,-0.83892,-3.207657,1915.244139,216.078219,1:15,5.27524,2.84481,6.11659,-22.76383,14.07339,9.42064,2.60134,0.66106,79.42233,-5.12396,-1.513049,0.436832,,,,,,,,,,,,-5.7113,7.84119,-2.60345,50,5.19886,6.67224,-125.81121,-2.52394,-9.179,24.87402,-19.57199,TUS_PIO,MAR_LIO,PioneerPark,D2,NCAASA,20260403-PioneerPark-1,5c78ff40-2f87-11f1-a389-3fc671adf92e,86.28585,,,7.26301,,,,,,,dd91a075-23b4-4e0f-b722-2cd9a8eef58c,2026-04-03,18:03:03.78,2026-04-03T14:03:03.7898240-04:00,2026-04-03T18:03:03.7898240Z,,v3,471724,643-145266,,"Gagen, Jack",10033463,Right,TUS_PIO,b429952a-9cc0-45fe-ad85-3523c4ea4c48,54.382,-126.67461,12.43701,5.27468,-1.84458,-9.786,-2.84058,6.99085,-4.5895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-03,14:03:18.95,3,2,"Sproles, Aiden",10140109,Right,TUS_PIO,"Rubiera, Mel",10034210,Left,MAR_LIO,Undefined,1,Top,2,0,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,86.19462,0.287491,-4.398156,2007.083083,220.131477,1:15,5.30706,2.81068,6.09775,-23.67352,13.62879,10.53312,3.60096,-0.38743,78.97395,-4.161461,-2.50919,0.439581,,,,,,,,,,,,-6.57681,7.29973,-2.47688,50,5.31668,9.1906,-124.96411,-0.08067,-10.45093,24.02408,-20.57443,TUS_PIO,MAR_LIO,PioneerPark,D2,NCAASA,20260403-PioneerPark-1,65880720-2f87-11f1-a389-3fc671adf92e,85.74621,,,7.22068,,,,,,,dd91a075-23b4-4e0f-b722-2cd9a8eef58c,2026-04-03,18:03:18.95,2026-04-03T14:03:18.9552640-04:00,2026-04-03T18:03:18.9552640Z,,v3,471724,643-145266,,"Gagen, Jack",10033463,Right,TUS_PIO,21d63d5f-0207-44a7-aec2-1b71f07758e9,54.40129,-125.8074,12.01204,5.30684,0.64153,-10.28721,-2.80593,9.55745,-5.22546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-03,14:03:37.25,3,3,"Sproles, Aiden",10140109,Right,TUS_PIO,"Rubiera, Mel",10034210,Left,MAR_LIO,Undefined,1,Top,2,1,1,Fastball,Changeup,InPlay,Undefined,FlyBall,Out,1,0,,85.5556,-0.677174,-4.276185,2057.720802,212.774011,1:00,5.23766,2.86464,6.43574,-22.97545,14.43635,8.55099,2.69895,-0.3599,78.42894,-5.024755,-2.732317,0.440226,79.09203,25.707438,-24.911476,3444.340054,96.9952,41.38209,-51.88382,274.57518,262.99614,-32.996747,3.692552,-5.64252,8.08591,-2.56392,50,5.17887,8.96414,-124.11248,-2.10398,-8.82559,24.19709,-19.52673,TUS_PIO,MAR_LIO,PioneerPark,D2,NCAASA,20260403-PioneerPark-1,706873a0-2f87-11f1-a389-3fc671adf92e,85.62067,45.08444,,7.12666,,,,0.58823,2.62122,0.40554,dd91a075-23b4-4e0f-b722-2cd9a8eef58c,2026-04-03,18:03:37.25,2026-04-03T14:03:37.2547072-04:00,2026-04-03T18:03:37.2547072Z,LineDrive,v3,471724,643-145266,,"Gagen, Jack",10033463,Right,TUS_PIO,fdbddbe9-f11f-4470-a7bf-79e5c55d8860,54.06427,-124.90234,12.09855,5.23715,-1.46657,-9.76336,-2.86124,9.25223,-4.41279,141.681208,0.58822,94.79414,-16.25495,3.52853,-0.69855,0.1513,-0.04071,0.008,-0.00064,2.62157,50.30988,-15.86204,0.54454,0.10703,-0.1198,0.05152,-0.00973,0.00067,0.4057,-44.03282,0.64046,0.23415,-0.00452,-0.04196,0.01654,-0.0029,0.0002,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
10,2026-04-03,14:06:13.66,1,1,"Kutz, Austin",1000297994,Right,MAR_LIO,"Goins, Evan",1000113762,Left,TUS_PIO,Undefined,1,Bottom,0,0,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,72.3072,1.237,-0.47845,2037.166125,81.879524,8:45,6.40427,2.43402,5.15287,-55.32479,0.24894,-11.75375,2.9586,1.00412,65.85826,-8.830408,-2.561705,0.536545,,,,,,,,,,,,5.67611,0.33965,-2.37996,50,6.47776,1.32257,-104.80387,0.47182,6.23455,19.77007,-31.801,TUS_PIO,MAR_LIO,PioneerPark,D2,NCAASA,20260403-PioneerPark-1,cdaea020-2f87-11f1-a389-3fc671adf92e,70.25028,,,6.44894,,,,,,,dd91a075-23b4-4e0f-b722-2cd9a8eef58c,2026-04-03,18:06:13.66,2026-04-03T14:06:13.6685568-04:00,2026-04-03T18:06:13.6685568Z,,v3,471724,643-145266,,"Ashe, Evan",10111117,Right,MAR_LIO,db318f6e-b14d-4b90-a660-1e8f0e495ffa,55.34547,-105.80743,9.88503,6.41284,2.08608,-15.9005,-2.43907,1.0061,3.11727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
