PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-03,12:58:44.21,1,1,"Ruffner, Kade",808775,Right,QUI_HAW,"Bittle, Peyton",85658,Right,MCK_MCK,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.46267,-3.753908,-3.232886,2199.477914,214.084551,1:15,6.24164,1.27824,6.39155,-16.18005,17.73816,11.2032,1.43017,-0.76478,82.21856,-6.859794,-1.206588,0.419168,,,,,,,,,,,,-6.8078,10.73056,-1.05064,50,5.96359,6.94665,-130.97769,-9.02791,-11.73373,29.68194,-13.6792,QUI_HAW,MCK_MCK,QUBaseballStadium,D2,Team,20260403-QUBaseballStadium-1,c24f3510-2f86-11f1-9893-e5d15fcfe52f,89.92212,,,8.24411,,,,,,,416fdf71-7339-409a-b236-71a991fd1961,2026-04-03,17:58:44.21,2026-04-03T12:58:44.2118656-05:00,2026-04-03T17:58:44.2118656Z,,v3,643-145659,643-145292,,"Mendiola, Patrick",1000090289,Right,QUI_HAW,ebe88e81-b34b-44ba-8a99-c6527c7f11e8,54.10579,-131.90486,14.84097,6.23892,-8.60062,-6.8396,-1.27335,7.31317,-5.86687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-03,12:59:00.81,1,2,"Ruffner, Kade",808775,Right,QUI_HAW,"Bittle, Peyton",85658,Right,MCK_MCK,Undefined,1,Top,0,1,0,FourSeamFastBall,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,89.37711,-1.949969,-1.915325,2140.735994,216.270989,1:15,6.13141,1.29149,6.6344,-18.8954,15.32383,10.39796,2.76989,0.40382,81.29831,-5.573622,-0.023047,0.421024,49.53651,-42.338817,23.062098,,,,,5.40874,5.40502,8.851389,0.058367,-6.07378,9.00839,-1.16596,50,5.99161,3.94839,-129.81764,-4.91736,-10.28491,29.13566,-16.91991,QUI_HAW,MCK_MCK,QUBaseballStadium,D2,Team,20260403-QUBaseballStadium-1,cc41bf20-2f86-11f1-9893-e5d15fcfe52f,89.52569,2.88031,,8.07879,,,,2.43585,2.88031,-0.40604,416fdf71-7339-409a-b236-71a991fd1961,2026-04-03,17:59:00.81,2026-04-03T12:59:00.8146944-05:00,2026-04-03T17:59:00.8146944Z,GroundBall,v3,643-145659,643-145292,,"Mendiola, Patrick",1000090289,Right,QUI_HAW,047e4ab6-50dc-4e64-8c54-384d8657839f,53.86394,-130.68196,14.56783,6.13004,-4.41542,-8.45995,-1.28761,4.25349,-5.14245,180,2.43191,49.83127,,,,,,,,2.88421,-49.34862,,,,,,,,-0.40772,21.21589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2026-04-03,12:59:42.81,2,1,"Ruffner, Kade",808775,Right,QUI_HAW,"Deaver, Gabriel",1000162633,Left,MCK_MCK,Undefined,1,Top,1,0,0,FourSeamFastBall,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,89.34518,-2.636993,-1.517914,2109.18524,219.810978,1:15,6.15415,1.34338,6.6443,-17.21064,17.12186,13.27934,2.30363,1.06026,81.10962,-5.956059,0.900075,0.42172,,,,,,,,,,,,-7.40796,10.16016,-1.24556,50,5.96883,2.9163,-129.68441,-6.39657,-12.49462,29.55154,-15.0374,QUI_HAW,MCK_MCK,QUBaseballStadium,D2,Team,20260403-QUBaseballStadium-1,e53895d0-2f86-11f1-9893-e5d15fcfe52f,89.37792,,,8.23557,,,,,,,416fdf71-7339-409a-b236-71a991fd1961,2026-04-03,17:59:42.81,2026-04-03T12:59:42.8191232-05:00,2026-04-03T17:59:42.8191232Z,,v3,643-145659,643-145292,,"Mendiola, Patrick",1000090289,Right,QUI_HAW,277064aa-f563-4c84-bffa-0101787ab319,53.8521,-130.55925,14.77577,6.1516,-5.95141,-7.5187,-1.33737,3.28618,-6.24731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-03,13:00:01.06,2,2,"Ruffner, Kade",808775,Right,QUI_HAW,"Deaver, Gabriel",1000162633,Left,MCK_MCK,Undefined,1,Top,1,0,1,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.7366,-3.491763,-1.099349,2152.14196,218.908813,1:15,6.11892,1.39858,6.58245,-16.63914,17.63375,13.2406,1.52784,1.49437,81.26977,-6.700285,1.309363,0.421354,,,,,,,,,,,,-7.26926,10.71961,-1.32809,50,5.87216,1.97364,-130.12187,-8.34886,-12.29827,30.67563,-14.03835,QUI_HAW,MCK_MCK,QUBaseballStadium,D2,Team,20260403-QUBaseballStadium-1,f01f1cd0-2f86-11f1-9893-e5d15fcfe52f,89.4556,,,8.46683,,,,,,,416fdf71-7339-409a-b236-71a991fd1961,2026-04-03,18:00:01.06,2026-04-03T13:00:01.0697216-05:00,2026-04-03T18:00:01.0697216Z,,v3,643-145659,643-145292,,"Mendiola, Patrick",1000090289,Right,QUI_HAW,051989aa-c13e-4a28-8608-394b78411e01,53.91387,-131.0413,15.33782,6.11609,-7.92809,-7.01918,-1.39277,2.34225,-6.14913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-03,13:00:19.08,2,3,"Ruffner, Kade",808775,Right,QUI_HAW,"Deaver, Gabriel",1000162633,Left,MCK_MCK,Undefined,1,Top,1,1,1,Slider,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,78.34916,-1.791575,-1.308031,3158.407671,278.882675,3:15,5.94016,1.68791,6.0168,-45.66243,0.2139,8.90839,0.47446,1.21844,71.53969,-10.193473,0.299943,0.48749,,,,,,,,,,,,-5.0254,1.12803,-1.59028,50,5.77493,2.27352,-113.68191,-4.95492,-6.47987,23.6967,-30.71953,QUI_HAW,MCK_MCK,QUBaseballStadium,D2,Team,20260403-QUBaseballStadium-1,fadcbf10-2f86-11f1-9893-e5d15fcfe52f,77.31942,,,6.80947,,,,,,,416fdf71-7339-409a-b236-71a991fd1961,2026-04-03,18:00:19.08,2026-04-03T13:00:19.0850048-05:00,2026-04-03T18:00:19.0850048Z,,v3,643-145659,643-145292,,"Mendiola, Patrick",1000090289,Right,QUI_HAW,104e8812-2cf1-49f8-9450-b5b265ec8397,54.48178,-114.61232,11.84835,5.9458,-3.74878,-15.35976,-1.68454,2.52794,-3.23994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-03,13:00:39.09,2,4,"Ruffner, Kade",808775,Right,QUI_HAW,"Deaver, Gabriel",1000162633,Left,MCK_MCK,Undefined,1,Top,1,2,1,FourSeamFastBall,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,90.42611,-1.480483,-1.429729,2181.995166,217.631398,1:15,6.192,1.37616,6.57237,-16.62883,16.64855,12.02288,3.44853,1.06731,82.66279,-4.677383,0.755973,0.415189,,,,,,,,,,,,-6.65453,9.45678,-1.28219,50,6.08281,2.79825,-131.43215,-3.82052,-11.63666,27.93492,-15.63717,QUI_HAW,MCK_MCK,QUBaseballStadium,D2,Team,20260403-QUBaseballStadium-1,06caa3f0-2f87-11f1-9893-e5d15fcfe52f,90.78377,,,7.76333,,,,,,,416fdf71-7339-409a-b236-71a991fd1961,2026-04-03,18:00:39.09,2026-04-03T13:00:39.0915072-05:00,2026-04-03T18:00:39.0915072Z,,v3,643-145659,643-145292,,"Mendiola, Patrick",1000090289,Right,QUI_HAW,100cebf3-c054-4cbc-98d4-6e061a6634a7,53.92453,-132.26365,13.96746,6.18961,-3.35507,-7.81858,-1.37064,3.14462,-5.81833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-03,13:01:00.61,2,5,"Ruffner, Kade",808775,Right,QUI_HAW,"Deaver, Gabriel",1000162633,Left,MCK_MCK,Undefined,1,Top,1,2,2,FourSeamFastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.39528,-2.738643,-2.163532,2220.94412,215.141803,1:15,6.24335,1.04331,6.39065,-15.68812,17.14084,11.33339,2.41337,-0.00314,83.71212,-5.741881,-0.111124,0.412382,67.81042,31.772932,-150.424452,2669.916428,-100.69907,22.22447,-44.26799,147.7235,43.98725,-157.977428,2.240441,-6.52587,10.02662,-0.89284,50,6.0389,4.56053,-132.69629,-6.77368,-11.64592,28.16397,-14.28071,QUI_HAW,MCK_MCK,QUBaseballStadium,D2,Team,20260403-QUBaseballStadium-1,139c0b00-2f87-11f1-9893-e5d15fcfe52f,91.40172,27.4531,,7.68316,,,,0.87393,2.33327,0.0714,416fdf71-7339-409a-b236-71a991fd1961,2026-04-03,18:01:00.61,2026-04-03T13:01:00.6191616-05:00,2026-04-03T18:01:00.6191616Z,FlyBall,v3,643-145659,643-145292,,"Mendiola, Patrick",1000090289,Right,QUI_HAW,78ae84c7-c711-492b-9120-c88e43650acf,54.10836,-133.56542,14.08199,6.24114,-6.33298,-7.14036,-1.03913,4.91991,-5.82296,,0.87394,-73.5346,3.25282,1.87483,-0.81317,0.30493,-0.10208,0.02932,-0.0041,2.33326,52.36928,-31.39014,5.05424,-1.14808,0.28252,-0.08111,0.02031,-0.0023,0.07141,-41.73233,11.32687,-2.57992,0.5688,-0.09917,0.01418,-0.00017,-0.00045,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
8,2026-04-03,13:01:22.54,2,6,"Ruffner, Kade",808775,Right,QUI_HAW,"Deaver, Gabriel",1000162633,Left,MCK_MCK,Undefined,1,Top,1,2,2,Slider,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,78.73258,0.516127,-0.640887,3451.985641,252.967243,2:30,6.00447,1.61305,6.01081,-40.58762,4.18477,9.15174,3.10035,1.78195,72.32911,-6.996491,1.007062,0.481589,65.03301,48.749422,-79.718216,4626.735648,7.18357,70.14013,-109.7649,254.83342,64.45973,-92.801988,4.118406,-4.90205,2.41398,-1.5678,50,6.02272,0.94841,-114.4461,-0.2018,-6.50212,21.10537,-28.97212,QUI_HAW,MCK_MCK,QUBaseballStadium,D2,Team,20260403-QUBaseballStadium-1,20bb43f0-2f87-11f1-9893-e5d15fcfe52f,78.26683,70.29698,,6.40347,,,,1.03445,3.05322,-1.78871,416fdf71-7339-409a-b236-71a991fd1961,2026-04-03,18:01:22.54,2026-04-03T13:01:22.5443840-05:00,2026-04-03T18:01:22.5443840Z,Popup,v3,643-145659,643-145292,,"Mendiola, Patrick",1000090289,Right,QUI_HAW,27e19632-e09e-45a4-8fe7-6b310560c1f0,54.48851,-115.27087,10.55268,6.00848,0.93039,-14.48606,-1.60982,1.2025,-3.25106,,1.03237,11.27544,-5.69818,1.28163,-0.39393,0.04774,0.01245,-0.00429,0.00035,3.03735,72.13391,-23.13588,5.56185,-3.8769,1.57283,-0.33576,0.03547,-0.00143,-1.78581,-62.04229,4.40528,-4.39233,4.46591,-2.67985,0.8248,-0.12584,0.0076,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
9,2026-04-03,13:01:45.49,2,7,"Ruffner, Kade",808775,Right,QUI_HAW,"Deaver, Gabriel",1000162633,Left,MCK_MCK,Undefined,1,Top,1,2,2,Splitter,Changeup,InPlay,Undefined,LineDrive,Single,0,0,,79.15457,-0.747091,-1.912975,1433.545954,242.833258,2:00,5.89745,1.6597,5.95411,-39.1038,6.13634,8.71713,1.94553,0.61139,71.5744,-8.016057,-0.345039,0.484098,96.53123,12.762395,27.921452,2376.771006,94.74748,18.02508,55.88296,232.81175,232.4255,34.772868,2.308993,-5.13418,3.85154,-1.51263,50,5.81631,3.51033,-114.77618,-2.68276,-6.7202,24.96312,-27.1327,QUI_HAW,MCK_MCK,QUBaseballStadium,D2,Team,20260403-QUBaseballStadium-1,2e675390-2f87-11f1-9893-e5d15fcfe52f,77.86115,18.43764,,7.58017,,,,2.48894,2.09698,-0.64639,416fdf71-7339-409a-b236-71a991fd1961,2026-04-03,18:01:45.49,2026-04-03T13:01:45.4963712-05:00,2026-04-03T18:01:45.4963712Z,LineDrive,v3,643-145659,643-145292,,"Mendiola, Patrick",1000090289,Right,QUI_HAW,12464b57-10e7-496a-81d3-9739a3381f47,54.54308,-115.76006,12.48156,5.90097,-1.61338,-13.56635,-1.6562,3.7752,-3.3601,241.673603,2.48894,122.00709,-26.52691,6.10307,-1.36152,0.26192,-0.04606,0.00619,-0.00043,2.09698,31.276,-15.89426,0.8859,0.00795,-0.02581,0.00964,-0.00156,9E-05,-0.64639,64.65814,-1.08173,-1.89369,0.81789,-0.24073,0.05308,-0.00777,0.00053,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2026-04-03,13:02:22.31,3,1,"Ruffner, Kade",808775,Right,QUI_HAW,"Meuli, Max",10313996,Right,MCK_MCK,Undefined,1,Top,1,0,0,Splitter,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,78.30531,0.068318,-2.020781,1939.888855,21.682337,6:45,6.0064,1.61286,6.1521,-57.772,-11.82005,-5.35477,1.25523,-0.70121,71.19016,-10.552697,-2.9892,0.487892,,,,,,,,,,,,2.08547,-5.70044,-1.45652,50,5.98235,4.20182,-113.65083,-1.66072,2.66716,25.13698,-39.46439,QUI_HAW,MCK_MCK,QUBaseballStadium,D2,Team,20260403-QUBaseballStadium-1,44515f70-2f87-11f1-9893-e5d15fcfe52f,77.25575,,,7.11515,,,,,,,416fdf71-7339-409a-b236-71a991fd1961,2026-04-03,18:02:22.31,2026-04-03T13:02:22.3124992-05:00,2026-04-03T18:02:22.3124992Z,,v3,643-145659,643-145292,,"Mendiola, Patrick",1000090289,Right,QUI_HAW,f818c84c-960d-4821-81e5-47af559d0f52,54.34814,-114.6085,12.56849,6.01698,-0.15719,-19.7322,-1.61467,4.10021,1.33358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
