PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-03,16:23:11.08,1,1,"Deremer, Drew",1000158142,Right,MUR_RAC,"Davis, Charlie",838950,Left,BEL_BRU,Undefined,1,Top,0,0,0,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.7308,-0.210081,0.039177,2312.836667,226.64189,1:30,5.74527,1.24039,5.52972,-16.6391,18.91312,18.46564,4.16227,2.81582,80.207,-3.432421,3.329445,0.429146,,,,,,,,,,,,-9.14445,9.9676,-1.25582,50,5.71642,-0.97556,-131.23796,-0.95706,-15.40835,36.5287,-15.37871,MUR_RAC,BEL_BRU,ReaganField,D1,MVC,20260403-ReaganField-2,5157cf80-2fa3-11f1-a6b9-a74c04d9f0d5,87.83134,,,10.5238,,,,,,,1bbe57a3-ff01-4081-a4b7-4b7034274245,2026-04-03,21:23:11.08,2026-04-03T16:23:11.0808064-05:00,2026-04-03T21:23:11.0808064Z,,v3,471368,471514,702c765c7b114cbbb5c0aeb445379d93,"Guthrie, Kingsley",1000115784,Right,MUR_RAC,75845b35-2d6b-40d1-a8ee-28f40fce67be,54.96759,-132.61343,18.26435,5.74156,-0.37798,-7.68935,-1.23001,-0.39536,-7.70418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-03,16:23:29.97,1,2,"Deremer, Drew",1000158142,Right,MUR_RAC,"Davis, Charlie",838950,Left,BEL_BRU,Undefined,1,Top,0,1,0,Undefined,Sinker,InPlay,Undefined,FlyBall,HomeRun,0,1,,90.17831,-2.188759,-2.849513,2308.182686,223.554093,1:30,5.69122,1.06016,5.56694,-17.03151,19.05942,16.64245,2.22352,-0.21736,79.63799,-5.48256,0.115658,0.432385,100.53103,38.644307,28.164812,3649.53237,96.78893,82.23321,52.26757,368.27483,355.69965,27.499236,5.715076,-9.49178,10.88544,-0.82531,50,5.49149,5.72064,-130.23251,-5.47904,-15.72256,36.389,-14.14297,MUR_RAC,BEL_BRU,ReaganField,D1,MVC,20260403-ReaganField-2,5c9ddba0-2fa3-11f1-a6b9-a74c04d9f0d5,87.17337,118.15658,,10.54032,,,,2.46919,2.37253,0.24997,1bbe57a3-ff01-4081-a4b7-4b7034274245,2026-04-03,21:23:29.97,2026-04-03T16:23:29.9769344-05:00,2026-04-03T21:23:29.9769344Z,FlyBall,v3,471368,471514,702c765c7b114cbbb5c0aeb445379d93,"Guthrie, Kingsley",1000115784,Right,MUR_RAC,3ba68526-b656-412a-aea6-4215be949766,54.93346,-131.60378,18.1945,5.68792,-4.94608,-7.07149,-1.05204,6.31312,-7.86128,187.675557,2.47708,101.36283,-21.98444,4.98136,-0.53541,-0.05768,0.02847,-0.00361,0.00016,2.3682,92.15111,-21.7342,1.99891,-0.38267,0.0449,0.00264,-0.00123,8E-05,0.25208,54.3194,-9.93427,1.97518,-0.28765,0.02816,-0.00228,0.00023,-1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
3,2026-04-03,16:24:17.17,2,1,"Deremer, Drew",1000158142,Right,MUR_RAC,"Godsey, Landon",838966,Right,BEL_BRU,Undefined,1,Top,0,0,0,Undefined,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,87.17216,-2.672014,-2.380498,2385.704126,181.105464,12:00,5.63379,1.04147,5.68559,-30.4586,6.95122,0.10984,0.60078,-1.16974,79.6292,-8.274714,-2.360853,0.440214,,,,,,,,,,,,-0.77319,4.68173,-0.84086,50,5.38916,5.24667,-126.31726,-6.95094,-1.23934,27.63625,-24.66967,MUR_RAC,BEL_BRU,ReaganField,D1,MVC,20260403-ReaganField-2,78c2e7d0-2fa3-11f1-a6b9-a74c04d9f0d5,85.62293,,,7.54296,,,,,,,1bbe57a3-ff01-4081-a4b7-4b7034274245,2026-04-03,21:24:17.17,2026-04-03T16:24:17.1724800-05:00,2026-04-03T21:24:17.1724800Z,,v3,471368,471514,702c765c7b114cbbb5c0aeb445379d93,"Guthrie, Kingsley",1000115784,Right,MUR_RAC,e15ac7d9-0d51-4a98-a848-371f88c9f79a,54.82004,-127.36745,13.81812,5.63548,-6.01348,-12.33484,-1.04113,5.29376,-0.61967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-03,16:24:37.31,2,2,"Deremer, Drew",1000158142,Right,MUR_RAC,"Godsey, Landon",838966,Right,BEL_BRU,Undefined,1,Top,0,1,0,Undefined,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.32384,-0.843349,-1.328299,2236.381549,182.213195,12:00,5.72905,1.02025,5.6743,-33.4397,5.65067,0.16614,2.1558,-0.20462,77.49652,-7.022372,-1.29858,0.449993,,,,,,,,,,,,-0.49791,3.5165,-0.90816,50,5.63681,2.86288,-123.76445,-2.96857,-0.76347,27.32945,-26.78187,MUR_RAC,BEL_BRU,ReaganField,D1,MVC,20260403-ReaganField-2,84c67790-2fa3-11f1-a6b9-a74c04d9f0d5,83.76219,,,7.82733,,,,,,,1bbe57a3-ff01-4081-a4b7-4b7034274245,2026-04-03,21:24:37.31,2026-04-03T16:24:37.3172224-05:00,2026-04-03T21:24:37.3172224Z,,v3,471368,471514,702c765c7b114cbbb5c0aeb445379d93,"Guthrie, Kingsley",1000115784,Right,MUR_RAC,4ec36925-cb2d-4f4b-b669-f0ad419260c4,54.82975,-124.82639,13.66472,5.73195,-1.9279,-13.39094,-1.01998,2.89255,-0.38174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-03,16:24:55.41,2,3,"Deremer, Drew",1000158142,Right,MUR_RAC,"Godsey, Landon",838966,Right,BEL_BRU,Undefined,1,Top,0,1,1,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.15234,-2.295256,-1.342014,2212.743349,226.795124,1:30,5.69777,1.03396,5.54144,-18.65355,16.88312,16.53942,1.99617,1.15762,80.96127,-5.832642,1.607598,0.429052,,,,,,,,,,,,-8.87945,9.70508,-0.92913,50,5.48662,2.32575,-130.5534,-5.82974,-15.00994,32.75513,-15.76846,MUR_RAC,BEL_BRU,ReaganField,D1,MVC,20260403-ReaganField-2,8f87c350-2fa3-11f1-a6b9-a74c04d9f0d5,87.85052,,,9.19107,,,,,,,1bbe57a3-ff01-4081-a4b7-4b7034274245,2026-04-03,21:24:55.41,2026-04-03T16:24:55.4101248-05:00,2026-04-03T21:24:55.4101248Z,,v3,471368,471514,702c765c7b114cbbb5c0aeb445379d93,"Guthrie, Kingsley",1000115784,Right,MUR_RAC,7b6d0bb5-8e92-4120-aad4-e9cd687929fc,54.96278,-131.79265,16.37757,5.6959,-5.23316,-7.88423,-1.02787,2.89364,-7.50497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-03,16:25:13.60,2,4,"Deremer, Drew",1000158142,Right,MUR_RAC,"Godsey, Landon",838966,Right,BEL_BRU,Undefined,1,Top,0,2,1,Undefined,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,75.00425,4.97648,1.397492,2390.415129,38.246483,7:15,5.83946,0.86613,5.1256,-62.22921,-10.27634,-9.50914,5.3546,1.39035,67.73608,-6.314682,-0.281497,0.518772,,,,,,,,,,,,5.10162,-5.99366,-0.98991,50,6.2604,-2.25955,-108.3735,7.2677,6.00557,20.73765,-39.22972,MUR_RAC,BEL_BRU,ReaganField,D1,MVC,20260403-ReaganField-2,9a6e4a50-2fa3-11f1-a6b9-a74c04d9f0d5,72.65711,,,7.26818,,,,,,,1bbe57a3-ff01-4081-a4b7-4b7034274245,2026-04-03,21:25:13.60,2026-04-03T16:25:13.6012288-05:00,2026-04-03T21:25:13.6012288Z,,v3,471368,471514,702c765c7b114cbbb5c0aeb445379d93,"Guthrie, Kingsley",1000115784,Right,MUR_RAC,73c8c200-e168-4bb3-b9a7-caba5a247b78,55.38083,-109.39829,10.36883,5.85335,9.20632,-19.61486,-0.87091,-2.55633,3.00279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-03,16:25:31.48,2,5,"Deremer, Drew",1000158142,Right,MUR_RAC,"Godsey, Landon",838966,Right,BEL_BRU,Undefined,1,Top,0,3,1,Undefined,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,85.53251,-2.007251,-1.141235,2237.632197,198.511209,12:30,5.73054,0.75259,5.45794,-30.90013,8.33949,2.33508,1.27527,-0.12135,77.78373,-7.697619,-0.725029,0.450852,,,,,,,,,,,,-1.54697,5.19166,-0.6536,50,5.53222,2.3729,-123.9916,-5.42043,-2.38087,27.42571,-24.18383,MUR_RAC,BEL_BRU,ReaganField,D1,MVC,20260403-ReaganField-2,a5218c50-2fa3-11f1-a6b9-a74c04d9f0d5,83.60273,,,7.74878,,,,,,,1bbe57a3-ff01-4081-a4b7-4b7034274245,2026-04-03,21:25:31.48,2026-04-03T16:25:31.4828800-05:00,2026-04-03T21:25:31.4828800Z,,v3,471368,471514,702c765c7b114cbbb5c0aeb445379d93,"Guthrie, Kingsley",1000115784,Right,MUR_RAC,7d0b5d51-a4e0-442d-9cc1-ebf5e6a2776e,55.04744,-125.10306,13.71285,5.73203,-4.44035,-12.09191,-0.75172,2.46939,-1.19044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-03,16:25:51.45,2,6,"Deremer, Drew",1000158142,Right,MUR_RAC,"Godsey, Landon",838966,Right,BEL_BRU,Undefined,1,Top,0,3,2,Undefined,Slider,BallCalled,Walk,Undefined,Undefined,0,0,,84.73816,-2.00582,-1.856667,2207.704178,231.489258,1:45,5.69943,0.97416,5.49291,-35.95683,4.45607,3.66193,0.82472,-0.45831,76.3418,-8.618241,-1.20342,0.457543,,,,,,,,,,,,-2.50354,3.34457,-0.81404,50,5.49934,3.82249,-122.65109,-5.5565,-3.72528,29.49679,-27.19732,MUR_RAC,BEL_BRU,ReaganField,D1,MVC,20260403-ReaganField-2,b0f8dbf0-2fa3-11f1-a6b9-a74c04d9f0d5,82.38018,,,8.39636,,,,,,,1bbe57a3-ff01-4081-a4b7-4b7034274245,2026-04-03,21:25:51.45,2026-04-03T16:25:51.4577408-05:00,2026-04-03T21:25:51.4577408Z,,v3,471368,471514,702c765c7b114cbbb5c0aeb445379d93,"Guthrie, Kingsley",1000115784,Right,MUR_RAC,8c24412c-e6cb-40ca-9372-07e0be34a8b5,55.01059,-123.85024,14.74839,5.70276,-4.45083,-13.59866,-0.97252,3.97394,-1.86264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-03,16:26:58.13,3,1,"Deremer, Drew",1000158142,Right,MUR_RAC,"Holbrook, Brady",838948,Left,BEL_BRU,Undefined,1,Top,0,0,0,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.11995,0.328775,-0.15958,1393.491755,253.527845,2:30,5.43622,1.72224,5.94975,-33.74415,6.39823,16.5991,2.92918,2.95747,75.62848,-5.977148,2.824167,0.456009,,,,,,,,,,,,-8.47233,3.63705,-1.71835,50,5.44395,-0.34684,-121.98832,-0.39237,-12.49927,28.68382,-26.80831,MUR_RAC,BEL_BRU,ReaganField,D1,MVC,20260403-ReaganField-2,d8b6cf30-2fa3-11f1-a6b9-a74c04d9f0d5,82.65731,,,8.49147,,,,,,,1bbe57a3-ff01-4081-a4b7-4b7034274245,2026-04-03,21:26:58.13,2026-04-03T16:26:58.1364224-05:00,2026-04-03T21:26:58.1364224Z,,v3,471368,471514,702c765c7b114cbbb5c0aeb445379d93,"Guthrie, Kingsley",1000115784,Right,MUR_RAC,32e7ef79-9173-4064-bb96-79797f6149d2,54.55171,-123.05394,14.34191,5.44003,0.60358,-13.40415,-1.71409,0.11751,-6.24963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-03,16:27:19.08,3,2,"Deremer, Drew",1000158142,Right,MUR_RAC,"Holbrook, Brady",838948,Left,BEL_BRU,Undefined,1,Top,0,1,0,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.3328,0.112382,-1.603714,1491.428344,264.602893,2:45,5.43985,1.46036,5.89708,-36.83411,3.28736,18.65788,2.47473,1.52574,75.69104,-6.74219,1.747974,0.45589,,,,,,,,,,,,-10.02103,2.12063,-1.3415,50,5.42825,2.64736,-122.24205,-0.99048,-14.81085,29.31758,-29.03982,MUR_RAC,BEL_BRU,ReaganField,D1,MVC,20260403-ReaganField-2,e53a8b70-2fa3-11f1-a6b9-a74c04d9f0d5,82.67888,,,8.64176,,,,,,,1bbe57a3-ff01-4081-a4b7-4b7034274245,2026-04-03,21:27:19.08,2026-04-03T16:27:19.0851072-05:00,2026-04-03T21:27:19.0851072Z,,v3,471368,471514,702c765c7b114cbbb5c0aeb445379d93,"Guthrie, Kingsley",1000115784,Right,MUR_RAC,593f4651-65b6-4acc-9f72-9e08cf122abb,54.60537,-123.34162,14.65879,5.44498,0.09867,-14.51991,-1.4512,3.20285,-7.40542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
