PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-03,15:17:48.61,1,1,"Swanson, Deron",830354,Left,TOL_ROC,"Hale, John",1000362095,Right,EMU_EAG,Undefined,1,Top,0,0,0,Fastball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOL_ROC,EMU_EAG,ScottPark,D1,MAC,20260403-ScottPark-2,c9fa1810-2f91-11f1-88bd-99cccfd2d7dc,,,,,,,,,,,742579c4-7850-4f43-8107-4d8f32e82af9,2026-04-03,19:17:48.61,2026-04-03T15:17:48.6112640-04:00,2026-04-03T19:17:48.6112640Z,,v3,471468,471289,19437,"McCaleb, Carson",839371,Right,TOL_ROC,ea2aba55-0cb8-45ff-98d0-9a2d19b205ee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-04-03,15:17:49.61,1,2,"Swanson, Deron",830354,Left,TOL_ROC,"Hale, John",1000362095,Right,EMU_EAG,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.97194,-2.386496,3.915596,2326.118647,140.155721,10:45,5.49904,-1.97683,5.62435,-15.30556,21.50363,-16.67513,1.99014,0.29306,79.03727,-5.369883,0.9466,0.436666,,,,,,,,,,,,9.82422,12.14993,1.65363,50,5.2859,-8.04286,-128.44282,-5.7694,15.95284,33.53549,-12.44468,TOL_ROC,EMU_EAG,ScottPark,D1,MAC,20260403-ScottPark-2,ce3577d0-2f91-11f1-88bd-99cccfd2d7dc,86.31863,,,9.93467,,,,,,,742579c4-7850-4f43-8107-4d8f32e82af9,2026-04-03,19:17:49.61,2026-04-03T15:17:49.6112640-04:00,2026-04-03T19:17:49.6112640Z,,v3,471468,471289,19437,"McCaleb, Carson",839371,Right,TOL_ROC,0e1740fd-4fc0-48ff-be11-a5688fac9727,54.86953,-129.70798,16.76774,5.4947,-5.29991,-6.22234,1.96841,-8.6447,7.97642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-03,15:18:03.31,1,3,"Swanson, Deron",830354,Left,TOL_ROC,"Hale, John",1000362095,Right,EMU_EAG,Undefined,1,Top,0,1,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.96252,-1.756183,3.99949,2347.929232,143.975531,10:45,5.53713,-1.82303,5.75928,-14.71391,22.28505,-15.01347,2.67184,0.65456,78.17138,-4.668881,1.320672,0.43779,53.07742,68.236367,147.654751,4195.110396,,,,,21.84626,,,9.17965,12.44701,1.50034,50,5.38291,-8.30296,-128.3422,-4.29609,14.71557,36.1719,-12.22071,TOL_ROC,EMU_EAG,ScottPark,D1,MAC,20260403-ScottPark-2,d662d240-2f91-11f1-88bd-99cccfd2d7dc,86.09699,45.10758,,10.79114,,,,1.32108,2.79546,-0.63996,742579c4-7850-4f43-8107-4d8f32e82af9,2026-04-03,19:18:03.31,2026-04-03T15:18:03.3166848-04:00,2026-04-03T19:18:03.3166848Z,,v3,471468,471289,19437,"McCaleb, Carson",839371,Right,TOL_ROC,a2243bf9-9fc6-40c5-b319-bb23b7f68983,54.73265,-129.66919,18.08595,5.53229,-3.84776,-6.11035,1.81484,-8.84281,7.35779,357.457722,1.32109,-24.3863,-1.20061,0.54176,0.99954,-1.93977,1.78847,-0.84581,0.15641,2.79546,72.29751,-25.95917,2.72689,-0.0752,-0.65052,0.59667,-0.24329,0.03128,-0.63995,15.44262,0.08108,-0.07809,0.17063,-0.24891,0.20856,-0.08809,0.0131,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
4,2026-04-03,15:18:20.03,1,4,"Swanson, Deron",830354,Left,TOL_ROC,"Hale, John",1000362095,Right,EMU_EAG,Undefined,1,Top,0,1,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.66593,1.217458,2.074981,1845.088171,99.970114,9:15,5.27986,-2.15774,5.50877,-35.79466,5.40634,-22.15714,3.4364,-2.06288,75.21054,-5.414136,-1.872478,0.461982,,,,,,,,,,,,11.75595,2.7911,1.99163,50,5.36255,-3.43602,-121.19914,1.33555,17.17472,27.62415,-28.09644,TOL_ROC,EMU_EAG,ScottPark,D1,MAC,20260403-ScottPark-2,e05646b0-2f91-11f1-88bd-99cccfd2d7dc,81.58849,,,8.45539,,,,,,,742579c4-7850-4f43-8107-4d8f32e82af9,2026-04-03,19:18:20.03,2026-04-03T15:18:20.0371712-04:00,2026-04-03T19:18:20.0371712Z,,v3,471468,471289,19437,"McCaleb, Carson",839371,Right,TOL_ROC,bb59b602-d9a0-4a2d-be71-730e440c42a9,54.98726,-122.33057,13.81207,5.28428,2.48633,-14.04822,2.14677,-4.13946,8.58736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,Medium,Medium,,,,,
5,2026-04-03,15:18:33.80,1,5,"Swanson, Deron",830354,Left,TOL_ROC,"Hale, John",1000362095,Right,EMU_EAG,Undefined,1,Top,0,2,2,ChangeUp,Changeup,InPlay,Undefined,LineDrive,Single,0,0,,82.76568,-0.809606,4.070834,1821.164383,106.666432,9:30,5.29809,-2.23683,5.6053,-33.58246,8.80926,-23.77238,1.74185,-0.41145,73.96082,-7.065039,-0.165973,0.468611,76.90075,18.32657,-21.252981,1555.169703,102.69411,21.78984,-39.4193,208.71787,206.91681,-21.313895,2.414494,13.49198,5.20886,1.90402,50,5.20734,-7.53391,-119.63576,-2.79489,19.04794,28.6475,-24.82018,TOL_ROC,EMU_EAG,ScottPark,D1,MAC,20260403-ScottPark-2,e8941be0-2f91-11f1-88bd-99cccfd2d7dc,80.43447,21.78493,,8.80486,,,,2.31324,1.88421,0.4385,742579c4-7850-4f43-8107-4d8f32e82af9,2026-04-03,19:18:33.80,2026-04-03T15:18:33.8069504-04:00,2026-04-03T19:18:33.8069504Z,LineDrive,v3,471468,471289,19437,"McCaleb, Carson",839371,Right,TOL_ROC,dfe3b48a-db0e-4d5e-b85e-4d7ded710c12,54.89134,-120.80134,14.32375,5.30051,-1.78503,-12.41009,2.22631,-8.30891,9.52397,164.036427,2.31332,99.78086,-13.21823,2.96449,-0.56152,0.12877,-0.04926,0.01365,-0.00148,1.88413,35.46821,-16.64586,0.87113,-0.12236,-0.00889,0.02507,-0.00804,0.00089,0.43854,-38.81204,3.95442,-0.51465,0.04546,0.02121,-0.0183,0.00558,-0.00063,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2026-04-03,15:19:07.92,2,1,"Swanson, Deron",830354,Left,TOL_ROC,"Jellison, Bruce",1000230762,Right,EMU_EAG,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.87625,0.056193,3.297508,2124.869003,124.291376,10:15,5.38118,-2.18405,5.83502,-24.10068,12.50721,-16.49678,3.42511,-0.49048,79.55718,-4.475117,0.345303,0.435471,,,,,,,,,,,,9.37036,6.73528,1.92451,50,5.37173,-6.63078,-127.36766,-0.6488,15.26559,28.17719,-21.20141,TOL_ROC,EMU_EAG,ScottPark,D1,MAC,20260403-ScottPark-2,fce00820-2f91-11f1-88bd-99cccfd2d7dc,86.55566,,,8.31907,,,,,,,742579c4-7850-4f43-8107-4d8f32e82af9,2026-04-03,19:19:07.92,2026-04-03T15:19:07.9298560-04:00,2026-04-03T19:19:07.9298560Z,,v3,471468,471289,19437,"McCaleb, Carson",839371,Right,TOL_ROC,eeafd193-6303-4406-92c2-ec82a26447f1,54.66143,-128.39476,14.08859,5.38129,0.12401,-10.6007,2.17635,-7.18723,7.6328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-03,15:19:22.50,2,2,"Swanson, Deron",830354,Left,TOL_ROC,"Jellison, Bruce",1000230762,Right,EMU_EAG,Undefined,1,Top,0,0,1,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,75.4111,2.138875,2.628506,2134.930574,339.608375,5:15,5.70852,-2.26651,5.31093,-55.05121,-5.08103,2.42165,3.13154,0.40417,69.73935,-7.836443,3.057901,0.508776,,,,,,,,,,,,-0.53472,-2.6565,2.0262,50,5.8625,-5.11584,-109.42731,2.24761,-0.65286,18.05838,-35.41742,TOL_ROC,EMU_EAG,ScottPark,D1,MAC,20260403-ScottPark-2,05a42450-2f92-11f1-88bd-99cccfd2d7dc,74.0845,,,5.67175,,,,,,,742579c4-7850-4f43-8107-4d8f32e82af9,2026-04-03,19:19:22.50,2026-04-03T15:19:22.5060864-04:00,2026-04-03T19:19:22.5060864Z,,v3,471468,471289,19437,"McCaleb, Carson",839371,Right,TOL_ROC,43be8aaa-1755-415d-87a3-8b85ec7eba23,55.18987,-110.28045,9.02919,5.71679,3.92085,-17.70871,2.26716,-5.085,-0.32643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-03,15:19:37.41,2,3,"Swanson, Deron",830354,Left,TOL_ROC,"Jellison, Bruce",1000230762,Right,EMU_EAG,Undefined,1,Top,0,0,2,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,77.90768,-0.468268,3.790037,2123.109986,330.016693,5:00,5.6199,-2.31056,5.42585,-48.07333,-1.14063,1.48417,1.17424,1.36806,71.9589,-9.182398,4.053639,0.493071,,,,,,,,,,,,0.29323,-0.17449,1.97292,50,5.54421,-7.53755,-112.95442,-2.51135,0.37884,20.58288,-32.39946,TOL_ROC,EMU_EAG,ScottPark,D1,MAC,20260403-ScottPark-2,0e784610-2f92-11f1-88bd-99cccfd2d7dc,76.4443,,,5.94878,,,,,,,742579c4-7850-4f43-8107-4d8f32e82af9,2026-04-03,19:19:37.41,2026-04-03T15:19:37.4129664-04:00,2026-04-03T19:19:37.4129664Z,,v3,471468,471289,19437,"McCaleb, Carson",839371,Right,TOL_ROC,9996fb11-8711-4372-aea3-9d1f5bba3cc1,55.07558,-113.87555,10.29144,5.62415,-1.0614,-16.19973,2.31062,-7.5545,0.18942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-03,15:19:52.60,2,4,"Swanson, Deron",830354,Left,TOL_ROC,"Jellison, Bruce",1000230762,Right,EMU_EAG,Undefined,1,Top,0,1,2,Fastball,Sinker,InPlay,Undefined,LineDrive,Single,0,0,,89.79667,-1.571367,3.978772,2240.218074,129.06061,10:15,5.44432,-2.00377,5.64062,-20.18812,15.25584,-17.2528,2.29221,0.27609,81.21119,-5.378655,0.905205,0.428492,86.59367,14.435482,19.534023,3047.585491,101.57936,16.53309,42.20914,203.34561,203.25996,25.624059,1.992038,9.97902,8.58032,1.67673,50,5.29795,-8.2795,-129.96417,-4.22706,16.89928,29.74723,-17.64346,TOL_ROC,EMU_EAG,ScottPark,D1,MAC,20260403-ScottPark-2,1787c320-2f92-11f1-88bd-99cccfd2d7dc,87.96538,16.57575,,8.58547,,,,1.04585,2.18612,-0.31503,742579c4-7850-4f43-8107-4d8f32e82af9,2026-04-03,19:19:52.60,2026-04-03T15:19:52.6074880-04:00,2026-04-03T19:19:52.6074880Z,LineDrive,v3,471468,471289,19437,"McCaleb, Carson",839371,Right,TOL_ROC,7d2421cf-2ba1-4155-8d7e-284241fe6f11,54.85681,-131.07112,14.87362,5.44303,-3.57052,-8.82173,1.99652,-8.90836,8.44964,258.818582,1.04586,115.91463,-18.11511,4.17309,-0.87695,0.1938,-0.05042,0.01304,-0.00182,2.18611,31.66121,-18.55299,1.43039,-0.20237,-0.05194,0.07729,-0.03499,0.00565,-0.31503,41.12514,2.01175,-0.33072,0.09787,-0.03672,0.01759,-0.00585,0.00082,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2026-04-03,15:20:23.56,3,1,"Swanson, Deron",830354,Left,TOL_ROC,"Zirwas, Devan",824578,Left,EMU_EAG,Undefined,1,Top,0,0,0,Curveball,Curveball,InPlay,Undefined,GroundBall,Out,1,0,,76.60867,1.666309,2.355058,2223.341126,352.616535,5:45,5.7113,-2.20912,5.33599,-56.39598,-7.58874,1.18398,2.57668,0.10024,70.27494,-8.567527,2.565365,0.502821,41.68636,-15.12955,42.543468,,,,,6.97762,1.87135,38.002967,0.114751,0.08681,-3.83284,1.99561,50,5.82106,-4.61569,-111.11493,1.31375,0.10812,20.62253,-36.94755,TOL_ROC,EMU_EAG,ScottPark,D1,MAC,20260403-ScottPark-2,2a057f10-2f92-11f1-88bd-99cccfd2d7dc,74.96193,1.84482,,6.33373,,,,0.47111,1.84482,-0.31738,742579c4-7850-4f43-8107-4d8f32e82af9,2026-04-03,19:20:23.56,2026-04-03T15:20:23.5679232-04:00,2026-04-03T19:20:23.5679232Z,GroundBall,v3,471468,471289,19437,"McCaleb, Carson",839371,Right,TOL_ROC,961cb72f-624e-4b02-93ab-9baeb5eb9175,55.16426,-112.0693,10.31126,5.7207,3.02361,-18.47377,2.20933,-4.6207,0.05406,180,0.46511,43.80901,,,,,,,,1.84702,-16.0768,,,,,,,,-0.32288,40.20475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
