PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-03,18:05:38.17,1,1,"Gregson, Nic",801585,Right,CSD_TRI,"Zeigler-Namoa, Ben",823772,Left,HAW_WAR,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.38825,-2.086186,-3.336759,2419.340067,192.071465,12:30,5.60584,2.32827,6.88103,-11.70737,20.35694,4.10398,2.72517,-0.37373,83.212,-4.422994,-2.588508,0.407551,57.12209,41.418178,-146.965255,3787.855056,-97.02055,26.87739,-51.83641,146.32682,58.9262,-152.585639,2.703697,-3.26795,11.83335,-2.11807,50,5.46871,7.65231,-133.96266,-5.09962,-5.84082,33.385,-11.02437,CSD_TRI,HAW_WAR,UCSanDiego,D1,BW,20260403-UCSanDiego-1,6536ff20-2fc2-11f1-82a1-414efb4df594,92.48516,36.06816,,9.17626,,,,1.04003,2.7738,0.38948,faae1a53-01d7-4345-afe8-3877cccdfa31,2026-04-04,01:05:38.17,2026-04-03T18:05:38.1738496-07:00,2026-04-04T01:05:38.1738496Z,Popup,v3,643-146028,471311,70102baa57064b07b1bd520d11651a8e,"Martinez, Trevian",1000111252,Right,CSD_TRI,755d2206-bc4c-4cfd-ad7e-c45d5b254275,53.6164,-134.86089,16.6925,5.60193,-4.80301,-5.51219,-2.32608,7.80947,-2.92041,32.127495,1.04002,-52.66926,1.70121,0.10681,-0.11721,0.03171,-0.00415,-7E-05,0.0001,2.77382,55.42314,-26.04084,3.00632,-0.56656,0.07431,-0.00408,-0.001,0.00018,0.3894,-34.24566,6.81911,-2.01875,0.30521,0.06658,-0.06172,0.01678,-0.00163,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
2,2026-04-03,18:06:02.80,1,2,"Gregson, Nic",801585,Right,CSD_TRI,"Zeigler-Namoa, Ben",823772,Left,HAW_WAR,Undefined,1,Top,0,0,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.26247,-2.324688,-3.112497,1903.483372,213.741587,1:00,5.57323,2.34685,6.39961,-18.59284,17.08942,10.5619,1.88164,0.36184,79.8267,-5.895013,-1.201792,0.42993,,,,,,,,,,,,-6.49445,10.0239,-2.12806,50,5.3976,6.54093,-127.92126,-5.68947,-10.62375,29.53699,-15.77671,CSD_TRI,HAW_WAR,UCSanDiego,D1,BW,20260403-UCSanDiego-1,73cc3640-2fc2-11f1-82a1-414efb4df594,87.67115,,,8.43577,,,,,,,faae1a53-01d7-4345-afe8-3877cccdfa31,2026-04-04,01:06:02.80,2026-04-03T18:06:02.8069888-07:00,2026-04-04T01:06:02.8069888Z,,v3,643-146028,471311,70102baa57064b07b1bd520d11651a8e,"Martinez, Trevian",1000111252,Right,CSD_TRI,f9af54e1-9a20-49b3-a26a-982399e41565,54.09831,-128.86408,14.76849,5.57117,-5.18587,-7.88835,-2.34226,6.88004,-5.31187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-03,18:06:25.66,1,3,"Gregson, Nic",801585,Right,CSD_TRI,"Zeigler-Namoa, Ben",823772,Left,HAW_WAR,Undefined,1,Top,0,0,2,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,79.55675,3.349156,-2.113256,2972.092746,13.51564,6:30,5.56323,2.19312,5.85806,-60.63602,-15.85773,-4.1761,3.62755,-0.11917,72.23324,-7.75785,-2.861651,0.481621,,,,,,,,,,,,1.45764,-8.62973,-2.01916,50,5.80056,4.41718,-115.31762,4.69844,1.93834,23.93854,-43.64985,CSD_TRI,HAW_WAR,UCSanDiego,D1,BW,20260403-UCSanDiego-1,814946a0-2fc2-11f1-82a1-414efb4df594,78.26166,,,7.32351,,,,,,,faae1a53-01d7-4345-afe8-3877cccdfa31,2026-04-04,01:06:25.66,2026-04-03T18:06:25.6665600-07:00,2026-04-04T01:06:25.6665600Z,,v3,643-146028,471311,70102baa57064b07b1bd520d11651a8e,"Martinez, Trevian",1000111252,Right,CSD_TRI,1d6eaa99-35da-4475-81e7-03397652f404,54.64445,-116.27775,11.96927,5.57701,6.44916,-21.82493,-2.19476,4.33943,0.96917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-03,18:06:49.10,1,4,"Gregson, Nic",801585,Right,CSD_TRI,"Zeigler-Namoa, Ben",823772,Left,HAW_WAR,Undefined,1,Top,0,1,2,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Triple,0,0,,91.95012,-3.006583,-2.520942,2414.267462,197.453141,12:30,5.64682,2.27543,6.89598,-14.84296,17.51603,5.13437,1.66584,0.40531,82.93847,-5.909359,-1.582874,0.40942,102.35279,23.388253,-2.654566,2920.127301,109.6236,45.20325,-9.08486,386.4269,386.4269,-8.177598,4.715407,-3.5613,10.65193,-2.11799,50,5.45129,5.67586,-133.33819,-7.34064,-6.3027,33.20738,-13.32252,CSD_TRI,HAW_WAR,UCSanDiego,D1,BW,20260403-UCSanDiego-1,8f1cdb70-2fc2-11f1-82a1-414efb4df594,92.06307,67.88461,,9.01165,,,,1.49303,1.68369,-0.3999,faae1a53-01d7-4345-afe8-3877cccdfa31,2026-04-04,01:06:49.10,2026-04-03T18:06:49.1088896-07:00,2026-04-04T01:06:49.1088896Z,LineDrive,v3,643-146028,471311,70102baa57064b07b1bd520d11651a8e,"Martinez, Trevian",1000111252,Right,CSD_TRI,9ebd1603-a83a-4fe0-bcb1-97880e42a1a4,53.60187,-134.23222,16.60369,5.64409,-6.98196,-6.66126,-2.27308,5.84555,-3.15135,157.976373,1.49249,137.65028,-27.00859,6.42624,-1.31658,0.23771,-0.03694,0.00415,-0.00022,1.68627,59.52555,-12.81654,-1.05157,0.69452,-0.24633,0.05692,-0.00714,0.00036,-0.40019,-6.37258,-4.70943,1.89397,-0.47537,0.08037,-0.00881,0.00061,-2E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2026-04-03,18:08:08.03,2,1,"Gregson, Nic",801585,Right,CSD_TRI,"Shimao, Tate",809935,Right,HAW_WAR,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.90236,-3.790161,-3.163411,2321.635027,193.845386,12:30,5.66654,2.0843,6.74925,-11.93654,20.14769,4.71666,1.19906,-0.41545,84.32271,-6.118886,-2.305206,0.407678,,,,,,,,,,,,-3.37882,12.04709,-1.87834,50,5.41226,7.19152,-133.28715,-9.1022,-6.0909,28.09043,-10.45701,CSD_TRI,HAW_WAR,UCSanDiego,D1,BW,20260403-UCSanDiego-1,bf1d5ed0-2fc2-11f1-82a1-414efb4df594,92.45638,,,7.57965,,,,,,,faae1a53-01d7-4345-afe8-3877cccdfa31,2026-04-04,01:08:08.03,2026-04-03T18:08:08.0300544-07:00,2026-04-04T01:08:08.0300544Z,,v3,643-146028,471311,70102baa57064b07b1bd520d11651a8e,"Martinez, Trevian",1000111252,Right,CSD_TRI,33d41183-4062-4f4c-92d6-bd4cc5fa7ce7,53.75168,-134.07549,14.04521,5.66359,-8.80873,-5.2285,-2.08256,7.36246,-3.04545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-03,18:08:30.83,2,2,"Gregson, Nic",801585,Right,CSD_TRI,"Shimao, Tate",809935,Right,HAW_WAR,Undefined,1,Top,0,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.76888,-1.642217,-3.091702,2377.022033,215.259661,1:15,5.5521,2.26071,6.79236,-16.44761,15.68469,10.35981,2.67989,0.29925,83.78825,-4.814327,-1.203789,0.407983,74.41797,8.312983,84.671068,3926.816933,,,,123.84362,70.13125,87.839741,1.411137,-6.36559,9.08918,-2.06346,50,5.43887,6.80434,-133.28653,-4.2381,-11.43088,29.12213,-15.85233,CSD_TRI,HAW_WAR,UCSanDiego,D1,BW,20260403-UCSanDiego-1,cc8b05e0-2fc2-11f1-82a1-414efb4df594,92.38724,7.43178,,7.98064,,,,0.4846,2.51046,-0.56392,faae1a53-01d7-4345-afe8-3877cccdfa31,2026-04-04,01:08:30.83,2026-04-03T18:08:30.8350464-07:00,2026-04-04T01:08:30.8350464Z,GroundBall,v3,643-146028,471311,70102baa57064b07b1bd520d11651a8e,"Martinez, Trevian",1000111252,Right,CSD_TRI,d8b2cd50-6d81-42b8-beae-e66a8e9829ea,53.70716,-134.09408,14.56107,5.5503,-3.79853,-7.92616,-2.25653,7.12131,-5.71544,,0.4846,10.0306,-6.89022,1.84548,-0.60004,0.39344,-0.31411,0.1512,-0.02944,2.51046,15.78002,-12.77512,0.12604,0.24985,-0.36088,0.34218,-0.16958,0.03326,-0.56392,107.53268,-17.53101,3.38344,-0.66807,0.1811,-0.08705,0.03687,-0.00696,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
7,2026-04-03,18:09:02.63,2,3,"Gregson, Nic",801585,Right,CSD_TRI,"Shimao, Tate",809935,Right,HAW_WAR,Undefined,1,Top,0,1,1,Curveball,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,78.43556,1.663761,-2.76093,2853.788526,12.449414,6:30,5.57902,1.94617,6.0716,-55.7479,-10.02544,-2.55914,2.47515,-0.82391,71.34162,-8.599256,-3.22153,0.486672,80.46291,63.465611,51.485208,6100.899086,36.58594,124.25831,103.73748,168.53359,74.2143,73.150906,5.604904,0.43862,-5.31614,-1.73088,50,5.67831,5.57907,-113.7777,1.56361,0.56644,23.76872,-39.03921,CSD_TRI,HAW_WAR,UCSanDiego,D1,BW,20260403-UCSanDiego-1,dee9ef30-2fc2-11f1-82a1-414efb4df594,77.4494,129.58453,,7.09394,,,,1.69098,2.68814,0.83927,faae1a53-01d7-4345-afe8-3877cccdfa31,2026-04-04,01:09:02.63,2026-04-03T18:09:02.6310144-07:00,2026-04-04T01:09:02.6310144Z,Popup,v3,643-146028,471311,70102baa57064b07b1bd520d11651a8e,"Martinez, Trevian",1000111252,Right,CSD_TRI,3ce69225-bbe2-4d69-9919-34fe382114c9,54.4301,-114.69944,11.88436,5.58832,3.07753,-19.5196,-1.94681,5.5571,0.28322,,1.68199,32.90935,-15.67059,4.4749,-0.29445,-0.30803,0.11705,-0.0168,0.00088,2.66805,105.93113,-28.46,4.69204,-1.59754,0.44199,-0.07319,0.00606,-0.00018,0.83832,41.27134,-4.68214,0.84336,-0.18888,0.06155,-0.01565,0.00213,-0.00011,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
8,2026-04-03,18:09:36.98,2,4,"Gregson, Nic",801585,Right,CSD_TRI,"Shimao, Tate",809935,Right,HAW_WAR,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.52059,-0.352402,-2.581752,2335.337518,194.678591,12:30,5.67169,1.85885,6.79901,-12.26946,20.41974,5.04264,4.32728,-0.07879,82.34973,-2.799849,-1.662655,0.411503,,,,,,,,,,,,-3.48114,11.2232,-1.69311,50,5.64344,5.789,-132.83371,-1.03944,-6.12326,32.57489,-12.43268,CSD_TRI,HAW_WAR,UCSanDiego,D1,BW,20260403-UCSanDiego-1,f36c2db0-2fc2-11f1-82a1-414efb4df594,91.59689,,,9.17086,,,,,,,faae1a53-01d7-4345-afe8-3877cccdfa31,2026-04-04,01:09:36.98,2026-04-03T18:09:36.9868800-07:00,2026-04-04T01:09:36.9868800Z,,v3,643-146028,471311,70102baa57064b07b1bd520d11651a8e,"Martinez, Trevian",1000111252,Right,CSD_TRI,d86973db-d1c8-4761-95ba-1b2d4158d34a,53.69677,-133.73719,16.28744,5.66749,-0.69461,-6.21634,-1.85602,5.95884,-3.06163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-03,18:10:07.05,2,5,"Gregson, Nic",801585,Right,CSD_TRI,"Shimao, Tate",809935,Right,HAW_WAR,Undefined,1,Top,0,2,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.07154,-1.862896,-3.892227,2405.256423,200.237671,12:45,5.67637,1.90842,6.80577,-11.55079,20.80505,7.24063,3.0093,-1.04549,82.98999,-4.169681,-2.575137,0.4094,,,,,,,,,,,,-5.06504,11.93512,-1.65881,50,5.55069,8.79418,-133.43458,-4.55498,-9.00096,32.55135,-10.96437,CSD_TRI,HAW_WAR,UCSanDiego,D1,BW,20260403-UCSanDiego-1,05bb5f90-2fc3-11f1-82a1-414efb4df594,92.06753,,,9.08155,,,,,,,faae1a53-01d7-4345-afe8-3877cccdfa31,2026-04-04,01:10:07.05,2026-04-03T18:10:07.0577664-07:00,2026-04-04T01:10:07.0577664Z,,v3,643-146028,471311,70102baa57064b07b1bd520d11651a8e,"Martinez, Trevian",1000111252,Right,CSD_TRI,c6d0d878-bfc9-4c1f-8108-4c2c54e13783,53.69134,-134.33206,16.27567,5.6721,-4.25268,-5.48218,-1.90469,9.04235,-4.50048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-03,18:10:31.73,2,6,"Gregson, Nic",801585,Right,CSD_TRI,"Shimao, Tate",809935,Right,HAW_WAR,Undefined,1,Top,0,3,2,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Out,1,0,,90.67951,-1.923776,-2.284825,2329.941858,199.761793,12:45,5.62812,2.04807,6.58177,-14.14418,19.78375,6.62823,2.68433,0.50538,80.94311,-4.72092,-1.080914,0.419228,72.42809,13.594873,1.109794,2064.519104,109.58926,10.1455,9.49573,154.05568,142.42905,6.655864,1.733735,-4.28421,11.44016,-1.89393,50,5.48995,4.97746,-131.4213,-4.72167,-7.29806,34.59541,-12.68597,CSD_TRI,HAW_WAR,UCSanDiego,D1,BW,20260403-UCSanDiego-1,1413dbd0-2fc3-11f1-82a1-414efb4df594,89.9092,12.28925,,9.7364,,,,1.30229,2.68945,-0.48215,faae1a53-01d7-4345-afe8-3877cccdfa31,2026-04-04,01:10:31.73,2026-04-03T18:10:31.7355520-07:00,2026-04-04T01:10:31.7355520Z,LineDrive,v3,643-146028,471311,70102baa57064b07b1bd520d11651a8e,"Martinez, Trevian",1000111252,Right,CSD_TRI,06e822f4-a049-4d93-bff5-78008a2246c7,53.914,-132.44762,17.29771,5.62444,-4.34533,-6.34299,-2.0448,5.19396,-3.64903,257.299318,1.30229,103.23194,-11.19255,1.61403,-0.24592,-0.00137,0.01524,-0.00577,0.00088,2.68944,24.96942,-17.09613,1.22699,-0.15996,0.03976,-0.01016,0.00339,-0.00058,-0.48216,1.99986,7.329,-2.09861,0.56048,-0.10454,0.01463,-0.00074,-0.00013,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
