PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-04,13:04:26.12,1,1,"Davis, Cole",1000215977,Left,AND_TRO,"Dyer, Logan",10106025,Right,CAT_IND,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,84.69044,-4.409612,1.569287,2127.06647,154.327037,11:15,6.68128,-0.7383,5.91407,-23.11415,16.02458,-7.08693,0.65292,0.12793,77.79586,-8.710181,0.295614,0.450272,,,,,,,,,,,,4.12776,9.86977,0.61674,50,6.31387,-3.08966,-122.6754,-10.15896,6.28105,24.59867,-17.15553,AND_TRO,CAT_IND,AndersonUniversity,D2,Team,20260404-AndersonUniversity-1,28ee1c90-304b-11f1-9805-d75c2475b13b,83.71039,,,6.89458,,,,,,,1540df9f-8628-49c8-b7a7-1f4ab5bebf8e,2026-04-04,17:04:26.12,2026-04-04T13:04:26.1270016-04:00,2026-04-04T17:04:26.1270016Z,,v3,643-144395,643-144598,6383,"Bello, Dominick",1000090114,Right,AND_TRO,35895be4-1c13-40fd-a0cb-3350cf5dbe7c,54.58614,-123.59159,12.29933,6.68035,-9.51999,-8.57777,0.73617,-3.3236,3.14053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-04,13:04:39.70,1,2,"Davis, Cole",1000215977,Left,AND_TRO,"Dyer, Logan",10106025,Right,CAT_IND,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.178,-2.126815,1.404577,2286.489222,160.159901,11:15,6.69587,-0.67619,5.86855,-19.37954,19.03784,-6.44024,3.10383,0.09208,78.24488,-5.783742,0.249233,0.446103,,,,,,,,,,,,3.6691,10.67457,0.56622,50,6.5123,-2.77332,-123.67719,-5.15193,5.70663,23.70605,-15.57165,AND_TRO,CAT_IND,AndersonUniversity,D2,Team,20260404-AndersonUniversity-1,310eccd0-304b-11f1-9805-d75c2475b13b,84.49263,,,6.93312,,,,,,,1540df9f-8628-49c8-b7a7-1f4ab5bebf8e,2026-04-04,17:04:39.70,2026-04-04T13:04:39.7078528-04:00,2026-04-04T17:04:39.7078528Z,,v3,643-144395,643-144598,6383,"Bello, Dominick",1000090114,Right,AND_TRO,8f07b7df-94bf-4f34-88cf-fe36911e82ec,54.62975,-124.56144,11.85303,6.69364,-4.57109,-7.78583,0.67364,-2.98618,2.85331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-04,13:04:54.69,1,3,"Davis, Cole",1000215977,Left,AND_TRO,"Dyer, Logan",10106025,Right,CAT_IND,Undefined,1,Top,0,1,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,85.46014,-3.157981,1.623721,2288.041546,166.260154,11:30,6.58684,-0.4824,5.77151,-18.17292,20.2982,-4.66095,2.1295,0.6406,78.36533,-6.589088,0.789242,0.446415,61.46652,46.383794,50.855693,4191.680529,58.13192,54.62808,93.38452,171.93348,111.40514,61.252554,3.665787,2.84272,11.62323,0.35111,50,6.3147,-3.32676,-123.9417,-7.36573,4.4265,24.53074,-14.07514,AND_TRO,CAT_IND,AndersonUniversity,D2,Team,20260404-AndersonUniversity-1,39f5da50-304b-11f1-9805-d75c2475b13b,84.43365,56.59507,,7.09481,,,,1.60133,2.20999,-0.61597,1540df9f-8628-49c8-b7a7-1f4ab5bebf8e,2026-04-04,17:04:54.69,2026-04-04T13:04:54.6938368-04:00,2026-04-04T17:04:54.6938368Z,Popup,v3,643-144395,643-144598,6383,"Bello, Dominick",1000090114,Right,AND_TRO,cf8b7323-793c-4adf-b21a-49ac29c36b8d,54.72781,-124.87393,12.26537,6.58445,-6.83084,-7.03757,0.48073,-3.49497,2.21325,226.673393,1.59338,39.52064,-11.00695,6.47353,-5.30907,3.20783,-1.14118,0.21059,-0.01544,2.20541,65.39609,-22.79262,3.3757,-1.77744,0.79916,-0.20921,0.02633,-0.00112,-0.61613,48.21778,-1.20117,-1.00913,1.10326,-0.77618,0.31862,-0.06777,0.00567,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
4,2026-04-04,13:05:19.28,1,4,"Davis, Cole",1000215977,Left,AND_TRO,"Dyer, Logan",10106025,Right,CAT_IND,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.67607,-3.308627,2.347115,2160.935002,169.818207,11:45,6.76027,-0.28945,5.8116,-22.59013,15.12497,-2.4824,1.79511,1.68745,78.94424,-7.533207,1.90245,0.442007,,,,,,,,,,,,2.02445,9.1543,0.09862,50,6.47539,-5.05083,-125.57533,-7.97145,3.20035,27.79826,-17.70245,AND_TRO,CAT_IND,AndersonUniversity,D2,Team,20260404-AndersonUniversity-1,489b3e10-304b-11f1-9805-d75c2475b13b,85.27567,,,7.73183,,,,,,,1540df9f-8628-49c8-b7a7-1f4ab5bebf8e,2026-04-04,17:05:19.28,2026-04-04T13:05:19.2821760-04:00,2026-04-04T17:05:19.2821760Z,,v3,643-144395,643-144598,6383,"Bello, Dominick",1000090114,Right,AND_TRO,24e3945b-77ca-4947-89c4-199d30a7f072,54.68966,-126.60921,13.89913,6.75962,-7.31306,-8.85122,0.28869,-5.16986,1.60017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-04,13:05:37.49,1,5,"Davis, Cole",1000215977,Left,AND_TRO,"Dyer, Logan",10106025,Right,CAT_IND,Undefined,1,Top,0,2,2,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,86.20748,-2.376418,1.33024,2286.242781,176.144438,11:45,6.70865,-0.71823,5.82861,-19.44036,18.32493,-1.15232,2.87767,0.42254,78.83472,-6.045338,1.123673,0.442301,91.62218,-6.895351,-15.122167,,,,,23.98583,23.98583,-15.441142,0.16383,0.9698,10.42638,0.61031,50,6.50314,-2.85852,-125.09824,-5.76738,1.53408,25.65693,-15.6811,AND_TRO,CAT_IND,AndersonUniversity,D2,Team,20260404-AndersonUniversity-1,537c46d0-304b-11f1-9805-d75c2475b13b,85.219,2.97519,,7.37276,,,,2.19689,2.97519,-0.50739,1540df9f-8628-49c8-b7a7-1f4ab5bebf8e,2026-04-04,17:05:37.49,2026-04-04T13:05:37.4956544-04:00,2026-04-04T17:05:37.4956544Z,GroundBall,v3,643-144395,643-144598,6383,"Bello, Dominick",1000090114,Right,AND_TRO,8132c04f-3a8d-4ca8-a525-a773e07a7da6,54.67027,-126.05244,12.82846,6.70679,-5.18418,-7.84055,0.71768,-2.91558,0.76704,108.587898,2.19692,128.78487,-6.5455,,,,,,,2.97523,-16.13668,-12.35511,,,,,,,-0.50731,-34.80933,-6.56321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
6,2026-04-04,13:06:17.65,2,1,"Davis, Cole",1000215977,Left,AND_TRO,"Crabtree, Brandon",10079150,Left,CAT_IND,Undefined,1,Top,1,0,0,Curveball,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,79.28049,-0.733235,1.078914,2241.9612,294.884936,3:45,6.64892,-0.65997,5.10434,-46.03101,0.22484,2.95138,2.12197,0.60268,72.31565,-9.082582,1.602075,0.489502,,,,,,,,,,,,-1.13665,0.78748,0.5558,50,6.54385,-2.2855,-114.91886,-3.10589,-1.50279,23.55234,-31.1329,AND_TRO,CAT_IND,AndersonUniversity,D2,Team,20260404-AndersonUniversity-1,6b727660-304b-11f1-9805-d75c2475b13b,77.00158,,,6.96484,,,,,,,1540df9f-8628-49c8-b7a7-1f4ab5bebf8e,2026-04-04,17:06:17.65,2026-04-04T13:06:17.6507392-04:00,2026-04-04T17:06:17.6507392Z,,v3,643-144395,643-144598,6383,"Bello, Dominick",1000090114,Right,AND_TRO,0528f4d7-b877-4a57-b5eb-c48e3056c08c,55.39398,-116.01907,11.77617,6.65496,-1.65156,-15.56645,0.66093,-2.2153,-0.75139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-04,13:06:31.47,2,2,"Davis, Cole",1000215977,Left,AND_TRO,"Crabtree, Brandon",10079150,Left,CAT_IND,Undefined,1,Top,1,0,1,Curveball,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.48283,0.640584,1.38185,2559.058693,292.863604,3:45,6.74688,-0.5216,5.42947,-44.29077,-0.33343,4.08626,3.65613,1.11335,73.77403,-7.445557,2.109431,0.477185,,,,,,,,,,,,-1.66067,0.08039,0.39622,50,6.77299,-2.98332,-116.82064,-0.23225,-2.28959,22.48255,-32.06319,AND_TRO,CAT_IND,AndersonUniversity,D2,Team,20260404-AndersonUniversity-1,73adda90-304b-11f1-9805-d75c2475b13b,78.9891,,,6.7088,,,,,,,1540df9f-8628-49c8-b7a7-1f4ab5bebf8e,2026-04-04,17:06:31.47,2026-04-04T13:06:31.4765312-04:00,2026-04-04T17:06:31.4765312Z,,v3,643-144395,643-144598,6383,"Bello, Dominick",1000090114,Right,AND_TRO,d3c821be-f1ad-47cc-b4c7-71eb1b213d02,55.06955,-117.79225,11.24128,6.75309,1.1534,-16.0316,0.52301,-2.88437,-1.1448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-04,13:06:47.93,2,3,"Davis, Cole",1000215977,Left,AND_TRO,"Crabtree, Brandon",10079150,Left,CAT_IND,Undefined,1,Top,1,1,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,86.23813,-2.404364,0.757605,2223.166486,171.920979,11:45,6.63396,-0.54986,5.99772,-22.72344,14.64847,-1.91295,2.51087,-0.0072,79.19099,-6.659732,0.413336,0.439991,79.14806,-38.820848,59.215913,,,,,5.18303,3.55666,33.729,0.038148,1.20177,8.56437,0.49132,50,6.43211,-1.58153,-125.24234,-5.94953,1.91074,25.05672,-18.55737,AND_TRO,CAT_IND,AndersonUniversity,D2,Team,20260404-AndersonUniversity-1,7d7731c0-304b-11f1-9805-d75c2475b13b,85.66633,2.78489,,7.04714,,,,2.53917,2.78489,-0.0955,1540df9f-8628-49c8-b7a7-1f4ab5bebf8e,2026-04-04,17:06:47.93,2026-04-04T13:06:47.9341056-04:00,2026-04-04T17:06:47.9341056Z,GroundBall,v3,643-144395,643-144598,6383,"Bello, Dominick",1000090114,Right,AND_TRO,cfdd2a48-95eb-4389-a34e-090f392acbec,54.502,-126.13982,12.52836,6.63331,-5.28485,-9.27868,0.54919,-1.64996,0.95537,,2.53827,46.43559,,,,,,,,2.78631,-73.00251,,,,,,,,-0.09701,77.94564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
9,2026-04-04,13:07:22.52,3,1,"Davis, Cole",1000215977,Left,AND_TRO,"Hunter, Sam",1000215434,Left,CAT_IND,Undefined,1,Top,2,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,85.68827,-2.256372,1.373778,2075.696226,176.79701,12:00,6.69789,-0.61094,5.9529,-25.69982,12.33217,-0.62177,2.46196,0.61155,78.53582,-7.046452,1.261992,0.44386,,,,,,,,,,,,0.71028,7.34024,0.50209,50,6.504,-2.9584,-124.38288,-5.70496,1.11074,25.36061,-20.69512,AND_TRO,CAT_IND,AndersonUniversity,D2,Team,20260404-AndersonUniversity-1,921339d0-304b-11f1-9805-d75c2475b13b,84.91966,,,7.15245,,,,,,,1540df9f-8628-49c8-b7a7-1f4ab5bebf8e,2026-04-04,17:07:22.52,2026-04-04T13:07:22.5298432-04:00,2026-04-04T17:07:22.5298432Z,,v3,643-144395,643-144598,6383,"Bello, Dominick",1000090114,Right,AND_TRO,12dfe063-4008-4b58-b76d-00c58d60241d,54.5461,-125.30637,12.68031,6.69803,-4.95137,-10.34756,0.61056,-2.99885,0.55537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-04,13:08:02.73,3,2,"Davis, Cole",1000215977,Left,AND_TRO,"Hunter, Sam",1000215434,Left,CAT_IND,Undefined,1,Top,2,0,1,Curveball,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,81.85788,-1.254816,1.235311,2565.753893,239.95734,2:00,6.68667,-0.6239,5.26045,-39.20644,3.02961,3.20217,2.2401,0.80371,76.1333,-8.353006,1.804218,0.467749,,,,,,,,,,,,-1.30992,2.165,0.50828,50,6.54247,-2.6949,-118.94124,-4.00365,-1.89741,20.43413,-29.03804,AND_TRO,CAT_IND,AndersonUniversity,D2,Team,20260404-AndersonUniversity-1,aa1e02d0-304b-11f1-9805-d75c2475b13b,80.58261,,,5.72458,,,,,,,1540df9f-8628-49c8-b7a7-1f4ab5bebf8e,2026-04-04,17:08:02.73,2026-04-04T13:08:02.7321856-04:00,2026-04-04T17:08:02.7321856Z,,v3,643-144395,643-144598,6383,"Bello, Dominick",1000090114,Right,AND_TRO,249a69ab-79a5-4b3b-8103-0526dca028b3,55.24049,-119.83817,10.21707,6.69023,-2.72905,-14.51902,0.62475,-2.61162,-0.9487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
