PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-04,12:05:51.30,1,1,"Casabella, Carter",10050471,Right,TEN_TEC,"Castro, Tyler",1000189029,Left,EIU_PAN,Undefined,1,Top,0,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.57674,-0.965666,-2.562561,1760.777655,253.309379,2:30,5.94243,2.03532,5.95521,-30.36116,5.86587,15.0317,2.51585,0.91,79.64139,-6.634282,0.138906,0.433199,,,,,,,,,,,,-8.55481,3.73295,-1.83999,50,5.84897,5.10493,-128.34577,-3.19212,-13.97866,31.61469,-26.07435,TEN_TEC,EIU_PAN,BushStadium,D1,OVC,20260404-BushStadium-1,89157760-3048-11f1-81b8-6100fed22f98,87.00949,,,8.93534,,,,,,,fc62e075-6fb7-44e8-85c0-266fbc05eb83,2026-04-04,17:05:51.30,2026-04-04T12:05:51.3033728-05:00,2026-04-04T17:05:51.3033728Z,,v3,471458,471287,0si8z622i4om2uof,"Garza, Manny",801845,Right,TEN_TEC,73a09e23-273f-40b1-823a-5a18ecfabaa3,54.53971,-129.45918,15.80735,5.94522,-2.27383,-13.03718,-2.02844,5.59724,-6.98933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-04,12:06:04.98,1,2,"Casabella, Carter",10050471,Right,TEN_TEC,"Castro, Tyler",1000189029,Left,EIU_PAN,Undefined,1,Top,0,0,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.85746,-0.413759,-2.098215,1896.063231,239.330941,2:00,5.81337,2.20873,5.85766,-27.53092,8.60804,12.21595,3.13446,1.27651,79.70451,-5.576383,0.092833,0.432673,,,,,,,,,,,,-6.89725,4.94347,-2.04537,50,5.76411,4.17991,-128.73865,-1.85726,-11.33671,31.86379,-24.04868,TEN_TEC,EIU_PAN,BushStadium,D1,OVC,20260404-BushStadium-1,91207cc0-3048-11f1-81b8-6100fed22f98,87.11539,,,9.15296,,,,,,,fc62e075-6fb7-44e8-85c0-266fbc05eb83,2026-04-04,17:06:04.98,2026-04-04T12:06:04.9863168-05:00,2026-04-04T17:06:04.9863168Z,,v3,471458,471287,0si8z622i4om2uof,"Garza, Manny",801845,Right,TEN_TEC,be419926-7ffe-4719-a265-9a677209a322,54.63532,-129.88086,15.93189,5.81523,-0.99519,-12.02434,-2.20249,4.58629,-5.66835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-04,12:06:18.29,1,3,"Casabella, Carter",10050471,Right,TEN_TEC,"Castro, Tyler",1000189029,Left,EIU_PAN,Undefined,1,Top,0,1,1,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,82.46073,-1.03377,-3.275036,1520.844536,235.187428,1:45,5.83135,1.94311,5.9056,-34.82738,6.85154,7.71674,1.96784,-0.45707,74.74233,-7.500734,-1.89118,0.464654,69.23984,67.211333,-126.960791,4509.101975,,,,,17.35418,,,-5.01544,4.25646,-1.68442,50,5.72844,6.53673,-119.46873,-3.26121,-7.14646,26.04309,-26.10902,TEN_TEC,EIU_PAN,BushStadium,D1,OVC,20260404-BushStadium-1,991206b0-3048-11f1-81b8-6100fed22f98,81.11937,38.44556,,7.7184,,,,1.5661,2.13376,0.44147,fc62e075-6fb7-44e8-85c0-266fbc05eb83,2026-04-04,17:06:18.29,2026-04-04T12:06:18.2927872-05:00,2026-04-04T17:06:18.2927872Z,,v3,471458,471287,0si8z622i4om2uof,"Garza, Manny",801845,Right,TEN_TEC,df0c25ed-d801-46ad-b0c4-ea45c8de7452,54.59047,-120.46525,13.02155,5.83411,-2.26217,-13.05451,-1.93978,6.81019,-3.57323,17.828885,1.59339,-24.44894,-7.15758,,,,,,,2.1665,92.68378,-33.01785,,,,,,,0.43467,-31.23637,5.42831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
4,2026-04-04,12:06:37.96,1,4,"Casabella, Carter",10050471,Right,TEN_TEC,"Castro, Tyler",1000189029,Left,EIU_PAN,Undefined,1,Top,0,1,2,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,88.71881,0.872059,-2.941858,1835.042987,239.188327,2:00,6.05866,1.58509,5.95017,-26.99856,8.78563,12.67012,4.61868,-0.08985,80.22674,-4.187914,-0.669075,0.430544,,,,,,,,,,,,-7.34374,4.61044,-1.35784,50,6.11314,6.06495,-128.61511,1.06609,-12.18511,29.0216,-24.52415,TEN_TEC,EIU_PAN,BushStadium,D1,OVC,20260404-BushStadium-1,a4c616e0-3048-11f1-81b8-6100fed22f98,87.54616,,,8.49207,,,,,,,fc62e075-6fb7-44e8-85c0-266fbc05eb83,2026-04-04,17:06:37.96,2026-04-04T12:06:37.9622400-05:00,2026-04-04T17:06:37.9622400Z,,v3,471458,471287,0si8z622i4om2uof,"Garza, Manny",801845,Right,TEN_TEC,59c79b2f-7526-4dca-aba4-3e65fc9fa36c,54.5446,-129.63653,14.5108,6.06043,1.92922,-12.26207,-1.57885,6.49381,-6.09255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-04,12:06:53.45,1,5,"Casabella, Carter",10050471,Right,TEN_TEC,"Castro, Tyler",1000189029,Left,EIU_PAN,Undefined,1,Top,0,2,2,Fastball,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,87.64109,-2.043295,-2.754495,1864.49359,211.02781,1:00,5.937,1.89521,5.98725,-23.85371,12.25217,6.71595,2.0525,-0.09993,80.73324,-6.488839,-1.548026,0.432475,66.08133,-18.906299,29.637872,,,,,6.75844,5.41524,26.71379,0.064257,-4.19323,7.17319,-1.68163,50,5.76239,5.85241,-127.22398,-5.30053,-6.91165,24.71618,-20.3506,TEN_TEC,EIU_PAN,BushStadium,D1,OVC,20260404-BushStadium-1,ae08b1e0-3048-11f1-81b8-6100fed22f98,87.15527,2.02442,,6.90785,,,,0.89966,2.02442,0.1152,fc62e075-6fb7-44e8-85c0-266fbc05eb83,2026-04-04,17:06:53.45,2026-04-04T12:06:53.4573568-05:00,2026-04-04T17:06:53.4573568Z,GroundBall,v3,471458,471287,0si8z622i4om2uof,"Garza, Manny",801845,Right,TEN_TEC,a8a7fbca-ff29-4b81-8b9d-140e043966a2,54.51079,-128.09731,12.35809,5.93697,-4.58146,-10.1753,-1.89273,6.09663,-3.45583,180,0.897,79.95124,,,,,,,,2.02547,-31.50512,,,,,,,,0.11369,45.48855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2026-04-04,12:07:29.05,2,1,"Casabella, Carter",10050471,Right,TEN_TEC,"Stanley, Brett",1000189099,Right,EIU_PAN,Undefined,1,Top,1,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.49484,-1.469039,-5.484019,1986.958252,232.505682,1:45,6.07908,1.63696,6.13782,-24.29832,10.45528,12.19623,2.69006,-2.43033,81.94667,-6.010608,-3.299282,0.424298,,,,,,,,,,,,-7.79111,6.138,-1.22384,50,5.95397,11.9341,-129.49731,-4.10868,-13.25906,26.48647,-21.72828,TEN_TEC,EIU_PAN,BushStadium,D1,OVC,20260404-BushStadium-1,c343b910-3048-11f1-81b8-6100fed22f98,88.83475,,,7.54817,,,,,,,fc62e075-6fb7-44e8-85c0-266fbc05eb83,2026-04-04,17:07:29.05,2026-04-04T12:07:29.0541568-05:00,2026-04-04T17:07:29.0541568Z,,v3,471458,471287,0si8z622i4om2uof,"Garza, Manny",801845,Right,TEN_TEC,a1c88ef3-1af3-4ad3-a7c6-8a2175e62cb6,54.35959,-130.38594,13.24324,6.07959,-3.37969,-10.86414,-1.63169,12.37895,-6.62953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-04,12:07:45.04,2,2,"Casabella, Carter",10050471,Right,TEN_TEC,"Stanley, Brett",1000189099,Right,EIU_PAN,Undefined,1,Top,1,1,0,Fastball,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,88.24574,-1.111677,-2.00582,1768.795096,243.196036,2:00,6.0264,1.56453,5.93421,-29.12958,6.78784,11.13379,2.56686,0.63076,80.64229,-6.520552,-0.004911,0.431344,63.25701,12.189111,-7.811803,1356.448515,,,,120.95758,120.52457,-5.491634,1.472927,-6.33693,4.13099,-1.41094,50,5.92114,4.03489,-128.1332,-3.46557,-10.49467,27.4258,-25.33265,TEN_TEC,EIU_PAN,BushStadium,D1,OVC,20260404-BushStadium-1,ccc7c9e0-3048-11f1-81b8-6100fed22f98,87.38368,8.99031,,7.60345,,,,1.40378,2.58229,-0.59935,fc62e075-6fb7-44e8-85c0-266fbc05eb83,2026-04-04,17:07:45.04,2026-04-04T12:07:45.0487296-05:00,2026-04-04T17:07:45.0487296Z,GroundBall,v3,471458,471287,0si8z622i4om2uof,"Garza, Manny",801845,Right,TEN_TEC,9900f391-d7ae-4997-b736-f78cf7fa31e7,54.56393,-129.10638,13.7129,6.02816,-2.56667,-12.66633,-1.56072,4.40728,-5.24733,233.005277,1.40378,89.84367,-7.54835,1.22204,-0.22472,0.03348,-0.0048,0.0009,-0.0001,2.58229,19.5888,-15.41028,0.72151,-0.09471,0.02199,-0.00144,5E-05,-3E-05,-0.59935,-12.32591,4.11844,-0.72641,0.15054,-0.02542,0.00415,-0.00075,8E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2026-04-04,12:08:16.34,3,1,"Casabella, Carter",10050471,Right,TEN_TEC,"Worcester, Chris",10034522,Right,EIU_PAN,Undefined,1,Top,2,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.85982,-1.825571,-3.739633,1817.131273,221.391005,1:30,5.99569,1.85039,5.91924,-22.75037,12.62331,10.15087,2.40156,-0.77893,81.49972,-6.075681,-1.921437,0.428067,,,,,,,,,,,,-6.20134,7.30142,-1.55637,50,5.83627,7.99439,-128.82197,-4.84662,-10.45296,25.99038,-19.86682,TEN_TEC,EIU_PAN,BushStadium,D1,OVC,20260404-BushStadium-1,df6d3210-3048-11f1-81b8-6100fed22f98,88.05269,,,7.36009,,,,,,,fc62e075-6fb7-44e8-85c0-266fbc05eb83,2026-04-04,17:08:16.34,2026-04-04T12:08:16.3496448-05:00,2026-04-04T17:08:16.3496448Z,,v3,471458,471287,0si8z622i4om2uof,"Garza, Manny",801845,Right,TEN_TEC,bca5ec60-e5d2-4aac-886e-63c91672af8e,54.57757,-129.74223,12.99519,5.99543,-4.14318,-9.93341,-1.84599,8.3645,-5.22648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-04,12:08:36.10,3,2,"Casabella, Carter",10050471,Right,TEN_TEC,"Worcester, Chris",10034522,Right,EIU_PAN,Undefined,1,Top,2,0,1,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.48205,0.814379,-1.68878,2140.362018,48.859319,7:45,5.99548,1.7956,5.71186,-46.9694,-3.78469,-5.76922,2.84042,-0.25888,74.37341,-7.765511,-2.721301,0.472973,,,,,,,,,,,,2.49288,-1.76102,-1.65065,50,6.03438,3.67094,-116.96534,0.08336,3.46946,21.10612,-34.62492,TEN_TEC,EIU_PAN,BushStadium,D1,OVC,20260404-BushStadium-1,eb3abdb0-3048-11f1-81b8-6100fed22f98,79.69259,,,6.10864,,,,,,,fc62e075-6fb7-44e8-85c0-266fbc05eb83,2026-04-04,17:08:36.10,2026-04-04T12:08:36.1029632-05:00,2026-04-04T17:08:36.1029632Z,,v3,471458,471287,0si8z622i4om2uof,"Garza, Manny",801845,Right,TEN_TEC,f5d0dda7-7b87-4688-97b8-ac74e22a853e,54.78755,-117.82607,10.55306,6.00219,1.49541,-17.31246,-1.79747,3.52945,1.73473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-04,12:08:58.19,3,3,"Casabella, Carter",10050471,Right,TEN_TEC,"Worcester, Chris",10034522,Right,EIU_PAN,Undefined,1,Top,2,0,2,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.77998,-2.1547,-4.057588,1939.320829,227.925753,1:30,5.92863,1.59206,5.73929,-25.5008,8.35894,8.19957,1.7913,-1.50905,84.10558,-6.845718,-2.594315,0.418806,,,,,,,,,,,,-5.18146,5.0804,-1.25917,50,5.73311,8.98806,-131.63739,-5.86969,-9.20507,24.68166,-23.14851,TEN_TEC,EIU_PAN,BushStadium,D1,OVC,20260404-BushStadium-1,f862a930-3048-11f1-81b8-6100fed22f98,89.99967,,,6.6744,,,,,,,fc62e075-6fb7-44e8-85c0-266fbc05eb83,2026-04-04,17:08:58.19,2026-04-04T12:08:58.1908992-05:00,2026-04-04T17:08:58.1908992Z,,v3,471458,471287,0si8z622i4om2uof,"Garza, Manny",801845,Right,TEN_TEC,b12ec02a-3c5c-42d6-bd3a-026650b6a4a3,54.75958,-132.52679,12.34083,5.9296,-5.03553,-11.57426,-1.58903,9.31976,-4.60253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
