PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-04,14:50:01.27,1,1,"Abler, Andrew",831906,Right,HAR_CRI,"Luigs, Matt",10118709,Right,BRO_BEA,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.48312,-2.884562,0.625837,2295.767338,177.99742,12:00,6.41925,0.07924,6.04034,-16.60217,19.91698,-0.65335,2.3625,0.60428,79.7075,-6.058951,0.508224,0.434943,,,,,,,,,,,,0.52224,11.49174,-0.12767,50,6.18527,-1.36015,-126.91762,-6.8438,0.84704,27.34174,-13.53535,HAR_CRI,BRO_BEA,ODonnellFieldHarvard,D1,IVY,20260404-ODonnellFieldHarvard-4,163ab430-3057-11f1-8c88-5f41efb4dc95,86.66072,,,7.77562,,,,,,,c5440898-337d-457c-b3eb-31f0d0b9d953,2026-04-04,18:50:01.27,2026-04-04T14:50:01.2728320-04:00,2026-04-04T18:50:01.2728320Z,,v3,471310,471247,78370f2374c94415b05b41e8e343592c,"Wilson, Liam",831908,Right,HAR_CRI,54c9095d-bba8-4c48-b090-7481effc0c21,54.45829,-127.87446,13.67087,6.41649,-6.37012,-6.76767,-0.07956,-1.38979,0.42352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-04,14:50:17.98,1,2,"Abler, Andrew",831906,Right,HAR_CRI,"Luigs, Matt",10118709,Right,BRO_BEA,Undefined,1,Top,0,0,1,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,79.85507,-0.603246,0.078095,2375.452609,124.912386,10:15,6.41923,0.13431,5.27415,-39.73341,6.20063,-6.30882,2.54148,-0.31807,71.6422,-7.919402,-1.043028,0.487797,80.97744,18.073842,-41.765592,3721.688397,,,,132.24381,111.70952,-44.546159,1.408467,3.19536,3.80122,-0.13655,50,6.33539,0.10114,-115.6031,-2.56334,4.21152,26.78082,-27.16403,HAR_CRI,BRO_BEA,ODonnellFieldHarvard,D1,IVY,20260404-ODonnellFieldHarvard-4,20350670-3057-11f1-8c88-5f41efb4dc95,77.27082,13.4293,,8.21287,,,,2.95876,2.49756,0.39411,c5440898-337d-457c-b3eb-31f0d0b9d953,2026-04-04,18:50:17.98,2026-04-04T14:50:17.9871232-04:00,2026-04-04T18:50:17.9871232Z,LineDrive,v3,471310,471247,78370f2374c94415b05b41e8e343592c,"Wilson, Liam",831908,Right,HAR_CRI,f5a6d537-c0d4-4878-86a5-8c87a5c20364,55.22204,-116.80658,13.39041,6.42315,-1.34264,-13.58201,-0.13684,-0.08812,2.10576,,2.95876,84.21425,-14.91912,0.35833,0.62273,-0.30554,0.08748,-0.0182,0.00203,2.49756,36.84647,-34.84112,7.18931,-1.83451,0.44053,-0.09695,0.01797,-0.00181,0.39411,-75.20526,10.65377,-4.16992,1.07272,-0.21268,0.03754,-0.00581,0.00049,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
3,2026-04-04,14:50:51.84,1,3,"Abler, Andrew",831906,Right,HAR_CRI,"Luigs, Matt",10118709,Right,BRO_BEA,Undefined,1,Top,0,0,2,Curveball,Slider,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,77.48672,-0.764556,-0.776593,2289.822857,90.130451,9:00,6.56557,-0.0025,5.04264,-46.82373,1.6824,-8.1813,1.94227,-1.41689,70.77212,-9.248665,-2.225095,0.501268,,,,,,,,,,,,3.83209,1.54071,0.08346,50,6.45534,1.85298,-112.3218,-3.13022,4.84266,22.39781,-30.22704,HAR_CRI,BRO_BEA,ODonnellFieldHarvard,D1,IVY,20260404-ODonnellFieldHarvard-4,346617b0-3057-11f1-8c88-5f41efb4dc95,75.19424,,,6.71461,,,,,,,c5440898-337d-457c-b3eb-31f0d0b9d953,2026-04-04,18:50:51.84,2026-04-04T14:50:51.8440000-04:00,2026-04-04T18:50:51.8440000Z,,v3,471310,471247,78370f2374c94415b05b41e8e343592c,"Wilson, Liam",831908,Right,HAR_CRI,93752563-0abc-4c8d-991f-cf7d6ad67f08,55.45612,-113.40458,11.1989,6.57135,-1.66896,-15.11352,-0.00046,1.61887,2.42133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.42641,,,1.358203,,,,-5.51892,3.68362,4.96924,79.97218,5.90194,44.81912,-5.36864,73.1033,-7.71123,3.74514,20.37537,-13.90376,5.00118,32.186,-2.14502,High,High,High,,,High,High,High
4,2026-04-04,14:51:24.67,2,1,"Abler, Andrew",831906,Right,HAR_CRI,"Henshon, Mark",824561,Right,BRO_BEA,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.14534,-2.720152,0.379317,2395.387501,184.266242,12:15,6.32489,0.17694,5.97667,-18.43997,18.38863,1.28059,2.26467,0.63529,79.54371,-6.217451,0.609615,0.436781,,,,,,,,,,,,-0.55185,10.62048,-0.20766,50,6.0995,-0.88862,-126.45675,-6.53521,-0.88987,26.785,-15.04768,HAR_CRI,BRO_BEA,ODonnellFieldHarvard,D1,IVY,20260404-ODonnellFieldHarvard-4,47ed7b70-3057-11f1-8c88-5f41efb4dc95,86.2959,,,7.60163,,,,,,,c5440898-337d-457c-b3eb-31f0d0b9d953,2026-04-04,18:51:24.67,2026-04-04T14:51:24.6735872-04:00,2026-04-04T18:51:24.6735872Z,,v3,471310,471247,78370f2374c94415b05b41e8e343592c,"Wilson, Liam",831908,Right,HAR_CRI,78a8c167-f6ca-4ad3-94d3-338e294f54f9,54.52223,-127.41101,13.3925,6.32278,-5.99912,-7.52384,-0.17656,-0.85692,-0.44494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-04,14:51:38.96,2,2,"Abler, Andrew",831906,Right,HAR_CRI,"Henshon, Mark",824561,Right,BRO_BEA,Undefined,1,Top,1,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.03932,-4.08408,-0.910857,2381.734177,187.970342,12:15,6.34795,0.19633,6.00678,-15.27135,21.90706,2.88268,1.28459,-0.40742,79.053,-7.019623,-0.392314,0.438851,,,,,,,,,,,,-1.78043,12.9656,-0.12642,50,6.01849,1.89056,-126.06954,-9.39801,-2.83626,28.06427,-11.51972,HAR_CRI,BRO_BEA,ODonnellFieldHarvard,D1,IVY,20260404-ODonnellFieldHarvard-4,506c0320-3057-11f1-8c88-5f41efb4dc95,85.88896,,,7.98633,,,,,,,c5440898-337d-457c-b3eb-31f0d0b9d953,2026-04-04,18:51:38.96,2026-04-04T14:51:38.9684736-04:00,2026-04-04T18:51:38.9684736Z,,v3,471310,471247,78370f2374c94415b05b41e8e343592c,"Wilson, Liam",831908,Right,HAR_CRI,38e14a90-0ea5-4f43-97e6-e36bd0482642,54.4926,-127.0657,14.03213,6.34482,-8.9891,-5.75986,-0.19531,1.99124,-1.41813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-04,14:51:54.02,2,3,"Abler, Andrew",831906,Right,HAR_CRI,"Henshon, Mark",824561,Right,BRO_BEA,Undefined,1,Top,1,1,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.28342,-1.743748,-0.043998,2419.928915,117.624491,10:00,6.37014,0.40433,5.10318,-41.27057,3.81551,-4.32382,1.28737,0.00255,73.31111,-9.235369,-0.810785,0.483273,,,,,,,,,,,,2.1663,2.81658,-0.39655,50,6.17331,0.26483,-116.37089,-4.99654,2.93831,24.05601,-28.35373,HAR_CRI,BRO_BEA,ODonnellFieldHarvard,D1,IVY,20260404-ODonnellFieldHarvard-4,596e87e0-3057-11f1-8c88-5f41efb4dc95,77.99406,,,6.97232,,,,,,,c5440898-337d-457c-b3eb-31f0d0b9d953,2026-04-04,18:51:54.02,2026-04-04T14:51:54.0270000-04:00,2026-04-04T18:51:54.0270000Z,,v3,471310,471247,78370f2374c94415b05b41e8e343592c,"Wilson, Liam",831908,Right,HAR_CRI,c2aea8bc-1f78-47a5-8b1d-f92c23266356,55.39671,-117.48119,12.02801,6.37372,-3.68788,-14.17686,-0.40564,0.12921,1.46916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-04,14:52:15.03,2,4,"Abler, Andrew",831906,Right,HAR_CRI,"Henshon, Mark",824561,Right,BRO_BEA,Undefined,1,Top,1,2,1,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,71.70088,1.691441,0.548468,2120.250926,36.370801,7:15,6.18097,0.40567,5.3179,-61.53177,-4.11878,-4.78296,2.6413,0.52185,63.98309,-9.585588,-0.302488,0.545351,,,,,,,,,,,,2.60004,-2.03736,-0.45173,50,6.29024,-0.81379,-103.69648,1.11997,2.73131,23.02471,-34.3143,HAR_CRI,BRO_BEA,ODonnellFieldHarvard,D1,IVY,20260404-ODonnellFieldHarvard-4,66041e70-3057-11f1-8c88-5f41efb4dc95,69.11588,,,7.71779,,,,,,,c5440898-337d-457c-b3eb-31f0d0b9d953,2026-04-04,18:52:15.03,2026-04-04T14:52:15.0360000-04:00,2026-04-04T18:52:15.0360000Z,,v3,471310,471247,78370f2374c94415b05b41e8e343592c,"Wilson, Liam",831908,Right,HAR_CRI,942ef7c1-9020-403a-8a8a-04df098f163f,55.17832,-104.83997,11.51235,6.1923,2.82414,-17.15715,-0.40795,-0.94943,1.36566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-04,14:52:33.23,2,5,"Abler, Andrew",831906,Right,HAR_CRI,"Henshon, Mark",824561,Right,BRO_BEA,Undefined,1,Top,1,2,2,ChangeUp,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,76.10267,-1.648321,-0.472032,2250.823266,52.06196,7:45,6.45196,0.09639,5.15971,-51.82566,-0.98752,-3.79528,0.58116,-0.6642,68.82063,-11.046494,-1.14672,0.513176,,,,,,,,,,,,1.75358,0.50595,-0.0492,50,6.25825,1.05304,-110.15803,-4.90208,2.09573,24.563,-31.56938,HAR_CRI,BRO_BEA,ODonnellFieldHarvard,D1,IVY,20260404-ODonnellFieldHarvard-4,70d34ce0-3057-11f1-8c88-5f41efb4dc95,73.44934,,,7.28204,,,,,,,c5440898-337d-457c-b3eb-31f0d0b9d953,2026-04-04,18:52:33.23,2026-04-04T14:52:33.2380000-04:00,2026-04-04T18:52:33.2380000Z,,v3,471310,471247,78370f2374c94415b05b41e8e343592c,"Wilson, Liam",831908,Right,HAR_CRI,9dcd4a6a-44fc-43ba-a41b-d6cccb9ec543,55.33956,-111.34227,12.2815,6.4579,-3.38004,-15.78469,-0.09753,0.952,1.04786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-04,14:52:49.82,2,6,"Abler, Andrew",831906,Right,HAR_CRI,"Henshon, Mark",824561,Right,BRO_BEA,Undefined,1,Top,1,3,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.72469,-2.098759,-0.108025,2399.903888,197.405814,12:30,6.27732,0.15879,6.03028,-16.20257,20.51222,6.00327,2.98262,0.55902,78.95073,-5.234641,0.972401,0.436106,59.9138,34.256521,145.665608,4112.380303,,,,,39.32763,,,-3.12433,11.63725,-0.15357,50,6.10461,-0.00825,-127.18583,-5.07736,-5.02695,30.39957,-13.45006,HAR_CRI,BRO_BEA,ODonnellFieldHarvard,D1,IVY,20260404-ODonnellFieldHarvard-4,7aadbb10-3057-11f1-8c88-5f41efb4dc95,86.42961,23.02016,,8.77396,,,,0.75337,2.74349,-0.32987,c5440898-337d-457c-b3eb-31f0d0b9d953,2026-04-04,18:52:49.82,2026-04-04T14:52:49.8200000-04:00,2026-04-04T18:52:49.8200000Z,,v3,471310,471247,78370f2374c94415b05b41e8e343592c,"Wilson, Liam",831908,Right,HAR_CRI,a07c36e5-63c8-42f5-8f21-2523ef6688a0,54.46615,-128.24887,15.19979,6.27393,-4.60702,-6.72503,-0.15636,0.16754,-2.51347,,0.75337,-59.97465,2.94792,1.2751,-0.40626,0.13679,-0.02581,0.00284,-7E-05,2.74349,49.46386,-27.10548,3.72592,-0.74602,0.14919,-0.02414,0.00933,-0.00257,-0.32987,40.9647,-6.46917,0.5366,-0.06256,-0.01629,0.00342,0.0018,-0.00071,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
10,2026-04-04,14:53:13.67,2,7,"Abler, Andrew",831906,Right,HAR_CRI,"Henshon, Mark",824561,Right,BRO_BEA,Undefined,1,Top,1,3,2,Curveball,Curveball,InPlay,Undefined,Popup,Out,1,0,,74.24402,0.828651,0.77515,2129.421898,86.84905,9:00,6.26154,0.16639,5.24904,-50.86074,0.85386,-12.79075,2.80197,-0.17104,68.54403,-8.407914,-1.496694,0.517581,79.53113,44.305467,25.20163,,93.93861,90.50274,57.232,222.5383,109.77862,35.809066,5.132017,6.65512,0.61559,-0.22747,50,6.29948,-0.98388,-107.8422,-0.09433,7.85957,18.25769,-31.44702,HAR_CRI,BRO_BEA,ODonnellFieldHarvard,D1,IVY,20260404-ODonnellFieldHarvard-4,88f06560-3057-11f1-8c88-5f41efb4dc95,72.82429,94.414,,5.7,,,,1.70325,2.79098,0.13575,c5440898-337d-457c-b3eb-31f0d0b9d953,2026-04-04,18:53:13.67,2026-04-04T14:53:13.6785408-04:00,2026-04-04T18:53:13.6785408Z,FlyBall,v3,471310,471247,78370f2374c94415b05b41e8e343592c,"Wilson, Liam",831908,Right,HAR_CRI,84592d81-d945-4631-bb4d-991b3a1b5338,55.25267,-108.72784,9.12885,6.26706,1.4311,-15.72351,-0.1705,-1.36513,3.92978,200.080409,1.70736,75.43261,-21.95298,5.64299,-0.76923,-0.05915,0.04585,-0.00713,0.00038,2.78539,81.58191,-20.83489,1.56532,-0.29123,0.05993,-0.00318,-0.00089,0.0001,0.13614,35.53725,-3.27173,0.19927,0.08897,-0.03515,0.00583,-0.00045,1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
