PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-04,13:05:32.22,1,1,"Coulter, Bryce",10067992,Right,CIT_BUL,"Keels, Tre",702606,Right,LON_LAN,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.10286,-0.151221,-2.016107,1874.211315,219.425732,1:15,5.82117,1.24502,5.42078,-20.92119,13.29139,10.05087,3.936,0.19336,83.26753,-4.05129,-0.22909,0.420983,,,,,,,,,,,,-5.59252,7.04689,-1.0732,50,5.79342,4.19232,-132.21617,-1.08708,-9.91969,27.65365,-19.67467,CIT_BUL,LON_LAN,RileyPark,D1,SOCON,20260404-RileyPark-1,7dce32c0-3048-11f1-8b7b-b9ef3c43e911,89.53442,,,7.83534,,,,,,,f56cd8dd-ac33-4598-aafb-904232d41fd0,2026-04-04,17:05:32.22,2026-04-04T13:05:32.2293248-04:00,2026-04-04T17:05:32.2293248Z,,v3,471271,471338,9a8f0bcb13524154808fa9c70b6c6e28,"Daniels, Phillips",1000097151,Right,CIT_BUL,273ac25b-45d0-443c-a3df-c6f83db6f2d4,55.07579,-133.27357,13.82682,5.8206,-0.33477,-9.83734,-1.24075,4.57162,-4.95985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-04,13:05:43.73,1,2,"Coulter, Bryce",10067992,Right,CIT_BUL,"Keels, Tre",702606,Right,LON_LAN,Undefined,1,Top,0,1,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.78815,-1.799113,-3.453641,1751.50722,232.385778,1:45,5.69726,1.22577,5.72324,-21.0334,13.09076,15.5965,2.26518,-0.69514,83.16178,-5.727837,-0.667923,0.420438,,,,,,,,,,,,-8.8728,7.47347,-0.94698,50,5.53387,7.26265,-131.64187,-4.84904,-15.6119,27.24135,-19.02434,CIT_BUL,LON_LAN,RileyPark,D1,SOCON,20260404-RileyPark-1,84a6f9b0-3048-11f1-8b7b-b9ef3c43e911,89.65033,,,7.62637,,,,,,,f56cd8dd-ac33-4598-aafb-904232d41fd0,2026-04-04,17:05:43.73,2026-04-04T13:05:43.7322240-04:00,2026-04-04T17:05:43.7322240Z,,v3,471271,471338,9a8f0bcb13524154808fa9c70b6c6e28,"Daniels, Phillips",1000097151,Right,CIT_BUL,14f019d6-dbff-4557-a5cb-13e634cad7bb,54.77475,-132.62626,13.62068,5.69667,-4.16158,-9.51217,-1.21961,7.8268,-7.80595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-04,13:05:56.15,1,3,"Coulter, Bryce",10067992,Right,CIT_BUL,"Keels, Tre",702606,Right,LON_LAN,Undefined,1,Top,0,1,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.38283,-2.167774,-4.052416,1793.369464,246.220065,2:15,5.54436,1.5232,5.76815,-30.76663,9.72666,19.13599,0.95709,-0.65968,76.56517,-7.850114,-0.631132,0.457997,,,,,,,,,,,,-10.93292,5.93292,-1.19964,50,5.34591,7.80847,-120.81762,-5.57775,-16.17792,23.29122,-23.39484,CIT_BUL,LON_LAN,RileyPark,D1,SOCON,20260404-RileyPark-1,8c108ef0-3048-11f1-8b7b-b9ef3c43e911,82.29839,,,6.81767,,,,,,,f56cd8dd-ac33-4598-aafb-904232d41fd0,2026-04-04,17:05:56.15,2026-04-04T13:05:56.1517568-04:00,2026-04-04T17:05:56.1517568Z,,v3,471271,471338,9a8f0bcb13524154808fa9c70b6c6e28,"Daniels, Phillips",1000097151,Right,CIT_BUL,6e12e7d5-095e-4ac0-9ee3-b2f606cc09f7,54.73113,-121.72627,11.64561,5.54571,-4.66506,-11.69742,-1.51657,8.43962,-8.08896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-04,13:06:11.58,1,4,"Coulter, Bryce",10067992,Right,CIT_BUL,"Keels, Tre",702606,Right,LON_LAN,Undefined,1,Top,0,2,1,Fastball,Sinker,InPlay,Undefined,LineDrive,Out,1,0,,90.6084,-2.100284,-3.550651,1843.833146,225.84745,1:30,5.74468,1.58159,5.62455,-19.6347,14.72587,14.06517,2.14399,-0.56376,83.1044,-5.769981,-1.044048,0.421892,102.78637,19.065333,-4.454157,778.184673,109.80489,32.18837,-6.54453,303.0292,291.96224,-0.863628,3.232109,-8.11957,8.36,-1.28817,50,5.55288,7.53847,-131.34993,-5.4832,-14.24224,26.7725,-17.51011,CIT_BUL,LON_LAN,RileyPark,D1,SOCON,20260404-RileyPark-1,953e1b50-3048-11f1-8b7b-b9ef3c43e911,89.3414,38.41756,,7.50401,,,,2.06651,2.21774,0.56378,f56cd8dd-ac33-4598-aafb-904232d41fd0,2026-04-04,17:06:11.58,2026-04-04T13:06:11.5817472-04:00,2026-04-04T17:06:11.5817472Z,LineDrive,v3,471271,471338,9a8f0bcb13524154808fa9c70b6c6e28,"Daniels, Phillips",1000097151,Right,CIT_BUL,d6c6c297-adfa-4725-8959-b964f2b0d6e1,54.87412,-132.33967,13.38625,5.74362,-4.83588,-8.75506,-1.57659,8.06498,-7.12112,192.068888,2.0665,142.05374,-27.35939,6.72938,-1.60476,0.36313,-0.06979,0.00904,-0.00053,2.21778,49.24147,-18.13953,1.00549,-0.01254,-0.04392,0.01614,-0.00251,0.00016,0.56376,-11.06452,3.48602,0.00342,-0.15843,0.0666,-0.01743,0.00268,-0.00018,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2026-04-04,13:06:41.74,2,1,"Coulter, Bryce",10067992,Right,CIT_BUL,"Jones, Brogan",835320,Right,LON_LAN,Undefined,1,Top,1,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.64944,-1.079971,-3.382275,1790.611775,230.451554,1:45,5.79614,1.32572,5.55882,-21.97635,12.38209,13.71678,2.95391,-0.69485,83.13236,-5.166145,-0.940186,0.421879,,,,,,,,,,,,-7.8091,6.86756,-1.04256,50,5.68834,7.15389,-131.46935,-3.24951,-13.73556,26.57239,-20.09458,CIT_BUL,LON_LAN,RileyPark,D1,SOCON,20260404-RileyPark-1,a73b5ca0-3048-11f1-8b7b-b9ef3c43e911,89.34416,,,7.51708,,,,,,,f56cd8dd-ac33-4598-aafb-904232d41fd0,2026-04-04,17:06:41.74,2026-04-04T13:06:41.7403904-04:00,2026-04-04T17:06:41.7403904Z,,v3,471271,471338,9a8f0bcb13524154808fa9c70b6c6e28,"Daniels, Phillips",1000097151,Right,CIT_BUL,679ed85c-1de3-4ec0-8796-7610ffbdf15a,54.93857,-132.46376,13.28619,5.79588,-2.49752,-10.04729,-1.3199,7.66792,-6.86778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-04,13:06:53.55,2,2,"Coulter, Bryce",10067992,Right,CIT_BUL,"Jones, Brogan",835320,Right,LON_LAN,Undefined,1,Top,1,0,1,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.43362,1.254982,-0.772715,1913.209055,156.519819,11:15,5.65898,1.72135,5.43898,-34.76959,6.02532,-2.06622,3.93692,0.82558,76.3077,-5.142652,-1.140402,0.4597,,,,,,,,,,,,0.81894,3.10205,-1.65159,50,5.74622,1.72137,-121.09272,1.43381,1.21718,23.43165,-27.56358,CIT_BUL,LON_LAN,RileyPark,D1,SOCON,20260404-RileyPark-1,ae465720-3048-11f1-8b7b-b9ef3c43e911,81.99356,,,7.12592,,,,,,,f56cd8dd-ac33-4598-aafb-904232d41fd0,2026-04-04,17:06:53.55,2026-04-04T13:06:53.5508992-04:00,2026-04-04T17:06:53.5508992Z,,v3,471271,471338,9a8f0bcb13524154808fa9c70b6c6e28,"Daniels, Phillips",1000097151,Right,CIT_BUL,be889026-6c1b-4d63-89fd-36d35dcb222d,55.05644,-122.06723,11.71583,5.66275,2.58016,-13.78179,-1.72213,1.67075,0.60859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-04,13:07:11.19,2,3,"Coulter, Bryce",10067992,Right,CIT_BUL,"Jones, Brogan",835320,Right,LON_LAN,Undefined,1,Top,1,1,1,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.99483,-0.371267,-1.821429,1891.014208,221.922419,1:30,5.80346,1.40184,5.4367,-21.76678,13.22162,10.90438,3.64173,0.60437,82.40246,-4.422368,0.118465,0.425729,74.95791,72.191932,149.621831,4694.637947,,,,,20.37148,,,-6.00953,7.08634,-1.24856,50,5.75577,3.67086,-130.6619,-1.60973,-10.41824,26.80782,-19.88901,CIT_BUL,LON_LAN,RileyPark,D1,SOCON,20260404-RileyPark-1,b8ca4bc0-3048-11f1-8b7b-b9ef3c43e911,88.53619,56.61937,,7.59237,,,,0.9237,3.76118,-0.59191,f56cd8dd-ac33-4598-aafb-904232d41fd0,2026-04-04,17:07:11.19,2026-04-04T13:07:11.1922688-04:00,2026-04-04T17:07:11.1922688Z,,v3,471271,471338,9a8f0bcb13524154808fa9c70b6c6e28,"Daniels, Phillips",1000097151,Right,CIT_BUL,0a4ebaa1-a8e4-46d3-b717-93e07422d7b7,55.06128,-131.69623,13.40391,5.80307,-0.84236,-9.9445,-1.39795,4.07282,-5.20912,348.48756,0.92371,-29.00659,-6.66129,2.42059,1.94959,-11.01513,24.41157,-26.20809,11.00281,3.76118,104.67042,-30.9103,3.98709,-0.02012,-3.17139,7.10794,-7.512,3.10742,-0.59191,17.00296,-3.99825,0.76353,-0.08549,-0.20223,0.47586,-0.49412,0.20034,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
8,2026-04-04,13:07:30.07,2,4,"Coulter, Bryce",10067992,Right,CIT_BUL,"Jones, Brogan",835320,Right,LON_LAN,Undefined,1,Top,1,1,2,ChangeUp,Changeup,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,83.33292,-1.700407,-3.462605,1920.303894,239.801453,2:00,5.6075,1.77014,5.7454,-31.28293,9.30477,13.74068,1.41413,-0.31246,76.38818,-7.481034,-1.005719,0.458531,,,,,,,,,,,,-7.98678,5.60492,-1.49074,50,5.44684,6.76276,-120.80417,-4.60975,-11.79529,23.67117,-23.89642,CIT_BUL,LON_LAN,RileyPark,D1,SOCON,20260404-RileyPark-1,c4140160-3048-11f1-8b7b-b9ef3c43e911,82.20264,,,6.94474,,,,,,,f56cd8dd-ac33-4598-aafb-904232d41fd0,2026-04-04,17:07:30.07,2026-04-04T13:07:30.0780000-04:00,2026-04-04T17:07:30.0780000Z,,v3,471271,471338,9a8f0bcb13524154808fa9c70b6c6e28,"Daniels, Phillips",1000097151,Right,CIT_BUL,7f62ce0c-71d4-4aa5-a746-391afef4fba3,54.75242,-121.73183,11.83559,5.60914,-3.67327,-11.94821,-1.76483,7.22501,-5.89764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.81359,,,0.884937,,,,5.05037,4.71729,3.57508,64.82786,3.5634,60.12668,5.10251,76.64249,-10.4187,4.73223,10.43752,-13.31107,3.57649,66.08879,-2.47256,High,High,High,,,High,High,High
9,2026-04-04,13:07:54.98,3,1,"Coulter, Bryce",10067992,Right,CIT_BUL,"Howard, Jon",10011512,Right,LON_LAN,Undefined,1,Top,2,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.51564,-2.960972,-2.681377,2031.451249,238.603872,2:00,5.63825,1.40021,5.8225,-31.75962,9.43382,13.33068,0.23342,0.01649,76.0411,-8.80762,-0.289982,0.46194,,,,,,,,,,,,-7.62926,6.00552,-1.18919,50,5.37682,5.09871,-119.66098,-7.20364,-11.0747,22.83771,-23.45636,CIT_BUL,LON_LAN,RileyPark,D1,SOCON,20260404-RileyPark-1,d2e7a110-3048-11f1-8b7b-b9ef3c43e911,81.59595,,,6.47454,,,,,,,f56cd8dd-ac33-4598-aafb-904232d41fd0,2026-04-04,17:07:54.98,2026-04-04T13:07:54.9884928-04:00,2026-04-04T17:07:54.9884928Z,,v3,471271,471338,9a8f0bcb13524154808fa9c70b6c6e28,"Daniels, Phillips",1000097151,Right,CIT_BUL,2049ca4f-32e3-40cb-a79a-315d979b757d,54.67681,-120.55026,11.41886,5.63955,-6.29027,-11.72818,-1.39612,5.52995,-5.53735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-04,13:08:11.19,3,2,"Coulter, Bryce",10067992,Right,CIT_BUL,"Howard, Jon",10011512,Right,LON_LAN,Undefined,1,Top,2,1,0,Fastball,Sinker,InPlay,Undefined,FlyBall,Out,1,0,,89.78002,-0.669727,-2.88055,1942.43675,228.822507,1:45,5.73019,1.42243,5.65721,-22.32966,12.7691,13.28646,3.24401,-0.15889,81.78075,-4.846764,-0.509267,0.4264,97.30989,39.755822,21.730264,4691.207124,96.58508,89.53913,52.64336,294.80017,160.54614,38.662894,5.708833,-7.6037,7.01465,-1.18726,50,5.65945,5.9774,-130.22423,-2.27691,-13.01776,28.1169,-20.16479,CIT_BUL,LON_LAN,RileyPark,D1,SOCON,20260404-RileyPark-1,dc8b6ee0-3048-11f1-8b7b-b9ef3c43e911,88.39688,114.15334,,7.99926,,,,1.20099,3.29981,0.18102,f56cd8dd-ac33-4598-aafb-904232d41fd0,2026-04-04,17:08:11.19,2026-04-04T13:08:11.1915520-04:00,2026-04-04T17:08:11.1915520Z,FlyBall,v3,471271,471338,9a8f0bcb13524154808fa9c70b6c6e28,"Daniels, Phillips",1000097151,Right,CIT_BUL,fa40c70e-0833-4c30-b5d9-8ea1b93dd565,54.84052,-131.26519,14.05845,5.72993,-1.53036,-10.0824,-1.41748,6.45935,-6.50888,208.990605,1.2165,101.6158,-30.90116,7.35051,-0.70255,-0.20413,0.08076,-0.0105,0.00049,3.28721,91.48037,-21.89473,1.54367,-0.18874,0.0077,0.01049,-0.00247,0.00016,0.17628,40.7103,-0.02569,-1.13324,0.31875,-0.03686,0.00051,0.00022,-1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
