PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-04,13:02:42.11,1,1,"Harris, Nate",815644,Right,KEN_WIL,"Durnin, Kam",806494,Right,MIZ_TIG,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.6731,-3.337649,-3.67714,2271.778744,203.291511,12:45,6.03972,1.86381,6.02099,-14.09127,17.75694,7.20118,1.76417,-0.94662,85.66774,-6.027249,-2.385538,0.406176,,,,,,,,,,,,-4.69465,10.34808,-1.57931,50,5.76978,8.39784,-135.62447,-8.32435,-8.75333,29.37113,-12.87977,KEN_WIL,MIZ_TIG,UKentucky,D1,SEC,20260404-UKentucky-1,18396830-3048-11f1-9442-c3dc9c040012,92.7984,,,8.00536,,,,,,,7d4a7ce9-047f-4d90-9ba1-63789979eebe,2026-04-04,17:02:42.11,2026-04-04T13:02:42.1176832-04:00,2026-04-04T17:02:42.1176832Z,,v3,471331,4806,5495f02e0a954f489fc9edcebc714328,"Tyson, Tagger",703539,Right,KEN_WIL,aa06ac61-b123-4357-acd4-a2f40897712b,54.47603,-136.59037,14.68556,6.03657,-7.90078,-6.43989,-1.86021,8.68571,-4.37666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-04,13:02:58.03,1,2,"Harris, Nate",815644,Right,KEN_WIL,"Durnin, Kam",806494,Right,MIZ_TIG,Undefined,1,Top,0,0,1,FourSeamFastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,93.65887,-2.623904,-2.552765,2278.670038,208.58258,1:00,6.00058,1.91621,5.95539,-13.18583,19.15033,9.78123,2.46433,0.3624,84.2821,-5.188121,-0.797299,0.409275,66.74775,58.411772,122.840429,5367.352363,,,,,39.67744,,,-5.85607,11.02753,-1.71883,50,5.78463,5.61314,-135.62751,-6.57315,-10.73055,34.16191,-11.96736,KEN_WIL,MIZ_TIG,UKentucky,D1,SEC,20260404-UKentucky-1,21ae5dd0-3048-11f1-9442-c3dc9c040012,92.09556,54.9187,,9.37676,,,,1.14397,2.56657,-0.33594,7d4a7ce9-047f-4d90-9ba1-63789979eebe,2026-04-04,17:02:58.03,2026-04-04T13:02:58.0377088-04:00,2026-04-04T17:02:58.0377088Z,,v3,471331,4806,5495f02e0a954f489fc9edcebc714328,"Tyson, Tagger",703539,Right,KEN_WIL,2543e8ce-15c8-4265-892c-8aeffc5e31f3,54.54109,-136.76654,17.08096,5.99714,-6.17413,-5.98368,-1.91195,5.97092,-5.36528,327.322207,1.14397,-27.80943,-4.88712,2.02542,-0.31148,0.92107,-2.57585,2.57779,-0.89955,2.56657,83.39172,-28.55964,3.56515,-0.83643,0.54566,-0.62518,0.44355,-0.12863,-0.33594,43.08361,-9.86677,2.53038,-0.45704,1.03425,-2.43221,2.31003,-0.7869,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
3,2026-04-04,13:03:19.36,1,3,"Harris, Nate",815644,Right,KEN_WIL,"Durnin, Kam",806494,Right,MIZ_TIG,Undefined,1,Top,0,0,2,FourSeamFastBall,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,94.49664,-1.966377,-2.962015,2220.470345,191.108095,12:15,6.04622,1.88289,6.03806,-13.99028,17.31863,3.19677,3.05649,-0.59575,85.98868,-4.651589,-2.387957,0.402722,,,,,,,,,,,,-2.48965,9.7689,-1.65334,50,5.88489,6.94497,-136.99516,-5.1031,-4.71333,31.34282,-13.67988,KEN_WIL,MIZ_TIG,UKentucky,D1,SEC,20260404-UKentucky-1,2e681e30-3048-11f1-9442-c3dc9c040012,93.59416,,,8.50796,,,,,,,7d4a7ce9-047f-4d90-9ba1-63789979eebe,2026-04-04,17:03:19.36,2026-04-04T13:03:19.3660000-04:00,2026-04-04T17:03:19.3660000Z,,v3,471331,4806,5495f02e0a954f489fc9edcebc714328,"Tyson, Tagger",703539,Right,KEN_WIL,48c89566-610e-48a3-81bc-698db209e023,54.45788,-138.0113,15.67141,6.04315,-4.6596,-6.83994,-1.88097,7.09778,-2.35666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.36587,2.876301,1.88631,0.98999,-2.05981,2.76689,0.73958,-0.61479,6.2866,3.00544,73.89643,7.53097,50.87396,-0.49496,85.05352,-10.00628,6.32428,14.48557,-13.39881,3.02392,51.12207,-2.81568,High,High,High,,,High,High,High
4,2026-04-04,13:03:49.67,2,1,"Harris, Nate",815644,Right,KEN_WIL,"Peer, Kaden",10119948,Left,MIZ_TIG,Undefined,1,Top,1,0,0,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.06892,-1.62088,-3.084575,2275.196098,221.204678,1:15,6.03329,1.92807,5.91851,-16.62253,15.66024,12.80568,3.1413,0.12993,84.97482,-4.773878,-0.788861,0.408937,,,,,,,,,,,,-7.38961,8.77686,-1.688,50,5.89379,6.70596,-134.99559,-4.33915,-13.64027,29.30849,-15.97306,KEN_WIL,MIZ_TIG,UKentucky,D1,SEC,20260404-UKentucky-1,407ba6a0-3048-11f1-9442-c3dc9c040012,92.17165,,,8.0941,,,,,,,7d4a7ce9-047f-4d90-9ba1-63789979eebe,2026-04-04,17:03:49.67,2026-04-04T13:03:49.6730112-04:00,2026-04-04T17:03:49.6730112Z,,v3,471331,4806,5495f02e0a954f489fc9edcebc714328,"Tyson, Tagger",703539,Right,KEN_WIL,43cd0826-022a-49c2-b232-46d11f7d0e1f,54.57918,-135.98613,14.65425,6.03132,-3.79931,-7.98653,-1.92242,7.16696,-6.82013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-04,13:04:04.82,2,2,"Harris, Nate",815644,Right,KEN_WIL,"Peer, Kaden",10119948,Left,MIZ_TIG,Undefined,1,Top,1,0,1,FourSeamFastBall,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,92.54982,-2.563738,-3.374124,2263.021794,212.721788,1:00,5.966,1.90505,6.10669,-12.48083,20.31013,12.30032,2.54948,-0.19367,83.66046,-5.004143,-1.162807,0.412143,99.43754,25.939592,16.821113,2017.883676,105.09643,49.18487,32.47651,350.44881,285.0709,15.464564,4.405232,-7.40961,11.62552,-1.65211,50,5.76218,7.37905,-134.04791,-6.31979,-13.3349,31.92732,-11.25186,KEN_WIL,MIZ_TIG,UKentucky,D1,SEC,20260404-UKentucky-1,497c2f90-3048-11f1-9442-c3dc9c040012,91.45469,65.70134,,8.88936,,,,1.41371,2.61898,0.19976,7d4a7ce9-047f-4d90-9ba1-63789979eebe,2026-04-04,17:04:04.82,2026-04-04T13:04:04.8224768-04:00,2026-04-04T17:04:04.8224768Z,FlyBall,v3,471331,4806,5495f02e0a954f489fc9edcebc714328,"Tyson, Tagger",703539,Right,KEN_WIL,e195b638-b84e-496e-a989-5cc4cf636898,54.39098,-135.0897,15.96366,5.9624,-5.95264,-5.62593,-1.89998,7.81417,-6.66745,189.994355,1.41466,125.51585,-25.84434,6.81852,-1.50301,0.28576,-0.04947,0.00677,-0.00044,2.62086,63.74634,-16.77523,-0.40568,0.84149,-0.39954,0.1085,-0.01522,0.00084,0.19969,37.95419,-5.61959,0.36622,0.09801,-0.04533,0.0096,-0.00111,6E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
6,2026-04-04,13:04:42.46,3,1,"Harris, Nate",815644,Right,KEN_WIL,"Woita, Jase",831805,Left,MIZ_TIG,Undefined,1,Top,2,0,0,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,94.4574,-3.926723,-2.939591,2330.804622,214.380968,1:15,5.99225,1.83913,5.91828,-11.78186,20.00564,12.90233,1.35585,0.18396,85.4009,-6.220994,-0.626386,0.405788,,,,,,,,,,,,-7.47575,11.76886,-1.61069,50,5.6702,6.42576,-136.60871,-9.68516,-13.97534,33.11134,-10.17311,KEN_WIL,MIZ_TIG,UKentucky,D1,SEC,20260404-UKentucky-1,5fed45c0-3048-11f1-9442-c3dc9c040012,92.88697,,,9.0565,,,,,,,7d4a7ce9-047f-4d90-9ba1-63789979eebe,2026-04-04,17:04:42.46,2026-04-04T13:04:42.4640000-04:00,2026-04-04T17:04:42.4640000Z,,v3,471331,4806,5495f02e0a954f489fc9edcebc714328,"Tyson, Tagger",703539,Right,KEN_WIL,b476b3da-48f9-48f0-9395-247a37542016,54.57782,-137.71381,16.55567,5.98779,-9.34563,-5.08656,-1.83293,6.8922,-6.98767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-04,13:04:58.09,3,2,"Harris, Nate",815644,Right,KEN_WIL,"Woita, Jase",831805,Left,MIZ_TIG,Undefined,1,Top,2,1,0,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.3465,-1.717098,-2.816756,2366.695008,197.51139,12:30,5.93214,1.78966,6.14255,-15.78954,16.17103,4.76681,3.02719,-0.41817,84.90177,-4.736912,-1.958707,0.406891,,,,,,,,,,,,-3.26878,9.15831,-1.57726,50,5.79287,6.45273,-135.38124,-4.51649,-6.03797,30.85465,-15.25705,KEN_WIL,MIZ_TIG,UKentucky,D1,SEC,20260404-UKentucky-1,6942f390-3048-11f1-9442-c3dc9c040012,92.63513,,,8.44473,,,,,,,7d4a7ce9-047f-4d90-9ba1-63789979eebe,2026-04-04,17:04:58.09,2026-04-04T13:04:58.0956160-04:00,2026-04-04T17:04:58.0956160Z,,v3,471331,4806,5495f02e0a954f489fc9edcebc714328,"Tyson, Tagger",703539,Right,KEN_WIL,785a6ea6-1512-4105-99b4-4d9248818f40,54.35355,-136.36984,15.42732,5.92975,-4.02764,-7.62852,-1.78712,6.64619,-3.01899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-04,13:05:13.30,3,3,"Harris, Nate",815644,Right,KEN_WIL,"Woita, Jase",831805,Left,MIZ_TIG,Undefined,1,Top,2,1,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,89.08132,-2.789162,-4.77504,1785.398413,248.534951,2:15,5.84614,2.03878,5.95707,-26.92198,8.51158,18.6656,1.00509,-0.8441,81.4487,-7.784692,-1.431187,0.428429,,,,,,,,,,,,-10.9656,5.51036,-1.66934,50,5.60867,9.99308,-128.88197,-7.19893,-18.40405,27.32819,-22.92577,KEN_WIL,MIZ_TIG,UKentucky,D1,SEC,20260404-UKentucky-1,7250c2f0-3048-11f1-9442-c3dc9c040012,87.97827,,,7.63262,,,,,,,7d4a7ce9-047f-4d90-9ba1-63789979eebe,2026-04-04,17:05:13.30,2026-04-04T13:05:13.3050368-04:00,2026-04-04T17:05:13.3050368Z,,v3,471331,4806,5495f02e0a954f489fc9edcebc714328,"Tyson, Tagger",703539,Right,KEN_WIL,6e471786-d0ef-424c-a88c-e346a1e8fe6c,54.54256,-129.8416,13.66409,5.84733,-6.39389,-11.46288,-2.03159,10.63934,-9.20202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-04,13:05:29.36,3,4,"Harris, Nate",815644,Right,KEN_WIL,"Woita, Jase",831805,Left,MIZ_TIG,Undefined,1,Top,2,2,1,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.70742,-3.159691,-4.043765,2327.324618,219.329347,1:15,6.00869,1.73052,6.00455,-15.13024,16.93843,12.96993,1.81008,-0.94147,85.08451,-6.052697,-1.718576,0.407579,,,,,,,,,,,,-7.86044,9.96934,-1.41931,50,5.75129,9.01395,-135.57364,-7.94415,-14.53565,31.41953,-13.73858,KEN_WIL,MIZ_TIG,UKentucky,D1,SEC,20260404-UKentucky-1,7be28f60-3048-11f1-9442-c3dc9c040012,92.47885,,,8.62292,,,,,,,7d4a7ce9-047f-4d90-9ba1-63789979eebe,2026-04-04,17:05:29.36,2026-04-04T13:05:29.3697024-04:00,2026-04-04T17:05:29.3697024Z,,v3,471331,4806,5495f02e0a954f489fc9edcebc714328,"Tyson, Tagger",703539,Right,KEN_WIL,e545c7ff-c6ad-46ca-b1e2-a0b48d1b0ec5,54.49304,-136.61095,15.70977,6.00608,-7.49058,-6.86929,-1.72483,9.49384,-7.26783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-04,13:05:46.47,3,5,"Harris, Nate",815644,Right,KEN_WIL,"Woita, Jase",831805,Left,MIZ_TIG,Undefined,1,Top,2,2,2,FourSeamFastBall,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,95.87857,-1.332023,-3.688742,2350.429096,225.490741,1:30,5.99985,1.86065,5.90529,-15.22583,15.15458,14.44961,3.49181,-0.364,87.66578,-4.222762,-1.101513,0.396705,76.85861,-31.92879,-15.470857,,,,,6.52872,6.43284,-9.737876,0.057879,-8.42508,8.41878,-1.57245,50,5.88397,8.31835,-139.06648,-3.72585,-16.54178,30.43024,-15.64466,KEN_WIL,MIZ_TIG,UKentucky,D1,SEC,20260404-UKentucky-1,86111100-3048-11f1-9442-c3dc9c040012,95.01367,3.46493,,8.2128,,,,1.07572,3.46493,0.37896,7d4a7ce9-047f-4d90-9ba1-63789979eebe,2026-04-04,17:05:46.47,2026-04-04T13:05:46.4743936-04:00,2026-04-04T17:05:46.4743936Z,GroundBall,v3,471331,4806,5495f02e0a954f489fc9edcebc714328,"Tyson, Tagger",703539,Right,KEN_WIL,b971e413-809b-4eca-a083-2c1f9c331662,54.59419,-140.06817,15.21512,5.99814,-3.21087,-7.82233,-1.85523,8.86286,-8.27089,180,1.07215,92.58802,,,,,,,,3.46724,-59.86466,,,,,,,,0.37994,-25.62622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
