PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-04,13:05:38.12,1,1,"Bendik, Brady",10283647,Right,NAV_MID,"Dantoni, Max",10149930,Right,LEH_MOU,Undefined,1,Top,0,0,0,Fastball,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.0724,-0.753359,-3.001481,2193.808382,197.462606,12:30,5.22347,1.73109,5.8488,-24.38946,12.11095,3.41095,2.48995,-0.77634,79.76346,-5.329125,-2.390991,0.434831,,,,,,,,,,,,-2.68122,6.79319,-1.48887,50,5.14799,6.55051,-127.64746,-2.46712,-4.37501,28.97983,-21.08937,NAV_MID,LEH_MOU,USNavalAcademy,D1,PAT,20260404-USNavalAcademy-1,81156e80-3048-11f1-9acd-55935b783912,86.68301,,,8.30894,,,,,,,9a9c2030-503f-4273-82f2-1f78e45260d7,2026-04-04,17:05:38.12,2026-04-04T13:05:38.1203456-04:00,2026-04-04T17:05:38.1203456Z,,v3,471474,471335,,"DePerno, Ty",10277636,Right,NAV_MID,b6f6a8fc-6a71-4474-9099-344a400856ac,54.64947,-128.6987,14.48992,5.22361,-1.7021,-10.54469,-1.72936,6.70921,-2.18751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-04,13:05:50.02,1,2,"Bendik, Brady",10283647,Right,NAV_MID,"Dantoni, Max",10149930,Right,LEH_MOU,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.43333,-2.812259,-4.045046,2213.780202,203.860246,12:45,5.05449,1.67256,6.05872,-24.55241,12.19532,4.84264,0.39687,-1.67415,79.71927,-7.400135,-3.17594,0.436301,,,,,,,,,,,,-3.77008,7.50044,-1.36073,50,4.82225,8.76603,-126.58212,-6.99251,-6.06727,27.79839,-20.10348,NAV_MID,LEH_MOU,USNavalAcademy,D1,PAT,20260404-USNavalAcademy-1,88243990-3048-11f1-9acd-55935b783912,86.39081,,,7.71406,,,,,,,9a9c2030-503f-4273-82f2-1f78e45260d7,2026-04-04,17:05:50.02,2026-04-04T13:05:50.0252672-04:00,2026-04-04T17:05:50.0252672Z,,v3,471474,471335,,"DePerno, Ty",10277636,Right,NAV_MID,1d38b919-8890-463c-bc99-74f242448036,54.44274,-127.55405,13.89919,5.05445,-6.28962,-10.05174,-1.67093,8.97816,-3.03364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-04,13:06:03.77,1,3,"Bendik, Brady",10283647,Right,NAV_MID,"Dantoni, Max",10149930,Right,LEH_MOU,Undefined,1,Top,0,1,1,Fastball,Cutter,InPlay,Undefined,FlyBall,Out,1,0,,86.78817,-1.071192,-2.737645,2184.828369,194.982524,12:30,5.02835,1.92654,5.85103,-25.91895,11.34863,2.71599,1.87182,-0.39291,79.31844,-5.902417,-2.251226,0.439377,78.04785,53.209043,34.432693,,74.56652,102.59469,80.86904,189.05193,85.45756,51.76346,5.159335,-2.20559,6.45874,-1.70559,50,4.92598,5.916,-125.94979,-3.19363,-3.53049,26.41932,-21.83556,NAV_MID,LEH_MOU,USNavalAcademy,D1,PAT,20260404-USNavalAcademy-1,90682940-3048-11f1-9acd-55935b783912,85.78616,102.60392,,7.46973,,,,2.06301,2.08175,0.38813,9a9c2030-503f-4273-82f2-1f78e45260d7,2026-04-04,17:06:03.77,2026-04-04T13:06:03.7790208-04:00,2026-04-04T17:06:03.7790208Z,Popup,v3,471474,471335,,"DePerno, Ty",10277636,Right,NAV_MID,0534cdad-03b0-477f-b0c7-f7e5daaa437d,54.65053,-126.92154,13.20966,5.02868,-2.39048,-10.91778,-1.92558,6.04586,-1.76524,205.888485,2.06948,56.34696,-19.27053,4.15974,0.53747,-0.7412,0.23155,-0.03202,0.00168,2.06174,92.05884,-26.51496,4.55035,-1.87448,0.61704,-0.11528,0.01076,-0.00039,0.38177,38.89647,-2.82136,0.56101,-0.48976,0.24936,-0.06287,0.00776,-0.00037,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
4,2026-04-04,13:06:40.24,2,1,"Bendik, Brady",10283647,Right,NAV_MID,"Cochran, Ryan",1000189704,Right,LEH_MOU,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.32199,-2.562382,-2.866287,2287.741139,211.579245,1:00,5.18366,1.6997,6.1536,-19.59174,15.8706,9.07245,1.17901,-0.19472,81.05559,-6.260576,-1.23195,0.428603,,,,,,,,,,,,-5.57406,9.29016,-1.48668,50,4.97851,6.07318,-128.18372,-6.32086,-9.28663,26.16347,-16.69619,NAV_MID,LEH_MOU,USNavalAcademy,D1,PAT,20260404-USNavalAcademy-1,a623f930-3048-11f1-9acd-55935b783912,87.94256,,,7.2664,,,,,,,9a9c2030-503f-4273-82f2-1f78e45260d7,2026-04-04,17:06:40.24,2026-04-04T13:06:40.2416128-04:00,2026-04-04T17:06:40.2416128Z,,v3,471474,471335,,"DePerno, Ty",10277636,Right,NAV_MID,afc459b2-6273-423f-b2f0-fa5b4e085d02,54.34873,-129.06828,13.08174,5.18267,-5.75638,-8.3481,-1.69731,6.38715,-4.64332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-04,13:06:53.81,2,2,"Bendik, Brady",10283647,Right,NAV_MID,"Cochran, Ryan",1000189704,Right,LEH_MOU,Undefined,1,Top,1,1,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,72.23619,2.061564,-0.569542,2383.350869,74.811863,8:30,5.27133,1.65774,5.5685,-57.75708,-2.70803,-17.14347,2.38495,-0.30293,65.53966,-8.531168,-3.62934,0.534006,,,,,,,,,,,,8.52563,-1.54524,-1.59687,50,5.41112,1.65059,-104.73629,2.01297,9.30266,20.60909,-33.8601,NAV_MID,LEH_MOU,USNavalAcademy,D1,PAT,20260404-USNavalAcademy-1,ae3fc770-3048-11f1-9acd-55935b783912,70.58427,,,6.69653,,,,,,,9a9c2030-503f-4273-82f2-1f78e45260d7,2026-04-04,17:06:53.81,2026-04-04T13:06:53.8117632-04:00,2026-04-04T17:06:53.8117632Z,,v3,471474,471335,,"DePerno, Ty",10277636,Right,NAV_MID,b86e61c6-9069-4ea9-bd6e-3ae61118d90c,54.93234,-105.70238,10.30454,5.27955,3.60022,-16.93005,-1.66402,1.21451,4.65133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-04,13:07:09.06,2,3,"Bendik, Brady",10283647,Right,NAV_MID,"Cochran, Ryan",1000189704,Right,LEH_MOU,Undefined,1,Top,1,1,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,74.15545,1.089598,-1.667681,2407.452632,72.396329,8:30,5.18993,1.64932,5.51963,-56.43153,-4.23177,-18.94859,1.50662,-1.48944,67.67361,-9.20356,-5.045662,0.520003,,,,,,,,,,,,9.13504,-2.08658,-1.49068,50,5.24672,3.81368,-107.56862,0.27466,10.53566,21.3876,-34.58054,NAV_MID,LEH_MOU,USNavalAcademy,D1,PAT,20260404-USNavalAcademy-1,b74e3310-3048-11f1-9acd-55935b783912,72.48508,,,6.48184,,,,,,,9a9c2030-503f-4273-82f2-1f78e45260d7,2026-04-04,17:07:09.06,2026-04-04T13:07:09.0672128-04:00,2026-04-04T17:07:09.0672128Z,,v3,471474,471335,,"DePerno, Ty",10277636,Right,NAV_MID,67e731d3-2b69-4057-890b-d124b95a07a3,54.98263,-108.55478,10.6938,5.19729,1.86913,-17.29027,-1.65532,3.32789,5.26783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-04,13:07:24.14,2,4,"Bendik, Brady",10283647,Right,NAV_MID,"Cochran, Ryan",1000189704,Right,LEH_MOU,Undefined,1,Top,1,2,1,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,73.0274,1.759156,-0.6483,2326.545665,86.520754,9:00,5.29794,1.56114,5.52448,-53.20633,0.93327,-17.2869,2.50935,-0.48556,65.96723,-8.025395,-3.731243,0.529577,,,,,,,,,,,,8.51418,0.43417,-1.49281,50,5.41572,1.8296,-105.82219,1.61525,9.45266,21.58044,-31.69203,NAV_MID,LEH_MOU,USNavalAcademy,D1,PAT,20260404-USNavalAcademy-1,c051c940-3048-11f1-9acd-55935b783912,71.17466,,,7.06017,,,,,,,9a9c2030-503f-4273-82f2-1f78e45260d7,2026-04-04,17:07:24.14,2026-04-04T13:07:24.1453568-04:00,2026-04-04T17:07:24.1453568Z,,v3,471474,471335,,"DePerno, Ty",10277636,Right,NAV_MID,1d73aeca-a8d2-4339-86df-d2511f40f616,54.97438,-106.83181,10.79022,5.30547,3.09792,-15.84601,-1.56806,1.38737,4.72633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-04,13:07:39.14,2,5,"Bendik, Brady",10283647,Right,NAV_MID,"Cochran, Ryan",1000189704,Right,LEH_MOU,Undefined,1,Top,1,2,2,Curveball,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,74.06755,1.800234,-2.033586,2371.787753,79.196232,8:45,5.1586,1.47746,5.68219,-54.01609,-1.40299,-17.68749,2.33697,-1.89292,66.71317,-8.14751,-5.19143,0.522058,,,,,,,,,,,,8.25119,-0.77854,-1.29486,50,5.27691,4.45652,-107.25379,1.71539,9.36228,23.02892,-33.05743,NAV_MID,LEH_MOU,USNavalAcademy,D1,PAT,20260404-USNavalAcademy-1,c949edc0-3048-11f1-9acd-55935b783912,72.19977,,,7.35438,,,,,,,9a9c2030-503f-4273-82f2-1f78e45260d7,2026-04-04,17:07:39.14,2026-04-04T13:07:39.1484416-04:00,2026-04-04T17:07:39.1484416Z,,v3,471474,471335,,"DePerno, Ty",10277636,Right,NAV_MID,88bdcd34-eeee-4370-a9a7-15ec80d696d1,54.81636,-108.283,11.51446,5.16723,3.19279,-16.52871,-1.48468,4.0381,4.68114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-04,13:07:55.54,2,6,"Bendik, Brady",10283647,Right,NAV_MID,"Cochran, Ryan",1000189704,Right,LEH_MOU,Undefined,1,Top,1,3,2,Curveball,Curveball,BallCalled,Walk,Undefined,Undefined,0,0,,73.03352,1.764031,-1.914605,2331.240056,82.7199,8:45,5.19057,1.65336,5.66675,-54.63038,-0.44839,-19.48395,2.28431,-1.75619,65.77527,-8.298774,-5.392151,0.529784,,,,,,,,,,,,9.20461,-0.27866,-1.47899,50,5.30568,4.23907,-105.75721,1.61021,10.14451,22.55322,-32.48118,NAV_MID,LEH_MOU,USNavalAcademy,D1,PAT,20260404-USNavalAcademy-1,d30f4d50-3048-11f1-9acd-55935b783912,71.14679,,,7.25824,,,,,,,9a9c2030-503f-4273-82f2-1f78e45260d7,2026-04-04,17:07:55.54,2026-04-04T13:07:55.5497984-04:00,2026-04-04T17:07:55.5497984Z,,v3,471474,471335,,"DePerno, Ty",10277636,Right,NAV_MID,08cbc2ca-a153-439d-aeae-a9ece29e1393,54.83192,-106.78267,11.27661,5.19889,3.08708,-16.24059,-1.66125,3.77781,5.07225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-04,13:08:25.97,3,1,"Bendik, Brady",10283647,Right,NAV_MID,"Walewander, Owen",1000189701,Right,LEH_MOU,Undefined,1,Top,1,0,0,Fastball,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,85.34845,-2.621128,-4.319781,2274.399169,186.951691,12:15,5.31462,1.24219,5.75852,-26.77501,12.14532,1.32457,0.6349,-2.67602,78.10898,-7.576297,-4.083642,0.449014,,,,,,,,,,,,-1.92134,7.33256,-0.88429,50,5.08041,9.27225,-123.46388,-6.53173,-2.9557,25.3536,-20.89402,NAV_MID,LEH_MOU,USNavalAcademy,D1,PAT,20260404-USNavalAcademy-1,e5203db0-3048-11f1-9acd-55935b783912,83.94495,,,7.23947,,,,,,,9a9c2030-503f-4273-82f2-1f78e45260d7,2026-04-04,17:08:25.97,2026-04-04T13:08:25.9773440-04:00,2026-04-04T17:08:25.9773440Z,,v3,471474,471335,,"DePerno, Ty",10277636,Right,NAV_MID,bcf0b736-7b36-4100-85ba-db889f9038a9,54.74012,-124.43347,12.6768,5.31492,-5.73269,-10.44701,-1.24104,9.38528,-1.47785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
