PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-04,13:01:59.08,1,1,"Lewis, Hayden",1000292758,Right,WAS_HUS,"Bennett, Gavin ",812517,Left,VAL_CRU,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,,89.00127,-1.861616,-2.341709,2269.938013,207.048203,1:00,5.74872,2.22868,6.41525,-15.49052,19.74115,9.40343,2.74435,0.85828,79.91811,-4.889921,-0.638929,0.427207,85.70736,18.801602,5.324349,1188.462801,109.38133,27.81715,11.6494,260.04978,260.04978,7.863055,2.829851,-5.68878,11.30343,-2.06538,50,5.60844,4.90052,-129.02939,-4.56095,-9.40318,31.73376,-13.49016,WAS_HUS,VAL_CRU,UofWashington,D1,BIG10,20260404-UofWashington-2,23daaa50-3061-11f1-a69d-05c6b139f0b5,88.23,29.20504,,9.08316,,,,1.7805,2.8322,-0.85631,038c8ec8-f649-4e36-9fb5-7ad16fc117d4,2026-04-04,20:01:59.08,2026-04-04T13:01:59.0880768-07:00,2026-04-04T20:01:59.0880768Z,LineDrive,v3,471486,471476,f438c5bba52f4a5bb1f11ac295a4d62e,"Swidler, Ethan",835029,Right,WAS_HUS,24a82d63-4110-4cec-9a12-adf71e512841,54.08044,-130.02907,15.86688,5.74542,-4.13599,-6.74508,-2.22443,5.19674,-4.70159,211.718449,1.7805,118.48225,-16.24719,3.50161,-0.64718,0.08064,0.00148,-0.00283,0.00037,2.83218,40.5151,-16.54914,0.91529,-0.21389,0.11883,-0.05312,0.01295,-0.00124,-0.85632,11.04281,1.63849,-0.63884,0.12896,0.01604,-0.02113,0.00593,-0.00059,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
2,2026-04-04,13:02:31.18,2,1,"Lewis, Hayden",1000292758,Right,WAS_HUS,"Gauthier, Javin",10014591,Left,VAL_CRU,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.20056,-2.669891,-2.814685,2219.731229,214.977844,1:15,5.89155,2.31845,6.22223,-16.90269,19.27816,12.53123,2.0147,0.76349,79.30569,-5.939484,-0.554277,0.432923,,,,,,,,,,,,-7.3778,11.23922,-2.11362,50,5.68301,5.76058,-127.70256,-6.38852,-11.96362,30.7206,-13.9488,WAS_HUS,VAL_CRU,UofWashington,D1,BIG10,20260404-UofWashington-2,36fbf940-3061-11f1-a69d-05c6b139f0b5,87.06501,,,8.89487,,,,,,,038c8ec8-f649-4e36-9fb5-7ad16fc117d4,2026-04-04,20:02:31.18,2026-04-04T13:02:31.1828992-07:00,2026-04-04T20:02:31.1828992Z,,v3,471486,471476,f438c5bba52f4a5bb1f11ac295a4d62e,"Swidler, Ethan",835029,Right,WAS_HUS,3a09c40c-e239-4b0b-b002-5e96464a12bc,54.27257,-128.72628,15.3603,5.88816,-5.92369,-6.9744,-2.31222,6.15926,-5.98181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-04,13:02:46.23,2,2,"Lewis, Hayden",1000292758,Right,WAS_HUS,"Gauthier, Javin",10014591,Left,VAL_CRU,Undefined,1,Top,0,0,1,ChangeUp,Splitter,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,83.84212,-0.845978,-3.156243,1009.210919,255.422586,2:30,5.79208,2.21745,6.12584,-35.52608,4.41457,11.53906,2.04831,0.25848,76.01153,-7.458374,-1.076999,0.454861,,,,,,,,,,,,-6.92004,2.99398,-1.98156,50,5.70924,6.24595,-121.53417,-2.92561,-10.21346,26.75328,-27.75513,WAS_HUS,VAL_CRU,UofWashington,D1,BIG10,20260404-UofWashington-2,3ff926d0-3061-11f1-a69d-05c6b139f0b5,82.86579,,,7.83059,,,,,,,038c8ec8-f649-4e36-9fb5-7ad16fc117d4,2026-04-04,20:02:46.23,2026-04-04T13:02:46.2379008-07:00,2026-04-04T20:02:46.2379008Z,,v3,471486,471476,f438c5bba52f4a5bb1f11ac295a4d62e,"Swidler, Ethan",835029,Right,WAS_HUS,a8718ff9-fe8d-4b5d-b425-e1b8da610bdf,54.37051,-122.49247,13.37664,5.79623,-1.93142,-13.87757,-2.21184,6.6118,-5.10673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-04,13:03:04.23,2,3,"Lewis, Hayden",1000292758,Right,WAS_HUS,"Gauthier, Javin",10014591,Left,VAL_CRU,Undefined,1,Top,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.48582,-1.268201,-1.450791,2338.829936,213.239135,1:00,5.79441,2.37312,6.43029,-15.71914,18.108,11.07981,3.31835,1.96277,81.67694,-4.321962,0.557799,0.418605,,,,,,,,,,,,-6.20874,10.18859,-2.27435,50,5.69676,2.87174,-131.34742,-3.29644,-10.7005,31.31285,-14.61443,WAS_HUS,VAL_CRU,UofWashington,D1,BIG10,20260404-UofWashington-2,4aaf4f00-3061-11f1-a69d-05c6b139f0b5,90.04302,,,8.80888,,,,,,,038c8ec8-f649-4e36-9fb5-7ad16fc117d4,2026-04-04,20:03:04.23,2026-04-04T13:03:04.2366976-07:00,2026-04-04T20:03:04.2366976Z,,v3,471486,471476,f438c5bba52f4a5bb1f11ac295a4d62e,"Swidler, Ethan",835029,Right,WAS_HUS,7e9d597d-e522-4833-a6ce-1f14098f9399,54.06527,-132.31301,15.65643,5.79146,-2.84577,-7.30721,-2.368,3.20171,-5.35025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-04,13:03:20.63,2,4,"Lewis, Hayden",1000292758,Right,WAS_HUS,"Gauthier, Javin",10014591,Left,VAL_CRU,Undefined,1,Top,0,1,2,Curveball,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,78.39271,1.397245,-1.688543,2360.838534,36.559821,7:15,5.7422,2.36538,5.68097,-51.07609,-5.13146,-4.88048,2.78914,0.38424,71.88814,-7.945765,-2.561491,0.487853,,,,,,,,,,,,2.01236,-2.6687,-2.21993,50,5.82742,3.53733,-113.82747,1.10771,2.62939,21.6934,-35.66104,WAS_HUS,VAL_CRU,UofWashington,D1,BIG10,20260404-UofWashington-2,547bb370-3061-11f1-a69d-05c6b139f0b5,77.26191,,,6.50457,,,,,,,038c8ec8-f649-4e36-9fb5-7ad16fc117d4,2026-04-04,20:03:20.63,2026-04-04T13:03:20.6392320-07:00,2026-04-04T20:03:20.6392320Z,,v3,471486,471476,f438c5bba52f4a5bb1f11ac295a4d62e,"Swidler, Ethan",835029,Right,WAS_HUS,6f5b1feb-dfa0-46ac-9d9b-7e54a0cfa187,54.81994,-114.74238,10.8467,5.74899,2.61171,-17.83052,-2.36678,3.42644,1.31469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-04,13:03:43.90,2,5,"Lewis, Hayden",1000292758,Right,WAS_HUS,"Gauthier, Javin",10014591,Left,VAL_CRU,Undefined,1,Top,0,1,2,ChangeUp,Splitter,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,84.94888,-0.713597,-2.418202,1115.136424,263.053689,2:45,5.73193,2.39729,5.98326,-36.46923,2.42646,9.13985,2.03078,0.91623,77.38676,-7.462693,-0.774144,0.448872,,,,,,,,,,,,-5.45591,1.82717,-2.21141,50,5.65537,4.84618,-123.27435,-2.74065,-8.31873,26.60085,-29.38812,WAS_HUS,VAL_CRU,UofWashington,D1,BIG10,20260404-UofWashington-2,62527c90-3061-11f1-a69d-05c6b139f0b5,83.97154,,,7.56213,,,,,,,038c8ec8-f649-4e36-9fb5-7ad16fc117d4,2026-04-04,20:03:43.90,2026-04-04T13:03:43.9091200-07:00,2026-04-04T20:03:43.9091200Z,,v3,471486,471476,f438c5bba52f4a5bb1f11ac295a4d62e,"Swidler, Ethan",835029,Right,WAS_HUS,13f60734-9721-46cb-92db-e66d6d352480,54.51543,-124.24489,13.30043,5.7358,-1.66841,-14.69406,-2.39376,5.1497,-4.15936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-04,13:04:07.68,2,6,"Lewis, Hayden",1000292758,Right,WAS_HUS,"Gauthier, Javin",10014591,Left,VAL_CRU,Undefined,1,Top,0,1,2,Curveball,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,78.84042,-1.041602,-2.28945,2444.934848,38.076151,7:15,5.75157,2.44922,5.59639,-50.83987,-5.39209,-5.30063,0.54156,-0.13114,73.00853,-10.255128,-3.237444,0.485208,,,,,,,,,,,,2.0713,-2.11087,-2.24933,50,5.62874,4.77537,-114.47946,-3.7756,2.74681,21.27479,-34.97329,WAS_HUS,VAL_CRU,UofWashington,D1,BIG10,20260404-UofWashington-2,7084fa40-3061-11f1-a69d-05c6b139f0b5,77.68311,,,5.83189,,,,,,,038c8ec8-f649-4e36-9fb5-7ad16fc117d4,2026-04-04,20:04:07.68,2026-04-04T13:04:07.6845568-07:00,2026-04-04T20:04:07.6845568Z,,v3,471486,471476,f438c5bba52f4a5bb1f11ac295a4d62e,"Swidler, Ethan",835029,Right,WAS_HUS,8d710b06-b82d-4196-a39a-3eb658bff6ec,54.90505,-115.38741,10.6374,5.75803,-2.28303,-17.48664,-2.45063,4.65814,1.37341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-04,13:04:39.01,3,1,"Lewis, Hayden",1000292758,Right,WAS_HUS,"Cooper, Thomas",10047260,Right,VAL_CRU,Undefined,1,Top,1,0,0,ChangeUp,Splitter,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,83.85089,0.256526,-2.582824,1042.571715,302.154929,4:00,5.75169,2.32312,6.2114,-44.12672,-4.59398,9.39138,2.31146,0.72044,76.51926,-7.902858,-0.885898,0.452532,,,,,,,,,,,,-5.68292,-2.12721,-2.13409,50,5.74887,5.14092,-121.76798,-0.87802,-8.45702,25.8857,-35.33964,WAS_HUS,VAL_CRU,UofWashington,D1,BIG10,20260404-UofWashington-2,832b9af0-3061-11f1-a69d-05c6b139f0b5,83.29223,,,7.33163,,,,,,,038c8ec8-f649-4e36-9fb5-7ad16fc117d4,2026-04-04,20:04:39.01,2026-04-04T13:04:39.0118400-07:00,2026-04-04T20:04:39.0118400Z,,v3,471486,471476,f438c5bba52f4a5bb1f11ac295a4d62e,"Swidler, Ethan",835029,Right,WAS_HUS,24c821af-ceb4-42b8-aef2-c4712a189af2,54.28889,-122.67633,12.94285,5.75792,0.36208,-17.66982,-2.31969,5.43768,-4.22851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-04,13:05:12.15,3,2,"Lewis, Hayden",1000292758,Right,WAS_HUS,"Cooper, Thomas",10047260,Right,VAL_CRU,Undefined,1,Top,1,0,1,Curveball,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,77.36549,1.227881,-1.989209,2292.017397,38.541781,7:15,5.78594,2.17384,5.52583,-58.61854,-10.67363,-9.81032,2.04983,-0.50407,70.52949,-9.440182,-3.739733,0.498359,,,,,,,,,,,,4.29729,-5.24721,-1.99424,50,5.8539,4.27872,-112.19535,0.41613,5.3969,23.08689,-38.76394,WAS_HUS,VAL_CRU,UofWashington,D1,BIG10,20260404-UofWashington-2,96f6e580-3061-11f1-a69d-05c6b139f0b5,75.63306,,,6.83599,,,,,,,038c8ec8-f649-4e36-9fb5-7ad16fc117d4,2026-04-04,20:05:12.15,2026-04-04T13:05:12.1522176-07:00,2026-04-04T20:05:12.1522176Z,,v3,471486,471476,f438c5bba52f4a5bb1f11ac295a4d62e,"Swidler, Ethan",835029,Right,WAS_HUS,b475b756-60a0-4b17-b3f4-b660dbd9bf10,54.97413,-113.21427,11.54345,5.79778,2.12694,-19.38197,-2.17782,4.04053,2.69845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-04,13:05:29.73,3,3,"Lewis, Hayden",1000292758,Right,WAS_HUS,"Cooper, Thomas",10047260,Right,VAL_CRU,Undefined,1,Top,1,0,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.30457,-0.958993,-3.516442,2333.18276,200.060768,12:45,5.80105,2.27336,6.46379,-13.03961,21.071,7.23973,3.83184,-0.35721,81.17112,-3.53925,-2.207071,0.420355,74.9967,31.335616,165.314243,3200.93724,-108.32148,35.66334,19.14306,188.69354,64.2622,174.598054,2.640161,-4.91587,11.66694,-2.02785,50,5.72708,7.74778,-130.86534,-2.4653,-8.38498,31.845,-12.27379,WAS_HUS,VAL_CRU,UofWashington,D1,BIG10,20260404-UofWashington-2,a166b5e0-3061-11f1-a69d-05c6b139f0b5,89.6681,35.99734,,9.13345,,,,0.81952,3.67662,0.35602,038c8ec8-f649-4e36-9fb5-7ad16fc117d4,2026-04-04,20:05:29.73,2026-04-04T13:05:29.7395200-07:00,2026-04-04T20:05:29.7395200Z,FlyBall,v3,471486,471476,f438c5bba52f4a5bb1f11ac295a4d62e,"Swidler, Ethan",835029,Right,WAS_HUS,1857e164-c6c6-435a-8b18-b5025db2f2a5,54.03157,-131.84274,15.9225,5.79697,-2.08859,-6.13689,-2.2696,8.00513,-4.19249,319.128225,0.81964,-90.88896,6.31113,0.26928,0.38429,-0.41446,0.22315,-0.05932,0.00606,3.67677,57.19423,-28.61283,3.268,-0.32344,-0.09959,0.07321,-0.01641,0.00127,0.35599,23.82031,-8.60419,1.33815,-0.451,0.23941,-0.11388,0.03034,-0.00318,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
