PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-04,13:06:52.27,1,1,"Nuanez, Johnny",1000349756,Right,WIC_SHO,"Harrison, Kaikea",804662,Left,TUL_GRE,Undefined,1,Top,0,0,0,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.05109,-1.480466,-2.787836,2439.324524,232.826764,1:45,5.21357,1.8388,5.94998,-19.96781,13.45091,16.1317,2.17459,0.59546,82.92838,-5.267435,0.108178,0.41607,,,,,,,,,,,,-9.15804,7.72465,-1.62592,50,5.08463,5.78574,-133.38772,-4.08447,-16.24593,32.8073,-18.47087,WIC_SHO,TUL_GRE,WichitaState,D1,AMER,20260404-WichitaState-1,0f167410-3051-11f1-9f80-673f3caab3a4,90.59162,,,9.12272,,,,,,,4ff2b7b6-cd11-4c22-9b9d-2fc0b51d057f,2026-04-04,18:06:52.27,2026-04-04T13:06:52.2737152-05:00,2026-04-04T18:06:52.2737152Z,,v3,471492,471471,2847bf3d70034c78b49857c33e0dd1a7,"Gonzalez, Ethan",1000275367,Right,WIC_SHO,c704f02e-56b1-47d8-a214-c7cecb087cc1,54.5466,-134.50133,16.40365,5.21263,-3.45749,-9.23544,-1.83167,6.33719,-8.12297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-04,13:07:09.28,1,2,"Nuanez, Johnny",1000349756,Right,WIC_SHO,"Harrison, Kaikea",804662,Left,TUL_GRE,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.64762,0.167013,-1.846869,2477.881675,228.730459,1:30,5.19837,1.74214,6.09245,-18.49525,13.26942,13.92544,3.81166,1.1937,85.00172,-3.347777,0.660787,0.405643,,,,,,,,,,,,-7.65245,7.09248,-1.60662,50,5.20142,3.76221,-135.96468,-0.1802,-14.24652,31.3349,-18.97002,WIC_SHO,TUL_GRE,WichitaState,D1,AMER,20260404-WichitaState-1,192f23c0-3051-11f1-9f80-673f3caab3a4,92.92032,,,8.6459,,,,,,,4ff2b7b6-cd11-4c22-9b9d-2fc0b51d057f,2026-04-04,18:07:09.28,2026-04-04T13:07:09.2807168-05:00,2026-04-04T18:07:09.2807168Z,,v3,471492,471471,2847bf3d70034c78b49857c33e0dd1a7,"Gonzalez, Ethan",1000275367,Right,WIC_SHO,ad4c8c1b-7f8c-4de3-8479-c65f51ab3761,54.40374,-136.97582,15.66745,5.19736,0.43194,-9.48501,-1.73545,4.22193,-7.12326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-04,13:07:23.06,1,3,"Nuanez, Johnny",1000349756,Right,WIC_SHO,"Harrison, Kaikea",804662,Left,TUL_GRE,Undefined,1,Top,0,1,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,80.76113,0.995963,-2.358761,1626.589512,282.418748,3:30,4.8915,1.98237,5.6928,-45.19983,-2.03252,15.35257,2.05392,1.06227,74.06768,-7.290188,0.387479,0.472878,,,,,,,,,,,,-8.44882,-0.89039,-1.79381,50,4.94701,4.22552,-117.25842,0.51343,-11.75667,22.28572,-33.41305,WIC_SHO,TUL_GRE,WichitaState,D1,AMER,20260404-WichitaState-1,21733a80-3051-11f1-9f80-673f3caab3a4,79.70865,,,6.69345,,,,,,,4ff2b7b6-cd11-4c22-9b9d-2fc0b51d057f,2026-04-04,18:07:23.06,2026-04-04T13:07:23.0611968-05:00,2026-04-04T18:07:23.0611968Z,,v3,471492,471471,2847bf3d70034c78b49857c33e0dd1a7,"Gonzalez, Ethan",1000275367,Right,WIC_SHO,63117514-da4d-4ca9-b221-202d399a3c78,54.80734,-118.16855,11.14286,4.89818,1.878,-16.70653,-1.97618,4.70566,-5.87834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-04,13:07:37.51,1,4,"Nuanez, Johnny",1000349756,Right,WIC_SHO,"Harrison, Kaikea",804662,Left,TUL_GRE,Undefined,1,Top,0,1,2,ChangeUp,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,81.43503,0.153858,-3.037963,1554.644307,285.577251,3:30,4.89452,2.02488,5.82911,-44.7692,-2.72024,14.23123,1.30698,0.38417,75.18233,-8.043834,-0.486134,0.466712,,,,,,,,,,,,-8.10268,-1.07421,-1.78524,50,4.88041,5.73366,-118.2868,-1.17111,-11.5333,21.58133,-33.70308,WIC_SHO,TUL_GRE,WichitaState,D1,AMER,20260404-WichitaState-1,2a101fa0-3051-11f1-9f80-673f3caab3a4,80.76162,,,6.25269,,,,,,,4ff2b7b6-cd11-4c22-9b9d-2fc0b51d057f,2026-04-04,18:07:37.51,2026-04-04T13:07:37.5180000-05:00,2026-04-04T18:07:37.5180000Z,,v3,471492,471471,2847bf3d70034c78b49857c33e0dd1a7,"Gonzalez, Ethan",1000275367,Right,WIC_SHO,af121bb7-16a9-4c0e-9b1b-510a2fd850de,54.67229,-119.13621,10.79066,4.9004,0.15538,-16.85154,-2.01984,6.18759,-5.76665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.29634,,,1.251074,,,,4.04759,5.03812,3.50516,64.13333,3.69438,60.65147,4.08113,52.04153,-3.26516,5.0744,17.37407,-14.81347,3.52677,48.48643,-2.28134,High,High,High,,,High,High,High
5,2026-04-04,13:08:05.07,2,1,"Nuanez, Johnny",1000349756,Right,WIC_SHO,"Johnson, Nate",832159,Left,TUL_GRE,Undefined,1,Top,1,0,0,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,81.50408,0.669307,-3.65497,1551.797715,266.724478,3:00,4.95462,1.9136,5.59633,-40.31227,2.21854,15.75773,2.22146,-0.19029,74.78031,-6.72279,-0.847274,0.469379,85.55891,-6.064565,59.729055,,,,,19.86057,19.0128,54.85055,0.15125,-9.03095,1.29366,-1.61073,50,4.98563,6.93281,-118.21592,0.02411,-12.80542,22.11319,-30.33971,WIC_SHO,TUL_GRE,WichitaState,D1,AMER,20260404-WichitaState-1,3a7c1290-3051-11f1-9f80-673f3caab3a4,80.30283,2.32397,,6.72377,,,,2.1699,2.32397,0.15594,4ff2b7b6-cd11-4c22-9b9d-2fc0b51d057f,2026-04-04,18:08:05.07,2026-04-04T13:08:05.0772480-05:00,2026-04-04T18:08:05.0772480Z,GroundBall,v3,471492,471471,2847bf3d70034c78b49857c33e0dd1a7,"Gonzalez, Ethan",1000275367,Right,WIC_SHO,62b75c2f-eaa6-4ce8-aa9c-e2170b4fafc0,54.90435,-119.12978,11.0566,4.95872,1.27795,-15.16986,-1.90817,7.46201,-6.40271,272.107718,2.17017,62.87904,-10.7947,,,,,,,2.3241,-13.26923,-13.86857,,,,,,,0.15611,107.75512,-9.40718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2026-04-04,13:08:21.94,2,2,"Nuanez, Johnny",1000349756,Right,WIC_SHO,"Johnson, Nate",832159,Left,TUL_GRE,Undefined,1,Top,1,0,1,Sweeper,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,78.75785,1.418138,1.050221,2190.397864,79.991459,8:45,5.15841,1.81961,5.39476,-47.38888,-1.25791,-15.71009,2.53885,1.49475,71.86146,-7.243279,-1.74598,0.488841,,,,,,,,,,,,8.12508,-0.51732,-1.90226,50,5.25212,-1.45335,-114.26482,1.19137,10.67857,22.21925,-32.85397,WIC_SHO,TUL_GRE,WichitaState,D1,AMER,20260404-WichitaState-1,44913fd0-3051-11f1-9f80-673f3caab3a4,77.10573,,,6.89639,,,,,,,4ff2b7b6-cd11-4c22-9b9d-2fc0b51d057f,2026-04-04,18:08:21.94,2026-04-04T13:08:21.9449344-05:00,2026-04-04T18:08:21.9449344Z,,v3,471492,471471,2847bf3d70034c78b49857c33e0dd1a7,"Gonzalez, Ethan",1000275367,Right,WIC_SHO,e89a6a89-71fa-4fbc-8fe8-ed8c3e4159a7,55.10327,-115.2529,11.10963,5.16665,2.65237,-16.42698,-1.82707,-1.92822,5.33928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-04,13:08:37.49,2,3,"Nuanez, Johnny",1000349756,Right,WIC_SHO,"Johnson, Nate",832159,Left,TUL_GRE,Undefined,1,Top,1,1,1,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,,93.74807,-0.687388,-2.393941,2490.775825,220.092969,1:15,5.21233,1.61434,6.1392,-18.93946,13.32591,10.15796,2.99821,0.24717,83.61313,-4.318588,-0.563904,0.408827,94.83072,17.571031,-2.831841,1621.878927,109.61866,27.07546,-9.15142,260.78573,260.78573,-7.194358,2.729147,-6.07855,7.47469,-1.43684,50,5.15027,5.22931,-135.81549,-2.20821,-11.06354,36.83024,-18.56944,WIC_SHO,TUL_GRE,WichitaState,D1,AMER,20260404-WichitaState-1,4dc6bb70-3051-11f1-9f80-673f3caab3a4,92.19656,28.74132,,10.13493,,,,0.49749,2.98279,-0.24355,4ff2b7b6-cd11-4c22-9b9d-2fc0b51d057f,2026-04-04,18:08:37.49,2026-04-04T13:08:37.4910464-05:00,2026-04-04T18:08:37.4910464Z,LineDrive,v3,471492,471471,2847bf3d70034c78b49857c33e0dd1a7,"Gonzalez, Ethan",1000275367,Right,WIC_SHO,b1effe67-aaf7-427a-972e-2d9b0387c0f5,54.35543,-136.9915,18.41512,5.21131,-1.61528,-9.28472,-1.60946,5.58258,-5.53177,128.720215,0.49742,132.43775,-21.43911,4.55465,-1.17189,0.37266,-0.1098,0.02018,-0.00159,2.98287,41.98321,-18.70174,1.45022,-0.04261,-0.15175,0.07853,-0.01719,0.00147,-0.24368,-6.54268,-4.16608,1.67993,-0.83547,0.45316,-0.16852,0.03407,-0.00284,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2026-04-04,13:09:13.53,3,1,"Nuanez, Johnny",1000349756,Right,WIC_SHO,"Wachs, Jason",832160,Left,TUL_GRE,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.73793,-1.19794,-3.431854,2382.632505,219.87634,1:15,5.21831,1.94838,6.13917,-21.13985,13.25662,10.17142,2.34742,-0.37937,82.12376,-5.181387,-1.601892,0.422113,,,,,,,,,,,,-6.18449,7.50729,-1.69157,50,5.11583,7.38828,-130.20177,-3.37539,-10.63227,26.95519,-19.26771,WIC_SHO,TUL_GRE,WichitaState,D1,AMER,20260404-WichitaState-1,6343d4b0-3051-11f1-9f80-673f3caab3a4,89.29473,,,7.61417,,,,,,,4ff2b7b6-cd11-4c22-9b9d-2fc0b51d057f,2026-04-04,18:09:13.53,2026-04-04T13:09:13.5306240-05:00,2026-04-04T18:09:13.5306240Z,,v3,471492,471471,2847bf3d70034c78b49857c33e0dd1a7,"Gonzalez, Ethan",1000275367,Right,WIC_SHO,613b2caa-b205-41fd-b9c3-a81eee8b1044,54.3587,-131.10103,13.4776,5.21771,-2.73259,-9.63385,-1.94397,7.74299,-5.31613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-04,13:09:35.06,3,2,"Nuanez, Johnny",1000349756,Right,WIC_SHO,"Wachs, Jason",832160,Left,TUL_GRE,Undefined,1,Top,1,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,79.79685,-0.401318,-3.962487,1525.549008,273.629115,3:00,5.02054,1.99236,5.51922,-44.38337,0.58697,14.90296,0.94579,-0.47648,72.78308,-8.517293,-1.309144,0.482652,,,,,,,,,,,,-8.77863,0.81441,-1.65743,50,4.95562,7.42445,-115.57234,-2.30045,-11.77273,23.24418,-31.08189,WIC_SHO,TUL_GRE,WichitaState,D1,AMER,20260404-WichitaState-1,7019a890-3051-11f1-9f80-673f3caab3a4,78.09436,,,7.01377,,,,,,,4ff2b7b6-cd11-4c22-9b9d-2fc0b51d057f,2026-04-04,18:09:35.06,2026-04-04T13:09:35.0609920-05:00,2026-04-04T18:09:35.0609920Z,,v3,471492,471471,2847bf3d70034c78b49857c33e0dd1a7,"Gonzalez, Ethan",1000275367,Right,WIC_SHO,c854802e-ac64-4890-9c22-f9a1d0244dbb,54.98049,-116.56972,11.62209,5.02572,-0.96676,-15.54095,-1.98684,7.92961,-5.88637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-04,13:09:54.51,3,3,"Nuanez, Johnny",1000349756,Right,WIC_SHO,"Wachs, Jason",832160,Left,TUL_GRE,Undefined,1,Top,1,1,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,81.47793,0.113458,-3.17896,1723.441658,280.061323,3:15,4.97357,1.96908,5.65738,-43.64329,-0.97024,13.30587,1.4426,0.11027,74.52967,-7.883202,-0.801661,0.470163,,,,,,,,,,,,-7.70213,-0.13677,-1.7085,50,4.95539,6.03917,-118.17935,-1.24582,-10.84353,23.46984,-32.36658,WIC_SHO,TUL_GRE,WichitaState,D1,AMER,20260404-WichitaState-1,7bb41640-3051-11f1-9f80-673f3caab3a4,80.16889,,,6.94826,,,,,,,4ff2b7b6-cd11-4c22-9b9d-2fc0b51d057f,2026-04-04,18:09:54.51,2026-04-04T13:09:54.5188352-05:00,2026-04-04T18:09:54.5188352Z,,v3,471492,471471,2847bf3d70034c78b49857c33e0dd1a7,"Gonzalez, Ethan",1000275367,Right,WIC_SHO,ee0b1965-288f-4142-a432-feb9f63f627b,54.84242,-119.13715,11.73492,4.97928,0.07506,-16.18329,-1.96398,6.4817,-5.42177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
