PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-28,18:05:34.79,1,1,"Leblanc, Gabe",1000239815,Right,STE_LUM,"Rader, Jeremy",1000112426,Right,HBU_HUS,Undefined,1,Top,0,0,0,Fastball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.42604,-3.111657,-0.949303,2126.274484,,,7.14644,0.64463,5.88328,,,,2.67503,-0.25151,82.63162,-6.67248,-0.980445,0.421739,,,,,,,,,,,,-0.18272,9.11154,-0.56788,50,6.88403,2.18032,-131.13304,-7.72151,-0.31731,28.44782,-16.35247,STE_LUM,HBU_HUS,JayceesField,D1,SLAND,20260328-JayceesField-1,a1697670-2afa-11f1-abe8-95f6fe630df7,89.37376,,,7.79442,,,,,,,4d346154-4367-4907-b1ab-72c154f03d6c,2026-03-28,23:05:34.79,2026-03-28T18:05:34.7908096-05:00,2026-03-28T23:05:34.7908096Z,,v3,471455,471314,,"Adkisson, Ethan",1000189581,Right,STE_LUM,b7953c2a-d8a6-4d04-9349-d24e074db2f3,54.61702,-132.13085,14.22391,7.1448,-7.14794,-8.17624,-0.64455,2.19144,-0.15865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
2,2026-03-28,18:05:50.00,1,2,"Leblanc, Gabe",1000239815,Right,STE_LUM,"Rader, Jeremy",1000112426,Right,HBU_HUS,Undefined,1,Top,0,0,1,Slider,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.27214,-1.79683,0.459335,2216.091438,,,6.77686,0.6593,5.66295,,,,3.07618,-1.16199,74.98493,-6.396368,-4.366405,0.460629,,,,,,,,,,,,13.69993,9.5841,-0.6815,50,6.61003,0.19026,-121.94406,-4.55151,19.94507,31.3817,-18.22101,STE_LUM,HBU_HUS,JayceesField,D1,SLAND,20260328-JayceesField-1,aa929600-2afa-11f1-abe8-95f6fe630df7,81.82827,,,9.28721,,,,,,,4d346154-4367-4907-b1ab-72c154f03d6c,2026-03-28,23:05:50.00,2026-03-28T18:05:50.0024832-05:00,2026-03-28T23:05:50.0024832Z,,v3,471455,471314,,"Adkisson, Ethan",1000189581,Right,STE_LUM,feac1e7f-7769-4e98-a104-3bdefc308256,54.8337,-123.1817,15.69085,6.77537,-3.8329,-9.11051,-0.67349,-0.59635,9.97254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
3,2026-03-28,18:06:11.38,1,3,"Leblanc, Gabe",1000239815,Right,STE_LUM,"Rader, Jeremy",1000112426,Right,HBU_HUS,Undefined,1,Top,0,0,2,Slider,,InPlay,Undefined,GroundBall,Out,1,0,,84.85108,-3.034566,0.714341,2217.338987,,,6.93747,0.66513,5.64819,,,,1.7401,-1.10635,77.12344,-8.274529,-4.519442,0.453824,87.72566,-20.018476,-12.365117,,,,,6.56466,6.56466,0.231791,0.04059,15.15898,7.17315,-0.70644,50,6.66193,-0.33227,-122.97719,-7.44852,22.85139,27.94669,-21.36091,STE_LUM,HBU_HUS,JayceesField,D1,SLAND,20260328-JayceesField-1,b73aa320-2afa-11f1-abe8-95f6fe630df7,83.05525,1.79063,,7.72764,,,,1.76384,1.79063,1.07901,4d346154-4367-4907-b1ab-72c154f03d6c,2026-03-28,23:06:11.38,2026-03-28T18:06:11.3805824-05:00,2026-03-28T23:06:11.3805824Z,GroundBall,v3,471455,471314,,"Adkisson, Ethan",1000189581,Right,STE_LUM,f0ee665e-a611-42f0-8f38-cf0bc9f777c1,54.85495,-124.07557,13.97335,6.93818,-6.60898,-10.68046,-0.67573,-1.2304,11.4257,,1.76261,118.27406,,,,,,,,1.79109,-44.11477,,,,,,,,1.07928,-25.92876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,Estimated,Estimated,,,
4,2026-03-28,18:06:45.50,2,1,"Leblanc, Gabe",1000239815,Right,STE_LUM,"Halligan, Katcher",823032,Left,HBU_HUS,Undefined,1,Top,1,0,0,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,90.79021,-1.502408,0.512243,2097.638213,,,6.97031,0.66773,6.0453,,,,3.89118,1.25101,82.81401,-5.323002,0.74778,0.41836,,,,,,,,,,,,-0.52213,7.72752,-0.70831,50,6.84227,-1.23487,-131.8336,-4.08943,-0.91594,28.86273,-18.6177,STE_LUM,HBU_HUS,JayceesField,D1,SLAND,20260328-JayceesField-1,cb924f30-2afa-11f1-abe8-95f6fe630df7,90.09572,,,7.97619,,,,,,,4d346154-4367-4907-b1ab-72c154f03d6c,2026-03-28,23:06:45.50,2026-03-28T18:06:45.5010304-05:00,2026-03-28T23:06:45.5010304Z,,v3,471455,471314,,"Adkisson, Ethan",1000189581,Right,STE_LUM,9884502d-46f7-4510-a804-f3ebb055815b,54.45402,-132.80515,14.43137,6.96938,-3.46273,-9.30885,-0.66726,-1.20404,-0.45797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
5,2026-03-28,18:06:59.30,2,2,"Leblanc, Gabe",1000239815,Right,STE_LUM,"Halligan, Katcher",823032,Left,HBU_HUS,Undefined,1,Top,1,1,0,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,91.14828,-2.596881,-0.300107,2091.982471,,,7.15084,0.68035,5.87514,,,,3.23477,0.97824,83.22456,-5.998133,0.94205,0.418219,,,,,,,,,,,,-3.6152,9.12229,-0.66004,50,6.93023,0.39085,-132.25338,-6.55839,-6.38601,28.90656,-16.06018,STE_LUM,HBU_HUS,JayceesField,D1,SLAND,20260328-JayceesField-1,d3d2e380-2afa-11f1-abe8-95f6fe630df7,90.12604,,,7.92371,,,,,,,4d346154-4367-4907-b1ab-72c154f03d6c,2026-03-28,23:06:59.30,2026-03-28T18:06:59.3015296-05:00,2026-03-28T23:06:59.3015296Z,,v3,471455,471314,,"Adkisson, Ethan",1000189581,Right,STE_LUM,45a3f5a4-620b-4333-9839-55ab924b4128,54.62496,-133.26042,14.45328,7.14896,-5.99888,-8.03009,-0.67753,0.61333,-3.19301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
6,2026-03-28,18:07:15.55,2,3,"Leblanc, Gabe",1000239815,Right,STE_LUM,"Halligan, Katcher",823032,Left,HBU_HUS,Undefined,1,Top,1,2,0,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,90.10791,-1.034396,0.240189,2089.557242,,,6.79485,0.59742,5.81489,,,,3.40988,1.59686,82.24703,-6.416493,1.910925,0.423608,,,,,,,,,,,,-4.66504,3.49839,-0.62257,50,6.69295,-0.95482,-130.83424,-3.39508,-8.04506,28.91214,-26.14094,STE_LUM,HBU_HUS,JayceesField,D1,SLAND,20260328-JayceesField-1,dd7355f0-2afa-11f1-abe8-95f6fe630df7,88.97945,,,7.86088,,,,,,,4d346154-4367-4907-b1ab-72c154f03d6c,2026-03-28,23:07:15.55,2026-03-28T18:07:15.5514880-05:00,2026-03-28T23:07:15.5514880Z,,v3,471455,471314,,"Adkisson, Ethan",1000189581,Right,STE_LUM,747c279b-ee76-4850-aac6-738f71d30d7c,54.68554,-131.86559,14.45607,6.79743,-2.46258,-13.07047,-0.59363,-0.66784,-4.02253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
7,2026-03-28,18:07:31.70,2,4,"Leblanc, Gabe",1000239815,Right,STE_LUM,"Halligan, Katcher",823032,Left,HBU_HUS,Undefined,1,Top,1,3,0,Fastball,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.37021,-2.684339,-1.976348,2151.502687,,,7.00664,0.77386,6.09377,,,,3.10103,-0.02181,81.04113,-5.943747,0.256676,0.42634,,,,,,,,,,,,-6.96465,10.47961,-0.62774,50,6.79044,3.94911,-129.55805,-6.54589,-11.72588,29.45554,-14.53032,STE_LUM,HBU_HUS,JayceesField,D1,SLAND,20260328-JayceesField-1,e71d1730-2afa-11f1-abe8-95f6fe630df7,88.40938,,,8.32908,,,,,,,4d346154-4367-4907-b1ab-72c154f03d6c,2026-03-28,23:07:31.70,2026-03-28T18:07:31.7065728-05:00,2026-03-28T23:07:31.7065728Z,,v3,471455,471314,,"Adkisson, Ethan",1000189581,Right,STE_LUM,ac2aafd3-21d5-462a-9421-75704c9d3a93,54.40571,-130.55586,14.72777,7.00384,-6.05367,-7.26516,-0.76825,4.34633,-5.86294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
8,2026-03-28,18:07:45.74,2,5,"Leblanc, Gabe",1000239815,Right,STE_LUM,"Halligan, Katcher",823032,Left,HBU_HUS,Undefined,1,Top,1,3,1,Fastball,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.01096,-3.545782,-0.516309,2080.103839,,,7.19828,0.67576,5.95238,,,,3.50675,0.60178,80.93449,-4.622278,0.356111,0.425867,,,,,,,,,,,,-2.6724,17.07981,-0.63748,50,6.9136,0.96924,-130.36687,-8.04701,-4.52315,31.62975,-3.26565,STE_LUM,HBU_HUS,JayceesField,D1,SLAND,20260328-JayceesField-1,ef73a480-2afa-11f1-abe8-95f6fe630df7,88.50753,,,9.07647,,,,,,,4d346154-4367-4907-b1ab-72c154f03d6c,2026-03-28,23:07:45.74,2026-03-28T18:07:45.7405952-05:00,2026-03-28T23:07:45.7405952Z,,v3,471455,471314,,"Adkisson, Ethan",1000189581,Right,STE_LUM,eae3c24c-0477-4f44-88fd-4a2eff6a002c,54.548,-131.46568,15.81488,7.19118,-7.93356,-1.63282,-0.67388,1.12638,-2.26157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
9,2026-03-28,18:08:26.20,2,6,"Leblanc, Gabe",1000239815,Right,STE_LUM,"Halligan, Katcher",823032,Left,HBU_HUS,Undefined,1,Top,1,3,2,Splitter,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,83.70295,-1.396059,-0.423089,1258.67938,,,6.57794,0.6862,5.54091,,,,2.80109,0.17719,75.29385,-6.921556,-0.666297,0.462039,,,,,,,,,,,,0.54996,6.74367,-0.64855,50,6.43754,0.9515,-121.26416,-3.92621,0.80129,28.46494,-22.34834,STE_LUM,HBU_HUS,JayceesField,D1,SLAND,20260328-JayceesField-1,07941860-2afb-11f1-abe8-95f6fe630df7,81.57851,,,8.4091,,,,,,,4d346154-4367-4907-b1ab-72c154f03d6c,2026-03-28,23:08:26.20,2026-03-28T18:08:26.2067712-05:00,2026-03-28T23:08:26.2067712Z,,v3,471455,471314,,"Adkisson, Ethan",1000189581,Right,STE_LUM,baf55dc3-4716-4b3c-b9f2-dd3fcd90b55b,54.95861,-122.42259,14.23247,6.57881,-3.01671,-11.17417,-0.68661,0.91889,0.40064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
10,2026-03-28,18:08:50.24,2,7,"Leblanc, Gabe",1000239815,Right,STE_LUM,"Halligan, Katcher",823032,Left,HBU_HUS,Undefined,1,Top,1,3,2,Slider,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,82.46528,-0.82538,0.590657,2126.078301,,,6.6271,0.59867,5.53025,,,,3.11853,-1.05014,75.00978,-6.891036,-4.121456,0.466677,,,,,,,,,,,,13.62965,5.31,-0.63149,50,6.53363,-0.16932,-119.68285,-2.81164,19.52741,25.73485,-24.56634,STE_LUM,HBU_HUS,JayceesField,D1,SLAND,20260328-JayceesField-1,15ea4ab0-2afb-11f1-abe8-95f6fe630df7,80.76776,,,7.4555,,,,,,,4d346154-4367-4907-b1ab-72c154f03d6c,2026-03-28,23:08:50.24,2026-03-28T18:08:50.2409728-05:00,2026-03-28T23:08:50.2409728Z,,v3,471455,471314,,"Adkisson, Ethan",1000189581,Right,STE_LUM,5a0bc9e4-8e99-4696-bc8e-69aef0dca677,54.973,-120.74743,12.86742,6.62892,-1.79539,-12.28317,-0.60777,-0.97712,9.76371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,
