PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-02,19:07:31.07,1,1,"Kramkowski, Owen",822648,Right,ARI_WIL,"Hairston, Landon",815408,Left,ARI_SUN,Undefined,1,Top,0,0,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,94.56994,-1.242883,-2.596324,2442.086671,236.855338,2:00,5.1858,1.60867,6.51907,-20.61867,10.08201,13.86627,2.32583,0.38032,85.94796,-5.156223,-0.079507,0.398791,,,,,,,,,,,,-8.02374,5.96331,-1.43325,50,5.09023,5.65018,-137.31995,-3.6138,-15.21259,32.41577,-20.86794,ARI_WIL,ARI_SUN,UArizona,D1,BIG12,20260402-UArizona-2,7db22f80-2ef9-11f1-bbcc-533064b180ad,94.51671,,,8.62197,,,,,,,a6073b32-1f3c-48cd-b0b9-78f9600ce64f,2026-04-03,01:07:31.07,2026-04-02T19:07:31.0770000-06:00,2026-04-03T01:07:31.0770000Z,,v3,232,5035,e3a0fd07f2f20a955cd1,"Sylvester, Beau",804881,Right,ARI_WIL,4a7516bf-3c53-4479-9dd0-792403e7da83,53.97966,-138.2562,16.20789,5.1859,-3.01108,-10.43397,-1.60279,6.08956,-7.6063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-02,19:07:49.81,1,2,"Kramkowski, Owen",822648,Right,ARI_WIL,"Hairston, Landon",815408,Left,ARI_SUN,Undefined,1,Top,0,0,1,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,88.53377,0.673157,-0.767205,2352.202653,176.398782,12:00,5.19709,1.7366,6.2449,-26.80084,8.16603,-0.44878,3.58464,0.99155,81.28685,-4.344953,-0.848289,0.425598,,,,,,,,,,,,0.0289,4.38965,-1.67932,50,5.23397,1.74203,-128.73979,0.66205,0.04876,25.56273,-24.77272,ARI_WIL,ARI_SUN,UArizona,D1,BIG12,20260402-UArizona-2,88e5ec20-2ef9-11f1-bbcc-533064b180ad,88.56346,,,7.24692,,,,,,,a6073b32-1f3c-48cd-b0b9-78f9600ce64f,2026-04-03,01:07:49.81,2026-04-02T19:07:49.8110000-06:00,2026-04-03T01:07:49.8110000Z,,v3,232,5035,e3a0fd07f2f20a955cd1,"Sylvester, Beau",804881,Right,ARI_WIL,6eac3583-dd91-4e8c-9f66-4606010d92cd,54.25378,-129.58167,12.78137,5.19873,1.47792,-12.38636,-1.73666,1.74043,0.02438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-02,19:08:10.23,1,3,"Kramkowski, Owen",822648,Right,ARI_WIL,"Hairston, Landon",815408,Left,ARI_SUN,Undefined,1,Top,0,1,1,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,94.72825,-1.31515,-2.965717,2425.485953,235.150893,1:45,5.19572,1.59244,6.54742,-19.24001,11.11237,14.59835,2.38449,0.08683,86.68986,-4.966112,-0.315946,0.396523,77.34321,12.933956,-166.565913,1126.461423,,,,101.23743,45.23145,-161.937052,0.940269,-8.49134,6.4863,-1.39309,50,5.09633,6.53668,-137.62023,-3.74247,-16.29784,30.31043,-19.72459,ARI_WIL,ARI_SUN,UArizona,D1,BIG12,20260402-UArizona-2,950c9440-2ef9-11f1-bbcc-533064b180ad,95.05749,7.26785,,8.03839,,,,0.5988,1.82646,-0.42431,a6073b32-1f3c-48cd-b0b9-78f9600ce64f,2026-04-03,01:08:10.23,2026-04-02T19:08:10.2360000-06:00,2026-04-03T01:08:10.2360000Z,LineDrive,v3,232,5035,e3a0fd07f2f20a955cd1,"Sylvester, Beau",804881,Right,ARI_WIL,1dbc72bb-b74f-4dea-9d9c-f349dcd24cc8,53.9529,-138.48811,15.15522,5.1954,-3.1777,-9.8623,-1.58694,7.00334,-8.14892,,0.6822,-108.714,5.89182,,,,,,,1.86481,24.84897,-28.57906,,,,,,,-0.37054,-26.44652,-7.01804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
4,2026-04-02,19:08:36.31,1,4,"Kramkowski, Owen",822648,Right,ARI_WIL,"Hairston, Landon",815408,Left,ARI_SUN,Undefined,1,Top,0,1,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,95.83337,-0.8379,-2.719831,2503.011977,218.971977,1:15,5.30897,1.58212,6.50527,-15.61643,13.94855,10.57146,3.23767,-0.03502,87.96581,-3.822332,-0.803013,0.391346,79.42032,12.650845,-169.957167,,,,,,36.36716,,,-6.14926,7.76756,-1.39556,50,5.24307,6.15178,-139.25279,-2.47818,-12.15422,29.33771,-16.82122,ARI_WIL,ARI_SUN,UArizona,D1,BIG12,20260402-UArizona-2,a493f390-2ef9-11f1-bbcc-533064b180ad,96.31498,9.25789,,7.86756,,,,0.27736,2.96051,0.93306,a6073b32-1f3c-48cd-b0b9-78f9600ce64f,2026-04-03,01:08:36.31,2026-04-02T19:08:36.3170000-06:00,2026-04-03T01:08:36.3170000Z,,v3,232,5035,e3a0fd07f2f20a955cd1,"Sylvester, Beau",804881,Right,ARI_WIL,560f2d9f-4c95-4e35-95a7-284cae14d9e6,53.99187,-140.09127,14.66886,5.30702,-1.99743,-8.41061,-1.57634,6.49915,-6.07711,332.567403,0.27745,-111.91754,3.30203,,,,,,,2.96136,25.47599,-18.9925,,,,,,,0.93327,-19.82801,-0.62431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Undefined,,,
5,2026-04-02,19:08:58.45,1,5,"Kramkowski, Owen",822648,Right,ARI_WIL,"Hairston, Landon",815408,Left,ARI_SUN,Undefined,1,Top,0,1,2,Slider,Slider,InPlay,Undefined,GroundBall,Triple,0,0,,81.43251,0.385993,-1.430944,2797.374896,78.060949,8:30,4.96867,1.76788,5.85344,-42.87585,-0.35177,-8.37583,1.75445,-0.25996,74.24241,-7.513987,-2.933939,0.469341,99.2772,0.40841,41.2747,4048.949599,,,,56.99014,47.92756,42.425052,0.400463,3.86571,0.0839,-1.64661,50,4.97491,3.27439,-118.22027,-0.6053,5.41529,24.67274,-32.05652,ARI_WIL,ARI_SUN,UArizona,D1,BIG12,20260402-UArizona-2,b1d3acd0-2ef9-11f1-bbcc-533064b180ad,80.30921,1.78402,,7.1901,,,,1.80785,1.76482,0.28145,a6073b32-1f3c-48cd-b0b9-78f9600ce64f,2026-04-03,01:08:58.45,2026-04-02T19:08:58.4580000-06:00,2026-04-03T01:08:58.4580000Z,GroundBall,v3,232,5035,e3a0fd07f2f20a955cd1,"Sylvester, Beau",804881,Right,ARI_WIL,667157e8-4e20-4d55-9101-73d0bf7ba2e2,54.64645,-119.18604,12.33637,4.97405,0.6495,-16.02826,-1.77063,3.06241,2.70764,,1.81874,109.0656,-21.43805,,,,,,,1.76692,0.96829,-13.4487,,,,,,,0.27863,96.14522,-2.06749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2026-04-02,19:09:49.10,2,1,"Kramkowski, Owen",822648,Right,ARI_WIL,"Roellig, Austen",822305,Right,ARI_SUN,Undefined,1,Top,0,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,79.17589,1.075046,-0.979112,2593.250373,89.360562,9:00,5.01932,1.75751,5.83593,-43.11975,1.15685,-8.75142,2.42549,0.11808,73.24516,-6.845455,-2.548648,0.478915,,,,,,,,,,,,4.21701,0.72457,-1.67254,50,5.08156,2.29643,-115.11958,0.77893,5.70381,19.78787,-31.19401,ARI_WIL,ARI_SUN,UArizona,D1,BIG12,20260402-UArizona-2,d00551e0-2ef9-11f1-bbcc-533064b180ad,78.70381,,,5.93073,,,,,,,a6073b32-1f3c-48cd-b0b9-78f9600ce64f,2026-04-03,01:09:49.10,2026-04-02T19:09:49.1000000-06:00,2026-04-03T01:09:49.1000000Z,,v3,232,5035,e3a0fd07f2f20a955cd1,"Sylvester, Beau",804881,Right,ARI_WIL,848e4b6a-ca01-49c6-ac4f-41fbdbf4d38a,54.66475,-115.91863,9.89394,5.02467,2.03857,-15.59701,-1.76062,2.0661,2.85191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-02,19:10:08.90,2,2,"Kramkowski, Owen",822648,Right,ARI_WIL,"Roellig, Austen",822305,Right,ARI_SUN,Undefined,1,Top,0,0,1,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,93.51661,0.253852,-1.916799,2366.202433,245.577646,2:15,5.28202,1.47203,6.90359,-22.59033,7.87063,15.41324,3.63084,1.00993,86.11003,-4.028973,0.902463,0.397231,51.52253,39.128786,60.57014,4620.266976,37.33771,26.49957,103.46924,139.29778,99.33212,72.437082,3.174198,-8.70752,4.3978,-1.35612,50,5.28989,3.97642,-136.15785,-0.05057,-16.46302,27.89649,-23.8593,ARI_WIL,ARI_SUN,UArizona,D1,BIG12,20260402-UArizona-2,dbcaa020-2ef9-11f1-bbcc-533064b180ad,94.88795,37.78061,,7.40658,,,,0.30081,3.32701,-1.20303,a6073b32-1f3c-48cd-b0b9-78f9600ce64f,2026-04-03,01:10:08.90,2026-04-02T19:10:08.9090000-06:00,2026-04-03T01:10:08.9090000Z,LineDrive,v3,232,5035,e3a0fd07f2f20a955cd1,"Sylvester, Beau",804881,Right,ARI_WIL,006c64ed-8f56-4c84-8e30-bd02ef2b31d4,53.59779,-136.89299,13.94825,5.28293,0.57819,-11.92965,-1.46663,4.41027,-8.23151,221.281066,0.30082,28.80505,-9.018,2.24233,-0.47701,0.10753,-0.04133,0.01174,-0.00122,3.32725,47.676,-17.62615,0.76608,0.16382,-0.22098,0.10588,-0.02289,0.00185,-1.20289,51.04968,-4.26571,0.62044,-0.0451,-0.00123,-0.00686,0.00374,-0.00049,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
8,2026-04-02,19:10:34.74,2,3,"Kramkowski, Owen",822648,Right,ARI_WIL,"Roellig, Austen",822305,Right,ARI_SUN,Undefined,1,Top,0,0,2,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,93.90747,0.450367,-2.486163,2387.612692,236.802449,2:00,5.29858,1.56591,6.91166,-20.67663,9.65918,13.37642,3.98606,0.41506,86.06757,-3.491172,-0.040976,0.396414,78.26244,24.548946,163.194958,3812.842505,,,,,44.68719,,,-7.7278,5.30465,-1.41337,50,5.31944,5.40664,-136.59536,0.49176,-14.65592,29.01863,-22.1137,ARI_WIL,ARI_SUN,UArizona,D1,BIG12,20260402-UArizona-2,eb2e71e0-2ef9-11f1-bbcc-533064b180ad,95.08347,20.59422,,7.8399,,,,0.42265,3.79054,-0.44504,a6073b32-1f3c-48cd-b0b9-78f9600ce64f,2026-04-03,01:10:34.74,2026-04-02T19:10:34.7490000-06:00,2026-04-03T01:10:34.7490000Z,,v3,232,5035,e3a0fd07f2f20a955cd1,"Sylvester, Beau",804881,Right,ARI_WIL,8ed15db0-99d4-451a-9306-66b033efd0c6,53.58764,-137.35541,14.50931,5.29897,1.07096,-11.05685,-1.56001,5.7905,-7.32796,296.159636,0.42166,-99.92227,7.1359,,,,,,,3.80038,47.39836,-22.7551,,,,,,,-0.43439,29.87042,-10.33269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
9,2026-04-02,19:10:58.66,2,4,"Kramkowski, Owen",822648,Right,ARI_WIL,"Roellig, Austen",822305,Right,ARI_SUN,Undefined,1,Top,0,0,2,Slider,Slider,InPlay,Undefined,FlyBall,Sacrifice,1,1,,80.68332,1.056188,-1.453213,2759.302636,83.084188,8:45,4.94936,1.59671,5.90662,-43.1479,-0.02933,-11.73985,2.33452,-0.73082,73.70068,-6.903718,-3.560471,0.472611,91.8942,29.458415,-7.274017,3568.657811,109.25137,57.19683,-12.80963,348.49716,345.14541,-7.118208,5.007053,5.61532,0.04449,-1.47313,50,5.00944,3.41393,-117.16507,0.77735,7.74888,23.64121,-32.11265,ARI_WIL,ARI_SUN,UArizona,D1,BIG12,20260402-UArizona-2,f977d2f0-2ef9-11f1-bbcc-533064b180ad,79.75367,78.99286,,6.98264,,,,1.94469,2.32567,0.69415,a6073b32-1f3c-48cd-b0b9-78f9600ce64f,2026-04-03,01:10:58.66,2026-04-02T19:10:58.6660000-06:00,2026-04-03T01:10:58.6660000Z,FlyBall,v3,232,5035,e3a0fd07f2f20a955cd1,"Sylvester, Beau",804881,Right,ARI_WIL,cefa6d40-8e39-4f5e-9b7d-9590b7addb71,54.5939,-118.08837,11.82061,4.95459,2.0315,-16.05632,-1.60055,3.1113,3.87444,181.174877,1.94471,116.41449,-21.49768,4.96389,-1.03791,0.20532,-0.03486,0.00392,-0.0002,2.32751,66.23162,-15.25378,0.25031,0.22514,-0.12507,0.03314,-0.00428,0.00022,0.69416,-14.86021,3.01261,-0.75701,0.15798,-0.02821,0.004,-0.00039,2E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2026-04-02,19:11:37.50,3,1,"Kramkowski, Owen",822648,Right,ARI_WIL,"Toigo, Dean",831025,Left,ARI_SUN,Undefined,1,Top,1,0,0,Sinker,Sinker,InPlay,Undefined,FlyBall,Out,1,0,,93.81294,-0.145035,-2.962283,2415.361348,242.181311,2:00,5.20595,1.52579,6.70503,-21.35383,9.32575,15.90973,3.29369,0.14078,85.95671,-4.194738,-0.066192,0.398654,84.34683,38.725286,-16.347552,,102.1458,76.35858,-40.81948,309.51016,295.03977,-29.078718,5.092627,-9.24902,5.24729,-1.3349,50,5.18775,6.44241,-136.4008,-0.97916,-17.46876,29.29454,-22.26343,ARI_WIL,ARI_SUN,UArizona,D1,BIG12,20260402-UArizona-2,1091ac40-2efa-11f1-bbcc-533064b180ad,94.54922,90.85819,,7.85623,,,,1.57796,2.98649,-0.12116,a6073b32-1f3c-48cd-b0b9-78f9600ce64f,2026-04-03,01:11:37.50,2026-04-02T19:11:37.5040000-06:00,2026-04-03T01:11:37.5040000Z,FlyBall,v3,232,5035,e3a0fd07f2f20a955cd1,"Sylvester, Beau",804881,Right,ARI_WIL,8dcffc60-d3b9-4b88-8644-2736bd388035,53.79632,-137.21371,14.64727,5.20635,-0.36136,-11.13171,-1.5204,6.92716,-8.73438,148.657367,1.58248,92.51118,-19.9613,4.67962,-0.53999,-0.07468,0.03889,-0.00543,0.00027,2.98318,77.45097,-19.04032,1.01038,-0.05668,-0.03165,0.01772,-0.00329,0.00021,-0.12051,-27.17943,-2.64977,1.19028,-0.30546,0.04711,-0.00377,9E-05,0,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
