PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-03,15:00:51.13,1,1,"Lynch, Logan",1000087871,Right,REI_UNI,"Gordon, Rob",1000066711,Right,TEN_WES,Undefined,1,Top,0,0,0,TwoSeamFastBall,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,78.891,1.875721,-5.492321,2048.162978,312.990245,4:30,3.66561,3.65683,5.85116,-55.39676,-9.58201,11.99268,0.80083,-0.46304,71.57338,-8.268511,-3.354171,0.487163,,,,,,,,,,,,-7.79729,-4.91524,-3.21589,50,3.78698,10.49711,-113.9988,1.91299,-10.13753,23.30749,-38.56455,REI_UNI,TEN_WES,ReinhardtUniversity,NAIA,NAIA,20260403-ReinhardtUniversity-1,6f4cd0d0-2f8f-11f1-be35-55fed9dfb053,77.37135,,,7.31762,,,,,,,365ac344-afc9-4d85-88c9-81d1406d1bf1,2026-04-03,19:00:51.13,2026-04-03T15:00:51.1335424-04:00,2026-04-03T19:00:51.1335424Z,,v3,10044950,10044917,,"Stephens, Ryan",90000241976,Right,REI_UNI,04773b67-61e4-4013-9858-32902f7b24e9,54.65057,-114.94569,11.65375,3.67744,3.47972,-19.28227,-3.65072,10.90896,-5.06877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-03,15:01:08.56,1,2,"Lynch, Logan",1000087871,Right,REI_UNI,"Gordon, Rob",1000066711,Right,TEN_WES,Undefined,1,Top,0,1,0,TwoSeamFastBall,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,77.81957,3.313644,-4.819411,2102.916126,307.140855,4:15,3.62105,3.67798,5.65949,-54.99192,-7.49563,12.11607,2.143,0.18261,70.23122,-6.758007,-2.666782,0.496023,,,,,,,,,,,,-7.61036,-4.27323,-3.27686,50,3.8683,8.99927,-112.37538,4.69309,-9.60719,22.7948,-37.56853,REI_UNI,TEN_WES,ReinhardtUniversity,NAIA,NAIA,20260403-ReinhardtUniversity-1,79a373e0-2f8f-11f1-be35-55fed9dfb053,75.98937,,,7.58835,,,,,,,365ac344-afc9-4d85-88c9-81d1406d1bf1,2026-04-03,19:01:08.56,2026-04-03T15:01:08.5619200-04:00,2026-04-03T19:01:08.5619200Z,,v3,10044950,10044917,,"Stephens, Ryan",90000241976,Right,REI_UNI,e4e78303-44f3-41f7-98b7-1b20e3bbf17d,54.84139,-113.35318,11.3974,3.63242,6.30461,-18.78427,-3.67173,9.41137,-4.8036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-03,15:01:29.76,1,3,"Lynch, Logan",1000087871,Right,REI_UNI,"Gordon, Rob",1000066711,Right,TEN_WES,Undefined,1,Top,0,1,1,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,71.44566,2.350808,-2.966591,2493.956741,100.237444,9:15,3.64426,3.78125,5.04791,-52.75995,5.14114,-16.68969,1.4692,-0.41026,64.40371,-7.286809,-5.90272,0.547665,,,,,,,,,,,,7.19398,2.41268,-3.48454,50,3.82753,5.99143,-103.20505,2.56616,7.59421,20.57887,-29.62713,REI_UNI,TEN_WES,ReinhardtUniversity,NAIA,NAIA,20260403-ReinhardtUniversity-1,865210b0-2f8f-11f1-be35-55fed9dfb053,68.82392,,,7.04196,,,,,,,365ac344-afc9-4d85-88c9-81d1406d1bf1,2026-04-03,19:01:29.76,2026-04-03T15:01:29.7684480-04:00,2026-04-03T19:01:29.7684480Z,,v3,10044950,10044917,,"Stephens, Ryan",90000241976,Right,REI_UNI,97edeb45-d551-42aa-8834-7d893c523426,55.44853,-104.28582,10.28943,3.6519,4.12212,-14.81356,-3.78873,5.5926,3.79711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-03,15:01:50.08,1,4,"Lynch, Logan",1000087871,Right,REI_UNI,"Gordon, Rob",1000066711,Right,TEN_WES,Undefined,1,Top,0,1,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,69.70924,1.852438,-2.128918,2394.163139,132.813681,10:30,3.67798,3.94496,5.07201,-46.84014,14.09064,-12.66123,1.52296,0.88175,62.45165,-6.796367,-4.361309,0.56181,,,,,,,,,,,,5.50335,7.00902,-3.73239,50,3.81804,4.21601,-100.71024,1.87259,5.50848,20.22981,-25.15847,REI_UNI,TEN_WES,ReinhardtUniversity,NAIA,NAIA,20260403-ReinhardtUniversity-1,9265cd10-2f8f-11f1-be35-55fed9dfb053,67.09102,,,7.2576,,,,,,,365ac344-afc9-4d85-88c9-81d1406d1bf1,2026-04-03,19:01:50.08,2026-04-03T15:01:50.0829184-04:00,2026-04-03T19:01:50.0829184Z,,v3,10044950,10044917,,"Stephens, Ryan",90000241976,Right,REI_UNI,0990260e-3bbf-4996-9cde-bc2b0bbfb204,55.42239,-101.79361,10.11491,3.68168,3.21991,-12.57923,-3.95028,3.92102,2.75424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-03,15:02:10.27,1,5,"Lynch, Logan",1000087871,Right,REI_UNI,"Gordon, Rob",1000066711,Right,TEN_WES,Undefined,1,Top,0,2,2,Slider,Curveball,InPlay,Undefined,GroundBall,Out,1,0,,69.94585,3.160526,-3.73554,2376.920024,107.825332,9:30,3.65147,3.84312,5.25647,-53.34145,7.16973,-15.03296,2.18532,-0.92452,62.55117,-6.657824,-6.383772,0.559873,65.12105,-25.402956,-30.887544,,,,,7.12381,7.12381,-14.128,0.056704,6.1639,3.06807,-3.4885,50,3.90334,7.12938,-100.86091,4.00019,6.16671,20.80397,-29.10459,REI_UNI,TEN_WES,ReinhardtUniversity,NAIA,NAIA,20260403-ReinhardtUniversity-1,9e66ebd0-2f8f-11f1-be35-55fed9dfb053,67.32323,2.33234,,7.39468,,,,2.69363,2.33234,0.78236,365ac344-afc9-4d85-88c9-81d1406d1bf1,2026-04-03,19:02:10.27,2026-04-03T15:02:10.2794752-04:00,2026-04-03T19:02:10.2794752Z,GroundBall,v3,10044950,10044917,,"Stephens, Ryan",90000241976,Right,REI_UNI,16762b54-7ce5-4743-bd9a-9cc000bafd3e,55.24034,-101.93607,10.40199,3.65774,5.50433,-14.55229,-3.84872,6.81069,3.08335,,2.691,74.32829,,,,,,,,2.33379,-41.13183,,,,,,,,0.78393,-44.46262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
6,2026-04-03,15:02:48.61,2,1,"Lynch, Logan",1000087871,Right,REI_UNI,"Wright, Ethan",10317612,Right,TEN_WES,Undefined,1,Top,1,0,0,TwoSeamFastBall,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,81.06378,1.968162,-4.478505,2141.151858,310.898242,4:15,3.60456,3.69651,5.83791,-50.86487,-7.72437,10.59501,1.20146,0.40838,73.70757,-7.360038,-2.586032,0.472731,,,,,,,,,,,,-6.7502,-4.0837,-3.33696,50,3.73575,8.77546,-117.34153,2.32614,-9.33248,23.94484,-37.81994,REI_UNI,TEN_WES,ReinhardtUniversity,NAIA,NAIA,20260403-ReinhardtUniversity-1,b54765a0-2f8f-11f1-be35-55fed9dfb053,79.73342,,,7.35621,,,,,,,365ac344-afc9-4d85-88c9-81d1406d1bf1,2026-04-03,19:02:48.61,2026-04-03T15:02:48.6120448-04:00,2026-04-03T19:02:48.6120448Z,,v3,10044950,10044917,,"Stephens, Ryan",90000241976,Right,REI_UNI,c491f5e2-b02f-4aec-9a02-7e1d57a0efeb,54.66406,-118.28946,11.97242,3.61403,3.82335,-18.90997,-3.69168,9.14491,-4.66624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-03,15:03:08.01,2,2,"Lynch, Logan",1000087871,Right,REI_UNI,"Wright, Ethan",10317612,Right,TEN_WES,Undefined,1,Top,1,0,1,TwoSeamFastBall,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,79.87749,3.057509,-5.570639,2174.948004,273.887342,3:15,3.66329,3.60173,5.86492,-44.52857,0.63819,15.9919,2.80913,-0.25698,71.32047,-5.193856,-2.724377,0.483705,64.84341,19.252072,170.633373,3713.111707,,,,115.11507,41.07571,174.348831,1.537543,-9.99186,-0.1835,-3.15806,50,3.88702,10.59988,-115.14693,4.74978,-13.13928,25.47883,-32.41537,REI_UNI,TEN_WES,ReinhardtUniversity,NAIA,NAIA,20260403-ReinhardtUniversity-1,c0cf5cc0-2f8f-11f1-be35-55fed9dfb053,77.92437,13.41752,,8.55702,,,,3.15078,2.80545,0.14023,365ac344-afc9-4d85-88c9-81d1406d1bf1,2026-04-03,19:03:08.01,2026-04-03T15:03:08.0199680-04:00,2026-04-03T19:03:08.0199680Z,LineDrive,v3,10044950,10044917,,"Stephens, Ryan",90000241976,Right,REI_UNI,7deea886-cca5-406f-b96b-31b2dc6448d8,54.63339,-116.16764,12.73941,3.67073,6.04838,-16.20769,-3.59325,11.12625,-6.56964,317.012597,3.15077,-88.5879,8.86408,-0.81958,0.0777,0.01054,0.00523,-0.00537,0.00129,2.80545,31.35756,-24.83774,2.7835,-0.51394,0.01698,0.04306,-0.01532,0.00158,0.14024,14.61164,-6.8373,1.8019,-0.26132,-0.15013,0.1427,-0.04732,0.00544,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
8,2026-04-03,15:03:33.11,2,3,"Lynch, Logan",1000087871,Right,REI_UNI,"Wright, Ethan",10317612,Right,TEN_WES,Undefined,1,Top,1,0,2,TwoSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,79.77764,2.947924,-2.658416,1988.928225,251.784674,2:30,3.72733,3.6513,5.80607,-39.87203,4.55225,9.38595,3.15163,1.95934,72.3601,-4.442279,-0.980524,0.479713,,,,,,,,,,,,-5.62229,1.8198,-3.43887,50,3.94576,5.01514,-115.59812,4.70641,-7.5579,22.86608,-29.7277,REI_UNI,TEN_WES,ReinhardtUniversity,NAIA,NAIA,20260403-ReinhardtUniversity-1,cfd270e0-2f8f-11f1-be35-55fed9dfb053,78.5729,,,7.41753,,,,,,,365ac344-afc9-4d85-88c9-81d1406d1bf1,2026-04-03,19:03:33.11,2026-04-03T15:03:33.1164160-04:00,2026-04-03T19:03:33.1164160Z,,v3,10044950,10044917,,"Stephens, Ryan",90000241976,Right,REI_UNI,72ff43df-daa8-4320-8971-77c2f9985ece,54.69519,-116.52316,11.43304,3.73104,5.90904,-14.86385,-3.64795,5.32089,-3.77895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-03,15:03:53.64,2,4,"Lynch, Logan",1000087871,Right,REI_UNI,"Wright, Ethan",10317612,Right,TEN_WES,Undefined,1,Top,1,1,2,Slider,Curveball,InPlay,Undefined,GroundBall,Out,1,0,,70.04465,2.838177,-3.652762,2309.56555,123.825483,10:15,3.63698,3.92838,5.14265,-49.3907,10.81973,-12.81355,2.20111,-0.58347,62.92717,-6.248207,-5.90621,0.558479,81.76411,-1.390941,-39.220296,3906.466997,,,,31.2222,29.52092,-33.570718,0.245226,5.17,4.98248,-3.57523,50,3.86611,6.91429,-101.08619,3.5567,5.22608,20.02244,-27.13755,REI_UNI,TEN_WES,ReinhardtUniversity,NAIA,NAIA,20260403-ReinhardtUniversity-1,dc149040-2f8f-11f1-be35-55fed9dfb053,67.49118,2.39215,,7.11748,,,,4.03226,2.39215,0.35865,365ac344-afc9-4d85-88c9-81d1406d1bf1,2026-04-03,19:03:53.64,2026-04-03T15:03:53.6450048-04:00,2026-04-03T19:03:53.6450048Z,GroundBall,v3,10044950,10044917,,"Stephens, Ryan",90000241976,Right,REI_UNI,b31b0566-0234-46b2-b2d9-21622c95d5e1,55.35543,-102.14145,10.01122,3.64097,4.98695,-13.56877,-3.93238,6.63886,2.61304,,4.03283,92.84654,-13.09244,,,,,,,2.39594,-3.1169,-27.19311,,,,,,,0.35705,-75.71722,15.75639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
10,2026-04-03,15:04:30.49,3,1,"Lynch, Logan",1000087871,Right,REI_UNI,"Ballenilla, David",10132128,Right,TEN_WES,Undefined,1,Top,2,0,0,TwoSeamFastBall,Sinker,InPlay,Undefined,FlyBall,Double,0,0,,81.16643,2.620228,-4.974416,2067.336809,296.457555,4:00,3.66574,3.63817,5.82162,-47.74636,-4.79697,12.43965,2.13392,0.03826,73.91241,-6.140645,-2.757887,0.471683,94.28567,28.281287,22.387364,4447.844648,97.11241,51.86764,51.66385,344.96887,277.95797,38.635755,4.497784,-7.79764,-2.82457,-3.23785,50,3.85247,9.73821,-117.405,3.80191,-10.84804,22.90769,-36.1036,REI_UNI,TEN_WES,ReinhardtUniversity,NAIA,NAIA,20260403-ReinhardtUniversity-1,f1f462f0-2f8f-11f1-be35-55fed9dfb053,79.91059,66.21045,,7.25402,,,,1.15555,2.37257,0.08885,365ac344-afc9-4d85-88c9-81d1406d1bf1,2026-04-03,19:04:30.49,2026-04-03T15:04:30.4973824-04:00,2026-04-03T19:04:30.4973824Z,FlyBall,v3,10044950,10044917,,"Stephens, Ryan",90000241976,Right,REI_UNI,e201af6c-8cac-4a44-8b8b-d03d580d5668,54.68107,-118.31483,11.45385,3.67299,5.23584,-18.0518,-3.63318,10.16907,-5.42402,230.067346,1.15697,112.57106,-26.02574,6.44879,-1.37187,0.26776,-0.05455,0.00858,-0.00058,2.37375,65.48687,-18.3173,0.32333,0.58179,-0.32025,0.0932,-0.0135,0.00076,0.08951,46.36636,4.58775,-2.96564,1.09999,-0.31064,0.06292,-0.00744,0.00037,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
