PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-03,11:01:42.15,1,1,"Daniel, Ben",10117966,Right,RHO_COL,"Matthews, Cory",10960913,Right,SOU_WES,Undefined,1,Top,0,0,0,FourSeamFastBall,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.7499,-0.992801,-3.266114,2018.76289,222.174449,1:30,6.1434,1.49176,6.42767,-19.73729,16.40229,13.66465,3.58447,-0.37501,79.00655,-4.791681,-0.793581,0.432676,,,,,,,,,,,,-8.10973,9.24075,-1.26408,50,6.06339,6.70523,-127.18676,-2.72312,-13.08053,29.8143,-17.26921,RHO_COL,SOU_WES,StaufferField,D3,Team,20260403-StaufferField-1,68698bf0-2f76-11f1-9980-d5d094c4fc93,87.11466,,,8.74336,,,,,,,c908e5f3-83a6-490b-967d-1bb5f4e7f048,2026-04-03,16:01:42.15,2026-04-03T11:01:42.1508096-05:00,2026-04-03T16:01:42.1508096Z,,v3,643-145680,510218,10286,"Angilly, Cooper",1000091554,Right,RHO_COL,4843a293-8805-4130-92c9-90d917578802,54.07175,-128.13767,14.90715,6.14146,-2.17232,-8.6346,-1.4846,7.12243,-6.54027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-03,11:01:54.27,1,2,"Daniel, Ben",10117966,Right,RHO_COL,"Matthews, Cory",10960913,Right,SOU_WES,Undefined,1,Top,0,0,1,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,74.28148,1.366758,-0.242183,2439.047087,56.08204,7:45,6.28065,1.35315,5.39125,-62.56476,-9.97646,-17.68843,2.34823,-0.34788,67.35468,-10.017089,-3.395394,0.521935,,,,,,,,,,,,8.73756,-4.82296,-1.3189,50,6.35929,1.13653,-107.68677,0.48954,10.03549,22.51808,-37.71342,RHO_COL,SOU_WES,StaufferField,D3,Team,20260403-StaufferField-1,6faef760-2f76-11f1-9980-d5d094c4fc93,72.21679,,,6.92679,,,,,,,c908e5f3-83a6-490b-967d-1bb5f4e7f048,2026-04-03,16:01:54.27,2026-04-03T11:01:54.2788608-05:00,2026-04-03T16:01:54.2788608Z,,v3,643-145680,510218,10286,"Angilly, Cooper",1000091554,Right,RHO_COL,cd2a62fc-c33d-4797-a242-ce13606e27ab,55.11298,-108.75067,11.25904,6.29408,2.27137,-18.85671,-1.3614,0.66239,5.01775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-03,11:02:06.71,1,3,"Daniel, Ben",10117966,Right,RHO_COL,"Matthews, Cory",10960913,Right,SOU_WES,Undefined,1,Top,0,0,2,Curveball,Curveball,BallinDirt,Undefined,Undefined,Undefined,0,0,,76.92676,-1.347854,-3.345083,2493.284004,45.69702,7:30,6.239,1.28492,5.83315,-62.77992,-14.07871,-16.25765,-0.24797,-3.18294,70.11632,-12.719008,-6.264665,0.502275,,,,,,,,,,,,7.15504,-6.30929,-1.0017,50,6.09176,7.09699,-111.39326,-4.62362,8.71647,25.68309,-39.8602,RHO_COL,SOU_WES,StaufferField,D3,Team,20260403-StaufferField-1,7714e320-2f76-11f1-9980-d5d094c4fc93,75.04349,,,6.81044,,,,,,,c908e5f3-83a6-490b-967d-1bb5f4e7f048,2026-04-03,16:02:06.71,2026-04-03T11:02:06.7198464-05:00,2026-04-03T16:02:06.7198464Z,,v3,643-145680,510218,10286,"Angilly, Cooper",1000091554,Right,RHO_COL,69bd740d-4647-4acb-b07f-216a3497e9d9,54.67283,-112.46548,12.84155,6.25005,-2.95953,-19.9301,-1.29038,6.7331,4.35824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-03,11:02:19.47,1,4,"Daniel, Ben",10117966,Right,RHO_COL,"Matthews, Cory",10960913,Right,SOU_WES,Undefined,1,Top,0,1,2,Slider,Curveball,InPlay,Undefined,LineDrive,Single,0,0,,74.78535,1.98466,-0.386779,2537.211404,50.786737,7:45,6.22073,1.21471,5.5134,-64.03893,-12.27973,-17.38828,2.74092,-0.59602,67.61312,-9.69842,-3.491611,0.517804,85.15952,7.986904,0.827079,1215.530253,,,,129.13725,129.13725,3.111936,1.155626,8.66508,-6.39461,-1.1688,50,6.35074,1.38185,-108.41283,1.66644,10.06091,23.2664,-39.59877,RHO_COL,SOU_WES,StaufferField,D3,Team,20260403-StaufferField-1,7eb69f60-2f76-11f1-9980-d5d094c4fc93,72.79293,6.90417,,7.17223,,,,1.2197,2.67614,0.60404,c908e5f3-83a6-490b-967d-1bb5f4e7f048,2026-04-03,16:02:19.47,2026-04-03T11:02:19.4785280-05:00,2026-04-03T16:02:19.4785280Z,GroundBall,v3,643-145680,510218,10286,"Angilly, Cooper",1000091554,Right,RHO_COL,a11c22d4-2590-4d94-ae5c-a6e48992ccb0,54.99229,-109.47898,11.6332,6.2328,3.48099,-19.79938,-1.22155,0.92082,5.03045,276.726304,1.2197,123.67603,-13.09846,1.83939,-0.35172,0.04752,-0.00579,0.00022,0.0001,2.67614,17.35451,-18.4579,1.48664,-0.26572,0.05622,-0.00894,0.00149,-0.00018,0.60404,1.78525,4.34043,-1.23471,0.31325,-0.05772,0.00331,0.00268,-0.00078,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2026-04-03,11:02:47.50,2,1,"Daniel, Ben",10117966,Right,RHO_COL,"Duffey, Connor",1000193898,Left,SOU_WES,Undefined,1,Top,0,0,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,79.25753,-1.185754,-4.038761,1953.417439,255.988706,2:30,6.09512,1.7389,6.24485,-37.30876,7.08776,22.2269,1.88944,-0.14037,72.17302,-8.141326,-0.027656,0.479563,,,,,,,,,,,,-12.69036,4.51953,-1.4479,50,5.9885,7.29606,-114.86867,-3.4678,-16.79879,23.11626,-26.19134,RHO_COL,SOU_WES,StaufferField,D3,Team,20260403-StaufferField-1,8f67b1a0-2f76-11f1-9980-d5d094c4fc93,78.59743,,,7.08451,,,,,,,c908e5f3-83a6-490b-967d-1bb5f4e7f048,2026-04-03,16:02:47.50,2026-04-03T11:02:47.5011072-05:00,2026-04-03T16:02:47.5011072Z,,v3,643-145680,510218,10286,"Angilly, Cooper",1000091554,Right,RHO_COL,c65203da-d19f-458d-bb36-a02d0e652c67,54.25822,-115.72243,11.55813,6.09872,-2.50048,-13.09567,-1.72882,7.9165,-8.3994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-03,11:03:01.45,2,2,"Daniel, Ben",10117966,Right,RHO_COL,"Duffey, Connor",1000193898,Left,SOU_WES,Undefined,1,Top,0,0,1,ChangeUp,Changeup,InPlay,Undefined,FlyBall,HomeRun,0,2,,80.3653,-1.075321,-3.522977,1841.655897,242.558475,2:00,6.12834,1.71474,6.20262,-32.69498,10.31989,17.1204,2.40909,-0.11485,73.40445,-7.186653,-0.436026,0.472042,102.9004,24.167491,12.696985,1845.493324,107.23376,46.13733,24.5131,428.90024,421.89276,11.867003,4.933227,-9.94721,6.07359,-1.45813,50,6.03083,6.5612,-116.58325,-3.13304,-13.62311,22.9223,-23.85602,RHO_COL,SOU_WES,StaufferField,D3,Team,20260403-StaufferField-1,97b7d650-2f76-11f1-9980-d5d094c4fc93,79.84975,71.47339,,6.96085,,,,2.65198,2.55936,0.11693,c908e5f3-83a6-490b-967d-1bb5f4e7f048,2026-04-03,16:03:01.45,2026-04-03T11:03:01.4565888-05:00,2026-04-03T16:03:01.4565888Z,FlyBall,v3,643-145680,510218,10286,"Angilly, Cooper",1000091554,Right,RHO_COL,1705f40d-5a37-4af6-92f1-32f9d5d48e41,54.30138,-117.42593,11.46115,6.12989,-2.25603,-11.92801,-1.70854,7.06202,-6.81156,187.976752,2.65534,134.25475,-22.37923,4.59692,-0.56325,-0.0255,0.02229,-0.00293,0.00012,2.55859,61.79584,-14.6926,0.27674,0.13073,-0.09049,0.03318,-0.00548,0.00033,0.11654,30.27211,-3.33769,0.1671,-0.0156,0.01305,-0.00357,0.00039,-2E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
7,2026-04-03,11:03:47.91,3,1,"Daniel, Ben",10117966,Right,RHO_COL,"Organ, Tres",1000148850,Right,SOU_WES,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.31237,-0.277369,-1.286187,2115.36263,214.333032,1:15,6.09456,1.33332,6.51382,-19.95954,16.73359,10.4413,4.17665,1.02289,77.78701,-4.153987,0.609476,0.435977,,,,,,,,,,,,-5.84504,9.23477,-1.24725,50,6.06634,2.4176,-126.59642,-1.10938,-9.22995,32.33636,-17.59135,RHO_COL,SOU_WES,StaufferField,D3,Team,20260403-StaufferField-1,b35e3ca0-2f76-11f1-9980-d5d094c4fc93,86.45505,,,9.52536,,,,,,,c908e5f3-83a6-490b-967d-1bb5f4e7f048,2026-04-03,16:03:47.91,2026-04-03T11:03:47.9121920-05:00,2026-04-03T16:03:47.9121920Z,,v3,643-145680,510218,10286,"Angilly, Cooper",1000091554,Right,RHO_COL,765ee1cc-68d4-49cf-b533-a3a774de818b,53.98271,-127.60966,16.16818,6.09246,-0.55817,-8.79567,-1.32753,2.70682,-4.61498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-03,11:04:02.91,3,2,"Daniel, Ben",10117966,Right,RHO_COL,"Organ, Tres",1000148850,Right,SOU_WES,Undefined,1,Top,0,1,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,74.23024,1.297389,-0.516639,2386.277377,47.570373,7:30,6.33281,1.22501,5.55172,-61.85149,-9.34772,-12.37894,2.39117,-0.28938,67.08818,-10.004306,-2.729811,0.521515,,,,,,,,,,,,6.03197,-4.52547,-1.17206,50,6.40483,1.43838,-107.5889,0.43189,6.89404,23.00196,-37.34625,RHO_COL,SOU_WES,StaufferField,D3,Team,20260403-StaufferField-1,bc69c210-2f76-11f1-9980-d5d094c4fc93,72.27493,,,7.14206,,,,,,,c908e5f3-83a6-490b-967d-1bb5f4e7f048,2026-04-03,16:04:02.91,2026-04-03T11:04:02.9141504-05:00,2026-04-03T16:04:02.9141504Z,,v3,643-145680,510218,10286,"Angilly, Cooper",1000091554,Right,RHO_COL,1108b0ad-be0d-466d-8acd-b2948f39a14d,54.95128,-108.64231,11.50098,6.34588,2.14221,-18.67313,-1.2307,1.12266,3.44702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-03,11:04:18.01,3,3,"Daniel, Ben",10117966,Right,RHO_COL,"Organ, Tres",1000148850,Right,SOU_WES,Undefined,1,Top,0,1,1,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.08039,-0.537587,-1.776077,2089.835093,220.844599,1:15,6.13648,1.44629,6.21191,-19.23442,16.55686,13.05922,4.03718,0.89477,79.0906,-4.261691,0.580939,0.430586,,,,,,,,,,,,-7.31756,9.13886,-1.31881,50,6.08652,3.43802,-129.02283,-1.72856,-11.96608,34.32259,-17.22969,RHO_COL,SOU_WES,StaufferField,D3,Team,20260403-StaufferField-1,c5516bd0-2f76-11f1-9980-d5d094c4fc93,87.53752,,,9.98979,,,,,,,c908e5f3-83a6-490b-967d-1bb5f4e7f048,2026-04-03,16:04:18.01,2026-04-03T11:04:18.0118528-05:00,2026-04-03T16:04:18.0118528Z,,v3,643-145680,510218,10286,"Angilly, Cooper",1000091554,Right,RHO_COL,58e4cb0e-fbcf-4ef4-bc75-01c239fd928a,54.28459,-130.15762,17.1613,6.13426,-1.1589,-8.61484,-1.43902,3.83365,-5.98304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-03,11:04:33.33,3,4,"Daniel, Ben",10117966,Right,RHO_COL,"Organ, Tres",1000148850,Right,SOU_WES,Undefined,1,Top,0,2,1,FourSeamFastBall,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.00188,-1.983262,-2.985993,2111.254318,222.848879,1:30,6.15554,1.55737,6.43704,-19.92918,15.43064,13.04595,2.66886,-0.1022,79.73547,-5.817883,-0.623407,0.427983,,,,,,,,,,,,-7.75229,9.10599,-1.34987,50,6.00519,6.18423,-128.89389,-5.00147,-12.75406,32.29902,-17.19282,RHO_COL,SOU_WES,StaufferField,D3,Team,20260403-StaufferField-1,ce7e8300-2f76-11f1-9980-d5d094c4fc93,88.06993,,,9.2664,,,,,,,c908e5f3-83a6-490b-967d-1bb5f4e7f048,2026-04-03,16:04:33.33,2026-04-03T11:04:33.3383168-05:00,2026-04-03T16:04:33.3383168Z,,v3,643-145680,510218,10286,"Angilly, Cooper",1000091554,Right,RHO_COL,5a6f7bae-2b64-4477-bd23-587164bedad2,54.06122,-129.90759,16.14951,6.15369,-4.46187,-8.59641,-1.55024,6.58451,-6.37703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
