PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-04,13:01:44.85,1,1,"Shindler, Quinn",10285737,Right,MAN_MOU,"Pullen, Bodie",10268360,Right,SHE_UNI1,Undefined,1,Top,0,0,0,Undefined,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAN_MOU,SHE_UNI1,FairfaxField,D2,Team,20260404-FairfaxField-2,2199a590-31c2-11f1-a461-41e11a5abb35,,,,,,,,,,,eddedf21-7598-4957-9eda-d9af4a1586a5,2026-04-04,17:01:44.85,2026-04-04T13:01:44.8580000-04:00,2026-04-04T17:01:44.8580000Z,,v3,643-145255,643-145790,,"Floyd, Brinden",10108827,Right,MAN_MOU,4214b25f-20b6-4d29-8d01-667d92a333cb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-04-04,13:01:49.85,1,2,"Shindler, Quinn",10285737,Right,MAN_MOU,"Pullen, Bodie",10268360,Right,SHE_UNI1,Undefined,1,Top,0,0,1,Undefined,,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAN_MOU,SHE_UNI1,FairfaxField,D2,Team,20260404-FairfaxField-2,2199a591-31c2-11f1-a461-41e11a5abb35,,,,,,,,,,,eddedf21-7598-4957-9eda-d9af4a1586a5,2026-04-04,17:01:49.85,2026-04-04T13:01:49.8580000-04:00,2026-04-04T17:01:49.8580000Z,,v3,643-145255,643-145790,,"Floyd, Brinden",10108827,Right,MAN_MOU,7f805988-aab3-4d86-afa2-d15e119188ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-04-04,13:01:54.85,1,3,"Shindler, Quinn",10285737,Right,MAN_MOU,"Pullen, Bodie",10268360,Right,SHE_UNI1,Undefined,1,Top,0,1,1,Undefined,,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAN_MOU,SHE_UNI1,FairfaxField,D2,Team,20260404-FairfaxField-2,2199a592-31c2-11f1-a461-41e11a5abb35,,,,,,,,,,,eddedf21-7598-4957-9eda-d9af4a1586a5,2026-04-04,17:01:54.85,2026-04-04T13:01:54.8580000-04:00,2026-04-04T17:01:54.8580000Z,,v3,643-145255,643-145790,,"Floyd, Brinden",10108827,Right,MAN_MOU,f6d2f6ce-82b4-4acc-ac77-6151ca7e2bba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-04-04,13:01:59.85,1,4,"Shindler, Quinn",10285737,Right,MAN_MOU,"Pullen, Bodie",10268360,Right,SHE_UNI1,Undefined,1,Top,0,2,1,Undefined,,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAN_MOU,SHE_UNI1,FairfaxField,D2,Team,20260404-FairfaxField-2,2199a593-31c2-11f1-a461-41e11a5abb35,,,,,,,,,,,eddedf21-7598-4957-9eda-d9af4a1586a5,2026-04-04,17:01:59.85,2026-04-04T13:01:59.8580000-04:00,2026-04-04T17:01:59.8580000Z,,v3,643-145255,643-145790,,"Floyd, Brinden",10108827,Right,MAN_MOU,65d85414-cc59-4578-8672-8b3875b57d3e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-04-04,13:02:09.85,1,5,"Shindler, Quinn",10285737,Right,MAN_MOU,"Pullen, Bodie",10268360,Right,SHE_UNI1,Undefined,1,Top,0,3,1,Fastball,Sinker,BallCalled,Walk,Undefined,Undefined,0,0,,88.94466,0.413705,-2.355319,2249.713706,243.080771,2:00,5.77965,1.64375,5.91421,-25.90088,9.64595,16.63647,4.00556,0.84278,80.64725,-4.439632,0.629797,0.429113,,,,,,,,,,,,-9.14497,5.17981,-1.46378,50,5.79826,4.5856,-129.04243,0.07274,-15.30661,28.6973,-23.50423,MAN_MOU,SHE_UNI1,FairfaxField,D2,Team,20260404-FairfaxField-2,04f8f880-3048-11f1-b1aa-8b0c43ea13be,87.83799,,,8.29742,,,,,,,eddedf21-7598-4957-9eda-d9af4a1586a5,2026-04-04,17:02:09.85,2026-04-04T13:02:09.8580000-04:00,2026-04-04T17:02:09.8580000Z,,v3,643-145255,643-145790,,"Floyd, Brinden",10108827,Right,MAN_MOU,46feeb59-e1ec-48ca-b2b5-26b7403fb78e,54.58666,-130.05845,14.34865,5.78095,0.9049,-11.75212,-1.63573,5.12752,-7.65331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-04,13:02:38.03,2,1,"Shindler, Quinn",10285737,Right,MAN_MOU,"Fluharty, Ryan",10100129,Right,SHE_UNI1,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.86331,-1.261741,-2.311006,2218.444928,244.605668,2:15,5.84285,1.39541,5.89712,-25.94092,9.09071,16.53217,2.50848,0.62625,81.28471,-6.113361,0.656674,0.425992,,,,,,,,,,,,-9.108,5.42662,-1.21833,50,5.72649,4.52967,-130.28169,-3.74805,-15.45816,30.56936,-22.96396,MAN_MOU,SHE_UNI1,FairfaxField,D2,Team,20260404-FairfaxField-2,15bd1d90-3048-11f1-b1aa-8b0c43ea13be,88.48153,,,8.5786,,,,,,,eddedf21-7598-4957-9eda-d9af4a1586a5,2026-04-04,17:02:38.03,2026-04-04T13:02:38.0350000-04:00,2026-04-04T17:02:38.0350000Z,,v3,643-145255,643-145790,,"Floyd, Brinden",10108827,Right,MAN_MOU,19454b94-7e65-4841-95a3-6cc5890e3217,54.6031,-131.35732,15.28468,5.84416,-2.94002,-11.48198,-1.38728,5.07359,-7.72908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-04,13:02:54.39,2,2,"Shindler, Quinn",10285737,Right,MAN_MOU,"Fluharty, Ryan",10100129,Right,SHE_UNI1,Undefined,1,Top,0,0,1,Slider,Slider,BallinDirt,Undefined,Undefined,Undefined,0,0,,76.38085,-1.942003,-3.942812,2298.224886,102.07593,9:30,5.72366,1.57548,5.41874,-46.65802,2.81024,-5.28536,0.01119,-2.56446,70.07403,-10.397935,-4.881372,0.506215,,,,,,,,,,,,1.45764,2.47437,-1.22068,50,5.51809,7.81402,-110.49171,-5.26336,1.7825,21.67188,-29.14817,MAN_MOU,SHE_UNI1,FairfaxField,D2,Team,20260404-FairfaxField-2,1f869bd0-3048-11f1-b1aa-8b0c43ea13be,74.45938,,,6.30682,,,,,,,eddedf21-7598-4957-9eda-d9af4a1586a5,2026-04-04,17:02:54.39,2026-04-04T13:02:54.3930000-04:00,2026-04-04T17:02:54.3930000Z,,v3,643-145255,643-145790,,"Floyd, Brinden",10108827,Right,MAN_MOU,f5aeee6a-c2bb-40ab-96db-878476416b87,55.08393,-111.48442,10.83594,5.72861,-3.9282,-14.57409,-1.57674,7.73237,0.89125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-04,13:03:16.47,2,3,"Shindler, Quinn",10285737,Right,MAN_MOU,"Fluharty, Ryan",10100129,Right,SHE_UNI1,Undefined,1,Top,0,1,1,Slider,Slider,InPlay,Undefined,FlyBall,Out,1,0,,77.6466,1.039628,-1.05604,2160.20824,136.847299,10:30,5.67266,1.7354,5.19531,-43.90357,3.93819,-2.20894,2.99229,0.55779,70.81325,-6.981466,-1.447484,0.497823,82.49054,40.639382,0.427784,,109.84761,79.4686,5.78727,295.31799,292.90062,8.550361,5.03549,0.79512,2.08614,-1.63565,50,5.73587,2.16327,-112.60936,0.55722,1.01454,21.65936,-29.51225,MAN_MOU,SHE_UNI1,FairfaxField,D2,Team,20260404-FairfaxField-2,2cb89970-3048-11f1-b1aa-8b0c43ea13be,75.71452,92.58976,,6.83335,,,,2.09365,3.18396,-0.57897,eddedf21-7598-4957-9eda-d9af4a1586a5,2026-04-04,17:03:16.47,2026-04-04T13:03:16.4780000-04:00,2026-04-04T17:03:16.4780000Z,FlyBall,v3,643-145255,643-145790,,"Floyd, Brinden",10108827,Right,MAN_MOU,610f6d0c-8f40-4cfc-83ab-cf7b9d95ba02,55.30725,-113.62557,10.82968,5.67725,1.94187,-14.75613,-1.73603,2.11568,0.50727,198.328129,2.09537,91.77224,-16.77077,4.05661,-0.78421,0.13939,-0.02309,0.00275,-0.00015,3.18536,78.76106,-19.70569,1.11332,0.13727,-0.15272,0.04422,-0.00583,0.0003,-0.57931,0.69103,3.33085,-0.71719,0.15392,-0.03612,0.00804,-0.0011,6E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
9,2026-04-04,13:04:06.18,3,1,"Shindler, Quinn",10285737,Right,MAN_MOU,"Ahart, Colin",10032767,Right,SHE_UNI1,Undefined,1,Top,1,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.18183,-1.71996,-3.539396,2187.901277,236.330759,2:00,5.93033,1.48324,5.51471,-22.10647,12.27331,16.67162,2.47617,-0.44148,82.87062,-5.840854,-0.573534,0.42201,,,,,,,,,,,,-9.3965,7.03882,-1.18554,50,5.76542,7.39764,-132.03782,-4.74892,-16.50433,29.44342,-19.81082,MAN_MOU,SHE_UNI1,FairfaxField,D2,Team,20260404-FairfaxField-2,4a4bdba0-3048-11f1-b1aa-8b0c43ea13be,89.31642,,,8.31121,,,,,,,eddedf21-7598-4957-9eda-d9af4a1586a5,2026-04-04,17:04:06.18,2026-04-04T13:04:06.1820000-04:00,2026-04-04T17:04:06.1820000Z,,v3,643-145255,643-145790,,"Floyd, Brinden",10108827,Right,MAN_MOU,7be5cfa3-46bb-4b90-a9ed-4b26ec3e7ae7,54.98668,-133.14517,14.72171,5.93002,-4.00385,-9.90541,-1.47543,8.01836,-8.25217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.37377,,0.780186,,-1.4642,2.17501,0.46631,-1.51555,5.38318,1.03301,,,,-1.43302,103.40257,-8.18618,5.38753,6.70689,-10.82362,1.03021,2.98098,0.20374,High,High,High,,,High,High,Medium
10,2026-04-04,13:04:37.17,3,2,"Shindler, Quinn",10285737,Right,MAN_MOU,"Ahart, Colin",10032767,Right,SHE_UNI1,Undefined,1,Top,1,0,1,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.28213,-1.137763,-3.749593,2145.774802,239.20396,2:00,5.99133,1.47869,5.97734,-25.93297,10.05493,14.85788,2.77307,-0.76422,80.39416,-5.985043,-1.084429,0.431767,,,,,,,,,,,,-8.65792,5.85918,-1.1895,50,5.88681,7.75584,-127.94642,-3.39155,-14.29286,27.41295,-22.50147,MAN_MOU,SHE_UNI1,FairfaxField,D2,Team,20260404-FairfaxField-2,5cc7c2d0-3048-11f1-b1aa-8b0c43ea13be,87.29802,,,7.88797,,,,,,,eddedf21-7598-4957-9eda-d9af4a1586a5,2026-04-04,17:04:37.17,2026-04-04T13:04:37.1720000-04:00,2026-04-04T17:04:37.1720000Z,,v3,643-145255,643-145790,,"Floyd, Brinden",10108827,Right,MAN_MOU,fa1069df-82fe-4e31-a473-d5c24b59c56d,54.52401,-128.91206,13.70648,5.99232,-2.59892,-11.25073,-1.47157,8.25932,-7.14643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
