PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-05,13:04:42.72,1,1,"LeBlanc, Bryce",1000372292,Left,OKL_COW,"Smith, Jackson",1000362084,Left,CIN_BEA,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.23502,-3.980068,4.422451,2114.641262,139.361259,10:45,6.23511,-2.35215,6.45136,-16.95784,16.52084,-13.14422,1.14855,0.62359,82.64169,-7.232267,2.047217,0.416443,,,,,,,,,,,,8.28028,10.24434,2.04415,50,5.9444,-9.67703,-131.87549,-9.65514,14.41351,31.06635,-14.34167,OKL_COW,CIN_BEA,OKState,D1,BIG12,20260405-OKState-1,ec3ab590-3119-11f1-a7cd-a542be04ec8b,90.51046,,,8.59333,,,,,,,8251ce43-3614-42c2-aff0-20088bef869c,2026-04-05,18:04:42.72,2026-04-05T13:04:42.7226624-05:00,2026-04-05T18:04:42.7226624Z,,v3,4245,471270,f16cbc7d11ec41d887ffe2f16ac33725,"Smithwick, Campbell",805802,Right,OKL_COW,dc86e92f-3a92-46b7-8dd9-4485670670cd,54.04749,-132.82554,15.53317,6.23297,-9.21655,-7.17084,2.34682,-10.11782,7.20676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-05,13:05:00.93,1,2,"LeBlanc, Bryce",1000372292,Left,OKL_COW,"Smith, Jackson",1000362084,Left,CIN_BEA,Undefined,1,Top,0,1,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.12692,-2.951089,4.434582,2142.314836,126.8252,10:15,6.25683,-2.18414,6.36468,-20.25769,13.43926,-16.2982,1.84242,0.5467,82.27617,-6.80635,1.492865,0.417798,,,,,,,,,,,,9.87717,8.30028,1.86994,50,6.03318,-9.54813,-131.79341,-7.40262,17.12661,31.70722,-17.78167,OKL_COW,CIN_BEA,OKState,D1,BIG12,20260405-OKState-1,f71c3380-3119-11f1-a7cd-a542be04ec8b,90.21682,,,8.85074,,,,,,,8251ce43-3614-42c2-aff0-20088bef869c,2026-04-05,18:05:00.93,2026-04-05T13:05:00.9367040-05:00,2026-04-05T18:05:00.9367040Z,,v3,4245,471270,f16cbc7d11ec41d887ffe2f16ac33725,"Smithwick, Campbell",805802,Right,OKL_COW,20f59222-12ad-438e-b93c-0f6a73576417,54.13293,-132.784,15.85361,6.25578,-6.84708,-8.89083,2.17659,-10.08319,8.56331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-05,13:05:17.60,1,3,"LeBlanc, Bryce",1000372292,Left,OKL_COW,"Smith, Jackson",1000362084,Left,CIN_BEA,Undefined,1,Top,0,1,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,80.07964,-0.395183,1.843781,1892.370965,299.426601,4:00,6.01545,-2.56101,6.00828,-44.05624,-0.77528,3.69355,1.97778,-0.54444,73.903,-8.490819,2.508857,0.4735,,,,,,,,,,,,-1.39638,0.1063,2.41418,50,5.96031,-3.88255,-116.37533,-2.19607,-1.91677,21.64601,-32.02811,OKL_COW,CIN_BEA,OKState,D1,BIG12,20260405-OKState-1,01135170-311a-11f1-a7cd-a542be04ec8b,79.60391,,,6.17664,,,,,,,8251ce43-3614-42c2-aff0-20088bef869c,2026-04-05,18:05:17.60,2026-04-05T13:05:17.6043008-05:00,2026-04-05T18:05:17.6043008Z,,v3,4245,471270,f16cbc7d11ec41d887ffe2f16ac33725,"Smithwick, Campbell",805802,Right,OKL_COW,e35ddefb-d7a4-4766-b610-b47108e354eb,54.49216,-117.2079,10.82301,6.02108,-0.96418,-16.01406,2.5621,-3.80882,-0.95839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-05,13:05:37.25,1,4,"LeBlanc, Bryce",1000372292,Left,OKL_COW,"Smith, Jackson",1000362084,Left,CIN_BEA,Undefined,1,Top,0,1,2,Slider,Slider,InPlay,Undefined,FlyBall,Out,1,0,,81.38983,0.632733,2.960468,2057.185151,283.082626,3:30,5.74607,-2.54168,6.02087,-41.50699,0.96614,2.09004,2.87402,0.37702,73.95276,-7.0523,3.335889,0.46906,88.78177,41.22392,1.664601,3902.784991,109.91218,88.3132,-4.39279,304.14391,168.9027,-7.062885,5.586905,-0.15197,0.67949,2.30852,50,5.77306,-6.18243,-118.03303,-0.00407,-0.21173,25.06774,-31.22738,OKL_COW,CIN_BEA,OKState,D1,BIG12,20260405-OKState-1,0cc3df30-311a-11f1-a7cd-a542be04ec8b,80.35734,110.30615,,7.43707,,,,2.33688,3.19233,-0.37756,8251ce43-3614-42c2-aff0-20088bef869c,2026-04-05,18:05:37.25,2026-04-05T13:05:37.2537856-05:00,2026-04-05T18:05:37.2537856Z,FlyBall,v3,4245,471270,f16cbc7d11ec41d887ffe2f16ac33725,"Smithwick, Campbell",805802,Right,OKL_COW,e05a3677-212a-4d2a-af01-d29cf5d56bf4,54.47844,-118.98035,12.53387,5.75092,1.17603,-15.61369,2.54201,-6.17443,-0.10586,,2.34218,97.79113,-20.578,4.41088,-0.43432,-0.06451,0.02724,-0.00332,0.00014,3.18937,85.85904,-19.76375,1.52068,-0.31043,0.04417,0.00109,-0.00102,8E-05,-0.37624,2.81483,-5.84259,1.57797,-0.18323,-0.02383,0.01185,-0.00157,7E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
5,2026-04-05,13:06:13.82,2,1,"LeBlanc, Bryce",1000372292,Left,OKL_COW,"Pitts, Derrick",815522,Right,CIN_BEA,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.54051,-2.755869,4.091039,2126.82675,144.017806,10:45,6.40674,-2.13485,6.33512,-16.68359,16.72214,-11.41851,2.47053,0.68685,83.44833,-5.924535,2.031627,0.415989,,,,,,,,,,,,6.96386,9.71083,1.84152,50,6.19721,-8.93037,-131.27794,-6.797,12.26344,25.41942,-15.07314,OKL_COW,CIN_BEA,OKState,D1,BIG12,20260405-OKState-1,228b9600-311a-11f1-a7cd-a542be04ec8b,90.60923,,,7.09218,,,,,,,8251ce43-3614-42c2-aff0-20088bef869c,2026-04-05,18:06:13.82,2026-04-05T13:06:13.8257920-05:00,2026-04-05T18:06:13.8257920Z,,v3,4245,471270,f16cbc7d11ec41d887ffe2f16ac33725,"Smithwick, Campbell",805802,Right,OKL_COW,8c655bd4-53df-438a-9003-10349265aa10,54.16457,-132.08187,12.70971,6.40464,-6.3203,-7.53657,2.13009,-9.31822,6.13172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-05,13:06:29.88,2,2,"LeBlanc, Bryce",1000372292,Left,OKL_COW,"Pitts, Derrick",815522,Right,CIN_BEA,Undefined,1,Top,1,0,1,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.3392,-2.727427,2.516692,2150.403405,143.643988,10:45,6.22665,-2.26268,6.42345,-15.60725,18.19021,-12.54658,2.41466,-0.99337,82.19044,-5.737084,0.244091,0.418421,,,,,,,,,,,,7.24839,10.62304,2.08826,50,6.0245,-5.24825,-131.03184,-6.63956,12.53143,29.1326,-13.80837,OKL_COW,CIN_BEA,OKState,D1,BIG12,20260405-OKState-1,2c21cf40-311a-11f1-a7cd-a542be04ec8b,90.08258,,,8.14876,,,,,,,8251ce43-3614-42c2-aff0-20088bef869c,2026-04-05,18:06:29.88,2026-04-05T13:06:29.8840064-05:00,2026-04-05T18:06:29.8840064Z,,v3,4245,471270,f16cbc7d11ec41d887ffe2f16ac33725,"Smithwick, Campbell",805802,Right,OKL_COW,520973cd-fbb4-4cb2-ae02-ac87cc141e73,54.07401,-131.93451,14.5663,6.2236,-6.21171,-6.90419,2.2569,-5.63654,6.26572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-05,13:06:47.71,2,3,"LeBlanc, Bryce",1000372292,Left,OKL_COW,"Pitts, Derrick",815522,Right,CIN_BEA,Undefined,1,Top,1,0,2,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,,90.0208,-2.715452,2.140441,2195.300664,143.869408,10:45,6.29469,-2.16145,6.69608,-14.95241,19.05828,-12.99457,2.56191,-1.28609,81.09422,-5.643615,-0.226356,0.419739,82.55694,11.919909,30.591945,2898.397597,89.90752,10.53843,63.37597,164.71828,163.83714,37.256431,1.649224,7.52378,11.29162,2.02336,50,6.10744,-4.36997,-130.54665,-6.52455,12.76229,31.85987,-13.02059,OKL_COW,CIN_BEA,OKState,D1,BIG12,20260405-OKState-1,36c077d0-311a-11f1-a7cd-a542be04ec8b,89.79975,11.7218,,8.92657,,,,0.28789,2.57358,1.25949,8251ce43-3614-42c2-aff0-20088bef869c,2026-04-05,18:06:47.71,2026-04-05T13:06:47.7170688-05:00,2026-04-05T18:06:47.7170688Z,LineDrive,v3,4245,471270,f16cbc7d11ec41d887ffe2f16ac33725,"Smithwick, Campbell",805802,Right,OKL_COW,3f856249-7a6d-4505-8bc7-cefa91c4ed34,53.80057,-131.4709,15.92994,6.29124,-6.14682,-6.5103,2.15551,-4.7402,6.38114,,0.28789,101.98195,-17.05545,2.65959,-0.34415,-0.23687,0.25285,-0.10423,0.0163,2.57358,25.00906,-18.08588,1.53715,-0.28792,0.06824,-0.01663,0.00434,-0.00062,1.25948,60.29395,0.2918,-0.5013,-0.12522,0.42591,-0.37458,0.1522,-0.02391,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2026-04-05,13:07:47.59,3,1,"LeBlanc, Bryce",1000372292,Left,OKL_COW,"Coats, Quinton",832431,Right,CIN_BEA,Undefined,1,Top,1,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.46172,-0.505376,2.355181,2091.08249,126.837976,10:15,6.28569,-2.28198,6.1939,-21.39911,13.36099,-16.26292,4.03546,-1.46166,81.14626,-4.566022,-0.578576,0.424338,,,,,,,,,,,,9.03906,7.40807,2.11205,50,6.23679,-4.65412,-129.84315,-1.78563,15.31426,29.11145,-19.62303,OKL_COW,CIN_BEA,OKState,D1,BIG12,20260405-OKState-1,5a700ec0-311a-11f1-a7cd-a542be04ec8b,88.82648,,,8.31546,,,,,,,8251ce43-3614-42c2-aff0-20088bef869c,2026-04-05,18:07:47.59,2026-04-05T13:07:47.5901440-05:00,2026-04-05T18:07:47.5901440Z,,v3,4245,471270,f16cbc7d11ec41d887ffe2f16ac33725,"Smithwick, Campbell",805802,Right,OKL_COW,b23d3fe6-cdbc-4221-bc60-63bccfeb400e,54.3031,-130.80437,14.55573,6.28505,-1.13771,-9.81151,2.27407,-5.15978,7.65713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-05,13:08:28.40,3,2,"LeBlanc, Bryce",1000372292,Left,OKL_COW,"Coats, Quinton",832431,Right,CIN_BEA,Undefined,1,Top,1,1,0,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,89.87933,-1.03632,3.966302,2093.057265,133.491288,10:30,6.27313,-2.11799,6.16807,-18.76308,16.06391,-15.58851,3.74993,0.25237,80.86535,-4.634584,1.162545,0.424746,,,,,,,,,,,,9.29044,8.99111,1.82468,50,6.18488,-8.36515,-130.14162,-2.88889,15.69354,31.14817,-16.98616,OKL_COW,CIN_BEA,OKState,D1,BIG12,20260405-OKState-1,72c7e650-311a-11f1-a7cd-a542be04ec8b,88.74109,,,9.01398,,,,,,,8251ce43-3614-42c2-aff0-20088bef869c,2026-04-05,18:08:28.40,2026-04-05T13:08:28.4073984-05:00,2026-04-05T18:08:28.4073984Z,,v3,4245,471270,f16cbc7d11ec41d887ffe2f16ac33725,"Smithwick, Campbell",805802,Right,OKL_COW,189740bf-81e0-4cd5-829c-7f2291d6f276,54.32862,-131.17354,15.57409,6.27126,-2.32615,-8.49308,2.11043,-8.88507,7.84677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-05,13:09:10.22,3,3,"LeBlanc, Bryce",1000372292,Left,OKL_COW,"Coats, Quinton",832431,Right,CIN_BEA,Undefined,1,Top,1,1,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.42487,-1.465136,4.327283,2169.858213,138.261201,10:30,6.25017,-2.04978,6.21757,-17.40906,16.96178,-14.00965,3.44322,0.78358,81.39271,-4.817017,1.807314,0.421955,,,,,,,,,,,,8.5341,9.57674,1.73139,50,6.13126,-9.2952,-130.83784,-3.82483,14.5867,31.20266,-15.80531,OKL_COW,CIN_BEA,OKState,D1,BIG12,20260405-OKState-1,8bb1c4b0-311a-11f1-a7cd-a542be04ec8b,89.32802,,,9.03216,,,,,,,8251ce43-3614-42c2-aff0-20088bef869c,2026-04-05,18:09:10.22,2026-04-05T13:09:10.2252032-05:00,2026-04-05T18:09:10.2252032Z,,v3,4245,471270,f16cbc7d11ec41d887ffe2f16ac33725,"Smithwick, Campbell",805802,Right,OKL_COW,31abfc7e-eecc-4e6d-b742-fc0bf437c99d,54.27746,-131.854,15.60133,6.24744,-3.31011,-7.90265,2.04184,-9.77024,7.29335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
