PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-07,18:06:57.48,1,1,"Adams, Collin",824437,Left,ABI_WIL,"Griffin, Colton",823055,Left,TCU_HFG,Undefined,1,Top,0,0,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,76.43555,1.124581,1.2834,2274.661875,316.105989,4:30,5.51603,-1.09575,5.47692,-49.62444,-1.22677,2.57571,2.43335,0.31999,70.48616,-7.922348,1.742493,0.500707,,,,,,,,,,,,-0.9511,-0.45425,0.9813,50,5.58099,-2.58534,-111.01304,0.54558,-1.1907,19.27991,-32.74272,ABI_WIL,TCU_HFG,AbileneChristian,D1,WAC,20260407-AbileneChristian-1,7a4af940-32d6-11f1-8def-254e6b6a436a,75.27844,,,5.94939,,,,,,,938de816-28b6-4a98-a670-2f3c5669cd8e,2026-04-07,23:06:57.48,2026-04-07T18:06:57.4870016-05:00,2026-04-07T23:06:57.4870016Z,,v3,471223,5045,ed2d6cff8be3467c81aec5b1e266b072,"Sundgren, Kanon",830149,Right,ABI_WIL,a7591a3e-613e-4114-b6b6-2b2233bec6ef,55.0224,-111.8819,9.63996,5.52315,2.02114,-16.37136,1.09659,-2.53168,-0.59535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-07,18:07:14.36,1,2,"Adams, Collin",824437,Left,ABI_WIL,"Griffin, Colton",823055,Left,TCU_HFG,Undefined,1,Top,0,0,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.63289,-1.998474,1.793634,2107.976449,152.619462,11:00,5.73105,-0.65826,5.84137,-20.76344,17.02501,-8.11497,2.14181,0.33297,78.33294,-5.933573,0.338716,0.442436,85.15366,37.412051,-49.847898,4796.719112,62.48977,66.27359,-90.52639,256.61811,97.97644,-65.262945,4.268371,4.71382,9.72465,0.51699,50,5.55623,-3.59445,-125.56583,-4.99955,7.42762,28.52301,-16.85076,ABI_WIL,TCU_HFG,AbileneChristian,D1,WAC,20260407-AbileneChristian-1,845d4050-32d6-11f1-8def-254e6b6a436a,85.19289,72.36078,,8.29995,,,,0.65267,2.14621,-0.36658,938de816-28b6-4a98-a670-2f3c5669cd8e,2026-04-07,23:07:14.36,2026-04-07T18:07:14.3614976-05:00,2026-04-07T23:07:14.3614976Z,FlyBall,v3,471223,5045,ed2d6cff8be3467c81aec5b1e266b072,"Sundgren, Kanon",830149,Right,ABI_WIL,c9e2b89b-54f2-4b18-b7bd-be51fe9b4a88,54.65471,-126.61876,14.26151,5.7293,-4.3775,-8.42538,0.65474,-3.86864,3.71381,,0.65394,63.93181,-18.54066,4.07577,-0.75662,0.12842,-0.01905,0.00181,-7E-05,2.14416,75.92923,-25.41077,3.98796,-1.11683,0.25321,-0.04093,0.00419,-0.0002,-0.36754,-75.79647,10.62786,-2.3549,0.40046,-0.06325,0.00981,-0.00109,5E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
3,2026-04-07,18:07:35.74,1,3,"Adams, Collin",824437,Left,ABI_WIL,"Griffin, Colton",823055,Left,TCU_HFG,Undefined,1,Top,0,0,2,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,73.82683,-1.330899,0.721546,2231.663111,357.712583,6:00,5.74763,-0.51641,5.55268,-57.5731,-6.07548,0.30067,-0.29403,0.18289,69.0977,-11.713745,0.775438,0.516494,,,,,,,,,,,,0.03307,-2.43,0.45381,50,5.59362,-1.36236,-107.34933,-4.29318,0.03884,17.48166,-35.0276,ABI_WIL,TCU_HFG,AbileneChristian,D1,WAC,20260407-AbileneChristian-1,911ea1d0-32d6-11f1-8def-254e6b6a436a,72.97752,,,4.72913,,,,,,,938de816-28b6-4a98-a670-2f3c5669cd8e,2026-04-07,23:07:35.74,2026-04-07T18:07:35.7404672-05:00,2026-04-07T23:07:35.7404672Z,,v3,471223,5045,ed2d6cff8be3467c81aec5b1e266b072,"Sundgren, Kanon",830149,Right,ABI_WIL,32aeaeea-1396-4651-9039-713fa564dd73,54.95025,-108.15247,8.74083,5.75389,-2.68396,-17.5138,0.51644,-1.36415,0.01942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-07,18:07:58.87,1,4,"Adams, Collin",824437,Left,ABI_WIL,"Griffin, Colton",823055,Left,TCU_HFG,Undefined,1,Top,0,1,2,Slider,Slider,InPlay,Undefined,GroundBall,Single,0,0,,78.15908,0.532879,2.11737,2288.223323,288.870941,3:45,5.38192,-1.08576,5.56589,-46.82703,-0.92063,6.45713,1.97782,1.4312,72.5422,-7.99223,3.269135,0.48765,67.38154,-57.889098,-31.826436,,,,,2.79902,2.79902,-48.355697,0.022598,-2.74851,-0.23547,0.8987,50,5.39675,-4.44209,-113.57945,-0.48643,-3.6208,19.14978,-32.48424,ABI_WIL,TCU_HFG,AbileneChristian,D1,WAC,20260407-AbileneChristian-1,9ee16dc0-32d6-11f1-8def-254e6b6a436a,77.29407,1.8974,,5.61688,,,,0.84825,1.8974,-1.46373,938de816-28b6-4a98-a670-2f3c5669cd8e,2026-04-07,23:07:58.87,2026-04-07T18:07:58.8708864-05:00,2026-04-07T23:07:58.8708864Z,GroundBall,v3,471223,5045,ed2d6cff8be3467c81aec5b1e266b072,"Sundgren, Kanon",830149,Right,ABI_WIL,7bcdc723-ab1b-46b4-bfa1-7b4150fcc891,54.93507,-114.40849,9.57489,5.38737,0.91989,-16.24212,1.08762,-4.28533,-1.8104,,0.84776,44.7692,,,,,,,,1.89832,-83.96175,,,,,,,,-1.46343,-27.78668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
5,2026-04-07,18:08:43.41,2,1,"Adams, Collin",824437,Left,ABI_WIL,"Cramer, Cole",823144,Right,TCU_HFG,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,85.33988,-2.741419,1.034455,1946.211956,150.659428,11:00,5.58192,-0.90736,5.79043,-22.47619,15.57977,-8.15752,1.15635,-0.62475,79.24997,-6.911312,-0.427902,0.444,,,,,,,,,,,,4.44339,8.96339,0.82729,50,5.34251,-1.91677,-123.99976,-6.64426,7.01234,21.63432,-18.02841,ABI_WIL,TCU_HFG,AbileneChristian,D1,WAC,20260407-AbileneChristian-1,b96721d0-32d6-11f1-8def-254e6b6a436a,84.89289,,,6.08991,,,,,,,938de816-28b6-4a98-a670-2f3c5669cd8e,2026-04-07,23:08:43.41,2026-04-07T18:08:43.4140000-05:00,2026-04-07T23:08:43.4140000Z,,v3,471223,5045,ed2d6cff8be3467c81aec5b1e266b072,"Sundgren, Kanon",830149,Right,ABI_WIL,70b46bd8-1a1e-4038-aab6-a3ec93bc13ea,54.70967,-124.81876,10.81716,5.58112,-5.96177,-9.0142,0.90488,-2.18223,3.50617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.09265,,0.85376,,1.46318,1.16199,0.62441,1.36601,5.66102,1.59766,,,,1.47704,121.62836,-12.60267,5.65139,4.37198,-9.62999,1.56842,-5.40393,2.55246,High,High,High,,,High,Medium,Medium
6,2026-04-07,18:09:15.81,2,2,"Adams, Collin",824437,Left,ABI_WIL,"Cramer, Cole",823144,Right,TCU_HFG,Undefined,1,Top,0,1,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,78.15556,0.199408,0.563135,1411.094833,113.560112,9:45,5.57815,-0.88467,6.00362,-39.64876,5.40626,-9.48449,2.45886,-1.15327,72.44134,-7.118686,-1.14463,0.483107,,,,,,,,,,,,5.02016,3.1391,0.84555,50,5.57201,-0.77528,-113.69856,-0.80256,6.63487,18.96483,-28.02526,ABI_WIL,TCU_HFG,AbileneChristian,D1,WAC,20260407-AbileneChristian-1,ccc13400-32d6-11f1-8def-254e6b6a436a,78.02095,,,5.71422,,,,,,,938de816-28b6-4a98-a670-2f3c5669cd8e,2026-04-07,23:09:15.81,2026-04-07T18:09:15.8136320-05:00,2026-04-07T23:09:15.8136320Z,,v3,471223,5045,ed2d6cff8be3467c81aec5b1e266b072,"Sundgren, Kanon",830149,Right,ABI_WIL,b06eb048-6abc-4465-9a26-17ba9acc0f90,54.49588,-114.44601,9.48242,5.58188,0.30198,-14.01263,0.88126,-1.03677,3.31743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-07,18:09:56.93,2,3,"Adams, Collin",824437,Left,ABI_WIL,"Cramer, Cole",823144,Right,TCU_HFG,Undefined,1,Top,0,1,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,72.80716,1.616323,-1.094669,2163.712974,335.682309,5:15,5.7543,-0.52616,5.40129,-58.832,-5.13918,3.07587,2.36687,-1.29571,67.04377,-9.077911,-0.546765,0.527387,,,,,,,,,,,,-1.84902,-2.49709,0.6215,50,5.85714,1.90637,-105.70135,1.09864,-2.09008,18.16314,-34.99671,ABI_WIL,TCU_HFG,AbileneChristian,D1,WAC,20260407-AbileneChristian-1,e5499170-32d6-11f1-8def-254e6b6a436a,71.47017,,,5.76338,,,,,,,938de816-28b6-4a98-a670-2f3c5669cd8e,2026-04-07,23:09:56.93,2026-04-07T18:09:56.9312768-05:00,2026-04-07T23:09:56.9312768Z,,v3,471223,5045,ed2d6cff8be3467c81aec5b1e266b072,"Sundgren, Kanon",830149,Right,ABI_WIL,413be18d-0d5a-4567-b3e2-02093ea93a0c,55.09878,-106.57389,9.08157,5.76398,2.77986,-17.49836,0.52751,2.00678,-1.04504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-07,18:10:19.80,2,4,"Adams, Collin",824437,Left,ABI_WIL,"Cramer, Cole",823144,Right,TCU_HFG,Undefined,1,Top,0,2,1,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,77.85097,-0.320507,0.573031,1484.805517,134.296455,10:30,5.61446,-0.89424,6.10762,-37.52041,7.95079,-6.7502,2.19136,-0.92685,71.81388,-7.281289,-0.644886,0.485333,73.14086,43.53711,103.500859,4213.922319,,,,,73.22979,,,3.64929,4.60764,0.85376,50,5.57012,-0.89414,-113.20506,-1.72376,4.75372,19.92702,-26.17191,ABI_WIL,TCU_HFG,AbileneChristian,D1,WAC,20260407-AbileneChristian-1,f2e5e9a0-32d6-11f1-8def-254e6b6a436a,77.66307,51.34192,,6.0371,,,,0.90456,2.10627,0.75022,938de816-28b6-4a98-a670-2f3c5669cd8e,2026-04-07,23:10:19.80,2026-04-07T18:10:19.8014976-05:00,2026-04-07T23:10:19.8014976Z,,v3,471223,5045,ed2d6cff8be3467c81aec5b1e266b072,"Sundgren, Kanon",830149,Right,ABI_WIL,5a69739c-57d1-4e74-8b41-63a9a012fc64,54.39123,-113.9754,9.96351,5.6172,-0.712,-13.08596,0.89188,-1.07792,2.37686,,0.90456,-18.15502,-8.87863,3.03189,-0.92892,0.47631,-0.36393,0.19056,-0.04263,2.10627,73.89232,-28.4778,3.63191,-0.79032,0.1955,-0.07776,0.03123,-0.00632,0.75022,75.61638,-10.99395,1.86147,-0.3336,0.06604,-0.02526,0.00938,-0.00186,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
9,2026-04-07,18:10:46.94,2,5,"Adams, Collin",824437,Left,ABI_WIL,"Cramer, Cole",823144,Right,TCU_HFG,Undefined,1,Top,0,2,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,86.87942,-0.250046,1.366173,1932.534694,154.551195,11:15,5.69534,-0.64764,5.89664,-19.26119,17.44871,-7.79268,3.85803,-0.02844,79.90569,-3.887304,-0.032162,0.436077,,,,,,,,,,,,4.32756,9.32831,0.54211,50,5.66406,-2.69045,-126.28073,-1.12016,7.04365,23.80051,-16.99108,ABI_WIL,TCU_HFG,AbileneChristian,D1,WAC,20260407-AbileneChristian-1,031325e0-32d7-11f1-8def-254e6b6a436a,86.43533,,,6.97373,,,,,,,938de816-28b6-4a98-a670-2f3c5669cd8e,2026-04-07,23:10:46.94,2026-04-07T18:10:46.9416448-05:00,2026-04-07T23:10:46.9416448Z,,v3,471223,5045,ed2d6cff8be3467c81aec5b1e266b072,"Sundgren, Kanon",830149,Right,ABI_WIL,79501ec9-b258-4a00-ada3-0c5771516992,54.60114,-127.14496,11.90026,5.69353,-0.50318,-8.49554,0.64445,-2.94622,3.52182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-07,18:11:20.01,3,1,"Adams, Collin",824437,Left,ABI_WIL,"Strosnider, Sawyer",820831,Left,TCU_HFG,Undefined,1,Top,1,0,0,Slider,Curveball,InPlay,Undefined,GroundBall,Out,1,0,,76.73383,1.207745,0.793657,2198.992818,322.890408,4:45,5.4925,-1.01198,5.48632,-51.44495,-3.24075,3.59252,2.33561,0.02996,70.48388,-8.17526,1.434413,0.499705,107.57438,2.01099,22.597358,1451.933115,,,,80.37466,77.52879,23.545002,0.537306,-1.59874,-1.58921,0.93988,50,5.56306,-1.67856,-111.4344,0.65927,-2.00588,20.43245,-34.16797,ABI_WIL,TCU_HFG,AbileneChristian,D1,WAC,20260407-AbileneChristian-1,16c54320-32d7-11f1-8def-254e6b6a436a,75.42935,3.02928,,6.24995,,,,2.38033,2.65767,-0.1176,938de816-28b6-4a98-a670-2f3c5669cd8e,2026-04-07,23:11:20.01,2026-04-07T18:11:20.0192000-05:00,2026-04-07T23:11:20.0192000Z,GroundBall,v3,471223,5045,ed2d6cff8be3467c81aec5b1e266b072,"Sundgren, Kanon",830149,Right,ABI_WIL,26a5fd6c-192d-4415-8373-5318c225978f,55.0141,-112.35001,10.21623,5.49921,2.1904,-17.08399,1.01308,-1.58867,-1.00294,,2.41017,144.82482,-22.75796,,,,,,,2.67507,5.0999,-18.81408,,,,,,,-0.12292,60.7243,-1.35986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
