PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-07,18:02:12.77,1,1,"McGuire, Tate",806479,Right,ARK_RAZ,"Lopez, Jerdy",10298774,Left,LIT_TRO,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.42223,-1.074958,0.389922,2021.256742,197.921726,12:30,6.32987,0.25735,5.23268,-17.72832,16.0745,4.82272,3.84194,1.02577,83.70655,-4.409045,1.245,0.418454,,,,,,,,,,,,-2.28201,8.68434,-0.29696,50,6.21823,-1.14366,-133.97781,-3.12775,-4.11292,31.22248,-16.52211,ARK_RAZ,LIT_TRO,BaumStadium,D1,SEC,20260407-BaumStadium-1,d05c9fb0-32d5-11f1-8c6f-61d871afbfc2,90.07548,,,8.71569,,,,,,,3fb9676b-2cb3-4880-82b2-0963536d9c61,2026-04-07,23:02:12.77,2026-04-07T18:02:12.7715840-05:00,2026-04-07T23:02:12.7715840Z,,v3,3375,471235,4eafcfaba68749159f144e7955d80474,"Helfrick, Ryder",805785,Right,ARK_RAZ,119d5327-a3ed-4ace-8cf0-c524d4096b85,55.26286,-135.19871,15.61124,6.3279,-2.48168,-8.26106,-0.25538,-0.98283,-2.05646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-07,18:02:27.06,1,2,"McGuire, Tate",806479,Right,ARK_RAZ,"Lopez, Jerdy",10298774,Left,LIT_TRO,Undefined,1,Top,0,1,0,Cutter,Slider,InPlay,Undefined,GroundBall,Single,0,0,,84.53211,-1.001815,-0.393106,2323.709994,143.555222,10:45,6.01394,0.57587,5.27075,-35.91317,3.60378,-1.85728,2.08004,0.05184,78.55535,-7.519579,-0.723159,0.452442,96.56166,-12.036641,-3.144578,,,,,10.26907,8.07023,-2.573812,0.067331,0.84413,2.3463,-0.5385,50,5.89562,0.92035,-122.88553,-3.46207,1.30671,21.54047,-28.54205,ARK_RAZ,LIT_TRO,BaumStadium,D1,SEC,20260407-BaumStadium-1,d8e3b2e0-32d5-11f1-8c6f-61d871afbfc2,83.30882,1.99122,,5.97677,,,,0.93417,1.99122,0.05113,3fb9676b-2cb3-4880-82b2-0963536d9c61,2026-04-07,23:02:27.06,2026-04-07T18:02:27.0693888-05:00,2026-04-07T23:02:27.0693888Z,GroundBall,v3,3375,471235,4eafcfaba68749159f144e7955d80474,"Helfrick, Ryder",805785,Right,ARK_RAZ,9eb268fb-c661-46bd-b873-78e911526c57,55.23015,-123.79892,10.77023,6.01677,-2.25179,-14.27103,-0.57635,0.86494,0.65336,180,0.93215,138.48833,,,,,,,,1.99166,-29.57371,,,,,,,,0.05124,-7.60833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2026-04-07,18:02:59.99,2,1,"McGuire, Tate",806479,Right,ARK_RAZ,"Smith, Kade",822383,Right,LIT_TRO,Undefined,1,Top,0,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,80.05824,-1.872044,-1.324356,2422.71065,26.071305,6:45,6.16224,0.44312,4.88995,-52.21834,-6.88453,-4.05327,0.03872,-1.14766,74.1325,-11.191611,-2.04153,0.484599,,,,,,,,,,,,1.64843,-2.55701,-0.30965,50,5.93402,2.8517,-116.12463,-5.74431,2.24634,22.15733,-35.65855,ARK_RAZ,LIT_TRO,BaumStadium,D1,SEC,20260407-BaumStadium-1,ec911530-32d5-11f1-8c6f-61d871afbfc2,77.78067,,,5.92574,,,,,,,3fb9676b-2cb3-4880-82b2-0963536d9c61,2026-04-07,23:02:59.99,2026-04-07T18:02:59.9995392-05:00,2026-04-07T23:02:59.9995392Z,,v3,3375,471235,4eafcfaba68749159f144e7955d80474,"Helfrick, Ryder",805785,Right,ARK_RAZ,3a16e2ac-bfa5-440e-9fff-e34a3041d290,55.61154,-117.19046,11.07867,6.16908,-4.02905,-17.82928,-0.44423,2.74365,1.12317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-07,18:03:16.53,2,2,"McGuire, Tate",806479,Right,ARK_RAZ,"Smith, Kade",822383,Right,LIT_TRO,Undefined,1,Top,0,1,0,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,82.83411,-0.156845,-2.86931,2167.976033,225.356362,1:30,5.7453,0.84915,5.29957,-25.82478,16.4221,15.0804,3.44579,-0.59015,74.66374,-4.991493,-0.196088,0.467809,78.05785,83.843092,61.324486,,,,,,12.04069,,,-8.48422,8.70693,-0.59977,50,5.71286,5.37349,-119.93162,-1.16081,-12.18741,26.16812,-19.66673,ARK_RAZ,LIT_TRO,BaumStadium,D1,SEC,20260407-BaumStadium-1,f6662c30-32d5-11f1-8c6f-61d871afbfc2,80.57226,88.49715,,8.17037,,,,1.12278,3.56107,0.59639,3fb9676b-2cb3-4880-82b2-0963536d9c61,2026-04-07,23:03:16.53,2026-04-07T18:03:16.5300224-05:00,2026-04-07T23:03:16.5300224Z,,v3,3375,471235,4eafcfaba68749159f144e7955d80474,"Helfrick, Ryder",805785,Right,ARK_RAZ,7bcbcd72-683d-4392-8583-fb1e9c97d846,55.19707,-121.06027,13.08406,5.74464,-0.31258,-9.83336,-0.84287,5.89914,-6.0937,186.177528,1.12278,5.8919,-12.13346,4.84607,-1.3797,0.35538,-0.08673,0.01764,-0.00211,3.56107,113.8243,-31.39332,4.11589,-0.68259,0.08646,-0.00767,-0.00022,0.00012,0.59639,10.7727,1.53012,-0.98589,0.33157,-0.09344,0.02422,-0.00512,0.00062,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
5,2026-04-07,18:03:47.87,2,3,"McGuire, Tate",806479,Right,ARK_RAZ,"Smith, Kade",822383,Right,LIT_TRO,Undefined,1,Top,0,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.83869,-4.197902,-0.898198,2126.161799,193.856094,12:30,6.24755,0.09555,5.46168,-13.42859,20.20123,4.66929,1.19181,-0.35611,83.59173,-6.776149,-0.066776,0.417382,,,,,,,,,,,,-2.65866,11.93808,-0.01982,50,5.86873,1.88824,-134.20205,-10.24635,-4.76573,33.67595,-10.77468,ARK_RAZ,LIT_TRO,BaumStadium,D1,SEC,20260407-BaumStadium-1,090db740-32d6-11f1-8c6f-61d871afbfc2,90.30679,,,9.24696,,,,,,,3fb9676b-2cb3-4880-82b2-0963536d9c61,2026-04-07,23:03:47.87,2026-04-07T18:03:47.8745600-05:00,2026-04-07T23:03:47.8745600Z,,v3,3375,471235,4eafcfaba68749159f144e7955d80474,"Helfrick, Ryder",805785,Right,ARK_RAZ,3bfc1696-d968-421e-92e3-59bb30bc47a6,55.03475,-135.45955,16.83798,6.24384,-9.84401,-5.38734,-0.09365,2.0662,-2.38286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-07,18:04:03.90,2,4,"McGuire, Tate",806479,Right,ARK_RAZ,"Smith, Kade",822383,Right,LIT_TRO,Undefined,1,Top,0,2,1,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,,91.8292,-3.130261,-0.70633,2095.067388,203.469825,12:45,6.21179,0.26516,5.26408,-12.30835,21.85828,8.98394,2.24228,0.35024,83.48031,-5.493433,0.88726,0.4207,72.06823,24.012123,12.240068,3982.693393,105.33399,32.14446,31.69725,208.34211,208.34211,22.083644,3.052465,-4.70945,12.20233,-0.20749,50,5.91672,1.21956,-133.02328,-7.63354,-8.39505,29.91003,-10.4223,ARK_RAZ,LIT_TRO,BaumStadium,D1,SEC,20260407-BaumStadium-1,12960dd0-32d6-11f1-8c6f-61d871afbfc2,89.59462,32.24218,,8.34889,,,,0.52644,2.19702,-0.35561,3fb9676b-2cb3-4880-82b2-0963536d9c61,2026-04-07,23:04:03.90,2026-04-07T18:04:03.9049728-05:00,2026-04-07T23:04:03.9049728Z,LineDrive,v3,3375,471235,4eafcfaba68749159f144e7955d80474,"Helfrick, Ryder",805785,Right,ARK_RAZ,ca47da90-5ed5-465e-9467-66cc2f825856,55.23333,-134.19482,14.95501,6.20772,-7.22531,-5.21115,-0.2617,1.54838,-4.19752,223.661798,0.52656,94.3533,-16.41386,3.20758,-0.59528,0.11025,-0.02212,0.00338,-0.00023,2.19674,43.02053,-16.9801,1.43352,-0.17488,-0.10912,0.07199,-0.0165,0.0014,-0.35574,20.4736,2.7121,-0.50963,0.17556,-0.11106,0.04671,-0.00987,0.00082,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2026-04-07,18:04:41.58,3,1,"McGuire, Tate",806479,Right,ARK_RAZ,"Roe, Easton",1000332407,Left,LIT_TRO,Undefined,1,Top,0,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.71646,-3.137396,-2.300819,2374.576295,241.832926,2:00,5.76738,1.21257,5.14296,-28.54242,12.11686,19.88438,0.4295,0.70211,76.88554,-8.380114,1.222116,0.458935,,,,,,,,,,,,-10.79146,7.43693,-1.01366,50,5.45161,4.07886,-122.56884,-7.72653,-16.19585,27.26435,-21.01267,ARK_RAZ,LIT_TRO,BaumStadium,D1,SEC,20260407-BaumStadium-1,2914dfa0-32d6-11f1-8c6f-61d871afbfc2,82.13025,,,7.83092,,,,,,,3fb9676b-2cb3-4880-82b2-0963536d9c61,2026-04-07,23:04:41.58,2026-04-07T18:04:41.5865856-05:00,2026-04-07T23:04:41.5865856Z,,v3,3375,471235,4eafcfaba68749159f144e7955d80474,"Helfrick, Ryder",805785,Right,ARK_RAZ,710d8b4a-4d0f-4a7e-97a5-df9c5102a7db,55.35665,-123.75464,13.63218,5.76778,-6.81263,-10.50634,-1.20638,4.78326,-8.09793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-07,18:05:04.65,3,2,"McGuire, Tate",806479,Right,ARK_RAZ,"Roe, Easton",1000332407,Left,LIT_TRO,Undefined,1,Top,0,1,0,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Out,2,0,,84.59734,-0.910462,-2.301428,2328.784776,245.176784,2:15,5.6802,1.2194,5.07543,-30.33773,10.27032,19.17607,2.29298,0.64662,76.83993,-6.486304,1.089136,0.458646,95.98662,-2.254223,-9.102569,,,,,28.93084,27.74762,-10.583342,0.206512,-10.23709,5.77855,-1.01714,50,5.57029,4.07938,-122.5746,-3.04506,-15.44455,26.11886,-23.45603,ARK_RAZ,LIT_TRO,BaumStadium,D1,SEC,20260407-BaumStadium-1,36dd02c0-32d6-11f1-8c6f-61d871afbfc2,82.18199,2.21937,,7.75742,,,,0.66786,2.21937,-0.67533,3fb9676b-2cb3-4880-82b2-0963536d9c61,2026-04-07,23:05:04.65,2026-04-07T18:05:04.6519296-05:00,2026-04-07T23:05:04.6519296Z,GroundBall,v3,3375,471235,4eafcfaba68749159f144e7955d80474,"Helfrick, Ryder",805785,Right,ARK_RAZ,b50f563a-b82c-4113-9d8d-bdf3feae60e2,55.42263,-123.72469,13.05943,5.68163,-2.01222,-11.72801,-1.21174,4.75945,-7.72227,23.206672,0.66895,138.82964,-21.13446,,,,,,,2.22107,-5.64677,-24.77674,,,,,,,-0.67502,-22.27504,-0.91045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2026-04-07,18:05:38.30,4,1,"McGuire, Tate",806479,Right,ARK_RAZ,"Freund, Nolan",1000332452,Right,LIT_TRO,Undefined,1,Top,2,0,0,Cutter,Slider,InPlay,Undefined,GroundBall,Out,1,0,,85.75563,-0.783992,-0.091458,2429.158549,119.661652,10:00,5.94067,0.78024,5.3949,-35.60155,2.87358,-3.04323,2.23911,0.44093,79.11637,-7.276765,-0.633497,0.446438,78.61684,-9.147232,12.016233,,,,,13.49675,11.64553,9.943966,0.114439,1.51669,1.97236,-0.76984,50,5.84552,0.32718,-124.59851,-3.00576,2.39623,23.86587,-29.05791,ARK_RAZ,LIT_TRO,BaumStadium,D1,SEC,20260407-BaumStadium-1,4ae5f290-32d6-11f1-8c6f-61d871afbfc2,84.4292,2.2341,,6.63927,,,,0.71183,2.2341,-0.39109,3fb9676b-2cb3-4880-82b2-0963536d9c61,2026-04-07,23:05:38.30,2026-04-07T18:05:38.3054336-05:00,2026-04-07T23:05:38.3054336Z,GroundBall,v3,3375,471235,4eafcfaba68749159f144e7955d80474,"Helfrick, Ryder",805785,Right,ARK_RAZ,5fa30abe-51ae-4679-be1a-e2537e7d90ad,55.10497,-125.57251,11.93293,5.94399,-1.81986,-14.52895,-0.78119,0.22938,1.19811,223.455868,0.71195,111.33009,-12.10843,,,,,,,2.23411,-18.33172,-10.40491,,,,,,,-0.39111,23.70175,0.71823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2026-04-07,18:08:26.16,1,1,"Bronzini, Nic",702703,Left,LIT_TRO,"Rutenbar, Carter",830054,Left,ARK_RAZ,Undefined,1,Bottom,0,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.13178,-0.553942,3.203935,2396.190333,228.165817,1:30,5.86314,-2.81718,6.25836,-28.8297,8.5989,8.2417,2.94907,0.82698,78.58166,-5.944991,4.688795,0.440325,,,,,,,,,,,,-3.29591,5.01713,2.57573,50,5.80809,-7.32027,-124.93508,-2.09535,-5.17476,26.73001,-24.29684,ARK_RAZ,LIT_TRO,BaumStadium,D1,SEC,20260407-BaumStadium-1,aeed1840-32d6-11f1-8c6f-61d871afbfc2,85.60144,,,7.55013,,,,,,,3fb9676b-2cb3-4880-82b2-0963536d9c61,2026-04-07,23:08:26.16,2026-04-07T18:08:26.1626368-05:00,2026-04-07T23:08:26.1626368Z,,v3,3375,471235,4eafcfaba68749159f144e7955d80474,"Hill, Trey",1000241970,Right,LIT_TRO,22aee096-76b2-4079-a203-21103a4d3331,54.23781,-125.83849,13.36501,5.86503,-1.27417,-12.14842,2.82018,-7.14538,-2.58738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
