PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-07,19:03:13.38,1,1,"Whited, Cooper",838066,Left,FLO_SEM,"Jones, Kyle",812807,Right,FLA_GAT,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.22253,-1.472181,2.225671,2099.213579,139.999014,10:45,5.80109,-1.31635,5.84299,-20.77438,16.18619,-12.55174,2.70039,-0.29288,79.44405,-5.392662,-0.0239,0.437563,68.99998,44.337999,149.184831,3694.330004,,,,,48.49264,,,7.10201,9.07662,1.1427,50,5.66907,-4.4041,-126.56064,-3.88896,11.46543,26.95318,-17.5208,FLO_SEM,FLA_GAT,DickHowserStadium,D1,ACC,20260407-DickHowserStadium-1,f4a82880-32d5-11f1-b88b-711da2cfeb98,86.14171,40.36591,,7.77848,,,,2.24951,2.52536,0.22975,4e763eb8-06ac-49eb-9b29-9ecd7e4a4099,2026-04-07,23:03:13.38,2026-04-07T19:03:13.3830000-04:00,2026-04-07T23:03:13.3830000Z,,v3,101,471297,fed15aee6b21477c8fc951b1d2d2dfdd,"Carns, Hunter",807297,Right,FLO_SEM,18982aa7-4cae-4814-a5ad-de1ecf183013,54.65647,-127.54846,13.47659,5.79983,-3.24684,-8.7604,1.3118,-4.8243,5.73271,341.071188,2.24951,-62.16234,1.89843,0.42969,-0.82839,2.31736,-4.01985,3.60546,-1.27854,2.52536,70.72778,-27.38738,3.35261,-1.33394,2.18349,-3.61241,3.20242,-1.12398,0.22975,37.07888,-4.32094,0.96677,-0.67508,1.62982,-2.80285,2.49785,-0.87894,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
2,2026-04-07,19:03:31.55,1,2,"Whited, Cooper",838066,Left,FLO_SEM,"Jones, Kyle",812807,Right,FLA_GAT,Undefined,1,Top,0,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.52987,-0.673632,1.900813,2085.818446,111.177405,9:45,5.47234,-1.66136,5.15191,-36.136,8.52898,-18.05808,1.82647,-1.37611,73.29223,-7.295505,-1.298381,0.481011,,,,,,,,,,,,9.54453,4.90839,1.49808,50,5.38196,-3.11332,-116.71962,-2.62684,13.05803,23.66409,-25.4588,FLO_SEM,FLA_GAT,DickHowserStadium,D1,ACC,20260407-DickHowserStadium-1,ff827a80-32d5-11f1-b88b-711da2cfeb98,78.36087,,,7.23765,,,,,,,4e763eb8-06ac-49eb-9b29-9ecd7e4a4099,2026-04-07,23:03:31.55,2026-04-07T19:03:31.5540000-04:00,2026-04-07T23:03:31.5540000Z,,v3,101,471297,fed15aee6b21477c8fc951b1d2d2dfdd,"Carns, Hunter",807297,Right,FLO_SEM,7c112a69-224e-4111-b2e7-7308e161d903,55.34632,-117.79857,11.83205,5.47526,-1.46607,-12.7294,1.6536,-3.70869,6.52902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-07,19:03:47.06,1,3,"Whited, Cooper",838066,Left,FLO_SEM,"Jones, Kyle",812807,Right,FLA_GAT,Undefined,1,Top,0,1,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.41215,0.773595,1.234699,2113.350336,116.667573,10:00,5.4511,-1.65431,5.41582,-34.9825,9.51686,-15.83611,3.26081,-1.81715,72.73027,-5.70532,-1.582743,0.480118,,,,,,,,,,,,8.30678,5.00713,1.55585,50,5.49591,-1.85871,-116.56575,0.4187,11.28884,24.42209,-25.36941,FLO_SEM,FLA_GAT,DickHowserStadium,D1,ACC,20260407-DickHowserStadium-1,08c2cb90-32d6-11f1-b88b-711da2cfeb98,78.50657,,,7.68188,,,,,,,4e763eb8-06ac-49eb-9b29-9ecd7e4a4099,2026-04-07,23:03:47.06,2026-04-07T19:03:47.0660000-04:00,2026-04-07T23:03:47.0660000Z,,v3,101,471297,fed15aee6b21477c8fc951b1d2d2dfdd,"Carns, Hunter",807297,Right,FLO_SEM,99755864-4a3c-406f-8bd7-c96105a036e3,55.08106,-117.62548,12.21105,5.45386,1.51954,-12.68471,1.64714,-2.34856,5.64442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-07,19:04:02.69,1,4,"Whited, Cooper",838066,Left,FLO_SEM,"Jones, Kyle",812807,Right,FLA_GAT,Undefined,1,Top,0,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.08176,-3.213736,1.353689,2239.894439,145.774271,10:45,5.82399,-1.18186,5.86353,-18.85281,17.63292,-11.11595,1.26344,-0.8504,79.91273,-6.784678,-0.641071,0.434743,,,,,,,,,,,,6.10351,10.38957,1.07864,50,5.55238,-2.54825,-127.61757,-7.72294,9.96006,28.83423,-15.21976,FLO_SEM,FLA_GAT,DickHowserStadium,D1,ACC,20260407-DickHowserStadium-1,120eb560-32d6-11f1-b88b-711da2cfeb98,86.70045,,,8.16903,,,,,,,4e763eb8-06ac-49eb-9b29-9ecd7e4a4099,2026-04-07,23:04:02.69,2026-04-07T19:04:02.6920000-04:00,2026-04-07T23:04:02.6920000Z,,v3,101,471297,fed15aee6b21477c8fc951b1d2d2dfdd,"Carns, Hunter",807297,Right,FLO_SEM,d09c3073-a644-417e-a7b7-b63d2a47bf8a,54.63416,-128.66037,14.41711,5.82173,-7.17252,-7.60988,1.17731,-2.90846,4.98003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-07,19:04:20.14,1,5,"Whited, Cooper",838066,Left,FLO_SEM,"Jones, Kyle",812807,Right,FLA_GAT,Undefined,1,Top,0,3,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.03873,-2.76682,2.233462,2339.909301,145.225464,10:45,5.7446,-1.28544,5.74733,-19.28466,17.38985,-11.1752,1.55763,-0.13627,79.83077,-6.413736,0.233921,0.435867,,,,,,,,,,,,6.37882,10.08394,1.10676,50,5.50286,-4.49739,-127.52683,-6.75227,10.4003,28.66159,-15.73278,FLO_SEM,FLA_GAT,DickHowserStadium,D1,ACC,20260407-DickHowserStadium-1,1c769680-32d6-11f1-b88b-711da2cfeb98,86.47702,,,8.20796,,,,,,,4e763eb8-06ac-49eb-9b29-9ecd7e4a4099,2026-04-07,23:04:20.14,2026-04-07T19:04:20.1470000-04:00,2026-04-07T23:04:20.1470000Z,,v3,101,471297,fed15aee6b21477c8fc951b1d2d2dfdd,"Carns, Hunter",807297,Right,FLO_SEM,2b34ad7e-9c2f-4599-994e-2de51079ba36,54.75043,-128.59005,14.33079,5.74252,-6.16866,-7.86639,1.28075,-4.8832,5.20015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-07,19:04:42.22,1,6,"Whited, Cooper",838066,Left,FLO_SEM,"Jones, Kyle",812807,Right,FLA_GAT,Undefined,1,Top,0,3,2,Fastball,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,88.50335,-3.208904,1.974221,2289.36092,159.240249,11:15,5.78252,-1.28454,5.80405,-14.38454,22.13186,-7.86311,1.59455,-0.10301,79.56575,-6.002786,0.566254,0.434926,,,,,,,,,,,,4.64744,12.72654,1.12712,50,5.51037,-4.07353,-128.05635,-7.54488,7.57939,30.84707,-11.41876,FLO_SEM,FLA_GAT,DickHowserStadium,D1,ACC,20260407-DickHowserStadium-1,2999a000-32d6-11f1-b88b-711da2cfeb98,86.66402,,,8.9376,,,,,,,4e763eb8-06ac-49eb-9b29-9ecd7e4a4099,2026-04-07,23:04:42.22,2026-04-07T19:04:42.2220000-04:00,2026-04-07T23:04:42.2220000Z,,v3,101,471297,fed15aee6b21477c8fc951b1d2d2dfdd,"Carns, Hunter",807297,Right,FLO_SEM,0ed2b8b7-ea4c-43dd-9d65-5a99ea3e0561,54.69169,-129.18157,15.42353,5.77799,-7.12835,-5.70938,1.28075,-4.35,3.78969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.73793,2.923442,1.893632,1.02981,0.98102,1.54863,0.09874,3.05722,5.24377,1.54254,69.57332,7.94119,-55.21133,3.10741,70.19992,-5.49924,5.30495,18.33639,-15.32557,1.47142,-61.71296,6.48501,High,High,High,,,High,Medium,High
7,2026-04-07,19:05:11.35,2,1,"Whited, Cooper",838066,Left,FLO_SEM,"Surowiec, Ethan",814065,Right,FLA_GAT,Undefined,1,Top,1,0,0,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,80.25586,-1.130683,3.596428,2136.778695,111.584256,9:45,5.38274,-1.69433,5.55945,-35.62691,8.8902,-18.47481,1.35523,0.13063,72.8427,-7.711441,0.304293,0.480214,,,,,,,,,,,,10.4813,5.29689,1.39601,50,5.26162,-6.57137,-116.20519,-3.45003,14.1683,24.09728,-25.01389,FLO_SEM,FLA_GAT,DickHowserStadium,D1,ACC,20260407-DickHowserStadium-1,3b04b370-32d6-11f1-b88b-711da2cfeb98,78.49089,,,7.41315,,,,,,,4e763eb8-06ac-49eb-9b29-9ecd7e4a4099,2026-04-07,23:05:11.35,2026-04-07T19:05:11.3500000-04:00,2026-04-07T23:05:11.3500000Z,,v3,101,471297,fed15aee6b21477c8fc951b1d2d2dfdd,"Carns, Hunter",807297,Right,FLO_SEM,23b1b9f6-d763-4369-8398-727d92a46d38,54.9395,-117.22502,12.04864,5.38523,-2.39141,-12.50695,1.6868,-7.17098,7.08415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-07,19:05:25.92,2,2,"Whited, Cooper",838066,Left,FLO_SEM,"Surowiec, Ethan",814065,Right,FLA_GAT,Undefined,1,Top,1,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.3014,-0.145703,1.422036,2162.166164,108.94766,9:45,5.472,-1.71478,5.3363,-36.06596,8.7617,-20.85269,2.32977,-2.11809,72.66773,-6.799019,-2.284729,0.481886,,,,,,,,,,,,10.84359,4.92154,1.60173,50,5.43344,-2.0202,-116.38847,-1.50781,14.66321,24.73582,-25.51895,FLO_SEM,FLA_GAT,DickHowserStadium,D1,ACC,20260407-DickHowserStadium-1,43b74370-32d6-11f1-b88b-711da2cfeb98,78.21854,,,7.63367,,,,,,,4e763eb8-06ac-49eb-9b29-9ecd7e4a4099,2026-04-07,23:05:25.92,2026-04-07T19:05:25.9230000-04:00,2026-04-07T23:05:25.9230000Z,,v3,101,471297,fed15aee6b21477c8fc951b1d2d2dfdd,"Carns, Hunter",807297,Right,FLO_SEM,6bf2c928-1a90-418f-8cf6-88389dd85413,55.16107,-117.48022,12.36791,5.47513,-0.38149,-12.75948,1.70517,-2.66738,7.3316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-07,19:05:39.34,2,3,"Whited, Cooper",838066,Left,FLO_SEM,"Surowiec, Ethan",814065,Right,FLA_GAT,Undefined,1,Top,1,1,1,ChangeUp,Changeup,InPlay,Undefined,FlyBall,Out,1,0,,80.01905,-0.060446,2.64211,2173.765176,105.521446,9:30,5.35148,-1.79893,5.37233,-37.59459,7.5839,-21.39627,2.16187,-1.10307,72.29771,-6.994683,-1.161354,0.483768,86.70294,24.615552,4.965919,2488.693916,108.9562,42.95247,15.11731,286.66219,283.43978,12.192919,3.937846,11.60217,4.29091,1.57782,50,5.31974,-4.47767,-115.91167,-1.3778,15.54085,24.78727,-26.42645,FLO_SEM,FLA_GAT,DickHowserStadium,D1,ACC,20260407-DickHowserStadium-1,4babdaa0-32d6-11f1-b88b-711da2cfeb98,77.91428,50.54535,,7.72135,,,,1.0049,2.20256,1.10139,4e763eb8-06ac-49eb-9b29-9ecd7e4a4099,2026-04-07,23:05:39.34,2026-04-07T19:05:39.3420000-04:00,2026-04-07T23:05:39.3420000Z,LineDrive,v3,101,471297,fed15aee6b21477c8fc951b1d2d2dfdd,"Carns, Hunter",807297,Right,FLO_SEM,918ae6c7-cc41-43ef-ada7-104e52e336eb,55.12635,-117.00279,12.39364,5.35479,-0.21453,-13.21323,1.78998,-5.16177,7.77043,204.704696,1.00529,115.16116,-21.47288,4.64376,-0.85859,0.13125,-0.01529,0.00103,-1E-05,2.20167,52.99523,-15.88471,1.14922,-0.37941,0.12399,-0.0281,0.00401,-0.00026,1.10107,10.01746,2.79407,-0.68091,0.10824,-0.00932,0.00051,-0.00011,1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2026-04-07,19:06:12.33,3,1,"Whited, Cooper",838066,Left,FLO_SEM,"Bowen, Karson",702710,Right,FLA_GAT,Undefined,1,Top,2,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,78.69907,-0.342969,0.569097,2421.438945,264.558398,2:45,5.7163,-1.28122,5.20743,-43.94585,2.37406,9.55615,1.73159,0.05035,72.336,-8.327748,2.265309,0.489841,,,,,,,,,,,,-4.6241,1.70906,1.22104,50,5.65145,-1.5179,-114.23338,-2.20472,-6.09841,21.42037,-29.92008,FLO_SEM,FLA_GAT,DickHowserStadium,D1,ACC,20260407-DickHowserStadium-1,5f5e9420-32d6-11f1-b88b-711da2cfeb98,76.94828,,,6.36306,,,,,,,4e763eb8-06ac-49eb-9b29-9ecd7e4a4099,2026-04-07,23:06:12.33,2026-04-07T19:06:12.3320000-04:00,2026-04-07T23:06:12.3320000Z,,v3,101,471297,fed15aee6b21477c8fc951b1d2d2dfdd,"Carns, Hunter",807297,Right,FLO_SEM,31676c5e-39b4-4b04-826c-1b06efc769b8,55.2924,-115.2215,10.71018,5.72132,-0.8245,-14.96004,1.28457,-1.23657,-3.04921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
