PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-07,17:01:05.94,1,1,"Gollott, Blake",811171,Left,MIS_COL1,"Robinson, Rashad",1000337222,Right,UNI_WES1,Undefined,1,Top,0,0,0,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.4247,-2.011728,1.736238,1501.326658,152.367139,11:00,5.96438,-1.12886,6.34754,-19.21044,16.26883,-7.86808,2.51004,-0.18578,80.15149,-5.686095,0.312099,0.428705,79.53127,38.69934,84.658991,4531.392911,,,,,59.97647,,,4.62713,9.45709,1.00625,50,5.80909,-3.57584,-128.31009,-5.03112,7.63075,29.22024,-16.57812,MIS_COL1,UNI_WES1,FriersonField,D2,Team,20260407-FriersonField-1,3f6e3e30-32cd-11f1-a0f6-1dfaca826484,87.9216,42.44861,,8.27321,,,,-0.02792,2.4774,0.19072,f10a1f5e-48ad-4ba0-bedd-dbf35b339036,2026-04-07,22:01:05.94,2026-04-07T17:01:05.9411456-05:00,2026-04-07T22:01:05.9411456Z,,v3,643-145355,643-146177,,"Langston, Will",10151201,Right,MIS_COL1,6df6225a-2b38-48d2-b813-baafa4c64039,54.14944,-129.2516,14.61012,5.96259,-4.49695,-8.28906,1.12543,-3.82171,3.81537,,-0.02792,8.4738,-14.10838,4.85428,-1.35276,0.33218,-0.08006,0.01704,-0.00229,2.4774,72.93081,-26.25509,3.02199,-0.52279,0.07366,-0.00854,0.00064,4E-05,0.19072,90.63943,-11.95836,1.69377,-0.15979,-0.02358,0.01403,-0.00435,0.00059,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
2,2026-04-07,17:01:25.91,1,2,"Gollott, Blake",811171,Left,MIS_COL1,"Robinson, Rashad",1000337222,Right,UNI_WES1,Undefined,1,Top,0,0,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,73.79012,2.037522,-1.563328,1602.551594,302.627323,4:00,6.00861,-1.02137,5.99111,-56.72491,-5.49969,11.11312,3.17131,-1.54446,67.71761,-8.401573,0.436836,0.515126,,,,,,,,,,,,-6.12874,-2.8624,1.13868,50,6.13848,2.53532,-107.17437,2.11996,-7.10628,19.05967,-35.49299,MIS_COL1,UNI_WES1,FriersonField,D2,Team,20260407-FriersonField-1,4b5ce660-32cd-11f1-a0f6-1dfaca826484,73.17131,,,6.07252,,,,,,,f10a1f5e-48ad-4ba0-bedd-dbf35b339036,2026-04-07,22:01:25.91,2026-04-07T17:01:25.9107328-05:00,2026-04-07T22:01:25.9107328Z,,v3,643-145355,643-146177,,"Langston, Will",10151201,Right,MIS_COL1,1b196ba3-2fff-47a3-9ca8-b07c0e064abd,54.50982,-107.97341,9.52984,6.01842,3.60793,-17.7465,1.02615,2.83324,-3.55314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-07,17:01:41.04,1,3,"Gollott, Blake",811171,Left,MIS_COL1,"Robinson, Rashad",1000337222,Right,UNI_WES1,Undefined,1,Top,0,1,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,73.74938,-0.564636,0.23445,1619.369349,297.928868,4:00,6.01844,-0.97959,5.83537,-55.21519,-3.78492,10.11878,0.89234,0.08156,68.30871,-10.635674,2.055247,0.516156,,,,,,,,,,,,-5.13386,-1.33433,0.9544,50,5.9397,-0.78745,-107.20924,-2.71691,-5.96351,18.87223,-33.724,MIS_COL1,UNI_WES1,FriersonField,D2,Team,20260407-FriersonField-1,5463ff00-32cd-11f1-a0f6-1dfaca826484,73.02531,,,5.44067,,,,,,,f10a1f5e-48ad-4ba0-bedd-dbf35b339036,2026-04-07,22:01:41.04,2026-04-07T17:01:41.0441728-05:00,2026-04-07T22:01:41.0441728Z,,v3,643-145355,643-146177,,"Langston, Will",10151201,Right,MIS_COL1,2ef3c871-fdbc-4b46-914d-5689798e5057,54.66627,-108.02753,9.43612,6.0258,-1.25466,-16.862,0.98293,-0.52888,-2.98176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-07,17:01:56.99,1,4,"Gollott, Blake",811171,Left,MIS_COL1,"Robinson, Rashad",1000337222,Right,UNI_WES1,Undefined,1,Top,0,2,1,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.71892,-2.330325,2.702127,1520.748946,138.939459,10:45,5.97484,-1.04701,6.3627,-22.89671,12.00394,-9.49693,1.91869,0.6501,81.3654,-6.637413,0.983447,0.425195,,,,,,,,,,,,5.66618,7.24024,0.85544,50,5.79525,-5.69822,-128.7631,-5.92626,9.52267,26.4794,-20.006,MIS_COL1,UNI_WES1,FriersonField,D2,Team,20260407-FriersonField-1,5dda2d20-32cd-11f1-a0f6-1dfaca826484,88.64744,,,7.35352,,,,,,,f10a1f5e-48ad-4ba0-bedd-dbf35b339036,2026-04-07,22:01:56.99,2026-04-07T17:01:56.9963008-05:00,2026-04-07T22:01:56.9963008Z,,v3,643-145355,643-146177,,"Langston, Will",10151201,Right,MIS_COL1,0c5f8bc5-d704-4779-8c49-dd132d8bd850,54.13526,-129.6107,13.2397,5.9747,-5.28587,-10.003,1.04272,-6.00304,4.76133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-07,17:02:13.54,1,5,"Gollott, Blake",811171,Left,MIS_COL1,"Robinson, Rashad",1000337222,Right,UNI_WES1,Undefined,1,Top,0,2,2,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.27894,-1.179327,1.212314,1507.004525,143.186513,10:45,5.95909,-1.32491,6.55754,-20.00698,14.22371,-9.81819,3.21016,-1.0314,81.46809,-4.996945,-0.572455,0.421094,77.60752,11.355116,166.925313,2158.234472,,,,133.54899,45.51351,169.477969,1.436746,5.48835,8.13989,1.24505,50,5.86907,-2.36403,-129.77029,-3.21803,9.3276,28.00949,-18.34012,MIS_COL1,UNI_WES1,FriersonField,D2,Team,20260407-FriersonField-1,67b892f0-32cd-11f1-a0f6-1dfaca826484,89.51072,9.90979,,7.81084,,,,-1.0548,3.09475,1.14613,f10a1f5e-48ad-4ba0-bedd-dbf35b339036,2026-04-07,22:02:13.54,2026-04-07T17:02:13.5474688-05:00,2026-04-07T22:02:13.5474688Z,GroundBall,v3,643-145355,643-146177,,"Langston, Will",10151201,Right,MIS_COL1,d5c67852-35a6-4604-9ae6-94c82755483e,53.94044,-130.61802,14.00474,5.95806,-2.66295,-9.17006,1.32088,-2.64633,4.6638,274.066149,-1.30475,-106.24151,11.07063,,,,,,,3.29,20.51105,-15.95244,,,,,,,1.32501,23.46855,-5.23337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
6,2026-04-07,17:02:38.96,1,6,"Gollott, Blake",811171,Left,MIS_COL1,"Robinson, Rashad",1000337222,Right,UNI_WES1,Undefined,1,Top,0,2,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.62424,-1.990969,0.757036,1666.130211,109.822636,9:45,5.8412,-1.10624,6.75954,-32.49817,6.18827,-13.77516,1.3137,-1.5627,76.85915,-8.082906,-1.761163,0.447662,,,,,,,,,,,,7.5417,4.21331,1.0615,50,5.69859,-1.13431,-121.61401,-5.12417,11.25822,24.56948,-25.88445,MIS_COL1,UNI_WES1,FriersonField,D2,Team,20260407-FriersonField-1,76e17e90-32cd-11f1-a0f6-1dfaca826484,84.19835,,,6.76509,,,,,,,f10a1f5e-48ad-4ba0-bedd-dbf35b339036,2026-04-07,22:02:38.96,2026-04-07T17:02:38.9624832-05:00,2026-04-07T22:02:38.9624832Z,,v3,643-145355,643-146177,,"Langston, Will",10151201,Right,MIS_COL1,22f94bde-b1de-4d44-83d2-1a6729ebe061,53.74064,-122.3674,12.28474,5.84354,-4.33046,-12.94222,1.10157,-1.47953,5.62911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-07,17:02:56.08,1,7,"Gollott, Blake",811171,Left,MIS_COL1,"Robinson, Rashad",1000337222,Right,UNI_WES1,Undefined,1,Top,0,3,2,Fastball,Sinker,InPlay,Undefined,FlyBall,HomeRun,0,1,,90.0595,-2.241756,2.252964,1576.238238,145.971555,10:45,5.96137,-1.05963,6.32326,-19.96119,14.3102,-8.85221,2.23073,0.27864,81.63254,-6.040605,0.651818,0.421344,102.40511,35.206355,-26.4589,2900.547782,97.53206,71.27219,-50.86606,408.07927,224.07162,-30.941967,5.607725,5.32292,8.50197,0.89913,50,5.78797,-4.78443,-130.63445,-5.69239,9.09353,30.444,-17.64954,MIS_COL1,UNI_WES1,FriersonField,D2,Team,20260407-FriersonField-1,810ddd50-32cd-11f1-a0f6-1dfaca826484,89.45754,108.73639,,8.42697,,,,1.81877,2.4457,-0.37208,f10a1f5e-48ad-4ba0-bedd-dbf35b339036,2026-04-07,22:02:56.08,2026-04-07T17:02:56.0864256-05:00,2026-04-07T22:02:56.0864256Z,FlyBall,v3,643-145355,643-146177,,"Langston, Will",10151201,Right,MIS_COL1,2f8b918f-4514-4983-8a0e-0caf1ac73a59,54.17477,-131.60377,15.222,5.96027,-5.13044,-8.82477,1.05608,-5.07396,4.54677,162.915417,1.82156,109.81818,-20.8523,4.87946,-0.96934,0.16125,-0.02164,0.00201,-9E-05,2.44709,86.55635,-21.0016,1.80425,-0.16587,-0.03819,0.01696,-0.00235,0.00011,-0.37314,-54.66127,6.86969,-1.41892,0.25943,-0.0453,0.00754,-0.00086,4E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
8,2026-04-07,17:03:42.15,2,1,"Gollott, Blake",811171,Left,MIS_COL1,"Walburn, Hudson",824553,Right,UNI_WES1,Undefined,1,Top,0,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,71.95211,4.069913,-2.08762,1405.318496,295.348176,3:45,5.91367,-0.98385,5.8751,-60.46019,-4.89016,14.86666,4.66425,-1.68475,64.26149,-7.127021,0.575683,0.536527,,,,,,,,,,,,-8.19288,-3.1328,1.14464,50,6.20988,3.24575,-103.99447,5.59704,-8.74372,21.57742,-35.51748,MIS_COL1,UNI_WES1,FriersonField,D2,Team,20260407-FriersonField-1,9c9bb290-32cd-11f1-a0f6-1dfaca826484,70.2526,,,7.69062,,,,,,,f10a1f5e-48ad-4ba0-bedd-dbf35b339036,2026-04-07,22:03:42.15,2026-04-07T17:03:42.1577216-05:00,2026-04-07T22:03:42.1577216Z,,v3,643-145355,643-146177,,"Langston, Will",10151201,Right,MIS_COL1,52114b02-7564-44fe-9562-d883e052e4d2,54.62114,-104.94891,10.78871,5.92756,7.1681,-17.75874,0.99251,3.63252,-4.37186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-07,17:03:55.81,2,2,"Gollott, Blake",811171,Left,MIS_COL1,"Walburn, Hudson",824553,Right,UNI_WES1,Undefined,1,Top,0,1,0,Fastball,Changeup,InPlay,Undefined,LineDrive,Double,0,0,,88.39467,-1.715237,1.516923,1489.990579,141.919485,10:45,5.92975,-1.22489,6.25096,-26.73458,9.5715,-6.34823,2.11902,-0.35465,78.79769,-6.77638,0.369004,0.433672,104.90187,8.014808,11.243265,2168.6319,107.1053,12.21528,25.06765,241.56976,241.27622,15.687052,2.01672,3.83878,6.01524,1.11511,50,5.78947,-3.12849,-128.03392,-4.65664,6.17677,33.98247,-22.49527,MIS_COL1,UNI_WES1,FriersonField,D2,Team,20260407-FriersonField-1,a4ac0f20-32cd-11f1-a0f6-1dfaca826484,86.91469,12.50426,,9.59698,,,,0.73457,2.06241,0.31614,f10a1f5e-48ad-4ba0-bedd-dbf35b339036,2026-04-07,22:03:55.81,2026-04-07T17:03:55.8192640-05:00,2026-04-07T22:03:55.8192640Z,LineDrive,v3,643-145355,643-146177,,"Langston, Will",10151201,Right,MIS_COL1,a41ed4a3-97b8-4286-9ae1-b855603428ce,54.24321,-129.15524,16.99123,5.93088,-3.91437,-11.24763,1.2217,-3.3323,3.08839,217.389505,0.73457,149.42911,-25.05664,5.64955,-1.21013,0.25998,-0.05221,0.00797,-0.00063,2.06241,21.4516,-10.6094,-0.66455,0.34608,-0.12265,0.03706,-0.00793,0.00083,0.31614,29.70505,1.50637,-0.19594,0.05116,-0.01203,0.00249,-0.00031,2E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2026-04-07,17:04:38.34,3,1,"Gollott, Blake",811171,Left,MIS_COL1,"Wilson, Nick",10067798,Right,UNI_WES1,Undefined,1,Top,0,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.88113,-0.620819,0.515592,1636.130114,141.074419,10:45,6.05501,-1.24157,6.59922,-26.54639,15.43454,-11.28296,3.27401,-1.70945,73.30758,-5.68765,-1.537568,0.466335,,,,,,,,,,,,6.02634,8.73733,1.21021,50,6.00155,-0.64795,-117.48339,-1.93825,8.32146,24.75177,-20.10908,MIS_COL1,UNI_WES1,FriersonField,D2,Team,20260407-FriersonField-1,be0ec700-32cd-11f1-a0f6-1dfaca826484,80.82703,,,7.57355,,,,,,,f10a1f5e-48ad-4ba0-bedd-dbf35b339036,2026-04-07,22:04:38.34,2026-04-07T17:04:38.3423488-05:00,2026-04-07T22:04:38.3423488Z,,v3,643-145355,643-146177,,"Langston, Will",10151201,Right,MIS_COL1,5dbe3217-bfea-414b-89ac-185599a0ce6b,53.89579,-118.30132,12.37589,6.05462,-1.27374,-10.05454,1.23616,-0.92294,4.16073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
