PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-07,18:04:51.54,1,1,"Entz, Konner",1000341408,Right,SAC_HOR,"Faust, Owen",833461,Right,FRE_BUL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.03968,-2.895528,-4.191123,2346.536822,222.178455,1:30,5.40851,1.50947,5.74488,-18.22017,15.27788,12.81524,1.18481,-1.33164,83.7879,-6.326497,-1.905043,0.416564,,,,,,,,,,,,-7.75437,8.95878,-1.16864,50,5.15609,9.19086,-133.1473,-7.34139,-13.8635,29.67927,-16.15727,SAC_HOR,FRE_BUL,Hornet Stadium,D1,WAC,20260407-Hornet Stadium-1,f28bef80-32e6-11f1-aae9-b71213c8443c,90.48425,,,8.25178,,,,,,,0687d77e-fc91-4d14-a592-2c1a7ad78f2b,2026-04-08,01:04:51.54,2026-04-07T18:04:51.5454976-07:00,2026-04-08T01:04:51.5454976Z,,v3,471257,471253,c9eb123a3c344fe98e01b2d03b51ebd5,"Hadley, Ayden",10111272,Right,SAC_HOR,a05ec248-b69a-4beb-b052-daacfddfda58,54.75284,-134.20256,14.83963,5.4069,-6.76692,-8.07864,-1.50418,9.68378,-6.93175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-07,18:05:06.64,1,2,"Entz, Konner",1000341408,Right,SAC_HOR,"Faust, Owen",833461,Right,FRE_BUL,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.67441,-3.794137,-3.169187,2290.629823,223.617805,1:30,5.2861,1.47742,5.62248,-18.19135,15.67288,13.85198,0.21897,-0.32865,83.68051,-7.20233,-0.698508,0.418834,,,,,,,,,,,,-8.00835,9.39595,-1.21647,50,4.95035,6.74101,-132.66516,-9.41333,-14.22645,29.23427,-15.48262,SAC_HOR,FRE_BUL,Hornet Stadium,D1,WAC,20260407-Hornet Stadium-1,fb876f60-32e6-11f1-aae9-b71213c8443c,89.99372,,,7.9939,,,,,,,0687d77e-fc91-4d14-a592-2c1a7ad78f2b,2026-04-08,01:05:06.64,2026-04-07T18:05:06.6485760-07:00,2026-04-08T01:05:06.6485760Z,,v3,471257,471253,c9eb123a3c344fe98e01b2d03b51ebd5,"Hadley, Ayden",10111272,Right,SAC_HOR,26bab840-4d5e-4065-911c-2e37cff23813,54.87667,-133.73547,14.61714,5.28461,-8.84649,-7.74131,-1.4728,7.26186,-7.11323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-07,18:05:24.96,1,3,"Entz, Konner",1000341408,Right,SAC_HOR,"Faust, Owen",833461,Right,FRE_BUL,Undefined,1,Top,0,2,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.68329,-1.944048,-1.88607,2273.075697,221.990673,1:30,5.36743,1.40136,5.80509,-17.59662,15.95587,13.34398,2.09144,0.75871,83.35282,-5.277709,0.504687,0.416902,,,,,,,,,,,,-7.33402,9.03973,-1.25446,50,5.19739,3.78426,-132.97913,-5.06442,-13.05855,30.01642,-16.07844,SAC_HOR,FRE_BUL,Hornet Stadium,D1,WAC,20260407-Hornet Stadium-1,067d5fb0-32e7-11f1-aae9-b71213c8443c,90.41084,,,8.33047,,,,,,,0687d77e-fc91-4d14-a592-2c1a7ad78f2b,2026-04-08,01:05:24.96,2026-04-07T18:05:24.9673216-07:00,2026-04-08T01:05:24.9673216Z,,v3,471257,471253,c9eb123a3c344fe98e01b2d03b51ebd5,"Hadley, Ayden",10111272,Right,SAC_HOR,8a6cb12c-6ee6-41df-b714-33fbd022dcef,54.69134,-134.03389,15.00821,5.36542,-4.49944,-8.03922,-1.39549,4.24313,-6.52928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-07,18:05:41.06,1,4,"Entz, Konner",1000341408,Right,SAC_HOR,"Faust, Owen",833461,Right,FRE_BUL,Undefined,1,Top,0,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.69168,-1.991521,-4.258352,2241.463585,217.199158,1:15,5.31451,1.40891,5.86377,-15.80316,17.92265,12.70162,2.14167,-1.49575,82.94364,-5.018702,-1.988815,0.417977,,,,,,,,,,,,-7.74126,10.0902,-1.0705,50,5.14351,9.30985,-132.65252,-5.08059,-13.67325,30.69124,-14.35198,SAC_HOR,FRE_BUL,Hornet Stadium,D1,WAC,20260407-Hornet Stadium-1,100e41c0-32e7-11f1-aae9-b71213c8443c,90.17819,,,8.74804,,,,,,,0687d77e-fc91-4d14-a592-2c1a7ad78f2b,2026-04-08,01:05:41.06,2026-04-07T18:05:41.0651136-07:00,2026-04-08T01:05:41.0651136Z,,v3,471257,471253,c9eb123a3c344fe98e01b2d03b51ebd5,"Hadley, Ayden",10111272,Right,SAC_HOR,f040b0fb-5546-4c9b-a1ec-b497599f6a4b,54.63179,-133.71986,15.34562,5.31152,-4.58148,-7.17599,-1.40253,9.78536,-6.83662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-07,18:05:57.35,1,5,"Entz, Konner",1000341408,Right,SAC_HOR,"Faust, Owen",833461,Right,FRE_BUL,Undefined,1,Top,0,3,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.69889,-1.876294,-3.484071,2261.02831,217.320173,1:15,5.45852,1.38573,5.71164,-17.06611,17.64666,12.49867,2.28451,-0.82252,81.84419,-5.131566,-1.253621,0.424049,,,,,,,,,,,,-7.3917,9.89402,-1.10151,50,5.29081,7.42623,-131.26078,-4.81938,-12.74357,30.84766,-15.11635,SAC_HOR,FRE_BUL,Hornet Stadium,D1,WAC,20260407-Hornet Stadium-1,19c2ff80-32e7-11f1-aae9-b71213c8443c,88.88702,,,8.8547,,,,,,,0687d77e-fc91-4d14-a592-2c1a7ad78f2b,2026-04-08,01:05:57.35,2026-04-07T18:05:57.3579264-07:00,2026-04-08T01:05:57.3579264Z,,v3,471257,471253,c9eb123a3c344fe98e01b2d03b51ebd5,"Hadley, Ayden",10111272,Right,SAC_HOR,f2aa063e-3534-43e3-b51f-a3e25941b2a2,54.78312,-132.38009,15.42383,5.45573,-4.27089,-7.55818,-1.37936,7.88864,-6.37178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-07,18:06:14.29,1,6,"Entz, Konner",1000341408,Right,SAC_HOR,"Faust, Owen",833461,Right,FRE_BUL,Undefined,1,Top,0,3,2,Fastball,Sinker,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,92.50835,-2.120792,-3.060678,2296.848189,241.725291,2:00,5.37474,1.37854,5.77632,-21.718,11.51449,19.20824,1.58782,0.1286,83.68604,-6.193714,0.377098,0.414908,,,,,,,,,,,,-10.75123,6.87461,-1.13745,50,5.18642,6.30572,-134.00038,-5.70941,-19.31571,32.1726,-19.82305,SAC_HOR,FRE_BUL,Hornet Stadium,D1,WAC,20260407-Hornet Stadium-1,23ddd210-32e7-11f1-aae9-b71213c8443c,90.8451,,,8.82231,,,,,,,0687d77e-fc91-4d14-a592-2c1a7ad78f2b,2026-04-08,01:06:14.29,2026-04-07T18:06:14.2974976-07:00,2026-04-08T01:06:14.2974976Z,,v3,471257,471253,c9eb123a3c344fe98e01b2d03b51ebd5,"Hadley, Ayden",10111272,Right,SAC_HOR,067a67f2-44b5-4356-8c28-bc49b76daa67,54.7212,-135.12916,16.0863,5.37454,-5.01392,-9.91153,-1.37057,6.98341,-9.65785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-07,18:06:46.39,2,1,"Entz, Konner",1000341408,Right,SAC_HOR,"Hewitt, Brady",1000436624,Right,FRE_BUL,Undefined,1,Top,1,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.67251,-0.92094,-2.50631,2225.832946,223.259917,1:30,5.32397,1.35864,5.97295,-19.30072,14.65914,12.75953,2.86093,0.09698,82.65285,-4.572089,-0.214716,0.419425,,,,,,,,,,,,-7.24827,8.11548,-1.16721,50,5.24031,5.21419,-131.60544,-2.71487,-12.68564,28.47545,-17.97064,SAC_HOR,FRE_BUL,Hornet Stadium,D1,WAC,20260407-Hornet Stadium-1,3705b0b0-32e7-11f1-aae9-b71213c8443c,89.86694,,,8.01967,,,,,,,0687d77e-fc91-4d14-a592-2c1a7ad78f2b,2026-04-08,01:06:46.39,2026-04-07T18:06:46.3964672-07:00,2026-04-08T01:06:46.3964672Z,,v3,471257,471253,c9eb123a3c344fe98e01b2d03b51ebd5,"Hadley, Ayden",10111272,Right,SAC_HOR,a42ee9b0-e870-4541-bc02-e9d7c0c4889a,54.52427,-132.58075,14.23772,5.32275,-2.09936,-8.98532,-1.35324,5.64868,-6.34282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-07,18:07:01.11,2,2,"Entz, Konner",1000341408,Right,SAC_HOR,"Hewitt, Brady",1000436624,Right,FRE_BUL,Undefined,1,Top,1,0,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.09903,0.23532,-1.181627,2170.140829,225.061071,1:30,5.43002,1.4561,5.66853,-20.99863,13.18497,12.05599,3.89959,1.3589,82.52656,-3.716476,0.972929,0.420804,,,,,,,,,,,,-6.42079,6.95315,-1.36382,50,5.43684,2.17542,-132.16995,-0.16001,-11.27082,30.1837,-19.96873,SAC_HOR,FRE_BUL,Hornet Stadium,D1,WAC,20260407-Hornet Stadium-1,3fc957b0-32e7-11f1-aae9-b71213c8443c,89.57239,,,8.57247,,,,,,,0687d77e-fc91-4d14-a592-2c1a7ad78f2b,2026-04-08,01:07:01.11,2026-04-07T18:07:01.1174912-07:00,2026-04-08T01:07:01.1174912Z,,v3,471257,471253,c9eb123a3c344fe98e01b2d03b51ebd5,"Hadley, Ayden",10111272,Right,SAC_HOR,66c9e4d2-16da-47cb-bb20-810e3d45da4f,54.8266,-133.26765,15.09185,5.42946,0.5662,-9.98436,-1.45038,2.5853,-5.63541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-07,18:07:16.40,2,3,"Entz, Konner",1000341408,Right,SAC_HOR,"Hewitt, Brady",1000436624,Right,FRE_BUL,Undefined,1,Top,1,1,1,Slider,Slider,InPlay,Undefined,GroundBall,Single,0,0,,81.02072,-1.018196,-1.685224,2292.001055,149.349155,11:00,5.49447,1.37637,5.31837,-37.08845,6.73926,-3.11662,1.4477,-0.46534,73.92865,-7.808999,-2.239001,0.476481,96.28665,-1.803155,-6.647314,,,,,32.91221,30.80079,-5.777728,0.231161,1.06185,4.10453,-1.22139,50,5.37559,3.58288,-117.46513,-3.35859,1.47156,23.93886,-26.48582,SAC_HOR,FRE_BUL,Hornet Stadium,D1,WAC,20260407-Hornet Stadium-1,48ea39e0-32e7-11f1-aae9-b71213c8443c,79.1058,1.59215,,7.09207,,,,1.44573,1.59215,0.4816,0687d77e-fc91-4d14-a592-2c1a7ad78f2b,2026-04-08,01:07:16.40,2026-04-07T18:07:16.4089856-07:00,2026-04-08T01:07:16.4089856Z,GroundBall,v3,471257,471253,c9eb123a3c344fe98e01b2d03b51ebd5,"Hadley, Ayden",10111272,Right,SAC_HOR,e3d58259-b47a-45eb-9c8c-98b6ac03d549,55.17874,-118.51584,11.96943,5.49749,-2.1961,-13.24291,-1.37723,3.5183,0.73578,148.427018,1.44807,140.06649,-20.27137,,,,,,,1.59219,-4.44595,-10.56436,,,,,,,0.48177,-16.34889,-0.29877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2026-04-07,18:07:50.32,3,1,"Entz, Konner",1000341408,Right,SAC_HOR,"Sotomayor, Griffen",804664,Right,FRE_BUL,Undefined,1,Top,1,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.40164,-0.474824,-1.297293,2341.563218,115.803844,9:45,5.55712,1.23274,5.49903,-40.78923,3.72973,-4.40429,1.71378,-0.34788,72.84272,-7.972541,-2.082901,0.480224,,,,,,,,,,,,1.79516,2.51583,-1.11633,50,5.48845,2.81745,-116.53173,-2.34026,2.4287,25.18991,-28.7703,SAC_HOR,FRE_BUL,Hornet Stadium,D1,WAC,20260407-Hornet Stadium-1,5d2472e0-32e7-11f1-aae9-b71213c8443c,78.48928,,,7.55893,,,,,,,0687d77e-fc91-4d14-a592-2c1a7ad78f2b,2026-04-08,01:07:50.32,2026-04-07T18:07:50.3225344-07:00,2026-04-08T01:07:50.3225344Z,,v3,471257,471253,c9eb123a3c344fe98e01b2d03b51ebd5,"Hadley, Ayden",10111272,Right,SAC_HOR,083e8449-103a-4846-9d8d-683e66659945,54.99637,-117.6068,12.59495,5.56213,-1.11238,-14.38515,-1.23436,2.71379,1.21435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
