PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-07,18:32:36.86,1,1,"Paz, Marcos",815602,Right,LSU_TIG,"Lee, Darryl",835960,Left,BET_WIL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,94.6741,-3.290463,-4.31817,2318.667926,209.735018,1:00,6.59992,3.19853,5.56632,-12.53264,19.58159,10.52406,2.46938,0.03376,85.54335,-5.707931,-2.449131,0.407869,94.54465,65.713782,-10.12299,,,,,,47.58882,,,-6.67681,11.2676,-2.8325,50,6.30716,9.8369,-136.75401,-8.2503,-12.51081,33.12626,-11.06116,LSU_TIG,BET_WIL,LSU,D1,SEC,20260407-LSU-1,0fc16d30-32da-11f1-8362-85ee241f980f,92.41319,106.77648,,9.13075,,,,2.10026,2.70021,-0.0707,d5e3f751-e096-4eba-884d-d2ca4925db78,2026-04-07,23:32:36.86,2026-04-07T18:32:36.8651776-05:00,2026-04-07T23:32:36.8651776Z,,v3,5323,471241,62a0494994f544eeb0b8f93bdec16692,"Arrambide, Cade",806679,Right,LSU_TIG,ec6ad26d-3184-4d49-816a-3552bda32da3,54.93479,-137.9442,16.56313,6.59644,-7.85289,-5.53058,-3.194,10.2864,-6.2554,165.202087,2.10026,56.14516,-19.02123,5.75564,-2.0559,1.9513,-2.24465,1.48525,-0.39057,2.70022,126.39351,-29.93871,3.80089,-0.54699,-0.32171,0.60308,-0.43058,0.11627,-0.0707,-10.02378,-4.25731,1.79916,-0.82569,0.92342,-1.09947,0.73279,-0.1933,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
2,2026-04-07,18:33:11.81,2,1,"Paz, Marcos",815602,Right,LSU_TIG,"Martinez, Andrey",816222,Right,BET_WIL,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,94.29622,-4.613277,-4.7248,2277.818312,211.604149,1:00,6.72059,3.19054,5.45592,-14.36765,18.10682,10.44634,1.18047,-0.37208,85.7669,-7.329834,-2.874632,0.41015,,,,,,,,,,,,-6.65091,10.8065,-2.78033,50,6.30196,10.7484,-135.96388,-11.46968,-12.3924,31.09876,-12.03877,LSU_TIG,BET_WIL,LSU,D1,SEC,20260407-LSU-1,24961170-32da-11f1-8362-85ee241f980f,91.89922,,,8.52932,,,,,,,d5e3f751-e096-4eba-884d-d2ca4925db78,2026-04-07,23:33:11.81,2026-04-07T18:33:11.8148608-05:00,2026-04-07T23:33:11.8148608Z,,v3,5323,471241,62a0494994f544eeb0b8f93bdec16692,"Arrambide, Cade",806679,Right,LSU_TIG,5ee7fa6b-1fd1-456c-af74-18ca8a0c02f5,55.04547,-137.11307,15.54938,6.71757,-11.02482,-6.01938,-3.18597,11.20634,-6.1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-07,18:33:24.63,2,2,"Paz, Marcos",815602,Right,LSU_TIG,"Martinez, Andrey",816222,Right,BET_WIL,Undefined,1,Top,1,1,0,Fastball,Four-Seam,InPlay,Undefined,Popup,Out,1,0,,94.33457,-3.024207,-3.769238,2396.85546,225.127858,1:30,6.53531,3.2895,5.4397,-17.97733,14.24253,13.21879,2.19646,0.85635,85.93002,-6.384274,-1.422476,0.408539,53.86496,29.163337,5.702184,3510.132891,108.06092,19.56104,20.56279,142.89667,140.02704,12.487037,2.644112,-7.76296,8.36516,-2.96506,50,6.25475,8.37207,-136.47041,-7.86131,-14.59243,30.94546,-16.44962,LSU_TIG,BET_WIL,LSU,D1,SEC,20260407-LSU-1,2c3c3a80-32da-11f1-8362-85ee241f980f,92.26161,25.78223,,8.40455,,,,1.17027,2.25088,-0.84635,d5e3f751-e096-4eba-884d-d2ca4925db78,2026-04-07,23:33:24.63,2026-04-07T18:33:24.6362112-05:00,2026-04-07T23:33:24.6362112Z,LineDrive,v3,5323,471241,62a0494994f544eeb0b8f93bdec16692,"Arrambide, Cade",806679,Right,LSU_TIG,c51cc0cd-2562-4618-aa91-386e259e90ee,55.06238,-137.61355,15.47273,6.53393,-7.25366,-8.22481,-3.28428,8.91112,-7.29622,222.656199,1.17018,68.65023,-9.60385,2.10446,-0.62701,0.29814,-0.12858,0.03134,-0.00301,2.25094,38.49344,-16.59317,0.66434,0.18052,-0.2419,0.12087,-0.02736,0.00232,-0.84635,6.85376,3.49598,-1.06779,0.39325,-0.1995,0.08527,-0.02009,0.00188,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2026-04-07,18:34:01.03,3,1,"Paz, Marcos",815602,Right,LSU_TIG,"Rodriguez, Michael",824593,Left,BET_WIL,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,95.23891,-4.384421,-4.267209,2292.423696,212.047415,1:00,6.63673,3.26637,5.37996,-12.85646,19.14714,11.26363,1.4356,0.19721,86.20113,-6.841298,-2.273133,0.407165,,,,,,,,,,,,-6.96489,11.29134,-2.89196,50,6.23381,9.70949,-137.37172,-10.96016,-13.18836,33.0078,-10.79329,LSU_TIG,BET_WIL,LSU,D1,SEC,20260407-LSU-1,41ee6d80-32da-11f1-8362-85ee241f980f,92.57282,,,9.03778,,,,,,,d5e3f751-e096-4eba-884d-d2ca4925db78,2026-04-07,23:34:01.03,2026-04-07T18:34:01.0363392-05:00,2026-04-07T23:34:01.0363392Z,,v3,5323,471241,62a0494994f544eeb0b8f93bdec16692,"Arrambide, Cade",806679,Right,LSU_TIG,acdaa6e9-5cf9-48db-8681-735b97583e03,55.1209,-138.59671,16.5039,6.63313,-10.5596,-5.39665,-3.26138,10.19894,-6.59418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-07,18:34:15.48,3,2,"Paz, Marcos",815602,Right,LSU_TIG,"Rodriguez, Michael",824593,Left,BET_WIL,Undefined,1,Top,2,1,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,95.41705,-3.124013,-4.08338,2391.928924,212.647621,1:00,6.55906,3.22679,5.33916,-13.62828,18.32753,10.9878,2.4821,0.30499,85.97136,-5.729672,-2.138879,0.406861,94.51321,34.833103,-11.301769,3733.583158,105.64392,70.72806,-30.64746,338.19862,238.85124,-25.359917,5.306484,-6.8241,10.5276,-2.866,50,6.26703,9.30627,-137.79134,-7.97622,-12.94434,34.4399,-12.20471,LSU_TIG,BET_WIL,LSU,D1,SEC,20260407-LSU-1,4a886c70-32da-11f1-8362-85ee241f980f,92.64204,95.35617,,9.44569,,,,1.88239,2.65632,-0.3343,d5e3f751-e096-4eba-884d-d2ca4925db78,2026-04-07,23:34:15.48,2026-04-07T18:34:15.4862592-05:00,2026-04-07T23:34:15.4862592Z,FlyBall,v3,5323,471241,62a0494994f544eeb0b8f93bdec16692,"Arrambide, Cade",806679,Right,LSU_TIG,2ff3e69b-2ece-4933-b937-02c58ae3c9b7,55.16143,-139.07541,17.21995,6.55594,-7.52117,-6.10236,-3.22198,9.78889,-6.47217,146.282344,1.8884,111.45569,-24.55841,5.21192,-0.58033,-0.05038,0.02609,-0.003,0.00011,2.65709,79.15312,-18.83363,0.81468,0.13657,-0.12645,0.04042,-0.00579,0.00031,-0.33341,-22.31763,-4.84828,1.84057,-0.36614,0.03789,-0.0018,0.00012,-1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
6,2026-04-07,18:37:36.15,1,1,"Morales, Justin",838329,Right,BET_WIL,"Milam, Steven",800625,Left,LSU_TIG,Undefined,1,Bottom,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.22082,-2.761439,-0.791441,2286.069113,215.083459,1:15,6.09218,1.60154,5.78741,-13.5091,19.12777,12.628,2.39505,1.9175,84.40069,-5.362306,1.470766,0.411174,,,,,,,,,,,,-6.63394,10.90784,-1.54376,50,5.85633,1.28654,-135.11256,-6.89207,-12.13926,32.21697,-12.21427,LSU_TIG,BET_WIL,LSU,D1,SEC,20260407-LSU-1,c2265f30-32da-11f1-8362-85ee241f980f,91.67028,,,8.82013,,,,,,,d5e3f751-e096-4eba-884d-d2ca4925db78,2026-04-07,23:37:36.15,2026-04-07T18:37:36.1552384-05:00,2026-04-07T23:37:36.1552384Z,,v3,5323,471241,62a0494994f544eeb0b8f93bdec16692,"Lucena, Maikol",834956,Right,BET_WIL,1f6006af-172a-45ad-a1a8-b0f892c17bbd,54.71191,-136.23146,16.10848,6.08833,-6.46787,-6.10713,-1.59576,1.70814,-6.06963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-07,18:37:54.90,1,2,"Morales, Justin",838329,Right,BET_WIL,"Milam, Steven",800625,Left,LSU_TIG,Undefined,1,Bottom,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,94.05328,-0.840373,-0.92033,2402.213827,210.057556,1:00,6.1652,1.67236,5.82624,-13.56587,18.23997,9.94378,4.25328,1.64532,85.39179,-3.452705,0.861928,0.405905,,,,,,,,,,,,-5.28988,9.83024,-1.60275,50,6.08838,1.73043,-136.5133,-2.38442,-9.93209,31.46596,-13.71707,LSU_TIG,BET_WIL,LSU,D1,SEC,20260407-LSU-1,cd55d610-32da-11f1-8362-85ee241f980f,92.86015,,,8.66149,,,,,,,d5e3f751-e096-4eba-884d-d2ca4925db78,2026-04-07,23:37:54.90,2026-04-07T18:37:54.9033472-05:00,2026-04-07T23:37:54.9033472Z,,v3,5323,471241,62a0494994f544eeb0b8f93bdec16692,"Lucena, Maikol",834956,Right,BET_WIL,fad71c51-977b-4ef9-a8bf-c5e26cc7d3c6,54.67271,-137.58613,15.73298,6.16171,-1.91674,-6.85853,-1.66752,2.06906,-4.96604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-07,18:38:15.12,1,3,"Morales, Justin",838329,Right,BET_WIL,"Milam, Steven",800625,Left,LSU_TIG,Undefined,1,Bottom,0,2,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,94.00325,-2.022105,-0.607856,2286.371805,199.124443,12:45,6.20267,1.49711,5.7806,-11.76225,20.5106,6.69827,3.34007,1.48968,84.48683,-4.327838,0.591725,0.408875,,,,,,,,,,,,-3.56209,11.38182,-1.45078,50,6.02858,1.12706,-136.19522,-5.09373,-6.58344,34.38442,-11.13825,LSU_TIG,BET_WIL,LSU,D1,SEC,20260407-LSU-1,d95dd2a0-32da-11f1-8362-85ee241f980f,92.1858,,,9.51643,,,,,,,d5e3f751-e096-4eba-884d-d2ca4925db78,2026-04-07,23:38:15.12,2026-04-07T18:38:15.1282176-05:00,2026-04-07T23:38:15.1282176Z,,v3,5323,471241,62a0494994f544eeb0b8f93bdec16692,"Lucena, Maikol",834956,Right,BET_WIL,df8e9766-e2dc-48f4-8580-800ba088a6a3,54.71598,-137.38067,17.19221,6.19757,-4.70972,-5.56913,-1.49355,1.35403,-3.29172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-07,18:38:34.43,1,4,"Morales, Justin",838329,Right,BET_WIL,"Milam, Steven",800625,Left,LSU_TIG,Undefined,1,Bottom,0,3,0,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,94.10112,-2.17125,-1.083225,2364.059148,207.297077,1:00,6.09944,1.67721,5.85797,-12.66489,19.31643,9.38001,3.02533,1.45231,84.96255,-4.630548,0.599007,0.407024,,,,,,,,,,,,-5.0813,10.83721,-1.5945,50,5.91561,2.14322,-136.40817,-5.50476,-9.46078,33.31967,-11.9965,LSU_TIG,BET_WIL,LSU,D1,SEC,20260407-LSU-1,e4e6db30-32da-11f1-8362-85ee241f980f,92.60505,,,9.13858,,,,,,,d5e3f751-e096-4eba-884d-d2ca4925db78,2026-04-07,23:38:34.43,2026-04-07T18:38:34.4375296-05:00,2026-04-07T23:38:34.4375296Z,,v3,5323,471241,62a0494994f544eeb0b8f93bdec16692,"Lucena, Maikol",834956,Right,BET_WIL,3ca81840-90d2-4457-bad4-4244ac079d26,54.64022,-137.53693,16.65983,6.09521,-5.09836,-5.99825,-1.67254,2.46372,-4.73039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-07,18:39:09.61,2,1,"Morales, Justin",838329,Right,BET_WIL,"Brown, Jake",806701,Left,LSU_TIG,Undefined,1,Bottom,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,94.39823,-4.29692,-2.683509,2420.431537,207.993388,1:00,6.20205,1.36551,6.03756,-12.73201,18.99367,9.48457,1.15028,-0.33085,85.37901,-6.760467,-0.978859,0.405394,,,,,,,,,,,,-5.71032,11.44686,-1.16093,50,5.85879,5.97748,-136.51085,-10.60268,-10.64769,33.37626,-10.82982,LSU_TIG,BET_WIL,LSU,D1,SEC,20260407-LSU-1,f9de70c0-32da-11f1-8362-85ee241f980f,92.97739,,,9.01922,,,,,,,d5e3f751-e096-4eba-884d-d2ca4925db78,2026-04-07,23:39:09.61,2026-04-07T18:39:09.6135680-05:00,2026-04-07T23:39:09.6135680Z,,v3,5323,471241,62a0494994f544eeb0b8f93bdec16692,"Lucena, Maikol",834956,Right,BET_WIL,52642784-6592-4dd7-84eb-c10462e37718,54.46256,-137.5976,16.68813,6.19827,-10.25006,-5.41491,-1.3612,6.32418,-5.32385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
