PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-07,17:32:15.52,1,1,"Horwat, Mason",831928,Right,PEN_NIT,"Gomez, Johnathan",10136090,Right,FDU_KNI,Undefined,1,Top,0,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.88211,1.002526,-2.141581,2034.517097,284.05564,3:30,4.38795,2.01065,6.44686,-36.39699,-2.5902,14.4845,2.27672,1.24911,82.34045,-5.768836,0.485718,0.418479,,,,,,,,,,,,-8.14752,-1.29583,-1.86479,50,4.44313,4.31178,-130.68242,1.07208,-14.09047,27.52379,-34.41504,PEN_NIT,FDU_KNI,LubranoPark,D1,BIG10,20260407-LubranoPark-1,3f871a30-32c9-11f1-8531-f533c07b2ff6,90.07013,,,7.54166,,,,,,,89a2143e-dc4d-451e-bf90-f8fcd600beb1,2026-04-07,21:32:15.52,2026-04-07T17:32:15.5218432-04:00,2026-04-07T21:32:15.5218432Z,,v3,5326,fairldick,1b95934a636745f9b0662a8191f48964,"DeMucci, Joey",831919,Right,PEN_NIT,3f3e3d10-4656-4a60-94d8-9bbc3deaa330,54.05345,-131.53337,13.7619,4.39353,2.13609,-17.20752,-2.00483,4.74741,-7.04523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-07,17:32:30.12,1,2,"Horwat, Mason",831928,Right,PEN_NIT,"Gomez, Johnathan",10136090,Right,FDU_KNI,Undefined,1,Top,0,1,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.05128,0.063335,-2.816263,2046.258956,276.241258,3:15,4.38362,2.19171,6.14823,-35.26998,-1.08705,19.87867,1.50304,1.24394,82.33287,-6.466979,0.769323,0.4208,,,,,,,,,,,,-11.11847,-0.27453,-1.98751,50,4.37028,5.62325,-130.81205,-1.08006,-19.2088,28.35236,-32.64831,PEN_NIT,FDU_KNI,LubranoPark,D1,BIG10,20260407-LubranoPark-1,483c9060-32c9-11f1-8531-f533c07b2ff6,89.57319,,,7.7184,,,,,,,89a2143e-dc4d-451e-bf90-f8fcd600beb1,2026-04-07,21:32:30.12,2026-04-07T17:32:30.1239808-04:00,2026-04-07T21:32:30.1239808Z,,v3,5326,fairldick,1b95934a636745f9b0662a8191f48964,"DeMucci, Joey",831919,Right,PEN_NIT,3870377a-1e8d-402b-a869-4a69d577e9bf,54.35285,-131.75212,14.17618,4.38814,0.00244,-16.32415,-2.18451,6.26015,-9.6044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-07,17:32:47.00,1,3,"Horwat, Mason",831928,Right,PEN_NIT,"Gomez, Johnathan",10136090,Right,FDU_KNI,Undefined,1,Top,0,2,0,Sinker,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,89.30584,0.488866,-3.478246,2175.451869,263.282013,2:45,4.43182,2.10161,6.41148,-30.67573,3.48831,21.0667,2.32582,0.65531,82.11717,-5.234197,0.334491,0.420684,,,,,,,,,,,,-11.94107,1.99244,-1.86199,50,4.45279,7.07189,-129.78795,0.12645,-20.49007,25.64405,-28.75515,PEN_NIT,FDU_KNI,LubranoPark,D1,BIG10,20260407-LubranoPark-1,52587460-32c9-11f1-8531-f533c07b2ff6,89.59796,,,7.18868,,,,,,,89a2143e-dc4d-451e-bf90-f8fcd600beb1,2026-04-07,21:32:47.00,2026-04-07T17:32:47.0079488-04:00,2026-04-07T21:32:47.0079488Z,,v3,5326,fairldick,1b95934a636745f9b0662a8191f48964,"DeMucci, Joey",831919,Right,PEN_NIT,2727f04d-1be3-45bf-9529-77a3a2cac30d,54.09022,-130.59361,12.82203,4.43462,1.02985,-14.37758,-2.09428,7.71563,-10.24504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-07,17:33:02.89,1,4,"Horwat, Mason",831928,Right,PEN_NIT,"Gomez, Johnathan",10136090,Right,FDU_KNI,Undefined,1,Top,0,2,1,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.7438,1.553926,-2.675874,2193.955773,273.035236,3:00,4.43443,2.16046,6.48124,-34.36711,0.05539,17.52552,2.99921,1.16218,81.72043,-4.847216,0.50202,0.422272,,,,,,,,,,,,-9.84481,-0.05091,-1.97947,50,4.52878,5.35421,-129.04676,2.39538,-16.73178,24.87771,-32.26056,PEN_NIT,FDU_KNI,LubranoPark,D1,BIG10,20260407-LubranoPark-1,5bcd9110-32c9-11f1-8531-f533c07b2ff6,89.26095,,,7.02337,,,,,,,89a2143e-dc4d-451e-bf90-f8fcd600beb1,2026-04-07,21:33:02.89,2026-04-07T17:33:02.8914176-04:00,2026-04-07T21:33:02.8914176Z,,v3,5326,fairldick,1b95934a636745f9b0662a8191f48964,"DeMucci, Joey",831919,Right,PEN_NIT,16d06732-a8a9-478b-b7af-5eb7ff50a0ed,54.02008,-129.81944,12.43885,4.43882,3.39737,-16.13028,-2.15384,5.87388,-8.36589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-07,17:33:18.76,1,5,"Horwat, Mason",831928,Right,PEN_NIT,"Gomez, Johnathan",10136090,Right,FDU_KNI,Undefined,1,Top,0,3,1,Sinker,Sinker,BallCalled,Walk,Undefined,Undefined,0,0,,89.37761,0.480686,-2.053393,2092.52644,282.748937,3:30,4.45185,2.22366,6.51248,-36.26006,-2.22697,14.36879,1.87157,1.53597,82.1105,-6.267018,0.55741,0.419877,,,,,,,,,,,,-8.08831,-0.97575,-2.08619,50,4.46997,4.10467,-130.00827,-0.09399,-13.86742,26.81107,-33.84698,PEN_NIT,FDU_KNI,LubranoPark,D1,BIG10,20260407-LubranoPark-1,65456ce0-32c9-11f1-8531-f533c07b2ff6,89.7702,,,7.26712,,,,,,,89a2143e-dc4d-451e-bf90-f8fcd600beb1,2026-04-07,21:33:18.76,2026-04-07T17:33:18.7689984-04:00,2026-04-07T21:33:18.7689984Z,,v3,5326,fairldick,1b95934a636745f9b0662a8191f48964,"DeMucci, Joey",831919,Right,PEN_NIT,a4c5cd7c-6560-4c63-b4b4-373a85295a16,53.98822,-130.82816,13.40554,4.45702,0.94106,-16.92349,-2.2182,4.52874,-6.93371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-07,17:34:14.44,2,1,"Horwat, Mason",831928,Right,PEN_NIT,"Ray, Hunter",1000397863,Left,FDU_KNI,Undefined,1,Top,0,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.06057,0.45596,-2.001276,2067.588147,266.851787,3:00,4.45154,2.02699,5.76836,-33.22191,1.95492,16.65651,2.10764,1.55183,81.92133,-5.659349,0.98204,0.426874,,,,,,,,,,,,-9.01099,1.20075,-1.87161,50,4.46908,3.81136,-129.42929,-0.17158,-15.36831,25.64189,-30.12613,PEN_NIT,FDU_KNI,LubranoPark,D1,BIG10,20260407-LubranoPark-1,866c3610-32c9-11f1-8531-f533c07b2ff6,88.29874,,,7.13923,,,,,,,89a2143e-dc4d-451e-bf90-f8fcd600beb1,2026-04-07,21:34:14.44,2026-04-07T17:34:14.4497664-04:00,2026-04-07T21:34:14.4497664Z,,v3,5326,fairldick,1b95934a636745f9b0662a8191f48964,"DeMucci, Joey",831919,Right,PEN_NIT,a352ea39-6549-4f23-afa5-ecbe13f17aae,54.73203,-130.3634,12.82095,4.45534,0.92589,-15.06306,-2.02066,4.37122,-7.68416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-07,17:34:55.11,2,2,"Horwat, Mason",831928,Right,PEN_NIT,"Ray, Hunter",1000397863,Left,FDU_KNI,Undefined,1,Top,0,1,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,84.59484,1.301478,-0.12201,1996.502192,82.102455,8:45,4.4536,1.98149,6.46616,-36.85467,0.99165,-0.59169,2.57793,1.82012,78.05233,-5.563034,-0.229418,0.442775,,,,,,,,,,,,0.27752,0.5461,-1.97264,50,4.5293,0.28407,-123.10739,1.66261,0.42916,22.66949,-31.32948,PEN_NIT,FDU_KNI,LubranoPark,D1,BIG10,20260407-LubranoPark-1,9eac66f0-32c9-11f1-8531-f533c07b2ff6,85.12774,,,6.54251,,,,,,,89a2143e-dc4d-451e-bf90-f8fcd600beb1,2026-04-07,21:34:55.11,2026-04-07T17:34:55.1164928-04:00,2026-04-07T21:34:55.1164928Z,,v3,5326,fairldick,1b95934a636745f9b0662a8191f48964,"DeMucci, Joey",831919,Right,PEN_NIT,5bcdbdde-fefb-4515-95e0-6c1a67a09ad1,54.0333,-123.84787,11.33475,4.45828,2.68596,-15.66474,-1.9817,0.27005,0.21458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-07,17:35:25.93,2,3,"Horwat, Mason",831928,Right,PEN_NIT,"Ray, Hunter",1000397863,Left,FDU_KNI,Undefined,1,Top,0,2,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.57083,0.780162,-2.123217,2123.096058,266.60244,3:00,4.46867,2.1257,6.10318,-33.08951,2.08134,17.33048,2.43323,1.60548,81.32596,-5.355006,0.99964,0.426838,,,,,,,,,,,,-9.51843,1.18654,-1.97142,50,4.51128,4.07038,-128.75079,0.63009,-16.03418,25.84146,-30.1753,PEN_NIT,FDU_KNI,LubranoPark,D1,BIG10,20260407-LubranoPark-1,b104c090-32c9-11f1-8531-f533c07b2ff6,88.30624,,,7.24487,,,,,,,89a2143e-dc4d-451e-bf90-f8fcd600beb1,2026-04-07,21:35:25.93,2026-04-07T17:35:25.9340288-04:00,2026-04-07T21:35:25.9340288Z,,v3,5326,fairldick,1b95934a636745f9b0662a8191f48964,"DeMucci, Joey",831919,Right,PEN_NIT,9ed05b2e-a1fc-482f-bf96-4cf633daea6d,54.39739,-129.63038,12.92073,4.47235,1.65719,-15.08765,-2.11926,4.61615,-8.01709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-07,17:35:42.90,2,4,"Horwat, Mason",831928,Right,PEN_NIT,"Ray, Hunter",1000397863,Left,FDU_KNI,Undefined,1,Top,0,3,0,Sinker,Sinker,BallCalled,Walk,Undefined,Undefined,0,0,,88.92302,1.334941,-2.221306,2101.201754,265.071122,2:45,4.37135,1.98615,6.0845,-32.42033,2.71394,18.55182,2.90578,1.47615,81.09092,-4.693845,1.118875,0.426616,,,,,,,,,,,,-10.1415,1.37992,-1.82401,50,4.45751,4.23313,-129.14277,1.90203,-17.08933,27.44738,-29.84878,PEN_NIT,FDU_KNI,LubranoPark,D1,BIG10,20260407-LubranoPark-1,bb34c8d0-32c9-11f1-8531-f533c07b2ff6,88.3522,,,7.8321,,,,,,,89a2143e-dc4d-451e-bf90-f8fcd600beb1,2026-04-07,21:35:42.90,2026-04-07T17:35:42.9037568-04:00,2026-04-07T21:35:42.9037568Z,,v3,5326,fairldick,1b95934a636745f9b0662a8191f48964,"DeMucci, Joey",831919,Right,PEN_NIT,2a416b88-ff5d-4cc4-abc3-c7cbc587c1ba,54.41465,-130.07765,13.72369,4.37541,2.91871,-14.92439,-1.97811,4.81521,-8.54466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-07,17:36:18.27,3,1,"Horwat, Mason",831928,Right,PEN_NIT,"Plummer, Garryn",1000269687,Right,FDU_KNI,Undefined,1,Top,0,0,0,Sinker,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,87.98449,0.420635,-2.161862,1980.243947,267.470311,3:00,4.38277,2.11603,6.30798,-33.89691,1.68886,12.5693,1.9458,1.17099,80.37097,-5.894636,0.112077,0.429348,,,,,,,,,,,,-7.2843,1.00032,-1.96384,50,4.39707,4.35672,-127.88555,-0.14547,-12.01111,27.44141,-30.5246,PEN_NIT,FDU_KNI,LubranoPark,D1,BIG10,20260407-LubranoPark-1,d04368d0-32c9-11f1-8531-f533c07b2ff6,87.78991,,,7.61351,,,,,,,89a2143e-dc4d-451e-bf90-f8fcd600beb1,2026-04-07,21:36:18.27,2026-04-07T17:36:18.2794752-04:00,2026-04-07T21:36:18.2794752Z,,v3,5326,fairldick,1b95934a636745f9b0662a8191f48964,"DeMucci, Joey",831919,Right,PEN_NIT,99e18683-d343-4928-bebe-754b0811e238,54.19346,-128.78223,13.72071,4.38553,0.85196,-15.2623,-2.11261,4.74919,-6.00555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
