PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-07,18:01:44.33,1,1,"Butler, Ryan",830633,Right,OSU_BUC,"Mottice, Carter",10046345,Left,BGS_FAL,Undefined,1,Top,0,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.35335,-2.881614,-1.930617,1862.298148,254.573984,2:30,5.47063,1.59802,6.1869,-28.17942,6.48516,19.53635,0.45788,1.44276,82.10799,-8.106359,1.600838,0.423755,,,,,,,,,,,,-10.69473,4.49957,-1.46213,50,5.23878,3.58979,-129.71783,-7.45528,-18.20263,27.41398,-24.51571,OSU_BUC,BGS_FAL,NickSwisherField,D1,BIG10,20260407-NickSwisherField-1,ec782fa0-32cd-11f1-b89e-e9e564571aae,88.94873,,,7.24536,,,,,,,062f2bbb-c85b-40b3-a3d9-647a680de6a9,2026-04-07,22:01:44.33,2026-04-07T18:01:44.3338752-04:00,2026-04-07T22:01:44.3338752Z,,v3,4144,471244,92de1e8cb46e47749a7f12c14348f512,"Mangrum, Grant",838712,Right,OSU_BUC,aa1cbb54-6e2e-4f26-951d-74c713ef87e5,54.31412,-130.62637,13.70699,5.47239,-6.64279,-12.25785,-1.59109,4.19306,-9.10132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-07,18:01:59.33,1,2,"Butler, Ryan",830633,Right,OSU_BUC,"Mottice, Carter",10046345,Left,BGS_FAL,Undefined,1,Top,0,1,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.75529,-2.792328,-2.737466,1943.54542,234.669147,1:45,5.66359,1.49823,6.22475,-19.14005,14.36843,18.77851,1.48718,0.53539,83.23106,-6.406372,0.652616,0.416628,,,,,,,,,,,,-10.44343,8.53048,-1.30229,50,5.44481,5.51929,-131.69297,-7.00013,-18.37757,27.43583,-17.16277,OSU_BUC,BGS_FAL,NickSwisherField,D1,BIG10,20260407-NickSwisherField-1,f56caaa0-32cd-11f1-b89e-e9e564571aae,90.4702,,,7.52423,,,,,,,062f2bbb-c85b-40b3-a3d9-647a680de6a9,2026-04-07,22:01:59.33,2026-04-07T18:01:59.3302016-04:00,2026-04-07T22:01:59.3302016Z,,v3,4144,471244,92de1e8cb46e47749a7f12c14348f512,"Mangrum, Grant",838712,Right,OSU_BUC,75e9e9ed-9f93-4012-a2d2-fa6f6f544471,54.27501,-132.5806,13.71791,5.6623,-6.44487,-8.58138,-1.49047,6.11386,-9.18878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-07,18:02:15.28,1,3,"Butler, Ryan",830633,Right,OSU_BUC,"Mottice, Carter",10046345,Left,BGS_FAL,Undefined,1,Top,0,2,0,Sinker,Sinker,InPlay,Undefined,LineDrive,Triple,0,0,,91.04924,-1.309645,-2.273327,1943.411843,235.51016,1:45,5.59767,1.3926,6.02179,-20.16084,13.28209,17.83202,2.70341,0.77189,83.47512,-5.102377,0.934108,0.416221,95.08592,14.843303,7.436318,1368.095908,109.10727,25.67506,13.9853,311.8273,310.88606,9.025075,3.265145,-9.82756,7.50847,-1.22435,50,5.48403,4.50614,-132.27124,-3.66612,-17.45607,27.52466,-18.8372,OSU_BUC,BGS_FAL,NickSwisherField,D1,BIG10,20260407-NickSwisherField-1,feefaa00-32cd-11f1-b89e-e9e564571aae,90.55878,30.32495,,7.57412,,,,1.05535,2.6767,-0.76405,062f2bbb-c85b-40b3-a3d9-647a680de6a9,2026-04-07,22:02:15.28,2026-04-07T18:02:15.2865792-04:00,2026-04-07T22:02:15.2865792Z,LineDrive,v3,4144,471244,92de1e8cb46e47749a7f12c14348f512,"Mangrum, Grant",838712,Right,OSU_BUC,6cfd8e93-71ab-4600-b631-92fcc7dc6f60,54.47893,-133.20001,13.76233,5.59701,-3.03049,-9.4186,-1.38634,5.09516,-8.72804,184.384097,1.05537,133.67047,-20.52624,4.21466,-0.81451,0.14243,-0.01981,0.00187,-9E-05,2.67668,35.72675,-11.59613,-0.11104,0.13278,-0.03124,0.00465,-0.00017,-2E-05,-0.76406,17.44713,-2.07379,0.80489,-0.2128,0.04812,-0.00831,0.001,-6E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2026-04-07,18:03:07.63,2,1,"Butler, Ryan",830633,Right,OSU_BUC,"Seidel, Samuel",1000240501,Left,BGS_FAL,Undefined,1,Top,0,0,0,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,82.87904,-1.353171,-1.361596,2145.921958,103.498206,9:30,5.61092,1.64416,5.54837,-39.1464,1.96059,-2.96201,1.08362,0.1247,76.4778,-8.491218,-1.89069,0.461455,,,,,,,,,,,,1.13894,1.69925,-1.52425,50,5.46759,2.97879,-120.36179,-4.19787,1.67357,22.99142,-29.67712,OSU_BUC,BGS_FAL,NickSwisherField,D1,BIG10,20260407-NickSwisherField-1,1e26ff40-32ce-11f1-b89e-e9e564571aae,81.68176,,,6.40123,,,,,,,062f2bbb-c85b-40b3-a3d9-647a680de6a9,2026-04-07,22:03:07.63,2026-04-07T18:03:07.6373504-04:00,2026-04-07T22:03:07.6373504Z,,v3,4144,471244,92de1e8cb46e47749a7f12c14348f512,"Mangrum, Grant",838712,Right,OSU_BUC,78cdb4ad-0b28-4a16-935b-4d92304d5e48,54.95236,-121.3041,11.49571,5.61471,-2.98155,-14.83856,-1.64493,2.9102,0.83679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-07,18:03:23.99,2,2,"Butler, Ryan",830633,Right,OSU_BUC,"Seidel, Samuel",1000240501,Left,BGS_FAL,Undefined,1,Top,0,0,1,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.41836,0.851486,-1.056127,2286.452855,111.323993,9:45,5.639,1.52363,5.61722,-37.12179,2.60555,-3.40067,3.34039,0.25446,77.0453,-5.982257,-1.663489,0.453645,,,,,,,,,,,,1.40886,1.48898,-1.43129,50,5.68799,2.40197,-122.53215,0.51816,2.13418,25.02965,-29.9185,OSU_BUC,BGS_FAL,NickSwisherField,D1,BIG10,20260407-NickSwisherField-1,27ee5aa0-32ce-11f1-b89e-e9e564571aae,83.08795,,,7.37306,,,,,,,062f2bbb-c85b-40b3-a3d9-647a680de6a9,2026-04-07,22:03:23.99,2026-04-07T18:03:23.9905280-04:00,2026-04-07T22:03:23.9905280Z,,v3,4144,471244,92de1e8cb46e47749a7f12c14348f512,"Mangrum, Grant",838712,Right,OSU_BUC,bbd9df75-e9e0-4ec3-8155-028bd6ab8a8a,54.88059,-123.52508,12.51483,5.64389,1.70504,-14.95925,-1.5249,2.31731,1.06709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-07,18:03:41.25,2,3,"Butler, Ryan",830633,Right,OSU_BUC,"Seidel, Samuel",1000240501,Left,BGS_FAL,Undefined,1,Top,0,0,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,84.45172,-2.330305,-2.41948,2196.242375,37.483728,7:15,5.67188,1.41991,6.03383,-42.01309,-3.34988,-3.38366,0.00979,-1.10386,78.80709,-9.980691,-3.029523,0.447528,,,,,,,,,,,,1.1574,-0.91811,-1.22899,50,5.46635,5.30986,-122.72056,-6.38184,1.78006,22.35129,-33.58607,OSU_BUC,BGS_FAL,NickSwisherField,D1,BIG10,20260407-NickSwisherField-1,322e1a50-32ce-11f1-b89e-e9e564571aae,84.2236,,,5.64463,,,,,,,062f2bbb-c85b-40b3-a3d9-647a680de6a9,2026-04-07,22:03:41.25,2026-04-07T18:03:41.2582912-04:00,2026-04-07T22:03:41.2582912Z,,v3,4144,471244,92de1e8cb46e47749a7f12c14348f512,"Mangrum, Grant",838712,Right,OSU_BUC,42e418f2-f4f8-4a9e-b8b5-a9101a35c584,54.46942,-123.5319,11.17564,5.67588,-5.16269,-16.79304,-1.42056,5.24524,0.89003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-07,18:04:05.77,2,4,"Butler, Ryan",830633,Right,OSU_BUC,"Seidel, Samuel",1000240501,Left,BGS_FAL,Undefined,1,Top,0,1,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,81.9263,-2.147803,-3.585616,1870.196431,248.238544,2:15,5.44679,1.76839,5.75659,-33.626,8.33032,17.50741,0.64048,-0.11469,75.29696,-8.339764,-0.452994,0.466198,,,,,,,,,,,,-9.98784,5.22429,-1.48184,50,5.2477,6.76828,-118.7604,-5.54247,-14.26721,22.70186,-24.71135,OSU_BUC,BGS_FAL,NickSwisherField,D1,BIG10,20260407-NickSwisherField-1,40cdd8c0-32ce-11f1-b89e-e9e564571aae,80.85076,,,6.62934,,,,,,,062f2bbb-c85b-40b3-a3d9-647a680de6a9,2026-04-07,22:04:05.77,2026-04-07T18:04:05.7798656-04:00,2026-04-07T22:04:05.7798656Z,,v3,4144,471244,92de1e8cb46e47749a7f12c14348f512,"Mangrum, Grant",838712,Right,OSU_BUC,326f1173-5375-436e-9097-398d43c8d7c5,54.7444,-119.66389,11.35093,5.44871,-4.55901,-12.35568,-1.7625,7.33608,-7.1336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-07,18:04:25.59,2,5,"Butler, Ryan",830633,Right,OSU_BUC,"Seidel, Samuel",1000240501,Left,BGS_FAL,Undefined,1,Top,0,2,2,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,92.85475,-2.964883,-2.939938,1921.118096,238.511558,2:00,5.7047,1.32749,6.28884,-18.81658,13.31615,19.99037,1.39829,0.28164,84.6721,-6.528223,0.673005,0.407986,,,,,,,,,,,,-11.24382,8.10516,-1.12012,50,5.47676,6.08156,-134.65227,-7.55067,-20.55177,30.45027,-17.35922,OSU_BUC,BGS_FAL,NickSwisherField,D1,BIG10,20260407-NickSwisherField-1,4c9a2be0-32ce-11f1-b89e-e9e564571aae,92.38666,,,8.18265,,,,,,,062f2bbb-c85b-40b3-a3d9-647a680de6a9,2026-04-07,22:04:25.59,2026-04-07T18:04:25.5967744-04:00,2026-04-07T22:04:25.5967744Z,,v3,4144,471244,92de1e8cb46e47749a7f12c14348f512,"Mangrum, Grant",838712,Right,OSU_BUC,c83e4e11-77b7-49c1-a692-531feaeea71b,54.21113,-135.60123,15.22514,5.70365,-7.00969,-8.67961,-1.31963,6.72204,-10.27589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-07,18:04:46.53,2,6,"Butler, Ryan",830633,Right,OSU_BUC,"Seidel, Samuel",1000240501,Left,BGS_FAL,Undefined,1,Top,0,3,2,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,83.77734,0.246493,-1.082168,2374.103387,89.589298,9:00,5.66282,1.41772,5.46302,-38.73475,0.97354,-4.98689,2.66568,-0.01086,78.21859,-6.794786,-1.970737,0.453536,89.02764,48.344932,40.817983,3914.391458,75.78485,113.20448,79.72852,261.0583,119.21408,51.738443,5.859539,2.29528,0.70764,-1.31884,50,5.65747,2.50283,-121.90445,-0.85508,3.51735,19.83939,-31.08964,OSU_BUC,BGS_FAL,NickSwisherField,D1,BIG10,20260407-NickSwisherField-1,591387e0-32ce-11f1-b89e-e9e564571aae,83.10786,128.1549,,5.55875,,,,1.1571,2.60339,-0.04796,062f2bbb-c85b-40b3-a3d9-647a680de6a9,2026-04-07,22:04:46.53,2026-04-07T18:04:46.5341440-04:00,2026-04-07T22:04:46.5341440Z,FlyBall,v3,4144,471244,92de1e8cb46e47749a7f12c14348f512,"Mangrum, Grant",838712,Right,OSU_BUC,2b809ca2-186d-4c49-a340-e0008e69d945,55.03961,-122.72188,9.9197,5.66631,0.4259,-15.54482,-1.41897,2.35791,1.75867,198.995671,1.15974,65.62061,-20.48276,5.36654,-0.79002,0.00185,0.02175,-0.0033,0.00016,2.59884,97.62402,-22.41223,1.84087,-0.29083,0.02995,0.00298,-0.00111,8E-05,-0.04595,56.68952,-9.27357,1.85813,-0.193,-0.0145,0.00754,-0.00088,4E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
10,2026-04-07,18:05:20.96,2,7,"Butler, Ryan",830633,Right,OSU_BUC,"Seidel, Samuel",1000240501,Left,BGS_FAL,Undefined,1,Top,0,3,2,Sinker,Sinker,InPlay,Undefined,GroundBall,Single,0,1,,92.36409,-1.682858,-1.975899,1927.916298,229.197939,1:45,5.7447,1.26474,6.15596,-18.45418,14.82245,15.63729,2.65073,0.74163,82.34314,-5.231478,0.844305,0.415184,81.08685,7.487866,26.653009,2571.603922,,,,105.05301,102.64635,29.531959,0.99458,-8.78619,8.63343,-1.12244,50,5.6075,3.93988,-133.80229,-4.47198,-15.48879,36.28985,-16.95449,OSU_BUC,BGS_FAL,NickSwisherField,D1,BIG10,20260407-NickSwisherField-1,6d9d4070-32ce-11f1-b89e-e9e564571aae,90.78483,5.77707,,10.02095,,,,1.13354,2.65335,-0.71422,062f2bbb-c85b-40b3-a3d9-647a680de6a9,2026-04-07,22:05:20.96,2026-04-07T18:05:20.9678336-04:00,2026-04-07T22:05:20.9678336Z,GroundBall,v3,4144,471244,92de1e8cb46e47749a7f12c14348f512,"Mangrum, Grant",838712,Right,OSU_BUC,1f4bf6ad-cb93-4dee-9618-f091465d306f,54.34013,-134.97429,18.14493,5.74308,-3.92443,-8.47724,-1.25775,4.44009,-7.74439,277.221173,1.13354,105.38355,-16.59532,2.3316,-0.51642,0.10592,-0.0211,0.00393,-0.00045,2.65335,15.49814,-19.99392,2.02764,-0.36113,0.08485,-0.01685,0.00299,-0.00034,-0.71422,52.89415,-0.01112,-0.12873,0.03036,-0.00447,0.00067,-7E-05,-1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
