PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-07,18:02:51.39,1,1,"Boyd, Zach",10304839,Right,WM_TRI,"Aiken, TJ",10109727,Left,OLD_MON,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.59637,-2.016508,-3.571029,2307.619475,191.63718,12:30,5.65408,1.86384,6.19117,-15.37938,20.61659,4.01622,2.50628,-1.10279,80.34053,-4.966543,-2.84859,0.431816,,,,,,,,,,,,-3.02933,11.55032,-1.59641,50,5.49377,7.76836,-127.04482,-4.87066,-4.97021,25.0854,-13.22341,WM_TRI,OLD_MON,PlumeriPark,D1,CAA,20260407-PlumeriPark-1,85d6b000-32cd-11f1-9bdf-451500e55499,87.28828,,,7.25585,,,,,,,6f79ea7e-11e0-4c5e-b728-c87c30f495d9,2026-04-07,22:02:51.39,2026-04-07T18:02:51.3952256-04:00,2026-04-07T22:02:51.3952256Z,,v3,471493,3090,8b868e8f201c4fb28ad5825082ddd1ab,"Scafidi, Witt",1000090918,Right,WM_TRI,5dfab996-866d-437a-9549-90d9dbc1a93c,54.30777,-127.89258,12.5427,5.65082,-4.42378,-6.6117,-1.86178,7.93633,-2.48511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-07,18:03:06.36,1,2,"Boyd, Zach",10304839,Right,WM_TRI,"Aiken, TJ",10109727,Left,OLD_MON,Undefined,1,Top,0,0,1,Slider,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,76.51763,0.61738,-1.219251,2737.39535,46.929771,7:30,5.7262,1.92764,5.50024,-57.43224,-9.67627,-11.68327,1.5178,-0.18654,71.64061,-9.754996,-3.305528,0.497377,,,,,,,,,,,,5.64437,-4.71173,-1.81287,50,5.74071,2.8,-111.34803,-0.70761,7.17321,17.69677,-38.16201,WM_TRI,OLD_MON,PlumeriPark,D1,CAA,20260407-PlumeriPark-1,8ecf70c0-32cd-11f1-9bdf-451500e55499,75.78249,,,4.87701,,,,,,,6f79ea7e-11e0-4c5e-b728-c87c30f495d9,2026-04-07,22:03:06.36,2026-04-07T18:03:06.3661568-04:00,2026-04-07T22:03:06.3661568Z,,v3,471493,3090,8b868e8f201c4fb28ad5825082ddd1ab,"Scafidi, Witt",1000090918,Right,WM_TRI,93f42916-60ef-4bb4-bd3c-36b15c431c7c,55.0053,-112.14071,8.84839,5.73412,1.00176,-19.081,-1.93109,2.4787,3.5866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-07,18:03:21.69,1,3,"Boyd, Zach",10304839,Right,WM_TRI,"Aiken, TJ",10109727,Left,OLD_MON,Undefined,1,Top,0,0,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.26892,-0.739494,-2.201228,2344.665407,194.84405,12:30,5.84922,1.79168,6.1445,-21.28348,13.80985,3.40225,3.3917,0.04007,81.66905,-4.732639,-1.588301,0.426367,97.06827,14.228762,-52.290183,3628.977408,60.49499,13.42748,-91.87119,171.24657,113.69703,-60.61971,1.606584,-2.29862,7.63689,-1.62572,50,5.7817,4.79938,-128.35667,-2.30517,-3.88313,23.43363,-19.27288,WM_TRI,OLD_MON,PlumeriPark,D1,CAA,20260407-PlumeriPark-1,97e7a060-32cd-11f1-9bdf-451500e55499,88.40369,14.51266,,6.59988,,,,-0.06872,3.00668,0.12542,6f79ea7e-11e0-4c5e-b728-c87c30f495d9,2026-04-07,22:03:21.69,2026-04-07T18:03:21.6956928-04:00,2026-04-07T22:03:21.6956928Z,LineDrive,v3,471493,3090,8b868e8f201c4fb28ad5825082ddd1ab,"Scafidi, Witt",1000090918,Right,WM_TRI,44bebebf-27b8-4eec-9080-f4f963a84ba8,54.35631,-129.14953,11.71681,5.84866,-1.65308,-9.63644,-1.79033,4.93076,-1.94157,,-0.06872,84.40889,-23.49306,2.36094,0.066,-0.17703,0.06253,-0.01295,0.00132,3.00668,34.99282,-30.43097,6.71655,-1.85546,0.49779,-0.11501,0.02044,-0.00193,0.12542,-109.17362,16.50601,-5.88679,1.65124,-0.39775,0.0841,-0.01406,0.00126,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
4,2026-04-07,18:03:43.86,1,4,"Boyd, Zach",10304839,Right,WM_TRI,"Aiken, TJ",10109727,Left,OLD_MON,Undefined,1,Top,0,0,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,76.42312,-0.503518,-1.918499,2714.024013,68.705222,8:15,5.69505,1.86342,5.91072,-50.5327,-2.71851,-10.71564,1.01637,-0.81091,70.67009,-9.740097,-3.845104,0.49768,,,,,,,,,,,,4.98327,-0.85055,-1.70322,50,5.62563,4.09719,-111.04171,-2.52538,6.20941,20.25763,-33.2339,WM_TRI,OLD_MON,PlumeriPark,D1,CAA,20260407-PlumeriPark-1,a51690c0-32cd-11f1-9bdf-451500e55499,75.73633,,,5.75304,,,,,,,6f79ea7e-11e0-4c5e-b728-c87c30f495d9,2026-04-07,22:03:43.86,2026-04-07T18:03:43.8658048-04:00,2026-04-07T22:03:43.8658048Z,,v3,471493,3090,8b868e8f201c4fb28ad5825082ddd1ab,"Scafidi, Witt",1000090918,Right,WM_TRI,661c1e43-eea4-4db7-961d-dcd3d326471d,54.59149,-111.87621,10.12882,5.70146,-1.15634,-16.61695,-1.86673,3.84139,3.1047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-07,18:04:02.44,1,5,"Boyd, Zach",10304839,Right,WM_TRI,"Aiken, TJ",10109727,Left,OLD_MON,Undefined,1,Top,0,1,2,ChangeUp,Splitter,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,82.93877,-0.998767,-2.712576,696.960566,160.126911,11:15,5.74558,2.17859,5.75752,-26.86828,14.38713,-4.6889,2.57573,-0.73903,75.35652,-6.022128,-3.550305,0.462287,,,,,,,,,,,,1.54921,8.05241,-1.95071,50,5.64657,5.885,-120.18965,-2.92245,2.24517,25.30495,-20.50418,WM_TRI,OLD_MON,PlumeriPark,D1,CAA,20260407-PlumeriPark-1,b0327fa0-32cd-11f1-9bdf-451500e55499,81.53466,,,7.58225,,,,,,,6f79ea7e-11e0-4c5e-b728-c87c30f495d9,2026-04-07,22:04:02.44,2026-04-07T18:04:02.4450000-04:00,2026-04-07T22:04:02.4450000Z,,v3,471493,3090,8b868e8f201c4fb28ad5825082ddd1ab,"Scafidi, Witt",1000090918,Right,WM_TRI,bb063879-9add-47fe-a0dc-735cc30dd6fd,54.73894,-121.18329,12.65248,5.74552,-2.11732,-10.25209,-2.18006,5.79684,1.12259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.22946,,,1.074683,,,,-3.1206,5.80966,6.14315,66.84036,5.15978,57.94572,-2.98713,73.98452,-8.34215,5.88069,14.71535,-14.29219,6.12428,49.26545,-0.97831,High,High,High,,,High,High,High
6,2026-04-07,18:04:33.72,2,1,"Boyd, Zach",10304839,Right,WM_TRI,"Morales, Efrain",1000115748,Right,OLD_MON,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.18678,-2.661633,-3.348144,2240.898634,196.236721,12:30,5.71465,1.75367,6.21393,-18.15466,18.07973,4.94433,1.73943,-0.92775,80.25959,-6.100322,-2.457611,0.433244,,,,,,,,,,,,-3.43933,10.41544,-1.50489,50,5.50544,7.20564,-126.46555,-6.38788,-5.60412,24.3146,-15.20302,WM_TRI,OLD_MON,PlumeriPark,D1,CAA,20260407-PlumeriPark-1,c2d046b0-32cd-11f1-9bdf-451500e55499,87.00058,,,6.92719,,,,,,,6f79ea7e-11e0-4c5e-b728-c87c30f495d9,2026-04-07,22:04:33.72,2026-04-07T18:04:33.7259008-04:00,2026-04-07T22:04:33.7259008Z,,v3,471493,3090,8b868e8f201c4fb28ad5825082ddd1ab,"Scafidi, Witt",1000090918,Right,WM_TRI,28efabc9-962d-4c8d-85ca-0313a3864103,54.28589,-127.2869,12.1573,5.71255,-5.87432,-7.60151,-1.7515,7.39495,-2.80206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-07,18:04:46.97,2,2,"Boyd, Zach",10304839,Right,WM_TRI,"Morales, Efrain",1000115748,Right,OLD_MON,Undefined,1,Top,1,0,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.81897,-2.666922,-2.609856,2393.888198,190.206946,12:15,5.7501,1.77888,6.39548,-19.08599,14.90154,2.49193,1.70249,-0.41543,82.44393,-6.279899,-2.158898,0.419596,,,,,,,,,,,,-2.01539,8.83906,-1.59253,50,5.54941,5.84437,-130.36241,-6.61938,-3.4743,26.95338,-16.93656,WM_TRI,OLD_MON,PlumeriPark,D1,CAA,20260407-PlumeriPark-1,cab09290-32cd-11f1-9bdf-451500e55499,89.83033,,,7.37504,,,,,,,6f79ea7e-11e0-4c5e-b728-c87c30f495d9,2026-04-07,22:04:46.97,2026-04-07T18:04:46.9744640-04:00,2026-04-07T22:04:46.9744640Z,,v3,471493,3090,8b868e8f201c4fb28ad5825082ddd1ab,"Scafidi, Witt",1000090918,Right,WM_TRI,1608d873-ece8-47c7-b04e-b29de62220f6,54.10414,-131.20822,13.47669,5.74879,-6.0879,-8.46828,-1.77764,5.9534,-1.73715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-07,18:05:02.54,2,3,"Boyd, Zach",10304839,Right,WM_TRI,"Morales, Efrain",1000115748,Right,OLD_MON,Undefined,1,Top,1,0,2,Fastball,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,89.16487,-2.587136,-3.377795,2311.108641,195.20757,12:30,5.78474,1.53329,6.21667,-15.26434,19.76048,5.04894,2.11945,-1.16671,81.10805,-5.528112,-2.468626,0.425951,,,,,,,,,,,,-3.59465,11.33406,-1.2824,50,5.58266,7.41701,-129.18322,-6.23177,-6.04197,28.25464,-13.12342,WM_TRI,OLD_MON,PlumeriPark,D1,CAA,20260407-PlumeriPark-1,d4066770-32cd-11f1-9bdf-451500e55499,88.49012,,,8.05682,,,,,,,6f79ea7e-11e0-4c5e-b728-c87c30f495d9,2026-04-07,22:05:02.54,2026-04-07T18:05:02.5450000-04:00,2026-04-07T22:05:02.5450000Z,,v3,471493,3090,8b868e8f201c4fb28ad5825082ddd1ab,"Scafidi, Witt",1000090918,Right,WM_TRI,032769b8-ff47-4446-b32d-f8c2ae01c70a,54.28086,-130.11615,14.12732,5.78127,-5.79845,-6.56171,-1.53059,7.61651,-3.02098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.02942,,,1.339795,,,,-4.85249,4.53991,2.68228,74.56079,5.17138,50.2287,-4.71918,67.8583,-6.49851,4.6404,20.6059,-15.09636,2.6503,35.89225,-0.28021,High,High,High,,,High,High,High
9,2026-04-07,18:05:36.92,3,1,"Boyd, Zach",10304839,Right,WM_TRI,"Leite, Zachary",1000218664,Left,OLD_MON,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.2305,-3.26679,-1.530953,2342.016376,195.882793,12:30,5.86684,1.71292,6.07616,-18.51946,16.45694,4.35796,1.2965,0.65918,81.64298,-6.765279,-0.745962,0.425656,,,,,,,,,,,,-2.68138,9.75926,-1.59677,50,5.60393,3.27992,-129.41453,-7.93198,-4.54007,27.41274,-15.64969,WM_TRI,OLD_MON,PlumeriPark,D1,CAA,20260407-PlumeriPark-1,e88f35a0-32cd-11f1-9bdf-451500e55499,88.55137,,,7.58752,,,,,,,6f79ea7e-11e0-4c5e-b728-c87c30f495d9,2026-04-07,22:05:36.92,2026-04-07T18:05:36.9282560-04:00,2026-04-07T22:05:36.9282560Z,,v3,471493,3090,8b868e8f201c4fb28ad5825082ddd1ab,"Scafidi, Witt",1000090918,Right,WM_TRI,55f3152b-a6a5-47f0-aae0-e8fcc72c63b5,54.42278,-130.34801,13.70637,5.86496,-7.39907,-7.82484,-1.71109,3.43452,-2.27003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-07,18:05:50.59,3,2,"Boyd, Zach",10304839,Right,WM_TRI,"Leite, Zachary",1000218664,Left,OLD_MON,Undefined,1,Top,2,1,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,75.81178,1.665272,-1.629829,2638.164624,65.386251,8:15,5.80271,1.84211,5.43112,-53.52641,-3.7311,-11.67859,2.90284,-0.65792,69.33763,-8.093473,-3.707642,0.507885,,,,,,,,,,,,5.37524,-1.86791,-1.68937,50,5.91337,3.57655,-109.96671,1.43037,6.53392,20.83166,-34.44462,WM_TRI,OLD_MON,PlumeriPark,D1,CAA,20260407-PlumeriPark-1,f0a69710-32cd-11f1-9bdf-451500e55499,74.21449,,,6.47415,,,,,,,6f79ea7e-11e0-4c5e-b728-c87c30f495d9,2026-04-07,22:05:50.59,2026-04-07T18:05:50.5945088-04:00,2026-04-07T22:05:50.5945088Z,,v3,471493,3090,8b868e8f201c4fb28ad5825082ddd1ab,"Scafidi, Witt",1000090918,Right,WM_TRI,a2f2b057-881f-4765-9726-85c881ba77c3,55.0695,-110.92289,10.41583,5.81143,3.0114,-17.22231,-1.84666,3.27663,3.26696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
