PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-07,18:02:16.25,1,1,"Sobel, Jackson",823294,Left,MIZ_TIG,"Fyffe, Logan",831490,Right,MIS_BEA,Undefined,1,Top,0,0,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,84.74207,-2.128213,1.922435,2060.797113,205.513653,12:45,5.44644,-1.30238,5.46224,-34.25407,4.78835,1.78291,0.59792,0.64624,79.05074,-8.345372,2.240173,0.449717,,,,,,,,,,,,-0.45394,3.21386,1.13176,50,5.23504,-4.20443,-123.11751,-5.79185,-0.70674,21.1599,-27.17037,MIZ_TIG,MIS_BEA,TaylorStadium,D1,SEC,20260407-TaylorStadium-1,d30acfc0-32d5-11f1-8bd9-cb047ffb41c8,83.8136,,,5.69132,,,,,,,07928ed2-080b-4655-9c42-c4595674ddd2,2026-04-07,23:02:16.25,2026-04-07T18:02:16.2540000-05:00,2026-04-07T23:02:16.2540000Z,,v3,4806,471451,33834,"Campos, Julio",1000365460,Right,MIZ_TIG,b7564d33-8a55-4885-ab5e-8e4ff85d3696,55.03976,-123.98065,10.57995,5.44869,-4.68353,-13.58518,1.30268,-4.1756,-0.35337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-07,18:02:30.81,1,2,"Sobel, Jackson",823294,Left,MIZ_TIG,"Fyffe, Logan",831490,Right,MIS_BEA,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.55547,-2.473548,2.769862,2238.05746,140.647836,10:45,5.29062,-1.4214,5.51458,-18.58147,16.12607,-12.28816,1.42507,0.14662,82.65773,-5.958324,0.582168,0.424017,,,,,,,,,,,,6.98823,9.1806,1.18838,50,5.06251,-5.79727,-131.2177,-6.28969,12.16729,28.12102,-16.18959,MIZ_TIG,MIS_BEA,TaylorStadium,D1,SEC,20260407-TaylorStadium-1,dbb0b590-32d5-11f1-8bd9-cb047ffb41c8,88.89373,,,7.89773,,,,,,,07928ed2-080b-4655-9c42-c4595674ddd2,2026-04-07,23:02:30.81,2026-04-07T18:02:30.8170000-05:00,2026-04-07T23:02:30.8170000Z,,v3,4806,471451,33834,"Campos, Julio",1000365460,Right,MIZ_TIG,8d26d5e2-5ea5-4611-8ac9-70ef338d5826,54.98415,-132.28153,14.06051,5.28887,-5.67722,-8.09479,1.4164,-6.25756,6.08365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-07,18:02:47.10,1,3,"Sobel, Jackson",823294,Left,MIZ_TIG,"Fyffe, Logan",831490,Right,MIS_BEA,Undefined,1,Top,0,1,1,Cutter,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,84.17246,0.116053,1.168321,2204.557144,221.234896,1:15,5.46148,-1.30128,5.26365,-35.40159,4.6689,3.07225,2.6204,0.05247,77.67148,-6.339517,1.713527,0.4556,,,,,,,,,,,,-1.25154,2.62295,1.19194,50,5.44576,-2.62199,-122.28589,-1.03383,-1.90839,22.5326,-28.17445,MIZ_TIG,MIS_BEA,TaylorStadium,D1,SEC,20260407-TaylorStadium-1,e56c5120-32d5-11f1-8bd9-cb047ffb41c8,82.73143,,,6.50098,,,,,,,07928ed2-080b-4655-9c42-c4595674ddd2,2026-04-07,23:02:47.10,2026-04-07T18:02:47.1000000-05:00,2026-04-07T23:02:47.1000000Z,,v3,4806,471451,33834,"Campos, Julio",1000365460,Right,MIZ_TIG,52e463f3-58c9-4541-b463-c8dcc2abb2c9,55.23737,-123.24716,11.2663,5.46423,0.16812,-14.08722,1.30206,-2.54057,-0.9542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-07,18:03:23.42,1,4,"Sobel, Jackson",823294,Left,MIZ_TIG,"Fyffe, Logan",831490,Right,MIS_BEA,Undefined,1,Top,0,1,2,Curveball,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,78.04092,2.686584,0.788694,2547.532553,299.785029,4:00,5.50949,-1.25597,5.3349,-53.97975,-7.44839,15.30225,3.53385,0.75923,72.13908,-7.100483,3.50598,0.490958,,,,,,,,,,,,-7.45386,-3.99512,1.17347,50,5.71316,-2.16618,-113.34963,3.43585,-9.76656,19.33733,-37.40874,MIZ_TIG,MIS_BEA,TaylorStadium,D1,SEC,20260407-TaylorStadium-1,fb1e5d10-32d5-11f1-8bd9-cb047ffb41c8,76.77327,,,5.90184,,,,,,,07928ed2-080b-4655-9c42-c4595674ddd2,2026-04-07,23:03:23.42,2026-04-07T18:03:23.4270000-05:00,2026-04-07T23:03:23.4270000Z,,v3,4806,471451,33834,"Campos, Julio",1000365460,Right,MIZ_TIG,62fa0c49-147b-4f73-baef-501a2c51afa0,55.16838,-114.22795,9.66866,5.51851,5.13499,-18.70437,1.26178,-1.72258,-4.88328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-07,18:03:41.76,1,5,"Sobel, Jackson",823294,Left,MIZ_TIG,"Fyffe, Logan",831490,Right,MIS_BEA,Undefined,1,Top,0,2,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.22976,-2.338772,2.320552,2177.946586,141.951719,10:45,5.28966,-1.3184,5.59594,-20.04911,14.12032,-10.15319,1.43229,0.00328,83.07491,-6.091344,0.509065,0.420717,,,,,,,,,,,,5.88461,8.19229,1.12639,50,5.07616,-4.91628,-132.25016,-6.08513,10.36367,29.67705,-17.74622,MIZ_TIG,MIS_BEA,TaylorStadium,D1,SEC,20260407-TaylorStadium-1,06144d60-32d6-11f1-8bd9-cb047ffb41c8,89.59094,,,8.15484,,,,,,,07928ed2-080b-4655-9c42-c4595674ddd2,2026-04-07,23:03:41.76,2026-04-07T18:03:41.7640000-05:00,2026-04-07T23:03:41.7640000Z,,v3,4806,471451,33834,"Campos, Julio",1000365460,Right,MIZ_TIG,1187bdbf-5fc9-4dee-a3c2-863d6267cd6a,54.90401,-133.34608,14.83853,5.28877,-5.42979,-8.87311,1.31501,-5.29899,5.18184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-07,18:04:06.17,1,6,"Sobel, Jackson",823294,Left,MIZ_TIG,"Fyffe, Logan",831490,Right,MIS_BEA,Undefined,1,Top,0,2,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.59731,-1.527587,2.803011,2276.568067,137.807227,10:30,5.35562,-1.25656,5.46899,-17.88895,15.88729,-13.45001,2.4332,0.24795,83.90517,-4.880675,0.410988,0.418289,68.51536,61.633684,138.236018,4679.928284,,,,,36.364,,,7.58552,8.75233,1.0196,50,5.20918,-5.9052,-132.88377,-4.15532,13.60923,27.57429,-16.47144,MIZ_TIG,MIS_BEA,TaylorStadium,D1,SEC,20260407-TaylorStadium-1,1485a8d0-32d6-11f1-8bd9-cb047ffb41c8,90.1109,55.19843,,7.69214,,,,1.8473,2.61788,-0.2146,07928ed2-080b-4655-9c42-c4595674ddd2,2026-04-07,23:04:06.17,2026-04-07T18:04:06.1770000-05:00,2026-04-07T23:04:06.1770000Z,,v3,4806,471451,33834,"Campos, Julio",1000365460,Right,MIZ_TIG,50e4f581-111c-472e-8d31-240ffa80f0e2,55.03155,-133.92378,13.78715,5.35419,-3.53407,-8.23572,1.25201,-6.41849,6.80462,345.970566,1.84729,-35.61091,-3.47349,2.08184,-1.19349,1.93787,-2.79967,2.17213,-0.66468,2.61788,88.42333,-30.66997,4.16342,-1.21131,1.1703,-1.56755,1.19069,-0.35682,-0.2146,31.79996,-2.71979,0.43163,-0.1344,0.22943,-0.34162,0.26186,-0.07798,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
7,2026-04-07,18:04:27.98,1,7,"Sobel, Jackson",823294,Left,MIZ_TIG,"Fyffe, Logan",831490,Right,MIS_BEA,Undefined,1,Top,0,2,2,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.441,2.975127,-0.259025,2264.485191,269.674963,3:00,5.49776,-1.24138,5.10865,-40.18093,1.36807,4.34229,4.95494,-1.12357,75.81183,-4.360406,0.508478,0.463929,,,,,,,,,,,,-2.20654,0.29189,1.26234,50,5.74733,0.3517,-120.8733,4.76923,-3.25498,24.19754,-31.74347,MIZ_TIG,MIS_BEA,TaylorStadium,D1,SEC,20260407-TaylorStadium-1,219a3360-32d6-11f1-8bd9-cb047ffb41c8,81.24613,,,7.62918,,,,,,,07928ed2-080b-4655-9c42-c4595674ddd2,2026-04-07,23:04:27.98,2026-04-07T18:04:27.9800000-05:00,2026-04-07T23:04:27.9800000Z,,v3,4806,471451,33834,"Campos, Julio",1000365460,Right,MIZ_TIG,7d57b233-a88a-4813-ba84-b53e071b4de0,55.3882,-121.94719,12.09877,5.50441,6.17801,-15.87174,1.24352,0.49615,-1.62749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-07,18:04:47.43,1,8,"Sobel, Jackson",823294,Left,MIZ_TIG,"Fyffe, Logan",831490,Right,MIS_BEA,Undefined,1,Top,0,3,2,Cutter,Slider,BallCalled,Walk,Undefined,Undefined,0,0,,83.65896,0.919869,-0.569862,2238.538865,242.743128,2:00,5.37369,-1.30174,5.3321,-37.03526,3.60823,4.59764,3.15061,-1.4533,76.74586,-5.856925,0.24716,0.458846,,,,,,,,,,,,-2.4463,1.96685,1.34984,50,5.43029,1.01068,-121.46445,0.61036,-3.66545,23.13457,-29.227,MIZ_TIG,MIS_BEA,TaylorStadium,D1,SEC,20260407-TaylorStadium-1,2d1ecf20-32d6-11f1-8bd9-cb047ffb41c8,82.14618,,,6.9131,,,,,,,07928ed2-080b-4655-9c42-c4595674ddd2,2026-04-07,23:04:47.43,2026-04-07T18:04:47.4360000-05:00,2026-04-07T23:04:47.4360000Z,,v3,4806,471451,33834,"Campos, Julio",1000365460,Right,MIZ_TIG,3d125104-7c7b-4a48-a294-ce07e7606e06,55.16627,-122.44448,11.56729,5.3782,1.84848,-14.6135,1.30374,1.16596,-1.83273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-07,18:05:23.28,2,1,"Sobel, Jackson",823294,Left,MIZ_TIG,"Bogenpohl, Caden",806470,Left,MIS_BEA,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.60238,-3.16464,3.11164,2305.991112,137.802387,10:30,5.29896,-1.7113,5.52989,-17.80048,17.5954,-14.69312,0.84987,-0.02408,81.14509,-6.551138,0.495756,0.428201,,,,,,,,,,,,8.4554,10.34445,1.45078,50,5.01203,-6.44145,-130.88601,-7.80125,14.35139,33.17904,-14.61637,MIZ_TIG,MIS_BEA,TaylorStadium,D1,SEC,20260407-TaylorStadium-1,4279ba60-32d6-11f1-8bd9-cb047ffb41c8,88.02509,,,9.45728,,,,,,,07928ed2-080b-4655-9c42-c4595674ddd2,2026-04-07,23:05:23.28,2026-04-07T18:05:23.2860000-05:00,2026-04-07T23:05:23.2860000Z,,v3,4806,471451,33834,"Campos, Julio",1000365460,Right,MIZ_TIG,34b67f76-792b-4a7b-b1ed-40c728a5ba92,54.96586,-132.13884,16.58952,5.29619,-7.24935,-7.30819,1.70424,-6.98335,7.1757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-07,18:05:41.54,2,2,"Sobel, Jackson",823294,Left,MIZ_TIG,"Bogenpohl, Caden",806470,Left,MIS_BEA,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.47888,-2.037705,3.022842,2141.260379,145.009266,10:45,5.30393,-1.69879,5.49498,-17.66458,17.7558,-11.47595,1.92232,0.17512,81.07529,-5.403846,0.981672,0.428349,,,,,,,,,,,,6.7489,9.99312,1.44194,50,5.11391,-6.37389,-130.82151,-5.20863,11.46821,32.60741,-15.19305,MIZ_TIG,MIS_BEA,TaylorStadium,D1,SEC,20260407-TaylorStadium-1,4d68f3f0-32d6-11f1-8bd9-cb047ffb41c8,87.99462,,,9.40359,,,,,,,07928ed2-080b-4655-9c42-c4595674ddd2,2026-04-07,23:05:41.54,2026-04-07T18:05:41.5450000-05:00,2026-04-07T23:05:41.5450000Z,,v3,4806,471451,33834,"Campos, Julio",1000365460,Right,MIZ_TIG,8b34e9e0-9b42-4d68-9299-c5e296053492,54.99954,-132.06177,16.3037,5.30103,-4.63075,-7.59653,1.69267,-6.8101,5.7341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
