PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-07,15:02:37.95,1,1,"Nesslage, Owen",1000465951,Left,MAR_SAI,"Figuereo, Jace",1000329546,Left,QUI_HAW,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.19583,-3.587845,5.442052,2050.97869,140.738088,10:45,6.05886,-2.85668,6.61624,-20.866,15.67536,-11.93942,1.01496,1.14742,79.84032,-7.520929,3.28339,0.435075,,,,,,,,,,,,7.63886,9.47875,2.49071,50,5.80492,-11.45673,-124.73246,-8.4072,12.17979,22.2512,-17.06066,MAR_SAI,QUI_HAW,WeberField,D2,Team,20260407-WeberField-2,ba9ae5b0-32bc-11f1-8fbf-a7cf1fa133d2,86.63442,,,6.35551,,,,,,,b51e73d9-5f29-40df-b968-f6ae8fa10e0c,2026-04-07,20:02:37.95,2026-04-07T15:02:37.9510784-05:00,2026-04-07T20:02:37.9510784Z,,v3,643-145280,643-145659,,"Anselmo, Dominic",1000362080,Right,MAR_SAI,b171f9a6-4823-4514-afc6-0d421139a97d,53.88405,-125.42343,11.1256,6.05776,-7.87742,-8.53033,2.85235,-11.83495,6.0899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-07,15:02:52.61,1,2,"Nesslage, Owen",1000465951,Left,MAR_SAI,"Figuereo, Jace",1000329546,Left,QUI_HAW,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.97662,-3.027714,4.875414,2156.093459,145.784878,10:45,6.00157,-2.95136,6.77293,-18.60186,17.31312,-10.99068,1.6742,0.59527,79.73039,-6.589599,2.880127,0.43133,,,,,,,,,,,,7.1593,10.35237,2.63659,50,5.79593,-10.34848,-125.95557,-7.13589,11.51884,25.21659,-15.51777,MAR_SAI,QUI_HAW,WeberField,D2,Team,20260407-WeberField-2,c355b310-32bc-11f1-8fbf-a7cf1fa133d2,87.38661,,,7.24623,,,,,,,b51e73d9-5f29-40df-b968-f6ae8fa10e0c,2026-04-07,20:02:52.61,2026-04-07T15:02:52.6123008-05:00,2026-04-07T20:02:52.6123008Z,,v3,643-145280,643-145659,,"Anselmo, Dominic",1000362080,Right,MAR_SAI,56ef253e-3f4c-49a2-819d-88bb292d4134,53.72587,-126.69931,12.60829,5.99964,-6.67822,-7.75888,2.94682,-10.68822,5.75942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-07,15:03:08.81,1,3,"Nesslage, Owen",1000465951,Left,MAR_SAI,"Figuereo, Jace",1000329546,Left,QUI_HAW,Undefined,1,Top,0,1,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.18773,-2.968469,5.256475,2128.60102,139.491222,10:45,5.98556,-2.96942,6.82016,-19.11233,16.61851,-13.21146,1.67094,0.73847,79.84367,-6.628392,2.857526,0.430222,,,,,,,,,,,,8.4776,9.99375,2.63464,50,5.78617,-11.14095,-126.20862,-7.03676,13.68375,25.51197,-16.04309,MAR_SAI,QUI_HAW,WeberField,D2,Team,20260407-WeberField-2,cd001090-32bc-11f1-8fbf-a7cf1fa133d2,87.61153,,,7.34405,,,,,,,b51e73d9-5f29-40df-b968-f6ae8fa10e0c,2026-04-07,20:03:08.81,2026-04-07T15:03:08.8136704-05:00,2026-04-07T20:03:08.8136704Z,,v3,643-145280,643-145659,,"Anselmo, Dominic",1000362080,Right,MAR_SAI,b5aa47d3-a658-4fef-96c4-98833da4fd0b,53.67912,-126.95014,12.75598,5.98392,-6.57046,-8.02155,2.96424,-11.53867,6.84187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-07,15:03:26.65,1,4,"Nesslage, Owen",1000465951,Left,MAR_SAI,"Figuereo, Jace",1000329546,Left,QUI_HAW,Undefined,1,Top,0,1,2,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,87.71276,-3.200673,4.765948,2163.806921,144.85879,10:45,5.9872,-2.87757,6.69298,-18.06824,17.33528,-11.40753,1.54131,0.54031,80.44453,-6.656685,2.697414,0.428247,86.27432,-8.007919,-18.443724,,,,,10.3468,9.83545,-20.660636,0.077741,7.3676,10.39193,2.56393,50,5.76577,-10.18082,-127.03007,-7.57831,12.06018,25.58647,-15.1633,MAR_SAI,QUI_HAW,WeberField,D2,Team,20260407-WeberField-2,d7a0dc00-32bc-11f1-8fbf-a7cf1fa133d2,88.01563,1.3719,,7.26823,,,,0.43049,1.3719,-0.56549,b51e73d9-5f29-40df-b968-f6ae8fa10e0c,2026-04-07,20:03:26.65,2026-04-07T15:03:26.6566656-05:00,2026-04-07T20:03:26.6566656Z,GroundBall,v3,643-145280,643-145659,,"Anselmo, Dominic",1000362080,Right,MAR_SAI,7a41dcf5-fa26-4ad7-9e73-9586489395c9,53.80687,-127.79454,12.79324,5.98543,-7.12525,-7.58165,2.8735,-10.54116,6.03009,180,0.42886,118.99582,,,,,,,,1.37214,-17.64698,,,,,,,,-0.56494,-39.68552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2026-04-07,15:03:58.82,2,1,"Nesslage, Owen",1000465951,Left,MAR_SAI,"Dahlof, Benjamin",10111409,Right,QUI_HAW,Undefined,1,Top,1,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.16896,-3.083985,4.227756,2167.577609,138.176704,10:30,5.96718,-2.93634,6.49791,-18.37296,16.41217,-13.82249,1.59484,-0.20051,81.8944,-6.555764,1.72678,0.424491,,,,,,,,,,,,8.28536,9.6517,2.646,50,5.74229,-8.94952,-127.92282,-7.41118,13.95118,22.3914,-15.92219,MAR_SAI,QUI_HAW,WeberField,D2,Team,20260407-WeberField-2,eac9a500-32bc-11f1-8fbf-a7cf1fa133d2,88.79448,,,6.27456,,,,,,,b51e73d9-5f29-40df-b968-f6ae8fa10e0c,2026-04-07,20:03:58.82,2026-04-07T15:03:58.8235776-05:00,2026-04-07T20:03:58.8235776Z,,v3,643-145280,643-145659,,"Anselmo, Dominic",1000362080,Right,MAR_SAI,073a2985-ff23-48b8-b7e5-de5d26c3beb7,54.00351,-128.62167,11.1957,5.96584,-6.91423,-7.96109,2.93212,-9.38495,6.97559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-07,15:04:15.70,2,2,"Nesslage, Owen",1000465951,Left,MAR_SAI,"Dahlof, Benjamin",10111409,Right,QUI_HAW,Undefined,1,Top,1,0,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,74.36764,1.869725,-0.475616,2455.699995,295.50037,3:45,5.96369,-2.9256,6.18716,-55.1818,-5.5928,14.693,3.09224,-2.14034,68.87724,-8.295682,2.179662,0.506832,,,,,,,,,,,,-7.71658,-2.91406,2.95435,50,6.07711,0.40091,-108.1988,1.92807,-9.19679,17.92862,-35.64709,MAR_SAI,QUI_HAW,WeberField,D2,Team,20260407-WeberField-2,f4ec8de0-32bc-11f1-8fbf-a7cf1fa133d2,74.36867,,,5.4904,,,,,,,b51e73d9-5f29-40df-b968-f6ae8fa10e0c,2026-04-07,20:04:15.70,2026-04-07T15:04:15.7005824-05:00,2026-04-07T20:04:15.7005824Z,,v3,643-145280,643-145659,,"Anselmo, Dominic",1000362080,Right,MAR_SAI,ddbdd329-6a51-41ed-bcfb-ae9d712a09a8,54.31515,-108.91147,8.96431,5.97231,3.34508,-17.82354,2.93115,0.76649,-4.5984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-07,15:04:31.86,2,3,"Nesslage, Owen",1000465951,Left,MAR_SAI,"Dahlof, Benjamin",10111409,Right,QUI_HAW,Undefined,1,Top,1,1,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,74.04898,2.988443,-0.498807,2471.776848,303.319095,4:00,6.1281,-2.74183,5.97251,-60.12417,-9.72969,16.94229,3.89087,-1.79241,68.61075,-8.028319,2.548825,0.510932,,,,,,,,,,,,-8.82398,-5.31559,2.77195,50,6.33133,0.3524,-107.67212,3.80546,-10.43508,17.40634,-38.46018,MAR_SAI,QUI_HAW,WeberField,D2,Team,20260407-WeberField-2,fe8b2b90-32bc-11f1-8fbf-a7cf1fa133d2,73.77197,,,5.43823,,,,,,,b51e73d9-5f29-40df-b968-f6ae8fa10e0c,2026-04-07,20:04:31.86,2026-04-07T15:04:31.8642176-05:00,2026-04-07T20:04:31.8642176Z,,v3,643-145280,643-145659,,"Anselmo, Dominic",1000362080,Right,MAR_SAI,b15b515b-304c-423d-9b93-09f02ff062e1,54.53174,-108.40224,8.70317,6.13787,5.41872,-19.23009,2.74799,0.79011,-5.21754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-07,15:04:48.46,2,4,"Nesslage, Owen",1000465951,Left,MAR_SAI,"Dahlof, Benjamin",10111409,Right,QUI_HAW,Undefined,1,Top,1,2,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,87.89911,-1.212116,2.407863,2170.258489,148.014681,11:00,6.05326,-2.78711,6.51998,-18.50332,16.89509,-9.83331,3.39803,-1.39601,80.16189,-4.762136,0.623605,0.428216,,,,,,,,,,,,5.80551,9.53382,2.62318,50,5.96048,-4.98417,-127.66078,-3.17749,9.55621,26.90632,-16.48081,MAR_SAI,QUI_HAW,WeberField,D2,Team,20260407-WeberField-2,08617b10-32bd-11f1-8fbf-a7cf1fa133d2,88.02199,,,7.73722,,,,,,,b51e73d9-5f29-40df-b968-f6ae8fa10e0c,2026-04-07,20:04:48.46,2026-04-07T15:04:48.4631552-05:00,2026-04-07T20:04:48.4631552Z,,v3,643-145280,643-145659,,"Anselmo, Dominic",1000362080,Right,MAR_SAI,e1189b7e-a443-4c5b-8724-346603204ef3,53.97671,-128.4962,13.45316,6.05119,-2.66578,-8.24041,2.78254,-5.28088,4.77811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-07,15:05:05.67,2,5,"Nesslage, Owen",1000465951,Left,MAR_SAI,"Dahlof, Benjamin",10111409,Right,QUI_HAW,Undefined,1,Top,1,2,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.24923,-2.135059,3.33337,2187.450512,151.923399,11:00,5.96654,-2.8034,6.61482,-14.41265,20.91899,-10.4941,2.80585,-0.62156,79.86016,-4.962368,1.4286,0.427812,76.39696,62.79796,54.068163,4933.54089,30.91508,107.67836,105.56629,165.79943,56.5662,75.684818,5.112788,6.56662,12.0419,2.58073,50,5.81492,-7.05629,-127.96801,-5.08891,10.76814,29.14201,-12.42742,MAR_SAI,QUI_HAW,WeberField,D2,Team,20260407-WeberField-2,12a6b900-32bd-11f1-8fbf-a7cf1fa133d2,88.10509,112.73541,,8.38907,,,,0.53878,3.11587,0.80451,b51e73d9-5f29-40df-b968-f6ae8fa10e0c,2026-04-07,20:05:05.67,2026-04-07T15:05:05.6794112-05:00,2026-04-07T20:05:05.6794112Z,Popup,v3,643-145280,643-145659,,"Anselmo, Dominic",1000362080,Right,MAR_SAI,65a84337-d2e7-43e5-b13e-bd532984682f,53.88276,-128.84919,14.57101,5.96312,-4.71314,-6.21371,2.79901,-7.38189,5.38407,,0.54646,29.80242,-13.11331,1.9113,1.65337,-1.21073,0.35104,-0.04785,0.00252,3.14482,99.06694,-25.4981,-0.73652,2.64137,-1.28261,0.30356,-0.03595,0.0017,0.81883,41.21608,-0.87429,-1.76064,1.0649,-0.30168,0.03695,-0.00077,-0.00012,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
10,2026-04-07,15:05:27.89,2,6,"Nesslage, Owen",1000465951,Left,MAR_SAI,"Dahlof, Benjamin",10111409,Right,QUI_HAW,Undefined,1,Top,1,2,2,Fastball,Sinker,InPlay,Undefined,LineDrive,Out,1,0,,88.39246,-1.105452,3.62096,2194.479182,136.449772,10:30,5.85292,-2.85543,6.48357,-19.35092,15.62521,-13.8093,3.22321,-0.67719,80.87182,-4.796842,1.120816,0.425655,91.32966,8.405187,5.111533,2686.206174,109.05229,7.93013,14.40607,159.79713,142.53684,8.539035,1.46286,8.24032,8.82347,2.60662,50,5.76639,-7.59314,-128.3214,-3.00426,13.75772,26.23052,-17.44268,MAR_SAI,QUI_HAW,WeberField,D2,Team,20260407-WeberField-2,1fe07ed0-32bd-11f1-8fbf-a7cf1fa133d2,88.5517,9.22822,,7.52065,,,,0.50154,3.1398,0.65617,b51e73d9-5f29-40df-b968-f6ae8fa10e0c,2026-04-07,20:05:27.89,2026-04-07T15:05:27.8945792-05:00,2026-04-07T20:05:27.8945792Z,LineDrive,v3,643-145280,643-145659,,"Anselmo, Dominic",1000362080,Right,MAR_SAI,6248cab9-7128-4995-954b-d133d93dda98,54.01564,-129.13963,13.11526,5.85162,-2.46015,-8.72134,2.85018,-8.0223,6.87886,243.895858,0.50154,131.98423,-21.07544,4.03696,-0.88998,0.19514,-0.04167,0.00724,-0.00068,3.1398,19.57981,-16.58507,1.53482,-0.32697,0.07812,-0.01584,0.00273,-0.00027,0.65617,11.80606,3.48278,-0.70026,0.1562,-0.03466,0.00737,-0.00128,0.00012,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
