PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-07,17:03:38.17,1,1,"Murphy, Michael",822723,Right,XAV_MUS,"Warren, Hunter",1000270399,Right,WRI_RAI,Undefined,1,Top,0,0,0,Sinker,Changeup,InPlay,Undefined,LineDrive,Out,1,0,,85.68798,-0.632967,-4.129968,1903.431394,250.300361,2:15,4.70771,2.70825,5.93169,-29.98305,8.31622,19.63245,1.62032,0.50594,77.97703,-6.216928,-0.612161,0.445417,100.24771,6.65057,-38.177758,3762.680383,,,,110.98347,100.50318,-41.847637,0.849898,-11.32863,4.8161,-2.38932,50,4.64008,8.18147,-124.18143,-2.34498,-17.59061,26.1735,-24.6958,XAV_MUS,WRI_RAI,prascopark,D1,BEAST,20260407-prascopark-1,3fea93c0-32c5-11f1-913a-ab4a2c497c8d,84.62286,4.70315,,7.71095,,,,2.4646,1.69899,-0.54268,e305ca9f-8349-47d0-8056-f34b27419321,2026-04-07,21:03:38.17,2026-04-07T17:03:38.1722112-04:00,2026-04-07T21:03:38.1722112Z,LineDrive,v3,471497,471496,,"Fitz, Jonathan",812192,Right,XAV_MUS,90d45b30-8f9b-4baa-bf2f-5e5d41a032da,54.56788,-125.1405,13.08675,4.70942,-1.44007,-12.3479,-2.70092,8.82603,-8.79531,,2.59109,112.75967,-21.96373,,,,,,,1.78858,15.57865,-20.9174,,,,,,,-0.51905,-90.66771,4.86677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
2,2026-04-07,17:04:17.37,2,1,"Murphy, Michael",822723,Right,XAV_MUS,"Blomquist, Braylen",1000362934,Left,WRI_RAI,Undefined,1,Top,1,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.32907,0.647481,-3.380586,1977.5658,222.91549,1:30,4.7796,2.60063,5.95157,-25.05533,12.3732,10.41926,3.29323,0.33,78.86687,-4.048878,-1.513268,0.440324,,,,,,,,,,,,-6.26548,6.52284,-2.33739,50,4.8171,6.97449,-125.24223,0.63406,-9.96565,24.96123,-21.79908,XAV_MUS,WRI_RAI,prascopark,D1,BEAST,20260407-prascopark-1,57574800-32c5-11f1-913a-ab4a2c497c8d,85.60154,,,7.4622,,,,,,,e305ca9f-8349-47d0-8056-f34b27419321,2026-04-07,21:04:17.37,2026-04-07T17:04:17.3773824-04:00,2026-04-07T21:04:17.3773824Z,,v3,471497,471496,,"Fitz, Jonathan",812192,Right,XAV_MUS,5a9f2d08-7230-43db-bdb1-880308aa6437,54.54632,-126.14507,12.48062,4.77991,1.42253,-10.89954,-2.59618,7.33494,-4.98283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-07,17:05:06.61,2,2,"Murphy, Michael",822723,Right,XAV_MUS,"Blomquist, Braylen",1000362934,Left,WRI_RAI,Undefined,1,Top,1,0,1,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.58033,0.480777,-2.974541,2006.485619,229.13908,1:45,4.75292,2.57756,5.85024,-26.00749,11.59961,11.95064,3.03298,0.80701,78.54862,-4.394842,-0.835004,0.441374,,,,,,,,,,,,-6.92233,6.16197,-2.34234,50,4.77699,6.01316,-125.52309,0.21904,-10.97866,26.81878,-22.40128,XAV_MUS,WRI_RAI,prascopark,D1,BEAST,20260407-prascopark-1,74aa4ce0-32c5-11f1-913a-ab4a2c497c8d,85.39802,,,8.0317,,,,,,,e305ca9f-8349-47d0-8056-f34b27419321,2026-04-07,21:05:06.61,2026-04-07T17:05:06.6135552-04:00,2026-04-07T21:05:06.6135552Z,,v3,471497,471496,,"Fitz, Jonathan",812192,Right,XAV_MUS,7c72ccab-cb6e-409b-a509-37bdfe291f65,54.64532,-126.5117,13.40939,4.75369,1.04481,-11.20064,-2.57146,6.41786,-5.48933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-07,17:05:33.84,2,3,"Murphy, Michael",822723,Right,XAV_MUS,"Blomquist, Braylen",1000362934,Left,WRI_RAI,Undefined,1,Top,1,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.39333,1.539581,-2.061656,1984.682354,220.366864,1:15,4.80382,2.48525,5.82907,-20.58229,15.5919,12.21217,4.52104,1.58565,79.85233,-2.367732,0.125174,0.432883,,,,,,,,,,,,-6.81906,7.83662,-2.32396,50,4.91758,4.08504,-128.16675,2.81951,-11.24292,28.66388,-19.25339,XAV_MUS,WRI_RAI,prascopark,D1,BEAST,20260407-prascopark-1,84ee6c80-32c5-11f1-913a-ab4a2c497c8d,87.07299,,,8.541,,,,,,,e305ca9f-8349-47d0-8056-f34b27419321,2026-04-07,21:05:33.84,2026-04-07T17:05:33.8414080-04:00,2026-04-07T21:05:33.8414080Z,,v3,471497,471496,,"Fitz, Jonathan",812192,Right,XAV_MUS,4d44147a-d26e-4352-8407-05c9ea863d5c,54.66665,-129.20621,14.33194,4.80267,3.51771,-9.62669,-2.47949,4.49275,-5.62146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-07,17:05:55.49,2,4,"Murphy, Michael",822723,Right,XAV_MUS,"Blomquist, Braylen",1000362934,Left,WRI_RAI,Undefined,1,Top,1,1,2,ChangeUp,Changeup,FoulBallFieldable,Undefined,Undefined,Undefined,0,0,,81.34905,0.767857,-4.571952,1804.451672,286.741537,3:30,4.53432,2.94966,5.69451,-46.17888,-3.24071,15.51958,1.40399,-0.0268,74.19001,-7.690319,-1.805005,0.471621,57.75299,-40.429021,87.639352,,,,,4.36916,4.36916,26.733435,0.031192,-9.32079,-1.54784,-2.57513,50,4.56972,8.82149,-117.80902,0.03064,-13.01785,23.68115,-34.33583,XAV_MUS,WRI_RAI,prascopark,D1,BEAST,20260407-prascopark-1,91d29840-32c5-11f1-913a-ab4a2c497c8d,79.92104,1.71979,,7.15904,,,,3.81899,1.71979,-0.05154,e305ca9f-8349-47d0-8056-f34b27419321,2026-04-07,21:05:55.49,2026-04-07T17:05:55.4917376-04:00,2026-04-07T21:05:55.4917376Z,GroundBall,v3,471497,471496,,"Fitz, Jonathan",812192,Right,XAV_MUS,c615ae65-a9a4-4997-bc21-cec7d21fb79b,54.80662,-118.77128,11.84058,4.54013,1.42585,-17.16792,-2.94433,9.35046,-6.50893,,3.81894,2.6657,,,,,,,,1.72082,-55.13602,,,,,,,,-0.05274,64.66323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
6,2026-04-07,17:06:22.99,2,5,"Murphy, Michael",822723,Right,XAV_MUS,"Blomquist, Braylen",1000362934,Left,WRI_RAI,Undefined,1,Top,1,1,2,Sinker,Sinker,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,87.49302,0.697465,-2.316665,2069.600568,220.3947,1:15,4.78375,2.46919,5.96685,-20.9582,16.03273,12.49646,3.68446,1.36146,78.54908,-3.305413,-0.073109,0.437743,,,,,,,,,,,,-7.1187,8.36804,-2.29225,50,4.82752,4.59903,-126.80508,0.93495,-11.3986,29.94098,-18.77498,XAV_MUS,WRI_RAI,prascopark,D1,BEAST,20260407-prascopark-1,a22d2610-32c5-11f1-913a-ab4a2c497c8d,86.10637,,,8.94394,,,,,,,e305ca9f-8349-47d0-8056-f34b27419321,2026-04-07,21:06:22.99,2026-04-07T17:06:22.9920000-04:00,2026-04-07T21:06:22.9920000Z,,v3,471497,471496,,"Fitz, Jonathan",812192,Right,XAV_MUS,f22efd84-2c31-43b2-ac21-9f1887d9807c,54.52773,-127.86969,14.97049,4.78241,1.60253,-9.38749,-2.46298,5.00433,-5.6993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.09001,2.784292,1.828506,0.955786,-0.67137,3.56045,-1.3604,1.65434,5.43003,-2.21376,67.97238,7.15704,-56.81446,1.67913,73.95655,-4.80711,5.47187,15.002,-13.84736,-2.34904,-67.62499,11.12242,High,High,High,,,High,High,High
7,2026-04-07,17:06:58.27,3,1,"Murphy, Michael",822723,Right,XAV_MUS,"Duncan, Andrew",806062,Right,WRI_RAI,Undefined,1,Top,2,0,0,Sinker,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.19616,-0.337913,-2.038196,1881.172744,245.989583,2:15,4.61376,2.77959,5.83796,-29.15616,8.79792,16.86261,1.86981,2.28968,78.30018,-5.772385,0.985644,0.443405,,,,,,,,,,,,-9.22241,4.9774,-2.62343,50,4.56919,3.75283,-125.08433,-1.69941,-14.48962,27.19291,-24.35388,XAV_MUS,WRI_RAI,prascopark,D1,BEAST,20260407-prascopark-1,b73bed20-32c5-11f1-913a-ab4a2c497c8d,85.00678,,,7.89598,,,,,,,e305ca9f-8349-47d0-8056-f34b27419321,2026-04-07,21:06:58.27,2026-04-07T17:06:58.2738432-04:00,2026-04-07T21:06:58.2738432Z,,v3,471497,471496,,"Fitz, Jonathan",812192,Right,XAV_MUS,edc5e43d-fb55-4a5e-b7d4-848d60689be5,54.65988,-126.0933,13.59646,4.61548,-0.79577,-12.17694,-2.77264,4.29046,-7.24481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-07,17:07:18.89,3,2,"Murphy, Michael",822723,Right,XAV_MUS,"Duncan, Andrew",806062,Right,WRI_RAI,Undefined,1,Top,2,1,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.4692,-1.036155,-3.694103,1970.365484,235.128406,1:45,4.71403,2.62285,5.67483,-25.8873,11.20386,14.29276,1.58866,0.36526,79.59641,-5.856537,-1.144773,0.438336,,,,,,,,,,,,-8.34099,6.35772,-2.32013,50,4.61032,7.5731,-126.72818,-3.16568,-13.49966,27.05394,-21.88424,XAV_MUS,WRI_RAI,prascopark,D1,BEAST,20260407-prascopark-1,c38c3d50-32c5-11f1-913a-ab4a2c497c8d,85.98992,,,7.87279,,,,,,,e305ca9f-8349-47d0-8056-f34b27419321,2026-04-07,21:07:18.89,2026-04-07T17:07:18.8961280-04:00,2026-04-07T21:07:18.8961280Z,,v3,471497,471496,,"Fitz, Jonathan",812192,Right,XAV_MUS,8304a202-c99b-4f3d-90c8-363c711f76c2,54.82312,-127.75367,13.52697,4.71459,-2.33615,-10.94212,-2.6169,8.08481,-6.74983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-07,17:07:39.91,3,3,"Murphy, Michael",822723,Right,XAV_MUS,"Duncan, Andrew",806062,Right,WRI_RAI,Undefined,1,Top,2,1,1,Cutter,Slider,InPlay,Undefined,GroundBall,Single,0,0,,78.14411,1.28445,-2.628998,2359.788697,125.060525,10:15,4.64277,2.57798,5.647,-40.82935,5.08,-5.36477,2.43986,-0.323,72.15476,-6.208001,-3.585482,0.487665,100.81666,-17.688005,2.643288,,,,,9.68691,9.54948,4.029057,0.055179,2.06563,2.61744,-2.35129,50,4.72557,5.40888,-113.46401,1.25033,2.71177,19.39326,-28.73785,XAV_MUS,WRI_RAI,prascopark,D1,BEAST,20260407-prascopark-1,d0032850-32c5-11f1-913a-ab4a2c497c8d,77.29159,2.48299,,5.98936,,,,1.8854,2.48299,0.32156,e305ca9f-8349-47d0-8056-f34b27419321,2026-04-07,21:07:39.91,2026-04-07T17:07:39.9136768-04:00,2026-04-07T21:07:39.9136768Z,GroundBall,v3,471497,471496,,"Fitz, Jonathan",812192,Right,XAV_MUS,8f4c8ba9-6dac-4d2e-ab5f-8679769f0a39,54.85299,-114.29047,9.69663,4.64619,2.47502,-14.36892,-2.57933,5.29331,1.35589,180,1.88337,140.95272,,,,,,,,2.48364,-44.99912,,,,,,,,0.32147,6.50734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2026-04-07,17:08:18.93,4,1,"Murphy, Michael",822723,Right,XAV_MUS,"Peltier, JP",1000270400,Right,WRI_RAI,Undefined,1,Top,2,0,0,Cutter,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,79.11503,1.151903,-2.700047,2267.454761,158.480657,11:15,4.67312,2.4962,5.65955,-37.43656,7.4591,-2.4152,2.62893,-0.2248,72.76533,-5.745009,-3.130732,0.482251,52.92602,25.771464,131.768183,3625.404201,,,,,29.48951,,,0.51551,3.86847,-2.26604,50,4.74685,5.50648,-114.82761,1.12366,0.69124,20.41047,-26.98695,XAV_MUS,WRI_RAI,prascopark,D1,BEAST,20260407-prascopark-1,e757e7c0-32c5-11f1-913a-ab4a2c497c8d,78.15931,13.8185,,6.3497,,,,1.09523,2.48396,0.29964,e305ca9f-8349-47d0-8056-f34b27419321,2026-04-07,21:08:18.93,2026-04-07T17:08:18.9310464-04:00,2026-04-07T21:08:18.9310464Z,,v3,471497,471496,,"Fitz, Jonathan",812192,Right,XAV_MUS,bafcbb82-3d1c-4077-8dda-cf348034ded0,54.83948,-115.68462,10.20523,4.67588,2.25682,-13.49347,-2.49664,5.47746,0.34562,,1.0971,-46.62083,1.56069,,,,,,,2.49169,33.52126,-18.96493,,,,,,,0.3104,51.81841,-9.67157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
