PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-08,18:02:33.65,1,1,"Dolinshek, Joe",838477,Left,ALA_HOR,"Wright, Brennon",1000097976,Left,SAL_JAG,Undefined,1,Top,0,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,81.70573,-2.086245,2.743766,2265.716788,167.986852,11:30,6.80779,-1.67463,5.27305,-24.20068,18.1691,-3.61351,2.82821,0.60361,75.85807,-6.541369,2.103628,0.468489,,,,,,,,,,,,2.46284,9.97449,1.42638,50,6.59913,-5.53484,-118.56248,-5.11069,3.55844,19.46949,-17.76233,ALA_HOR,SAL_JAG,AlabamaState,D1,SWAC,20260408-AlabamaState-1,076d0d40-339f-11f1-8db7-ef418c18b371,80.45534,,,5.84766,,,,,,,9eaf5b38-c084-4629-82b0-ea326c79e789,2026-04-08,23:02:33.65,2026-04-08T18:02:33.6510000-05:00,2026-04-08T23:02:33.6510000Z,,v3,4765,471440,1cf1d9e33e014eb8bc7cd8bd27dd89f3,"Callaway, Trey",806566,Right,ALA_HOR,4f30203b-787b-4c21-8fff-118d7555a901,55.23093,-119.41838,9.73474,6.80664,-4.32984,-8.88116,1.67314,-5.69127,1.77922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-08,18:02:46.73,1,2,"Dolinshek, Joe",838477,Left,ALA_HOR,"Wright, Brennon",1000097976,Left,SAL_JAG,Undefined,1,Top,0,0,1,Fastball,Slider,InPlay,Undefined,Popup,Out,1,0,,81.33807,-2.988386,2.480014,2256.181533,171.072622,11:45,6.78112,-1.62704,5.31722,-25.6671,16.94863,-2.47906,1.83215,0.49555,75.85503,-7.684258,2.04015,0.469847,66.65624,54.327335,14.193957,,107.12657,83.41707,24.97798,161.86939,149.81084,13.208422,4.819911,1.83071,9.58127,1.404,50,6.49121,-5.01489,-118.03274,-7.00843,2.62676,18.87106,-18.42669,ALA_HOR,SAL_JAG,AlabamaState,D1,SWAC,20260408-AlabamaState-1,0f49d6b0-339f-11f1-8db7-ef418c18b371,80.22283,89.09005,,5.48305,,,,2.38374,2.11481,-0.42561,9eaf5b38-c084-4629-82b0-ea326c79e789,2026-04-08,23:02:46.73,2026-04-08T18:02:46.7320000-05:00,2026-04-08T23:02:46.7320000Z,Popup,v3,4765,471440,1cf1d9e33e014eb8bc7cd8bd27dd89f3,"Callaway, Trey",806566,Right,ALA_HOR,55468d51-4938-4093-81af-6b497e3bd9ce,55.18851,-118.85938,9.43553,6.78053,-6.20125,-9.21334,1.6262,-5.12996,1.31338,178.791823,2.38638,55.20764,-13.16122,3.37455,-0.39079,-0.05529,0.02772,-0.00373,0.00017,2.11468,79.4141,-20.47961,1.16061,0.13296,-0.17434,0.05908,-0.00919,0.00054,-0.42492,13.9629,-3.63931,0.96315,-0.12103,-0.01219,0.00734,-0.00104,5E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
3,2026-04-08,18:03:18.08,2,1,"Dolinshek, Joe",838477,Left,ALA_HOR,"Mathews, Duncan",835060,Right,SAL_JAG,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.45264,-2.234547,1.166775,2253.004961,172.561621,11:45,6.72973,-1.9017,5.34443,-23.87667,17.61143,-2.14539,2.64225,-0.98576,76.47089,-6.638399,0.785552,0.463589,,,,,,,,,,,,1.35626,9.75186,1.79805,50,6.51112,-2.34997,-119.72882,-5.44696,1.99549,20.16697,-17.82581,ALA_HOR,SAL_JAG,AlabamaState,D1,SWAC,20260408-AlabamaState-1,21e86110-339f-11f1-8db7-ef418c18b371,81.30573,,,5.98175,,,,,,,9eaf5b38-c084-4629-82b0-ea326c79e789,2026-04-08,23:03:18.08,2026-04-08T18:03:18.0890000-05:00,2026-04-08T23:03:18.0890000Z,,v3,4765,471440,1cf1d9e33e014eb8bc7cd8bd27dd89f3,"Callaway, Trey",806566,Right,ALA_HOR,b0f8ca80-9761-43f6-a25c-81a500c3053b,55.1587,-120.59461,10.08348,6.72854,-4.68168,-8.91291,1.90078,-2.43564,0.99775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-08,18:03:34.26,2,2,"Dolinshek, Joe",838477,Left,ALA_HOR,"Mathews, Duncan",835060,Right,SAL_JAG,Undefined,1,Top,1,0,1,Fastball,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,83.30244,-0.385104,2.5694,2309.651441,181.749106,12:00,6.84206,-1.83721,5.09527,-26.69612,14.2991,0.40224,4.25407,0.6195,77.19583,-5.275343,2.640402,0.460827,,,,,,,,,,,,0.40673,7.56028,1.59384,50,6.78485,-5.44406,-120.93349,-1.74776,0.6112,20.3263,-20.8128,ALA_HOR,SAL_JAG,AlabamaState,D1,SWAC,20260408-AlabamaState-1,2b9110e0-339f-11f1-8db7-ef418c18b371,81.79302,,,6.1066,,,,,,,9eaf5b38-c084-4629-82b0-ea326c79e789,2026-04-08,23:03:34.26,2026-04-08T18:03:34.2610000-05:00,2026-04-08T23:03:34.2610000Z,,v3,4765,471440,1cf1d9e33e014eb8bc7cd8bd27dd89f3,"Callaway, Trey",806566,Right,ALA_HOR,dafe55dc-9b6c-4469-ada6-a87bf5f23dca,55.4082,-121.8391,10.16315,6.84207,-0.82048,-10.4064,1.837,-5.47129,0.3056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-08,18:03:52.00,2,3,"Dolinshek, Joe",838477,Left,ALA_HOR,"Mathews, Duncan",835060,Right,SAL_JAG,Undefined,1,Top,1,1,1,Fastball,Slider,InPlay,Undefined,Popup,Out,1,0,,82.0043,-1.794757,1.850394,2212.510812,179.465377,12:00,6.72664,-1.78046,5.29805,-26.91116,15.17284,-0.13032,2.79747,-0.05333,75.98035,-6.736584,1.827267,0.466906,80.2008,54.338951,13.31523,,101.86978,117.75486,41.50321,189.97271,91.12544,25.068965,5.507104,0.52087,8.42855,1.61214,50,6.5437,-3.84149,-119.06957,-4.6287,0.75621,20.44312,-19.93711,ALA_HOR,SAL_JAG,AlabamaState,D1,SWAC,20260408-AlabamaState-1,378f2260-339f-11f1-8db7-ef418c18b371,80.72804,117.75934,,6.02395,,,,1.48285,2.96778,0.08168,9eaf5b38-c084-4629-82b0-ea326c79e789,2026-04-08,23:03:52.00,2026-04-08T18:03:52.0070000-05:00,2026-04-08T23:03:52.0070000Z,FlyBall,v3,4765,471440,1cf1d9e33e014eb8bc7cd8bd27dd89f3,"Callaway, Trey",806566,Right,ALA_HOR,8783d8a5-e55c-4115-81f6-94d92b94b492,55.20659,-119.96016,10.22156,6.72643,-3.76015,-9.96855,1.78021,-3.87444,0.3781,195.853546,1.48403,66.68917,-20.03456,5.58126,-0.96343,0.05297,0.01535,-0.00306,0.00016,2.96411,95.63377,-23.73611,2.0323,-0.19961,-0.03622,0.02317,-0.00421,0.00026,0.08185,15.79718,1.29546,-0.86427,0.20387,-0.00868,-0.00702,0.00148,-9E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
6,2026-04-08,18:04:23.96,3,1,"Dolinshek, Joe",838477,Left,ALA_HOR,"Puckett, Stewart",701384,Left,SAL_JAG,Undefined,1,Top,2,0,0,Fastball,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,81.58535,-1.380192,1.072519,2280.724947,178.290872,12:00,6.85974,-1.77374,5.15845,-25.65883,17.03013,-0.47173,3.42177,-0.8033,75.5211,-6.100095,0.988998,0.47025,,,,,,,,,,,,0.49606,9.21075,1.6739,50,6.71133,-2.19844,-118.48162,-3.71019,0.71379,20.03325,-18.92035,ALA_HOR,SAL_JAG,AlabamaState,D1,SWAC,20260408-AlabamaState-1,4a8c6e90-339f-11f1-8db7-ef418c18b371,80.15399,,,6.06425,,,,,,,9eaf5b38-c084-4629-82b0-ea326c79e789,2026-04-08,23:04:23.96,2026-04-08T18:04:23.9630000-05:00,2026-04-08T23:04:23.9630000Z,,v3,4765,471440,1cf1d9e33e014eb8bc7cd8bd27dd89f3,"Callaway, Trey",806566,Right,ALA_HOR,2fc74dd1-7de6-4ddd-9413-333e07cca117,55.34457,-119.38188,10.01662,6.85895,-2.85994,-9.46018,1.77342,-2.23052,0.35689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-08,18:04:38.57,3,2,"Dolinshek, Joe",838477,Left,ALA_HOR,"Puckett, Stewart",701384,Left,SAL_JAG,Undefined,1,Top,2,0,1,Fastball,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,83.01524,-0.024614,0.200033,2353.00454,179.751107,12:00,6.84282,-1.75687,5.15561,-25.04151,16.05631,-0.06484,4.73285,-1.57396,76.86667,-4.638075,0.188552,0.461403,,,,,,,,,,,,0.07921,8.36201,1.73823,50,6.82148,-0.41839,-120.63686,-0.90314,0.11849,20.13542,-19.66444,ALA_HOR,SAL_JAG,AlabamaState,D1,SWAC,20260408-AlabamaState-1,53f0c260-339f-11f1-8db7-ef418c18b371,81.69089,,,6.14857,,,,,,,9eaf5b38-c084-4629-82b0-ea326c79e789,2026-04-08,23:04:38.57,2026-04-08T18:04:38.5740000-05:00,2026-04-08T23:04:38.5740000Z,,v3,4765,471440,1cf1d9e33e014eb8bc7cd8bd27dd89f3,"Callaway, Trey",806566,Right,ALA_HOR,a4748bb2-23fb-4640-9b84-e185389a5dd8,55.34696,-121.52604,10.06771,6.84219,-0.03476,-9.83222,1.75681,-0.42362,0.05924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-08,18:04:59.55,3,3,"Dolinshek, Joe",838477,Left,ALA_HOR,"Puckett, Stewart",701384,Left,SAL_JAG,Undefined,1,Top,2,1,1,Fastball,Slider,InPlay,Undefined,GroundBall,Out,1,0,,82.25454,-2.092433,1.869168,2318.539871,174.310328,11:45,6.78241,-1.65207,5.36789,-26.31379,15.49032,-1.42126,2.62558,-0.01716,76.09722,-6.935093,1.616623,0.465351,76.32113,-2.959421,37.946907,,,,,25.57583,25.57583,35.361551,0.219679,1.19134,8.69749,1.4853,50,6.57583,-3.8397,-119.40218,-5.22963,1.73596,20.97562,-19.50036,ALA_HOR,SAL_JAG,AlabamaState,D1,SWAC,20260408-AlabamaState-1,606d2ba0-339f-11f1-8db7-ef418c18b371,80.99782,2.70735,,6.15732,,,,2.47853,2.70735,0.0311,9eaf5b38-c084-4629-82b0-ea326c79e789,2026-04-08,23:04:59.55,2026-04-08T18:04:59.5540000-05:00,2026-04-08T23:04:59.5540000Z,GroundBall,v3,4765,471440,1cf1d9e33e014eb8bc7cd8bd27dd89f3,"Callaway, Trey",806566,Right,ALA_HOR,a8150290-450b-4f99-9d53-4cb43ae36367,55.13673,-120.30118,10.48781,6.78206,-4.39386,-9.75018,1.65145,-3.9141,0.86798,329.557545,2.47972,88.08207,-20.16478,,,,,,,2.71053,-5.97132,-29.05306,,,,,,,0.03062,68.77168,-6.96699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
9,2026-04-08,18:07:44.32,1,1,"O'Dell, Hayden",1000362567,Left,SAL_JAG,"Chandler, Devin",809402,Right,ALA_HOR,Undefined,1,Bottom,0,0,0,Fastball,Sinker,InPlay,Undefined,LineDrive,Out,1,0,,87.33888,-1.856273,2.855587,1950.792371,116.584896,10:00,5.88196,-1.88923,5.48936,-29.77372,7.41721,-12.50032,1.66134,-0.25706,80.24118,-7.32002,0.629348,0.438925,82.39927,8.623027,-29.884065,2693.865473,,,,123.61474,103.25557,-34.474802,1.166502,7.15756,4.57225,1.64776,50,5.6987,-5.79255,-126.67836,-5.17272,11.65043,25.46891,-24.73178,ALA_HOR,SAL_JAG,AlabamaState,D1,SWAC,20260408-AlabamaState-1,c69e3630-339f-11f1-8db7-ef418c18b371,85.8745,6.66651,,7.0977,,,,2.74532,2.0654,0.23494,9eaf5b38-c084-4629-82b0-ea326c79e789,2026-04-08,23:07:44.32,2026-04-08T18:07:44.3220000-05:00,2026-04-08T23:07:44.3220000Z,GroundBall,v3,4765,471440,1cf1d9e33e014eb8bc7cd8bd27dd89f3,"Mathews, Duncan",835060,Right,SAL_JAG,677c440b-ea26-461e-a412-18e685a95582,55.01593,-127.68284,12.73445,5.88348,-4.19731,-12.36589,1.88527,-6.25204,5.82521,,2.74531,103.5993,-19.39501,3.75909,-1.04383,0.72258,-0.67056,0.36344,-0.07912,2.0654,18.11944,-18.56826,1.53208,-0.18126,-0.12218,0.18393,-0.1062,0.0236,0.23494,-59.53255,-1.83885,1.63361,-0.86506,0.84277,-0.80625,0.4389,-0.0961,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2026-04-08,18:08:15.90,2,1,"O'Dell, Hayden",1000362567,Left,SAL_JAG,"Divine, Breydon",1000214984,Right,ALA_HOR,Undefined,1,Bottom,1,0,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.74445,0.4783,2.731356,1862.526211,125.264863,10:15,5.58845,-2.05615,5.6454,-34.20683,9.05063,-10.88355,3.18459,-0.4132,73.9448,-5.84551,0.789321,0.473371,,,,,,,,,,,,6.2667,4.86925,1.8311,50,5.60735,-5.15968,-117.15994,-0.12378,8.72098,21.88264,-25.39783,ALA_HOR,SAL_JAG,AlabamaState,D1,SWAC,20260408-AlabamaState-1,d96668a0-339f-11f1-8db7-ef418c18b371,79.62554,,,6.79965,,,,,,,9eaf5b38-c084-4629-82b0-ea326c79e789,2026-04-08,23:08:15.90,2026-04-08T18:08:15.9080000-05:00,2026-04-08T23:08:15.9080000Z,,v3,4765,471440,1cf1d9e33e014eb8bc7cd8bd27dd89f3,"Mathews, Duncan",835060,Right,SAL_JAG,3bd72c30-5837-4618-a7de-51564a8ec859,54.85765,-118.06375,10.94132,5.5908,0.92521,-12.69891,2.05165,-5.51988,4.36049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
