PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-08,18:04:59.26,1,1,"Lirette, Luke",10030518,Right,SOU_LIO,"Amedee, Lee",822964,Left,LOU_CAJ,Undefined,1,Top,0,0,0,Undefined,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.68981,-1.569973,-3.735656,2096.836618,221.757216,1:30,5.4699,2.15305,5.64952,-15.4915,19.88513,16.66619,2.71118,0.0528,81.30241,-4.538659,-0.765919,0.428085,,,,,,,,,,,,-9.5276,10.88993,-1.84678,50,5.32697,7.74019,-129.88032,-4.01176,-16.17671,28.73077,-13.6843,SOU_LIO,LOU_CAJ,AlumniField,D1,SLAND,20260408-AlumniField-1,6ee739a0-339f-11f1-810a-530e6c5bd844,88.04902,,,8.3874,,,,,,,6012049e-2bdd-4f8b-ae31-c6e1cd13bc56,2026-04-08,23:04:59.26,2026-04-08T18:04:59.2698368-05:00,2026-04-08T23:04:59.2698368Z,,v3,471445,5075,,"Priester, Blaise",700254,Right,SOU_LIO,5f9dac71-dc08-44d9-b004-7a6cbdb1fbf5,54.84602,-130.94791,14.36539,5.46659,-3.50327,-6.84215,-2.14557,8.3413,-8.08835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-08,18:05:13.10,1,2,"Lirette, Luke",10030518,Right,SOU_LIO,"Amedee, Lee",822964,Left,LOU_CAJ,Undefined,1,Top,0,0,1,Undefined,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,85.77586,-0.025371,-3.960244,1445.573659,250.255825,2:15,5.15642,2.45753,5.89839,-31.63699,6.49583,14.66221,2.49639,-0.0029,78.29139,-5.895678,-1.335026,0.444448,95.7203,-33.911161,71.985715,,,,,4.91036,4.8815,38.551078,0.034103,-8.7193,3.66579,-2.14746,50,5.13609,8.03142,-124.37318,-1.09523,-13.6226,25.54118,-26.4468,SOU_LIO,LOU_CAJ,AlumniField,D1,SLAND,20260408-AlumniField-1,77197610-339f-11f1-810a-530e6c5bd844,84.8073,2.67657,,7.48447,,,,2.60887,2.67657,-0.72611,6012049e-2bdd-4f8b-ae31-c6e1cd13bc56,2026-04-08,23:05:13.10,2026-04-08T18:05:13.1041792-05:00,2026-04-08T23:05:13.1041792Z,GroundBall,v3,471445,5075,,"Priester, Blaise",700254,Right,SOU_LIO,b9313fb9-334b-4b22-893c-85bc3a8dd4f2,54.60008,-125.31429,12.77059,5.15849,-0.12075,-13.2234,-2.45264,8.53337,-6.8113,180,2.60847,36.10525,,,,,,,,2.67745,-78.4854,,,,,,,,-0.72736,111.02633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
3,2026-04-08,18:05:44.14,1,3,"Lirette, Luke",10030518,Right,SOU_LIO,"Amedee, Lee",822964,Left,LOU_CAJ,Undefined,1,Top,0,0,2,Undefined,Sinker,InPlay,Undefined,LineDrive,Double,0,0,,89.74012,-1.261082,-3.051896,2236.889801,223.82206,1:30,5.42809,2.31083,5.92466,-16.38784,18.38399,16.54879,2.89046,0.85545,81.72182,-4.393581,-0.084426,0.424409,92.46864,17.61864,-33.270081,2541.50228,,,,,93.66766,,,-9.36693,10.12729,-2.07613,50,5.3179,6.24274,-130.18734,-3.33939,-16.03564,27.97169,-14.83673,SOU_LIO,LOU_CAJ,AlumniField,D1,SLAND,20260408-AlumniField-1,899cfe60-339f-11f1-810a-530e6c5bd844,88.81149,26.65864,,8.0183,,,,0.98585,2.78311,-0.81785,6012049e-2bdd-4f8b-ae31-c6e1cd13bc56,2026-04-08,23:05:44.14,2026-04-08T18:05:44.1456128-05:00,2026-04-08T23:05:44.1456128Z,,v3,471445,5075,,"Priester, Blaise",700254,Right,SOU_LIO,84634b83-5544-4c7c-8ab2-1f50c91a8ed8,54.57229,-131.16605,13.98584,5.42566,-2.82027,-7.41837,-2.30438,6.80382,-8.01782,124.650487,0.98585,108.0725,-19.27426,3.81414,-0.77136,0.13343,-0.02265,0.00387,-0.00046,2.78311,41.04959,-13.60956,0.40227,0.04683,-0.01984,0.00772,-0.00159,0.00016,-0.81785,-70.90961,-1.53327,1.38359,-0.49733,0.136,-0.03364,0.00708,-0.00095,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
4,2026-04-08,18:06:35.29,2,1,"Lirette, Luke",10030518,Right,SOU_LIO,"Hernandez, Rigoberto",1000231204,Left,LOU_CAJ,Undefined,1,Top,0,0,0,Undefined,Changeup,InPlay,Undefined,Bunt,Single,0,0,,85.25574,-1.168229,-4.665777,1535.823597,262.69091,2:45,5.19156,2.48911,6.00267,-34.58037,3.80292,20.21233,1.22374,-0.15901,78.25396,-7.554333,-1.039786,0.445905,,,,,,,,,,,,-11.76839,2.60134,-2.13316,50,5.08026,9.30362,-123.57103,-3.6597,-18.21769,24.35605,-28.14712,SOU_LIO,LOU_CAJ,AlumniField,D1,SLAND,20260408-AlumniField-1,a81cc370-339f-11f1-810a-530e6c5bd844,84.53014,,,7.00178,,,,,,,6012049e-2bdd-4f8b-ae31-c6e1cd13bc56,2026-04-08,23:06:35.29,2026-04-08T18:06:35.2906240-05:00,2026-04-08T23:06:35.2906240Z,,v3,471445,5075,,"Priester, Blaise",700254,Right,SOU_LIO,e4305da2-22fe-4d84-889f-4f95dd71261f,54.49705,-124.45426,12.17803,5.19446,-2.63901,-14.07356,-2.48251,9.96425,-9.10885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-08,18:07:18.15,3,1,"Lirette, Luke",10030518,Right,SOU_LIO,"Markle, Drew",1000115332,Right,LOU_CAJ,Undefined,1,Top,0,0,0,Undefined,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,78.77992,0.543904,-4.768693,2568.846962,33.067731,7:00,5.24027,2.49841,5.68895,-51.92633,-6.40906,-5.05193,1.42177,-2.37723,72.82419,-8.885414,-5.66746,0.485579,,,,,,,,,,,,1.25299,-2.9626,-2.09353,50,5.25377,9.71269,-114.12196,-0.64144,1.6545,20.75543,-36.08601,SOU_LIO,LOU_CAJ,AlumniField,D1,SLAND,20260408-AlumniField-1,c19a2f40-339f-11f1-810a-530e6c5bd844,77.62378,,,5.95573,,,,,,,6012049e-2bdd-4f8b-ae31-c6e1cd13bc56,2026-04-08,23:07:18.15,2026-04-08T18:07:18.1571584-05:00,2026-04-08T23:07:18.1571584Z,,v3,471445,5075,,"Priester, Blaise",700254,Right,SOU_LIO,e5b68fbe-1684-4415-9b7a-e716f25c6509,54.80994,-114.99342,10.37772,5.2489,0.87371,-18.043,-2.49988,9.64323,0.82725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-08,18:07:33.90,3,2,"Lirette, Luke",10030518,Right,SOU_LIO,"Markle, Drew",1000115332,Right,LOU_CAJ,Undefined,1,Top,0,1,0,Undefined,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,79.31256,0.29252,-3.970893,2630.109091,43.655332,7:30,5.26026,2.59167,5.23758,-50.19329,-4.62504,-5.7052,1.35308,-1.62185,73.30607,-8.761543,-4.979459,0.485851,,,,,,,,,,,,1.77118,-1.96248,-2.22168,50,5.24973,8.20877,-114.93647,-1.19571,2.37457,20.85973,-34.80506,SOU_LIO,LOU_CAJ,AlumniField,D1,SLAND,20260408-AlumniField-1,cafd2380-339f-11f1-810a-530e6c5bd844,77.58032,,,6.00649,,,,,,,6012049e-2bdd-4f8b-ae31-c6e1cd13bc56,2026-04-08,23:07:33.90,2026-04-08T18:07:33.9024384-05:00,2026-04-08T23:07:33.9024384Z,,v3,471445,5075,,"Priester, Blaise",700254,Right,SOU_LIO,9db5d642-a103-457c-8192-2d79b6c8cb31,55.26089,-115.88733,10.42987,5.26808,0.39083,-17.40253,-2.5934,8.10053,1.18728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-08,18:07:56.95,3,3,"Lirette, Luke",10030518,Right,SOU_LIO,"Markle, Drew",1000115332,Right,LOU_CAJ,Undefined,1,Top,0,1,1,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.54605,-1.805356,-4.438514,2238.75481,214.926242,1:15,5.36165,2.16524,6.18461,-15.47249,18.97611,12.50922,2.39976,-0.89878,82.12128,-4.767968,-2.190956,0.422432,,,,,,,,,,,,-7.70867,10.66008,-1.83639,50,5.2172,9.58303,-129.82027,-4.52428,-13.21908,25.94513,-13.89376,SOU_LIO,LOU_CAJ,AlumniField,D1,SLAND,20260408-AlumniField-1,d8c2ae90-339f-11f1-810a-530e6c5bd844,89.22718,,,7.42477,,,,,,,6012049e-2bdd-4f8b-ae31-c6e1cd13bc56,2026-04-08,23:07:56.95,2026-04-08T18:07:56.9506816-05:00,2026-04-08T23:07:56.9506816Z,,v3,471445,5075,,"Priester, Blaise",700254,Right,SOU_LIO,c701f2c5-56b5-45d0-8df4-4c54d15b70d8,54.31387,-130.67957,12.97256,5.35942,-4.06412,-6.94688,-2.16103,10.02084,-6.60954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-08,18:08:18.70,3,4,"Lirette, Luke",10030518,Right,SOU_LIO,"Markle, Drew",1000115332,Right,LOU_CAJ,Undefined,1,Top,0,1,2,Undefined,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,79.45789,0.08424,-5.007476,2589.375601,64.967512,8:15,5.18011,2.2525,5.40449,-48.85129,-3.17799,-9.95193,1.1884,-3.28057,72.89506,-8.75924,-6.765831,0.48641,,,,,,,,,,,,3.49193,-1.16382,-1.79852,50,5.15362,10.46343,-114.89113,-1.51757,4.63093,22.8414,-33.7175,SOU_LIO,LOU_CAJ,AlumniField,D1,SLAND,20260408-AlumniField-1,e5abbc50-339f-11f1-810a-530e6c5bd844,77.49107,,,6.56283,,,,,,,6012049e-2bdd-4f8b-ae31-c6e1cd13bc56,2026-04-08,23:08:18.70,2026-04-08T18:08:18.7023872-05:00,2026-04-08T23:08:18.7023872Z,,v3,471445,5075,,"Priester, Blaise",700254,Right,SOU_LIO,cebdf36a-fba1-4ec4-936a-eb2055b76470,55.09264,-115.89917,11.4207,5.18776,-0.02954,-16.85875,-2.25579,10.25905,2.31547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-08,18:08:37.67,3,5,"Lirette, Luke",10030518,Right,SOU_LIO,"Markle, Drew",1000115332,Right,LOU_CAJ,Undefined,1,Top,0,2,2,Undefined,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,79.11056,-0.172369,-3.686394,2620.633773,65.81492,8:15,5.23551,2.31821,5.45915,-48.47865,-2.75437,-9.3706,1.03395,-1.91789,72.70983,-8.969089,-5.350633,0.486681,,,,,,,,,,,,3.63669,-0.88941,-1.98659,50,5.18718,7.75378,-114.62494,-2.00002,4.81075,22.31988,-33.35059,SOU_LIO,LOU_CAJ,AlumniField,D1,SLAND,20260408-AlumniField-1,f1155600-339f-11f1-810a-530e6c5bd844,77.44786,,,6.40073,,,,,,,6012049e-2bdd-4f8b-ae31-c6e1cd13bc56,2026-04-08,23:08:37.67,2026-04-08T18:08:37.6707584-05:00,2026-04-08T23:08:37.6707584Z,,v3,471445,5075,,"Priester, Blaise",700254,Right,SOU_LIO,f02111c3-258a-49de-b2ce-31e46b5ba5f9,55.03829,-115.60184,11.15994,5.24277,-0.54033,-16.6753,-2.32135,7.54322,2.40537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-08,18:08:54.54,3,6,"Lirette, Luke",10030518,Right,SOU_LIO,"Markle, Drew",1000115332,Right,LOU_CAJ,Undefined,1,Top,0,3,2,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.668,-0.764474,-2.526307,2256.019081,219.645016,1:15,5.32468,2.22596,6.23897,-18.24139,16.2891,12.52969,3.09869,0.93836,81.34551,-4.257128,-0.265056,0.422934,,,,,,,,,,,,-7.36378,9.06063,-2.04419,50,5.25877,5.25411,-130.18797,-2.25533,-12.52888,29.53714,-16.75814,SOU_LIO,LOU_CAJ,AlumniField,D1,SLAND,20260408-AlumniField-1,fb128e70-339f-11f1-810a-530e6c5bd844,89.12129,,,8.32249,,,,,,,6012049e-2bdd-4f8b-ae31-c6e1cd13bc56,2026-04-08,23:08:54.54,2026-04-08T18:08:54.5452032-05:00,2026-04-08T23:08:54.5452032Z,,v3,471445,5075,,"Priester, Blaise",700254,Right,SOU_LIO,a7e94421-1456-4bf5-9c4e-82c0c6712785,54.25905,-131.15071,14.76857,5.32337,-1.70912,-8.37907,-2.2221,5.66248,-6.26444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
