PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-08,16:01:52.15,1,1,"Harrison, Drew",1000154995,Right,PEA_RIV,"Jackson, Graham",10311942,Right,MER_COM1,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.20642,0.49623,-0.899408,2309.891082,212.379128,1:00,5.43594,1.95948,5.65018,-19.86989,13.8719,8.15044,4.243,1.79975,83.50507,-3.229706,0.556606,0.418076,,,,,,,,,,,,-4.36008,7.21335,-1.88846,50,5.46544,1.71442,-132.4935,0.4803,-7.78157,27.24032,-19.30006,PEA_RIV,MER_COM1,DubHerringPark,JUCO,NJCAA,20260408-DubHerringPark-1,c9c31bb0-3385-11f1-87a5-2fed703dbaa1,90.1569,,,7.70135,,,,,,,3337bc30-828c-4c1b-9dcc-120ce235ef31,2026-04-08,20:01:52.15,2026-04-08T16:01:52.1502720-04:00,2026-04-08T20:01:52.1502720Z,,v3,201595,643-147447,,"Clements, Coy",1000390607,Right,PEA_RIV,c6a2c3c5-b66b-40a1-8cd5-b1151f9d1588,54.84624,-133.48616,13.62016,5.43512,1.1836,-9.65003,-1.9561,1.99798,-3.89079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-08,16:02:04.22,1,2,"Harrison, Drew",1000154995,Right,PEA_RIV,"Jackson, Graham",10311942,Right,MER_COM1,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.70106,-1.91871,-4.022581,2220.387485,219.846795,1:15,5.37741,1.85435,5.80281,-19.99926,14.99284,11.56757,1.9213,-0.92889,81.95184,-5.675966,-1.956529,0.425752,,,,,,,,,,,,-7.06961,8.53784,-1.53085,50,5.20766,8.65205,-129.95429,-5.00258,-12.08476,27.33759,-17.5795,PEA_RIV,MER_COM1,DubHerringPark,JUCO,NJCAA,20260408-DubHerringPark-1,d0fd6390-3385-11f1-87a5-2fed703dbaa1,88.53147,,,7.74921,,,,,,,3337bc30-828c-4c1b-9dcc-120ce235ef31,2026-04-08,20:02:04.22,2026-04-08T16:02:04.2203136-04:00,2026-04-08T20:02:04.2203136Z,,v3,201595,643-147447,,"Clements, Coy",1000390607,Right,PEA_RIV,94979e4f-e60f-4806-91cb-9cced8467f13,54.69531,-130.93829,13.6688,5.37633,-4.36982,-8.78975,-1.8501,9.08703,-6.04238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-08,16:02:17.72,1,3,"Harrison, Drew",1000154995,Right,PEA_RIV,"Jackson, Graham",10311942,Right,MER_COM1,Undefined,1,Top,0,1,1,Curveball,Curveball,InPlay,Undefined,FlyBall,Out,1,0,,73.12811,1.858469,0.297803,2620.870306,66.68459,8:15,5.69019,1.52766,4.78412,-60.82834,-5.99677,-18.1056,2.38324,0.30112,66.91886,-9.09032,-2.890589,0.53295,83.47223,31.005963,-10.692239,4380.788017,106.61624,56.79837,-27.07352,300.18326,292.36465,-21.421158,4.664722,9.05508,-3.07386,-1.54043,50,5.82223,0.15235,-106.0303,1.34368,10.22324,19.52811,-35.64445,PEA_RIV,MER_COM1,DubHerringPark,JUCO,NJCAA,20260408-DubHerringPark-1,d91a1c30-3385-11f1-87a5-2fed703dbaa1,70.72411,69.31879,,6.20926,,,,2.9648,2.61696,-0.36103,3337bc30-828c-4c1b-9dcc-120ce235ef31,2026-04-08,20:02:17.72,2026-04-08T16:02:17.7275392-04:00,2026-04-08T20:02:17.7275392Z,FlyBall,v3,201595,643-147447,,"Clements, Coy",1000390607,Right,PEA_RIV,4b28db1d-aea4-4ddb-93f4-7eb84558d16e,55.71643,-107.07794,9.76406,5.69885,3.25594,-17.82222,-1.53389,-0.39611,5.11162,151.362197,2.96496,103.11233,-19.51639,4.30035,-0.88751,0.17546,-0.03146,0.00398,-0.00023,2.61803,63.03175,-16.19369,0.55278,0.15955,-0.12251,0.03811,-0.00556,0.00031,-0.36102,-19.46538,-2.69764,0.92507,-0.22173,0.03572,-0.00335,0.00016,-0,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
4,2026-04-08,16:02:50.76,2,1,"Harrison, Drew",1000154995,Right,PEA_RIV,"Fox, Chris",10161572,Right,MER_COM1,Undefined,1,Top,1,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,77.05678,1.30023,0.246964,2530.659889,91.557798,9:00,5.56312,1.63855,4.89322,-46.9853,2.25358,-22.11407,2.87778,0.02931,70.18781,-7.228788,-3.651477,0.50504,,,,,,,,,,,,10.93926,1.22878,-1.64328,50,5.65133,0.43805,-111.70542,0.87093,13.69814,21.80746,-30.63535,PEA_RIV,MER_COM1,DubHerringPark,JUCO,NJCAA,20260408-DubHerringPark-1,ecc13cf0-3385-11f1-87a5-2fed703dbaa1,74.63261,,,6.86897,,,,,,,3337bc30-828c-4c1b-9dcc-120ce235ef31,2026-04-08,20:02:50.76,2026-04-08T16:02:50.7680256-04:00,2026-04-08T20:02:50.7680256Z,,v3,201595,643-147447,,"Clements, Coy",1000390607,Right,PEA_RIV,a404a421-d7e0-4177-b6f3-07d80980f27a,55.6043,-112.7942,10.90373,5.56966,2.40046,-15.31768,-1.64808,-0.24585,6.84907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-08,16:03:03.01,2,2,"Harrison, Drew",1000154995,Right,PEA_RIV,"Fox, Chris",10161572,Right,MER_COM1,Undefined,1,Top,1,0,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,78.64992,0.237721,0.286357,2566.818484,88.585269,9:00,5.5385,1.62283,4.9909,-46.04526,1.02071,-22.49533,1.92585,0.0186,71.80461,-8.11091,-3.690065,0.49377,,,,,,,,,,,,11.18544,0.92811,-1.63137,50,5.52422,0.37274,-114.07071,-1.17884,14.60237,22.78729,-30.96244,PEA_RIV,MER_COM1,DubHerringPark,JUCO,NJCAA,20260408-DubHerringPark-1,f41415e0-3385-11f1-87a5-2fed703dbaa1,76.33599,,,6.8453,,,,,,,3337bc30-828c-4c1b-9dcc-120ce235ef31,2026-04-08,20:03:03.01,2026-04-08T16:03:03.0171648-04:00,2026-04-08T20:03:03.0171648Z,,v3,201595,643-147447,,"Clements, Coy",1000390607,Right,PEA_RIV,a32b6ca2-87c6-406c-a967-eb9239631bbc,55.50705,-115.16556,11.39364,5.54512,0.30881,-15.48122,-1.63242,-0.32886,7.30118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-08,16:03:19.62,2,3,"Harrison, Drew",1000154995,Right,PEA_RIV,"Fox, Chris",10161572,Right,MER_COM1,Undefined,1,Top,1,0,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.92289,0.080086,-2.600421,2636.294875,74.807419,8:30,5.46104,1.55681,5.08885,-48.67589,-4.06177,-20.53174,1.48027,-2.60668,73.80787,-8.710392,-6.225916,0.480737,,,,,,,,,,,,9.47398,-1.69626,-1.29365,50,5.43014,6.17113,-117.23699,-1.60702,12.97916,25.40266,-34.49789,PEA_RIV,MER_COM1,DubHerringPark,JUCO,NJCAA,20260408-DubHerringPark-1,fdf20680-3385-11f1-87a5-2fed703dbaa1,78.40553,,,7.11502,,,,,,,3337bc30-828c-4c1b-9dcc-120ce235ef31,2026-04-08,20:03:19.62,2026-04-08T16:03:19.6291584-04:00,2026-04-08T20:03:19.6291584Z,,v3,201595,643-147447,,"Clements, Coy",1000390607,Right,PEA_RIV,c60b63a8-cd7f-48c1-b8d5-600787d1bc8d,55.41073,-118.40357,12.70133,5.46756,-0.02275,-17.24894,-1.56336,5.57508,6.48958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-08,16:03:36.38,2,4,"Harrison, Drew",1000154995,Right,PEA_RIV,"Fox, Chris",10161572,Right,MER_COM1,Undefined,1,Top,1,1,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.41265,0.014592,-3.115716,2257.370778,222.208159,1:30,5.47138,1.77451,5.58954,-19.2517,14.47225,12.19509,3.88072,-0.12135,83.68865,-3.59356,-0.94359,0.417966,76.59097,32.782087,175.868734,3263.392054,,,,,51.32746,,,-7.03902,7.64307,-1.51525,50,5.46027,6.68239,-132.65286,-0.61769,-12.59626,27.23766,-18.49684,PEA_RIV,MER_COM1,DubHerringPark,JUCO,NJCAA,20260408-DubHerringPark-1,0838f220-3386-11f1-87a5-2fed703dbaa1,90.18069,29.90908,,7.724,,,,1.86664,3.86972,0.11396,3337bc30-828c-4c1b-9dcc-120ce235ef31,2026-04-08,20:03:36.38,2026-04-08T16:03:36.3849216-04:00,2026-04-08T20:03:36.3849216Z,,v3,201595,643-147447,,"Clements, Coy",1000390607,Right,PEA_RIV,d0cfb08c-8784-47b0-ac22-d93485498165,54.90886,-133.657,13.61883,5.47047,0.06421,-9.24842,-1.77016,7.14676,-6.29813,336.724113,1.86664,-94.19731,6.11416,0.32176,0.24325,-1.16744,1.97746,-1.41028,0.29468,3.86972,60.82207,-30.05775,3.74701,-0.12616,-1.89263,2.82676,-1.29779,-0.17168,0.11396,6.80374,-4.73205,0.95792,-0.02783,-0.52828,0.80634,-0.40897,-0.01717,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
8,2026-04-08,16:03:54.34,2,5,"Harrison, Drew",1000154995,Right,PEA_RIV,"Fox, Chris",10161572,Right,MER_COM1,Undefined,1,Top,1,1,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,79.87541,-0.854257,-1.41863,2916.978312,85.327127,8:45,5.52667,1.68895,5.02715,-45.78837,-0.00476,-19.22099,0.90463,-1.25161,72.92668,-9.128782,-4.81727,0.486997,,,,,,,,,,,,9.18402,0.6528,-1.53683,50,5.40813,3.65482,-115.77434,-3.36868,12.29199,24.41638,-31.30033,PEA_RIV,MER_COM1,DubHerringPark,JUCO,NJCAA,20260408-DubHerringPark-1,12b63000-3386-11f1-87a5-2fed703dbaa1,77.39767,,,6.94873,,,,,,,3337bc30-828c-4c1b-9dcc-120ce235ef31,2026-04-08,20:03:54.34,2026-04-08T16:03:54.3422976-04:00,2026-04-08T20:03:54.3422976Z,,v3,201595,643-147447,,"Clements, Coy",1000390607,Right,PEA_RIV,ae96afde-0012-49be-a752-c47e448edbed,55.47173,-116.92262,12.20819,5.53194,-1.89666,-15.65017,-1.69512,3.07675,6.14599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-08,16:04:21.12,3,1,"Harrison, Drew",1000154995,Right,PEA_RIV,"McKinley, Matthew",10249927,Left,MER_COM1,Undefined,1,Top,2,0,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,,92.86419,-0.870346,-3.07862,2624.831385,224.133853,1:30,5.49547,1.8711,5.88614,-16.37525,15.94788,14.50883,3.32147,0.21874,85.02562,-3.975075,-0.479243,0.409193,90.69554,-3.454381,-34.629104,1983.533712,,,,35.94893,34.09242,-37.731516,0.272219,-8.27611,8.7076,-1.6312,50,5.41579,6.62012,-134.8077,-2.56176,-15.28706,28.27563,-16.08996,PEA_RIV,MER_COM1,DubHerringPark,JUCO,NJCAA,20260408-DubHerringPark-1,22965db0-3386-11f1-87a5-2fed703dbaa1,92.11416,3.21407,,7.83857,,,,0.42208,3.21407,-0.51643,3337bc30-828c-4c1b-9dcc-120ce235ef31,2026-04-08,20:04:21.12,2026-04-08T16:04:21.1213824-04:00,2026-04-08T20:04:21.1213824Z,GroundBall,v3,201595,643-147447,,"Clements, Coy",1000390607,Right,PEA_RIV,948152a3-c3c9-4308-86a0-9355dd4a11c9,54.6123,-135.77168,14.13781,5.49377,-2.01322,-8.04498,-1.86578,7.14129,-7.64353,,0.423,109.21252,-23.2399,,,,,,,3.21479,-8.04964,-13.82149,,,,,,,-0.51277,-75.63107,-12.17166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
10,2026-04-08,16:04:56.41,4,1,"Harrison, Drew",1000154995,Right,PEA_RIV,"Johnson, Tyler",10119603,Right,MER_COM1,Undefined,1,Top,2,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,78.84061,0.18506,-1.038714,2797.503565,79.346242,8:45,5.51425,1.70638,4.87122,-49.21219,-2.07736,-19.45017,1.58839,-0.89747,72.0264,-8.689696,-4.468026,0.494131,,,,,,,,,,,,9.29461,-0.63535,-1.58683,50,5.49077,2.88714,-114.30025,-1.43335,12.16076,23.23119,-33.00532,PEA_RIV,MER_COM1,DubHerringPark,JUCO,NJCAA,20260408-DubHerringPark-1,37b418e0-3386-11f1-87a5-2fed703dbaa1,76.28023,,,6.81421,,,,,,,3337bc30-828c-4c1b-9dcc-120ce235ef31,2026-04-08,20:04:56.41,2026-04-08T16:04:56.4163584-04:00,2026-04-08T20:04:56.4163584Z,,v3,201595,643-147447,,"Clements, Coy",1000390607,Right,PEA_RIV,535c502b-becb-4f13-90d0-7de5662776ee,55.62738,-115.43833,11.6156,5.52139,0.18356,-16.50266,-1.71367,2.29139,6.08038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
