PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-08,15:05:27.56,1,1,"Kaler, Tanner",822634,Left,GEO_PAT,"LoBello, Nick",824588,Right,TOW_TIG,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.84016,-2.873972,2.066674,2022.847659,139.208475,10:45,5.96059,-1.49583,5.45363,-18.77592,15.78312,-12.64127,1.70136,-0.61364,82.99342,-6.382967,-0.183327,0.423109,,,,,,,,,,,,6.95268,9.10044,1.32236,50,5.69399,-4.17769,-131.64444,-7.24723,12.18547,28.27836,-16.22433,GEO_PAT,TOW_TIG,SpuhlerFieldMain,D1,A10,20260408-SpuhlerFieldMain-1,e7f7a090-337d-11f1-abab-9785e6b096e7,89.08451,,,7.84674,,,,,,,d2640bee-7d38-4cd5-94bc-792f4cc93dce,2026-04-08,19:05:27.56,2026-04-08T15:05:27.5683840-04:00,2026-04-08T19:05:27.5683840Z,,v3,471300,471469,,"Cowdrey, Vincent",1000469295,Right,GEO_PAT,906f2252-863f-4bc8-9afa-be26bf383d1a,55.04786,-132.72433,14.13918,5.95891,-6.62765,-8.11217,1.49078,-4.64303,6.09274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-08,15:05:43.89,1,2,"Kaler, Tanner",822634,Left,GEO_PAT,"LoBello, Nick",824588,Right,TOW_TIG,Undefined,1,Top,0,0,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.37349,-2.165065,2.310585,2026.180736,152.047437,11:00,5.92804,-1.57256,5.58618,-20.97442,13.68343,-6.67378,2.15567,0.03025,82.71964,-6.073242,1.120343,0.423713,80.36847,55.783885,46.862688,4918.960705,47.87735,105.77277,99.03404,181.29651,163.57282,68.424182,5.076087,4.0317,7.86559,1.37842,50,5.72823,-4.99517,-131.06547,-5.67373,7.01515,27.62295,-18.48798,GEO_PAT,TOW_TIG,SpuhlerFieldMain,D1,A10,20260408-SpuhlerFieldMain-1,f1b203a0-337d-11f1-abab-9785e6b096e7,88.95741,106.07656,,7.65385,,,,0.55746,2.17178,-0.02236,d2640bee-7d38-4cd5-94bc-792f4cc93dce,2026-04-08,19:05:43.89,2026-04-08T15:05:43.8973952-04:00,2026-04-08T19:05:43.8973952Z,Popup,v3,471300,471469,,"Cowdrey, Vincent",1000469295,Right,GEO_PAT,99157af8-ec43-4e65-a9cf-28517d0dfcc3,54.91563,-132.09741,13.81147,5.92728,-4.98305,-9.24399,1.56992,-5.25724,3.50758,209.530995,0.58808,44.53539,-16.6427,-0.48501,4.89931,-2.85125,0.77414,-0.10243,0.00531,2.18155,97.27647,-27.30866,1.79554,0.65909,-0.43446,0.11042,-0.01351,0.00064,-0.01649,48.27885,-3.46917,-0.45136,0.26087,0.0077,-0.02823,0.00624,-0.00042,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
3,2026-04-08,15:06:06.87,1,3,"Kaler, Tanner",822634,Left,GEO_PAT,"LoBello, Nick",824588,Right,TOW_TIG,Undefined,1,Top,0,0,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.37546,-2.077679,1.812673,1847.433547,98.813796,9:15,5.93402,-1.52341,5.72029,-35.97077,3.75496,-15.77308,0.99921,-1.14871,77.2831,-8.678649,-1.014763,0.453636,,,,,,,,,,,,8.59107,2.90071,1.38185,50,5.73792,-3.23685,-122.41327,-5.66971,12.96029,25.4752,-27.79808,GEO_PAT,TOW_TIG,SpuhlerFieldMain,D1,A10,20260408-SpuhlerFieldMain-1,ff64ca00-337d-11f1-abab-9785e6b096e7,83.08966,,,7.09236,,,,,,,d2640bee-7d38-4cd5-94bc-792f4cc93dce,2026-04-08,19:06:06.87,2026-04-08T15:06:06.8705280-04:00,2026-04-08T19:06:06.8705280Z,,v3,471300,471469,,"Cowdrey, Vincent",1000469295,Right,GEO_PAT,f60ba586-cc29-4e90-a907-f7977768bafe,54.78255,-123.40455,12.7376,5.93749,-4.58805,-13.89904,1.51761,-3.74115,6.48014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-08,15:06:25.42,1,4,"Kaler, Tanner",822634,Left,GEO_PAT,"LoBello, Nick",824588,Right,TOW_TIG,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.31472,-2.109034,1.430938,2025.170591,147.434371,11:00,5.99132,-1.5388,5.72563,-19.54399,15.23446,-8.963,2.39672,-0.95261,81.96417,-5.792669,-0.172995,0.42445,,,,,,,,,,,,4.98638,8.73993,1.42489,50,5.80323,-2.8761,-130.94892,-5.44992,8.58397,29.86572,-17.12839,GEO_PAT,TOW_TIG,SpuhlerFieldMain,D1,A10,20260408-SpuhlerFieldMain-1,0a72af20-337e-11f1-abab-9785e6b096e7,88.80305,,,8.35055,,,,,,,d2640bee-7d38-4cd5-94bc-792f4cc93dce,2026-04-08,19:06:25.42,2026-04-08T15:06:25.4200000-04:00,2026-04-08T19:06:25.4200000Z,,v3,471300,471469,,"Cowdrey, Vincent",1000469295,Right,GEO_PAT,6c373266-2729-402b-a133-207939083ac7,54.77442,-132.03334,14.93286,5.98982,-4.828,-8.56419,1.53497,-3.18779,4.29199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.33103,2.578183,1.039462,1.538721,-0.72814,2.17586,0.96029,-5.41516,3.86775,4.39568,74.53091,5.92512,50.25532,-5.21938,59.30085,-4.85015,4.07224,24.57285,-15.17657,4.42818,32.2237,-1.58582,High,High,High,,,High,High,High
5,2026-04-08,15:06:52.40,1,5,"Kaler, Tanner",822634,Left,GEO_PAT,"LoBello, Nick",824588,Right,TOW_TIG,Undefined,1,Top,0,2,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,90.54837,-0.898336,1.705236,2080.456105,155.126132,11:15,5.98166,-1.3227,6.08104,-17.86536,15.99473,-6.91378,3.66127,-0.32063,82.62825,-4.296338,0.460549,0.418809,,,,,,,,,,,,4.02044,8.81182,1.19433,50,5.90258,-3.62011,-131.49858,-2.58638,7.03289,28.13741,-16.75975,GEO_PAT,TOW_TIG,SpuhlerFieldMain,D1,A10,20260408-SpuhlerFieldMain-1,1a83d7e0-337e-11f1-abab-9785e6b096e7,89.99918,,,7.92012,,,,,,,d2640bee-7d38-4cd5-94bc-792f4cc93dce,2026-04-08,19:06:52.40,2026-04-08T15:06:52.4030000-04:00,2026-04-08T19:06:52.4030000Z,,v3,471300,471469,,"Cowdrey, Vincent",1000469295,Right,GEO_PAT,c8ee4c88-5904-42bb-a57c-896d7f083aff,54.41903,-132.44076,14.06871,5.97978,-2.02518,-8.37988,1.31949,-3.8556,3.51644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.60855,2.716206,1.807002,0.909204,-1.76792,3.41533,0.29711,0.94602,5.9665,6.03358,77.88005,10.05485,46.90708,1.07639,93.5991,-9.97583,5.96791,14.59429,-11.10516,6.0757,48.26462,-3.67077,High,High,High,,,High,High,High
6,2026-04-08,15:07:22.98,2,1,"Kaler, Tanner",822634,Left,GEO_PAT,"Heckelman, Brian",824547,Right,TOW_TIG,Undefined,1,Top,1,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.71662,-2.551224,1.232771,1998.8984,140.783356,10:45,5.98616,-1.36844,5.54694,-20.66867,13.94946,-10.43284,1.87737,-1.08557,82.63707,-6.409304,-0.628632,0.423471,,,,,,,,,,,,5.62162,8.1426,1.26868,50,5.75152,-2.35838,-131.507,-6.56484,9.79336,29.24365,-17.98887,GEO_PAT,TOW_TIG,SpuhlerFieldMain,D1,A10,20260408-SpuhlerFieldMain-1,2cbff6f0-337e-11f1-abab-9785e6b096e7,89.00838,,,8.07955,,,,,,,d2640bee-7d38-4cd5-94bc-792f4cc93dce,2026-04-08,19:07:22.98,2026-04-08T15:07:22.9882368-04:00,2026-04-08T19:07:22.9882368Z,,v3,471300,471469,,"Cowdrey, Vincent",1000469295,Right,GEO_PAT,75f77065-75ed-4eef-a21c-c192318bf223,54.95342,-132.60393,14.62182,5.98512,-5.89007,-8.99444,1.36404,-2.72573,4.89668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-08,15:07:40.53,2,2,"Kaler, Tanner",822634,Left,GEO_PAT,"Heckelman, Brian",824547,Right,TOW_TIG,Undefined,1,Top,1,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.22307,-2.271974,1.392007,2069.000163,158.005616,11:15,5.94659,-1.44758,5.53437,-19.39371,15.57647,-5.82032,2.20492,-0.63114,82.21042,-5.907144,0.354258,0.425618,,,,,,,,,,,,3.3378,8.87107,1.33064,50,5.73648,-2.9171,-130.81251,-5.83407,5.76042,28.62782,-16.86425,GEO_PAT,TOW_TIG,SpuhlerFieldMain,D1,A10,20260408-SpuhlerFieldMain-1,3735e1d0-337e-11f1-abab-9785e6b096e7,88.55924,,,8.01264,,,,,,,d2640bee-7d38-4cd5-94bc-792f4cc93dce,2026-04-08,19:07:40.53,2026-04-08T15:07:40.5344768-04:00,2026-04-08T19:07:40.5344768Z,,v3,471300,471469,,"Cowdrey, Vincent",1000469295,Right,GEO_PAT,4c556cda-28dd-434c-8cf5-54ce49b60878,54.96581,-131.89478,14.31391,5.94499,-5.19652,-8.43212,1.44504,-3.13488,2.88021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-08,15:07:59.23,2,3,"Kaler, Tanner",822634,Left,GEO_PAT,"Heckelman, Brian",824547,Right,TOW_TIG,Undefined,1,Top,1,1,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.74979,-1.457562,2.694162,2074.363063,151.943013,11:00,5.98899,-1.47486,5.89162,-20.47332,13.69583,-6.68792,2.92768,0.4713,82.50709,-5.314322,1.495383,0.420715,,,,,,,,,,,,4.23681,7.78792,1.26148,50,5.85966,-5.90773,-131.60689,-4.00851,7.38325,29.59987,-18.60252,GEO_PAT,TOW_TIG,SpuhlerFieldMain,D1,A10,20260408-SpuhlerFieldMain-1,4256d9c0-337e-11f1-abab-9785e6b096e7,89.59129,,,8.2427,,,,,,,d2640bee-7d38-4cd5-94bc-792f4cc93dce,2026-04-08,19:07:59.23,2026-04-08T15:07:59.2315904-04:00,2026-04-08T19:07:59.2315904Z,,v3,471300,471469,,"Cowdrey, Vincent",1000469295,Right,GEO_PAT,08ae37f3-823c-4537-9063-9e35e3a1d550,54.60969,-132.63961,14.79994,5.98819,-3.35949,-9.30126,1.47209,-6.16533,3.69163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-08,15:08:24.56,2,4,"Kaler, Tanner",822634,Left,GEO_PAT,"Heckelman, Brian",824547,Right,TOW_TIG,Undefined,1,Top,1,1,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.64401,-2.534677,2.409018,1704.314638,89.088168,9:00,5.95023,-1.57053,5.36153,-38.97022,1.06882,-15.22611,0.32206,-0.57888,77.69891,-9.60593,-0.302946,0.455421,,,,,,,,,,,,8.42343,1.61488,1.36541,50,5.69417,-4.52636,-122.67505,-6.85101,12.7722,25.40022,-29.72545,GEO_PAT,TOW_TIG,SpuhlerFieldMain,D1,A10,20260408-SpuhlerFieldMain-1,517b3180-337e-11f1-abab-9785e6b096e7,82.76389,,,6.94509,,,,,,,d2640bee-7d38-4cd5-94bc-792f4cc93dce,2026-04-08,19:08:24.56,2026-04-08T15:08:24.5619712-04:00,2026-04-08T19:08:24.5619712Z,,v3,471300,471469,,"Cowdrey, Vincent",1000469295,Right,GEO_PAT,59127e77-51ec-4f56-8ddd-7af53fce9e1e,55.14232,-123.7352,12.70011,5.95422,-5.61034,-14.86273,1.56546,-5.05945,6.3861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-08,15:08:44.54,2,5,"Kaler, Tanner",822634,Left,GEO_PAT,"Heckelman, Brian",824547,Right,TOW_TIG,Undefined,1,Top,1,2,2,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.31881,-3.7879,1.439643,2003.796934,142.617108,10:45,6.00649,-1.39279,5.78133,-18.70836,16.20784,-11.42383,0.9167,-1.00496,81.84005,-7.315491,-0.607433,0.42529,,,,,,,,,,,,6.29678,9.82819,1.28103,50,5.68231,-2.79202,-130.74539,-9.24211,10.76414,30.76401,-15.3731,GEO_PAT,TOW_TIG,SpuhlerFieldMain,D1,A10,20260408-SpuhlerFieldMain-1,5d619c50-337e-11f1-abab-9785e6b096e7,88.62766,,,8.47877,,,,,,,d2640bee-7d38-4cd5-94bc-792f4cc93dce,2026-04-08,19:08:44.54,2026-04-08T15:08:44.5422080-04:00,2026-04-08T19:08:44.5422080Z,,v3,471300,471469,,"Cowdrey, Vincent",1000469295,Right,GEO_PAT,76f00795-5845-4075-acd6-36be4891461d,54.71943,-131.85119,15.38201,6.00458,-8.68954,-7.68655,1.38834,-3.17893,5.38207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
