PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-07,16:07:17.54,1,1,"Scott, Brady",10130738,Left,Wal_Sen,"Black, Caden",10117635,Left,PEL_STA,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.36266,-0.693021,2.192656,1982.947138,144.678639,10:45,5.41473,-1.71374,6.11751,-21.7934,14.63891,-9.52544,2.95738,-0.47928,79.55726,-4.81798,0.476977,0.434425,68.94029,36.706971,-150.564089,4654.52464,-101.48527,43.1066,-42.4351,187.27723,82.56045,-161.047847,3.069747,5.57662,8.12205,1.55062,50,5.35021,-4.47753,-126.84709,-2.17988,9.04435,27.05709,-19.00145,Wal_Sen,PEL_STA,WaltersStateCC,JUCO,NJCAA,20260407-WaltersStateCC-2,607a1fa0-32bd-11f1-8512-4d19f33e7522,86.76402,43.42299,,7.8054,,,,0.50559,2.92322,0.46594,13bf77ff-5b54-4560-935d-41830f08a204,2026-04-07,20:07:17.54,2026-04-07T16:07:17.5435776-04:00,2026-04-07T20:07:17.5435776Z,FlyBall,v3,643-147624,,,"Cox, Kenny",1000117572,Right,Wal_Sen,60c54cff-c2ce-40ba-8a13-3857e4127865,54.38229,-127.77843,13.52854,5.41399,-1.52582,-9.50073,1.71011,-4.78885,4.52217,49.956912,0.50548,-70.59534,2.3002,1.13297,-0.30813,-0.04698,0.08321,-0.02461,0.00233,2.92339,60.42979,-25.87664,3.00152,-0.42881,-0.03626,0.03489,-0.00568,0.00025,0.4655,-39.82109,10.54975,-2.14017,0.20269,0.11818,-0.04288,0.00245,0.00035,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
2,2026-04-07,16:07:33.04,1,2,"Scott, Brady",10130738,Left,Wal_Sen,"Black, Caden",10117635,Left,PEL_STA,Undefined,1,Top,0,0,1,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,79.62187,0.042379,3.324375,2868.741119,224.890173,1:30,5.15477,-2.3374,5.99193,-36.01659,8.39359,6.86705,2.19273,1.3192,72.47164,-6.653082,4.555284,0.479637,,,,,,,,,,,,-2.48067,4.7791,2.07151,50,5.13863,-6.96462,-115.38348,-1.0014,-3.31174,23.41598,-25.79385,Wal_Sen,PEL_STA,WaltersStateCC,JUCO,NJCAA,20260407-WaltersStateCC-2,69bfc7e0-32bd-11f1-8512-4d19f33e7522,78.58534,,,7.15023,,,,,,,13bf77ff-5b54-4560-935d-41830f08a204,2026-04-07,20:07:33.04,2026-04-07T16:07:33.0455040-04:00,2026-04-07T20:07:33.0455040Z,,v3,643-147624,,,"Cox, Kenny",1000117572,Right,Wal_Sen,ca52bd0a-177a-4c1b-abc0-4574ecdd0ea3,54.50488,-116.29411,11.70799,5.15807,0.0017,-12.89692,2.33985,-6.83582,-1.65587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-07,16:07:46.98,1,3,"Scott, Brady",10130738,Left,Wal_Sen,"Black, Caden",10117635,Left,PEL_STA,Undefined,1,Top,0,0,2,Slider,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,79.02692,1.010845,2.216633,2942.548582,262.653623,2:45,5.24934,-2.26668,5.96035,-42.16156,3.4161,13.47158,2.67405,0.91248,71.18442,-6.825549,4.633459,0.485901,63.53712,27.481832,-158.797772,2581.085598,-103.53495,18.89418,-37.15395,151.24783,44.63204,-160.876871,2.14625,-6.1828,1.85256,2.083,50,5.30628,-4.9331,-114.53344,0.73437,-8.02301,25.71013,-29.77013,Wal_Sen,PEL_STA,WaltersStateCC,JUCO,NJCAA,20260407-WaltersStateCC-2,720c1c00-32bd-11f1-8512-4d19f33e7522,77.57234,23.26675,,7.84249,,,,1.31951,2.66326,-0.89657,13bf77ff-5b54-4560-935d-41830f08a204,2026-04-07,20:07:46.98,2026-04-07T16:07:46.9852672-04:00,2026-04-07T20:07:46.9852672Z,LineDrive,v3,643-147624,,,"Cox, Kenny",1000117572,Right,Wal_Sen,86a12ddc-e47f-4dee-8e7a-28f195b6037d,54.53862,-115.54777,12.85507,5.25414,1.90887,-14.88507,2.27138,-4.61657,-4.0115,28.531321,1.31957,-77.0801,4.13126,0.28799,0.1036,-0.26596,0.18173,-0.05244,0.00551,2.66325,43.00394,-24.65523,2.76936,-0.64656,0.19708,-0.07831,0.02385,-0.00305,-0.89655,-29.90098,5.06915,-1.28678,0.41497,-0.19801,0.09861,-0.02856,0.00324,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
4,2026-04-07,16:08:05.16,1,4,"Scott, Brady",10130738,Left,Wal_Sen,"Black, Caden",10117635,Left,PEL_STA,Undefined,1,Top,0,0,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.57649,-0.991275,1.872007,2136.749635,154.212234,11:15,5.55772,-1.58625,6.1696,-15.39028,20.30796,-9.19312,3.35902,-0.62263,79.83728,-3.986296,0.214557,0.430026,64.6782,41.371109,-138.630023,4467.150387,-92.35588,45.5669,-59.75276,165.85679,66.54789,-150.843315,3.213562,5.3289,11.16894,1.44891,50,5.47466,-3.81866,-128.48887,-2.60213,8.78365,30.10726,-13.76425,Wal_Sen,PEL_STA,WaltersStateCC,JUCO,NJCAA,20260407-WaltersStateCC-2,7cda8720-32bd-11f1-8512-4d19f33e7522,87.6515,47.52136,,8.73922,,,,-0.04589,3.3471,0.57241,13bf77ff-5b54-4560-935d-41830f08a204,2026-04-07,20:08:05.16,2026-04-07T16:08:05.1618816-04:00,2026-04-07T20:08:05.1618816Z,Popup,v3,643-147624,,,"Cox, Kenny",1000117572,Right,Wal_Sen,08eb4d71-0e40-48db-bee6-e15f3d07bcd4,54.32751,-129.49891,15.05363,5.55421,-2.14036,-6.88213,1.58196,-4.11334,4.39183,46.808866,-0.04615,-53.41552,-0.19789,1.59206,-0.49589,0.07225,0.03585,-0.0149,0.00153,3.34743,62.68355,-25.32576,2.58407,-0.1952,-0.18408,0.09412,-0.01757,0.00118,0.57168,-47.02125,9.75448,-1.25282,-0.28509,0.38368,-0.13985,0.02203,-0.00128,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
5,2026-04-07,16:08:33.87,1,5,"Scott, Brady",10130738,Left,Wal_Sen,"Black, Caden",10117635,Left,PEL_STA,Undefined,1,Top,0,0,2,Fastball,Sinker,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,89.87777,-1.222527,2.973269,2230.77369,130.805474,10:15,5.44246,-1.46421,6.10819,-19.74214,14.49198,-15.55981,2.66509,-0.00892,82.37003,-4.951277,0.172804,0.421115,,,,,,,,,,,,8.80083,8.12748,1.24354,50,5.33797,-6.13003,-130.49361,-3.38574,15.22813,26.56748,-18.11098,Wal_Sen,PEL_STA,WaltersStateCC,JUCO,NJCAA,20260407-WaltersStateCC-2,8df57ec0-32bd-11f1-8512-4d19f33e7522,89.50621,,,7.50774,,,,,,,13bf77ff-5b54-4560-935d-41830f08a204,2026-04-07,20:08:33.87,2026-04-07T16:08:33.8770000-04:00,2026-04-07T20:08:33.8770000Z,,v3,643-147624,,,"Cox, Kenny",1000117572,Right,Wal_Sen,757ad9da-8700-49d5-a67c-1471a8052586,54.39207,-131.38476,13.28374,5.44135,-2.77824,-9.05549,1.45772,-6.64083,7.61407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.36561,2.515803,1.445734,1.070068,-0.6017,2.48734,0.00471,-0.55262,5.72965,-2.30249,70.19624,13.30169,-54.57799,-0.50864,69.78744,-3.45187,5.80012,22.72274,-14.65315,-2.41702,-55.03357,5.83139,High,High,High,,,High,Medium,High
6,2026-04-07,16:09:02.57,2,1,"Scott, Brady",10130738,Left,Wal_Sen,"Mitchell, Donovan",1000357168,Right,PEL_STA,Undefined,1,Top,1,0,0,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.59812,-0.79427,2.07698,2006.455703,119.01684,10:00,5.39477,-1.58807,6.16888,-25.79253,9.0991,-14.60119,2.51122,-0.88555,81.80666,-5.604034,-0.557469,0.42514,71.76947,27.762669,146.232375,2617.48712,,,,,43.57072,,,8.11091,5.22087,1.43812,50,5.32126,-4.09508,-128.84559,-2.61155,13.75791,24.50718,-23.31832,Wal_Sen,PEL_STA,WaltersStateCC,JUCO,NJCAA,20260407-WaltersStateCC-2,9f1112a0-32bd-11f1-8512-4d19f33e7522,88.65883,20.35169,,6.79146,,,,0.08942,2.40089,0.62248,13bf77ff-5b54-4560-935d-41830f08a204,2026-04-07,20:09:02.57,2026-04-07T16:09:02.5794560-04:00,2026-04-07T20:09:02.5794560Z,,v3,643-147624,,,"Cox, Kenny",1000117572,Right,Wal_Sen,adf9eb53-88f0-4148-b1ca-f23c776dcbbf,54.3332,-129.66718,12.25359,5.39571,-1.82983,-11.65916,1.58314,-4.5563,6.87896,,0.08951,-77.43628,5.67581,,,,,,,2.42126,48.4754,-24.75281,,,,,,,0.63816,51.34324,-11.01846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
7,2026-04-07,16:09:19.03,2,2,"Scott, Brady",10130738,Left,Wal_Sen,"Mitchell, Donovan",1000357168,Right,PEL_STA,Undefined,1,Top,1,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,78.95406,-0.713137,1.252252,2816.816373,246.197351,2:15,5.12695,-2.36698,6.02679,-39.00415,6.17063,10.38095,1.21594,-0.34195,71.73012,-7.956252,3.121605,0.483748,,,,,,,,,,,,-4.97162,3.84555,2.26331,50,5.05008,-2.88213,-114.57939,-2.59154,-6.50567,24.26523,-27.14188,Wal_Sen,PEL_STA,WaltersStateCC,JUCO,NJCAA,20260407-WaltersStateCC-2,a8eae490-32bd-11f1-8512-4d19f33e7522,77.91747,,,7.22394,,,,,,,13bf77ff-5b54-4560-935d-41830f08a204,2026-04-07,20:09:19.03,2026-04-07T16:09:19.0372864-04:00,2026-04-07T20:09:19.0372864Z,,v3,643-147624,,,"Cox, Kenny",1000117572,Right,Wal_Sen,fde2d087-ffc8-44a5-8e3a-7418b0976406,54.47266,-115.52271,12.13262,5.13032,-1.53638,-13.57094,2.37044,-2.62922,-3.25283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-07,16:09:32.15,2,3,"Scott, Brady",10130738,Left,Wal_Sen,"Mitchell, Donovan",1000357168,Right,PEL_STA,Undefined,1,Top,1,1,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,80.55292,0.197684,1.555712,1749.352168,104.517334,9:30,5.03499,-1.69942,6.31114,-38.70305,3.65843,-9.00268,1.99191,-1.01619,73.88907,-7.006797,-0.074083,0.468443,,,,,,,,,,,,5.15736,2.2139,1.58973,50,5.0309,-2.86323,-117.11,-0.73448,7.14863,22.51082,-29.10533,Wal_Sen,PEL_STA,WaltersStateCC,JUCO,NJCAA,20260407-WaltersStateCC-2,b0b648e0-32bd-11f1-8512-4d19f33e7522,80.46319,,,6.66385,,,,,,,13bf77ff-5b54-4560-935d-41830f08a204,2026-04-07,20:09:32.15,2026-04-07T16:09:32.1592832-04:00,2026-04-07T20:09:32.1592832Z,,v3,643-147624,,,"Cox, Kenny",1000117572,Right,Wal_Sen,e6e2a330-bd93-416b-a68c-ee6bd3b33fec,54.19033,-117.91271,11.25541,5.03858,0.30338,-14.55266,1.69637,-3.11814,3.57432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-07,16:09:48.30,2,4,"Scott, Brady",10130738,Left,Wal_Sen,"Mitchell, Donovan",1000357168,Right,PEL_STA,Undefined,1,Top,1,1,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.07662,-1.806206,2.388333,2798.833797,221.218561,1:15,5.0787,-2.57553,6.1662,-37.4366,5.40075,3.365,0.28856,-0.08769,73.50685,-8.761452,2.99566,0.471067,,,,,,,,,,,,-0.95661,3.81638,2.39271,50,4.92267,-5.02469,-117.5277,-4.83035,-1.31226,26.274,-26.9389,Wal_Sen,PEL_STA,WaltersStateCC,JUCO,NJCAA,20260407-WaltersStateCC-2,ba586900-32bd-11f1-8512-4d19f33e7522,80.01503,,,7.56976,,,,,,,13bf77ff-5b54-4560-935d-41830f08a204,2026-04-07,20:09:48.30,2026-04-07T16:09:48.3090432-04:00,2026-04-07T20:09:48.3090432Z,,v3,643-147624,,,"Cox, Kenny",1000117572,Right,Wal_Sen,35f4f412-7e15-4b47-a319-c6ada2df5c40,54.33301,-118.49242,13.137,5.08187,-3.84123,-13.46945,2.57632,-4.9765,-0.65613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-07,16:10:04.06,2,5,"Scott, Brady",10130738,Left,Wal_Sen,"Mitchell, Donovan",1000357168,Right,PEL_STA,Undefined,1,Top,1,2,2,ChangeUp,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,79.42736,0.676263,2.673584,1717.828364,81.969435,8:45,4.96921,-1.91184,6.43328,-43.08278,0.4585,-6.6489,2.00121,-0.00697,72.69388,-7.345412,1.468457,0.474922,,,,,,,,,,,,4.24902,0.47299,1.72437,50,4.99827,-5.15461,-115.37192,0.11188,5.70194,22.3427,-31.53933,Wal_Sen,PEL_STA,WaltersStateCC,JUCO,NJCAA,20260407-WaltersStateCC-2,c3c5e490-32bd-11f1-8512-4d19f33e7522,79.36556,,,6.73348,,,,,,,13bf77ff-5b54-4560-935d-41830f08a204,2026-04-07,20:10:04.06,2026-04-07T16:10:04.0680000-04:00,2026-04-07T20:10:04.0680000Z,,v3,643-147624,,,"Cox, Kenny",1000117572,Right,Wal_Sen,cda7fbac-dbb0-461d-bc9c-193e2fdbea71,54.06727,-116.15691,11.17135,4.97488,1.21998,-15.76967,1.90899,-5.35494,2.85097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.18745,2.639018,1.543168,1.09585,0.58283,1.89267,-0.01427,-1.58196,5.95552,0.47747,66.27888,6.35808,-58.49814,-1.52823,66.07311,-3.81196,6.02373,15.39999,-13.7492,0.34587,-61.04395,6.66112,High,High,High,,,High,Medium,High
