PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-09,15:00:45.32,1,1,"Learing, Graham",10902451,Right,LOW_COL,"Rowe, Mitchell",1000159929,Right,CEN_COL4,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Single,1,0,,91.11158,-2.178587,-3.364163,2108.019008,217.691116,1:15,6.27547,1.82877,5.59457,-20.28096,14.27989,10.07339,2.54681,-0.47641,82.33238,-5.990079,-1.569722,0.42312,86.12986,15.789282,32.579097,4286.34557,86.4494,20.0803,68.01825,209.62448,182.14874,43.239811,2.297566,-6.13898,8.26662,-1.5467,50,6.07542,7.2922,-131.83317,-5.7006,-10.67364,31.18369,-17.80114,LOW_COL,CEN_COL4,DavidStory,JUCO,NJCAA,20260409-DavidStory-2,8f75de40-345f-11f1-a2fc-85588862f93c,89.08217,20.09252,,8.7792,,,,0.16775,2.4319,0.57288,70160c7a-8fad-495d-8c8b-57fb2a846472,2026-04-09,22:00:45.32,2026-04-09T15:00:45.3220000-07:00,2026-04-09T22:00:45.3220000Z,LineDrive,v3,,,,"Kennedy, Jaylen",10317076,Right,LOW_COL,3a7887a9-68d6-453e-9611-e048d0296783,54.90175,-132.98757,15.59185,6.27426,-5.04161,-8.90057,-1.82396,7.68733,-5.33682,,0.16775,102.43005,-22.59065,4.60175,-0.97636,0.17103,-0.02813,0.00363,-0.00024,2.4319,34.37267,-18.11633,1.51624,-0.20923,0.03096,-0.00224,0.0001,-2E-05,0.57288,65.45425,0.88866,-1.96998,0.72109,-0.19614,0.04049,-0.00572,0.00037,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
2,2026-04-09,15:01:18.84,2,1,"Learing, Graham",10902451,Right,LOW_COL,"Kneisler, Brandt",10299071,Right,CEN_COL4,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.63451,-1.14406,-2.406884,2198.941983,214.224704,1:15,6.39806,1.90472,5.43625,-17.81977,16.74847,10.49398,3.84066,0.524,82.01332,-4.535779,-0.541198,0.423165,,,,,,,,,,,,-6.03303,9.15453,-1.69889,50,6.28491,5.07177,-132.58513,-3.22221,-10.52508,33.6139,-16.2033,LOW_COL,CEN_COL4,DavidStory,JUCO,NJCAA,20260409-DavidStory-2,a372e730-345f-11f1-a2fc-85588862f93c,89.07261,,,9.62119,,,,,,,70160c7a-8fad-495d-8c8b-57fb2a846472,2026-04-09,22:01:18.84,2026-04-09T15:01:18.8440000-07:00,2026-04-09T22:01:18.8440000Z,,v3,,,,"Kennedy, Jaylen",10317076,Right,LOW_COL,869c34a0-6299-4235-9138-cc61f76e1509,55.05725,-133.86114,16.80695,6.39555,-2.60712,-8.10165,-1.899,5.47131,-5.26254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-09,15:01:32.89,2,2,"Learing, Graham",10902451,Right,LOW_COL,"Kneisler, Brandt",10299071,Right,CEN_COL4,Undefined,1,Top,1,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.1206,-2.422713,-2.465698,2239.813762,220.547961,1:15,6.42019,1.71746,5.29057,-18.18714,17.33954,13.57343,2.62626,0.53191,80.92133,-5.88579,-0.058302,0.428992,63.2404,87.220303,-11.961151,,,,,,24.17226,,,-7.70004,9.96886,-1.50328,50,6.18691,5.02602,-131.61208,-6.16615,-13.09944,35.76234,-15.21484,LOW_COL,CEN_COL4,DavidStory,JUCO,NJCAA,20260409-DavidStory-2,abd13cb0-345f-11f1-a2fc-85588862f93c,87.86288,79.60264,,10.19927,,,,3.16498,2.35416,-0.5279,70160c7a-8fad-495d-8c8b-57fb2a846472,2026-04-09,22:01:32.89,2026-04-09T15:01:32.8950000-07:00,2026-04-09T22:01:32.8950000Z,,v3,,,,"Kennedy, Jaylen",10317076,Right,LOW_COL,cdbd248f-72fd-4c9f-8350-8be7617b973a,55.20398,-133.01861,17.88117,6.41766,-5.56775,-7.60742,-1.71109,5.54122,-6.54972,177.468698,3.16498,4.40044,-7.0123,2.7566,-0.72582,0.16819,-0.03683,0.00654,-0.00067,2.35416,92.6433,-26.59096,2.99962,-0.48429,0.05747,-0.00571,0.00015,3E-05,-0.5279,-0.93223,-4.57671,1.90391,-0.51471,0.12106,-0.02679,0.00479,-0.00049,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
4,2026-04-09,15:02:03.15,2,3,"Learing, Graham",10902451,Right,LOW_COL,"Kneisler, Brandt",10299071,Right,CEN_COL4,Undefined,1,Top,1,1,1,Fastball,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,78.18699,2.909958,0.6114,2246.970943,56.536678,8:00,6.36822,1.68611,4.80003,-51.94601,-2.41791,-6.87536,4.79921,1.69251,68.9136,-6.579277,-0.59765,0.506521,,,,,,,,,,,,3.54756,-1.57366,-1.74083,50,6.61436,-0.89511,-112.74141,3.80232,4.39677,27.56644,-34.1244,LOW_COL,CEN_COL4,DavidStory,JUCO,NJCAA,20260409-DavidStory-2,bde58870-345f-11f1-a2fc-85588862f93c,74.41441,,,9.27339,,,,,,,70160c7a-8fad-495d-8c8b-57fb2a846472,2026-04-09,22:02:03.15,2026-04-09T15:02:03.1560000-07:00,2026-04-09T22:02:03.1560000Z,,v3,,,,"Kennedy, Jaylen",10317076,Right,LOW_COL,d298cbbd-5207-40f9-87da-dab99c890cbd,55.69059,-114.12434,13.78322,6.38067,5.51424,-17.0622,-1.69039,-1.11568,2.19839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-09,15:02:04.15,2,4,"Learing, Graham",10902451,Right,LOW_COL,"Kneisler, Brandt",10299071,Right,CEN_COL4,Undefined,1,Top,1,1,2,Fastball,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,78.18699,2.909958,0.6114,2246.970943,56.536678,8:00,6.36822,1.68611,4.80003,-51.94601,-2.41791,-6.87536,4.79921,1.69251,68.9136,-6.579277,-0.59765,0.506521,,,,,,,,,,,,3.54756,-1.57366,-1.74083,50,6.61436,-0.89511,-112.74141,3.80232,4.39677,27.56644,-34.1244,LOW_COL,CEN_COL4,DavidStory,JUCO,NJCAA,20260409-DavidStory-2,be154b00-345f-11f1-8fc2-ad3480eb1c2c,74.41441,,,9.27339,,,,,,,70160c7a-8fad-495d-8c8b-57fb2a846472,2026-04-09,18:02:03.15,2026-04-09T15:02:04.1560000-07:00,2026-04-09T18:02:03.1560000Z,,v3,,,,"Kennedy, Jaylen",10317076,Right,LOW_COL,d298cbbd-5207-40f9-87da-dab99c890cbd,55.69059,-114.12434,13.78322,6.38067,5.51424,-17.0622,-1.69039,-1.11568,2.19839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-09,15:02:18.12,2,5,"Learing, Graham",10902451,Right,LOW_COL,"Kneisler, Brandt",10299071,Right,CEN_COL4,Undefined,1,Top,1,1,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.08464,-2.092386,-2.876676,2217.187267,216.225925,1:15,6.42085,1.62135,5.48994,-19.01426,15.28658,10.21316,2.87557,-0.22094,82.31402,-5.69422,-1.059695,0.421525,,,,,,,,,,,,-6.073,8.77914,-1.37614,50,6.22494,6.1985,-133.09685,-5.49573,-10.65068,34.50996,-16.77742,LOW_COL,CEN_COL4,DavidStory,JUCO,NJCAA,20260409-DavidStory-2,c6c4a6b0-345f-11f1-a2fc-85588862f93c,89.41916,,,9.77062,,,,,,,70160c7a-8fad-495d-8c8b-57fb2a846472,2026-04-09,22:02:18.12,2026-04-09T15:02:18.1240000-07:00,2026-04-09T22:02:18.1240000Z,,v3,,,,"Kennedy, Jaylen",10317076,Right,LOW_COL,e58c8426-ccee-4515-b414-03cebc3036f7,55.00292,-134.38777,17.25498,6.41878,-4.86813,-8.38871,-1.61546,6.59692,-5.32534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-09,15:02:36.81,2,6,"Learing, Graham",10902451,Right,LOW_COL,"Kneisler, Brandt",10299071,Right,CEN_COL4,Undefined,1,Top,1,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.23067,-3.152936,-2.735717,2402.179529,208.142468,1:00,6.26089,1.83794,5.83818,-16.92367,16.42005,8.15378,1.91388,-0.02714,83.60179,-6.364293,-1.275464,0.415603,,,,,,,,,,,,-4.9937,9.69406,-1.61966,50,5.99363,6.01742,-133.51539,-7.88143,-8.92701,31.3399,-14.84434,LOW_COL,CEN_COL4,DavidStory,JUCO,NJCAA,20260409-DavidStory-2,d1f09b20-345f-11f1-a2fc-85588862f93c,90.6934,,,8.62888,,,,,,,70160c7a-8fad-495d-8c8b-57fb2a846472,2026-04-09,22:02:36.81,2026-04-09T15:02:36.8180000-07:00,2026-04-09T22:02:36.8180000Z,,v3,,,,"Kennedy, Jaylen",10317076,Right,LOW_COL,e46b4693-b4de-43a2-93d1-b24902c6ef52,54.65855,-134.60444,15.66995,6.25854,-7.36559,-7.42217,-1.83416,6.32763,-4.46351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-09,15:02:59.98,2,7,"Learing, Graham",10902451,Right,LOW_COL,"Kneisler, Brandt",10299071,Right,CEN_COL4,Undefined,1,Top,1,2,2,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,,92.41043,-3.283785,-3.460449,2348.073624,217.632636,1:15,6.34837,1.78767,5.67082,-16.90729,16.28095,11.71237,1.86888,-0.46654,84.42598,-6.466157,-1.371322,0.414633,80.66442,13.730669,-18.427504,1702.37121,103.94924,18.40457,-35.97845,216.66538,216.30151,-20.598634,2.432055,-6.97441,9.54036,-1.50302,50,6.06,7.57634,-133.79119,-8.23986,-12.6278,29.15991,-14.90041,LOW_COL,CEN_COL4,DavidStory,JUCO,NJCAA,20260409-DavidStory-2,dfb89730-345f-11f1-a2fc-85588862f93c,90.90562,18.51249,,7.98445,,,,2.74086,2.03776,0.4353,70160c7a-8fad-495d-8c8b-57fb2a846472,2026-04-09,22:02:59.98,2026-04-09T15:02:59.9820000-07:00,2026-04-09T22:02:59.9820000Z,LineDrive,v3,,,,"Kennedy, Jaylen",10317076,Right,LOW_COL,4214dc82-acd6-4000-8562-30476daab0c2,54.82896,-134.83956,14.57996,6.34661,-7.70415,-7.45021,-1.78357,8.03034,-6.3139,160.142146,2.74086,109.03375,-17.2487,3.82553,-0.74339,0.13015,-0.02101,0.0028,-0.00019,2.03776,28.0812,-11.69563,-0.46719,0.27077,-0.07578,0.01688,-0.0022,0.00012,0.4353,-36.32882,2.55604,-0.24042,-0.02194,0.01669,-0.00422,0.0006,-4E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2026-04-09,15:03:34.33,3,1,"Learing, Graham",10902451,Right,LOW_COL,"Bykari, Jace",1000440040,Left,CEN_COL4,Undefined,1,Top,1,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.98927,-3.364077,-3.145141,2170.195424,230.953524,1:45,6.31544,2.08996,5.25866,-19.4871,15.23209,17.09265,1.52245,0.55642,82.38939,-7.0242,-0.116211,0.424088,,,,,,,,,,,,-9.59331,9.14162,-1.81476,50,5.99278,6.47779,-132.7983,-8.49392,-16.75883,34.20524,-16.20429,LOW_COL,CEN_COL4,DavidStory,JUCO,NJCAA,20260409-DavidStory-2,f434bb30-345f-11f1-a2fc-85588862f93c,88.87876,,,9.59987,,,,,,,70160c7a-8fad-495d-8c8b-57fb2a846472,2026-04-09,22:03:34.33,2026-04-09T15:03:34.3370000-07:00,2026-04-09T22:03:34.3370000Z,,v3,,,,"Kennedy, Jaylen",10317076,Right,LOW_COL,fb35561d-30b9-471d-bc11-5b3a75dbba85,55.23693,-134.14041,17.10262,6.31359,-7.85811,-8.10214,-2.08183,7.13536,-8.37941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-09,15:03:55.99,3,2,"Learing, Graham",10902451,Right,LOW_COL,"Bykari, Jace",1000440040,Left,CEN_COL4,Undefined,1,Top,1,1,0,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,91.18715,-2.279732,-2.158598,2184.055357,226.893114,1:30,6.37012,2.07088,5.16932,-21.42509,13.88721,13.37887,2.4366,1.15339,81.7381,-6.284217,0.210479,0.427695,,,,,,,,,,,,-7.34993,8.06689,-1.88027,50,6.14183,4.32122,-131.83053,-6.02044,-12.66822,33.40816,-18.27007,LOW_COL,CEN_COL4,DavidStory,JUCO,NJCAA,20260409-DavidStory-2,011d7ad0-3460-11f1-a2fc-85588862f93c,88.12924,,,9.44905,,,,,,,70160c7a-8fad-495d-8c8b-57fb2a846472,2026-04-09,22:03:55.99,2026-04-09T15:03:55.9960000-07:00,2026-04-09T22:03:55.9960000Z,,v3,,,,"Kennedy, Jaylen",10317076,Right,LOW_COL,6c92121d-bfad-4b67-be3f-89fe2981198f,55.32505,-133.17315,16.70408,6.36904,-5.2862,-9.13504,-2.06416,4.83033,-6.33411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
