PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-09,18:05:51.33,1,1,"Anzai, Keenan",1000270039,Right,CAL_AGO,"May, Jacob",10264916,Left,CSU_BAK,Undefined,1,Top,0,0,0,Fastball,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,87.25373,-1.09785,-1.68556,1771.961613,205.198971,12:45,5.86445,1.41486,6.17634,-20.80958,15.34131,6.70063,3.11589,0.41618,80.09879,-5.029737,-0.476744,0.432744,79.43351,-34.168033,26.685896,,,,,5.85114,5.85114,16.60384,0.050209,-3.94004,8.58536,-1.29087,50,5.77077,3.471,-126.8176,-3.03733,-6.43847,25.10492,-18.14467,CAL_AGO,CSU_BAK,PhilSwimleyFieldatDobbinsStadium,D1,BW,20260409-PhilSwimleyFieldatDobbinsStadium-1,6b840f60-3479-11f1-8c73-138fb275b327,87.10105,3.2974,,7.15494,,,,1.26681,3.2974,-0.50966,1e492bb5-f762-428d-8f00-bfb2ee780948,2026-04-10,01:05:51.33,2026-04-09T18:05:51.3390000-07:00,2026-04-10T01:05:51.3390000Z,GroundBall,v3,471260,471252,28978,"Burnham, Eli",10323653,Right,CAL_AGO,771586a8-9411-4c0e-80e7-7ca8f73a2a32,54.32209,-127.67034,12.55246,5.86347,-2.42101,-9.07234,-1.41249,3.6897,-3.21924,,1.26423,86.44539,,,,,,,,3.29936,-65.67312,,,,,,,,-0.51095,43.45084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
2,2026-04-09,18:06:31.57,2,1,"Anzai, Keenan",1000270039,Right,CAL_AGO,"Cloyd, Evan",809923,Right,CSU_BAK,Undefined,1,Top,1,0,0,Fastball,Four-Seam,HitByPitch,Undefined,Undefined,Undefined,0,0,,88.64275,-1.550815,-0.291904,1870.588894,219.165048,1:15,5.94389,1.54543,5.84662,-22.34249,12.84524,9.66146,2.64055,2.0793,82.0876,-5.705236,1.441764,0.42694,,,,,,,,,,,,-5.13402,7.2791,-1.52784,50,5.80456,0.2787,-128.94976,-4.2233,-8.73601,24.15441,-19.78797,CAL_AGO,CSU_BAK,PhilSwimleyFieldatDobbinsStadium,D1,BW,20260409-PhilSwimleyFieldatDobbinsStadium-1,83831890-3479-11f1-8c73-138fb275b327,88.28509,,,6.55516,,,,,,,1e492bb5-f762-428d-8f00-bfb2ee780948,2026-04-10,01:06:31.57,2026-04-09T18:06:31.5730000-07:00,2026-04-10T01:06:31.5730000Z,,v3,471260,471252,28978,"Burnham, Eli",10323653,Right,CAL_AGO,bb924a8b-bed8-465e-a865-559460f15360,54.65508,-129.8188,12.0772,5.94371,-3.51135,-9.89399,-1.54352,0.59301,-4.368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-09,18:07:16.05,3,1,"Anzai, Keenan",1000270039,Right,CAL_AGO,"Wilkes, Devon",1000436626,Left,CSU_BAK,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.97592,-0.28754,-1.412914,1868.554659,204.582508,12:45,5.8518,1.47391,6.1137,-20.49222,15.01524,6.39477,3.87818,0.70017,80.94324,-4.153955,-0.260676,0.428875,,,,,,,,,,,,-3.66276,8.15221,-1.36884,50,5.81889,2.89782,-127.9187,-1.25161,-6.11432,24.54135,-18.56537,CAL_AGO,CSU_BAK,PhilSwimleyFieldatDobbinsStadium,D1,BW,20260409-PhilSwimleyFieldatDobbinsStadium-1,9dfe9370-3479-11f1-8c73-138fb275b327,87.88669,,,7.03268,,,,,,,1e492bb5-f762-428d-8f00-bfb2ee780948,2026-04-10,01:07:16.05,2026-04-09T18:07:16.0590000-07:00,2026-04-10T01:07:16.0590000Z,,v3,471260,471252,28978,"Burnham, Eli",10323653,Right,CAL_AGO,38bee704-026b-4c33-ad42-b04e63a5c0b6,54.38405,-128.75704,12.27068,5.85081,-0.61741,-9.28269,-1.4714,3.10668,-3.05716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-09,18:07:35.23,3,2,"Anzai, Keenan",1000270039,Right,CAL_AGO,"Wilkes, Devon",1000436626,Left,CSU_BAK,Undefined,1,Top,1,1,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,77.62468,1.682657,0.04011,2266.598459,88.433334,9:00,5.6873,1.7099,5.73205,-45.42802,1.20996,-8.79154,3.46906,1.01462,71.14563,-6.676604,-1.534023,0.49152,,,,,,,,,,,,4.46406,0.62059,-1.70787,50,5.7998,0.2551,-112.73024,1.85951,5.74102,20.60685,-31.37591,CAL_AGO,CSU_BAK,PhilSwimleyFieldatDobbinsStadium,D1,BW,20260409-PhilSwimleyFieldatDobbinsStadium-1,a9776f60-3479-11f1-8c73-138fb275b327,76.68544,,,6.47905,,,,,,,1e492bb5-f762-428d-8f00-bfb2ee780948,2026-04-10,01:07:35.23,2026-04-09T18:07:35.2340000-07:00,2026-04-10T01:07:35.2340000Z,,v3,471260,471252,28978,"Burnham, Eli",10323653,Right,CAL_AGO,0a5f4074-4ec9-4e23-a438-fdb33dae9b74,54.76567,-113.59805,10.30343,5.69367,3.18084,-15.68796,-1.71352,0.01334,2.87051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-09,18:07:54.69,3,3,"Anzai, Keenan",1000270039,Right,CAL_AGO,"Wilkes, Devon",1000436626,Left,CSU_BAK,Undefined,1,Top,1,2,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.55237,-0.737717,-1.250594,1991.313595,210.79252,1:00,5.94062,1.43276,5.76726,-19.03395,16.22556,8.95252,3.66771,1.01477,81.16295,-4.347488,0.352419,0.427375,86.42923,45.113417,-39.738459,4808.301535,73.18036,97.60995,-82.12522,257.67151,101.86272,-55.401746,5.440338,-4.9352,8.8415,-1.3348,50,5.86826,2.44758,-129.94083,-2.26227,-8.36635,29.38444,-17.1856,CAL_AGO,CSU_BAK,PhilSwimleyFieldatDobbinsStadium,D1,BW,20260409-PhilSwimleyFieldatDobbinsStadium-1,b50077f0-3479-11f1-8c73-138fb275b327,88.19514,108.39076,,8.38942,,,,0.03845,3.59866,-0.99723,1e492bb5-f762-428d-8f00-bfb2ee780948,2026-04-10,01:07:54.69,2026-04-09T18:07:54.6970000-07:00,2026-04-10T01:07:54.6970000Z,FlyBall,v3,471260,471252,28978,"Burnham, Eli",10323653,Right,CAL_AGO,c40c7048-ed74-44ca-912a-193679dfd472,54.7287,-131.0058,14.69222,5.93897,-1.63942,-8.5928,-1.429,2.7508,-4.18318,151.903997,0.05077,68.5296,-21.89794,4.98193,-0.11002,-0.35392,0.11183,-0.01434,0.00069,3.58786,89.99927,-22.98074,2.30251,-0.53334,0.10308,-0.00502,-0.00125,0.00013,-0.99662,-57.19434,6.42206,-0.75972,-0.05362,0.06268,-0.01721,0.00221,-0.00011,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
6,2026-04-09,18:08:23.84,3,4,"Anzai, Keenan",1000270039,Right,CAL_AGO,"Wilkes, Devon",1000436626,Left,CSU_BAK,Undefined,1,Top,1,2,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,78.71933,2.175028,0.712268,2306.07402,77.456034,8:30,5.74336,1.70417,5.75288,-47.49286,-2.27618,-16.36276,3.81146,1.00368,72.29639,-6.545126,-2.217999,0.483973,,,,,,,,,,,,8.50193,-1.31024,-1.75328,50,5.895,-0.79628,-114.35579,2.79129,11.2764,20.77087,-33.91184,CAL_AGO,CSU_BAK,PhilSwimleyFieldatDobbinsStadium,D1,BW,20260409-PhilSwimleyFieldatDobbinsStadium-1,c6785ca0-3479-11f1-8c73-138fb275b327,77.88135,,,6.42294,,,,,,,1e492bb5-f762-428d-8f00-bfb2ee780948,2026-04-10,01:08:23.84,2026-04-09T18:08:23.8430000-07:00,2026-04-10T01:08:23.8430000Z,,v3,471260,471252,28978,"Burnham, Eli",10323653,Right,CAL_AGO,e91498b0-a18e-4f44-a4e4-f398ad9c558b,54.74709,-115.21479,10.38544,5.75056,4.19376,-16.95592,-1.7107,-1.26263,5.6382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-09,18:08:44.55,3,5,"Anzai, Keenan",1000270039,Right,CAL_AGO,"Wilkes, Devon",1000436626,Left,CSU_BAK,Undefined,1,Top,1,3,1,Fastball,Changeup,InPlay,Undefined,GroundBall,Out,2,0,,88.58079,-1.547006,-0.960375,1782.873221,220.916353,1:15,5.90935,1.49075,6.01365,-24.72112,10.30099,8.0793,2.41566,1.27431,82.06658,-6.138921,0.494186,0.425934,79.05019,-42.451378,21.086264,,,,,3.72057,1.81897,-5.190198,0.030702,-4.42012,5.99122,-1.41994,50,5.77436,1.83654,-128.83719,-4.28522,-7.51537,23.86926,-21.98742,CAL_AGO,CSU_BAK,PhilSwimleyFieldatDobbinsStadium,D1,BW,20260409-PhilSwimleyFieldatDobbinsStadium-1,d2bcc5f0-3479-11f1-8c73-138fb275b327,88.49361,2.40926,,6.51421,,,,1.24794,2.40926,-1.28411,1e492bb5-f762-428d-8f00-bfb2ee780948,2026-04-10,01:08:44.55,2026-04-09T18:08:44.5540000-07:00,2026-04-10T01:08:44.5540000Z,GroundBall,v3,471260,471252,28978,"Burnham, Eli",10323653,Right,CAL_AGO,47e15c5a-70d7-44bb-b857-82af9147a2ae,54.48595,-129.66562,11.93463,5.90984,-3.5221,-10.99371,-1.48821,2.09738,-3.75768,,1.24685,80.03889,,,,,,,,2.41032,-78.47176,,,,,,,,-1.28453,30.8624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
8,2026-04-09,18:11:15.32,1,1,"King, Ryan",1000153788,Right,CSU_BAK,"Howard, Tyler",10130459,Right,CAL_AGO,Undefined,1,Bottom,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.11717,-1.505667,-2.242651,2194.521091,195.196615,12:30,6.35897,0.68972,6.0382,-15.51713,20.99269,5.39555,3.67037,-0.9382,79.84989,-4.481412,-1.272746,0.434887,,,,,,,,,,,,-3.37355,11.5517,-0.51763,50,6.23292,4.73557,-126.50228,-3.73059,-5.48662,24.92389,-13.38677,CAL_AGO,CSU_BAK,PhilSwimleyFieldatDobbinsStadium,D1,BW,20260409-PhilSwimleyFieldatDobbinsStadium-1,2ca1ed20-347a-11f1-8c73-138fb275b327,86.67183,,,7.26728,,,,,,,1e492bb5-f762-428d-8f00-bfb2ee780948,2026-04-10,01:11:15.32,2026-04-09T18:11:15.3200000-07:00,2026-04-10T01:11:15.3200000Z,,v3,471260,471252,28978,"Morisaki, Kanoa",1000294158,Right,CSU_BAK,7e415ed1-bfb5-417a-8cc4-2f5c288ae1e6,54.45882,-127.37774,12.46195,6.3557,-3.26037,-6.69339,-0.68735,4.92829,-2.74331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-09,18:11:30.05,1,2,"King, Ryan",1000153788,Right,CSU_BAK,"Howard, Tyler",10130459,Right,CAL_AGO,Undefined,1,Bottom,0,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.84236,-1.779989,-1.137631,2122.647158,204.826427,12:45,6.33249,0.48715,5.8744,-14.8795,22.18832,9.71497,3.43848,0.24,79.34895,-4.641983,0.605172,0.438197,73.9527,40.208615,171.348822,3191.683989,,,,,60.1075,,,-5.31418,12.23481,-0.40096,50,6.18008,2.10954,-126.10602,-4.31028,-8.55343,25.7578,-12.4815,CAL_AGO,CSU_BAK,PhilSwimleyFieldatDobbinsStadium,D1,BW,20260409-PhilSwimleyFieldatDobbinsStadium-1,356bfcc0-347a-11f1-8c73-138fb275b327,86.01705,41.47135,,7.49341,,,,1.73019,3.54255,-0.22487,1e492bb5-f762-428d-8f00-bfb2ee780948,2026-04-10,01:11:30.05,2026-04-09T18:11:30.0550000-07:00,2026-04-10T01:11:30.0550000Z,,v3,471260,471252,28978,"Morisaki, Kanoa",1000294158,Right,CSU_BAK,7b1b97dd-00c6-4079-9b45-78da4591aa5f,54.62353,-127.04689,12.8789,6.3292,-3.85436,-6.24075,-0.48372,2.42197,-4.27671,337.609174,1.73019,-81.89124,4.24423,-0.92505,0.19299,-0.04531,0.0108,-0.00229,0.00031,3.54255,70.02124,-30.22488,4.43874,-1.03002,0.23438,-0.05564,0.01168,-0.00153,-0.22487,12.45971,-5.36697,1.25768,-0.26883,0.06286,-0.01494,0.00315,-0.00043,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
10,2026-04-09,18:11:48.28,1,3,"King, Ryan",1000153788,Right,CSU_BAK,"Howard, Tyler",10130459,Right,CAL_AGO,Undefined,1,Bottom,0,1,1,Fastball,Four-Seam,InPlay,Undefined,Popup,Out,1,0,,87.19094,-1.685262,-0.623259,2152.184689,207.754314,1:00,6.27606,0.86663,5.83504,-17.3995,19.2245,9.53312,3.25918,1.08174,80.13565,-4.97973,1.086211,0.435566,67.14764,43.587057,-24.729822,,99.22562,74.71095,-47.47908,195.45024,192.27824,-25.140786,4.624183,-5.06945,10.63583,-0.82162,50,6.12849,0.99122,-126.699,-4.23588,-8.28159,24.67463,-14.79913,CAL_AGO,CSU_BAK,PhilSwimleyFieldatDobbinsStadium,D1,BW,20260409-PhilSwimleyFieldatDobbinsStadium-1,4058ec60-347a-11f1-8c73-138fb275b327,86.53661,74.74493,,7.05529,,,,1.35178,3.36563,-1.10562,1e492bb5-f762-428d-8f00-bfb2ee780948,2026-04-10,01:11:48.28,2026-04-09T18:11:48.2800000-07:00,2026-04-10T01:11:48.2800000Z,FlyBall,v3,471260,471252,28978,"Morisaki, Kanoa",1000294158,Right,CSU_BAK,ff119c49-c1ae-4092-9125-69ff1df56877,54.66368,-127.60402,12.33731,6.27389,-3.69307,-7.39957,-0.86355,1.29497,-4.1408,176.766505,1.35379,64.74284,-14.40702,3.4922,-0.41959,-0.0549,0.03167,-0.00476,0.00025,3.36374,67.93932,-17.70628,0.88911,-0.09853,-0.00564,0.01181,-0.00283,0.0002,-1.10669,-29.81637,5.83962,-1.2085,0.08115,0.04693,-0.01663,0.00219,-0.0001,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
