PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-10,18:08:53.69,1,1,"Malki, Michael",836280,Right,CAL_LAN,"Laracuente, Harold",838396,Left,ARL_MAV,Undefined,1,Top,0,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,84.28473,-2.848114,-0.156255,2410.984982,137.798098,10:30,6.00372,0.26628,6.32707,-32.79907,5.66992,-4.11914,0.64556,-0.22087,78.15223,-8.909665,-0.903505,0.446403,,,,,,,,,,,,2.13146,4.01673,-0.2529,50,5.78006,0.48126,-122.51304,-7.08729,3.25684,22.99475,-26.0366,CAL_LAN,ARL_MAV,705-CalBaptistBaseballField,D1,WAC,20260410-705-CalBaptistBaseballField-1,024ba970-3543-11f1-953b-374876dcdb11,84.43594,,,6.1325,,,,,,,cfdf1284-dbcf-4a06-ab2f-b8205c8defdc,2026-04-11,01:08:53.69,2026-04-10T18:08:53.6913408-07:00,2026-04-11T01:08:53.6913408Z,,v3,471762,471465,4ae5ffae0bcb4cac9e079a07aee327c2,"Chavez, Matthew",1000119380,Right,CAL_LAN,7b4a8e61-d421-4da5-a287-fd3a6b01a9e4,54.173,-123.29379,11.49738,6.00569,-6.20326,-13.0183,-0.26737,0.37068,1.62842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-10,18:09:07.41,1,2,"Malki, Michael",836280,Right,CAL_LAN,"Laracuente, Harold",838396,Left,ARL_MAV,Undefined,1,Top,0,1,0,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,91.20191,-1.978933,-0.201381,2135.22293,225.824365,1:30,6.09887,-0.05231,6.10359,-17.71036,15.94434,15.20497,2.79221,1.02854,82.64748,-5.355282,2.539275,0.417536,,,,,,,,,,,,-7.87335,9.17882,0.06017,50,5.93745,-0.18592,-132.35296,-5.08723,-13.80766,31.23483,-16.07698,CAL_LAN,ARL_MAV,705-CalBaptistBaseballField,D1,WAC,20260410-705-CalBaptistBaseballField-1,0a6fdc20-3543-11f1-953b-374876dcdb11,90.27348,,,8.55443,,,,,,,cfdf1284-dbcf-4a06-ab2f-b8205c8defdc,2026-04-11,01:09:07.41,2026-04-10T18:09:07.4119680-07:00,2026-04-11T01:09:07.4119680Z,,v3,471762,471465,4ae5ffae0bcb4cac9e079a07aee327c2,"Chavez, Matthew",1000119380,Right,CAL_LAN,303f86c5-8ba3-42bc-9104-52dfd0079607,54.39228,-133.3855,15.61742,6.09684,-4.55577,-8.03849,0.05877,0.27052,-6.90383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-04-10,18:09:20.23,1,3,"Malki, Michael",836280,Right,CAL_LAN,"Laracuente, Harold",838396,Left,ARL_MAV,Undefined,1,Top,0,1,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,84.9127,-2.913013,0.906072,2262.974236,211.452317,1:00,6.02555,-0.00332,6.31975,-32.62955,6.03044,2.8541,0.6209,1.06907,77.27858,-8.984864,1.423601,0.447509,,,,,,,,,,,,-1.19595,4.47981,-0.06416,50,5.79726,-2.0563,-123.1454,-7.26384,-1.8102,27.72042,-25.39333,CAL_LAN,ARL_MAV,705-CalBaptistBaseballField,D1,WAC,20260410-705-CalBaptistBaseballField-1,121ae730-3543-11f1-953b-374876dcdb11,84.22714,,,7.63412,,,,,,,cfdf1284-dbcf-4a06-ab2f-b8205c8defdc,2026-04-11,01:09:20.23,2026-04-10T18:09:20.2398208-07:00,2026-04-11T01:09:20.2398208Z,,v3,471762,471465,4ae5ffae0bcb4cac9e079a07aee327c2,"Chavez, Matthew",1000119380,Right,CAL_LAN,97065ebe-ae88-462b-80a1-c93b05aec94d,54.17628,-124.08193,13.86021,6.02818,-6.40593,-12.69666,0.00428,-1.99514,-0.9051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-10,18:09:40.23,1,4,"Malki, Michael",836280,Right,CAL_LAN,"Laracuente, Harold",838396,Left,ARL_MAV,Undefined,1,Top,0,2,1,TwoSeamFastBall,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.87727,-4.241078,-0.299506,2220.089669,233.277811,1:45,6.11397,-0.10086,6.13764,-16.7319,16.58958,20.63753,0.79293,1.34214,83.30544,-7.415833,3.423796,0.415464,,,,,,,,,,,,-10.74827,10.27579,0.11338,50,5.78141,-0.18079,-133.0633,-10.34471,-19.00258,32.25815,-14.0068,CAL_LAN,ARL_MAV,705-CalBaptistBaseballField,D1,WAC,20260410-705-CalBaptistBaseballField-1,1e06a930-3543-11f1-953b-374876dcdb11,90.72367,,,8.57183,,,,,,,cfdf1284-dbcf-4a06-ab2f-b8205c8defdc,2026-04-11,01:09:40.23,2026-04-10T18:09:40.2342400-07:00,2026-04-11T01:09:40.2342400Z,,v3,471762,471465,4ae5ffae0bcb4cac9e079a07aee327c2,"Chavez, Matthew",1000119380,Right,CAL_LAN,d62bf0da-6d8b-40f3-ac19-cfc63d453b26,54.35943,-134.11598,16.12908,6.11154,-9.88763,-7.0034,0.10916,0.43932,-9.50129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-10,18:10:01.75,1,5,"Malki, Michael",836280,Right,CAL_LAN,"Laracuente, Harold",838396,Left,ARL_MAV,Undefined,1,Top,0,3,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.76283,-2.927993,-1.578948,2164.117706,214.569716,1:15,6.05344,-0.11857,6.32917,-13.36324,19.12107,12.34658,2.24028,-0.544,83.52609,-5.539787,0.655046,0.410212,,,,,,,,,,,,-6.91811,11.24099,0.22825,50,5.83323,3.18317,-134.45414,-7.19878,-12.44969,33.75675,-11.945,CAL_LAN,ARL_MAV,705-CalBaptistBaseballField,D1,WAC,20260410-705-CalBaptistBaseballField-1,2ad77400-3543-11f1-953b-374876dcdb11,91.88529,,,9.23673,,,,,,,cfdf1284-dbcf-4a06-ab2f-b8205c8defdc,2026-04-11,01:10:01.75,2026-04-10T18:10:01.7561088-07:00,2026-04-11T01:10:01.7561088Z,,v3,471762,471465,4ae5ffae0bcb4cac9e079a07aee327c2,"Chavez, Matthew",1000119380,Right,CAL_LAN,023499f0-33c5-42e2-969f-9452a3a2a202,54.16612,-135.49607,16.87837,6.04973,-6.83008,-5.9725,0.12407,3.56744,-6.22485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-10,18:10:20.29,1,6,"Malki, Michael",836280,Right,CAL_LAN,"Laracuente, Harold",838396,Left,ARL_MAV,Undefined,1,Top,0,3,2,Curveball,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,80.56692,0.94724,-0.009837,2803.685671,6.711696,6:15,6.19325,0.16584,5.59744,-60.30484,-16.08686,-2.07851,2.05227,-0.01656,73.13557,-10.033187,-0.382242,0.478598,,,,,,,,,,,,1.04693,-7.97205,-0.16363,50,6.23545,0.10362,-116.90562,-0.2069,1.42017,26.11063,-42.98817,CAL_LAN,ARL_MAV,705-CalBaptistBaseballField,D1,WAC,20260410-705-CalBaptistBaseballField-1,35eab050-3543-11f1-953b-374876dcdb11,78.75596,,,7.43136,,,,,,,cfdf1284-dbcf-4a06-ab2f-b8205c8defdc,2026-04-11,01:10:20.29,2026-04-10T18:10:20.2930000-07:00,2026-04-11T01:10:20.2930000Z,,v3,471762,471465,4ae5ffae0bcb4cac9e079a07aee327c2,"Chavez, Matthew",1000119380,Right,CAL_LAN,23ef5e18-f541-4e37-846e-c52d2d03af3d,54.9025,-117.99551,13.05532,6.20664,1.58747,-21.49409,-0.16671,0.04434,0.71009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.26686,,,0.918848,,,,5.81285,4.6591,4.78192,71.69038,7.78546,-53.09192,5.83668,75.1942,-3.82751,4.6906,16.33645,-14.10196,4.71815,-69.53167,7.17883,High,High,High,,,High,High,High
7,2026-04-10,18:10:57.09,2,1,"Malki, Michael",836280,Right,CAL_LAN,"Knott, Preston",824030,Left,ARL_MAV,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.16729,-2.805165,-2.154657,2038.944055,214.05431,1:15,6.08588,-0.17841,6.31982,-15.56158,17.12867,10.80926,2.20165,-1.263,83.61205,-5.799313,-0.199824,0.41151,,,,,,,,,,,,-6.27052,10.09741,0.33104,50,5.87309,4.57885,-133.65657,-6.97014,-11.23859,31.28092,-14.07657,CAL_LAN,ARL_MAV,705-CalBaptistBaseballField,D1,WAC,20260410-705-CalBaptistBaseballField-1,4bd6df10-3543-11f1-953b-374876dcdb11,91.59538,,,8.55524,,,,,,,cfdf1284-dbcf-4a06-ab2f-b8205c8defdc,2026-04-11,01:10:57.09,2026-04-10T18:10:57.0992640-07:00,2026-04-11T01:10:57.0992640Z,,v3,471762,471465,4ae5ffae0bcb4cac9e079a07aee327c2,"Chavez, Matthew",1000119380,Right,CAL_LAN,90af29f9-0bd5-4f09-8556-e19a4ad556bb,54.17656,-134.6305,15.64046,6.08328,-6.53187,-7.03828,0.18303,4.92876,-5.61929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-10,18:11:13.60,2,2,"Malki, Michael",836280,Right,CAL_LAN,"Knott, Preston",824030,Left,ARL_MAV,Undefined,1,Top,1,1,0,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,84.55712,-1.290873,-0.270121,2466.031984,246.211286,2:15,6.03881,0.1875,6.22406,-37.02238,1.93823,1.35913,1.76235,0.05153,76.98838,-8.165644,-0.02411,0.449246,,,,,,,,,,,,-0.79465,1.77197,-0.16799,50,5.924,0.52763,-122.8037,-3.9355,-1.19801,27.21434,-29.50264,CAL_LAN,ARL_MAV,705-CalBaptistBaseballField,D1,WAC,20260410-705-CalBaptistBaseballField-1,55ace070-3543-11f1-953b-374876dcdb11,83.90156,,,7.56874,,,,,,,cfdf1284-dbcf-4a06-ab2f-b8205c8defdc,2026-04-11,01:11:13.60,2026-04-10T18:11:13.6073728-07:00,2026-04-11T01:11:13.6073728Z,,v3,471762,471465,4ae5ffae0bcb4cac9e079a07aee327c2,"Chavez, Matthew",1000119380,Right,CAL_LAN,8e7d6c25-2772-4dea-8972-b8a8f5a1ce29,54.27374,-123.74718,13.60717,6.0427,-2.91269,-14.75132,-0.187,0.56917,-0.59901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-10,18:11:37.16,2,3,"Malki, Michael",836280,Right,CAL_LAN,"Knott, Preston",824030,Left,ARL_MAV,Undefined,1,Top,1,1,1,Curveball,Curveball,InPlay,Undefined,GroundBall,Out,1,0,,78.64206,1.465649,0.641813,2797.676431,14.821675,6:30,6.09232,0.19557,5.70171,-62.4698,-16.61001,-4.79677,2.25256,0.3939,71.93402,-9.915173,-0.218884,0.487402,76.44785,-42.996918,38.072518,,,,,4.39597,2.52298,15.368047,0.03131,2.66,-8.59327,-0.24627,50,6.17571,-1.09977,-114.23024,0.82623,3.47346,23.34363,-43.39529,CAL_LAN,ARL_MAV,705-CalBaptistBaseballField,D1,WAC,20260410-705-CalBaptistBaseballField-1,63be8fb0-3543-11f1-953b-374876dcdb11,77.33334,2.4011,,6.70804,,,,2.21156,2.4011,-0.42297,cfdf1284-dbcf-4a06-ab2f-b8205c8defdc,2026-04-11,01:11:37.16,2026-04-10T18:11:37.1658752-07:00,2026-04-11T01:11:37.1658752Z,GroundBall,v3,471762,471465,4ae5ffae0bcb4cac9e079a07aee327c2,"Chavez, Matthew",1000119380,Right,CAL_LAN,2d568dd7-7aa2-4eb0-9c59-a1b520cc03d1,54.80069,-115.20711,11.67181,6.10314,2.64221,-21.69765,-0.1972,-1.24512,1.73673,,2.2106,64.74807,,,,,,,,2.40224,-76.68911,,,,,,,,-0.42372,50.71884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
10,2026-04-10,18:12:09.95,3,1,"Malki, Michael",836280,Right,CAL_LAN,"Melendez, Xavier",830165,Right,ARL_MAV,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.98909,-4.5021,-2.277312,2259.691553,210.129324,1:00,6.07134,-0.08477,6.37713,-11.08194,20.49509,11.22894,0.99411,-1.24524,85.00648,-6.684008,-0.245202,0.404443,,,,,,,,,,,,-6.56126,12.4289,0.24407,50,5.74063,4.93604,-136.01331,-10.95503,-12.13948,33.26965,-9.17834,CAL_LAN,ARL_MAV,705-CalBaptistBaseballField,D1,WAC,20260410-705-CalBaptistBaseballField-1,7747ef40-3543-11f1-953b-374876dcdb11,93.19598,,,8.9826,,,,,,,cfdf1284-dbcf-4a06-ab2f-b8205c8defdc,2026-04-11,01:12:09.95,2026-04-10T18:12:09.9528704-07:00,2026-04-11T01:12:09.9528704Z,,v3,471762,471465,4ae5ffae0bcb4cac9e079a07aee327c2,"Chavez, Matthew",1000119380,Right,CAL_LAN,3574db67-3d49-4619-8b4a-5f24db085dd8,54.11922,-137.01719,16.63483,6.06701,-10.67808,-4.58917,0.0896,5.30234,-6.06974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
