PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-04-10,18:04:11.59,1,1,"Richard, Dawson",10121802,Right,NIC_COL,"Durbin, Beau",1000220630,Left,LAM_CAR,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,92.23455,-1.81669,-2.126162,2322.74349,220.051869,1:15,5.46513,1.42813,5.48785,-14.5456,18.96391,15.00056,2.55171,0.68819,83.86615,-4.590407,0.544356,0.416635,,,,,,,,,,,,-8.16134,10.40953,-1.25224,50,5.29635,4.27004,-133.73263,-4.6902,-14.72241,29.88991,-13.39602,NIC_COL,LAM_CAR,BenMeyerDiamond,D1,SLAND,20260410-BenMeyerDiamond-1,f854c8b0-3539-11f1-9967-6baa41fc0a7c,90.4688,,,8.3684,,,,,,,621d2db0-c300-48ec-8d24-c718af94e85b,2026-04-11,00:04:11.59,2026-04-10T18:04:11.5932160-06:00,2026-04-11T00:04:11.5932160Z,,v3,471383,471334,,"Terry, Logan",1000328166,Right,NIC_COL,62636f9d-7253-4db3-b69b-f1a0619ead73,55.00952,-134.84763,14.94495,5.46199,-4.19048,-6.69801,-1.42177,4.81924,-7.3612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-04-10,18:04:28.64,1,2,"Richard, Dawson",10121802,Right,NIC_COL,"Durbin, Beau",1000220630,Left,LAM_CAR,Undefined,1,Top,0,0,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.51198,-2.39252,-2.750065,2255.667752,219.288371,1:15,5.41601,1.52567,5.52723,-13.31245,19.91745,15.39855,2.06614,0.23604,84.29819,-4.941932,-0.008554,0.414893,72.01727,33.449314,-147.124185,3024.252568,,,,,44.19936,,,-8.56607,11.06674,-1.29717,50,5.19924,5.73692,-134.08135,-6.00332,-15.56948,29.416,-12.05943,NIC_COL,LAM_CAR,BenMeyerDiamond,D1,SLAND,20260410-BenMeyerDiamond-1,027abed0-353a-11f1-9967-6baa41fc0a7c,90.84862,25.5062,,8.21379,,,,0.67273,1.88353,-0.14617,621d2db0-c300-48ec-8d24-c718af94e85b,2026-04-11,00:04:28.64,2026-04-10T18:04:28.6401536-06:00,2026-04-11T00:04:28.6401536Z,,v3,471383,471334,,"Terry, Logan",1000328166,Right,NIC_COL,2c31f06f-0466-4672-8f69-a9113193d2d1,54.9712,-135.16758,14.708,5.41269,-5.55801,-6.02971,-1.51963,6.31184,-7.78474,33.892152,0.67273,-74.01664,2.142,0.89062,-0.14495,-0.65411,2.03179,-2.91281,1.67676,1.88353,58.22047,-26.67287,3.06564,-0.43097,-0.91485,2.79456,-3.9716,2.2711,-0.14617,-47.83918,7.36262,-1.20168,0.10457,0.62865,-1.79214,2.53638,-1.44871,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
3,2026-04-10,18:04:47.64,1,3,"Richard, Dawson",10121802,Right,NIC_COL,"Durbin, Beau",1000220630,Left,LAM_CAR,Undefined,1,Top,0,0,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,78.55148,2.922782,-0.187402,2460.391394,50.439766,7:45,5.18194,1.86424,4.79511,-54.42936,-7.41981,-10.65855,3.41824,0.79844,72.27282,-6.864294,-2.06192,0.493474,,,,,,,,,,,,5.1887,-4.00095,-1.83575,50,5.42565,0.82241,-113.94181,3.77338,6.85492,19.96877,-37.45978,NIC_COL,LAM_CAR,BenMeyerDiamond,D1,SLAND,20260410-BenMeyerDiamond-1,0dd58b70-353a-11f1-9967-6baa41fc0a7c,76.38175,,,6.27866,,,,,,,621d2db0-c300-48ec-8d24-c718af94e85b,2026-04-11,00:04:47.64,2026-04-10T18:04:47.6486144-06:00,2026-04-11T00:04:47.6486144Z,,v3,471383,471334,,"Terry, Logan",1000328166,Right,NIC_COL,fe13c11b-4c4c-4fce-a790-ef75a186b9af,55.70634,-114.93752,9.98438,5.19093,5.64124,-18.72989,-1.86824,0.4806,3.42746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-04-10,18:05:03.67,1,4,"Richard, Dawson",10121802,Right,NIC_COL,"Durbin, Beau",1000220630,Left,LAM_CAR,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.98111,-0.447554,-1.710542,2274.121589,209.889745,1:00,5.44947,1.63452,5.42762,-14.28639,18.768,10.15382,3.83957,0.87815,84.34139,-3.178564,0.095131,0.413796,,,,,,,,,,,,-5.57063,9.86831,-1.48998,50,5.4002,3.5427,-134.84654,-1.49196,-10.20678,30.66538,-14.09289,NIC_COL,LAM_CAR,BenMeyerDiamond,D1,SLAND,20260410-BenMeyerDiamond-1,176ed1f0-353a-11f1-9967-6baa41fc0a7c,91.08952,,,8.63972,,,,,,,621d2db0-c300-48ec-8d24-c718af94e85b,2026-04-11,00:05:03.67,2026-04-10T18:05:03.6762112-06:00,2026-04-11T00:05:03.6762112Z,,v3,471383,471334,,"Terry, Logan",1000328166,Right,NIC_COL,44f800b5-b8d7-4e7e-b111-11770bcd2d0f,55.06809,-135.99419,15.33269,5.44617,-0.96453,-7.04644,-1.62971,3.92469,-5.10339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-04-10,18:05:20.68,1,5,"Richard, Dawson",10121802,Right,NIC_COL,"Durbin, Beau",1000220630,Left,LAM_CAR,Undefined,1,Top,0,2,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.20071,-3.104598,-2.540712,2249.093747,216.812076,1:15,5.43632,1.48376,5.51036,-15.84698,17.32135,12.22276,1.20682,0.12487,84.99118,-6.073972,-0.364379,0.414508,,,,,,,,,,,,-6.85788,9.85906,-1.27072,50,5.15468,5.38903,-133.71878,-7.78513,-12.52886,26.39949,-14.16219,NIC_COL,LAM_CAR,BenMeyerDiamond,D1,SLAND,20260410-BenMeyerDiamond-1,218510a0-353a-11f1-9967-6baa41fc0a7c,90.93293,,,7.20953,,,,,,,621d2db0-c300-48ec-8d24-c718af94e85b,2026-04-11,00:05:20.68,2026-04-10T18:05:20.6886400-06:00,2026-04-11T00:05:20.6886400Z,,v3,471383,471334,,"Terry, Logan",1000328166,Right,NIC_COL,77fd05c9-7996-4d66-a287-f223db2d93b5,54.98966,-134.70026,13.19975,5.43432,-7.25861,-7.0811,-1.47973,5.85483,-6.26443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-04-10,18:05:38.64,1,6,"Richard, Dawson",10121802,Right,NIC_COL,"Durbin, Beau",1000220630,Left,LAM_CAR,Undefined,1,Top,0,3,2,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,92.77144,-0.327752,-1.906789,2250.838899,218.129179,1:15,5.34723,1.612,5.34276,-15.47753,17.51993,12.96473,3.74981,0.90306,84.94029,-3.247469,0.395031,0.413439,,,,,,,,,,,,-6.98567,9.1691,-1.44964,50,5.30689,3.87094,-134.67516,-1.28466,-12.89332,27.89466,-15.25083,NIC_COL,LAM_CAR,BenMeyerDiamond,D1,SLAND,20260410-BenMeyerDiamond-1,2c3656d0-353a-11f1-9967-6baa41fc0a7c,91.16802,,,7.83115,,,,,,,621d2db0-c300-48ec-8d24-c718af94e85b,2026-04-11,00:05:38.64,2026-04-10T18:05:38.6401792-06:00,2026-04-11T00:05:38.6401792Z,,v3,471383,471334,,"Terry, Logan",1000328166,Right,NIC_COL,42cf550b-1e26-4cb6-9751-86363b139218,55.15514,-135.73871,13.94733,5.34478,-0.70318,-7.62542,-1.6066,4.36254,-6.44666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-04-10,18:06:11.71,2,1,"Richard, Dawson",10121802,Right,NIC_COL,"Taylor, AJ",10069733,Right,LAM_CAR,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.77321,0.303264,-1.537814,2193.185508,219.606353,1:15,5.48864,1.53572,5.45509,-16.43938,18.07403,14.04146,4.40268,1.26595,82.61812,-2.815053,0.960796,0.422829,,,,,,,,,,,,-7.47402,9.33075,-1.40992,50,5.5044,2.89084,-131.73192,0.17828,-13.11424,28.3641,-15.80193,NIC_COL,LAM_CAR,BenMeyerDiamond,D1,SLAND,20260410-BenMeyerDiamond-1,3fe58de0-353a-11f1-9967-6baa41fc0a7c,89.14336,,,8.15509,,,,,,,621d2db0-c300-48ec-8d24-c718af94e85b,2026-04-11,00:06:11.71,2026-04-10T18:06:11.7157376-06:00,2026-04-11T00:06:11.7157376Z,,v3,471383,471334,,"Terry, Logan",1000328166,Right,NIC_COL,f0e820e3-28be-4d24-89f0-d9114a68913e,55.0419,-132.81309,14.18205,5.48613,0.78061,-7.90096,-1.52965,3.39072,-6.55712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-04-10,18:06:31.08,2,2,"Richard, Dawson",10121802,Right,NIC_COL,"Taylor, AJ",10069733,Right,LAM_CAR,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.91645,-1.230977,-2.822535,2311.744997,214.395567,1:15,5.45654,1.65703,5.43973,-15.21906,19.23245,12.40418,3.03407,0.04566,82.88319,-4.123425,-0.618382,0.42245,,,,,,,,,,,,-7.00158,10.33835,-1.41599,50,5.33735,5.92753,-131.8123,-3.30467,-12.31876,28.00579,-13.98455,NIC_COL,LAM_CAR,BenMeyerDiamond,D1,SLAND,20260410-BenMeyerDiamond-1,4b7a2f30-353a-11f1-9967-6baa41fc0a7c,89.22339,,,8.03326,,,,,,,621d2db0-c300-48ec-8d24-c718af94e85b,2026-04-11,00:06:31.08,2026-04-10T18:06:31.0882816-06:00,2026-04-11T00:06:31.0882816Z,,v3,471383,471334,,"Terry, Logan",1000328166,Right,NIC_COL,9b12e878-0415-4eb2-88ed-a92e302f4911,55.05734,-132.88248,14.00289,5.45342,-2.77028,-6.99228,-1.65149,6.39826,-6.15938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-04-10,18:07:08.65,2,3,"Richard, Dawson",10121802,Right,NIC_COL,"Taylor, AJ",10069733,Right,LAM_CAR,Undefined,1,Top,0,1,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,77.78847,3.194201,-0.857289,2363.847903,47.964481,7:30,5.29473,1.57336,4.95277,-55.60905,-8.25796,-10.58591,3.6822,-0.11888,72.07477,-6.809214,-2.723472,0.495264,,,,,,,,,,,,5.0324,-4.47736,-1.48107,50,5.55814,2.12116,-112.92134,4.27304,6.5764,18.23259,-38.02511,NIC_COL,LAM_CAR,BenMeyerDiamond,D1,SLAND,20260410-BenMeyerDiamond-1,61df1060-353a-11f1-9967-6baa41fc0a7c,76.10581,,,5.7137,,,,,,,621d2db0-c300-48ec-8d24-c718af94e85b,2026-04-11,00:07:08.65,2026-04-10T18:07:08.6518272-06:00,2026-04-11T00:07:08.6518272Z,,v3,471383,471334,,"Terry, Logan",1000328166,Right,NIC_COL,186dfa13-38f7-459a-8e2e-4d55f9dc8c6b,55.55001,-113.81393,9.1163,5.30338,6.13459,-19.01256,-1.57703,1.79921,3.2882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-04-10,18:07:28.72,2,4,"Richard, Dawson",10121802,Right,NIC_COL,"Taylor, AJ",10069733,Right,LAM_CAR,Undefined,1,Top,0,2,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,91.29949,-1.621951,-3.155767,2153.451334,210.258663,1:00,5.46864,1.51283,5.49086,-13.23969,20.64659,11.44631,2.84533,-0.48843,83.79817,-4.147775,-1.121172,0.41897,,,,,,,,,,,,-6.58323,11.14382,-1.2443,50,5.31771,6.78329,-132.4277,-4.14617,-11.77622,26.34032,-12.23978,NIC_COL,LAM_CAR,BenMeyerDiamond,D1,SLAND,20260410-BenMeyerDiamond-1,6dcddfa0-353a-11f1-9967-6baa41fc0a7c,89.96445,,,7.50131,,,,,,,621d2db0-c300-48ec-8d24-c718af94e85b,2026-04-11,00:07:28.72,2026-04-10T18:07:28.7255552-06:00,2026-04-11T00:07:28.7255552Z,,v3,471383,471334,,"Terry, Logan",1000328166,Right,NIC_COL,ca897bb1-5ea3-4917-8c31-8b70854b508b,55.00769,-133.42003,13.17016,5.46522,-3.68506,-6.11989,-1.5082,7.22694,-5.88811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
